alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.72165E-004  1.00000E-040  1.00000E-040  9.70232E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.73678E-020  1.00000E-040  1.00000E-040  2.75252E-018  4.95285E-007  6.30456E-003  8.98109E-014  8.44817E-015  2.10724E-004  3.14392E-008  2.81322E-004  3.16558E-019  2.32074E-010  1.00000E-040  1.51218E-040  9.38023E-027  7.25077E-017  8.00380E-007  3.94215E-021  1.99105E-020  2.55288E-031  1.48364E-030  1.75585E-039  4.31532E-012  1.91509E-016  2.40055E-015  3.09696E-011  3.61508E-033  5.34382E-037  3.33822E-010  2.00285E-031  4.66485E-011  2.63305E-024  9.93202E-001  7.37003E-020  1.95590E-013  4.12941E-010  1.00000E-040  4.00573E-037  1.46791E-023  3.97469E-019  9.13606E-013  7.89796E-014  1.92931E-011  1.40068E-014  2.70425E-007  2.13526E-009  2.87667E-009  7.30147E-012  1.48783E-014  4.97242E-019  1.38789E-012  1.53710E-011  3.77217E-011  1.84644E-031  5.85926E-036  3.95839E-036  5.99617E-032  1.97886E-012  2.56867E-026  1.79287E-017  1.81466E-014  3.75571E-022  1.26080E-019  4.96723E-034  1.61585E-030  1.00000E-040  1.00000E-040  6.41345E-031  1.13983E-033  3.82095E-031  2.57819E-020  3.79194E-016  2.27149E-031  4.82563E-031  2.98440E-022  2.54243E-014  1.64696E-015  2.58620E-015  7.93225E-022  1.83117E-010  1.00000E-040  7.24525E-019  2.51482E-036  1.92400E-022  8.43439E-025  3.43579E-018  6.28721E-020  7.82195E-011  3.85933E-020  2.98488E-022  9.02018E-013  5.11463E-014  1.29105E-034  1.00000E-040  9.45502E-020  1.00000E-040  3.63529E-020  3.12026E-011  4.95348E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97230E-001  2.31580E+019  2.80621E+002  1.00000E+005  8.79067E-004  1.00000E-040  1.00000E-040  1.13515E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.14059E-020  1.00000E-040  1.00000E-040  3.15422E-018  4.95052E-007  4.79752E-003  9.91030E-014  7.79780E-015  2.11030E-004  2.98932E-008  2.81757E-004  2.00727E-019  1.27141E-010  1.00000E-040  1.68268E-040  9.42535E-027  6.93988E-017  7.94547E-007  6.82758E-021  1.95499E-020  2.59373E-031  1.23612E-030  1.75851E-039  1.52179E-012  1.15152E-016  6.60057E-015  6.30835E-011  6.24359E-033  3.97098E-037  2.92270E-010  1.30102E-031  4.61663E-011  5.39990E-024  9.94708E-001  1.09802E-019  2.96678E-013  2.75423E-010  1.00000E-040  7.34253E-037  1.37307E-023  3.88156E-019  3.33089E-014  8.68308E-014  1.78932E-011  1.28402E-014  2.67472E-007  2.02690E-009  2.20306E-009  1.00012E-012  9.42705E-015  3.94103E-019  5.16984E-013  1.85826E-011  4.98418E-011  1.46763E-031  7.91075E-036  1.00000E-040  4.22161E-032  3.19214E-012  2.57259E-026  1.80651E-017  1.74076E-014  4.59583E-022  1.19213E-019  4.95607E-034  1.27794E-030  1.00000E-040  1.00000E-040  4.81793E-031  1.67769E-033  3.87161E-031  2.03386E-020  2.57633E-015  2.12935E-031  4.43709E-031  4.06441E-022  3.00912E-014  9.63909E-016  2.44714E-015  5.94729E-022  1.81894E-010  1.00000E-040  1.27217E-018  2.87095E-036  2.42770E-022  8.06726E-025  3.44096E-018  6.81592E-020  4.26686E-010  8.99980E-020  2.98523E-022  1.41955E-012  5.14889E-014  9.81216E-035  1.00000E-040  7.66817E-020  1.00000E-040  3.33143E-020  3.03107E-011  4.92562E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.95940E-001  2.09062E+019  2.75754E+002  1.00000E+005  5.92573E-004  1.00000E-040  1.00000E-040  1.19268E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.44808E-020  1.00000E-040  1.00000E-040  4.33533E-018  4.94599E-007  3.80293E-003  1.27650E-013  9.56503E-015  2.11228E-004  2.81896E-008  2.82047E-004  2.27081E-019  1.14177E-010  1.00000E-040  3.28696E-040  1.37607E-026  8.21314E-017  7.88598E-007  9.30221E-021  1.70400E-020  2.06472E-031  8.00016E-031  1.76026E-039  4.88919E-013  5.73538E-017  9.22167E-015  4.42889E-011  1.03940E-032  2.28382E-037  2.51855E-010  1.09617E-031  4.56739E-011  1.05839E-023  9.95702E-001  1.38040E-019  3.02571E-013  1.71339E-010  1.00000E-040  1.08926E-036  1.21891E-023  3.62174E-019  1.66937E-014  1.04459E-013  1.94495E-011  1.21146E-014  2.64061E-007  2.07091E-009  2.16110E-009  5.37734E-013  1.06289E-014  3.14806E-019  1.97187E-013  2.03493E-011  5.76203E-011  1.46657E-031  9.47080E-036  3.04845E-037  4.16747E-032  2.66083E-012  2.57516E-026  1.83913E-017  1.74984E-014  6.42854E-022  1.16097E-019  4.93206E-034  8.85940E-031  1.00000E-040  1.00000E-040  4.73657E-031  2.54033E-033  4.43931E-031  2.25994E-020  5.27048E-015  2.94317E-031  5.08596E-031  5.88018E-022  4.26494E-014  1.26989E-015  2.40784E-015  5.60295E-022  1.71873E-010  1.00000E-040  2.29951E-018  3.55442E-036  3.43440E-022  7.33782E-025  3.44432E-018  6.68481E-020  5.39636E-010  8.35231E-020  3.71885E-022  1.25620E-012  5.17334E-014  7.72513E-035  1.00000E-040  8.49566E-020  1.00000E-040  2.81641E-020  2.94328E-011  4.83490E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.04655E-001  1.88472E+019  2.70798E+002  1.00000E+005  5.45481E-004  1.00000E-040  1.00000E-040  7.30366E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.00947E-020  1.00000E-040  1.00000E-040  6.14292E-018  4.94137E-007  2.92098E-003  1.73609E-013  1.60983E-014  2.11401E-004  2.63997E-008  2.82304E-004  3.15021E-019  1.22501E-010  1.00000E-040  7.34049E-040  2.22466E-026  1.02088E-016  7.82882E-007  1.15761E-020  1.27263E-020  1.32630E-031  3.80072E-031  1.76182E-039  1.40260E-013  2.50435E-017  1.18346E-014  3.11297E-011  1.42456E-032  1.01411E-037  2.13747E-010  9.54535E-032  4.51890E-011  2.34584E-023  9.96584E-001  1.71716E-019  2.80213E-013  9.90029E-011  1.00000E-040  1.42991E-036  1.02273E-023  3.20920E-019  2.58604E-014  1.45329E-013  2.17922E-011  1.14020E-014  2.60284E-007  2.10895E-009  2.91609E-009  6.15688E-013  1.44226E-014  2.31593E-019  1.15129E-013  2.32699E-011  6.03846E-011  1.72453E-031  1.21591E-035  9.14215E-036  6.04682E-032  1.68090E-012  2.57742E-026  1.88502E-017  1.83697E-014  9.81993E-022  1.12870E-019  4.89927E-034  4.94870E-031  1.00000E-040  1.00000E-040  6.43544E-031  3.69527E-033  5.09873E-031  2.61784E-020  5.82682E-015  4.49166E-031  7.44077E-031  8.52685E-022  7.18447E-014  1.90189E-015  2.75150E-015  5.19621E-022  1.52543E-010  1.00000E-040  4.48387E-018  4.41110E-036  5.19642E-022  5.97241E-025  3.44722E-018  5.74554E-020  4.53708E-010  8.20569E-020  6.22601E-022  8.17857E-013  5.18893E-014  5.05956E-035  1.00000E-040  1.04745E-019  1.00000E-040  1.94925E-020  2.85795E-011  4.66732E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.22348E-001  1.70053E+019  2.65073E+002  1.00000E+005  5.45342E-004  1.00000E-040  1.00000E-040  2.31688E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.48164E-021  1.00000E-040  1.00000E-040  8.27045E-018  4.93701E-007  2.05269E-003  2.35225E-013  3.19299E-014  2.11571E-004  2.44761E-008  2.82558E-004  4.14122E-019  1.25214E-010  1.00000E-040  1.47662E-039  3.41795E-026  1.22031E-016  7.77589E-007  1.35932E-020  7.93812E-021  6.97985E-032  1.26715E-031  1.76335E-039  3.67197E-014  1.64294E-017  1.42310E-014  2.21173E-011  1.59502E-032  4.29724E-038  1.78807E-010  7.60729E-032  4.47252E-011  5.85369E-023  9.97452E-001  2.15140E-019  2.37687E-013  5.29594E-011  1.00000E-040  1.69898E-036  8.03575E-024  2.61367E-019  5.61444E-014  1.97549E-013  2.35334E-011  1.09833E-014  2.56172E-007  2.03667E-009  4.69920E-009  7.80605E-013  2.06373E-014  1.51160E-019  1.53712E-013  2.69531E-011  5.57220E-011  2.22432E-031  1.59935E-035  9.03858E-038  1.06375E-031  8.76940E-013  2.57961E-026  1.92845E-017  1.96488E-014  1.59111E-021  1.05529E-019  4.85964E-034  2.03334E-031  1.00000E-040  1.00000E-040  1.04687E-030  4.90273E-033  5.32081E-031  2.79504E-020  5.34140E-015  6.44009E-031  1.19765E-030  1.20385E-021  1.24529E-013  2.66024E-015  3.48362E-015  4.08610E-022  1.27334E-010  1.00000E-040  9.55537E-018  5.19487E-036  8.16473E-022  4.23018E-025  3.45001E-018  4.21413E-020  2.88594E-010  8.17925E-020  1.22215E-021  4.27680E-013  5.19867E-014  2.48361E-035  1.00000E-040  1.23217E-019  1.00000E-040  1.04641E-020  2.77688E-011  4.42195E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.48221E-001  1.53335E+019  2.58959E+002  1.00000E+005  4.53835E-004  1.00000E-040  1.00000E-040  1.18306E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.49508E-021  1.00000E-040  1.00000E-040  1.06067E-017  4.93197E-007  1.35430E-003  3.12592E-013  6.45908E-014  2.11705E-004  2.23941E-008  2.82764E-004  4.84667E-019  1.15407E-010  1.00000E-040  2.64422E-039  4.91019E-026  1.39896E-016  7.72698E-007  1.53703E-020  4.09306E-021  3.07121E-032  2.89343E-032  1.76457E-039  9.89962E-015  1.84207E-017  1.56386E-014  1.60913E-011  1.54772E-032  2.27923E-038  1.47553E-010  5.61219E-032  4.42865E-011  1.51774E-022  9.98150E-001  2.61827E-019  1.79199E-013  2.61195E-011  1.00000E-040  1.85920E-036  5.93003E-024  1.91242E-019  1.37212E-013  2.20128E-013  2.42560E-011  1.06739E-014  2.51710E-007  1.86355E-009  7.77690E-009  1.00637E-012  3.01633E-014  1.04564E-019  3.11074E-013  3.17053E-011  4.78916E-011  3.14742E-031  2.08721E-035  1.00000E-040  1.90558E-031  3.68596E-013  2.58133E-026  1.95129E-017  2.08310E-014  2.67944E-021  9.33997E-020  4.81414E-034  5.99621E-032  1.00000E-040  1.00000E-040  1.75166E-030  5.96934E-033  4.87296E-031  2.62416E-020  4.38353E-015  8.56569E-031  1.85565E-030  1.62614E-021  1.95034E-013  3.32176E-015  4.44046E-015  2.66475E-022  1.00866E-010  1.00000E-040  2.12524E-017  5.70297E-036  1.30241E-021  2.67280E-025  3.45214E-018  2.62395E-020  1.55055E-010  8.22903E-020  2.43526E-021  1.76596E-013  5.20439E-014  9.22813E-036  1.00000E-040  1.34389E-019  1.00000E-040  4.70105E-021  2.70146E-011  4.11681E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.81480E-001  1.38273E+019  2.52208E+002  1.00000E+005  3.52663E-004  1.00000E-040  1.00000E-040  4.93301E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.18908E-021  1.00000E-040  1.00000E-040  1.26154E-017  4.92635E-007  8.26385E-004  3.95611E-013  1.23720E-013  2.11801E-004  2.02328E-008  2.82920E-004  5.05399E-019  9.79426E-011  1.00000E-040  3.81146E-039  6.11811E-026  1.47346E-016  7.68278E-007  1.69896E-020  1.77790E-021  1.17511E-032  4.71104E-033  1.76550E-039  3.81649E-015  2.43556E-017  1.61225E-014  1.21934E-011  1.33095E-032  1.43696E-038  1.20283E-010  3.60472E-032  4.38823E-011  3.61919E-022  9.98677E-001  2.81728E-019  1.11613E-013  1.18187E-011  1.00000E-040  1.94804E-036  4.25962E-024  1.25338E-019  3.23701E-013  1.78929E-013  2.36021E-011  9.98198E-015  2.46946E-007  1.59711E-009  1.23076E-008  1.29333E-012  4.19513E-014  8.82393E-020  6.58787E-013  3.67580E-011  3.58410E-011  4.91303E-031  2.61773E-035  1.00000E-040  3.16204E-031  1.13228E-013  2.58256E-026  1.93702E-017  2.13974E-014  4.65622E-021  7.77145E-020  4.76451E-034  1.29882E-032  1.00000E-040  1.00000E-040  2.80664E-030  6.51072E-033  3.78201E-031  2.11670E-020  3.25290E-015  9.76127E-031  2.67724E-030  2.10607E-021  2.72503E-013  3.78296E-015  5.49211E-015  1.41961E-022  7.71216E-011  1.00000E-040  4.95951E-017  5.91045E-036  2.10191E-021  1.55329E-025  3.45362E-018  1.40378E-020  7.77952E-011  8.27726E-020  4.60117E-021  5.27528E-014  5.20782E-014  2.81198E-036  1.00000E-040  1.26657E-019  1.00000E-040  1.91491E-021  2.63322E-011  3.79158E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.21430E-001  1.24515E+019  2.45143E+002  1.00000E+005  2.42360E-004  1.00000E-040  1.00000E-040  1.66455E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07281E-021  1.00000E-040  1.00000E-040  1.39268E-017  4.92015E-007  4.72203E-004  4.73810E-013  2.21111E-013  2.11860E-004  1.81306E-008  2.83027E-004  4.83607E-019  7.91920E-011  1.00000E-040  4.48349E-039  6.62095E-026  1.43397E-016  7.64313E-007  1.86398E-020  6.93193E-022  4.15376E-033  6.18622E-034  1.76612E-039  2.48965E-015  3.15145E-017  1.61894E-014  9.75266E-012  1.04765E-032  9.07649E-039  9.71178E-011  2.04845E-032  4.35166E-011  7.30092E-022  9.99031E-001  2.44468E-019  5.21946E-014  4.89454E-012  1.00000E-040  2.13176E-036  3.24862E-024  7.61784E-020  6.90451E-013  9.91005E-014  2.17437E-011  8.81706E-015  2.41956E-007  1.28272E-009  1.82262E-008  1.66453E-012  5.32380E-014  1.06581E-019  1.31300E-012  4.14609E-011  1.80520E-011  8.03668E-031  3.09244E-035  1.00000E-040  4.70205E-031  2.20575E-014  2.58328E-026  1.88562E-017  2.11340E-014  8.14939E-021  6.18205E-020  4.71220E-034  2.28670E-033  1.00000E-040  1.00000E-040  4.21655E-030  6.47598E-033  2.56701E-031  1.50188E-020  2.22720E-015  9.57174E-031  3.84863E-030  2.63547E-021  3.36508E-013  4.05078E-015  6.52476E-015  6.46159E-023  5.82358E-011  1.00000E-040  1.17638E-016  6.24067E-036  3.37149E-021  8.80134E-026  3.45443E-018  6.73820E-021  3.87612E-011  8.36262E-020  8.10952E-021  9.98422E-015  5.20983E-014  7.64956E-037  1.00000E-040  1.02708E-019  1.00000E-040  7.48514E-022  2.57287E-011  3.49735E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.67479E-001  1.11879E+019  2.37903E+002  1.00000E+005  1.50596E-004  1.00000E-040  1.00000E-040  2.18922E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.62960E-021  1.00000E-040  1.00000E-040  1.43168E-017  4.91343E-007  2.55314E-004  5.39919E-013  3.69795E-013  2.11889E-004  1.62183E-008  2.83094E-004  4.32692E-019  6.19172E-011  1.00000E-040  4.55134E-039  6.32498E-026  1.30270E-016  7.60745E-007  2.05659E-020  2.67110E-022  1.48463E-033  7.92643E-035  1.76650E-039  2.02117E-015  3.84359E-017  1.65849E-014  8.25273E-012  7.81494E-033  5.47376E-039  7.80650E-011  1.04268E-032  4.31891E-011  9.36177E-021  9.99248E-001  1.77390E-019  1.84840E-014  1.86758E-012  1.00000E-040  2.65217E-036  2.86941E-024  4.52960E-020  1.34857E-012  3.94147E-014  1.89411E-011  7.35945E-015  2.36852E-007  9.65149E-010  2.52257E-008  2.15626E-012  6.08231E-014  1.71769E-019  2.42126E-012  4.53963E-011  8.18056E-012  1.19309E-030  3.51151E-035  1.54010E-035  6.27278E-031  2.78630E-015  2.58362E-026  1.81227E-017  2.01851E-014  1.32902E-020  4.81479E-020  4.65845E-034  3.83331E-034  1.00000E-040  1.00000E-040  5.93752E-030  6.02084E-033  1.61829E-031  9.80602E-021  1.44025E-015  8.21571E-031  5.99580E-030  3.26606E-021  3.72927E-013  4.13616E-015  7.44811E-015  2.89515E-023  4.43806E-011  1.00000E-040  2.82882E-016  7.35279E-036  4.99987E-021  5.16317E-026  3.45472E-018  3.09318E-021  1.94111E-011  8.54432E-020  1.33696E-020  1.21366E-015  5.21094E-014  1.14049E-037  1.00000E-040  7.26952E-020  1.00000E-040  2.84363E-022  2.52023E-011  3.27710E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.19138E-001  1.00148E+019  2.30808E+002  9.61769E+004  8.24748E-005  1.00000E-040  1.00000E-040  7.22807E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49700E-019  1.00000E-040  1.00000E-040  1.42620E-017  4.90595E-007  1.35105E-004  6.01271E-013  5.87727E-013  2.11898E-004  1.45598E-008  2.83133E-004  3.76405E-019  4.77412E-011  1.00000E-040  4.83981E-039  5.72853E-026  1.15177E-016  7.57401E-007  2.29902E-020  1.10116E-022  5.76520E-034  1.15643E-035  1.76670E-039  1.61606E-015  4.37798E-017  1.76335E-014  7.28017E-012  5.88942E-033  3.26646E-039  6.28174E-011  5.03583E-033  4.28886E-011  2.81315E-019  9.99368E-001  1.26857E-019  5.68187E-015  6.66526E-013  1.00000E-040  3.72903E-036  2.91517E-024  2.74378E-020  2.42770E-012  1.39793E-014  1.58125E-011  5.95205E-015  2.31673E-007  6.88805E-010  3.28936E-008  2.76054E-012  6.38488E-014  3.00856E-019  4.08809E-012  4.85886E-011  4.79314E-012  1.50765E-030  3.96848E-035  1.00000E-040  7.72217E-031  2.68724E-016  2.58368E-026  1.73703E-017  1.90182E-014  1.71119E-020  3.76748E-020  4.60302E-034  7.37415E-035  1.00000E-040  1.00000E-040  7.90784E-030  5.49762E-033  1.01673E-031  6.25956E-021  9.24503E-016  6.65674E-031  1.00868E-029  4.10868E-021  3.73084E-013  4.13847E-015  8.16095E-015  4.94563E-023  3.45232E-011  1.00000E-040  6.83354E-016  9.80061E-036  5.60809E-021  3.30018E-026  3.45461E-018  1.44066E-021  1.00001E-011  8.90701E-020  2.08781E-020  1.08671E-016  5.21145E-014  1.00000E-040  1.00000E-040  4.80569E-020  1.00000E-040  1.08857E-022  2.47343E-011  3.14507E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
