alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.72137E-004  1.00000E-040  1.00000E-040  2.60063E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.68337E-021  1.00000E-040  1.00000E-040  1.74803E-019  4.95285E-007  6.30456E-003  6.82848E-014  3.25412E-015  2.10724E-003  3.39318E-008  2.81322E-004  2.38798E-020  2.40920E-010  1.00000E-040  1.00000E-040  5.42565E-029  5.51821E-018  8.00380E-007  5.32666E-024  1.95702E-022  1.77575E-035  1.46268E-034  1.00000E-040  5.82042E-012  3.26618E-017  9.33381E-017  2.87575E-011  5.78444E-039  1.00000E-040  3.33822E-010  1.58589E-032  4.88095E-011  4.79953E-027  9.91305E-001  1.98724E-021  6.38210E-014  5.08180E-010  1.00000E-040  1.00000E-040  8.65062E-026  2.40119E-021  1.26959E-012  2.48565E-014  1.63366E-011  1.45517E-014  2.70425E-007  1.96470E-009  1.58343E-008  1.01825E-011  6.66554E-014  3.99972E-019  1.79160E-012  1.75518E-011  3.03913E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.83345E-013  1.00000E-040  1.07515E-019  1.23770E-015  2.89407E-023  7.65763E-022  6.05962E-037  1.48737E-033  6.66599E-034  3.49808E-040  1.00000E-040  1.44058E-038  1.75503E-034  2.58281E-022  2.29733E-016  1.31177E-032  1.07772E-033  1.10507E-022  1.92037E-015  1.36656E-016  3.32516E-015  7.34836E-023  8.91858E-011  1.00000E-040  5.76388E-019  1.12681E-038  1.54703E-023  3.58563E-027  7.10087E-021  4.29398E-022  4.91724E-011  2.72483E-021  3.04966E-022  1.93722E-013  2.51190E-014  1.70583E-039  1.56280E-039  5.68914E-021  1.00000E-040  5.48152E-021  3.44054E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97202E-001  2.31572E+019  2.80621E+002  1.00000E+005  8.79059E-004  1.00000E-040  1.00000E-040  3.04274E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.85968E-022  1.00000E-040  1.00000E-040  1.71931E-019  4.95859E-007  4.79760E-003  7.23193E-014  3.75194E-015  2.11043E-003  3.25819E-008  2.81753E-004  1.39117E-020  1.24915E-010  1.00000E-040  1.00000E-040  5.05462E-029  5.10137E-018  7.98134E-007  1.51929E-023  2.04231E-022  1.85360E-035  1.41588E-034  1.00000E-040  2.58662E-012  1.65369E-017  7.41569E-017  6.02708E-011  1.23806E-038  1.00000E-040  3.29343E-010  9.96205E-033  4.86118E-011  1.06752E-026  9.92809E-001  3.22056E-021  1.36394E-013  4.38310E-010  1.00000E-040  1.00000E-040  8.16649E-026  2.33417E-021  4.10314E-014  3.76271E-014  1.45111E-011  1.31057E-014  2.70116E-007  1.84964E-009  1.55002E-008  1.36014E-012  2.33072E-014  2.80053E-019  7.51081E-013  2.10641E-011  3.54481E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.39949E-013  1.00000E-040  1.07136E-019  1.15366E-015  3.42891E-023  7.30843E-022  6.06236E-037  1.18207E-033  6.67610E-034  2.55471E-040  1.00000E-040  2.84152E-038  1.69886E-034  1.71098E-022  1.66804E-015  1.14117E-032  1.22003E-033  1.48929E-022  1.34207E-015  7.06544E-017  3.79911E-015  4.88342E-023  9.13404E-011  1.00000E-040  9.77497E-019  1.24605E-038  1.88077E-023  3.30115E-027  7.11162E-021  4.42251E-022  4.21506E-010  6.27440E-021  3.85344E-022  4.13089E-013  2.53330E-014  1.33211E-039  1.58105E-039  4.29300E-021  1.00000E-040  4.48353E-021  3.39373E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.95890E-001  2.09049E+019  2.75754E+002  1.00000E+005  5.92527E-004  1.00000E-040  1.00000E-040  3.19696E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08789E-021  1.00000E-040  1.00000E-040  2.04830E-019  4.96220E-007  3.80314E-003  8.65816E-014  4.73153E-015  2.11253E-003  3.11281E-008  2.82039E-004  1.23628E-020  9.20038E-011  1.00000E-040  1.00000E-040  6.40673E-029  5.64185E-018  7.95871E-007  2.64454E-023  2.10911E-022  2.94327E-035  2.34059E-034  1.00000E-040  1.11689E-012  8.75652E-018  6.66036E-017  4.06410E-011  2.48510E-038  1.00000E-040  3.24363E-010  7.86921E-033  4.84173E-011  2.20729E-026  9.93801E-001  4.50864E-021  1.57031E-013  3.72722E-010  1.00000E-040  1.00000E-040  7.38894E-026  2.15595E-021  8.40545E-015  4.96095E-014  1.45592E-011  1.26126E-014  2.69592E-007  1.81683E-009  1.61184E-008  3.46916E-013  1.27012E-014  2.03384E-019  3.01539E-013  2.05114E-011  3.73101E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08208E-012  1.00000E-040  1.06696E-019  1.08341E-015  4.42448E-023  6.91551E-022  6.05879E-037  8.43971E-034  6.68278E-034  1.69853E-040  1.00000E-040  5.04884E-038  1.79221E-034  1.59805E-022  6.06166E-015  1.37019E-032  1.43766E-033  2.17017E-022  9.80770E-016  7.32995E-017  4.18339E-015  3.97110E-023  9.35278E-011  1.00000E-040  1.65327E-018  1.46145E-038  2.48031E-023  2.91428E-027  7.11869E-021  4.24575E-022  6.33255E-010  5.19793E-021  5.05822E-022  4.96329E-013  2.55018E-014  1.44059E-039  1.58223E-039  4.10667E-021  1.00000E-040  3.45570E-021  3.35048E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.04587E-001  1.88454E+019  2.70798E+002  1.00000E+005  5.45468E-004  1.00000E-040  1.00000E-040  1.95735E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.38070E-021  1.00000E-040  1.00000E-040  2.50985E-019  4.96606E-007  2.92123E-003  1.02681E-013  6.44947E-015  2.11439E-003  2.97217E-008  2.82292E-004  1.45417E-020  9.07289E-011  1.00000E-040  1.00000E-040  7.91438E-029  6.14299E-018  7.93908E-007  4.19012E-023  2.10611E-022  7.31946E-036  1.41413E-035  1.00000E-040  4.69759E-013  4.34109E-018  7.04982E-017  2.71492E-011  4.15414E-038  1.00000E-040  3.19007E-010  6.02663E-033  4.82428E-011  4.37447E-026  9.94680E-001  5.91107E-021  1.67577E-013  3.11620E-010  1.00000E-040  1.00000E-040  6.44127E-026  1.93889E-021  7.03275E-015  6.46367E-014  1.53159E-011  1.08004E-014  2.68955E-007  1.78355E-009  1.81191E-008  2.50773E-013  1.22389E-014  1.36204E-019  1.27707E-013  2.01247E-011  3.59649E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.03803E-012  1.00000E-040  1.05882E-019  1.02733E-015  5.85652E-023  6.36437E-022  6.05234E-037  5.38273E-034  6.68873E-034  1.09813E-040  1.00000E-040  8.09671E-038  1.82163E-034  1.54821E-022  8.99991E-015  1.59864E-032  1.76901E-033  3.13936E-022  7.46288E-016  9.94979E-017  4.82259E-015  3.34307E-023  9.49642E-011  1.00000E-040  2.83091E-018  1.64315E-038  3.27139E-023  2.43597E-027  7.12494E-021  3.82689E-022  6.32380E-010  4.23190E-021  7.03962E-022  4.91838E-013  2.56196E-014  8.40084E-040  1.56556E-039  3.89130E-021  1.00000E-040  2.48203E-021  3.31163E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.22268E-001  1.70031E+019  2.65073E+002  1.00000E+005  5.45368E-004  1.00000E-040  1.00000E-040  6.20616E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.15283E-022  1.00000E-040  1.00000E-040  2.96348E-019  4.97039E-007  2.05293E-003  1.18190E-013  9.26496E-015  2.11622E-003  2.83565E-008  2.82542E-004  1.66095E-020  8.88891E-011  1.00000E-040  1.00000E-040  8.81670E-029  6.26522E-018  7.92325E-007  6.24598E-023  2.00450E-022  1.55547E-035  8.46070E-035  1.00000E-040  1.94458E-013  2.10134E-018  8.90061E-017  1.82680E-011  5.69186E-038  1.00000E-040  3.13331E-010  4.11308E-033  4.80940E-011  8.98408E-026  9.95547E-001  7.71474E-021  1.75999E-013  2.55591E-010  1.68720E-040  1.00000E-040  5.42784E-026  1.69008E-021  1.05039E-014  8.50362E-014  1.56893E-011  8.65562E-015  2.68227E-007  1.69200E-009  2.17016E-008  2.68297E-013  1.32846E-014  7.98842E-020  7.35796E-014  1.99026E-011  3.09287E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.63890E-013  1.00000E-040  1.04354E-019  9.70966E-016  7.85399E-023  5.64830E-022  6.04423E-037  3.00966E-034  6.69463E-034  1.00000E-040  1.00000E-040  1.15729E-037  1.72833E-034  1.43835E-022  9.15838E-015  1.66276E-032  2.23579E-033  4.53709E-022  6.44523E-016  1.25899E-016  5.88880E-015  2.61693E-023  9.55180E-011  1.00000E-040  5.16203E-018  1.76308E-038  4.32948E-023  1.91621E-027  7.13107E-021  3.23834E-022  5.07555E-010  3.39361E-021  1.02684E-021  4.65433E-013  2.56974E-014  7.76074E-040  1.52913E-039  3.34100E-021  1.00000E-040  1.61078E-021  3.27774E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.48131E-001  1.53310E+019  2.58959E+002  1.00000E+005  4.53870E-004  1.00000E-040  1.00000E-040  3.16872E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.44161E-022  1.00000E-040  1.00000E-040  3.37831E-019  4.97400E-007  1.35449E-003  1.32917E-013  1.37240E-014  2.11769E-003  2.70091E-008  2.82743E-004  1.73568E-020  8.09759E-011  1.00000E-040  1.00000E-040  9.11676E-029  6.10758E-018  7.90965E-007  8.96271E-023  1.80798E-022  1.34591E-035  5.92805E-035  1.00000E-040  8.00264E-014  1.07658E-018  1.26002E-016  1.26651E-011  6.73181E-038  1.00000E-040  3.07328E-010  2.58684E-033  4.79641E-011  1.95296E-025  9.96243E-001  1.02692E-020  1.83247E-013  2.05214E-010  4.80871E-040  1.00000E-040  4.44633E-026  1.42281E-021  2.01818E-014  1.11333E-013  1.56007E-011  6.95161E-015  2.67363E-007  1.56752E-009  2.69326E-008  3.24000E-013  1.53195E-014  4.75953E-020  8.09449E-014  2.04196E-011  2.54999E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.92404E-013  1.00000E-040  1.02088E-019  9.06892E-016  1.06197E-022  4.83806E-022  6.03395E-037  1.46162E-034  6.69949E-034  1.00000E-040  1.00000E-040  1.51098E-037  1.54109E-034  1.27763E-022  7.68481E-015  1.59249E-032  2.84613E-033  6.52607E-022  6.70183E-016  1.46017E-016  7.42578E-015  1.88350E-023  9.52062E-011  1.00000E-040  9.78507E-018  1.81822E-038  5.73037E-023  1.42146E-027  7.13596E-021  2.56688E-022  3.45967E-010  2.75313E-021  1.53390E-021  4.35328E-013  2.57443E-014  5.85443E-040  1.46979E-039  2.63789E-021  1.00000E-040  9.36363E-022  3.24839E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.81385E-001  1.38245E+019  2.52208E+002  1.00000E+005  3.52702E-004  1.00000E-040  1.00000E-040  1.32121E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.03753E-022  1.00000E-040  1.00000E-040  3.62561E-019  4.97655E-007  8.26525E-004  1.43438E-013  2.03582E-014  2.11880E-003  2.56888E-008  2.82895E-004  1.62817E-020  6.78547E-011  1.00000E-040  1.00000E-040  8.30557E-029  5.51484E-018  7.89783E-007  1.25936E-022  1.54708E-022  1.13020E-035  3.71609E-035  1.00000E-040  3.32606E-014  6.01710E-019  1.92909E-016  9.32426E-012  6.88920E-038  1.00000E-040  3.01061E-010  1.42631E-033  4.78516E-011  4.42611E-025  9.96770E-001  1.36408E-020  1.87249E-013  1.61106E-010  1.28769E-039  1.15867E-040  3.57013E-026  1.15185E-021  4.56524E-014  1.41632E-013  1.48799E-011  5.50857E-015  2.66363E-007  1.40285E-009  3.37646E-008  4.16194E-013  1.80988E-014  3.16796E-020  1.44560E-013  2.15039E-011  1.97195E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.24717E-013  1.00000E-040  9.92829E-020  8.32993E-016  1.44194E-022  3.98604E-022  6.02173E-037  6.11109E-035  6.70340E-034  1.00000E-040  1.00000E-040  1.79213E-037  1.25970E-034  1.07317E-022  5.57265E-015  1.32734E-032  3.59801E-033  9.31278E-022  8.83132E-016  1.55003E-016  9.53294E-015  1.21140E-023  9.40617E-011  1.00000E-040  1.96024E-017  1.79609E-038  7.54401E-023  9.95380E-028  7.13961E-021  1.89446E-022  2.01900E-010  2.29403E-021  2.29114E-021  4.03045E-013  2.57708E-014  3.05253E-040  1.38733E-039  1.82802E-021  1.00000E-040  4.83580E-022  3.22334E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.21331E-001  1.24486E+019  2.45143E+002  1.00000E+005  2.42393E-004  1.00000E-040  1.00000E-040  4.46214E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.27305E-022  1.00000E-040  1.00000E-040  3.68897E-019  4.97784E-007  4.72297E-004  1.48831E-013  2.98746E-014  2.11953E-003  2.44264E-008  2.82998E-004  1.38334E-020  5.25007E-011  1.00000E-040  1.00000E-040  6.78524E-029  4.67641E-018  7.88704E-007  1.75623E-022  1.26566E-022  9.58456E-036  2.24658E-035  1.00000E-040  1.41677E-014  3.69115E-019  3.06969E-016  7.49676E-012  6.34400E-038  1.00000E-040  2.94611E-010  7.06440E-034  4.77531E-011  1.03029E-024  9.97124E-001  1.78681E-020  1.86615E-013  1.23744E-010  3.15339E-039  1.60364E-040  2.84435E-026  8.97222E-022  1.12438E-013  1.72244E-013  1.36567E-011  4.23553E-015  2.65230E-007  1.21132E-009  4.20014E-008  5.48249E-013  2.10073E-014  2.91741E-020  2.92449E-013  2.29911E-011  1.33388E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.51030E-013  1.00000E-040  9.63622E-020  7.54669E-016  1.95080E-022  3.17199E-022  6.00760E-037  2.20004E-035  6.70646E-034  1.00000E-040  1.00000E-040  1.97477E-037  9.49281E-035  8.57551E-023  3.63595E-015  9.82842E-033  4.49782E-033  1.30907E-021  1.43912E-015  1.51634E-016  1.22014E-014  7.00589E-024  9.20938E-011  1.00000E-040  4.05295E-017  1.71634E-038  9.80572E-023  6.63048E-028  7.14200E-021  1.29810E-022  1.00907E-010  2.01826E-021  3.37417E-021  3.63200E-013  2.57845E-014  1.00000E-040  1.28799E-039  1.12337E-021  1.00000E-040  2.24724E-022  3.20194E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.67379E-001  1.11849E+019  2.37903E+002  1.00000E+005  1.50619E-004  1.00000E-040  1.00000E-040  1.02367E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.21510E-022  1.00000E-040  1.00000E-040  3.61021E-019  4.97794E-007  2.55372E-004  1.50030E-013  4.30676E-014  2.11997E-003  2.32604E-008  2.83062E-004  1.08103E-020  3.77448E-011  1.00000E-040  1.00000E-040  5.10153E-029  3.78015E-018  7.87682E-007  2.44770E-022  1.00297E-022  7.95661E-036  1.07368E-035  1.00000E-040  6.26782E-015  2.48644E-019  4.96861E-016  6.65173E-012  5.49177E-038  1.00000E-040  2.88088E-010  3.19816E-034  4.76653E-011  2.46964E-024  9.97340E-001  2.30055E-020  1.79899E-013  9.34219E-011  6.74344E-039  1.71394E-040  2.28107E-026  6.75151E-022  2.66779E-013  1.97822E-013  1.21194E-011  3.15406E-015  2.63979E-007  1.01300E-009  5.13404E-008  7.15482E-013  2.26325E-014  3.91158E-020  5.66839E-013  2.46926E-011  5.62412E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.57707E-013  1.00000E-040  9.37211E-020  6.80329E-016  2.58598E-022  2.46278E-022  5.99174E-037  6.87446E-036  6.70910E-034  1.00000E-040  1.00000E-040  2.07258E-037  6.69922E-035  6.58739E-023  2.22774E-015  6.64107E-033  5.57258E-033  1.82695E-021  2.76625E-015  1.37895E-016  1.52596E-014  3.69127E-024  8.93444E-011  1.00000E-040  8.66765E-017  1.62423E-038  1.25267E-022  4.26843E-028  7.14339E-021  8.30411E-023  4.44178E-011  1.91260E-021  4.86443E-021  3.10235E-013  2.57906E-014  1.00000E-040  1.18194E-039  6.26635E-022  1.00000E-040  9.65868E-023  3.18346E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.19038E-001  1.00117E+019  2.30808E+002  9.61769E+004  8.24886E-005  1.00000E-040  1.00000E-040  3.73548E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.97298E-021  1.00000E-040  1.00000E-040  3.52406E-019  4.97701E-007  1.35139E-004  1.50698E-013  6.13383E-014  2.12021E-003  2.22050E-008  2.83098E-004  8.12939E-021  2.59984E-011  1.00000E-040  1.00000E-040  3.78029E-029  3.03256E-018  7.86652E-007  3.41535E-022  7.81006E-023  6.99871E-036  6.91126E-036  1.00000E-040  2.91143E-015  1.94761E-019  7.97484E-016  6.40601E-012  4.76481E-038  1.00000E-040  2.81502E-010  1.40010E-034  4.75834E-011  6.09474E-024  9.97460E-001  2.92165E-020  1.66873E-013  6.98387E-011  1.18971E-038  2.43663E-040  1.86170E-026  4.94951E-022  5.49699E-013  2.13000E-013  1.05832E-011  2.32223E-015  2.62603E-007  8.32620E-010  6.16320E-008  9.22358E-013  2.22674E-014  6.63071E-020  9.94317E-013  2.67193E-011  2.35773E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.37083E-013  1.00000E-040  9.15573E-020  6.16803E-016  3.21638E-022  1.90116E-022  5.97388E-037  1.88655E-036  6.71187E-034  1.00000E-040  1.00000E-040  2.15416E-037  4.59412E-035  4.95644E-023  1.34930E-015  4.40339E-033  7.02265E-033  2.56152E-021  5.78895E-015  1.20627E-016  1.83236E-014  1.83792E-024  8.58790E-011  1.00000E-040  1.89704E-016  1.56868E-038  1.50594E-022  2.71721E-028  7.14406E-021  5.04603E-023  1.90602E-011  1.96310E-021  6.88378E-021  2.43640E-013  2.57922E-014  1.00000E-040  1.07854E-039  3.38426E-022  1.00000E-040  4.03254E-023  3.16677E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
