
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.550E+05 2.473E+19 8.294E+05 2.818E+05 9.357E+06 0.000E+00 6.197E-12 1.451E-12 1.157E-04 4.931E-06 3.270E-09 7.855E-03 5.260E+15 6.282E+06 1.292E-02 5.607E-09 4.482E-11 2.541E-13 1.666E-11 5.254E-12 1.208E-11 1.027E-17 1.232E-09 8.336E-15 1.077E-16 9.857E-11 1.273E-14 1.126E-17 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.442E+05 2.232E+19 6.503E+05 3.463E+05 1.115E+07 0.000E+00 9.886E-12 3.092E-12 1.298E-04 5.586E-06 3.849E-09 5.020E-03 4.846E+15 5.956E+06 1.748E-02 9.858E-09 1.012E-10 2.669E-13 1.693E-11 2.298E-12 5.014E-12 1.126E-17 1.272E-09 7.508E-15 6.319E-17 8.612E-11 1.798E-14 1.477E-17 4.967E-07 7.982E-07 2.646E-07
   2.500E+05 7.445E+05 2.003E+19 6.352E+05 4.013E+05 1.652E+07 0.000E+00 1.385E-11 6.167E-12 1.419E-04 6.209E-06 5.815E-09 3.250E-03 4.437E+15 6.951E+06 2.926E-02 1.531E-08 2.017E-10 3.471E-13 1.872E-11 2.010E-12 4.392E-12 1.477E-17 1.301E-09 8.904E-15 1.014E-16 8.051E-11 3.333E-14 1.869E-17 4.938E-07 7.893E-07 2.556E-07
   3.500E+05 6.550E+05 1.799E+19 6.001E+05 4.200E+05 2.655E+07 0.000E+00 1.829E-11 1.237E-11 1.525E-04 6.816E-06 9.676E-09 1.887E-03 4.063E+15 8.158E+06 5.273E-02 2.249E-08 3.762E-10 4.534E-13 2.017E-11 2.185E-12 4.763E-12 1.869E-17 1.257E-09 1.197E-14 2.548E-16 7.841E-11 6.688E-14 2.218E-17 4.914E-07 7.814E-07 2.460E-07
   4.500E+05 5.746E+05 1.617E+19 4.995E+05 4.046E+05 4.161E+07 0.000E+00 2.347E-11 2.515E-11 1.624E-04 7.428E-06 1.584E-08 9.952E-04 3.716E+15 9.125E+06 9.205E-02 3.193E-08 6.649E-10 5.644E-13 2.074E-11 2.507E-12 5.318E-12 2.218E-17 1.142E-09 1.641E-14 7.378E-16 7.639E-11 1.306E-13 2.414E-17 4.896E-07 7.746E-07 2.358E-07
   5.500E+05 5.024E+05 1.452E+19 3.496E+05 3.499E+05 6.144E+07 0.000E+00 2.982E-11 5.115E-11 1.726E-04 8.065E-06 2.451E-08 4.710E-04 3.393E+15 9.516E+06 1.505E-01 4.403E-08 1.113E-09 6.553E-13 2.001E-11 2.957E-12 5.873E-12 2.414E-17 9.684E-10 2.179E-14 2.266E-15 7.276E-11 2.391E-13 2.454E-17 4.882E-07 7.691E-07 2.253E-07
   6.500E+05 4.376E+05 1.303E+19 2.052E+05 2.726E+05 8.510E+07 1.092-154 3.795E-11 1.047E-10 1.842E-04 8.750E-06 3.548E-08 2.000E-04 3.087E+15 9.444E+06 2.302E-01 5.893E-08 1.773E-09 7.250E-13 1.820E-11 3.821E-12 6.832E-12 2.454E-17 7.610E-10 2.887E-14 7.916E-15 6.955E-11 4.096E-13 2.375E-17 4.873E-07 7.645E-07 2.147E-07
   7.500E+05 3.796E+05 1.166E+19 1.008E+05 1.901E+05 1.114E+08 3.687E-62 4.837E-11 2.163E-10 1.984E-04 9.510E-06 4.816E-08 7.540E-05 2.795E+15 9.147E+06 3.323E-01 7.657E-08 2.694E-09 7.847E-13 1.565E-11 5.569E-12 8.604E-12 2.375E-17 5.488E-10 3.883E-14 2.966E-14 6.877E-11 6.625E-13 2.223E-17 4.866E-07 7.608E-07 2.041E-07
   8.500E+05 3.277E+05 1.040E+19 4.091E+04 1.166E+05 1.391E+08 2.081E-31 6.169E-11 4.552E-10 2.172E-04 1.038E-05 6.158E-08 2.465E-05 2.515E+15 8.741E+06 4.584E-01 9.677E-08 3.916E-09 8.408E-13 1.263E-11 8.764E-12 1.119E-11 2.223E-17 3.580E-10 5.093E-14 8.660E-14 6.959E-11 1.024E-12 1.937E-17 4.862E-07 7.576E-07 1.940E-07
   9.500E+05 2.816E+05 9.224E+18 1.328E+04 5.331E+04 1.685E+08 4.076E-22 7.840E-11 8.700E-10 2.431E-04 1.139E-05 7.515E-08 6.643E-06 2.242E+15 7.919E+06 6.165E-01 1.191E-07 5.407E-09 8.585E-13 9.085E-12 1.473E-11 1.476E-11 1.937E-17 2.028E-10 6.258E-14 1.634E-13 6.982E-11 1.554E-12 1.478E-17 4.860E-07 7.547E-07 1.840E-07
