
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.550E+05 2.473E+19 8.288E+05 2.755E+05 9.351E+06 0.000E+00 5.745E-12 1.418E-12 1.181E-04 5.116E-06 3.202E-09 7.855E-03 5.260E+15 6.334E+06 1.291E-02 5.399E-09 4.410E-11 2.562E-13 1.670E-11 5.339E-12 1.199E-11 1.032E-17 1.222E-09 8.697E-15 1.115E-16 9.857E-11 1.185E-14 1.125E-17 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.442E+05 2.232E+19 6.461E+05 3.399E+05 1.108E+07 0.000E+00 9.245E-12 3.034E-12 1.329E-04 5.776E-06 3.735E-09 5.020E-03 4.847E+15 5.974E+06 1.736E-02 9.549E-09 9.983E-11 2.677E-13 1.695E-11 2.326E-12 4.984E-12 1.125E-17 1.260E-09 7.988E-15 6.682E-17 8.610E-11 1.654E-14 1.474E-17 4.967E-07 7.983E-07 2.646E-07
   2.500E+05 7.445E+05 2.003E+19 6.320E+05 3.952E+05 1.644E+07 0.000E+00 1.306E-11 6.073E-12 1.456E-04 6.394E-06 5.639E-09 3.250E-03 4.438E+15 6.965E+06 2.912E-02 1.492E-08 1.995E-10 3.478E-13 1.874E-11 2.016E-12 4.362E-12 1.474E-17 1.290E-09 9.608E-15 1.086E-16 8.047E-11 3.058E-14 1.866E-17 4.939E-07 7.895E-07 2.556E-07
   3.500E+05 6.550E+05 1.799E+19 6.011E+05 4.147E+05 2.659E+07 0.000E+00 1.738E-11 1.222E-11 1.566E-04 6.990E-06 9.435E-09 1.887E-03 4.065E+15 8.183E+06 5.282E-02 2.204E-08 3.729E-10 4.548E-13 2.020E-11 2.165E-12 4.726E-12 1.866E-17 1.249E-09 1.312E-14 2.770E-16 7.837E-11 6.154E-14 2.214E-17 4.915E-07 7.817E-07 2.459E-07
   4.500E+05 5.746E+05 1.617E+19 5.042E+05 4.000E+05 4.200E+07 0.000E+00 2.248E-11 2.486E-11 1.669E-04 7.582E-06 1.557E-08 9.952E-04 3.719E+15 9.153E+06 9.293E-02 3.147E-08 6.606E-10 5.662E-13 2.079E-11 2.453E-12 5.279E-12 2.214E-17 1.137E-09 1.827E-14 8.156E-16 7.635E-11 1.207E-13 2.404E-17 4.897E-07 7.750E-07 2.358E-07
   5.500E+05 5.024E+05 1.452E+19 3.552E+05 3.457E+05 6.241E+07 0.000E+00 2.877E-11 5.055E-11 1.772E-04 8.192E-06 2.426E-08 4.710E-04 3.396E+15 9.523E+06 1.529E-01 4.362E-08 1.108E-09 6.557E-13 2.006E-11 2.860E-12 5.845E-12 2.404E-17 9.669E-10 2.466E-14 2.552E-15 7.266E-11 2.218E-13 2.434E-17 4.883E-07 7.696E-07 2.252E-07
   6.500E+05 4.376E+05 1.303E+19 2.092E+05 2.690E+05 8.677E+07 0.000E+00 3.685E-11 1.033E-10 1.884E-04 8.839E-06 3.535E-08 2.000E-04 3.091E+15 9.392E+06 2.347E-01 5.869E-08 1.768E-09 7.210E-13 1.824E-11 3.654E-12 6.823E-12 2.434E-17 7.631E-10 3.316E-14 9.085E-15 6.927E-11 3.809E-13 2.339E-17 4.874E-07 7.652E-07 2.145E-07
   7.500E+05 3.796E+05 1.166E+19 1.028E+05 1.868E+05 1.136E+08 1.303E-79 4.722E-11 2.126E-10 2.020E-04 9.551E-06 4.824E-08 7.540E-05 2.800E+15 8.999E+06 3.390E-01 7.663E-08 2.692E-09 7.720E-13 1.567E-11 5.271E-12 8.636E-12 2.339E-17 5.536E-10 4.515E-14 3.469E-14 6.814E-11 6.166E-13 2.171E-17 4.868E-07 7.617E-07 2.039E-07
   8.500E+05 3.277E+05 1.040E+19 4.159E+04 1.140E+05 1.414E+08 9.135E-37 6.046E-11 4.450E-10 2.195E-04 1.036E-05 6.195E-08 2.465E-05 2.520E+15 8.484E+06 4.660E-01 9.733E-08 3.921E-09 8.160E-13 1.265E-11 8.228E-12 1.132E-11 2.171E-17 3.640E-10 5.992E-14 1.034E-13 6.853E-11 9.527E-13 1.875E-17 4.865E-07 7.587E-07 1.936E-07
   9.500E+05 2.816E+05 9.224E+18 1.340E+04 5.192E+04 1.701E+08 5.153E-24 7.703E-11 8.474E-10 2.430E-04 1.129E-05 7.588E-08 6.643E-06 2.248E+15 7.589E+06 6.223E-01 1.203E-07 5.427E-09 8.228E-13 9.121E-12 1.373E-11 1.509E-11 1.875E-17 2.088E-10 7.458E-14 1.997E-13 6.842E-11 1.443E-12 1.422E-17 4.862E-07 7.560E-07 1.836E-07
