
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.550E+05 2.473E+19 7.285E+05 1.876E+05 8.219E+06 0.000E+00 3.096E-12 9.659E-13 7.816E-05 4.412E-06 4.253E-09 7.855E-03 5.260E+15 5.673E+06 1.135E-02 3.380E-09 3.138E-11 2.294E-13 1.522E-11 5.747E-12 1.242E-11 8.858E-18 1.113E-09 8.113E-15 1.078E-16 9.657E-11 1.377E-14 9.110E-18 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.442E+05 2.232E+19 5.496E+05 2.358E+05 9.423E+06 0.000E+00 5.101E-12 2.105E-12 8.785E-05 4.940E-06 4.806E-09 5.020E-03 4.861E+15 5.097E+06 1.477E-02 6.109E-09 7.148E-11 2.284E-13 1.508E-11 2.355E-12 4.753E-12 9.110E-18 1.142E-09 6.836E-15 5.455E-17 8.397E-11 1.837E-14 1.150E-17 4.977E-07 8.006E-07 2.667E-07
   2.500E+05 7.445E+05 2.003E+19 5.000E+05 2.787E+05 1.301E+07 0.000E+00 7.367E-12 4.282E-12 9.618E-05 5.433E-06 6.752E-09 3.250E-03 4.464E+15 5.677E+06 2.304E-02 9.751E-09 1.437E-10 2.835E-13 1.634E-11 1.952E-12 3.895E-12 1.150E-17 1.166E-09 7.597E-15 7.677E-17 7.718E-11 3.126E-14 1.420E-17 4.957E-07 7.940E-07 2.599E-07
   3.500E+05 6.550E+05 1.799E+19 4.414E+05 2.951E+05 1.952E+07 0.000E+00 1.001E-11 8.694E-12 1.034E-04 5.905E-06 1.050E-08 1.887E-03 4.102E+15 6.421E+06 3.879E-02 1.469E-08 2.694E-10 3.569E-13 1.739E-11 2.118E-12 4.187E-12 1.420E-17 1.131E-09 9.645E-15 1.806E-16 7.364E-11 5.791E-14 1.648E-17 4.942E-07 7.883E-07 2.525E-07
   4.500E+05 5.746E+05 1.617E+19 3.467E+05 2.841E+05 2.888E+07 0.000E+00 1.318E-11 1.766E-11 1.098E-04 6.367E-06 1.627E-08 9.952E-04 3.766E+15 6.968E+06 6.389E-02 2.129E-08 4.765E-10 4.310E-13 1.770E-11 2.449E-12 4.697E-12 1.648E-17 1.033E-09 1.257E-14 5.005E-16 7.037E-11 1.057E-13 1.750E-17 4.930E-07 7.837E-07 2.447E-07
   5.500E+05 5.024E+05 1.452E+19 2.307E+05 2.417E+05 4.054E+07 0.000E+00 1.703E-11 3.534E-11 1.159E-04 6.829E-06 2.409E-08 4.710E-04 3.452E+15 7.074E+06 9.931E-02 2.979E-08 7.931E-10 4.871E-13 1.692E-11 2.858E-12 5.122E-12 1.750E-17 8.791E-10 1.585E-14 1.447E-15 6.553E-11 1.825E-13 1.727E-17 4.923E-07 7.799E-07 2.366E-07
   6.500E+05 4.376E+05 1.303E+19 1.292E+05 1.824E+05 5.360E+07 0.000E+00 2.178E-11 7.003E-11 1.219E-04 7.300E-06 3.375E-08 2.000E-04 3.155E+15 6.837E+06 1.449E-01 4.021E-08 1.248E-09 5.249E-13 1.523E-11 3.568E-12 5.752E-12 1.727E-17 6.934E-10 1.982E-14 4.685E-15 6.058E-11 2.972E-13 1.613E-17 4.918E-07 7.770E-07 2.283E-07
   7.500E+05 3.796E+05 1.166E+19 6.063E+04 1.209E+05 6.698E+07 9.542E-85 2.754E-11 1.375E-10 1.284E-04 7.789E-06 4.477E-08 7.540E-05 2.870E+15 6.453E+06 1.999E-01 5.239E-08 1.863E-09 5.536E-13 1.295E-11 5.080E-12 7.075E-12 1.613E-17 5.029E-10 2.531E-14 1.722E-14 5.771E-11 4.593E-13 1.449E-17 4.915E-07 7.748E-07 2.199E-07
   8.500E+05 3.277E+05 1.040E+19 2.339E+04 6.878E+04 7.952E+07 2.980E-39 3.435E-11 2.684E-10 1.356E-04 8.301E-06 5.641E-08 2.465E-05 2.596E+15 6.015E+06 2.621E-01 6.610E-08 2.645E-09 5.786E-13 1.034E-11 7.915E-12 9.125E-12 1.449E-17 3.324E-10 3.191E-14 5.288E-14 5.667E-11 6.791E-13 1.233E-17 4.914E-07 7.729E-07 2.118E-07
   9.500E+05 2.816E+05 9.224E+18 7.154E+03 2.902E+04 9.078E+07 1.071E-25 4.215E-11 4.736E-10 1.439E-04 8.845E-06 6.838E-08 6.643E-06 2.330E+15 5.378E+06 3.321E-01 8.095E-08 3.560E-09 5.831E-13 7.445E-12 1.298E-11 1.188E-11 1.233E-17 1.962E-10 3.795E-14 1.053E-13 5.576E-11 9.827E-13 9.549E-18 4.914E-07 7.713E-07 2.037E-07
