
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.558E+05 2.433E+19 3.925E+05 2.247E+04 3.321E+06 0.000E+00 1.892E-13 8.555E-14 1.742E-05 2.775E-06 7.836E-09 1.080E-02 5.177E+15 3.477E+06 4.537E-03 2.698E-10 3.030E-12 1.429E-13 1.118E-11 8.145E-12 1.726E-11 5.883E-18 7.915E-10 8.026E-15 1.069E-16 9.428E-11 2.131E-14 5.134E-18 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.471E+05 2.181E+19 3.079E+05 3.563E+04 3.279E+06 0.000E+00 3.355E-13 1.953E-13 1.904E-05 3.017E-06 7.892E-09 8.363E-03 4.890E+15 2.768E+06 5.112E-03 5.255E-10 7.254E-12 1.269E-13 1.088E-11 3.163E-12 5.955E-12 5.134E-18 8.145E-10 4.737E-15 2.808E-17 8.443E-11 2.492E-14 4.897E-18 4.991E-07 8.043E-07 2.720E-07
   2.500E+05 7.493E+05 1.970E+19 2.153E+05 4.399E+04 3.494E+06 0.000E+00 5.264E-13 4.199E-13 2.026E-05 3.234E-06 8.754E-09 5.318E-03 4.657E+15 2.493E+06 6.194E-03 9.178E-10 1.557E-11 1.265E-13 1.045E-11 2.187E-12 3.572E-12 4.897E-18 8.108E-10 3.649E-15 2.045E-17 7.757E-11 3.119E-14 5.301E-18 4.985E-07 8.012E-07 2.708E-07
   3.500E+05 6.612E+05 1.771E+19 1.582E+05 5.205E+04 3.965E+06 0.000E+00 7.722E-13 8.705E-13 2.119E-05 3.433E-06 1.057E-08 3.375E-03 4.415E+15 2.489E+06 7.941E-03 1.495E-09 3.054E-11 1.405E-13 1.059E-11 2.199E-12 3.256E-12 5.301E-18 7.803E-10 3.525E-15 2.840E-17 7.364E-11 4.309E-14 5.791E-18 4.980E-07 7.987E-07 2.696E-07
   4.500E+05 5.821E+05 1.591E+19 1.094E+05 5.541E+04 4.615E+06 0.000E+00 1.079E-12 1.760E-12 2.179E-05 3.616E-06 1.331E-08 1.979E-03 4.182E+15 2.524E+06 1.038E-02 2.305E-09 5.564E-11 1.586E-13 1.064E-11 2.641E-12 3.562E-12 5.791E-18 7.217E-10 3.754E-15 5.651E-17 7.134E-11 6.178E-14 6.040E-18 4.978E-07 7.967E-07 2.682E-07
   5.500E+05 5.110E+05 1.430E+19 6.735E+04 5.088E+04 5.332E+06 0.000E+00 1.444E-12 3.400E-12 2.211E-05 3.787E-06 1.687E-08 1.047E-03 3.963E+15 2.512E+06 1.336E-02 3.372E-09 9.389E-11 1.757E-13 1.028E-11 3.362E-12 4.056E-12 6.040E-18 6.330E-10 4.071E-15 1.322E-16 6.920E-11 8.809E-14 5.849E-18 4.976E-07 7.950E-07 2.668E-07
   6.500E+05 4.472E+05 1.284E+19 3.596E+04 3.930E+04 5.998E+06 0.000E+00 1.852E-12 6.172E-12 2.216E-05 3.947E-06 2.107E-08 4.958E-04 3.754E+15 2.403E+06 1.666E-02 4.655E-09 1.460E-10 1.871E-13 9.385E-12 4.137E-12 4.335E-12 5.849E-18 5.210E-10 4.233E-15 3.102E-16 6.605E-11 1.226E-13 5.241E-18 4.976E-07 7.938E-07 2.653E-07
   7.500E+05 3.899E+05 1.153E+19 1.637E+04 2.528E+04 6.530E+06 6.170-152 2.280E-12 1.056E-11 2.199E-05 4.097E-06 2.576E-08 2.077E-04 3.551E+15 2.195E+06 2.002E-02 6.068E-09 2.102E-10 1.905E-13 8.057E-12 4.887E-12 4.301E-12 5.241E-18 4.015E-10 4.175E-15 7.249E-16 6.202E-11 1.660E-13 4.548E-18 4.976E-07 7.928E-07 2.637E-07
   8.500E+05 3.386E+05 1.032E+19 6.289E+03 1.329E+04 6.884E+06 1.485E-67 2.699E-12 1.695E-11 2.164E-05 4.238E-06 3.083E-08 7.600E-05 3.349E+15 1.994E+06 2.329E-02 7.507E-09 2.818E-10 1.932E-13 6.574E-12 6.263E-12 4.493E-12 4.548E-18 2.920E-10 4.158E-15 2.014E-15 5.869E-11 2.198E-13 4.013E-18 4.976E-07 7.921E-07 2.621E-07
   9.500E+05 2.927E+05 9.205E+18 1.950E+03 5.301E+03 7.108E+06 1.208E-40 3.087E-12 2.510E-11 2.117E-05 4.370E-06 3.647E-08 2.295E-05 3.155E+15 1.868E+06 2.657E-02 8.881E-09 3.545E-10 2.029E-13 5.129E-12 8.980E-12 5.148E-12 4.013E-18 2.023E-10 4.348E-15 6.043E-15 5.712E-11 2.878E-13 3.529E-18 4.977E-07 7.914E-07 2.605E-07
   1.050E+06 2.519E+05 8.173E+18 4.089E+02 1.248E+03 7.538E+06 1.857E-33 3.429E-12 3.346E-11 2.062E-05 4.496E-06 4.473E-08 4.564E-06 3.023E+15 1.759E+06 3.127E-02 1.014E-08 4.224E-10 2.152E-13 3.747E-12 1.323E-11 6.168E-12 3.529E-18 1.253E-10 4.802E-15 1.462E-14 5.781E-11 3.860E-13 3.380E-18 4.978E-07 7.907E-07 2.582E-07
   1.150E+06 2.158E+05 7.209E+18 4.581E+02 1.306E+03 8.866E+06 4.214E-31 3.731E-12 4.141E-11 2.004E-05 4.614E-06 6.138E-08 4.374E-06 3.102E+15 1.833E+06 4.109E-02 1.127E-08 4.843E-10 2.543E-13 3.013E-12 1.812E-11 7.840E-12 3.380E-18 6.698E-11 6.448E-15 2.455E-14 6.457E-11 5.466E-13 2.699E-18 4.979E-07 7.894E-07 2.537E-07
