
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.566E+05 2.408E+19 7.561E+05 1.726E+05 5.268E+06 0.000E+00 2.225E-12 5.388E-13 6.775E-05 4.184E-06 3.229E-09 1.330E-02 5.122E+15 5.255E+06 7.187E-03 2.247E-09 1.535E-11
   1.500E+05 8.484E+05 2.185E+19 5.194E+05 2.132E+05 5.476E+06 0.000E+00 3.676E-12 1.167E-12 7.559E-05 4.647E-06 3.316E-09 8.358E-03 4.784E+15 4.419E+06 8.617E-03 4.085E-09 3.740E-11
   2.500E+05 7.504E+05 1.973E+19 4.451E+05 2.453E+05 7.167E+06 0.000E+00 5.338E-12 2.338E-12 8.252E-05 5.078E-06 4.401E-09 5.315E-03 4.447E+15 4.748E+06 1.279E-02 6.587E-09 7.905E-11
   3.500E+05 6.622E+05 1.774E+19 4.230E+05 2.742E+05 1.055E+07 0.000E+00 7.265E-12 4.581E-12 8.847E-05 5.484E-06 6.720E-09 3.374E-03 4.113E+15 5.543E+06 2.121E-02 9.975E-09 1.524E-10
   4.500E+05 5.830E+05 1.594E+19 3.742E+05 2.845E+05 1.574E+07 0.000E+00 9.521E-12 9.024E-12 9.344E-05 5.873E-06 1.057E-08 1.978E-03 3.798E+15 6.331E+06 3.545E-02 1.453E-08 2.761E-10
   5.500E+05 5.118E+05 1.432E+19 2.855E+05 2.654E+05 2.258E+07 0.000E+00 1.218E-11 1.771E-11 9.774E-05 6.252E-06 1.613E-08 1.046E-03 3.505E+15 6.814E+06 5.658E-02 2.052E-08 4.722E-10
   6.500E+05 4.479E+05 1.286E+19 1.827E+05 2.166E+05 3.048E+07 0.000E+00 1.528E-11 3.396E-11 1.016E-04 6.626E-06 2.333E-08 4.958E-04 3.230E+15 6.832E+06 8.450E-02 2.798E-08 7.585E-10
   7.500E+05 3.905E+05 1.154E+19 9.674E+04 1.525E+05 3.865E+07 0.000E+00 1.885E-11 6.360E-11 1.051E-04 6.998E-06 3.185E-08 2.077E-04 2.968E+15 6.456E+06 1.182E-01 3.675E-08 1.147E-09
   8.500E+05 3.391E+05 1.033E+19 4.211E+04 9.027E+04 4.617E+07 1.405E-86 2.282E-11 1.149E-10 1.086E-04 7.369E-06 4.113E-08 7.604E-05 2.716E+15 5.919E+06 1.556E-01 4.646E-08 1.634E-09
   9.500E+05 2.931E+05 9.219E+18 1.444E+04 4.128E+04 5.270E+07 1.323E-46 2.705E-11 1.949E-10 1.123E-04 7.741E-06 5.091E-08 2.298E-05 2.474E+15 5.293E+06 1.961E-01 5.670E-08 2.190E-09
   1.050E+06 2.523E+05 8.185E+18 3.280E+03 1.092E+04 6.036E+07 5.603E-36 3.144E-11 2.909E-10 1.162E-04 8.115E-06 6.344E-08 4.586E-06 2.252E+15 4.400E+06 2.492E-01 6.710E-08 2.770E-09
   1.150E+06 2.161E+05 7.220E+18 3.753E+03 1.253E+04 7.247E+07 1.542E-32 3.604E-11 3.950E-10 1.208E-04 8.499E-06 8.311E-08 4.395E-06 2.096E+15 5.068E+06 3.346E-01 7.764E-08 3.361E-09
   1.250E+06 1.844E+05 6.317E+18 4.175E+03 1.288E+04 9.017E+07 1.155E-29 4.107E-11 5.171E-10 1.267E-04 8.908E-06 1.126E-07 3.943E-06 2.056E+15 5.813E+06 4.704E-01 8.859E-08 3.987E-09
   1.350E+06 1.567E+05 5.484E+18 3.935E+03 1.087E+04 1.122E+08 1.881E-27 4.680E-11 6.621E-10 1.349E-04 9.363E-06 1.517E-07 2.993E-06 2.183E+15 6.124E+06 6.685E-01 1.002E-07 4.662E-09
   1.450E+06 1.327E+05 4.733E+18 3.250E+03 8.076E+03 1.357E+08 6.783E-26 5.352E-11 8.335E-10 1.458E-04 9.889E-06 1.967E-07 2.047E-06 2.472E+15 5.963E+06 9.297E-01 1.127E-07 5.397E-09
