
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.566E+05 2.408E+19 7.569E+05 1.631E+05 5.311E+06 0.000E+00 1.970E-12 5.090E-13 6.481E-05 4.301E-06 3.403E-09 1.330E-02 5.123E+15 5.324E+06 7.194E-03 2.068E-09 1.480E-11
   1.500E+05 8.484E+05 2.185E+19 5.160E+05 2.028E+05 5.477E+06 0.000E+00 3.278E-12 1.111E-12 7.185E-05 4.746E-06 3.490E-09 8.358E-03 4.793E+15 4.436E+06 8.561E-03 3.786E-09 3.612E-11
   2.500E+05 7.504E+05 1.973E+19 4.370E+05 2.349E+05 7.073E+06 0.000E+00 4.791E-12 2.240E-12 7.798E-05 5.156E-06 4.597E-09 5.315E-03 4.464E+15 4.725E+06 1.256E-02 6.149E-09 7.647E-11
   3.500E+05 6.622E+05 1.774E+19 4.099E+05 2.638E+05 1.026E+07 0.000E+00 6.558E-12 4.408E-12 8.313E-05 5.538E-06 6.956E-09 3.374E-03 4.137E+15 5.472E+06 2.055E-02 9.368E-09 1.475E-10
   4.500E+05 5.830E+05 1.594E+19 3.578E+05 2.742E+05 1.508E+07 0.000E+00 8.635E-12 8.698E-12 8.728E-05 5.900E-06 1.084E-08 1.978E-03 3.828E+15 6.204E+06 3.390E-02 1.371E-08 2.672E-10
   5.500E+05 5.118E+05 1.432E+19 2.694E+05 2.552E+05 2.133E+07 0.000E+00 1.108E-11 1.703E-11 9.071E-05 6.249E-06 1.642E-08 1.046E-03 3.541E+15 6.635E+06 5.338E-02 1.941E-08 4.560E-10
   6.500E+05 4.479E+05 1.286E+19 1.702E+05 2.069E+05 2.839E+07 0.000E+00 1.391E-11 3.245E-11 9.362E-05 6.588E-06 2.358E-08 4.958E-04 3.270E+15 6.614E+06 7.871E-02 2.648E-08 7.294E-10
   7.500E+05 3.905E+05 1.154E+19 8.900E+04 1.441E+05 3.553E+07 0.000E+00 1.712E-11 6.013E-11 9.615E-05 6.921E-06 3.201E-08 2.077E-04 3.013E+15 6.217E+06 1.087E-01 3.471E-08 1.096E-09
   8.500E+05 3.391E+05 1.033E+19 3.828E+04 8.418E+04 4.192E+07 3.155E-83 2.063E-11 1.071E-10 9.851E-05 7.247E-06 4.119E-08 7.604E-05 2.765E+15 5.674E+06 1.415E-01 4.373E-08 1.549E-09
   9.500E+05 2.931E+05 9.219E+18 1.298E+04 3.788E+04 4.731E+07 1.437E-45 2.429E-11 1.788E-10 1.008E-04 7.567E-06 5.089E-08 2.298E-05 2.527E+15 5.060E+06 1.764E-01 5.311E-08 2.059E-09
   1.050E+06 2.523E+05 8.185E+18 2.921E+03 9.878E+03 5.365E+07 1.421E-35 2.799E-11 2.631E-10 1.033E-04 7.883E-06 6.345E-08 4.586E-06 2.311E+15 4.207E+06 2.220E-01 6.249E-08 2.582E-09
   1.150E+06 2.161E+05 7.220E+18 3.325E+03 1.120E+04 6.412E+07 2.474E-32 3.177E-11 3.529E-10 1.061E-04 8.199E-06 8.373E-08 4.395E-06 2.173E+15 4.777E+06 2.964E-01 7.183E-08 3.107E-09
   1.250E+06 1.844E+05 6.317E+18 3.715E+03 1.136E+04 8.023E+07 1.282E-29 3.581E-11 4.561E-10 1.098E-04 8.528E-06 1.156E-07 3.943E-06 2.174E+15 5.396E+06 4.186E-01 8.137E-08 3.654E-09
   1.350E+06 1.567E+05 5.484E+18 3.554E+03 9.467E+03 1.015E+08 1.614E-27 4.034E-11 5.769E-10 1.152E-04 8.889E-06 1.607E-07 2.993E-06 2.377E+15 5.598E+06 6.038E-01 9.137E-08 4.236E-09
   1.450E+06 1.327E+05 4.733E+18 2.991E+03 6.964E+03 1.253E+08 5.000E-26 4.561E-11 7.187E-10 1.225E-04 9.302E-06 2.161E-07 2.047E-06 2.774E+15 5.374E+06 8.557E-01 1.021E-07 4.868E-09
