
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.558E+05 2.433E+19 3.416E+05 1.011E+04 2.888E+06 0.000E+00 6.909E-14 3.848E-14 1.320E-05 2.693E-06 8.990E-09 1.080E-02 5.177E+15 3.273E+06 3.949E-03 1.105E-10 1.459E-12 1.345E-13 1.044E-11 8.917E-12 1.794E-11 5.536E-18 7.127E-10 7.817E-15 1.083E-16 9.364E-11 2.581E-14 4.694E-18 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.471E+05 2.181E+19 2.729E+05 1.674E+04 2.903E+06 0.000E+00 1.282E-13 9.178E-14 1.481E-05 2.983E-06 8.986E-09 8.363E-03 4.886E+15 2.578E+06 4.532E-03 2.257E-10 3.573E-12 1.182E-13 1.019E-11 3.570E-12 6.237E-12 4.694E-18 7.308E-10 4.312E-15 2.677E-17 8.423E-11 2.997E-14 4.317E-18 4.993E-07 8.046E-07 2.724E-07
   2.500E+05 7.493E+05 1.970E+19 1.884E+05 2.152E+04 3.055E+06 0.000E+00 2.113E-13 2.054E-13 1.612E-05 3.252E-06 9.620E-09 5.318E-03 4.648E+15 2.278E+06 5.421E-03 4.134E-10 7.847E-12 1.156E-13 9.654E-12 2.456E-12 3.608E-12 4.317E-18 7.161E-10 3.121E-15 1.767E-17 7.744E-11 3.619E-14 4.503E-18 4.988E-07 8.019E-07 2.716E-07
   3.500E+05 6.612E+05 1.771E+19 1.348E+05 2.627E+04 3.377E+06 0.000E+00 3.249E-13 4.394E-13 1.724E-05 3.504E-06 1.106E-08 3.375E-03 4.403E+15 2.226E+06 6.767E-03 7.021E-10 1.570E-11 1.256E-13 9.610E-12 2.451E-12 3.151E-12 4.503E-18 6.739E-10 2.864E-15 2.233E-17 7.340E-11 4.761E-14 4.781E-18 4.985E-07 7.997E-07 2.709E-07
   4.500E+05 5.821E+05 1.591E+19 9.062E+04 2.854E+04 3.821E+06 0.000E+00 4.735E-13 9.065E-13 1.810E-05 3.742E-06 1.327E-08 1.979E-03 4.167E+15 2.218E+06 8.596E-03 1.122E-09 2.907E-11 1.394E-13 9.509E-12 2.945E-12 3.338E-12 4.781E-18 6.081E-10 2.925E-15 4.126E-17 7.098E-11 6.504E-14 4.910E-18 4.983E-07 7.978E-07 2.700E-07
   5.500E+05 5.110E+05 1.430E+19 5.450E+04 2.640E+04 4.315E+06 0.000E+00 6.568E-13 1.764E-12 1.871E-05 3.965E-06 1.612E-08 1.047E-03 3.945E+15 2.187E+06 1.081E-02 1.690E-09 4.965E-11 1.530E-13 9.067E-12 3.760E-12 3.707E-12 4.910E-18 5.209E-10 3.069E-15 9.106E-17 6.893E-11 8.896E-14 4.746E-18 4.982E-07 7.964E-07 2.691E-07
   6.500E+05 4.472E+05 1.284E+19 2.859E+04 2.026E+04 4.770E+06 0.000E+00 8.676E-13 3.182E-12 1.909E-05 4.176E-06 1.946E-08 4.958E-04 3.733E+15 2.086E+06 1.324E-02 2.388E-09 7.778E-11 1.624E-13 8.202E-12 4.641E-12 3.888E-12 4.746E-18 4.201E-10 3.117E-15 2.047E-16 6.622E-11 1.197E-13 4.305E-18 4.982E-07 7.953E-07 2.681E-07
   7.500E+05 3.899E+05 1.153E+19 1.285E+04 1.282E+04 5.127E+06 0.000E+00 1.095E-12 5.357E-12 1.924E-05 4.373E-06 2.312E-08 2.077E-04 3.527E+15 1.911E+06 1.572E-02 3.178E-09 1.126E-10 1.658E-13 7.023E-12 5.473E-12 3.789E-12 4.305E-18 3.189E-10 3.023E-15 4.611E-16 6.290E-11 1.577E-13 3.858E-18 4.983E-07 7.944E-07 2.671E-07
   8.500E+05 3.386E+05 1.032E+19 4.893E+03 6.567E+03 5.357E+06 2.249-116 1.328E-12 8.375E-12 1.919E-05 4.559E-06 2.706E-08 7.600E-05 3.323E+15 1.758E+06 1.812E-02 4.014E-09 1.519E-10 1.704E-13 5.768E-12 6.893E-12 3.852E-12 3.858E-18 2.302E-10 2.974E-15 1.225E-15 6.016E-11 2.043E-13 3.603E-18 4.983E-07 7.937E-07 2.660E-07
   9.500E+05 2.927E+05 9.205E+18 1.507E+03 2.552E+03 5.497E+06 1.480E-60 1.559E-12 1.208E-11 1.901E-05 4.732E-06 3.142E-08 2.295E-05 3.128E+15 1.692E+06 2.054E-02 4.862E-09 1.932E-10 1.838E-13 4.599E-12 9.577E-12 4.264E-12 3.603E-18 1.598E-10 3.097E-15 3.512E-15 5.883E-11 2.628E-13 3.390E-18 4.984E-07 7.931E-07 2.649E-07
   1.050E+06 2.519E+05 8.173E+18 3.136E+02 5.978E+02 5.783E+06 3.377E-44 1.786E-12 1.602E-11 1.871E-05 4.892E-06 3.782E-08 4.564E-06 2.992E+15 1.655E+06 2.398E-02 5.708E-09 2.347E-10 2.024E-13 3.495E-12 1.368E-11 4.942E-12 3.390E-18 1.000E-10 3.410E-15 8.143E-15 5.942E-11 3.463E-13 3.231E-18 4.985E-07 7.924E-07 2.632E-07
   1.150E+06 2.158E+05 7.209E+18 3.474E+02 6.332E+02 6.726E+06 2.226E-40 2.014E-12 2.008E-11 1.837E-05 5.042E-06 5.080E-08 4.374E-06 3.062E+15 1.722E+06 3.116E-02 6.561E-09 2.764E-10 2.388E-13 2.756E-12 1.898E-11 6.228E-12 3.231E-18 5.312E-11 4.436E-15 1.308E-14 6.526E-11 4.813E-13 2.554E-18 4.986E-07 7.911E-07 2.600E-07
   1.250E+06 1.841E+05 6.308E+18 4.144E+02 6.077E+02 8.980E+06 3.668E-37 2.254E-12 2.452E-11 1.819E-05 5.182E-06 7.825E-08 3.928E-06 3.536E+15 1.712E+06 4.693E-02 7.448E-09 3.200E-10 2.715E-13 2.210E-12 2.533E-11 8.799E-12 2.554E-18 2.620E-11 6.756E-15 2.562E-14 8.051E-11 6.915E-13 1.674E-18 4.988E-07 7.889E-07 2.534E-07
   1.350E+06 1.564E+05 5.476E+18 4.573E+02 4.858E+02 1.306E+07 1.301E-34 2.522E-12 2.962E-11 1.815E-05 5.316E-06 1.314E-07 2.995E-06 4.606E+15 1.604E+06 7.774E-02 8.418E-09 3.680E-10 2.929E-13 1.828E-12 3.441E-11 1.428E-11 1.674E-18 1.434E-11 1.158E-14 6.416E-14 1.109E-10 9.785E-13 1.002E-18 4.992E-07 7.850E-07 2.417E-07
   1.450E+06 1.325E+05 4.726E+18 4.473E+02 3.443E+02 1.891E+07 1.111E-32 2.844E-12 3.586E-11 1.825E-05 5.449E-06 2.193E-07 2.031E-06 6.234E+15 1.365E+06 1.291E-01 9.555E-09 4.242E-10 2.889E-13 1.468E-12 5.024E-11 2.532E-11 1.002E-18 8.214E-12 1.916E-14 1.657E-13 1.559E-10 1.342E-12 6.561E-19 4.997E-07 7.794E-07 2.245E-07
   1.550E+06 1.119E+05 4.063E+18 4.197E+02 2.502E+02 2.591E+07 3.935E-31 3.260E-12 4.408E-11 1.852E-05 5.586E-06 3.444E-07 1.397E-06 8.114E+15 1.127E+06 2.038E-01 1.098E-08 4.951E-10 2.773E-13 1.184E-12 7.586E-11 4.434E-11 6.561E-19 4.840E-12 2.873E-14 3.720E-13 2.074E-10 1.813E-12 5.150E-19 5.004E-07 7.721E-07 2.032E-07
   1.650E+06 9.427E+04 3.481E+18 3.843E+02 1.879E+02 3.427E+07 9.574E-30 3.828E-12 5.561E-11 1.936E-05 5.735E-06 5.086E-07 9.709E-07 9.962E+15 9.675E+05 3.115E-01 1.287E-08 5.895E-10 2.779E-13 1.021E-12 1.118E-10 7.202E-11 5.150E-19 3.202E-12 4.024E-14 7.080E-13 2.567E-10 2.457E-12 5.043E-19 5.011E-07 7.628E-07 1.793E-07
   1.750E+06 7.917E+04 2.970E+18 3.520E+02 1.509E+02 4.369E+07 2.001E-28 4.631E-12 7.251E-11 2.072E-05 5.906E-06 7.099E-07 7.006E-07 1.147E+16 9.061E+05 4.611E-01 1.546E-08 7.198E-10 3.051E-13 9.980E-13 1.543E-10 1.049E-10 5.043E-19 2.648E-12 5.431E-14 1.142E-12 2.969E-10 3.390E-12 6.101E-19 5.019E-07 7.517E-07 1.544E-07
   1.850E+06 6.632E+04 2.521E+18 3.413E+02 1.352E+02 5.444E+07 3.975E-27 5.781E-12 9.800E-11 2.275E-05 6.107E-06 9.489E-07 5.471E-07 1.246E+16 9.383E+05 6.714E-01 1.903E-08 9.025E-10 3.722E-13 1.136E-12 1.962E-10 1.378E-10 6.101E-19 2.878E-12 7.275E-14 1.610E-12 3.262E-10 4.813E-12 8.861E-19 5.027E-07 7.388E-07 1.299E-07
