
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.538E+05 2.447E+19 2.405E+05 1.563E-17 2.557E+06 0.000E+00 3.899E-34 6.836E-35 5.209E-06 2.274E-06 2.006E-08 9.341E-03 5.206E+18 2.614E+06 3.190E-03 3.478E-31 1.418E-33 1.068E-13 8.344E-12 8.073E-12 2.517E-11 4.243E-21 5.244E-10 1.823E-14 4.108E-16 1.504E-10 4.300E-17 3.719E-21 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.441E+05 2.208E+19 1.751E+05 2.599E-15 2.729E+06 0.000E+00 6.573E-32 1.904E-32 5.605E-06 2.453E-06 2.205E-08 6.181E-03 4.698E+18 2.150E+06 3.872E-03 7.267E-29 5.365E-31 9.738E-14 7.811E-12 4.757E-12 1.300E-11 3.719E-21 5.251E-10 1.261E-14 2.224E-16 1.718E-10 5.554E-17 3.904E-21 4.995E-07 8.054E-07 2.730E-07
   2.500E+05 7.454E+05 1.983E+19 1.296E+05 3.185E-13 2.918E+06 0.000E+00 8.224E-30 3.824E-30 5.926E-06 2.609E-06 2.483E-08 4.200E-03 4.218E+18 2.071E+06 4.679E-03 1.103E-26 1.244E-28 1.044E-13 7.605E-12 4.799E-12 1.163E-11 3.904E-21 5.036E-10 1.223E-14 2.840E-16 2.047E-10 7.517E-17 4.087E-21 4.992E-07 8.034E-07 2.729E-07
   3.500E+05 6.568E+05 1.783E+19 8.269E+04 2.244E-11 3.084E+06 0.000E+00 6.856E-28 5.044E-28 6.081E-06 2.745E-06 2.845E-08 2.495E-03 3.793E+18 2.000E+06 5.560E-03 1.096E-24 1.694E-26 1.122E-13 7.111E-12 6.180E-12 1.311E-11 4.087E-21 4.444E-10 1.288E-14 5.687E-16 2.412E-10 1.022E-16 4.286E-21 4.990E-07 8.017E-07 2.728E-07
   4.500E+05 5.771E+05 1.602E+19 4.782E+04 1.032E-09 3.206E+06 0.000E+00 3.876E-26 4.686E-26 6.122E-06 2.863E-06 3.269E-08 1.375E-03 3.409E+18 1.941E+06 6.457E-03 7.269E-23 1.434E-24 1.212E-13 6.375E-12 8.425E-12 1.547E-11 4.286E-21 3.619E-10 1.350E-14 1.280E-15 2.757E-10 1.383E-16 4.353E-21 4.988E-07 8.004E-07 2.728E-07
   5.500E+05 5.056E+05 1.439E+19 2.437E+04 9.934E-08 3.247E+06 0.000E+00 1.555E-24 1.002E-23 6.048E-06 2.965E-06 3.730E-08 6.891E-04 3.062E+18 1.832E+06 7.264E-03 3.732E-21 1.245E-22 1.273E-13 5.359E-12 1.126E-11 1.752E-11 4.353E-21 2.724E-10 1.338E-14 2.874E-15 3.025E-10 1.846E-16 4.104E-21 4.988E-07 7.994E-07 2.727E-07
   6.500E+05 4.414E+05 1.291E+19 1.085E+04 5.883E-06 3.197E+06 0.000E+00 4.865E-23 1.463E-21 5.877E-06 3.053E-06 4.212E-08 3.115E-04 2.747E+18 1.602E+06 7.919E-03 1.898E-19 1.165E-20 1.240E-13 4.173E-12 1.381E-11 1.779E-11 4.104E-21 1.910E-10 1.217E-14 5.868E-15 3.180E-10 2.421E-16 3.647E-21 4.988E-07 7.987E-07 2.726E-07
   7.500E+05 3.838E+05 1.156E+19 4.191E+03 8.242E-05 3.059E+06 0.000E+00 1.076E-21 5.658E-20 5.615E-06 3.130E-06 4.712E-08 1.260E-04 2.460E+18 1.309E+06 8.380E-03 5.735E-18 4.200E-19 1.132E-13 3.011E-12 1.649E-11 1.720E-11 3.647E-21 1.265E-10 1.037E-14 1.192E-14 3.253E-10 3.138E-16 3.279E-21 4.987E-07 7.982E-07 2.725E-07
   8.500E+05 3.324E+05 1.032E+19 1.386E+03 4.074E-04 2.863E+06 0.000E+00 1.554E-20 8.832E-19 5.296E-06 3.196E-06 5.236E-08 4.468E-05 2.197E+18 1.071E+06 8.680E-03 8.932E-17 6.594E-18 1.037E-13 2.043E-12 2.119E-11 1.766E-11 3.279E-21 8.110E-11 8.707E-15 2.719E-14 3.297E-10 4.050E-16 3.041E-21 4.987E-07 7.978E-07 2.724E-07
   9.500E+05 2.866E+05 9.171E+18 3.842E+02 9.356E-04 2.647E+06 0.000E+00 1.582E-19 7.588E-18 4.955E-06 3.253E-06 5.826E-08 1.344E-05 1.951E+18 8.864E+05 8.924E-03 8.570E-16 5.922E-17 9.665E-14 1.367E-12 2.792E-11 1.868E-11 3.041E-21 5.162E-11 7.340E-15 5.642E-14 3.341E-10 5.293E-16 2.739E-21 4.987E-07 7.974E-07 2.723E-07
