
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3
   5.000E+04 9.550E+05 2.401E+19 3.092E+05 1.731E-18 2.334E+06 0.000E+00 4.127E-35 5.261E-36 5.428E-06 2.276E-06 1.791E-08 1.371E-02 5.107E+18 2.814E+06 2.863E-03 3.189E-32 8.323E-35 1.172E-13 9.708E-12 7.944E-12 2.490E-11 5.186E-21 6.213E-10 1.845E-14 2.775E-16 1.535E-10
   1.500E+05 8.471E+05 2.179E+19 2.185E+05 3.253E-16 2.510E+06 0.000E+00 7.803E-33 1.740E-33 5.832E-06 2.462E-06 1.976E-08 8.579E-03 4.635E+18 2.302E+06 3.543E-03 7.690E-30 4.309E-32 1.056E-13 8.860E-12 4.685E-12 1.271E-11 4.419E-21 6.102E-10 1.231E-14 1.516E-16 1.745E-10
   2.500E+05 7.493E+05 1.973E+19 1.484E+05 4.416E-14 2.721E+06 0.000E+00 1.147E-30 4.301E-31 6.137E-06 2.628E-06 2.247E-08 5.204E-03 4.197E+18 2.151E+06 4.355E-03 1.400E-27 1.330E-29 1.090E-13 8.266E-12 4.872E-12 1.143E-11 4.337E-21 5.702E-10 1.161E-14 2.129E-16 2.072E-10
   3.500E+05 6.610E+05 1.782E+19 9.122E+04 3.700E-12 2.918E+06 0.000E+00 1.154E-28 7.111E-29 6.302E-06 2.774E-06 2.599E-08 2.920E-03 3.791E+18 2.064E+06 5.254E-03 1.709E-25 2.361E-27 1.158E-13 7.573E-12 6.357E-12 1.288E-11 4.411E-21 4.930E-10 1.215E-14 4.496E-16 2.435E-10
   4.500E+05 5.812E+05 1.606E+19 5.113E+04 1.933E-10 3.061E+06 0.000E+00 7.904E-27 7.805E-27 6.347E-06 2.903E-06 3.003E-08 1.542E-03 3.416E+18 1.998E+06 6.150E-03 1.390E-23 2.517E-25 1.244E-13 6.693E-12 8.702E-12 1.512E-11 4.550E-21 3.955E-10 1.272E-14 1.049E-15 2.781E-10
   5.500E+05 5.095E+05 1.443E+19 2.636E+04 1.365E-08 3.120E+06 0.000E+00 3.745E-25 1.219E-24 6.301E-06 3.017E-06 3.430E-08 7.761E-04 3.071E+18 1.910E+06 6.966E-03 7.981E-22 2.099E-23 1.324E-13 5.652E-12 1.163E-11 1.707E-11 4.661E-21 2.961E-10 1.277E-14 2.366E-15 3.054E-10
   6.500E+05 4.451E+05 1.294E+19 1.240E+04 1.130E-06 3.090E+06 0.000E+00 1.316E-23 2.373E-22 6.181E-06 3.117E-06 3.863E-08 3.681E-04 2.753E+18 1.720E+06 7.653E-03 4.163E-20 2.100E-21 1.330E-13 4.517E-12 1.434E-11 1.747E-11 4.540E-21 2.088E-10 1.190E-14 4.758E-15 3.220E-10
   7.500E+05 3.875E+05 1.157E+19 5.239E+03 2.369E-05 2.976E+06 0.000E+00 3.331E-22 1.266E-20 5.987E-06 3.205E-06 4.298E-08 1.617E-04 2.461E+18 1.455E+06 8.178E-03 1.484E-18 9.817E-20 1.258E-13 3.408E-12 1.699E-11 1.690E-11 4.207E-21 1.401E-10 1.042E-14 9.128E-15 3.299E-10
   8.500E+05 3.361E+05 1.031E+19 1.937E+03 1.652E-04 2.800E+06 0.000E+00 5.591E-21 2.515E-19 5.731E-06 3.281E-06 4.740E-08 6.373E-05 2.193E+18 1.217E+06 8.548E-03 2.804E-17 1.935E-18 1.180E-13 2.436E-12 2.113E-11 1.693E-11 3.898E-21 9.106E-11 8.918E-15 1.917E-14 3.341E-10
   9.500E+05 2.904E+05 9.156E+18 5.879E+02 4.961E-04 2.599E+06 0.000E+00 6.497E-20 2.591E-18 5.434E-06 3.348E-06 5.223E-08 2.091E-05 1.948E+18 1.024E+06 8.831E-03 3.177E-16 2.078E-17 1.118E-13 1.692E-12 2.720E-11 1.750E-11 3.679E-21 5.844E-11 7.630E-15 4.082E-14 3.378E-10
   1.050E+06 2.498E+05 8.106E+18 1.132E+02 5.887E-04 2.452E+06 0.000E+00 5.639E-19 1.694E-17 5.085E-06 3.406E-06 5.949E-08 4.287E-06 1.725E+18 8.211E+05 9.296E-03 2.524E-15 1.483E-16 1.013E-13 1.145E-12 3.357E-11 1.780E-11 3.330E-21 3.431E-11 6.452E-15 7.134E-14 3.445E-10
   1.150E+06 2.140E+05 7.152E+18 1.160E+02 2.469E-03 2.522E+06 0.000E+00 3.842E-18 8.050E-17 4.701E-06 3.457E-06 7.500E-08 4.289E-06 1.522E+18 5.983E+05 1.069E-02 1.566E-14 8.065E-16 8.366E-14 6.610E-13 4.489E-11 2.137E-11 2.734E-21 1.552E-11 5.320E-15 7.517E-14 3.674E-10
   1.250E+06 1.829E+05 6.116E+18 1.497E+02 8.159E-03 3.250E+06 0.000E+00 2.084E-17 3.106E-16 4.810E-06 3.501E-06 1.105E-07 4.295E-06 1.301E+18 3.905E+05 1.611E-02 7.938E-14 3.648E-15 6.386E-14 4.432E-13 5.533E-11 3.208E-11 2.269E-21 5.186E-12 4.964E-15 9.451E-14 4.234E-10
   1.350E+06 1.563E+05 5.227E+18 2.201E+02 2.345E-02 4.767E+06 0.000E+00 9.031E-17 1.042E-15 4.930E-06 3.540E-06 1.850E-07 4.305E-06 1.112E+18 2.870E+05 2.765E-02 3.324E-13 1.415E-14 5.491E-14 3.773E-13 6.557E-11 5.355E-11 2.092E-21 1.654E-12 7.291E-15 2.015E-13 5.474E-10
   1.450E+06 1.336E+05 4.468E+18 3.312E+02 6.051E-02 7.143E+06 0.000E+00 3.254E-16 3.133E-15 5.067E-06 3.575E-06 3.155E-07 4.324E-06 9.505E+17 2.540E+05 4.848E-02 1.178E-12 4.782E-14 5.685E-14 4.250E-13 7.483E-11 8.835E-11 2.291E-21 1.046E-12 1.454E-14 5.696E-13 7.698E-10
