
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.554E+05 2.448E+19 3.330E+05 1.306E+01 3.180E+06 0.000E+00 8.094E-17 5.591E-17 9.336E-06 2.542E-06 1.391E-08 9.541E-03 5.208E+17 3.068E+06 4.323E-03 1.426E-13 2.211E-15 1.253E-13 9.725E-12 7.459E-12 1.922E-11 4.864E-20 6.434E-10 1.111E-14 1.871E-16 1.038E-10 3.229E-16 4.047E-20 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.456E+05 2.209E+19 2.454E+05 3.477E+01 3.415E+06 0.000E+00 2.690E-16 2.485E-16 1.017E-05 2.758E-06 1.521E-08 6.333E-03 4.701E+17 2.401E+06 5.296E-03 5.315E-13 9.829E-15 1.087E-13 8.896E-12 3.194E-12 7.239E-12 4.047E-20 6.359E-10 6.698E-15 6.420E-17 1.003E-10 4.154E-16 4.123E-20 4.994E-07 8.052E-07 2.728E-07
   2.500E+05 7.469E+05 1.984E+19 1.903E+05 8.695E+01 3.788E+06 0.000E+00 8.032E-16 1.010E-15 1.087E-05 2.949E-06 1.756E-08 4.338E-03 4.222E+17 2.250E+06 6.650E-03 1.769E-12 3.821E-14 1.134E-13 8.584E-12 2.383E-12 4.883E-12 4.123E-20 6.088E-10 5.745E-15 5.422E-17 1.016E-10 5.788E-16 4.189E-20 4.990E-07 8.029E-07 2.725E-07
   3.500E+05 6.582E+05 1.784E+19 1.305E+05 1.718E+02 4.286E+06 0.000E+00 2.145E-15 3.728E-15 1.130E-05 3.117E-06 2.126E-08 2.584E-03 3.797E+17 2.108E+06 8.471E-03 5.219E-12 1.295E-13 1.182E-13 8.165E-12 2.629E-12 4.861E-12 4.189E-20 5.515E-10 5.751E-15 9.090E-17 1.058E-10 8.333E-16 4.269E-20 4.988E-07 8.010E-07 2.723E-07
   4.500E+05 5.785E+05 1.603E+19 8.288E+04 2.796E+02 4.860E+06 0.000E+00 5.142E-15 1.217E-14 1.155E-05 3.265E-06 2.625E-08 1.433E-03 3.413E+17 1.980E+06 1.074E-02 1.366E-11 3.811E-13 1.235E-13 7.635E-12 3.318E-12 5.543E-12 4.269E-20 4.749E-10 6.077E-15 1.980E-16 1.108E-10 1.216E-15 4.225E-20 4.986E-07 7.996E-07 2.720E-07
   5.500E+05 5.069E+05 1.440E+19 4.699E+04 3.604E+02 5.426E+06 0.000E+00 1.113E-14 3.455E-14 1.162E-05 3.395E-06 3.243E-08 7.246E-04 3.066E+17 1.812E+06 1.332E-02 3.179E-11 9.722E-13 1.258E-13 6.853E-12 4.183E-12 6.250E-12 4.225E-20 3.879E-10 6.272E-15 4.563E-16 1.145E-10 1.763E-15 3.969E-20 4.986E-07 7.985E-07 2.717E-07
   6.500E+05 4.427E+05 1.292E+19 2.338E+04 3.743E+02 5.919E+06 0.000E+00 2.195E-14 8.763E-14 1.153E-05 3.511E-06 3.972E-08 3.306E-04 2.752E+17 1.574E+06 1.608E-02 6.645E-11 2.188E-12 1.218E-13 5.851E-12 4.767E-12 6.274E-12 3.969E-20 3.012E-10 6.053E-15 9.681E-16 1.155E-10 2.516E-15 3.595E-20 4.986E-07 7.976E-07 2.713E-07
   7.500E+05 3.851E+05 1.157E+19 1.012E+04 3.087E+02 6.288E+06 0.000E+00 3.994E-14 1.975E-13 1.131E-05 3.613E-06 4.806E-08 1.350E-04 2.465E+17 1.313E+06 1.888E-02 1.265E-10 4.413E-12 1.135E-13 4.813E-12 5.121E-12 5.847E-12 3.595E-20 2.248E-10 5.599E-15 2.045E-15 1.149E-10 3.539E-15 3.348E-20 4.986E-07 7.969E-07 2.709E-07
   8.500E+05 3.336E+05 1.033E+19 3.733E+03 1.951E+02 6.522E+06 1.163-170 6.780E-14 3.914E-13 1.098E-05 3.705E-06 5.746E-08 4.825E-05 2.201E+17 1.120E+06 2.164E-02 2.220E-10 8.074E-12 1.084E-13 3.916E-12 5.969E-12 5.834E-12 3.348E-20 1.645E-10 5.318E-15 5.197E-15 1.145E-10 4.924E-15 3.341E-20 4.986E-07 7.962E-07 2.705E-07
   9.500E+05 2.878E+05 9.185E+18 1.148E+03 9.327E+01 6.677E+06 1.157-129 1.084E-13 6.973E-13 1.062E-05 3.786E-06 6.847E-08 1.456E-05 1.957E+17 1.010E+06 2.459E-02 3.636E-10 1.362E-11 1.099E-13 3.225E-12 7.613E-12 6.376E-12 3.341E-20 1.197E-10 5.340E-15 1.336E-14 1.156E-10 6.897E-15 3.389E-20 4.985E-07 7.956E-07 2.699E-07
