
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.562E+05 2.410E+19 3.609E+05 1.233E+01 2.616E+06 0.000E+00 7.218E-17 3.929E-17 9.794E-06 2.556E-06 1.108E-08 1.302E-02 5.127E+17 3.095E+06 3.502E-03 1.151E-13 1.492E-15 1.284E-13 1.066E-11 8.250E-12 1.986E-11 5.634E-20 7.330E-10 1.017E-14 1.286E-16 1.062E-10 2.791E-16 5.078E-20 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.485E+05 2.163E+19 3.003E+05 3.758E+01 2.714E+06 0.000E+00 2.365E-16 1.714E-16 1.074E-05 2.769E-06 1.168E-08 1.014E-02 4.602E+17 2.524E+06 4.158E-03 4.249E-13 6.803E-15 1.167E-13 1.033E-11 3.457E-12 7.500E-12 5.078E-20 7.448E-10 6.278E-15 3.846E-17 1.033E-10 3.557E-16 4.915E-20 4.992E-07 8.044E-07 2.728E-07
   2.500E+05 7.515E+05 1.954E+19 2.216E+05 8.987E+01 2.965E+06 0.000E+00 7.058E-16 6.965E-16 1.143E-05 2.957E-06 1.327E-08 6.602E-03 4.159E+17 2.288E+06 5.190E-03 1.429E-12 2.741E-14 1.171E-13 9.764E-12 2.594E-12 4.969E-12 4.915E-20 7.246E-10 5.207E-15 3.251E-17 1.050E-10 4.770E-16 5.325E-20 4.986E-07 8.014E-07 2.725E-07
   3.500E+05 6.641E+05 1.758E+19 1.731E+05 1.971E+02 3.390E+06 0.000E+00 1.888E-15 2.542E-15 1.201E-05 3.123E-06 1.606E-08 4.411E-03 3.742E+17 2.275E+06 6.720E-03 4.252E-12 9.482E-14 1.294E-13 9.670E-12 2.698E-12 4.762E-12 5.325E-20 6.758E-10 5.371E-15 4.814E-17 1.099E-10 6.917E-16 5.643E-20 4.982E-07 7.990E-07 2.723E-07
   4.500E+05 5.856E+05 1.581E+19 1.224E+05 3.542E+02 3.926E+06 0.000E+00 4.561E-15 8.472E-15 1.235E-05 3.269E-06 2.011E-08 2.645E-03 3.365E+17 2.211E+06 8.766E-03 1.131E-11 2.886E-13 1.399E-13 9.337E-12 3.246E-12 5.284E-12 5.643E-20 6.018E-10 5.842E-15 9.704E-17 1.162E-10 1.030E-15 5.796E-20 4.979E-07 7.970E-07 2.720E-07
   5.500E+05 5.149E+05 1.421E+19 7.773E+04 5.175E+02 4.508E+06 0.000E+00 9.977E-15 2.514E-14 1.250E-05 3.397E-06 2.538E-08 1.448E-03 3.027E+17 2.089E+06 1.125E-02 2.696E-11 7.698E-13 1.470E-13 8.689E-12 4.066E-12 6.051E-12 5.796E-20 5.104E-10 6.308E-15 2.196E-16 1.219E-10 1.532E-15 5.692E-20 4.978E-07 7.954E-07 2.717E-07
   6.500E+05 4.515E+05 1.277E+19 4.360E+04 6.023E+02 5.057E+06 0.000E+00 1.987E-14 6.542E-14 1.247E-05 3.511E-06 3.175E-08 7.209E-04 2.720E+17 1.892E+06 1.402E-02 5.757E-11 1.796E-12 1.482E-13 7.724E-12 4.887E-12 6.553E-12 5.692E-20 4.121E-10 6.469E-15 4.905E-16 1.250E-10 2.243E-15 5.284E-20 4.978E-07 7.942E-07 2.713E-07
   7.500E+05 3.945E+05 1.147E+19 2.105E+04 5.601E+02 5.515E+06 0.000E+00 3.637E-14 1.531E-13 1.230E-05 3.612E-06 3.911E-08 3.190E-04 2.443E+17 1.622E+06 1.692E-02 1.113E-10 3.728E-12 1.414E-13 6.543E-12 5.440E-12 6.447E-12 5.284E-20 3.184E-10 6.206E-15 1.045E-15 1.253E-10 3.211E-15 4.772E-20 4.977E-07 7.932E-07 2.709E-07
   8.500E+05 3.434E+05 1.028E+19 8.652E+03 4.062E+02 5.842E+06 0.000E+00 6.181E-14 3.184E-13 1.199E-05 3.702E-06 4.741E-08 1.241E-04 2.189E+17 1.346E+06 1.979E-02 1.974E-10 6.980E-12 1.310E-13 5.368E-12 5.851E-12 6.029E-12 4.772E-20 2.392E-10 5.772E-15 2.328E-15 1.241E-10 4.514E-15 4.444E-20 4.977E-07 7.924E-07 2.705E-07
   9.500E+05 2.977E+05 9.179E+18 2.931E+03 2.185E+02 6.083E+06 6.428-159 9.868E-14 5.865E-13 1.160E-05 3.782E-06 5.712E-08 4.058E-05 1.956E+17 1.146E+06 2.278E-02 3.250E-10 1.194E-11 1.249E-13 4.381E-12 6.688E-12 5.962E-12 4.444E-20 1.776E-10 5.574E-15 6.166E-15 1.237E-10 6.325E-15 4.277E-20 4.977E-07 7.917E-07 2.699E-07
   1.050E+06 2.570E+05 8.162E+18 7.351E+02 7.568E+01 6.593E+06 8.255-127 1.495E-13 9.824E-13 1.118E-05 3.854E-06 7.224E-08 9.438E-06 1.739E+17 1.008E+06 2.739E-02 5.035E-10 1.902E-11 1.235E-13 3.537E-12 8.045E-12 6.482E-12 4.277E-20 1.239E-10 5.917E-15 1.683E-14 1.260E-10 9.395E-15 4.499E-20 4.977E-07 7.907E-07 2.691E-07
   1.150E+06 2.209E+05 7.207E+18 8.712E+02 1.015E+02 8.128E+06 9.541-109 2.172E-13 1.545E-12 1.079E-05 3.920E-06 1.045E-07 9.121E-06 1.535E+17 9.739E+05 3.774E-02 7.438E-10 2.871E-11 1.351E-13 2.960E-12 1.019E-11 8.521E-12 4.499E-20 7.681E-11 8.056E-15 3.109E-14 1.379E-10 1.629E-14 4.595E-20 4.975E-07 7.887E-07 2.673E-07
   1.250E+06 1.892E+05 6.313E+18 1.138E+03 1.239E+02 1.161E+07 2.107E-93 3.064E-13 2.341E-12 1.051E-05 3.982E-06 1.749E-07 8.381E-06 1.345E+17 9.209E+05 6.086E-02 1.062E-09 4.180E-11 1.459E-13 2.564E-12 1.223E-11 1.255E-11 4.595E-20 4.562E-11 1.413E-14 7.718E-14 1.679E-10 3.359E-14 4.745E-20 4.971E-07 7.845E-07 2.633E-07
   1.350E+06 1.615E+05 5.488E+18 1.425E+03 1.310E+02 1.788E+07 1.084E-80 4.265E-13 3.492E-12 1.048E-05 4.043E-06 3.110E-07 6.836E-06 1.169E+17 8.925E+05 1.068E-01 1.490E-09 5.969E-11 1.626E-13 2.464E-12 1.442E-11 1.996E-11 4.745E-20 3.264E-11 2.911E-14 2.439E-13 2.283E-10 7.565E-14 4.874E-20 4.961E-07 7.764E-07 2.552E-07
   1.450E+06 1.375E+05 4.743E+18 1.620E+03 1.296E+02 2.669E+07 2.167E-70 5.964E-13 5.229E-12 1.065E-05 4.110E-06 5.286E-07 5.224E-06 1.010E+17 8.570E+05 1.832E-01 2.088E-09 8.511E-11 1.807E-13 2.464E-12 1.846E-11 3.359E-11 4.874E-20 2.758E-11 5.666E-14 7.520E-13 3.234E-10 1.664E-13 5.284E-20 4.943E-07 7.633E-07 2.419E-07
   1.550E+06 1.168E+05 4.080E+18 1.835E+03 1.387E+02 3.722E+07 5.358E-62 8.497E-13 7.993E-12 1.112E-05 4.188E-06 8.203E-07 4.253E-06 8.692E+16 8.342E+05 2.950E-01 2.965E-09 1.229E-10 2.045E-13 2.561E-12 2.545E-11 5.628E-11 5.284E-20 2.565E-11 9.609E-14 1.908E-12 4.450E-10 3.399E-13 6.510E-20 4.916E-07 7.451E-07 2.236E-07
   1.650E+06 9.909E+04 3.493E+18 2.163E+03 1.665E+02 4.935E+07 5.187E-55 1.242E-12 1.258E-11 1.206E-05 4.285E-06 1.171E-06 3.789E-06 7.442E+16 8.614E+05 4.545E-01 4.292E-09 1.809E-10 2.466E-13 2.872E-12 3.570E-11 8.980E-11 6.510E-20 2.724E-11 1.463E-13 3.956E-12 5.816E-10 6.521E-13 9.797E-20 4.878E-07 7.217E-07 2.010E-07
   1.750E+06 8.395E+04 2.974E+18 2.812E+03 2.328E+02 6.325E+07 4.492E-49 1.859E-12 2.034E-11 1.371E-05 4.411E-06 1.551E-06 3.848E-06 6.335E+16 9.942E+05 6.826E-01 6.315E-09 2.709E-10 3.343E-13 3.684E-12 4.813E-11 1.314E-10 9.797E-20 3.565E-11 2.063E-13 6.669E-12 7.198E-10 1.193E-12 1.686E-19 4.831E-07 6.940E-07 1.756E-07
   1.850E+06 7.110E+04 2.518E+18 3.605E+03 3.301E+02 7.966E+07 5.702E-44 2.824E-12 3.348E-11 1.636E-05 4.576E-06 1.934E-06 3.915E-06 5.363E+16 1.196E+06 1.016E+00 9.361E-09 4.089E-10 4.749E-13 5.010E-12 6.365E-11 1.826E-10 1.686E-19 5.076E-11 2.740E-13 9.777E-12 8.421E-10 2.116E-12 3.201E-19 4.775E-07 6.627E-07 1.490E-07
   1.950E+06 6.024E+04 2.127E+18 4.563E+03 4.701E+02 9.895E+07 1.373E-39 4.304E-12 5.541E-11 2.024E-05 4.792E-06 2.299E-06 3.988E-06 4.531E+16 1.486E+06 1.496E+00 1.382E-08 6.153E-10 6.984E-13 7.040E-12 8.268E-11 2.412E-10 3.201E-19 7.491E-11 3.465E-13 1.261E-11 9.373E-10 3.638E-12 6.442E-19 4.712E-07 6.288E-07 1.229E-07
   2.050E+06 5.106E+04 1.798E+18 5.702E+03 6.658E+02 1.213E+08 7.860E-36 6.519E-12 9.111E-11 2.567E-05 5.074E-06 2.627E-06 4.064E-06 3.830E+16 1.890E+06 2.171E+00 2.012E-08 9.137E-10 1.051E-12 9.958E-12 1.058E-10 3.022E-10 6.442E-19 1.101E-10 4.182E-13 1.434E-11 1.001E-09 6.045E-12 1.348E-18 4.644E-07 5.938E-07 9.892E-08
   2.150E+06 4.330E+04 1.522E+18 7.056E+03 9.293E+02 1.472E+08 1.304E-32 9.746E-12 1.475E-10 3.322E-05 5.440E-06 2.913E-06 4.140E-06 3.241E+16 2.440E+06 3.118E+00 2.870E-08 1.330E-09 1.603E-12 1.401E-11 1.331E-10 3.607E-10 1.348E-18 1.575E-10 4.850E-13 1.456E-11 1.036E-09 9.793E-12 2.905E-18 4.573E-07 5.584E-07 7.782E-08
   2.250E+06 3.674E+04 1.289E+18 8.657E+03 1.269E+03 1.773E+08 7.459E-30 1.433E-11 2.336E-10 4.369E-05 5.909E-06 3.149E-06 4.217E-06 2.745E+16 3.165E+06 4.438E+00 3.990E-08 1.887E-09 2.456E-12 1.940E-11 1.644E-10 4.125E-10 2.905E-18 2.152E-10 5.424E-13 1.332E-11 1.043E-09 1.561E-11 6.434E-18 4.501E-07 5.231E-07 6.000E-08
