
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.562E+05 2.410E+19 2.494E+05 5.486E+00 1.808E+06 0.000E+00 3.107E-17 1.748E-17 6.064E-06 1.815E-06 1.237E-08 1.302E-02 5.127E+17 2.327E+06 2.419E-03 5.041E-14 6.718E-16
   1.500E+05 8.485E+05 2.163E+19 2.126E+05 1.700E+01 1.922E+06 0.000E+00 1.034E-16 7.752E-17 6.773E-06 2.003E-06 1.312E-08 1.014E-02 4.602E+17 1.915E+06 2.944E-03 1.891E-13 3.098E-15
   2.500E+05 7.515E+05 1.954E+19 1.561E+05 4.134E+01 2.088E+06 0.000E+00 3.138E-16 3.204E-16 7.335E-06 2.176E-06 1.457E-08 6.602E-03 4.159E+17 1.720E+06 3.655E-03 6.469E-13 1.264E-14
   3.500E+05 6.641E+05 1.758E+19 1.190E+05 9.221E+01 2.330E+06 0.000E+00 8.538E-16 1.189E-15 7.844E-06 2.338E-06 1.690E-08 4.411E-03 3.742E+17 1.690E+06 4.618E-03 1.956E-12 4.434E-14
   4.500E+05 5.856E+05 1.581E+19 8.143E+04 1.687E+02 2.613E+06 0.000E+00 2.097E-15 4.034E-15 8.206E-06 2.489E-06 2.014E-08 2.645E-03 3.365E+17 1.632E+06 5.834E-03 5.291E-12 1.370E-13
   5.500E+05 5.149E+05 1.421E+19 5.013E+04 2.505E+02 2.907E+06 0.000E+00 4.664E-15 1.217E-14 8.445E-06 2.630E-06 2.422E-08 1.448E-03 3.027E+17 1.548E+06 7.255E-03 1.282E-11 3.711E-13
   6.500E+05 4.515E+05 1.277E+19 2.736E+04 2.965E+02 3.173E+06 0.000E+00 9.446E-15 3.220E-14 8.567E-06 2.762E-06 2.900E-08 7.209E-04 2.720E+17 1.420E+06 8.799E-03 2.783E-11 8.790E-13
   7.500E+05 3.945E+05 1.147E+19 1.291E+04 2.814E+02 3.383E+06 0.000E+00 1.760E-14 7.693E-14 8.576E-06 2.885E-06 3.440E-08 3.190E-04 2.443E+17 1.239E+06 1.038E-02 5.475E-11 1.855E-12
   8.500E+05 3.434E+05 1.028E+19 5.213E+03 2.083E+02 3.520E+06 0.000E+00 3.049E-14 1.633E-13 8.482E-06 3.000E-06 4.039E-08 1.241E-04 2.189E+17 1.048E+06 1.192E-02 9.890E-11 3.537E-12
   9.500E+05 2.977E+05 9.179E+18 1.741E+03 1.140E+02 3.613E+06 0.000E+00 4.974E-14 3.060E-13 8.311E-06 3.107E-06 4.735E-08 4.058E-05 1.956E+17 9.150E+05 1.353E-02 1.663E-10 6.169E-12
   1.050E+06 2.570E+05 8.162E+18 4.293E+02 4.014E+01 3.851E+06 1.103-163 7.723E-14 5.211E-13 8.106E-06 3.207E-06 5.821E-08 9.438E-06 1.739E+17 8.296E+05 1.600E-02 2.637E-10 1.003E-11
   1.150E+06 2.209E+05 7.207E+18 4.984E+02 5.482E+01 4.650E+06 4.739-132 1.153E-13 8.339E-13 7.908E-06 3.301E-06 8.158E-08 9.121E-06 1.535E+17 8.109E+05 2.159E-02 3.998E-10 1.550E-11
   1.250E+06 1.892E+05 6.313E+18 6.424E+02 6.810E+01 6.552E+06 2.165-105 1.673E-13 1.287E-12 7.789E-06 3.389E-06 1.332E-07 8.381E-06 1.345E+17 7.525E+05 3.434E-02 5.868E-10 2.313E-11
   1.350E+06 1.615E+05 5.488E+18 8.060E+02 7.317E+01 1.012E+07 6.941E-91 2.392E-13 1.950E-12 7.855E-06 3.476E-06 2.347E-07 6.836E-06 1.169E+17 7.047E+05 6.045E-02 8.450E-10 3.382E-11
   1.450E+06 1.375E+05 4.743E+18 9.287E+02 7.319E+01 1.530E+07 3.909E-79 3.423E-13 2.954E-12 8.072E-06 3.564E-06 3.996E-07 5.224E-06 1.010E+17 6.716E+05 1.050E-01 1.212E-09 4.922E-11
   1.550E+06 1.168E+05 4.080E+18 1.069E+03 7.877E+01 2.168E+07 1.395E-69 4.966E-13 4.539E-12 8.509E-06 3.660E-06 6.245E-07 4.253E-06 8.692E+16 6.586E+05 1.718E-01 1.755E-09 7.225E-11
   1.650E+06 9.909E+04 3.493E+18 1.281E+03 9.452E+01 2.922E+07 1.194E-61 7.361E-13 7.141E-12 9.287E-06 3.768E-06 9.006E-07 3.789E-06 7.442E+16 6.861E+05 2.691E-01 2.580E-09 1.077E-10
   1.750E+06 8.395E+04 2.974E+18 1.688E+03 1.315E+02 3.803E+07 6.357E-55 1.115E-12 1.151E-11 1.059E-05 3.896E-06 1.208E-06 3.841E-06 6.335E+16 7.938E+05 4.104E-01 3.852E-09 1.630E-10
   1.850E+06 7.110E+04 2.518E+18 2.189E+03 1.855E+02 4.858E+07 3.739E-49 1.713E-12 1.889E-11 1.262E-05 4.050E-06 1.528E-06 3.900E-06 5.363E+16 9.536E+05 6.193E-01 5.798E-09 2.490E-10
   1.950E+06 6.024E+04 2.127E+18 2.801E+03 2.638E+02 6.111E+07 3.298E-44 2.649E-12 3.129E-11 1.557E-05 4.241E-06 1.845E-06 3.964E-06 4.531E+16 1.179E+06 9.236E-01 8.722E-09 3.804E-10
   2.050E+06 5.106E+04 1.798E+18 3.533E+03 3.750E+02 7.576E+07 5.687E-40 4.082E-12 5.173E-11 1.967E-05 4.481E-06 2.142E-06 4.031E-06 3.830E+16 1.490E+06 1.356E+00 1.299E-08 5.758E-10
   2.150E+06 4.330E+04 1.522E+18 4.411E+03 5.283E+02 9.296E+07 2.424E-36 6.227E-12 8.469E-11 2.532E-05 4.782E-06 2.412E-06 4.099E-06 3.241E+16 1.913E+06 1.969E+00 1.904E-08 8.577E-10
   2.250E+06 3.674E+04 1.289E+18 5.460E+03 7.319E+02 1.131E+08 3.131E-33 9.361E-12 1.363E-10 3.317E-05 5.166E-06 2.647E-06 4.168E-06 2.745E+16 2.476E+06 2.832E+00 2.727E-08 1.250E-09
   2.350E+06 3.118E+04 1.091E+18 6.698E+03 9.907E+02 1.365E+08 1.467E-30 1.383E-11 2.143E-10 4.409E-05 5.653E-06 2.837E-06 4.236E-06 2.324E+16 3.202E+06 4.040E+00 3.805E-08 1.775E-09
   2.450E+06 2.647E+04 9.238E+17 8.122E+03 1.304E+03 1.629E+08 2.918E-28 2.006E-11 3.281E-10 5.932E-05 6.270E-06 2.972E-06 4.302E-06 1.968E+16 4.119E+06 5.702E+00 5.160E-08 2.448E-09
   2.550E+06 2.249E+04 7.815E+17 9.690E+03 1.664E+03 1.912E+08 2.827E-26 2.854E-11 4.875E-10 8.051E-05 7.049E-06 3.039E-06 4.367E-06 1.664E+16 5.253E+06 7.933E+00 6.785E-08 3.275E-09
   2.650E+06 1.913E+04 6.607E+17 1.132E+04 2.053E+03 2.199E+08 1.490E-24 3.979E-11 7.013E-10 1.099E-04 8.024E-06 3.028E-06 4.431E-06 1.407E+16 6.638E+06 1.082E+01 8.645E-08 4.245E-09
   2.750E+06 1.628E+04 5.584E+17 1.288E+04 2.449E+03 2.464E+08 4.655E-23 5.436E-11 9.761E-10 1.505E-04 9.233E-06 2.932E-06 4.493E-06 1.189E+16 8.317E+06 1.441E+01 1.068E-07 5.331E-09
   2.850E+06 1.388E+04 4.721E+17 1.426E+04 2.825E+03 2.688E+08 9.183E-22 7.265E-11 1.315E-09 2.073E-04 1.072E-05 2.747E-06 4.552E-06 1.005E+16 1.035E+07 1.867E+01 1.278E-07 6.494E-09
   2.950E+06 1.185E+04 3.992E+17 1.538E+04 3.158E+03 2.859E+08 1.206E-20 9.470E-11 1.717E-09 2.900E-04 1.252E-05 2.470E-06 4.607E-06 8.502E+15 1.279E+07 2.359E+01 1.486E-07 7.688E-09
   3.050E+06 1.013E+04 3.378E+17 1.615E+04 3.426E+03 2.963E+08 1.107E-19 1.197E-10 2.177E-09 4.156E-04 1.469E-05 2.111E-06 4.658E-06 7.193E+15 1.564E+07 2.904E+01 1.680E-07 8.865E-09
   3.150E+06 8.678E+03 2.860E+17 1.625E+04 3.620E+03 2.946E+08 7.428E-19 1.460E-10 2.692E-09 6.002E-04 1.721E-05 1.716E-06 4.702E-06 6.091E+15 1.852E+07 3.430E+01 1.852E-07 9.991E-09
