
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.529E+05 2.445E+19 2.374E+05 8.285E-26 2.642E+06 0.000E+00 1.676E-41 3.629E-43 5.193E-06 2.272E-06 2.081E-08 9.337E-03 7.803E+18 2.613E+06 3.152E-03 5.746E-39 1.304E-42
   1.500E+05 8.434E+05 2.206E+19 1.731E+05 6.086E-23 2.824E+06 0.000E+00 7.897E-39 4.456E-40 5.590E-06 2.451E-06 2.290E-08 6.190E-03 7.040E+18 2.176E+06 3.826E-03 3.972E-36 4.895E-39
   2.500E+05 7.448E+05 1.981E+19 1.282E+05 3.786E-20 3.017E+06 0.000E+00 3.394E-36 4.535E-37 5.912E-06 2.607E-06 2.576E-08 4.214E-03 6.321E+18 2.114E+06 4.616E-03 2.478E-33 9.103E-36
   3.500E+05 6.562E+05 1.781E+19 8.172E+04 1.359E-17 3.179E+06 0.000E+00 1.088E-33 3.040E-34 6.070E-06 2.743E-06 2.941E-08 2.511E-03 5.683E+18 2.057E+06 5.468E-03 1.078E-30 8.126E-33
   4.500E+05 5.766E+05 1.600E+19 4.713E+04 5.111E-15 3.289E+06 0.000E+00 2.396E-31 2.303E-31 6.115E-06 2.860E-06 3.361E-08 1.387E-03 5.107E+18 2.008E+06 6.319E-03 3.114E-28 4.407E-30
   5.500E+05 5.052E+05 1.437E+19 2.392E+04 1.309E-11 3.310E+06 0.000E+00 4.181E-29 1.308E-27 6.044E-06 2.963E-06 3.810E-08 6.964E-04 4.587E+18 1.902E+06 7.067E-03 1.387E-25 9.362E-27
   6.500E+05 4.410E+05 1.290E+19 1.062E+04 3.958E-09 3.236E+06 0.000E+00 8.245E-27 9.715E-25 5.878E-06 3.051E-06 4.268E-08 3.159E-04 4.116E+18 1.663E+06 7.651E-03 7.006E-23 6.525E-24
   7.500E+05 3.836E+05 1.155E+19 4.082E+03 1.888E-07 3.071E+06 0.000E+00 7.936E-25 1.275E-22 5.619E-06 3.128E-06 4.732E-08 1.282E-04 3.686E+18 1.349E+06 8.035E-03 8.847E-21 8.518E-22
   8.500E+05 3.322E+05 1.031E+19 1.347E+03 2.524E-06 2.849E+06 0.000E+00 3.076E-23 5.355E-21 5.303E-06 3.194E-06 5.209E-08 4.572E-05 3.290E+18 1.079E+06 8.257E-03 3.731E-19 3.583E-20
   9.500E+05 2.865E+05 9.157E+18 3.743E+02 1.298E-05 2.611E+06 0.000E+00 6.231E-22 1.019E-19 4.970E-06 3.250E-06 5.737E-08 1.391E-05 2.922E+18 8.621E+05 8.422E-03 7.321E-18 6.876E-19
