
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.529E+05 2.445E+19 2.352E+05 2.894E-27 2.619E+06 0.000E+00 9.062E-43 1.268E-44 5.127E-06 2.266E-06 2.089E-08 9.337E-03 7.803E+18 2.610E+06 3.124E-03 2.652E-40 2.225E-44
   1.500E+05 8.434E+05 2.206E+19 1.722E+05 2.485E-24 2.809E+06 0.000E+00 5.011E-40 1.820E-41 5.544E-06 2.455E-06 2.297E-08 6.190E-03 7.040E+18 2.179E+06 3.806E-03 2.088E-37 1.370E-40
   2.500E+05 7.448E+05 1.981E+19 1.279E+05 1.981E-21 3.009E+06 0.000E+00 2.517E-37 2.373E-38 5.890E-06 2.621E-06 2.579E-08 4.214E-03 6.321E+18 2.124E+06 4.605E-03 1.565E-34 3.952E-37
   3.500E+05 6.562E+05 1.781E+19 8.172E+04 9.526E-19 3.179E+06 0.000E+00 9.898E-35 2.131E-35 6.073E-06 2.767E-06 2.939E-08 2.511E-03 5.683E+18 2.074E+06 5.468E-03 8.696E-32 5.235E-34
   4.500E+05 5.766E+05 1.600E+19 4.722E+04 5.070E-16 3.296E+06 0.000E+00 2.764E-32 2.285E-32 6.142E-06 2.896E-06 3.353E-08 1.387E-03 5.107E+18 2.033E+06 6.332E-03 3.279E-29 4.138E-31
   5.500E+05 5.052E+05 1.437E+19 2.401E+04 2.557E-12 3.322E+06 0.000E+00 6.523E-30 2.554E-28 6.095E-06 3.009E-06 3.792E-08 6.964E-04 4.587E+18 1.934E+06 7.093E-03 2.410E-26 1.779E-27
   6.500E+05 4.410E+05 1.290E+19 1.067E+04 1.168E-09 3.251E+06 0.000E+00 2.083E-27 2.868E-25 5.951E-06 3.109E-06 4.236E-08 3.159E-04 4.116E+18 1.698E+06 7.688E-03 2.000E-23 1.914E-24
   7.500E+05 3.836E+05 1.155E+19 4.104E+03 7.256E-08 3.087E+06 0.000E+00 2.745E-25 4.902E-23 5.710E-06 3.196E-06 4.681E-08 1.282E-04 3.686E+18 1.385E+06 8.078E-03 3.335E-21 3.260E-22
   8.500E+05 3.322E+05 1.031E+19 1.354E+03 1.163E-06 2.864E+06 0.000E+00 1.269E-23 2.466E-21 5.410E-06 3.272E-06 5.135E-08 4.572E-05 3.290E+18 1.114E+06 8.301E-03 1.684E-19 1.643E-20
   9.500E+05 2.865E+05 9.157E+18 3.761E+02 6.822E-06 2.623E+06 0.000E+00 2.835E-22 5.357E-20 5.087E-06 3.339E-06 5.632E-08 1.391E-05 2.922E+18 8.935E+05 8.462E-03 3.737E-18 3.588E-19
   1.050E+06 2.460E+05 8.072E+18 7.012E+01 1.418E-05 2.464E+06 0.000E+00 4.060E-21 6.342E-19 4.780E-06 3.397E-06 6.385E-08 2.770E-06 2.576E+18 6.789E+05 8.918E-03 4.671E-17 4.311E-18
   1.150E+06 2.105E+05 7.050E+18 7.342E+01 9.379E-05 2.584E+06 0.000E+00 4.507E-20 4.800E-18 4.571E-06 3.448E-06 8.020E-08 2.772E-06 2.250E+18 4.557E+05 1.062E-02 3.970E-16 3.376E-17
   1.250E+06 1.796E+05 6.113E+18 9.111E+01 4.430E-04 3.209E+06 0.000E+00 4.114E-19 2.610E-17 4.457E-06 3.492E-06 1.178E-07 2.776E-06 1.951E+18 2.612E+05 1.510E-02 2.656E-15 1.969E-16
   1.350E+06 1.529E+05 5.276E+18 1.286E+02 1.639E-03 4.521E+06 0.000E+00 3.060E-18 1.115E-16 4.372E-06 3.531E-06 1.960E-07 2.785E-06 1.684E+18 1.710E+05 2.450E-02 1.529E-14 9.491E-16
   1.450E+06 1.299E+05 4.534E+18 1.860E+02 5.133E-03 6.516E+06 0.000E+00 1.845E-17 4.041E-16 4.328E-06 3.567E-06 3.320E-07 2.801E-06 1.447E+18 1.428E+05 4.087E-02 7.804E-14 4.068E-15
   1.550E+06 1.102E+05 3.875E+18 2.595E+02 1.443E-02 9.024E+06 0.000E+00 9.112E-17 1.319E-15 4.377E-06 3.601E-06 5.321E-07 2.824E-06 1.237E+18 1.383E+05 6.603E-02 3.506E-13 1.597E-14
   1.650E+06 9.348E+04 3.284E+18 3.524E+02 3.758E-02 1.212E+07 0.000E+00 3.747E-16 4.009E-15 4.600E-06 3.637E-06 8.025E-07 2.855E-06 1.048E+18 1.460E+05 1.047E-01 1.370E-12 5.719E-14
   1.750E+06 7.934E+04 2.763E+18 4.688E+02 9.139E-02 1.590E+07 0.000E+00 1.308E-15 1.144E-14 5.037E-06 3.673E-06 1.143E-06 2.892E-06 8.817E+17 1.634E+05 1.639E-01 4.647E-12 1.842E-13
   1.850E+06 6.745E+04 2.323E+18 6.087E+02 2.080E-01 2.030E+07 0.000E+00 3.955E-15 3.050E-14 5.625E-06 3.714E-06 1.554E-06 2.936E-06 7.412E+17 1.881E+05 2.501E-01 1.381E-11 5.313E-13
   1.950E+06 5.744E+04 1.957E+18 7.719E+02 4.427E-01 2.529E+07 0.000E+00 1.062E-14 7.579E-14 6.353E-06 3.759E-06 2.034E-06 2.985E-06 6.245E+17 2.196E+05 3.715E-01 3.653E-11 1.383E-12
   2.050E+06 4.900E+04 1.654E+18 9.598E+02 8.831E-01 3.087E+07 0.000E+00 2.581E-14 1.758E-13 7.239E-06 3.811E-06 2.578E-06 3.037E-06 5.279E+17 2.594E+05 5.386E-01 8.761E-11 3.284E-12
   2.150E+06 4.186E+04 1.401E+18 1.181E+03 1.656E+00 3.727E+07 0.000E+00 5.774E-14 3.823E-13 8.348E-06 3.870E-06 3.187E-06 3.091E-06 4.471E+17 3.109E+05 7.708E-01 1.931E-10 7.198E-12
   2.250E+06 3.581E+04 1.189E+18 1.445E+03 2.933E+00 4.476E+07 0.000E+00 1.204E-13 7.841E-13 9.750E-06 3.941E-06 3.862E-06 3.147E-06 3.793E+17 3.782E+05 1.095E+00 3.959E-10 1.471E-11
   2.350E+06 3.067E+04 1.010E+18 1.769E+03 4.937E+00 5.375E+07 0.000E+00 2.363E-13 1.526E-12 1.157E-05 4.024E-06 4.600E-06 3.204E-06 3.221E+17 4.674E+05 1.554E+00 7.621E-10 2.825E-11
   2.450E+06 2.631E+04 8.583E+17 2.156E+03 7.936E+00 6.425E+07 2.535-157 4.400E-13 2.834E-12 1.388E-05 4.124E-06 5.394E-06 3.263E-06 2.739E+17 5.840E+05 2.193E+00 1.387E-09 5.136E-11
   2.550E+06 2.260E+04 7.306E+17 2.615E+03 1.224E+01 7.645E+07 1.439-138 7.825E-13 5.045E-12 1.679E-05 4.246E-06 6.231E-06 3.322E-06 2.331E+17 7.354E+05 3.077E+00 2.403E-09 8.888E-11
   2.650E+06 1.944E+04 6.230E+17 3.156E+03 1.821E+01 9.050E+07 2.139-122 1.335E-12 8.642E-12 2.049E-05 4.394E-06 7.089E-06 3.383E-06 1.988E+17 9.313E+05 4.287E+00 3.978E-09 1.471E-10
   2.750E+06 1.675E+04 5.321E+17 3.782E+03 2.619E+01 1.064E+08 1.972-108 2.196E-12 1.429E-11 2.521E-05 4.578E-06 7.932E-06 3.445E-06 1.698E+17 1.183E+06 5.923E+00 6.317E-09 2.335E-10
   2.850E+06 1.445E+04 4.551E+17 4.495E+03 3.645E+01 1.240E+08 2.339E-96 3.489E-12 2.283E-11 3.124E-05 4.806E-06 8.723E-06 3.508E-06 1.452E+17 1.504E+06 8.099E+00 9.644E-09 3.565E-10
   2.950E+06 1.248E+04 3.898E+17 5.293E+03 4.915E+01 1.433E+08 6.624E-86 5.366E-12 3.530E-11 3.900E-05 5.089E-06 9.424E-06 3.572E-06 1.244E+17 1.906E+06 1.096E+01 1.418E-08 5.241E-10
   3.050E+06 1.079E+04 3.342E+17 6.157E+03 6.418E+01 1.635E+08 7.584E-77 8.004E-12 5.279E-11 4.899E-05 5.439E-06 9.986E-06 3.638E-06 1.066E+17 2.401E+06 1.464E+01 2.011E-08 7.432E-10
   3.150E+06 9.342E+03 2.868E+17 7.053E+03 8.117E+01 1.838E+08 5.495E-69 1.159E-11 7.643E-11 6.178E-05 5.869E-06 1.037E-05 3.704E-06 9.149E+16 2.994E+06 1.924E+01 2.753E-08 1.018E-09
   3.250E+06 8.100E+03 2.462E+17 7.936E+03 9.942E+01 2.029E+08 3.706E-62 1.631E-11 1.071E-10 7.808E-05 6.389E-06 1.056E-05 3.770E-06 7.853E+16 3.687E+06 2.485E+01 3.641E-08 1.347E-09
   3.350E+06 7.034E+03 2.116E+17 8.757E+03 1.181E+02 2.198E+08 3.231E-56 2.233E-11 1.456E-10 9.856E-05 7.009E-06 1.054E-05 3.836E-06 6.749E+16 4.481E+06 3.145E+01 4.661E-08 1.727E-09
   3.450E+06 6.118E+03 1.820E+17 9.471E+03 1.364E+02 2.334E+08 4.832E-51 2.978E-11 1.921E-10 1.240E-04 7.738E-06 1.034E-05 3.901E-06 5.807E+16 5.374E+06 3.898E+01 5.787E-08 2.149E-09
   3.550E+06 5.329E+03 1.568E+17 1.005E+04 1.534E+02 2.435E+08 1.578E-46 3.873E-11 2.468E-10 1.552E-04 8.581E-06 1.000E-05 3.963E-06 5.003E+16 6.369E+06 4.739E+01 6.987E-08 2.604E-09
   3.650E+06 4.649E+03 1.354E+17 1.050E+04 1.685E+02 2.503E+08 1.385E-42 4.921E-11 3.094E-10 1.935E-04 9.542E-06 9.555E-06 4.022E-06 4.318E+16 7.469E+06 5.668E+01 8.226E-08 3.082E-09
   3.750E+06 4.062E+03 1.170E+17 1.084E+04 1.812E+02 2.546E+08 3.975E-39 6.116E-11 3.797E-10 2.409E-04 1.063E-05 9.030E-06 4.078E-06 3.733E+16 8.692E+06 6.694E+01 9.471E-08 3.574E-09
   3.850E+06 3.554E+03 1.013E+17 1.109E+04 1.913E+02 2.571E+08 4.354E-36 7.443E-11 4.574E-10 3.006E-04 1.184E-05 8.440E-06 4.129E-06 3.232E+16 1.005E+07 7.837E+01 1.069E-07 4.071E-09
   3.950E+06 3.114E+03 8.784E+16 1.129E+04 1.989E+02 2.584E+08 2.045E-33 8.873E-11 5.423E-10 3.772E-04 1.319E-05 7.799E-06 4.175E-06 2.802E+16 1.156E+07 9.123E+01 1.187E-07 4.569E-09
   4.050E+06 2.733E+03 7.626E+16 1.142E+04 2.040E+02 2.585E+08 4.604E-31 1.037E-10 6.344E-10 4.752E-04 1.468E-05 7.133E-06 4.216E-06 2.433E+16 1.317E+07 1.055E+02 1.298E-07 5.062E-09
   4.150E+06 2.401E+03 6.631E+16 1.144E+04 2.070E+02 2.564E+08 5.465E-29 1.188E-10 7.343E-10 5.972E-04 1.630E-05 6.475E-06 4.252E-06 2.115E+16 1.477E+07 1.208E+02 1.402E-07 5.550E-09
   4.250E+06 2.113E+03 5.778E+16 1.131E+04 2.087E+02 2.515E+08 3.701E-27 1.337E-10 8.432E-10 7.419E-04 1.802E-05 5.866E-06 4.283E-06 1.843E+16 1.618E+07 1.365E+02 1.497E-07 6.033E-09
   4.350E+06 1.862E+03 5.044E+16 1.099E+04 2.093E+02 2.427E+08 1.536E-25 1.480E-10 9.634E-10 9.049E-04 1.979E-05 5.317E-06 4.307E-06 1.609E+16 1.725E+07 1.514E+02 1.586E-07 6.513E-09
   4.450E+06 1.642E+03 4.415E+16 1.049E+04 2.096E+02 2.306E+08 4.124E-24 1.617E-10 1.098E-09 1.079E-03 2.156E-05 4.839E-06 4.325E-06 1.408E+16 1.790E+07 1.647E+02 1.668E-07 6.996E-09
   4.550E+06 1.450E+03 3.872E+16 9.811E+03 2.099E+02 2.149E+08 7.570E-23 1.747E-10 1.250E-09 1.258E-03 2.329E-05 4.412E-06 4.337E-06 1.235E+16 1.811E+07 1.754E+02 1.745E-07 7.485E-09
   4.650E+06 1.281E+03 3.405E+16 9.018E+03 2.106E+02 1.971E+08 9.876E-22 1.869E-10 1.424E-09 1.434E-03 2.494E-05 4.038E-06 4.344E-06 1.086E+16 1.796E+07 1.833E+02 1.817E-07 7.985E-09
   4.750E+06 1.132E+03 3.000E+16 8.141E+03 2.118E+02 1.778E+08 9.546E-21 1.984E-10 1.625E-09 1.601E-03 2.648E-05 3.701E-06 4.346E-06 9.568E+15 1.751E+07 1.879E+02 1.884E-07 8.499E-09
   4.850E+06 1.001E+03 2.649E+16 7.235E+03 2.135E+02 1.581E+08 7.063E-20 2.094E-10 1.857E-09 1.757E-03 2.788E-05 3.397E-06 4.343E-06 8.446E+15 1.683E+07 1.894E+02 1.949E-07 9.032E-09
   4.950E+06 8.852E+02 2.342E+16 6.347E+03 2.158E+02 1.389E+08 4.118E-19 2.199E-10 2.125E-09 1.899E-03 2.914E-05 3.123E-06 4.335E-06 7.468E+15 1.602E+07 1.882E+02 2.010E-07 9.585E-09
   5.050E+06 7.829E+02 2.073E+16 5.498E+03 2.184E+02 1.207E+08 1.947E-18 2.301E-10 2.437E-09 2.026E-03 3.026E-05 2.873E-06 4.324E-06 6.610E+15 1.512E+07 1.846E+02 2.069E-07 1.016E-08
   5.150E+06 6.922E+02 1.838E+16 4.726E+03 2.215E+02 1.041E+08 7.607E-18 2.399E-10 2.797E-09 2.138E-03 3.125E-05 2.650E-06 4.309E-06 5.861E+15 1.419E+07 1.795E+02 2.126E-07 1.076E-08
   5.250E+06 6.118E+02 1.630E+16 4.019E+03 2.246E+02 8.895E+07 2.528E-17 2.497E-10 3.212E-09 2.235E-03 3.210E-05 2.442E-06 4.291E-06 5.196E+15 1.324E+07 1.727E+02 2.181E-07 1.139E-08
   5.350E+06 5.406E+02 1.447E+16 3.404E+03 2.281E+02 7.573E+07 7.230E-17 2.593E-10 3.691E-09 2.319E-03 3.285E-05 2.257E-06 4.271E-06 4.615E+15 1.232E+07 1.653E+02 2.235E-07 1.204E-08
   5.450E+06 4.773E+02 1.285E+16 2.857E+03 2.316E+02 6.392E+07 1.834E-16 2.691E-10 4.243E-09 2.390E-03 3.348E-05 2.082E-06 4.248E-06 4.096E+15 1.142E+07 1.569E+02 2.287E-07 1.272E-08
   5.550E+06 4.211E+02 1.141E+16 2.387E+03 2.355E+02 5.376E+07 4.182E-16 2.789E-10 4.885E-09 2.450E-03 3.403E-05 1.923E-06 4.224E-06 3.639E+15 1.057E+07 1.482E+02 2.338E-07 1.342E-08
   5.650E+06 3.712E+02 1.014E+16 1.982E+03 2.399E+02 4.495E+07 8.785E-16 2.892E-10 5.639E-09 2.501E-03 3.449E-05 1.774E-06 4.197E-06 3.231E+15 9.769E+06 1.392E+02 2.387E-07 1.415E-08
   5.750E+06 3.270E+02 8.995E+15 1.635E+03 2.451E+02 3.736E+07 1.734E-15 3.000E-10 6.537E-09 2.543E-03 3.489E-05 1.634E-06 4.169E-06 2.868E+15 9.014E+06 1.300E+02 2.436E-07 1.491E-08
   5.850E+06 2.877E+02 7.991E+15 1.347E+03 2.521E+02 3.103E+07 3.222E-15 3.112E-10 7.622E-09 2.577E-03 3.522E-05 1.507E-06 4.140E-06 2.547E+15 8.331E+06 1.211E+02 2.483E-07 1.571E-08
   5.950E+06 2.528E+02 7.091E+15 1.102E+03 2.608E+02 2.561E+07 5.729E-15 3.234E-10 8.950E-09 2.606E-03 3.551E-05 1.386E-06 4.109E-06 2.260E+15 7.703E+06 1.122E+02 2.530E-07 1.655E-08
   6.050E+06 2.219E+02 6.286E+15 8.961E+02 2.715E+02 2.101E+07 9.743E-15 3.370E-10 1.059E-08 2.629E-03 3.575E-05 1.271E-06 4.077E-06 2.004E+15 7.134E+06 1.035E+02 2.575E-07 1.744E-08
   6.150E+06 1.945E+02 5.573E+15 7.261E+02 2.846E+02 1.718E+07 1.572E-14 3.520E-10 1.263E-08 2.647E-03 3.595E-05 1.165E-06 4.045E-06 1.776E+15 6.634E+06 9.508E+01 2.620E-07 1.838E-08
   6.250E+06 1.702E+02 4.934E+15 5.840E+02 2.996E+02 1.396E+07 2.421E-14 3.691E-10 1.514E-08 2.662E-03 3.612E-05 1.063E-06 4.011E-06 1.573E+15 6.193E+06 8.685E+01 2.665E-07 1.939E-08
   6.350E+06 1.487E+02 4.362E+15 4.663E+02 3.158E+02 1.125E+07 3.681E-14 3.888E-10 1.821E-08 2.674E-03 3.627E-05 9.649E-07 3.976E-06 1.390E+15 5.810E+06 7.887E+01 2.709E-07 2.046E-08
   6.450E+06 1.298E+02 3.852E+15 3.694E+02 3.326E+02 9.008E+06 5.441E-14 4.114E-10 2.191E-08 2.682E-03 3.639E-05 8.718E-07 3.940E-06 1.228E+15 5.481E+06 7.116E+01 2.754E-07 2.161E-08
   6.550E+06 1.131E+02 3.397E+15 2.901E+02 3.489E+02 7.153E+06 8.156E-14 4.371E-10 2.632E-08 2.689E-03 3.649E-05 7.831E-07 3.903E-06 1.082E+15 5.202E+06 6.379E+01 2.798E-07 2.285E-08
   6.650E+06 9.832E+01 2.991E+15 2.259E+02 3.643E+02 5.632E+06 1.350E-13 4.667E-10 3.152E-08 2.694E-03 3.658E-05 6.991E-07 3.865E-06 9.530E+14 4.967E+06 5.677E+01 2.842E-07 2.416E-08
   6.750E+06 8.536E+01 2.629E+15 1.742E+02 3.793E+02 4.395E+06 2.672E-13 5.003E-10 3.771E-08 2.697E-03 3.665E-05 6.198E-07 3.825E-06 8.378E+14 4.777E+06 5.015E+01 2.886E-07 2.556E-08
   6.850E+06 7.398E+01 2.308E+15 1.328E+02 3.958E+02 3.392E+06 6.166E-13 5.386E-10 4.533E-08 2.699E-03 3.672E-05 5.445E-07 3.783E-06 7.353E+14 4.634E+06 4.387E+01 2.930E-07 2.705E-08
   6.950E+06 6.400E+01 2.022E+15 9.974E+01 4.182E+02 2.581E+06 1.489E-12 5.822E-10 5.528E-08 2.701E-03 3.678E-05 4.726E-07 3.740E-06 6.443E+14 4.554E+06 3.790E+01 2.975E-07 2.861E-08
   7.050E+06 5.526E+01 1.769E+15 7.364E+01 4.529E+02 1.931E+06 3.457E-12 6.316E-10 6.928E-08 2.701E-03 3.682E-05 4.040E-07 3.695E-06 5.636E+14 4.550E+06 3.226E+01 3.019E-07 3.024E-08
   7.150E+06 4.763E+01 1.544E+15 5.340E+01 5.073E+02 1.418E+06 7.444E-12 6.882E-10 9.005E-08 2.701E-03 3.687E-05 3.400E-07 3.648E-06 4.920E+14 4.619E+06 2.704E+01 3.062E-07 3.194E-08
   7.250E+06 4.098E+01 1.346E+15 3.814E+01 5.875E+02 1.025E+06 1.473E-11 7.528E-10 1.214E-07 2.700E-03 3.691E-05 2.822E-07 3.598E-06 4.287E+14 4.769E+06 2.240E+01 3.106E-07 3.369E-08
   7.350E+06 3.519E+01 1.171E+15 2.693E+01 6.948E+02 7.315E+05 2.683E-11 8.269E-10 1.677E-07 2.698E-03 3.694E-05 2.316E-07 3.540E-06 3.728E+14 5.005E+06 1.841E+01 3.148E-07 3.548E-08
   7.450E+06 3.016E+01 1.014E+15 1.887E+01 8.231E+02 5.155E+05 4.534E-11 9.143E-10 2.337E-07 2.697E-03 3.697E-05 1.884E-07 3.473E-06 3.230E+14 5.256E+06 1.512E+01 3.190E-07 3.729E-08
   7.550E+06 2.581E+01 8.772E+14 1.336E+01 9.625E+02 3.641E+05 7.149E-11 1.015E-09 3.229E-07 2.696E-03 3.700E-05 1.539E-07 3.398E-06 2.794E+14 5.496E+06 1.261E+01 3.231E-07 3.913E-08
