
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.562E+05 2.414E+19 5.498E+05 2.218E+04 4.035E+06 0.000E+00 2.128E-13 7.256E-14 2.526E-05 3.021E-06 6.616E-09 1.266E-02 5.135E+16 3.958E+06 5.474E-03 2.626E-10 2.326E-12 1.640E-13 1.295E-11 7.202E-12 1.600E-11 6.943E-19 9.366E-10 7.223E-15 7.574E-17 9.644E-11 1.963E-15 6.617E-19 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.484E+05 2.166E+19 4.547E+05 3.612E+04 4.167E+06 0.000E+00 3.827E-13 1.693E-13 2.771E-05 3.288E-06 6.942E-09 9.852E-03 4.622E+16 3.318E+06 6.468E-03 5.210E-10 5.931E-12 1.532E-13 1.255E-11 2.562E-12 5.246E-12 6.617E-19 9.501E-10 4.814E-15 2.125E-17 8.632E-11 2.514E-15 7.073E-19 4.984E-07 8.025E-07 2.714E-07
   2.500E+05 7.513E+05 1.957E+19 3.685E+05 4.675E+04 5.029E+06 0.000E+00 6.139E-13 3.739E-13 2.964E-05 3.529E-06 8.669E-09 6.389E-03 4.190E+16 3.232E+06 8.905E-03 9.364E-10 1.357E-11 1.651E-13 1.237E-11 1.652E-12 3.159E-12 7.073E-19 9.451E-10 4.277E-15 1.756E-17 8.019E-11 3.743E-15 8.668E-19 4.972E-07 7.978E-07 2.697E-07
   3.500E+05 6.638E+05 1.760E+19 3.316E+05 5.975E+04 6.673E+06 0.000E+00 9.252E-13 8.000E-13 3.130E-05 3.751E-06 1.211E-08 4.243E-03 3.781E+16 3.537E+06 1.336E-02 1.580E-09 2.828E-11 2.009E-13 1.300E-11 1.526E-12 2.895E-12 8.668E-19 9.211E-10 4.779E-15 2.710E-17 7.762E-11 6.321E-15 1.028E-18 4.963E-07 7.937E-07 2.678E-07
   4.500E+05 5.851E+05 1.583E+19 2.710E+05 6.757E+04 9.027E+06 0.000E+00 1.335E-12 1.693E-12 3.245E-05 3.959E-06 1.758E-08 2.522E-03 3.410E+16 3.747E+06 2.033E-02 2.543E-09 5.497E-11 2.367E-13 1.340E-11 1.702E-12 3.192E-12 1.028E-18 8.703E-10 5.712E-15 6.017E-17 7.698E-11 1.100E-14 1.157E-18 4.956E-07 7.903E-07 2.658E-07
   5.500E+05 5.144E+05 1.423E+19 1.966E+05 6.785E+04 1.191E+07 0.000E+00 1.855E-12 3.471E-12 3.328E-05 4.158E-06 2.516E-08 1.374E-03 3.076E+16 3.794E+06 2.995E-02 3.907E-09 9.940E-11 2.667E-13 1.333E-11 2.078E-12 3.776E-12 1.157E-18 7.899E-10 6.888E-15 1.579E-16 7.660E-11 1.869E-14 1.204E-18 4.952E-07 7.876E-07 2.636E-07
   6.500E+05 4.509E+05 1.279E+19 1.229E+05 5.834E+04 1.502E+07 0.000E+00 2.485E-12 6.724E-12 3.385E-05 4.349E-06 3.470E-08 6.785E-04 2.773E+16 3.613E+06 4.191E-02 5.703E-09 1.660E-10 2.826E-13 1.256E-11 2.580E-12 4.398E-12 1.204E-18 6.798E-10 7.969E-15 4.312E-16 7.479E-11 3.037E-14 1.147E-18 4.950E-07 7.855E-07 2.612E-07
   7.500E+05 3.938E+05 1.148E+19 6.461E+04 4.234E+04 1.801E+07 0.000E+00 3.215E-12 1.239E-11 3.421E-05 4.536E-06 4.587E-08 2.978E-04 2.497E+16 3.219E+06 5.553E-02 7.894E-09 2.571E-10 2.804E-13 1.112E-11 3.118E-12 4.804E-12 1.147E-18 5.496E-10 8.674E-15 1.168E-15 7.088E-11 4.695E-14 1.017E-18 4.949E-07 7.839E-07 2.587E-07
   8.500E+05 3.427E+05 1.028E+19 2.826E+04 2.544E+04 2.057E+07 4.295E-93 4.029E-12 2.161E-11 3.441E-05 4.721E-06 5.812E-08 1.145E-04 2.244E+16 2.737E+06 6.997E-02 1.040E-08 3.720E-10 2.661E-13 9.288E-12 3.930E-12 5.271E-12 1.017E-18 4.188E-10 9.240E-15 3.520E-15 6.631E-11 6.944E-14 8.653E-19 4.949E-07 7.826E-07 2.562E-07
   9.500E+05 2.969E+05 9.188E+18 9.940E+03 1.187E+04 2.269E+07 1.354E-51 4.904E-12 3.521E-11 3.450E-05 4.903E-06 7.157E-08 3.669E-05 2.010E+16 2.303E+06 8.526E-02 1.311E-08 5.051E-10 2.507E-13 7.371E-12 5.572E-12 6.330E-12 8.653E-19 3.031E-10 1.020E-14 1.212E-14 6.303E-11 9.994E-14 7.198E-19 4.949E-07 7.815E-07 2.535E-07
   1.050E+06 2.561E+05 8.171E+18 2.495E+03 3.497E+03 2.556E+07 1.627E-39 5.826E-12 5.205E-11 3.461E-05 5.084E-06 9.040E-08 8.223E-06 1.794E+16 1.943E+06 1.065E-01 1.595E-08 6.489E-10 2.378E-13 5.467E-12 8.427E-12 8.257E-12 7.198E-19 1.984E-10 1.227E-14 3.705E-14 6.220E-11 1.488E-13 8.495E-19 4.950E-07 7.800E-07 2.497E-07
   1.150E+06 2.200E+05 7.219E+18 2.924E+03 4.070E+03 3.143E+07 5.265E-35 6.813E-12 7.154E-11 3.484E-05 5.266E-06 1.250E-07 7.880E-06 1.598E+16 2.144E+06 1.461E-01 1.893E-08 8.024E-10 2.970E-13 5.057E-12 1.121E-11 1.082E-11 8.495E-19 1.275E-10 1.836E-14 7.010E-14 6.955E-11 2.458E-13 9.991E-19 4.951E-07 7.773E-07 2.423E-07
   1.250E+06 1.882E+05 6.327E+18 3.506E+03 4.305E+03 4.214E+07 3.223E-31 7.931E-12 9.609E-11 3.542E-05 5.458E-06 1.881E-07 7.081E-06 1.427E+16 2.393E+06 2.209E-01 2.218E-08 9.745E-10 3.782E-13 5.045E-12 1.389E-11 1.477E-11 9.991E-19 9.428E-11 3.280E-14 1.557E-13 8.812E-11 4.496E-13 1.114E-18 4.952E-07 7.719E-07 2.282E-07
   1.350E+06 1.605E+05 5.501E+18 3.691E+03 3.823E+03 5.826E+07 2.979E-28 9.291E-12 1.284E-10 3.673E-05 5.670E-06 2.883E-07 5.411E-06 1.288E+16 2.550E+06 3.480E-01 2.594E-08 1.177E-09 4.635E-13 5.078E-12 1.824E-11 2.215E-11 1.114E-18 7.877E-11 6.068E-14 3.912E-13 1.201E-10 8.473E-13 1.249E-18 4.955E-07 7.622E-07 2.047E-07
   1.450E+06 1.365E+05 4.753E+18 3.603E+03 3.248E+03 7.798E+07 4.630E-26 1.106E-11 1.727E-10 3.905E-05 5.917E-06 4.201E-07 3.957E-06 1.182E+16 2.607E+06 5.349E-01 3.053E-08 1.430E-09 5.484E-13 5.080E-12 2.588E-11 3.455E-11 1.249E-18 6.733E-11 1.020E-13 8.917E-13 1.625E-10 1.520E-12 1.523E-18 4.960E-07 7.473E-07 1.732E-07
   1.550E+06 1.157E+05 4.090E+18 3.504E+03 2.915E+03 9.917E+07 2.115E-24 1.346E-11 2.350E-10 4.273E-05 6.217E-06 5.674E-07 3.033E-06 1.102E+16 2.684E+06 7.852E-01 3.639E-08 1.755E-09 6.562E-13 5.206E-12 3.710E-11 5.125E-11 1.523E-18 5.966E-11 1.512E-13 1.627E-12 2.066E-10 2.524E-12 2.033E-18 4.967E-07 7.279E-07 1.388E-07
   1.650E+06 9.795E+04 3.507E+18 3.434E+03 2.753E+03 1.219E+08 4.474E-23 1.676E-11 3.241E-10 4.832E-05 6.592E-06 7.193E-07 2.422E-06 1.038E+16 2.842E+06 1.119E+00 4.395E-08 2.180E-09 8.106E-13 5.543E-12 5.125E-11 7.003E-11 2.033E-18 5.590E-11 2.037E-13 2.396E-12 2.432E-10 3.951E-12 2.984E-18 4.975E-07 7.043E-07 1.055E-07
   1.750E+06 8.273E+04 2.994E+18 3.497E+03 2.782E+03 1.464E+08 5.712E-22 2.130E-11 4.517E-10 5.657E-05 7.062E-06 8.644E-07 2.057E-06 9.783E+15 3.159E+06 1.567E+00 5.364E-08 2.734E-09 1.055E-12 6.277E-12 6.599E-11 8.689E-11 2.984E-18 5.729E-11 2.559E-13 2.889E-12 2.663E-10 5.965E-12 4.775E-18 4.984E-07 6.773E-07 7.668E-08
   1.850E+06 6.977E+04 2.547E+18 3.774E+03 3.018E+03 1.735E+08 5.214E-21 2.748E-11 6.324E-10 6.855E-05 7.654E-06 9.939E-07 1.874E-06 9.172E+15 3.687E+06 2.175E+00 6.580E-08 3.443E-09 1.448E-12 7.560E-12 7.868E-11 9.877E-11 4.775E-18 6.398E-11 3.048E-13 2.938E-12 2.752E-10 8.847E-12 8.165E-18 4.994E-07 6.478E-07 5.351E-08
   1.950E+06 5.876E+04 2.159E+18 4.254E+03 3.445E+03 2.031E+08 3.678E-20 3.577E-11 8.836E-10 8.562E-05 8.396E-06 1.099E-06 1.805E-06 8.518E+15 4.448E+06 2.995E+00 8.066E-08 4.327E-09 2.060E-12 9.406E-12 8.825E-11 1.048E-10 8.165E-18 7.414E-11 3.435E-13 2.576E-12 2.715E-10 1.301E-11 1.473E-17 5.007E-07 6.167E-07 3.614E-08
   2.050E+06 4.944E+04 1.827E+18 4.916E+03 4.056E+03 2.336E+08 2.102E-19 4.668E-11 1.224E-09 1.094E-04 9.323E-06 1.169E-06 1.813E-06 7.816E+15 5.465E+06 4.066E+00 9.824E-08 5.398E-09 2.992E-12 1.176E-11 9.496E-11 1.056E-10 1.473E-17 8.496E-11 3.630E-13 1.973E-12 2.582E-10 1.904E-11 2.797E-17 5.021E-07 5.853E-07 2.390E-08
   2.150E+06 4.157E+04 1.541E+18 5.775E+03 4.868E+03 2.636E+08 1.005E-18 6.075E-11 1.674E-09 1.427E-04 1.047E-05 1.199E-06 1.887E-06 7.085E+15 6.783E+06 5.433E+00 1.183E-07 6.652E-09 4.401E-12 1.458E-11 9.932E-11 1.021E-10 2.797E-17 9.403E-11 3.564E-13 1.326E-12 2.381E-10 2.791E-11 5.519E-17 5.041E-07 5.540E-07 1.558E-08
   2.250E+06 3.494E+04 1.297E+18 6.635E+03 5.706E+03 2.916E+08 4.089E-18 7.850E-11 2.247E-09 1.897E-04 1.188E-05 1.185E-06 1.957E-06 6.349E+15 8.353E+06 7.147E+00 1.404E-07 8.068E-09 6.438E-12 1.758E-11 1.022E-10 9.516E-11 5.519E-17 9.743E-11 3.236E-13 7.857E-13 2.114E-10 4.114E-11 1.132E-16 5.068E-07 5.233E-07 1.007E-08
