
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.562E+05 2.414E+19 6.010E+05 2.589E+04 4.393E+06 0.000E+00 2.483E-13 8.470E-14 3.153E-05 3.346E-06 5.772E-09 1.266E-02 5.135E+16 4.227E+06 5.985E-03 3.077E-10 2.702E-12 1.751E-13 1.356E-11 7.121E-12 1.529E-11 7.398E-19 9.730E-10 7.253E-15 7.267E-17 9.702E-11 1.639E-15 7.130E-19 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.484E+05 2.166E+19 4.976E+05 4.231E+04 4.543E+06 0.000E+00 4.500E-13 1.983E-13 3.482E-05 3.639E-06 6.025E-09 9.852E-03 4.619E+16 3.572E+06 7.078E-03 6.140E-10 6.928E-12 1.649E-13 1.319E-11 2.510E-12 5.027E-12 7.130E-19 9.859E-10 5.190E-15 2.195E-17 8.664E-11 2.076E-15 7.820E-19 4.981E-07 8.017E-07 2.710E-07
   2.500E+05 7.513E+05 1.957E+19 4.175E+05 5.492E+04 5.686E+06 0.000E+00 7.275E-13 4.392E-13 3.746E-05 3.900E-06 7.756E-09 6.389E-03 4.184E+16 3.570E+06 1.009E-02 1.110E-09 1.594E-11 1.824E-13 1.317E-11 1.618E-12 3.101E-12 7.820E-19 9.837E-10 4.933E-15 1.988E-17 8.066E-11 3.178E-15 9.844E-19 4.966E-07 7.962E-07 2.689E-07
   3.500E+05 6.638E+05 1.760E+19 3.949E+05 7.046E+04 7.946E+06 0.000E+00 1.106E-12 9.434E-13 3.976E-05 4.136E-06 1.135E-08 4.243E-03 3.773E+16 4.029E+06 1.591E-02 1.885E-09 3.342E-11 2.289E-13 1.403E-11 1.465E-12 2.873E-12 9.844E-19 9.635E-10 5.889E-15 3.313E-17 7.846E-11 5.608E-15 1.193E-18 4.954E-07 7.914E-07 2.665E-07
   4.500E+05 5.851E+05 1.583E+19 3.396E+05 8.018E+04 1.133E+07 0.000E+00 1.612E-12 2.008E-12 4.143E-05 4.351E-06 1.728E-08 2.522E-03 3.400E+16 4.383E+06 2.547E-02 3.057E-09 6.547E-11 2.769E-13 1.462E-11 1.584E-12 3.169E-12 1.193E-18 9.155E-10 7.479E-15 7.820E-17 7.829E-11 1.020E-14 1.361E-18 4.945E-07 7.874E-07 2.639E-07
   5.500E+05 5.144E+05 1.423E+19 2.578E+05 8.130E+04 1.567E+07 0.000E+00 2.267E-12 4.159E-12 4.273E-05 4.552E-06 2.578E-08 1.374E-03 3.064E+16 4.514E+06 3.927E-02 4.746E-09 1.197E-10 3.173E-13 1.466E-11 1.879E-12 3.756E-12 1.361E-18 8.363E-10 9.536E-15 2.174E-16 7.837E-11 1.800E-14 1.426E-18 4.939E-07 7.841E-07 2.611E-07
   6.500E+05 4.509E+05 1.279E+19 1.676E+05 7.084E+04 2.058E+07 0.000E+00 3.082E-12 8.165E-12 4.372E-05 4.743E-06 3.682E-08 6.785E-04 2.759E+16 4.329E+06 5.715E-02 7.016E-09 2.025E-10 3.385E-13 1.390E-11 2.290E-12 4.428E-12 1.426E-18 7.249E-10 1.164E-14 6.342E-16 7.686E-11 3.017E-14 1.361E-18 4.935E-07 7.815E-07 2.582E-07
   7.500E+05 3.938E+05 1.148E+19 9.117E+04 5.232E+04 2.556E+07 0.000E+00 4.061E-12 1.530E-11 4.449E-05 4.927E-06 5.004E-08 2.978E-04 2.481E+16 3.848E+06 7.836E-02 9.864E-09 3.189E-10 3.353E-13 1.235E-11 2.762E-12 4.969E-12 1.361E-18 5.901E-10 1.341E-14 1.869E-15 7.297E-11 4.782E-14 1.202E-18 4.933E-07 7.796E-07 2.551E-07
   8.500E+05 3.427E+05 1.028E+19 4.108E+04 3.214E+04 3.008E+07 3.135-120 5.198E-12 2.729E-11 4.512E-05 5.106E-06 6.483E-08 1.145E-04 2.227E+16 3.236E+06 1.017E-01 1.323E-08 4.705E-10 3.147E-13 1.032E-11 3.525E-12 5.678E-12 1.202E-18 4.516E-10 1.519E-14 6.228E-15 6.820E-11 7.210E-14 1.005E-18 4.932E-07 7.780E-07 2.518E-07
   9.500E+05 2.969E+05 9.188E+18 1.484E+04 1.544E+04 3.411E+07 3.550E-62 6.486E-12 4.580E-11 4.570E-05 5.283E-06 8.123E-08 3.669E-05 1.992E+16 2.660E+06 1.273E-01 1.704E-08 6.537E-10 2.895E-13 8.160E-12 5.063E-12 7.094E-12 1.005E-18 3.272E-10 1.779E-14 2.319E-14 6.461E-11 1.053E-13 8.064E-19 4.932E-07 7.766E-07 2.484E-07
