
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.547E+05 2.448E+19 2.486E+05 1.381E-05 2.495E+06 0.000E+00 1.267E-22 5.977E-23 5.376E-06 2.154E-06 1.896E-08 9.440E-03 2.604E+18 2.587E+06 3.263E-03 1.785E-19 2.081E-21 1.057E-13 8.416E-12 7.786E-12 2.395E-11 8.425E-21 5.406E-10 1.578E-14 3.348E-16 1.311E-10 8.853E-17 7.236E-21 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.450E+05 2.209E+19 1.808E+05 1.160E-04 2.652E+06 0.000E+00 1.285E-21 8.395E-22 5.754E-06 2.328E-06 2.086E-08 6.258E-03 2.350E+18 2.084E+06 3.949E-03 2.060E-18 3.047E-20 9.434E-14 7.807E-12 4.201E-12 1.126E-11 7.236E-21 5.409E-10 9.967E-15 1.504E-16 1.427E-10 1.154E-16 7.480E-21 4.995E-07 8.055E-07 2.729E-07
   2.500E+05 7.462E+05 1.984E+19 1.347E+05 9.129E-04 2.840E+06 0.000E+00 1.187E-20 1.079E-20 6.057E-06 2.483E-06 2.364E-08 4.267E-03 2.110E+18 1.976E+06 4.785E-03 2.148E-17 3.861E-19 9.960E-14 7.568E-12 3.934E-12 9.319E-12 7.480E-21 5.208E-10 9.051E-15 1.659E-16 1.628E-10 1.584E-16 7.732E-21 4.992E-07 8.035E-07 2.728E-07
   3.500E+05 6.576E+05 1.784E+19 8.688E+04 5.167E-03 3.029E+06 0.000E+00 8.999E-20 1.141E-19 6.197E-06 2.623E-06 2.740E-08 2.539E-03 1.897E+18 1.881E+06 5.741E-03 1.824E-16 3.864E-18 1.055E-13 7.108E-12 4.919E-12 1.019E-11 7.732E-21 4.653E-10 9.220E-15 3.112E-16 1.861E-10 2.194E-16 8.043E-21 4.990E-07 8.019E-07 2.728E-07
   4.500E+05 5.779E+05 1.603E+19 5.113E+04 2.222E-02 3.195E+06 0.000E+00 5.676E-19 9.881E-19 6.230E-06 2.748E-06 3.199E-08 1.403E-03 1.705E+18 1.807E+06 6.766E-03 1.273E-15 3.083E-17 1.127E-13 6.459E-12 6.628E-12 1.192E-11 8.043E-21 3.872E-10 9.521E-15 6.818E-16 2.083E-10 3.042E-16 8.145E-21 4.989E-07 8.007E-07 2.727E-07
   5.500E+05 5.063E+05 1.440E+19 2.667E+04 8.001E-02 3.298E+06 0.000E+00 3.018E-18 7.873E-18 6.154E-06 2.863E-06 3.722E-08 7.059E-04 1.532E+18 1.696E+06 7.761E-03 7.431E-15 2.044E-16 1.178E-13 5.559E-12 8.750E-12 1.343E-11 8.145E-21 3.007E-10 9.383E-15 1.507E-15 2.254E-10 4.170E-16 7.724E-21 4.989E-07 7.997E-07 2.725E-07
   6.500E+05 4.420E+05 1.292E+19 1.221E+04 2.474E-01 3.324E+06 0.000E+00 1.373E-17 5.976E-17 5.991E-06 2.967E-06 4.295E-08 3.205E-04 1.374E+18 1.490E+06 8.657E-03 3.713E-14 1.177E-15 1.153E-13 4.494E-12 1.046E-11 1.342E-11 7.724E-21 2.197E-10 8.512E-15 3.009E-15 2.347E-10 5.633E-16 6.951E-21 4.989E-07 7.990E-07 2.724E-07
   7.500E+05 3.845E+05 1.157E+19 4.861E+03 5.107E-01 3.266E+06 0.000E+00 5.378E-17 3.390E-16 5.741E-06 3.064E-06 4.917E-08 1.302E-04 1.231E+18 1.233E+06 9.402E-03 1.581E-13 5.598E-15 1.066E-13 3.440E-12 1.189E-11 1.253E-11 6.951E-21 1.529E-10 7.295E-15 5.920E-15 2.385E-10 7.530E-16 6.412E-21 4.989E-07 7.984E-07 2.723E-07
   8.500E+05 3.330E+05 1.033E+19 1.657E+03 6.582E-01 3.143E+06 0.000E+00 1.827E-16 1.376E-15 5.436E-06 3.155E-06 5.597E-08 4.632E-05 1.099E+18 1.037E+06 1.001E-02 5.700E-13 2.139E-14 1.004E-13 2.549E-12 1.450E-11 1.237E-11 6.412E-21 1.036E-10 6.314E-15 1.351E-14 2.408E-10 1.002E-15 6.240E-21 4.988E-07 7.979E-07 2.721E-07
   9.500E+05 2.872E+05 9.179E+18 4.735E+02 5.553E-01 2.996E+06 0.000E+00 5.437E-16 4.336E-15 5.111E-06 3.239E-06 6.386E-08 1.395E-05 9.767E+17 9.036E+05 1.059E-02 1.762E-12 6.763E-14 9.844E-14 1.888E-12 1.857E-11 1.289E-11 6.240E-21 6.956E-11 5.643E-15 2.960E-14 2.441E-10 1.351E-15 5.935E-21 4.988E-07 7.975E-07 2.719E-07
   1.050E+06 2.466E+05 8.099E+18 9.079E+01 2.514E-01 2.963E+06 0.000E+00 1.430E-15 1.143E-14 4.794E-06 3.319E-06 7.631E-08 2.717E-06 8.617E+17 7.519E+05 1.173E-02 4.755E-12 1.836E-13 9.284E-14 1.395E-12 2.245E-11 1.338E-11 5.935E-21 4.316E-11 5.055E-15 4.968E-14 2.507E-10 1.947E-15 5.202E-21 4.987E-07 7.969E-07 2.717E-07
   1.150E+06 2.110E+05 7.079E+18 1.029E+02 5.081E-01 3.368E+06 0.000E+00 3.359E-15 2.639E-14 4.575E-06 3.395E-06 1.040E-07 2.719E-06 7.532E+17 5.624E+05 1.510E-02 1.137E-11 4.395E-13 7.945E-14 9.362E-13 2.830E-11 1.676E-11 5.202E-21 2.118E-11 4.639E-15 5.851E-14 2.712E-10 3.309E-15 3.859E-21 4.985E-07 7.957E-07 2.710E-07
   1.250E+06 1.800E+05 6.139E+18 1.404E+02 9.233E-01 4.600E+06 0.000E+00 7.141E-15 5.519E-14 4.452E-06 3.468E-06 1.683E-07 2.725E-06 6.532E+17 3.503E+05 2.359E-02 2.452E-11 9.481E-13 5.706E-14 5.662E-13 3.583E-11 2.572E-11 3.859E-21 7.498E-12 4.855E-15 8.477E-14 3.167E-10 6.864E-15 3.188E-21 4.979E-07 7.932E-07 2.694E-07
   1.350E+06 1.532E+05 5.298E+18 2.137E+02 1.555E+00 6.990E+06 0.000E+00 1.402E-14 1.073E-13 4.370E-06 3.539E-06 3.019E-07 2.736E-06 5.637E+17 2.438E+05 4.125E-02 4.866E-11 1.884E-12 4.601E-14 4.245E-13 4.459E-11 4.414E-11 3.188E-21 2.391E-12 7.704E-15 1.991E-13 4.119E-10 1.605E-14 3.384E-21 4.967E-07 7.880E-07 2.661E-07
   1.450E+06 1.301E+05 4.554E+18 3.226E+02 2.493E+00 1.050E+07 1.473-160 2.605E-14 1.987E-13 4.343E-06 3.610E-06 5.310E-07 2.756E-06 4.845E+17 2.193E+05 7.167E-02 9.102E-11 3.533E-12 4.815E-14 4.447E-13 5.374E-11 7.307E-11 3.384E-21 1.380E-12 1.548E-14 5.629E-13 5.787E-10 3.728E-14 4.129E-21 4.944E-07 7.793E-07 2.604E-07
   1.550E+06 1.103E+05 3.893E+18 4.597E+02 3.877E+00 1.484E+07 1.146-139 4.675E-14 3.577E-13 4.432E-06 3.684E-06 8.600E-07 2.784E-06 4.142E+17 2.239E+05 1.179E-01 1.637E-10 6.377E-12 5.750E-14 5.430E-13 6.455E-11 1.134E-10 4.129E-21 1.539E-12 3.015E-14 1.436E-12 8.190E-10 8.143E-14 5.612E-21 4.911E-07 7.666E-07 2.520E-07
   1.650E+06 9.344E+04 3.302E+18 6.325E+02 5.909E+00 2.015E+07 6.671-122 8.213E-14 6.344E-13 4.739E-06 3.765E-06 1.288E-06 2.821E-06 3.513E+17 2.449E+05 1.887E-01 2.868E-10 1.122E-11 7.416E-14 7.330E-13 7.679E-11 1.677E-10 5.612E-21 2.247E-12 5.489E-14 3.215E-12 1.128E-09 1.706E-13 8.527E-21 4.866E-07 7.499E-07 2.409E-07
   1.750E+06 7.921E+04 2.779E+18 8.529E+02 8.878E+00 2.670E+07 8.789-107 1.421E-13 1.114E-12 5.350E-06 3.855E-06 1.796E-06 2.867E-06 2.956E+17 2.827E+05 2.983E-01 4.924E-10 1.935E-11 1.017E-13 1.077E-12 8.991E-11 2.383E-10 8.527E-21 3.748E-12 9.384E-14 6.362E-12 1.485E-09 3.461E-13 1.390E-20 4.808E-07 7.294E-07 2.274E-07
   1.850E+06 6.725E+04 2.336E+18 1.126E+03 1.325E+01 3.454E+07 6.747E-94 2.424E-13 1.942E-12 6.250E-06 3.957E-06 2.366E-06 2.920E-06 2.485E+17 3.360E+05 4.613E-01 8.299E-10 3.279E-11 1.438E-13 1.611E-12 1.069E-10 3.299E-10 1.390E-20 6.414E-12 1.492E-13 1.127E-11 1.867E-09 6.704E-13 2.374E-20 4.740E-07 7.056E-07 2.116E-07
