
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.553E+05 2.458E+19 2.859E+05 7.588E+04 2.897E+06 0.000E+00 9.531E-13 3.491E-13 4.748E-05 3.752E-06 2.482E-09 8.842E-03 2.615E+16 2.524E+06 3.986E-03 1.168E-09 1.170E-11
   1.500E+05 8.451E+05 2.218E+19 2.963E+05 1.011E+05 4.450E+06 0.000E+00 1.635E-12 7.888E-13 5.275E-05 4.134E-06 3.803E-09 5.778E-03 2.369E+16 3.321E+06 6.971E-03 2.205E-09 2.769E-11
   2.500E+05 7.460E+05 1.992E+19 3.332E+05 1.279E+05 7.349E+06 0.000E+00 2.471E-12 1.664E-12 5.732E-05 4.483E-06 6.437E-09 3.858E-03 2.136E+16 4.488E+06 1.302E-02 3.699E-09 5.795E-11
   3.500E+05 6.570E+05 1.791E+19 3.223E+05 1.412E+05 1.190E+07 0.000E+00 3.516E-12 3.473E-12 6.098E-05 4.809E-06 1.090E-08 2.270E-03 1.928E+16 5.468E+06 2.370E-02 5.856E-09 1.128E-10
   4.500E+05 5.770E+05 1.609E+19 2.698E+05 1.418E+05 1.815E+07 0.000E+00 4.816E-12 7.136E-12 6.412E-05 5.120E-06 1.760E-08 1.235E-03 1.739E+16 6.105E+06 4.036E-02 8.881E-09 2.054E-10
   5.500E+05 5.051E+05 1.445E+19 1.897E+05 1.240E+05 2.587E+07 0.000E+00 6.416E-12 1.413E-11 6.685E-05 5.421E-06 2.677E-08 6.073E-04 1.568E+16 6.151E+06 6.381E-02 1.291E-08 3.487E-10
   6.500E+05 4.406E+05 1.297E+19 1.121E+05 9.437E+04 3.451E+07 0.000E+00 8.356E-12 2.704E-11 6.937E-05 5.720E-06 3.837E-08 2.692E-04 1.411E+16 5.663E+06 9.410E-02 1.799E-08 5.538E-10
   7.500E+05 3.829E+05 1.161E+19 5.545E+04 6.184E+04 4.339E+07 3.567-119 1.068E-11 5.010E-11 7.185E-05 6.019E-06 5.202E-08 1.063E-04 1.266E+16 4.848E+06 1.306E-01 2.407E-08 8.296E-10
   8.500E+05 3.312E+05 1.036E+19 2.257E+04 3.418E+04 5.183E+07 2.845E-54 1.343E-11 9.053E-11 7.450E-05 6.326E-06 6.712E-08 3.643E-05 1.133E+16 3.933E+06 1.724E-01 3.109E-08 1.180E-09
   9.500E+05 2.852E+05 9.207E+18 7.399E+03 1.471E+04 5.974E+07 5.238E-34 1.667E-11 1.534E-10 7.753E-05 6.643E-06 8.370E-08 1.042E-05 1.007E+16 3.066E+06 2.204E-01 3.898E-08 1.600E-09
   1.050E+06 2.446E+05 8.122E+18 1.498E+03 3.467E+03 7.030E+07 3.707E-28 2.047E-11 2.367E-10 8.113E-05 6.977E-06 1.067E-07 1.803E-06 8.886E+15 2.226E+06 2.899E-01 4.773E-08 2.083E-09
   1.150E+06 2.088E+05 7.101E+18 1.899E+03 4.383E+03 9.026E+07 7.788E-26 2.505E-11 3.451E-10 8.611E-05 7.342E-06 1.476E-07 1.789E-06 7.769E+15 2.352E+06 4.206E-01 5.755E-08 2.643E-09
   1.250E+06 1.777E+05 6.158E+18 2.568E+03 5.373E+03 1.250E+08 8.041E-24 3.093E-11 4.975E-10 9.354E-05 7.770E-06 2.169E-07 1.754E-06 6.737E+15 2.740E+06 6.649E-01 6.903E-08 3.323E-09
   1.350E+06 1.508E+05 5.314E+18 3.413E+03 6.456E+03 1.741E+08 4.349E-22 3.891E-11 7.235E-10 1.051E-04 8.316E-06 3.117E-07 1.679E-06 5.813E+15 3.362E+06 1.064E+00 8.306E-08 4.189E-09
   1.450E+06 1.277E+05 4.571E+18 4.137E+03 7.564E+03 2.300E+08 1.281E-20 5.021E-11 1.070E-09 1.233E-04 9.055E-06 4.079E-07 1.547E-06 4.999E+15 4.145E+06 1.620E+00 1.007E-07 5.320E-09
   1.550E+06 1.078E+05 3.919E+18 4.470E+03 8.454E+03 2.858E+08 2.135E-19 6.631E-11 1.599E-09 1.518E-04 1.007E-05 4.805E-07 1.349E-06 4.285E+15 5.043E+06 2.329E+00 1.226E-07 6.783E-09
   1.650E+06 9.076E+04 3.344E+18 4.255E+03 8.600E+03 3.406E+08 2.108E-18 8.882E-11 2.379E-09 1.969E-04 1.146E-05 5.173E-07 1.081E-06 3.656E+15 5.949E+06 3.228E+00 1.486E-07 8.601E-09
   1.750E+06 7.629E+04 2.839E+18 4.182E+03 9.179E+03 3.890E+08 1.342E-17 1.191E-10 3.467E-09 2.701E-04 1.332E-05 5.071E-07 9.325E-07 3.105E+15 7.297E+06 4.317E+00 1.776E-07 1.073E-08
   1.850E+06 6.403E+04 2.402E+18 4.261E+03 1.022E+04 4.263E+08 6.260E-17 1.571E-10 4.898E-09 3.954E-04 1.578E-05 4.489E-07 8.684E-07 2.626E+15 9.312E+06 5.569E+00 2.074E-07 1.306E-08
   1.950E+06 5.368E+04 2.023E+18 4.481E+03 1.209E+04 4.365E+08 2.340E-16 2.010E-10 6.692E-09 6.034E-04 1.886E-05 3.576E-07 8.929E-07 2.212E+15 1.224E+07 6.753E+00 2.357E-07 1.546E-08
   2.050E+06 4.498E+04 1.697E+18 4.249E+03 1.378E+04 4.048E+08 7.371E-16 2.474E-10 8.890E-09 8.892E-04 2.231E-05 2.683E-07 9.131E-07 1.856E+15 1.521E+07 7.460E+00 2.609E-07 1.781E-08
   2.150E+06 3.770E+04 1.422E+18 3.690E+03 1.529E+04 3.460E+08 2.003E-15 2.941E-10 1.160E-08 1.203E-03 2.567E-05 2.023E-07 9.279E-07 1.555E+15 1.776E+07 7.613E+00 2.826E-07 2.010E-08
   2.250E+06 3.160E+04 1.191E+18 3.050E+03 1.673E+04 2.832E+08 4.790E-15 3.414E-10 1.499E-08 1.498E-03 2.866E-05 1.586E-07 9.368E-07 1.303E+15 1.988E+07 7.436E+00 3.014E-07 2.234E-08
   2.350E+06 2.648E+04 9.997E+17 2.447E+03 1.813E+04 2.266E+08 1.027E-14 3.905E-10 1.930E-08 1.754E-03 3.119E-05 1.292E-07 9.398E-07 1.093E+15 2.169E+07 7.084E+00 3.179E-07 2.459E-08
   2.450E+06 2.218E+04 8.403E+17 1.918E+03 1.951E+04 1.782E+08 2.012E-14 4.427E-10 2.478E-08 1.964E-03 3.329E-05 1.080E-07 9.370E-07 9.189E+14 2.325E+07 6.618E+00 3.325E-07 2.687E-08
   2.550E+06 1.857E+04 7.072E+17 1.472E+03 2.079E+04 1.382E+08 3.674E-14 4.991E-10 3.165E-08 2.130E-03 3.499E-05 9.175E-08 9.287E-07 7.733E+14 2.459E+07 6.078E+00 3.456E-07 2.922E-08
   2.650E+06 1.553E+04 5.958E+17 1.108E+03 2.186E+04 1.057E+08 6.414E-14 5.607E-10 4.008E-08 2.254E-03 3.636E-05 7.871E-08 9.154E-07 6.516E+14 2.568E+07 5.496E+00 3.575E-07 3.167E-08
   2.750E+06 1.297E+04 5.023E+17 8.196E+02 2.260E+04 7.997E+07 1.104E-13 6.282E-10 5.014E-08 2.344E-03 3.746E-05 6.793E-08 8.972E-07 5.493E+14 2.647E+07 4.903E+00 3.684E-07 3.420E-08
   2.850E+06 1.081E+04 4.233E+17 5.958E+02 2.288E+04 5.979E+07 1.918E-13 7.027E-10 6.180E-08 2.404E-03 3.833E-05 5.877E-08 8.747E-07 4.629E+14 2.694E+07 4.322E+00 3.784E-07 3.681E-08
   2.950E+06 8.993E+03 3.562E+17 4.253E+02 2.264E+04 4.417E+07 3.372E-13 7.857E-10 7.497E-08 2.441E-03 3.902E-05 5.080E-08 8.476E-07 3.895E+14 2.704E+07 3.768E+00 3.877E-07 3.950E-08
   3.050E+06 7.466E+03 2.990E+17 2.979E+02 2.185E+04 3.221E+07 6.034E-13 8.794E-10 8.953E-08 2.462E-03 3.957E-05 4.376E-08 8.162E-07 3.269E+14 2.676E+07 3.253E+00 3.962E-07 4.223E-08
   3.150E+06 6.187E+03 2.499E+17 2.042E+02 2.061E+04 2.314E+07 1.153E-12 9.874E-10 1.056E-07 2.476E-03 3.999E-05 3.740E-08 7.806E-07 2.733E+14 2.614E+07 2.781E+00 4.041E-07 4.498E-08
   3.250E+06 5.120E+03 2.083E+17 1.372E+02 1.919E+04 1.642E+07 2.474E-12 1.112E-09 1.244E-07 2.483E-03 4.033E-05 3.174E-08 7.404E-07 2.278E+14 2.533E+07 2.357E+00 4.114E-07 4.774E-08
   3.350E+06 4.232E+03 1.733E+17 9.167E+01 1.861E+04 1.131E+07 5.797E-12 1.259E-09 1.493E-07 2.485E-03 4.059E-05 2.626E-08 7.192E-07 1.895E+14 2.498E+07 1.944E+00 4.181E-07 5.050E-08
   3.450E+06 3.494E+03 1.438E+17 6.010E+01 1.902E+04 7.549E+06 1.350E-11 1.433E-09 1.871E-07 2.484E-03 4.079E-05 2.113E-08 7.069E-07 1.573E+14 2.520E+07 1.559E+00 4.243E-07 5.326E-08
   3.550E+06 2.883E+03 1.191E+17 3.830E+01 2.043E+04 4.909E+06 2.907E-11 1.640E-09 2.478E-07 2.483E-03 4.095E-05 1.659E-08 6.921E-07 1.303E+14 2.596E+07 1.223E+00 4.301E-07 5.601E-08
   3.650E+06 2.377E+03 9.843E+16 2.390E+01 2.272E+04 3.132E+06 5.636E-11 1.889E-09 3.423E-07 2.485E-03 4.107E-05 1.281E-08 6.743E-07 1.076E+14 2.709E+07 9.480E-01 4.355E-07 5.875E-08
   3.750E+06 1.960E+03 8.119E+16 1.487E+01 2.537E+04 1.993E+06 9.829E-11 2.182E-09 4.786E-07 2.488E-03 4.117E-05 9.864E-09 6.528E-07 8.877E+13 2.826E+07 7.381E-01 4.405E-07 6.148E-08
