
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.554E+05 2.452E+19 2.992E+05 2.896E+04 2.908E+06 0.000E+00 2.901E-13 1.275E-13 3.110E-05 3.341E-06 3.814E-09 9.263E-03 5.150E+16 2.019E+06 3.993E-03 3.968E-10 4.483E-12
   1.500E+05 8.455E+05 2.213E+19 2.911E+05 4.115E+04 4.151E+06 0.000E+00 5.261E-13 3.043E-13 3.435E-05 3.654E-06 5.461E-09 6.109E-03 4.657E+16 2.493E+06 6.497E-03 7.943E-10 1.109E-11
   2.500E+05 7.466E+05 1.987E+19 3.086E+05 5.577E+04 6.362E+06 0.000E+00 8.450E-13 6.777E-13 3.717E-05 3.937E-06 8.612E-09 4.141E-03 4.191E+16 3.205E+06 1.127E-02 1.419E-09 2.432E-11
   3.500E+05 6.578E+05 1.787E+19 2.821E+05 6.495E+04 9.650E+06 0.000E+00 1.277E-12 1.481E-12 3.933E-05 4.195E-06 1.373E-08 2.455E-03 3.776E+16 3.729E+06 1.924E-02 2.385E-09 4.941E-11
   4.500E+05 5.780E+05 1.606E+19 2.266E+05 6.821E+04 1.395E+07 0.000E+00 1.849E-12 3.143E-12 4.109E-05 4.435E-06 2.114E-08 1.352E-03 3.399E+16 4.023E+06 3.106E-02 3.814E-09 9.326E-11
   5.500E+05 5.063E+05 1.442E+19 1.551E+05 6.164E+04 1.899E+07 0.000E+00 2.578E-12 6.316E-12 4.252E-05 4.661E-06 3.097E-08 6.767E-04 3.059E+16 3.967E+06 4.697E-02 5.798E-09 1.627E-10
   6.500E+05 4.419E+05 1.294E+19 8.974E+04 4.754E+04 2.438E+07 0.000E+00 3.479E-12 1.204E-11 4.370E-05 4.879E-06 4.311E-08 3.052E-04 2.749E+16 3.598E+06 6.669E-02 8.371E-09 2.634E-10
   7.500E+05 3.843E+05 1.159E+19 4.375E+04 3.113E+04 2.965E+07 6.149-142 4.562E-12 2.188E-11 4.474E-05 5.092E-06 5.719E-08 1.228E-04 2.465E+16 3.054E+06 8.957E-02 1.153E-08 3.994E-10
   8.500E+05 3.327E+05 1.035E+19 1.767E+04 1.686E+04 3.438E+07 3.446E-66 5.836E-12 3.793E-11 4.573E-05 5.302E-06 7.266E-08 4.295E-05 2.204E+16 2.487E+06 1.148E-01 1.525E-08 5.719E-10
   9.500E+05 2.868E+05 9.200E+18 5.765E+03 7.105E+03 3.862E+07 7.924E-42 7.320E-12 6.155E-11 4.679E-05 5.512E-06 8.972E-08 1.255E-05 1.960E+16 2.000E+06 1.429E-01 1.950E-08 7.792E-10
   1.050E+06 2.461E+05 8.122E+18 1.210E+03 1.730E+03 4.445E+07 1.945E-34 9.047E-12 9.256E-11 4.807E-05 5.726E-06 1.139E-07 2.301E-06 1.730E+16 1.581E+06 1.838E-01 2.430E-08 1.020E-09
