
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.538E+05 2.407E+19 2.569E+05 2.739E-18 2.163E+06 0.000E+00 2.256E-34 8.939E-36 4.716E-06 2.089E-06 1.906E-08 1.273E-02 7.679E+18 2.550E+06 2.552E-03 9.536E-32 8.424E-35
   1.500E+05 8.462E+05 2.160E+19 2.178E+05 3.533E-16 2.293E+06 0.000E+00 1.875E-32 1.649E-33 5.091E-06 2.254E-06 2.086E-08 9.924E-03 6.890E+18 2.242E+06 3.085E-03 1.115E-29 2.898E-32
   2.500E+05 7.494E+05 1.951E+19 1.562E+05 3.328E-14 2.448E+06 0.000E+00 1.493E-30 2.640E-31 5.327E-06 2.401E-06 2.355E-08 6.459E-03 6.225E+18 2.126E+06 3.746E-03 1.207E-27 6.574E-30
   3.500E+05 6.621E+05 1.755E+19 1.139E+05 2.310E-12 2.623E+06 0.000E+00 9.407E-29 3.056E-29 5.512E-06 2.534E-06 2.712E-08 4.308E-03 5.599E+18 2.151E+06 4.533E-03 9.827E-26 8.957E-28
   4.500E+05 5.837E+05 1.578E+19 7.285E+04 1.021E-10 2.764E+06 0.000E+00 4.472E-27 2.512E-27 5.575E-06 2.653E-06 3.142E-08 2.575E-03 5.033E+18 2.126E+06 5.370E-03 5.802E-24 7.671E-26
   5.500E+05 5.132E+05 1.418E+19 4.139E+04 4.527E-09 2.847E+06 0.000E+00 1.587E-25 2.269E-25 5.543E-06 2.761E-06 3.621E-08 1.406E-03 4.525E+18 2.060E+06 6.179E-03 2.519E-22 4.812E-24
   6.500E+05 4.499E+05 1.275E+19 2.062E+04 3.997E-07 2.850E+06 0.000E+00 4.395E-24 4.501E-23 5.423E-06 2.860E-06 4.124E-08 6.967E-04 4.066E+18 1.898E+06 6.874E-03 1.016E-20 4.186E-22
   7.500E+05 3.930E+05 1.144E+19 8.856E+03 1.110E-05 2.775E+06 0.000E+00 9.832E-23 3.160E-21 5.229E-06 2.951E-06 4.638E-08 3.070E-04 3.651E+18 1.627E+06 7.410E-03 3.684E-19 2.395E-20
   8.500E+05 3.420E+05 1.025E+19 3.247E+03 9.553E-05 2.631E+06 0.000E+00 1.605E-21 7.837E-20 4.967E-06 3.036E-06 5.167E-08 1.189E-04 3.271E+18 1.324E+06 7.769E-03 7.823E-18 5.738E-19
   9.500E+05 2.964E+05 9.156E+18 9.870E+02 3.439E-04 2.455E+06 0.000E+00 1.856E-20 9.672E-19 4.663E-06 3.116E-06 5.749E-08 3.884E-05 2.921E+18 1.075E+06 8.029E-03 9.724E-17 7.147E-18
   1.050E+06 2.558E+05 8.135E+18 2.195E+02 5.407E-04 2.349E+06 0.000E+00 1.609E-19 7.340E-18 4.353E-06 3.192E-06 6.633E-08 9.056E-06 2.595E+18 8.436E+05 8.549E-03 8.101E-16 5.625E-17
   1.150E+06 2.199E+05 7.177E+18 2.263E+02 2.489E-03 2.490E+06 0.000E+00 1.106E-18 3.924E-17 4.061E-06 3.263E-06 8.542E-08 8.837E-06 2.290E+18 6.240E+05 1.016E-02 5.084E-15 3.211E-16
   1.250E+06 1.883E+05 6.280E+18 2.647E+02 8.483E-03 3.100E+06 0.000E+00 6.219E-18 1.623E-16 3.829E-06 3.331E-06 1.289E-07 8.326E-06 2.003E+18 3.864E+05 1.432E-02 2.595E-14 1.462E-15
   1.350E+06 1.608E+05 5.453E+18 3.288E+02 2.198E-02 4.427E+06 0.000E+00 2.913E-17 5.553E-16 3.709E-06 3.396E-06 2.189E-07 7.257E-06 1.740E+18 2.572E+05 2.339E-02 1.125E-13 5.654E-15
   1.450E+06 1.370E+05 4.710E+18 3.760E+02 4.499E-02 6.413E+06 0.000E+00 1.159E-16 1.664E-15 3.632E-06 3.460E-06 3.749E-07 5.741E-06 1.503E+18 1.993E+05 3.899E-02 4.242E-13 1.938E-14
   1.550E+06 1.164E+05 4.050E+18 4.349E+02 8.901E-02 8.824E+06 0.000E+00 4.004E-16 4.547E-15 3.606E-06 3.524E-06 6.042E-07 4.833E-06 1.292E+18 1.759E+05 6.207E-02 1.416E-12 6.022E-14
   1.650E+06 9.885E+04 3.465E+18 5.333E+02 1.818E-01 1.159E+07 0.000E+00 1.223E-15 1.162E-14 3.666E-06 3.589E-06 9.126E-07 4.516E-06 1.105E+18 1.739E+05 9.498E-02 4.235E-12 1.714E-13
   1.750E+06 8.385E+04 2.945E+18 6.850E+02 3.761E-01 1.477E+07 0.000E+00 3.360E-15 2.805E-14 3.867E-06 3.657E-06 1.297E-06 4.553E-06 9.394E+17 1.888E+05 1.423E-01 1.146E-11 4.490E-13
   1.850E+06 7.115E+04 2.486E+18 8.713E+02 7.337E-01 1.860E+07 0.000E+00 8.395E-15 6.421E-14 4.256E-06 3.728E-06 1.758E-06 4.596E-06 7.932E+17 2.154E+05 2.127E-01 2.826E-11 1.086E-12
   1.950E+06 6.044E+04 2.092E+18 1.099E+03 1.355E+00 2.320E+07 0.000E+00 1.929E-14 1.394E-13 4.842E-06 3.805E-06 2.290E-06 4.644E-06 6.674E+17 2.545E+05 3.166E-01 6.416E-11 2.435E-12
   2.050E+06 5.144E+04 1.762E+18 1.370E+03 2.379E+00 2.855E+07 0.000E+00 4.119E-14 2.877E-13 5.619E-06 3.889E-06 2.884E-06 4.695E-06 5.620E+17 3.066E+05 4.648E-01 1.353E-10 5.100E-12
   2.150E+06 4.384E+04 1.487E+18 1.688E+03 3.997E+00 3.474E+07 4.771-169 8.267E-14 5.661E-13 6.606E-06 3.982E-06 3.537E-06 4.748E-06 4.744E+17 3.740E+05 6.730E-01 2.676E-10 1.005E-11
   2.250E+06 3.743E+04 1.259E+18 2.065E+03 6.447E+00 4.198E+07 4.010-148 1.573E-13 1.067E-12 7.858E-06 4.086E-06 4.244E-06 4.803E-06 4.015E+17 4.611E+05 9.644E-01 5.009E-10 1.877E-11
   2.350E+06 3.200E+04 1.067E+18 2.515E+03 1.002E+01 5.046E+07 3.490-130 2.861E-13 1.932E-12 9.464E-06 4.204E-06 4.997E-06 4.859E-06 3.404E+17 5.747E+05 1.372E+00 8.932E-10 3.344E-11
   2.450E+06 2.739E+04 9.059E+17 3.055E+03 1.505E+01 6.051E+07 8.166-115 4.998E-13 3.379E-12 1.155E-05 4.340E-06 5.783E-06 4.917E-06 2.890E+17 7.232E+05 1.945E+00 1.525E-09 5.709E-11
   2.550E+06 2.348E+04 7.699E+17 3.698E+03 2.189E+01 7.231E+07 1.299-101 8.424E-13 5.716E-12 1.426E-05 4.498E-06 6.586E-06 4.976E-06 2.456E+17 9.167E+05 2.746E+00 2.504E-09 9.374E-11
   2.650E+06 2.015E+04 6.550E+17 4.445E+03 3.092E+01 8.579E+07 2.956E-90 1.374E-12 9.375E-12 1.774E-05 4.683E-06 7.384E-06 5.036E-06 2.089E+17 1.164E+06 3.843E+00 3.964E-09 1.484E-10
   2.750E+06 1.732E+04 5.580E+17 5.299E+03 4.246E+01 1.009E+08 1.799E-80 2.175E-12 1.493E-11 2.220E-05 4.903E-06 8.145E-06 5.097E-06 1.780E+17 1.479E+06 5.326E+00 6.065E-09 2.272E-10
   2.850E+06 1.491E+04 4.761E+17 6.255E+03 5.675E+01 1.176E+08 4.961E-72 3.348E-12 2.310E-11 2.794E-05 5.165E-06 8.837E-06 5.159E-06 1.519E+17 1.873E+06 7.298E+00 8.984E-09 3.367E-10
   2.950E+06 1.285E+04 4.069E+17 7.310E+03 7.387E+01 1.355E+08 9.704E-65 5.018E-12 3.475E-11 3.530E-05 5.479E-06 9.435E-06 5.223E-06 1.298E+17 2.362E+06 9.879E+00 1.290E-08 4.838E-10
   3.050E+06 1.109E+04 3.483E+17 8.440E+03 9.367E+01 1.544E+08 1.967E-58 7.335E-12 5.085E-11 4.476E-05 5.855E-06 9.905E-06 5.288E-06 1.111E+17 2.958E+06 1.320E+01 1.799E-08 6.747E-10
   3.150E+06 9.586E+03 2.984E+17 9.610E+03 1.157E+02 1.735E+08 5.711E-53 1.047E-11 7.240E-11 5.688E-05 6.305E-06 1.022E-05 5.354E-06 9.517E+16 3.673E+06 1.736E+01 2.437E-08 9.142E-10
   3.250E+06 8.295E+03 2.559E+17 1.077E+04 1.392E+02 1.920E+08 3.131E-48 1.460E-11 1.003E-10 7.232E-05 6.842E-06 1.037E-05 5.419E-06 8.162E+16 4.513E+06 2.248E+01 3.212E-08 1.205E-09
   3.350E+06 7.187E+03 2.196E+17 1.188E+04 1.631E+02 2.088E+08 4.107E-44 1.991E-11 1.354E-10 9.187E-05 7.476E-06 1.035E-05 5.485E-06 7.004E+16 5.478E+06 2.861E+01 4.120E-08 1.546E-09
   3.450E+06 6.237E+03 1.886E+17 1.286E+04 1.865E+02 2.232E+08 1.578E-40 2.655E-11 1.782E-10 1.164E-04 8.220E-06 1.017E-05 5.549E-06 6.015E+16 6.567E+06 3.576E+01 5.150E-08 1.935E-09
   3.550E+06 5.421E+03 1.622E+17 1.370E+04 2.084E+02 2.349E+08 2.109E-37 3.467E-11 2.290E-10 1.470E-04 9.081E-06 9.853E-06 5.611E-06 5.171E+16 7.780E+06 4.394E+01 6.285E-08 2.365E-09
   3.650E+06 4.718E+03 1.396E+17 1.440E+04 2.279E+02 2.440E+08 1.135E-34 4.435E-11 2.879E-10 1.852E-04 1.007E-05 9.440E-06 5.670E-06 4.452E+16 9.123E+06 5.325E+01 7.500E-08 2.829E-09
   3.750E+06 4.114E+03 1.204E+17 1.499E+04 2.446E+02 2.513E+08 2.790E-32 5.561E-11 3.549E-10 2.331E-04 1.120E-05 8.954E-06 5.725E-06 3.839E+16 1.061E+07 6.386E+01 8.773E-08 3.322E-09
   3.850E+06 3.592E+03 1.040E+17 1.551E+04 2.582E+02 2.573E+08 3.492E-30 6.844E-11 4.299E-10 2.941E-04 1.248E-05 8.412E-06 5.775E-06 3.316E+16 1.227E+07 7.599E+01 1.008E-07 3.837E-09
   3.950E+06 3.141E+03 8.997E+16 1.595E+04 2.687E+02 2.622E+08 2.512E-28 8.271E-11 5.130E-10 3.722E-04 1.393E-05 7.829E-06 5.821E-06 2.869E+16 1.410E+07 8.987E+01 1.140E-07 4.368E-09
   4.050E+06 2.750E+03 7.795E+16 1.627E+04 2.763E+02 2.654E+08 1.092E-26 9.820E-11 6.047E-10 4.716E-04 1.555E-05 7.221E-06 5.861E-06 2.486E+16 1.603E+07 1.054E+02 1.272E-07 4.913E-09
   4.150E+06 2.412E+03 6.763E+16 1.642E+04 2.814E+02 2.659E+08 3.063E-25 1.146E-10 7.057E-10 5.951E-04 1.734E-05 6.607E-06 5.896E-06 2.156E+16 1.793E+07 1.222E+02 1.403E-07 5.467E-09
   4.250E+06 2.119E+03 5.876E+16 1.631E+04 2.845E+02 2.626E+08 5.876E-24 1.316E-10 8.172E-10 7.433E-04 1.928E-05 6.011E-06 5.925E-06 1.874E+16 1.960E+07 1.394E+02 1.530E-07 6.031E-09
   4.350E+06 1.863E+03 5.116E+16 1.591E+04 2.863E+02 2.549E+08 8.075E-23 1.490E-10 9.409E-10 9.140E-04 2.135E-05 5.452E-06 5.947E-06 1.631E+16 2.087E+07 1.561E+02 1.653E-07 6.604E-09
   4.450E+06 1.641E+03 4.462E+16 1.521E+04 2.872E+02 2.428E+08 8.284E-22 1.663E-10 1.079E-09 1.103E-03 2.349E-05 4.934E-06 5.963E-06 1.423E+16 2.162E+07 1.709E+02 1.772E-07 7.186E-09
   4.550E+06 1.447E+03 3.902E+16 1.424E+04 2.878E+02 2.267E+08 6.558E-21 1.834E-10 1.235E-09 1.303E-03 2.566E-05 4.458E-06 5.972E-06 1.244E+16 2.185E+07 1.831E+02 1.887E-07 7.781E-09
   4.650E+06 1.277E+03 3.420E+16 1.306E+04 2.885E+02 2.077E+08 4.127E-20 2.003E-10 1.412E-09 1.509E-03 2.780E-05 4.025E-06 5.975E-06 1.090E+16 2.162E+07 1.919E+02 1.997E-07 8.390E-09
   4.750E+06 1.128E+03 3.004E+16 1.177E+04 2.895E+02 1.872E+08 2.119E-19 2.167E-10 1.613E-09 1.715E-03 2.989E-05 3.633E-06 5.973E-06 9.577E+15 2.101E+07 1.972E+02 2.102E-07 9.015E-09
   4.850E+06 9.967E+02 2.645E+16 1.045E+04 2.910E+02 1.662E+08 9.069E-19 2.326E-10 1.844E-09 1.916E-03 3.189E-05 3.280E-06 5.965E-06 8.433E+15 2.015E+07 1.991E+02 2.204E-07 9.660E-09
   4.950E+06 8.812E+02 2.333E+16 9.137E+03 2.929E+02 1.457E+08 3.308E-18 2.480E-10 2.109E-09 2.109E-03 3.378E-05 2.961E-06 5.952E-06 7.438E+15 1.911E+07 1.980E+02 2.301E-07 1.033E-08
   5.050E+06 7.793E+02 2.062E+16 7.901E+03 2.954E+02 1.263E+08 1.046E-17 2.630E-10 2.414E-09 2.292E-03 3.555E-05 2.673E-06 5.934E-06 6.573E+15 1.798E+07 1.944E+02 2.394E-07 1.102E-08
   5.150E+06 6.892E+02 1.824E+16 6.761E+03 2.983E+02 1.085E+08 2.921E-17 2.775E-10 2.766E-09 2.464E-03 3.718E-05 2.415E-06 5.912E-06 5.816E+15 1.680E+07 1.887E+02 2.484E-07 1.173E-08
   5.250E+06 6.095E+02 1.616E+16 5.740E+03 3.018E+02 9.256E+07 7.319E-17 2.916E-10 3.171E-09 2.623E-03 3.868E-05 2.183E-06 5.887E-06 5.153E+15 1.562E+07 1.815E+02 2.570E-07 1.248E-08
   5.350E+06 5.388E+02 1.433E+16 4.837E+03 3.058E+02 7.839E+07 1.674E-16 3.053E-10 3.641E-09 2.768E-03 4.004E-05 1.976E-06 5.858E-06 4.569E+15 1.447E+07 1.732E+02 2.653E-07 1.325E-08
   5.450E+06 4.762E+02 1.272E+16 4.050E+03 3.104E+02 6.603E+07 3.548E-16 3.188E-10 4.188E-09 2.899E-03 4.126E-05 1.790E-06 5.826E-06 4.055E+15 1.337E+07 1.641E+02 2.734E-07 1.406E-08
   5.550E+06 4.206E+02 1.130E+16 3.371E+03 3.158E+02 5.532E+07 7.073E-16 3.322E-10 4.827E-09 3.016E-03 4.235E-05 1.624E-06 5.792E-06 3.600E+15 1.233E+07 1.546E+02 2.812E-07 1.489E-08
   5.650E+06 3.712E+02 1.003E+16 2.791E+03 3.222E+02 4.612E+07 1.342E-15 3.456E-10 5.580E-09 3.118E-03 4.331E-05 1.474E-06 5.755E-06 3.198E+15 1.135E+07 1.448E+02 2.888E-07 1.577E-08
   5.750E+06 3.274E+02 8.913E+15 2.301E+03 3.301E+02 3.831E+07 2.433E-15 3.592E-10 6.478E-09 3.207E-03 4.414E-05 1.340E-06 5.717E-06 2.841E+15 1.045E+07 1.350E+02 2.962E-07 1.668E-08
   5.850E+06 2.884E+02 7.915E+15 1.886E+03 3.395E+02 3.164E+07 4.246E-15 3.732E-10 7.556E-09 3.283E-03 4.487E-05 1.218E-06 5.677E-06 2.523E+15 9.622E+06 1.252E+02 3.033E-07 1.763E-08
   5.950E+06 2.539E+02 7.030E+15 1.540E+03 3.510E+02 2.606E+07 7.101E-15 3.879E-10 8.862E-09 3.347E-03 4.549E-05 1.107E-06 5.634E-06 2.240E+15 8.871E+06 1.157E+02 3.103E-07 1.862E-08
   6.050E+06 2.232E+02 6.242E+15 1.252E+03 3.647E+02 2.137E+07 1.138E-14 4.034E-10 1.045E-08 3.400E-03 4.603E-05 1.007E-06 5.591E-06 1.989E+15 8.198E+06 1.065E+02 3.171E-07 1.967E-08
   6.150E+06 1.960E+02 5.538E+15 1.011E+03 3.804E+02 1.742E+07 1.756E-14 4.202E-10 1.239E-08 3.445E-03 4.648E-05 9.133E-07 5.546E-06 1.765E+15 7.596E+06 9.752E+01 3.238E-07 2.078E-08
   6.250E+06 1.718E+02 4.911E+15 8.125E+02 3.980E+02 1.414E+07 2.627E-14 4.386E-10 1.474E-08 3.481E-03 4.687E-05 8.269E-07 5.500E-06 1.565E+15 7.068E+06 8.885E+01 3.304E-07 2.195E-08
   6.350E+06 1.504E+02 4.351E+15 6.487E+02 4.170E+02 1.140E+07 3.918E-14 4.590E-10 1.758E-08 3.510E-03 4.720E-05 7.464E-07 5.452E-06 1.386E+15 6.608E+06 8.052E+01 3.369E-07 2.319E-08
   6.450E+06 1.315E+02 3.849E+15 5.139E+02 4.369E+02 9.123E+06 6.299E-14 4.821E-10 2.100E-08 3.533E-03 4.747E-05 6.707E-07 5.404E-06 1.226E+15 6.212E+06 7.251E+01 3.433E-07 2.451E-08
   6.550E+06 1.148E+02 3.401E+15 4.034E+02 4.573E+02 7.239E+06 1.136E-13 5.082E-10 2.512E-08 3.552E-03 4.771E-05 5.993E-07 5.354E-06 1.084E+15 5.876E+06 6.482E+01 3.496E-07 2.591E-08
   6.650E+06 1.000E+02 3.000E+15 3.135E+02 4.790E+02 5.688E+06 2.321E-13 5.377E-10 3.011E-08 3.566E-03 4.790E-05 5.317E-07 5.302E-06 9.558E+14 5.599E+06 5.746E+01 3.558E-07 2.739E-08
   6.750E+06 8.700E+01 2.643E+15 2.409E+02 5.037E+02 4.422E+06 5.103E-13 5.711E-10 3.631E-08 3.576E-03 4.806E-05 4.679E-07 5.248E-06 8.420E+14 5.386E+06 5.046E+01 3.620E-07 2.897E-08
   6.850E+06 7.554E+01 2.325E+15 1.826E+02 5.348E+02 3.392E+06 1.129E-12 6.089E-10 4.430E-08 3.583E-03 4.820E-05 4.072E-07 5.192E-06 7.406E+14 5.242E+06 4.379E+01 3.682E-07 3.063E-08
   6.950E+06 6.548E+01 2.041E+15 1.361E+02 5.772E+02 2.561E+06 2.402E-12 6.518E-10 5.507E-08 3.588E-03 4.832E-05 3.497E-07 5.134E-06 6.502E+14 5.177E+06 3.748E+01 3.743E-07 3.239E-08
   7.050E+06 5.665E+01 1.790E+15 9.992E+01 6.365E+02 1.904E+06 4.821E-12 7.006E-10 7.009E-08 3.592E-03 4.841E-05 2.962E-07 5.074E-06 5.700E+14 5.201E+06 3.163E+01 3.803E-07 3.423E-08
   7.150E+06 4.893E+01 1.566E+15 7.231E+01 7.175E+02 1.395E+06 9.071E-12 7.562E-10 9.142E-08 3.593E-03 4.850E-05 2.479E-07 5.012E-06 4.988E+14 5.294E+06 2.639E+01 3.863E-07 3.616E-08
   7.250E+06 4.217E+01 1.367E+15 5.171E+01 8.225E+02 1.009E+06 1.603E-11 8.201E-10 1.217E-07 3.594E-03 4.857E-05 2.053E-07 4.944E-06 4.355E+14 5.449E+06 2.182E+01 3.923E-07 3.817E-08
