
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.565E+05 2.408E+19 6.760E+05 3.087E+04 4.766E+06 0.000E+00 2.675E-13 9.637E-14 3.221E-05 3.354E-06 6.145E-09 1.330E-02 5.122E+16 4.487E+06 6.425E-03 3.374E-10 3.166E-12
   1.500E+05 8.483E+05 2.185E+19 5.062E+05 4.296E+04 5.399E+06 0.000E+00 4.900E-13 2.353E-13 3.554E-05 3.666E-06 6.953E-09 8.358E-03 4.657E+16 3.700E+06 8.399E-03 6.874E-10 8.364E-12
   2.500E+05 7.504E+05 1.973E+19 4.420E+05 5.564E+04 7.182E+06 0.000E+00 7.961E-13 5.305E-13 3.847E-05 3.948E-06 9.462E-09 5.315E-03 4.216E+16 3.831E+06 1.270E-02 1.250E-09 1.919E-11
   3.500E+05 6.622E+05 1.774E+19 4.102E+05 6.898E+04 1.030E+07 0.000E+00 1.212E-12 1.152E-12 4.095E-05 4.207E-06 1.417E-08 3.374E-03 3.799E+16 4.291E+06 2.057E-02 2.123E-09 3.991E-11
   4.500E+05 5.830E+05 1.594E+19 3.496E+05 7.768E+04 1.477E+07 0.000E+00 1.769E-12 2.464E-12 4.295E-05 4.447E-06 2.157E-08 1.978E-03 3.420E+16 4.659E+06 3.312E-02 3.437E-09 7.735E-11
   5.500E+05 5.118E+05 1.432E+19 2.577E+05 7.626E+04 2.043E+07 0.000E+00 2.495E-12 5.089E-12 4.461E-05 4.675E-06 3.197E-08 1.046E-03 3.079E+16 4.725E+06 5.106E-02 5.322E-09 1.398E-10
   6.500E+05 4.479E+05 1.286E+19 1.607E+05 6.366E+04 2.684E+07 0.000E+00 3.408E-12 9.983E-12 4.603E-05 4.896E-06 4.533E-08 4.958E-04 2.771E+16 4.431E+06 7.435E-02 7.853E-09 2.343E-10
   7.500E+05 3.905E+05 1.154E+19 8.379E+04 4.504E+04 3.346E+07 0.000E+00 4.526E-12 1.879E-11 4.731E-05 5.114E-06 6.126E-08 2.077E-04 2.491E+16 3.866E+06 1.023E-01 1.105E-08 3.673E-10
   8.500E+05 3.391E+05 1.033E+19 3.626E+04 2.648E+04 3.970E+07 6.456E-94 5.863E-12 3.371E-11 4.859E-05 5.333E-06 7.907E-08 7.604E-05 2.232E+16 3.231E+06 1.340E-01 1.490E-08 5.416E-10
   9.500E+05 2.931E+05 9.219E+18 1.251E+04 1.204E+04 4.558E+07 1.557E-52 7.437E-12 5.681E-11 4.999E-05 5.555E-06 9.890E-08 2.298E-05 1.994E+16 2.664E+06 1.700E-01 1.937E-08 7.560E-10
   1.050E+06 2.523E+05 8.185E+18 2.922E+03 3.289E+03 5.366E+07 1.055E-40 9.285E-12 8.762E-11 5.167E-05 5.787E-06 1.269E-07 4.587E-06 1.771E+16 2.163E+06 2.221E-01 2.448E-08 1.007E-09
   1.150E+06 2.161E+05 7.219E+18 3.598E+03 4.046E+03 6.938E+07 3.271E-36 1.152E-11 1.275E-10 5.392E-05 6.037E-06 1.782E-07 4.394E-06 1.564E+16 2.363E+06 3.208E-01 3.040E-08 1.305E-09
   1.250E+06 1.843E+05 6.317E+18 4.547E+03 4.583E+03 9.826E+07 1.974E-32 1.442E-11 1.841E-10 5.768E-05 6.331E-06 2.697E-07 3.941E-06 1.373E+16 2.672E+06 5.126E-01 3.763E-08 1.677E-09
   1.350E+06 1.567E+05 5.484E+18 4.986E+03 4.413E+03 1.426E+08 1.958E-29 1.850E-11 2.690E-10 6.421E-05 6.712E-06 4.049E-07 2.992E-06 1.199E+16 2.914E+06 8.472E-01 4.701E-08 2.172E-09
   1.450E+06 1.327E+05 4.733E+18 4.691E+03 3.877E+03 1.968E+08 3.336E-27 2.456E-11 4.002E-10 7.527E-05 7.244E-06 5.525E-07 2.047E-06 1.046E+16 3.054E+06 1.342E+00 5.969E-08 2.855E-09
   1.550E+06 1.126E+05 3.883E+18 6.168E+03 4.953E+03 2.462E+08 2.134E-25 3.397E-11 5.969E-10 9.771E-05 7.974E-06 6.488E-07 2.137E-06 8.722E+15 3.622E+06 2.082E+00 7.616E-08 3.761E-09
   1.650E+06 9.576E+04 3.303E+18 7.676E+03 6.520E+03 2.909E+08 7.362E-24 4.659E-11 8.770E-10 1.265E-04 8.938E-06 6.963E-07 2.251E-06 7.571E+15 4.648E+06 2.892E+00 9.619E-08 4.896E-09
   1.750E+06 8.145E+04 2.810E+18 9.165E+03 8.415E+03 3.286E+08 1.649E-22 6.351E-11 1.259E-09 1.680E-04 1.019E-05 6.962E-07 2.379E-06 6.592E+15 6.024E+06 3.840E+00 1.193E-07 6.251E-09
   1.850E+06 6.929E+04 2.390E+18 1.057E+04 1.052E+04 3.585E+08 2.506E-21 8.515E-11 1.751E-09 2.279E-04 1.177E-05 6.584E-07 2.515E-06 5.750E+15 7.775E+06 4.926E+00 1.444E-07 7.772E-09
   1.950E+06 5.894E+04 2.033E+18 1.185E+04 1.268E+04 3.815E+08 2.691E-20 1.114E-10 2.354E-09 3.175E-04 1.373E-05 5.910E-07 2.649E-06 5.017E+15 9.946E+06 6.162E+00 1.698E-07 9.389E-09
   2.050E+06 5.014E+04 1.730E+18 1.290E+04 1.470E+04 3.964E+08 2.118E-19 1.413E-10 3.063E-09 4.568E-04 1.611E-05 5.017E-07 2.775E-06 4.372E+15 1.259E+07 7.525E+00 1.943E-07 1.103E-08
   2.150E+06 4.266E+04 1.472E+18 1.332E+04 1.644E+04 3.935E+08 1.268E-18 1.728E-10 3.868E-09 6.611E-04 1.889E-05 4.045E-07 2.889E-06 3.804E+15 1.558E+07 8.779E+00 2.165E-07 1.263E-08
   2.250E+06 3.630E+04 1.252E+18 1.281E+04 1.783E+04 3.659E+08 5.990E-18 2.038E-10 4.767E-09 9.189E-04 2.187E-05 3.180E-07 2.988E-06 3.304E+15 1.851E+07 9.594E+00 2.362E-07 1.417E-08
   2.350E+06 3.088E+04 1.065E+18 1.158E+04 1.888E+04 3.216E+08 2.324E-17 2.330E-10 5.770E-09 1.197E-03 2.478E-05 2.523E-07 3.072E-06 2.865E+15 2.096E+07 9.913E+00 2.533E-07 1.564E-08
   2.450E+06 2.628E+04 9.064E+17 1.004E+04 1.964E+04 2.727E+08 7.678E-17 2.605E-10 6.896E-09 1.465E-03 2.744E-05 2.054E-07 3.141E-06 2.479E+15 2.284E+07 9.878E+00 2.682E-07 1.706E-08
   2.550E+06 2.236E+04 7.713E+17 8.478E+03 2.018E+04 2.262E+08 2.230E-16 2.870E-10 8.184E-09 1.707E-03 2.975E-05 1.719E-07 3.198E-06 2.142E+15 2.421E+07 9.628E+00 2.814E-07 1.844E-08
   2.650E+06 1.903E+04 6.564E+17 7.027E+03 2.061E+04 1.849E+08 5.824E-16 3.132E-10 9.683E-09 1.916E-03 3.173E-05 1.470E-07 3.242E-06 1.848E+15 2.520E+07 9.248E+00 2.931E-07 1.979E-08
   2.750E+06 1.619E+04 5.586E+17 5.744E+03 2.098E+04 1.496E+08 1.388E-15 3.400E-10 1.146E-08 2.093E-03 3.338E-05 1.280E-07 3.276E-06 1.593E+15 2.593E+07 8.790E+00 3.036E-07 2.113E-08
   2.850E+06 1.378E+04 4.754E+17 4.639E+03 2.138E+04 1.199E+08 3.047E-15 3.681E-10 1.362E-08 2.239E-03 3.475E-05 1.126E-07 3.301E-06 1.371E+15 2.650E+07 8.279E+00 3.132E-07 2.249E-08
   2.950E+06 1.173E+04 4.046E+17 3.703E+03 2.184E+04 9.526E+07 6.193E-15 3.985E-10 1.627E-08 2.359E-03 3.588E-05 9.980E-08 3.317E-06 1.180E+15 2.699E+07 7.728E+00 3.219E-07 2.387E-08
   3.050E+06 9.985E+03 3.444E+17 2.921E+03 2.239E+04 7.495E+07 1.174E-14 4.320E-10 1.955E-08 2.456E-03 3.679E-05 8.860E-08 3.325E-06 1.014E+15 2.745E+07 7.143E+00 3.300E-07 2.530E-08
   3.150E+06 8.499E+03 2.932E+17 2.273E+03 2.300E+04 5.831E+07 2.092E-14 4.693E-10 2.360E-08 2.534E-03 3.754E-05 7.851E-08 3.325E-06 8.707E+14 2.788E+07 6.529E+00 3.376E-07 2.678E-08
   3.250E+06 7.235E+03 2.496E+17 1.742E+03 2.364E+04 4.479E+07 3.534E-14 5.111E-10 2.854E-08 2.595E-03 3.814E-05 6.917E-08 3.318E-06 7.473E+14 2.830E+07 5.892E+00 3.447E-07 2.834E-08
   3.350E+06 6.159E+03 2.124E+17 1.314E+03 2.421E+04 3.393E+07 5.715E-14 5.581E-10 3.449E-08 2.643E-03 3.862E-05 6.044E-08 3.304E-06 6.410E+14 2.866E+07 5.243E+00 3.514E-07 2.998E-08
   3.450E+06 5.243E+03 1.809E+17 9.755E+02 2.464E+04 2.535E+07 8.952E-14 6.110E-10 4.150E-08 2.680E-03 3.900E-05 5.231E-08 3.283E-06 5.495E+14 2.894E+07 4.601E+00 3.578E-07 3.170E-08
   3.550E+06 4.464E+03 1.540E+17 7.132E+02 2.485E+04 1.869E+07 1.386E-13 6.703E-10 4.958E-08 2.708E-03 3.930E-05 4.483E-08 3.255E-06 4.707E+14 2.909E+07 3.985E+00 3.639E-07 3.351E-08
   3.650E+06 3.801E+03 1.311E+17 5.145E+02 2.480E+04 1.363E+07 2.212E-13 7.365E-10 5.873E-08 2.730E-03 3.955E-05 3.808E-08 3.221E-06 4.031E+14 2.909E+07 3.412E+00 3.697E-07 3.539E-08
   3.750E+06 3.236E+03 1.116E+17 3.669E+02 2.449E+04 9.842E+06 3.917E-13 8.103E-10 6.896E-08 2.746E-03 3.974E-05 3.211E-08 3.181E-06 3.450E+14 2.893E+07 2.894E+00 3.753E-07 3.734E-08
   3.850E+06 2.756E+03 9.505E+16 2.590E+02 2.403E+04 7.049E+06 8.199E-13 8.924E-10 8.062E-08 2.758E-03 3.990E-05 2.689E-08 3.135E-06 2.951E+14 2.868E+07 2.434E+00 3.806E-07 3.933E-08
   3.950E+06 2.347E+03 8.094E+16 1.807E+02 2.367E+04 5.001E+06 1.951E-12 9.841E-10 9.484E-08 2.768E-03 4.002E-05 2.232E-08 3.083E-06 2.523E+14 2.848E+07 2.028E+00 3.857E-07 4.136E-08
   4.050E+06 1.998E+03 6.893E+16 1.241E+02 2.382E+04 3.499E+06 4.733E-12 1.088E-09 1.142E-07 2.775E-03 4.013E-05 1.829E-08 3.026E-06 2.157E+14 2.856E+07 1.667E+00 3.906E-07 4.341E-08
   4.150E+06 1.702E+03 5.870E+16 8.351E+01 2.495E+04 2.403E+06 1.079E-11 1.206E-09 1.435E-07 2.780E-03 4.022E-05 1.472E-08 2.961E-06 1.843E+14 2.917E+07 1.346E+00 3.953E-07 4.548E-08
   4.250E+06 1.449E+03 4.999E+16 5.510E+01 2.736E+04 1.620E+06 2.240E-11 1.344E-09 1.893E-07 2.784E-03 4.029E-05 1.164E-08 2.890E-06 1.574E+14 3.047E+07 1.068E+00 3.998E-07 4.756E-08
   4.350E+06 1.234E+03 4.258E+16 3.598E+01 3.104E+04 1.081E+06 4.211E-11 1.505E-09 2.591E-07 2.788E-03 4.035E-05 9.109E-09 2.814E-06 1.345E+14 3.237E+07 8.412E-01 4.041E-07 4.964E-08
   4.450E+06 1.051E+03 3.627E+16 2.358E+01 3.557E+04 7.224E+05 7.220E-11 1.694E-09 3.593E-07 2.790E-03 4.040E-05 7.139E-09 2.730E-06 1.148E+14 3.457E+07 6.672E-01 4.081E-07 5.174E-08
   4.550E+06 8.956E+02 3.089E+16 1.570E+01 4.023E+04 4.880E+05 1.141E-10 1.914E-09 4.937E-07 2.792E-03 4.045E-05 5.657E-09 2.638E-06 9.801E+13 3.670E+07 5.397E-01 4.121E-07 5.384E-08
