 8 Gauss points for correlated-k in the O2 SR bands
 ---------------------------------------------------
 Temp = 150 K

 ---------------------------------------------------
 L  N    A1             A2             A3             A4

 ====================================================
 1  4  3.4528821E-21  1.3949952E-20  7.9174665E-20  6.5821295E-19


 2  4  7.6630448E-22  3.2620863E-21  2.3423781E-20  3.5966997E-19


 3  4  5.6898863E-22  1.5514545E-21  1.0361813E-20  1.8977255E-19


 4  4  5.4825030E-22  2.8858290E-21  2.2824669E-20  2.4603278E-19


 5  4  1.8491494E-22  8.0222817E-22  4.4807913E-21  7.4720478E-20


 6  4  1.0683163E-22  3.4845973E-22  2.4599249E-21  4.9532509E-20


 7  4  7.6205920E-23  1.9823849E-22  1.3883276E-21  2.4310408E-20


 8  4  2.5797107E-23  6.0888292E-23  4.9812747E-22  9.8485392E-21


 9  4  1.1216625E-23  2.1593321E-23  1.3200035E-22  4.5872731E-21


10  4  5.6215179E-24  1.0578743E-23  5.5181862E-23  1.0370094E-21


11  4  2.1731599E-24  1.3980408E-23  1.6222981E-22  2.3657109E-21


12  4  1.5911033E-24  2.7999231E-24  2.9853456E-23  7.0890025E-22


13  4  1.7197992E-25  2.9137006E-25  1.7588591E-24  1.0873674E-22


14  4  2.0752139E-26  3.3182562E-26  2.7624045E-25  5.7496758E-24


15  4  1.0133384E-26  5.3467304E-26  6.7749159E-25  2.2188669E-23


16  4  5.3863812E-28  1.9696139E-27  6.7091187E-27  3.7938441E-25


17  4  7.8725990E-30  4.6310746E-29  6.5611185E-28  1.1304183E-26



 ---------------------------------------------------
 Temp = 200 K

 ---------------------------------------------------
 L  N    A1             A2             A3             A4

 ====================================================
 1  4  3.3733653E-21  1.4141292E-20  7.7417533E-20  6.3504889E-19


 2  4  1.0930620E-21  4.1516365E-21  2.9946975E-20  4.1682182E-19


 3  4  8.0183245E-22  2.2650728E-21  1.4561696E-20  2.1936049E-19


 4  4  9.4481050E-22  4.0710271E-21  2.6202558E-20  2.2559570E-19


 5  4  2.8208409E-22  1.3017900E-21  6.6140081E-21  8.8255040E-20


 6  4  1.5448119E-22  5.6052437E-22  3.3662547E-21  5.2717067E-20


 7  4  1.0455144E-22  3.2990335E-22  1.9447465E-21  2.6159862E-20


 8  4  3.8455208E-23  1.0296656E-22  7.7256453E-22  1.1237896E-20


 9  4  1.6021184E-23  3.8483743E-23  2.2326500E-22  5.0205768E-21


10  4  7.2497461E-24  1.6433341E-23  1.0262011E-22  1.6059307E-21


11  4  4.2556155E-24  2.9133387E-23  2.1997476E-22  2.2962427E-21


12  4  2.1794840E-24  5.3300133E-24  4.1718890E-23  7.1949517E-22


13  4  2.3871996E-25  8.7986321E-25  4.5110439E-24  1.0201927E-22


14  4  3.1147295E-26  2.0656360E-25  9.2799674E-25  1.1834701E-23


15  4  4.5851120E-26  1.4863255E-25  1.0120540E-24  2.3458087E-23


16  4  1.2559838E-27  4.0588045E-27  2.3692846E-26  4.7399028E-25


17  4  1.2018363E-28  5.8513127E-28  5.4023510E-27  1.0593809E-25



 ---------------------------------------------------
