 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98378E-01  ERR= 1.04173E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.29E-10 3.82E-17 1.37E-02 5.68E-14 9.77E-12 8.35E-10 1.58E-08 5.44E-21 3.73E-07 1.10E-06 6.62E-08 6.44E-10
  1.50E+05 1.34E-10 5.22E-17 8.58E-03 6.59E-14 9.69E-12 8.57E-10 1.85E-08 5.94E-21 3.73E-07 1.10E-06 6.03E-08 6.25E-10
  2.50E+05 1.32E-10 7.30E-17 5.20E-03 7.61E-14 9.43E-12 8.34E-10 2.21E-08 6.49E-21 3.74E-07 1.10E-06 5.52E-08 5.60E-10
  3.50E+05 1.24E-10 1.02E-16 2.92E-03 8.54E-14 8.81E-12 7.44E-10 2.66E-08 6.96E-21 3.74E-07 1.09E-06 5.09E-08 4.51E-10
  7.50E+05 5.35E-11 3.32E-16 1.62E-04 9.68E-14 4.57E-12 2.52E-10 4.62E-08 7.17E-21 3.75E-07 1.09E-06 3.99E-08 1.01E-10
  1.15E+06 1.33E-11 1.14E-15 4.29E-06 8.61E-14 1.37E-12 3.86E-11 8.03E-08 6.57E-21 3.75E-07 1.08E-06 3.37E-08 9.86E-12
  1.55E+06 5.58E-12 2.59E-14 4.37E-06 6.84E-14 6.77E-13 1.98E-12 5.15E-07 5.77E-21 3.74E-07 1.05E-06 2.01E-08 5.30E-13
  1.95E+06 7.53E-12 3.56E-13 4.59E-06 1.74E-13 1.96E-12 7.56E-12 1.98E-06 1.54E-20 3.65E-07 9.37E-07 1.01E-08 1.09E-12
  2.35E+06 1.43E-11 3.08E-12 4.87E-06 6.68E-13 7.97E-12 5.14E-11 4.45E-06 9.77E-20 3.50E-07 8.00E-07 7.30E-09 3.48E-12
  2.75E+06 2.79E-11 2.09E-11 5.17E-06 3.10E-12 3.15E-11 2.75E-10 7.48E-06 1.19E-18 3.29E-07 6.58E-07 7.08E-09 7.73E-12
  3.15E+06 4.33E-11 1.19E-10 5.48E-06 1.45E-11 9.59E-11 7.21E-10 9.66E-06 2.56E-17 3.01E-07 5.12E-07 7.29E-09 1.02E-11
  3.55E+06 5.30E-11 6.25E-10 5.78E-06 5.93E-11 1.82E-10 6.62E-10 8.91E-06 7.75E-16 2.71E-07 3.70E-07 7.31E-09 7.76E-12
  3.95E+06 5.34E-11 3.14E-09 6.02E-06 2.04E-10 2.28E-10 2.86E-10 6.15E-06 2.28E-14 2.55E-07 2.52E-07 6.86E-09 4.07E-12
  4.35E+06 4.69E-11 1.36E-08 6.14E-06 4.60E-10 2.72E-10 1.52E-10 3.64E-06 3.91E-13 2.77E-07 1.74E-07 7.11E-09 2.76E-12
  4.75E+06 3.65E-11 4.01E-08 6.12E-06 6.41E-10 3.24E-10 1.11E-10 2.19E-06 2.79E-12 3.55E-07 1.32E-07 9.51E-09 2.56E-12
  5.15E+06 2.45E-11 8.72E-08 6.01E-06 7.74E-10 3.72E-10 9.37E-11 1.48E-06 1.19E-11 4.94E-07 1.10E-07 1.65E-08 2.26E-12
  5.55E+06 1.59E-11 1.57E-07 5.83E-06 9.19E-10 4.28E-10 9.07E-11 1.08E-06 3.93E-11 6.76E-07 9.77E-08 3.48E-08 1.83E-12
  5.95E+06 1.06E-11 2.63E-07 5.61E-06 1.14E-09 5.21E-10 9.88E-11 7.42E-07 1.28E-10 8.90E-07 8.88E-08 7.35E-08 1.47E-12
  6.35E+06 7.10E-12 3.78E-07 5.36E-06 1.59E-09 7.17E-10 1.45E-10 5.03E-07 4.02E-10 1.13E-06 8.08E-08 1.41E-07 1.12E-12
  6.75E+06 1.27E-11 5.65E-07 5.07E-06 2.62E-09 1.20E-09 2.83E-10 2.58E-07 1.76E-09 1.40E-06 7.24E-08 2.48E-07 8.24E-13
  7.15E+06 7.67E-11 6.92E-07 4.73E-06 5.72E-09 2.63E-09 7.73E-10 1.14E-07 8.33E-09 1.72E-06 6.29E-08 4.11E-07 5.71E-13
  7.55E+06 2.31E-10 1.08E-06 4.26E-06 1.14E-08 4.98E-09 1.54E-09 5.42E-08 4.63E-08 2.16E-06 5.16E-08 6.87E-07 3.20E-13
  7.95E+06 3.94E-10 2.69E-06 3.52E-06 1.83E-08 7.05E-09 1.60E-09 3.26E-08 3.22E-07 2.71E-06 3.87E-08 1.17E-06 1.07E-13
  8.35E+06 2.43E-10 1.20E-04 2.49E-06 2.22E-09 5.04E-10 2.44E-10 2.78E-07 1.78E-06 2.92E-06 2.71E-08 1.88E-06 1.79E-14
  8.75E+06 7.15E-11 9.48E-04 1.66E-06 6.79E-10 5.73E-11 2.89E-11 6.40E-07 3.15E-06 2.94E-06 1.84E-08 2.66E-06 2.90E-15
  9.15E+06 2.86E-11 3.26E-03 1.08E-06 2.28E-10 1.02E-11 3.30E-12 6.08E-07 4.02E-06 2.95E-06 1.24E-08 3.48E-06 4.82E-16
  9.55E+06 1.49E-11 7.55E-03 7.19E-07 7.18E-11 2.37E-12 3.65E-13 3.76E-07 4.49E-06 2.94E-06 8.62E-09 4.30E-06 8.28E-17
  9.95E+06 1.01E-11 1.36E-02 5.31E-07 2.10E-11 6.56E-13 5.99E-14 1.71E-07 4.66E-06 2.91E-06 6.64E-09 5.10E-06 2.12E-17
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 5.66E-12 2.82E-07 3.08E-12 8.94E-12 1.89E-14 6.50E-11 1.18E-13 6.67E-15 3.60E-17 1.26E-22 4.88E-10 2.69E-13
  1.50E+05 5.22E-12 2.82E-07 4.02E-12 1.04E-11 2.55E-14 9.91E-11 2.96E-13 7.35E-15 7.43E-17 3.17E-22 4.79E-10 2.96E-13
  2.50E+05 4.62E-12 2.81E-07 5.25E-12 1.23E-11 3.41E-14 1.43E-10 7.66E-13 8.34E-15 1.65E-16 8.06E-22 4.72E-10 3.07E-13
  3.50E+05 3.81E-12 2.81E-07 7.02E-12 1.47E-11 4.53E-14 1.87E-10 2.00E-12 9.33E-15 3.94E-16 1.98E-21 4.67E-10 2.99E-13
  7.50E+05 1.15E-12 2.81E-07 1.57E-11 1.72E-11 6.79E-14 2.82E-10 3.79E-11 7.77E-15 6.90E-15 8.04E-20 4.53E-10 1.73E-13
  1.15E+06 1.75E-13 2.80E-07 3.74E-11 1.96E-11 7.97E-14 3.28E-10 3.43E-11 5.10E-15 6.52E-14 2.73E-18 4.46E-10 4.60E-14
  1.55E+06 6.63E-14 2.67E-07 8.08E-11 1.32E-10 4.81E-14 1.09E-09 5.64E-11 2.80E-14 1.40E-12 3.77E-17 4.03E-10 6.46E-14
