
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.550E+05 2.401E+19 3.507E+05 9.536E-18 2.644E+06 0.000E+00 4.519E-34 2.898E-35 7.213E-06 2.400E-06 1.527E-08 1.371E-02 5.041E+18 1.258E+06 3.246E-03 2.449E-31 3.080E-34
   1.500E+05 8.471E+05 2.179E+19 2.678E+05 1.410E-15 3.074E+06 0.000E+00 5.818E-32 7.542E-33 7.787E-06 2.600E-06 1.812E-08 8.579E-03 4.575E+18 1.339E+06 4.342E-03 4.313E-29 1.470E-31
   2.500E+05 7.494E+05 1.973E+19 1.959E+05 1.608E-13 3.590E+06 0.000E+00 6.511E-30 1.566E-30 8.237E-06 2.778E-06 2.209E-08 5.204E-03 4.143E+18 1.414E+06 5.752E-03 6.293E-27 4.220E-29
   3.500E+05 6.610E+05 1.782E+19 1.277E+05 1.187E-11 4.082E+06 0.000E+00 5.394E-28 2.281E-28 8.511E-06 2.936E-06 2.691E-08 2.920E-03 3.743E+18 1.445E+06 7.356E-03 6.536E-25 7.034E-27
   4.500E+05 5.812E+05 1.606E+19 7.471E+04 5.675E-10 4.468E+06 0.000E+00 3.197E-26 2.292E-26 8.636E-06 3.076E-06 3.222E-08 1.542E-03 3.373E+18 1.449E+06 8.986E-03 4.712E-23 7.113E-25
   5.500E+05 5.095E+05 1.443E+19 3.969E+04 3.883E-08 4.693E+06 0.000E+00 1.353E-24 3.467E-24 8.647E-06 3.200E-06 3.760E-08 7.761E-04 3.031E+18 1.410E+06 1.049E-02 2.464E-21 5.767E-23
   6.500E+05 4.451E+05 1.294E+19 1.905E+04 3.182E-06 4.743E+06 0.000E+00 4.313E-23 6.681E-22 8.564E-06 3.309E-06 4.280E-08 3.681E-04 2.717E+18 1.278E+06 1.176E-02 1.196E-19 5.795E-21
   7.500E+05 3.875E+05 1.157E+19 8.172E+03 6.549E-05 4.637E+06 0.000E+00 1.013E-21 3.501E-20 8.387E-06 3.404E-06 4.780E-08 1.617E-04 2.429E+18 1.090E+06 1.276E-02 4.098E-18 2.679E-19
   8.500E+05 3.361E+05 1.031E+19 3.061E+03 4.495E-04 4.420E+06 0.000E+00 1.617E-20 6.843E-19 8.133E-06 3.488E-06 5.273E-08 6.373E-05 2.165E+18 9.475E+05 1.351E-02 7.540E-17 5.190E-18
   9.500E+05 2.904E+05 9.156E+18 9.392E+02 1.331E-03 4.149E+06 0.000E+00 1.809E-19 6.951E-18 7.822E-06 3.561E-06 5.793E-08 2.091E-05 1.923E+18 8.827E+05 1.411E-02 8.335E-16 5.471E-17
   1.050E+06 2.498E+05 8.107E+18 1.822E+02 1.559E-03 3.941E+06 0.000E+00 1.519E-18 4.485E-17 7.442E-06 3.625E-06 6.534E-08 4.287E-06 1.703E+18 8.307E+05 1.496E-02 6.451E-15 3.818E-16
   1.150E+06 2.140E+05 7.152E+18 1.850E+02 6.444E-03 4.015E+06 0.000E+00 1.005E-17 2.100E-16 7.007E-06 3.680E-06 8.011E-08 4.292E-06 1.502E+18 7.654E+05 1.704E-02 3.893E-14 2.022E-15
   1.250E+06 1.829E+05 6.116E+18 2.259E+02 2.092E-02 4.892E+06 0.000E+00 5.311E-17 7.951E-16 7.186E-06 3.729E-06 1.113E-07 4.302E-06 1.285E+18 5.899E+05 2.427E-02 1.922E-13 8.884E-15
   1.350E+06 1.563E+05 5.227E+18 3.099E+02 5.889E-02 6.678E+06 0.000E+00 2.246E-16 2.606E-15 7.377E-06 3.771E-06 1.732E-07 4.323E-06 1.098E+18 4.358E+05 3.877E-02 7.854E-13 3.349E-14
   1.450E+06 1.336E+05 4.468E+18 4.410E+02 1.484E-01 9.427E+06 0.000E+00 7.896E-16 7.620E-15 7.590E-06 3.809E-06 2.780E-07 4.358E-06 9.383E+17 3.528E+05 6.404E-02 2.715E-12 1.100E-13
   1.550E+06 1.142E+05 3.819E+18 6.101E+02 3.411E-01 1.289E+07 0.000E+00 2.383E-15 2.026E-14 7.845E-06 3.846E-06 4.304E-07 4.408E-06 8.020E+17 3.203E+05 1.025E-01 8.132E-12 3.192E-13
   1.650E+06 9.763E+04 3.264E+18 8.124E+02 7.248E-01 1.692E+07 0.000E+00 6.353E-15 4.963E-14 8.170E-06 3.884E-06 6.344E-07 4.474E-06 6.856E+17 3.132E+05 1.573E-01 2.158E-11 8.317E-13
