
     Z      Reaction1   Reaction25   Reaction59
   5.00E+04 3.43E+05 4.06E-16 1.93E+01
   1.50E+05 2.42E+05 3.36E-15 2.17E+01
   2.50E+05 1.69E+05 1.96E-13 2.54E+01
   3.50E+05 1.06E+05 1.31E-11 2.90E+01
   4.50E+05 7.32E+04 7.43E-10 3.20E+01
   5.50E+05 4.27E+04 9.40E-08 3.38E+01
   6.50E+05 2.05E+04 9.37E-06 3.40E+01
   7.50E+05 8.82E+03 1.94E-04 3.30E+01
   8.50E+05 3.30E+03 1.32E-03 3.12E+01
   9.50E+05 5.51E+02 2.12E-03 2.78E+01
   1.05E+06 2.75E+01 6.30E-04 2.37E+01
   1.15E+06 1.63E+02 1.21E-02 2.53E+01
   1.25E+06 2.23E+02 4.01E-02 3.06E+01
   1.35E+06 3.13E+02 1.07E-01 4.12E+01
   1.45E+06 4.42E+02 2.52E-01 5.71E+01
   1.55E+06 6.08E+02 5.49E-01 7.63E+01
   1.65E+06 8.33E+02 1.09E+00 1.01E+02
   1.75E+06 1.06E+03 2.09E+00 1.24E+02
   1.85E+06 1.35E+03 3.71E+00 1.50E+02
   1.95E+06 1.64E+03 6.33E+00 1.72E+02
   2.05E+06 1.96E+03 1.03E+01 1.95E+02
   2.15E+06 2.33E+03 1.60E+01 2.19E+02
   2.25E+06 2.78E+03 2.40E+01 2.45E+02
   2.35E+06 3.30E+03 3.48E+01 2.73E+02
   2.45E+06 3.93E+03 4.92E+01 3.05E+02
   2.55E+06 4.69E+03 6.79E+01 3.40E+02
   2.65E+06 5.60E+03 9.18E+01 3.79E+02
   2.75E+06 6.71E+03 1.22E+02 4.22E+02
   2.85E+06 8.02E+03 1.59E+02 4.67E+02
   2.95E+06 9.56E+03 2.04E+02 5.13E+02
   3.05E+06 1.13E+04 2.57E+02 5.57E+02
   3.15E+06 1.32E+04 3.18E+02 5.94E+02
   3.25E+06 1.50E+04 3.84E+02 6.16E+02
   3.35E+06 1.65E+04 4.50E+02 6.15E+02
   3.45E+06 1.75E+04 5.14E+02 5.89E+02
   3.55E+06 1.81E+04 5.74E+02 5.45E+02
   3.65E+06 1.82E+04 6.29E+02 4.91E+02
   3.75E+06 1.84E+04 6.93E+02 4.44E+02
   3.85E+06 1.86E+04 7.53E+02 4.00E+02
   3.95E+06 1.89E+04 8.08E+02 3.61E+02
   4.05E+06 1.93E+04 8.63E+02 3.30E+02
   4.15E+06 1.98E+04 9.14E+02 3.01E+02
   4.25E+06 2.00E+04 9.61E+02 2.74E+02
   4.35E+06 1.97E+04 9.98E+02 2.45E+02
   4.45E+06 1.89E+04 1.03E+03 2.15E+02
   4.55E+06 1.75E+04 1.05E+03 1.83E+02
   4.65E+06 1.57E+04 1.07E+03 1.53E+02
   4.75E+06 1.37E+04 1.09E+03 1.25E+02
   4.85E+06 1.16E+04 1.10E+03 9.98E+01
   4.95E+06 9.56E+03 1.11E+03 7.83E+01
   5.05E+06 7.62E+03 1.11E+03 5.98E+01
   5.15E+06 5.93E+03 1.13E+03 4.49E+01
   5.25E+06 4.54E+03 1.15E+03 3.33E+01
   5.35E+06 3.43E+03 1.18E+03 2.45E+01
   5.45E+06 2.55E+03 1.21E+03 1.78E+01
   5.55E+06 1.87E+03 1.25E+03 1.28E+01
   5.65E+06 1.36E+03 1.28E+03 9.12E+00
   5.75E+06 9.79E+02 1.30E+03 6.45E+00
   5.85E+06 6.98E+02 1.32E+03 4.53E+00
   5.95E+06 4.93E+02 1.33E+03 3.15E+00
   6.05E+06 3.39E+02 1.33E+03 2.14E+00
   6.15E+06 2.30E+02 1.37E+03 1.43E+00
   6.25E+06 1.53E+02 1.47E+03 9.40E-01
   6.35E+06 9.94E+01 1.65E+03 6.04E-01
   6.45E+06 6.39E+01 1.92E+03 3.83E-01
   6.55E+06 4.12E+01 2.27E+03 2.43E-01
   6.65E+06 2.71E+01 2.67E+03 1.57E-01
   6.75E+06 1.83E+01 3.06E+03 1.05E-01
   6.85E+06 1.29E+01 3.40E+03 7.26E-02
   6.95E+06 9.51E+00 3.65E+03 5.24E-02
   7.05E+06 7.23E+00 3.78E+03 3.91E-02
   7.15E+06 5.70E+00 3.80E+03 3.03E-02
   7.25E+06 4.88E+00 3.69E+03 2.55E-02
   7.35E+06 4.91E+00 3.49E+03 2.52E-02
   7.45E+06 5.34E+00 3.22E+03 2.70E-02
   7.55E+06 5.41E+00 2.91E+03 2.68E-02
   7.65E+06 4.97E+00 2.59E+03 2.40E-02
   7.75E+06 4.24E+00 2.26E+03 2.01E-02
   7.85E+06 3.48E+00 1.94E+03 1.61E-02
   7.95E+06 2.87E+00 1.65E+03 1.30E-02
   8.05E+06 2.41E+00 1.38E+03 1.07E-02
   8.15E+06 2.01E+00 1.14E+03 8.80E-03
   8.25E+06 1.73E+00 9.30E+02 7.48E-03
   8.35E+06 1.48E+00 7.45E+02 6.36E-03
   8.45E+06 1.31E+00 5.92E+02 5.62E-03
   8.55E+06 1.22E+00 4.67E+02 5.24E-03
   8.65E+06 1.18E+00 3.62E+02 5.06E-03
   8.75E+06 1.19E+00 2.80E+02 5.15E-03
   8.85E+06 1.24E+00 2.16E+02 5.40E-03
   8.95E+06 1.29E+00 1.66E+02 5.66E-03
   9.05E+06 1.32E+00 1.27E+02 5.84E-03
   9.15E+06 1.32E+00 9.74E+01 5.90E-03
   9.25E+06 1.29E+00 7.50E+01 5.87E-03
   9.35E+06 1.25E+00 5.78E+01 5.76E-03
   9.45E+06 1.20E+00 4.47E+01 5.58E-03
   9.55E+06 1.13E+00 3.49E+01 5.35E-03
   9.65E+06 1.06E+00 2.73E+01 5.08E-03
   9.75E+06 9.79E-01 2.15E+01 4.77E-03
   9.85E+06 8.98E-01 1.70E+01 4.45E-03
   9.95E+06 8.21E-01 1.35E+01 4.12E-03
