
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.559E+05 2.428E+19 3.433E+05 4.057E-16 2.826E+06 0.000E+00 1.834E-32 1.483E-33 7.697E-06 2.438E-06 1.512E-08 1.127E-02 5.099E+17 1.220E+06 3.813E-03 1.100E-29 1.995E-32
   1.500E+05 8.468E+05 2.201E+19 2.418E+05 3.364E-15 3.293E+06 0.000E+00 1.835E-31 2.191E-32 8.322E-06 2.644E-06 1.798E-08 6.976E-03 3.640E+18 1.243E+06 4.759E-03 1.290E-28 4.224E-31
   2.500E+05 7.481E+05 1.991E+19 1.692E+05 1.960E-13 3.844E+06 0.000E+00 1.084E-29 2.377E-30 8.799E-06 2.827E-06 2.194E-08 4.142E-03 4.057E+18 1.294E+06 6.166E-03 9.845E-27 6.230E-29
   3.500E+05 6.589E+05 1.797E+19 1.056E+05 1.308E-11 4.356E+06 0.000E+00 8.251E-28 3.237E-28 9.064E-06 2.990E-06 2.675E-08 2.249E-03 3.762E+18 1.309E+06 7.811E-03 9.486E-25 9.724E-27
   4.500E+05 5.789E+05 1.606E+19 7.320E+04 7.428E-10 4.802E+06 0.000E+00 4.772E-26 3.295E-26 9.343E-06 3.133E-06 3.202E-08 1.404E-03 3.371E+18 1.389E+06 9.662E-03 6.725E-23 9.805E-25
   5.500E+05 5.073E+05 1.437E+19 4.272E+04 9.397E-08 5.077E+06 0.000E+00 1.978E-24 8.468E-24 9.444E-06 3.259E-06 3.740E-08 7.721E-04 3.018E+18 1.389E+06 1.140E-02 3.674E-21 1.029E-22
   6.500E+05 4.432E+05 1.288E+19 2.053E+04 9.365E-06 5.145E+06 0.000E+00 6.614E-23 1.987E-21 9.372E-06 3.370E-06 4.261E-08 3.658E-04 2.706E+18 1.262E+06 1.281E-02 2.343E-19 1.498E-20
   7.500E+05 3.858E+05 1.152E+19 8.816E+03 1.945E-04 5.044E+06 0.000E+00 1.666E-21 1.053E-19 9.200E-06 3.467E-06 4.761E-08 1.604E-04 2.419E+18 1.081E+06 1.393E-02 9.354E-18 7.445E-19
   8.500E+05 3.347E+05 1.026E+19 3.301E+03 1.321E-03 4.822E+06 0.000E+00 2.670E-20 2.043E-18 8.946E-06 3.552E-06 5.253E-08 6.300E-05 2.155E+18 9.436E+05 1.480E-02 1.750E-16 1.439E-17
   9.500E+05 2.887E+05 9.294E+18 5.506E+02 2.124E-03 4.381E+06 0.000E+00 2.809E-19 1.963E-17 8.165E-06 3.627E-06 5.773E-08 1.164E-05 1.952E+18 9.014E+05 1.455E-02 1.799E-15 1.415E-16
   1.050E+06 2.469E+05 8.515E+18 2.752E+01 6.297E-04 3.853E+06 0.000E+00 2.293E-18 1.106E-16 6.955E-06 3.694E-06 6.507E-08 6.687E-07 1.788E+18 9.528E+05 1.354E-02 1.231E-14 8.535E-16
   1.150E+06 2.099E+05 7.241E+18 1.629E+02 1.209E-02 4.132E+06 0.000E+00 1.569E-17 4.525E-16 7.169E-06 3.753E-06 7.961E-08 3.692E-06 1.521E+18 8.231E+05 1.707E-02 6.797E-14 3.954E-15
   1.250E+06 1.785E+05 6.157E+18 2.234E+02 4.011E-02 5.005E+06 0.000E+00 8.300E-17 1.559E-15 7.369E-06 3.803E-06 1.103E-07 4.178E-06 1.293E+18 6.247E+05 2.432E-02 3.180E-13 1.589E-14
   1.350E+06 1.518E+05 5.236E+18 3.129E+02 1.071E-01 6.780E+06 0.000E+00 3.503E-16 4.732E-15 7.571E-06 3.846E-06 1.710E-07 4.321E-06 1.100E+18 4.585E+05 3.873E-02 1.259E-12 5.636E-14
   1.450E+06 1.291E+05 4.453E+18 4.422E+02 2.524E-01 9.501E+06 0.000E+00 1.223E-15 1.300E-14 7.795E-06 3.885E-06 2.737E-07 4.358E-06 9.353E+17 3.719E+05 6.382E-02 4.257E-12 1.774E-13
   1.550E+06 1.098E+05 3.788E+18 6.078E+02 5.492E-01 1.291E+07 0.000E+00 3.649E-15 3.289E-14 8.065E-06 3.923E-06 4.226E-07 4.408E-06 7.955E+17 3.388E+05 1.020E-01 1.250E-11 4.986E-13
   1.650E+06 9.354E+04 3.166E+18 8.333E+02 1.095E+00 1.739E+07 0.000E+00 9.527E-15 7.728E-14 8.828E-06 3.961E-06 6.220E-07 4.474E-06 6.650E+17 3.399E+05 1.657E-01 3.231E-11 1.258E-12
   1.750E+06 7.981E+04 2.701E+18 1.064E+03 2.087E+00 2.181E+07 0.000E+00 2.223E-14 1.697E-13 9.274E-06 4.000E-06 8.706E-07 4.553E-06 5.674E+17 3.523E+05 2.437E-01 7.498E-11 2.883E-12
   1.850E+06 6.816E+04 2.279E+18 1.346E+03 3.707E+00 2.701E+07 0.000E+00 4.756E-14 3.504E-13 1.014E-05 4.043E-06 1.169E-06 4.642E-06 4.786E+17 3.868E+05 3.597E-01 1.594E-10 6.094E-12
   1.950E+06 5.827E+04 1.948E+18 1.636E+03 6.327E+00 3.217E+07 0.000E+00 9.445E-14 6.852E-13 1.090E-05 4.092E-06 1.515E-06 4.740E-06 4.092E+17 4.342E+05 5.010E-01 3.146E-10 1.201E-11
   2.050E+06 4.982E+04 1.666E+18 1.958E+03 1.030E+01 3.768E+07 0.000E+00 1.769E-13 1.278E-12 1.186E-05 4.149E-06 1.907E-06 4.842E-06 3.498E+17 5.051E+05 6.865E-01 5.845E-10 2.232E-11
   2.150E+06 4.261E+04 1.419E+18 2.335E+03 1.602E+01 4.395E+07 3.299-159 3.151E-13 2.283E-12 1.321E-05 4.216E-06 2.346E-06 4.946E-06 2.979E+17 6.118E+05 9.421E-01 1.029E-09 3.938E-11
   2.250E+06 3.647E+04 1.209E+18 2.777E+03 2.400E+01 5.113E+07 4.778-139 5.365E-13 3.929E-12 1.490E-05 4.296E-06 2.839E-06 5.053E-06 2.538E+17 7.592E+05 1.289E+00 1.728E-09 6.635E-11
   2.350E+06 3.124E+04 1.031E+18 3.302E+03 3.483E+01 5.949E+07 9.713-122 8.789E-13 6.548E-12 1.703E-05 4.392E-06 3.389E-06 5.161E-06 2.164E+17 9.575E+05 1.762E+00 2.784E-09 1.074E-10
   2.450E+06 2.678E+04 8.795E+17 3.930E+03 4.919E+01 6.929E+07 7.251-107 1.393E-12 1.062E-11 1.969E-05 4.509E-06 4.001E-06 5.269E-06 1.847E+17 1.217E+06 2.411E+00 4.328E-09 1.678E-10
   2.550E+06 2.297E+04 7.511E+17 4.686E+03 6.789E+01 8.088E+07 4.499E-94 2.148E-12 1.680E-11 2.303E-05 4.652E-06 4.676E-06 5.379E-06 1.577E+17 1.546E+06 3.301E+00 6.518E-09 2.544E-10
   2.650E+06 1.972E+04 6.419E+17 5.603E+03 9.183E+01 9.468E+07 4.642E-83 3.233E-12 2.605E-11 2.726E-05 4.830E-06 5.411E-06 5.491E-06 1.348E+17 1.957E+06 4.531E+00 9.546E-09 3.752E-10
   2.750E+06 1.694E+04 5.490E+17 6.708E+03 1.219E+02 1.110E+08 1.437E-73 4.766E-12 3.963E-11 3.268E-05 5.051E-06 6.185E-06 5.604E-06 1.153E+17 2.459E+06 6.222E+00 1.363E-08 5.399E-10
   2.850E+06 1.457E+04 4.699E+17 8.020E+03 1.591E+02 1.299E+08 2.198E-65 6.896E-12 5.922E-11 3.968E-05 5.328E-06 6.968E-06 5.719E-06 9.867E+16 3.072E+06 8.527E+00 1.900E-08 7.589E-10
   2.950E+06 1.253E+04 4.025E+17 9.557E+03 2.042E+02 1.516E+08 2.543E-58 9.811E-12 8.692E-11 4.880E-05 5.674E-06 7.720E-06 5.836E-06 8.452E+16 3.815E+06 1.164E+01 2.589E-08 1.043E-09
   3.050E+06 1.079E+04 3.450E+17 1.129E+04 2.573E+02 1.755E+08 3.193E-52 1.373E-11 1.252E-10 6.070E-05 6.105E-06 8.381E-06 5.955E-06 7.244E+16 4.719E+06 1.575E+01 3.446E-08 1.401E-09
   3.150E+06 9.295E+03 2.959E+17 1.316E+04 3.177E+02 2.004E+08 5.916E-47 1.890E-11 1.768E-10 7.625E-05 6.638E-06 8.880E-06 6.074E-06 6.214E+16 5.815E+06 2.100E+01 4.480E-08 1.838E-09
   3.250E+06 8.013E+03 2.540E+17 1.502E+04 3.838E+02 2.241E+08 2.101E-42 2.555E-11 2.440E-10 9.642E-05 7.290E-06 9.150E-06 6.192E-06 5.334E+16 7.132E+06 2.741E+01 5.681E-08 2.353E-09
   3.350E+06 6.917E+03 2.169E+17 1.652E+04 4.497E+02 2.416E+08 1.827E-38 3.391E-11 3.285E-10 1.225E-04 8.068E-06 9.089E-06 6.311E-06 4.554E+16 8.606E+06 3.477E+01 7.015E-08 2.936E-09
   3.450E+06 5.980E+03 1.853E+17 1.754E+04 5.136E+02 2.514E+08 4.696E-35 4.397E-11 4.312E-10 1.550E-04 8.970E-06 8.752E-06 6.427E-06 3.891E+16 1.024E+07 4.257E+01 8.429E-08 3.571E-09
   3.550E+06 5.180E+03 1.586E+17 1.806E+04 5.736E+02 2.540E+08 4.229E-32 5.562E-11 5.530E-10 1.946E-04 9.984E-06 8.230E-06 6.539E-06 3.331E+16 1.199E+07 5.049E+01 9.868E-08 4.241E-09
   3.650E+06 4.494E+03 1.360E+17 1.816E+04 6.290E+02 2.509E+08 1.549E-29 6.866E-11 6.958E-10 2.424E-04 1.110E-05 7.608E-06 6.644E-06 2.856E+16 1.381E+07 5.843E+01 1.129E-07 4.934E-09
   3.750E+06 3.900E+03 1.192E+17 1.843E+04 6.934E+02 2.513E+08 2.460E-27 8.246E-11 8.630E-10 2.992E-04 1.232E-05 7.047E-06 6.741E-06 2.502E+16 1.614E+07 6.653E+01 1.267E-07 5.645E-09
   3.850E+06 3.380E+03 1.042E+17 1.865E+04 7.530E+02 2.513E+08 1.970E-25 9.730E-11 1.058E-09 3.717E-04 1.367E-05 6.491E-06 6.829E-06 2.187E+16 1.860E+07 7.587E+01 1.400E-07 6.373E-09
   3.950E+06 2.926E+03 9.097E+16 1.891E+04 8.085E+02 2.523E+08 8.668E-24 1.128E-10 1.287E-09 4.645E-04 1.515E-05 5.971E-06 6.907E-06 1.910E+16 2.111E+07 8.691E+01 1.526E-07 7.115E-09
   4.050E+06 2.529E+03 7.966E+16 1.934E+04 8.635E+02 2.560E+08 2.239E-22 1.287E-10 1.554E-09 5.814E-04 1.677E-05 5.528E-06 6.973E-06 1.672E+16 2.365E+07 1.002E+02 1.646E-07 7.872E-09
   4.150E+06 2.182E+03 6.964E+16 1.975E+04 9.143E+02 2.600E+08 3.668E-21 1.447E-10 1.868E-09 7.255E-04 1.854E-05 5.146E-06 7.029E-06 1.462E+16 2.585E+07 1.157E+02 1.759E-07 8.643E-09
   4.250E+06 1.879E+03 6.077E+16 1.999E+04 9.605E+02 2.620E+08 4.045E-20 1.606E-10 2.235E-09 8.962E-04 2.044E-05 4.811E-06 7.073E-06 1.276E+16 2.748E+07 1.328E+02 1.865E-07 9.431E-09
   4.350E+06 1.616E+03 5.272E+16 1.970E+04 9.975E+02 2.574E+08 3.199E-19 1.764E-10 2.664E-09 1.089E-03 2.242E-05 4.483E-06 7.104E-06 1.107E+16 2.822E+07 1.498E+02 1.964E-07 1.023E-08
   4.450E+06 1.387E+03 4.567E+16 1.888E+04 1.029E+03 2.462E+08 1.884E-18 1.917E-10 3.163E-09 1.294E-03 2.442E-05 4.165E-06 7.125E-06 9.587E+15 2.821E+07 1.648E+02 2.057E-07 1.106E-08
   4.550E+06 1.189E+03 3.952E+16 1.751E+04 1.055E+03 2.284E+08 8.620E-18 2.063E-10 3.741E-09 1.502E-03 2.635E-05 3.848E-06 7.135E-06 8.295E+15 2.754E+07 1.759E+02 2.143E-07 1.189E-08
   4.650E+06 1.018E+03 3.415E+16 1.571E+04 1.074E+03 2.053E+08 3.190E-17 2.202E-10 4.407E-09 1.702E-03 2.816E-05 3.532E-06 7.135E-06 7.168E+15 2.634E+07 1.822E+02 2.223E-07 1.274E-08
   4.750E+06 8.708E+02 2.948E+16 1.368E+04 1.087E+03 1.792E+08 9.907E-17 2.334E-10 5.176E-09 1.886E-03 2.979E-05 3.223E-06 7.125E-06 6.187E+15 2.478E+07 1.834E+02 2.298E-07 1.361E-08
   4.850E+06 7.436E+02 2.541E+16 1.159E+04 1.096E+03 1.524E+08 2.664E-16 2.461E-10 6.072E-09 2.049E-03 3.123E-05 2.927E-06 7.107E-06 5.332E+15 2.301E+07 1.803E+02 2.367E-07 1.450E-08
   4.950E+06 6.340E+02 2.187E+16 9.561E+03 1.105E+03 1.264E+08 6.366E-16 2.586E-10 7.137E-09 2.190E-03 3.245E-05 2.640E-06 7.081E-06 4.589E+15 2.112E+07 1.729E+02 2.432E-07 1.541E-08
   5.050E+06 5.400E+02 1.871E+16 7.615E+03 1.112E+03 1.012E+08 1.399E-15 2.717E-10 8.433E-09 2.307E-03 3.346E-05 2.345E-06 7.048E-06 3.927E+15 1.912E+07 1.615E+02 2.493E-07 1.634E-08
   5.150E+06 4.595E+02 1.600E+16 5.934E+03 1.126E+03 7.939E+07 2.827E-15 2.853E-10 1.004E-08 2.401E-03 3.428E-05 2.066E-06 7.008E-06 3.358E+15 1.720E+07 1.477E+02 2.551E-07 1.731E-08
   5.250E+06 3.908E+02 1.368E+16 4.543E+03 1.148E+03 6.122E+07 5.310E-15 3.000E-10 1.205E-08 2.474E-03 3.493E-05 1.809E-06 6.964E-06 2.870E+15 1.544E+07 1.330E+02 2.606E-07 1.833E-08
   5.350E+06 3.321E+02 1.168E+16 3.426E+03 1.177E+03 4.652E+07 9.327E-15 3.161E-10 1.457E-08 2.531E-03 3.543E-05 1.574E-06 6.915E-06 2.451E+15 1.388E+07 1.181E+02 2.658E-07 1.940E-08
   5.450E+06 2.820E+02 9.966E+15 2.548E+03 1.211E+03 3.489E+07 1.541E-14 3.343E-10 1.770E-08 2.574E-03 3.583E-05 1.360E-06 6.863E-06 2.091E+15 1.253E+07 1.035E+02 2.709E-07 2.054E-08
   5.550E+06 2.393E+02 8.498E+15 1.872E+03 1.245E+03 2.586E+07 2.414E-14 3.553E-10 2.153E-08 2.605E-03 3.613E-05 1.168E-06 6.807E-06 1.783E+15 1.138E+07 8.979E+01 2.758E-07 2.175E-08
   5.650E+06 2.029E+02 7.242E+15 1.360E+03 1.277E+03 1.897E+07 3.642E-14 3.796E-10 2.613E-08 2.629E-03 3.636E-05 9.967E-07 6.748E-06 1.519E+15 1.044E+07 7.712E+01 2.806E-07 2.304E-08
   5.750E+06 1.720E+02 6.166E+15 9.787E+02 1.301E+03 1.379E+07 5.592E-14 4.078E-10 3.155E-08 2.645E-03 3.654E-05 8.455E-07 6.686E-06 1.294E+15 9.670E+06 6.568E+01 2.854E-07 2.442E-08
   5.850E+06 1.456E+02 5.246E+15 6.978E+02 1.316E+03 9.936E+06 1.008E-13 4.406E-10 3.788E-08 2.657E-03 3.668E-05 7.128E-07 6.622E-06 1.101E+15 9.047E+06 5.548E+01 2.901E-07 2.589E-08
   5.950E+06 1.232E+02 4.460E+15 4.926E+02 1.326E+03 7.092E+06 2.442E-13 4.784E-10 4.533E-08 2.665E-03 3.679E-05 5.967E-07 6.556E-06 9.358E+14 8.554E+06 4.646E+01 2.948E-07 2.744E-08
   6.050E+06 1.041E+02 3.772E+15 3.390E+02 1.335E+03 4.931E+06 7.130E-13 5.238E-10 5.456E-08 2.671E-03 3.687E-05 4.894E-07 6.487E-06 7.913E+14 8.156E+06 3.821E+01 2.994E-07 2.907E-08
   6.150E+06 8.808E+01 3.190E+15 2.297E+02 1.374E+03 3.378E+06 2.034E-12 5.760E-10 6.711E-08 2.676E-03 3.694E-05 3.957E-07 6.416E-06 6.692E+14 7.927E+06 3.096E+01 3.040E-07 3.077E-08
   6.250E+06 7.449E+01 2.698E+15 1.527E+02 1.470E+03 2.269E+06 5.195E-12 6.360E-10 8.590E-08 2.679E-03 3.700E-05 3.138E-07 6.342E-06 5.659E+14 7.909E+06 2.460E+01 3.085E-07 3.253E-08
   6.350E+06 6.301E+01 2.282E+15 9.941E+01 1.649E+03 1.491E+06 1.169E-11 7.055E-10 1.153E-07 2.681E-03 3.704E-05 2.437E-07 6.267E-06 4.787E+14 8.127E+06 1.917E+01 3.130E-07 3.433E-08
   6.450E+06 5.329E+01 1.930E+15 6.394E+01 1.921E+03 9.653E+05 2.339E-11 7.864E-10 1.608E-07 2.683E-03 3.708E-05 1.864E-07 6.189E-06 4.048E+14 8.554E+06 1.476E+01 3.174E-07 3.617E-08
   6.550E+06 4.508E+01 1.633E+15 4.120E+01 2.273E+03 6.221E+05 4.215E-11 8.808E-10 2.280E-07 2.684E-03 3.711E-05 1.420E-07 6.107E-06 3.424E+14 9.114E+06 1.140E+01 3.216E-07 3.803E-08
   6.650E+06 3.813E+01 1.381E+15 2.705E+01 2.669E+03 4.037E+05 6.947E-11 9.909E-10 3.210E-07 2.684E-03 3.714E-05 1.089E-07 6.019E-06 2.897E+14 9.697E+06 8.974E+00 3.258E-07 3.990E-08
   6.750E+06 3.226E+01 1.168E+15 1.834E+01 3.061E+03 2.657E+05 1.061E-10 1.119E-09 4.421E-07 2.685E-03 3.717E-05 8.468E-08 5.926E-06 2.450E+14 1.020E+07 7.305E+00 3.298E-07 4.178E-08
   6.850E+06 2.729E+01 9.885E+14 1.294E+01 3.400E+03 1.776E+05 1.518E-10 1.267E-09 5.905E-07 2.685E-03 3.720E-05 6.692E-08 5.825E-06 2.073E+14 1.054E+07 6.197E+00 3.337E-07 4.366E-08
   6.950E+06 2.309E+01 8.363E+14 9.506E+00 3.648E+03 1.203E+05 2.056E-10 1.438E-09 7.631E-07 2.685E-03 3.722E-05 5.355E-08 5.716E-06 1.754E+14 1.068E+07 5.484E+00 3.375E-07 4.556E-08
   7.050E+06 1.954E+01 7.076E+14 7.227E+00 3.782E+03 8.170E+04 2.659E-10 1.632E-09 9.547E-07 2.686E-03 3.724E-05 4.299E-08 5.598E-06 1.484E+14 1.070E+07 5.032E+00 3.411E-07 4.747E-08
   7.150E+06 1.653E+01 5.988E+14 5.699E+00 3.796E+03 5.609E+04 3.309E-10 1.852E-09 1.159E-06 2.686E-03 3.726E-05 3.488E-08 5.469E-06 1.255E+14 1.069E+07 4.799E+00 3.447E-07 4.940E-08
   7.250E+06 1.399E+01 5.067E+14 4.882E+00 3.694E+03 4.354E+04 3.985E-10 2.098E-09 1.370E-06 2.686E-03 3.728E-05 3.200E-08 5.320E-06 1.062E+14 9.810E+06 4.994E+00 3.482E-07 5.136E-08
   7.350E+06 1.184E+01 4.288E+14 4.908E+00 3.491E+03 4.731E+04 4.670E-10 2.371E-09 1.582E-06 2.686E-03 3.730E-05 4.108E-08 5.147E-06 8.988E+13 6.274E+06 6.134E+00 3.515E-07 5.336E-08
   7.450E+06 1.002E+01 3.629E+14 5.342E+00 3.222E+03 6.020E+04 5.350E-10 2.672E-09 1.790E-06 2.686E-03 3.732E-05 6.177E-08 4.963E-06 7.605E+13 3.037E+06 8.181E+00 3.548E-07 5.538E-08
   7.550E+06 8.479E+00 3.071E+14 5.406E+00 2.915E+03 6.750E+04 6.016E-10 3.000E-09 1.988E-06 2.686E-03 3.733E-05 8.183E-08 4.774E-06 6.436E+13 1.556E+06 1.017E+01 3.580E-07 5.742E-08
   7.650E+06 7.176E+00 2.599E+14 4.966E+00 2.588E+03 6.550E+04 6.660E-10 3.356E-09 2.176E-06 2.686E-03 3.735E-05 9.382E-08 4.577E-06 5.446E+13 8.863E+05 1.151E+01 3.611E-07 5.947E-08
   7.750E+06 6.074E+00 2.200E+14 4.243E+00 2.258E+03 5.754E+04 7.282E-10 3.741E-09 2.350E-06 2.686E-03 3.737E-05 9.737E-08 4.368E-06 4.609E+13 5.458E+05 1.218E+01 3.640E-07 6.153E-08
   7.850E+06 5.142E+00 1.862E+14 3.476E+00 1.938E+03 4.789E+04 7.881E-10 4.160E-09 2.510E-06 2.686E-03 3.738E-05 9.572E-08 4.146E-06 3.900E+13 3.527E+05 1.242E+01 3.668E-07 6.357E-08
   7.950E+06 4.350E+00 1.587E+14 2.869E+00 1.647E+03 4.084E+04 8.448E-10 4.593E-09 2.656E-06 2.683E-03 3.740E-05 9.593E-08 3.908E-06 3.322E+13 2.373E+05 1.273E+01 3.696E-07 6.560E-08
   8.050E+06 3.674E+00 1.358E+14 2.415E+00 1.385E+03 3.655E+04 8.986E-10 5.048E-09 2.788E-06 2.671E-03 3.741E-05 1.008E-07 3.659E-06 2.842E+13 1.615E+05 1.332E+01 3.722E-07 6.760E-08
   8.150E+06 3.098E+00 1.153E+14 2.007E+00 1.139E+03 3.256E+04 9.555E-10 5.584E-09 2.907E-06 2.658E-03 3.742E-05 1.063E-07 3.400E-06 2.412E+13 1.062E+05 1.400E+01 3.746E-07 6.957E-08
   8.250E+06 2.608E+00 9.839E+13 1.727E+00 9.304E+02 3.094E+04 1.023E-09 6.161E-09 3.014E-06 2.630E-03 3.744E-05 1.196E-07 3.137E-06 2.058E+13 7.012E+04 1.522E+01 3.770E-07 7.150E-08
   8.350E+06 2.192E+00 8.321E+13 1.476E+00 7.446E+02 2.869E+04 1.141E-09 6.858E-09 3.110E-06 2.616E-03 3.745E-05 1.318E-07 2.878E-06 1.739E+13 4.497E+04 1.674E+01 3.793E-07 7.338E-08
   8.450E+06 1.839E+00 7.050E+13 1.311E+00 5.915E+02 2.701E+04 1.382E-09 7.645E-09 3.196E-06 2.596E-03 3.746E-05 1.476E-07 2.626E-06 1.472E+13 2.904E+04 1.917E+01 3.815E-07 7.522E-08
   8.550E+06 1.541E+00 5.973E+13 1.224E+00 4.667E+02 2.527E+04 1.886E-09 8.546E-09 3.274E-06 2.570E-03 3.747E-05 1.646E-07 2.386E-06 1.246E+13 1.883E+04 2.316E+01 3.836E-07 7.701E-08
   8.650E+06 1.290E+00 4.999E+13 1.177E+00 3.619E+02 2.193E+04 2.865E-09 9.634E-09 3.348E-06 2.570E-03 3.748E-05 1.707E-07 2.163E-06 1.041E+13 1.186E+04 2.935E+01 3.856E-07 7.875E-08
   8.750E+06 1.080E+00 4.185E+13 1.193E+00 2.797E+02 1.865E+04 4.534E-09 1.087E-08 3.419E-06 2.570E-03 3.749E-05 1.734E-07 1.955E-06 8.702E+12 7.477E+03 3.932E+01 3.875E-07 8.045E-08
   8.850E+06 9.039E-01 3.503E+13 1.242E+00 2.157E+02 1.550E+04 7.096E-09 1.225E-08 3.490E-06 2.570E-03 3.750E-05 1.721E-07 1.764E-06 7.269E+12 4.713E+03 5.420E+01 3.893E-07 8.210E-08
