     zkm      EDD      DI(LH,J)  DI(LH2,J)
  5.000E-01 1.000E+05 1.076E+00 7.735E-01
  1.500E+00 1.000E+05 1.172E+00 8.427E-01
  2.500E+00 1.000E+05 1.281E+00 9.207E-01
  3.500E+00 1.000E+05 1.402E+00 1.008E+00
  4.500E+00 1.000E+05 1.556E+00 1.119E+00
  5.500E+00 1.000E+05 1.720E+00 1.236E+00
  6.500E+00 1.000E+05 1.894E+00 1.362E+00
  7.500E+00 1.000E+05 2.091E+00 1.503E+00
  8.500E+00 1.000E+05 2.315E+00 1.664E+00
  9.500E+00 8.944E+04 2.495E+00 1.793E+00
  1.050E+01 4.899E+04 2.631E+00 1.891E+00
  1.150E+01 2.258E+04 3.094E+00 2.224E+00
  1.250E+01 1.166E+04 3.638E+00 2.615E+00
  1.350E+01 6.812E+03 4.278E+00 3.075E+00
  1.450E+01 5.165E+03 5.030E+00 3.616E+00
  1.550E+01 4.290E+03 5.914E+00 4.252E+00
  1.650E+01 3.950E+03 6.953E+00 4.999E+00
  1.750E+01 3.900E+03 8.175E+00 5.876E+00
  1.850E+01 3.999E+03 9.610E+00 6.908E+00
  1.950E+01 4.343E+03 1.130E+01 8.121E+00
  2.050E+01 4.844E+03 1.328E+01 9.546E+00
  2.150E+01 5.439E+03 1.561E+01 1.122E+01
  2.250E+01 6.187E+03 1.834E+01 1.319E+01
  2.350E+01 7.036E+03 2.156E+01 1.550E+01
  2.450E+01 7.984E+03 2.534E+01 1.821E+01
  2.550E+01 8.986E+03 2.978E+01 2.141E+01
  2.650E+01 1.003E+04 3.499E+01 2.515E+01
  2.750E+01 1.128E+04 4.112E+01 2.956E+01
  2.850E+01 1.249E+04 4.831E+01 3.473E+01
  2.950E+01 1.363E+04 5.676E+01 4.080E+01
  3.050E+01 1.513E+04 6.669E+01 4.794E+01
  3.150E+01 1.669E+04 7.834E+01 5.632E+01
  3.250E+01 1.818E+04 9.203E+01 6.616E+01
  3.350E+01 1.998E+04 1.081E+02 7.772E+01
  3.450E+01 2.198E+04 1.270E+02 9.129E+01
  3.550E+01 2.445E+04 1.492E+02 1.072E+02
  3.650E+01 2.746E+04 1.752E+02 1.259E+02
  3.750E+01 3.046E+04 2.058E+02 1.479E+02
  3.850E+01 3.394E+04 2.416E+02 1.737E+02
  3.950E+01 3.795E+04 2.838E+02 2.040E+02
  4.050E+01 4.195E+04 3.332E+02 2.395E+02
  4.150E+01 4.643E+04 3.913E+02 2.813E+02
  4.250E+01 5.191E+04 4.594E+02 3.302E+02
  4.350E+01 5.840E+04 5.394E+02 3.877E+02
  4.450E+01 6.445E+04 6.333E+02 4.552E+02
  4.550E+01 7.136E+04 7.434E+02 5.344E+02
  4.650E+01 7.990E+04 8.727E+02 6.274E+02
  4.750E+01 8.791E+04 1.024E+03 7.365E+02
  4.850E+01 9.687E+04 1.203E+03 8.645E+02
  4.950E+01 1.069E+05 1.411E+03 1.015E+03
  5.050E+01 1.178E+05 1.657E+03 1.191E+03
  5.150E+01 1.318E+05 1.944E+03 1.398E+03
  5.250E+01 1.483E+05 2.282E+03 1.640E+03
  5.350E+01 1.658E+05 2.678E+03 1.925E+03
  5.450E+01 1.833E+05 3.142E+03 2.259E+03
  5.550E+01 2.018E+05 3.687E+03 2.650E+03
  5.650E+01 2.256E+05 4.326E+03 3.110E+03
  5.750E+01 2.522E+05 5.076E+03 3.649E+03
  5.850E+01 2.772E+05 5.955E+03 4.281E+03
  5.950E+01 3.070E+05 6.986E+03 5.022E+03
  6.050E+01 3.421E+05 8.195E+03 5.891E+03
  6.150E+01 3.795E+05 9.613E+03 6.911E+03
  6.250E+01 4.219E+05 1.128E+04 8.106E+03
  6.350E+01 4.717E+05 1.323E+04 9.508E+03
  6.450E+01 5.174E+05 1.551E+04 1.115E+04
  6.550E+01 5.674E+05 1.819E+04 1.308E+04
  6.650E+01 6.224E+05 2.134E+04 1.534E+04
  6.750E+01 6.826E+05 2.502E+04 1.799E+04
  6.850E+01 7.487E+05 2.934E+04 2.109E+04
  6.950E+01 8.212E+05 3.440E+04 2.473E+04
  7.050E+01 9.007E+05 4.034E+04 2.900E+04
  7.150E+01 9.879E+05 4.730E+04 3.400E+04
  7.250E+01 1.000E+06 5.545E+04 3.986E+04
  7.350E+01 1.000E+06 6.501E+04 4.673E+04
  7.450E+01 1.000E+06 7.620E+04 5.478E+04
  7.550E+01 1.000E+06 8.933E+04 6.421E+04
  7.650E+01 1.000E+06 1.047E+05 7.527E+04
  7.750E+01 1.000E+06 1.227E+05 8.822E+04
  7.850E+01 1.000E+06 1.438E+05 1.034E+05
  7.950E+01 1.000E+06 1.686E+05 1.212E+05
  8.050E+01 1.000E+06 1.976E+05 1.420E+05
  8.150E+01 1.000E+06 2.315E+05 1.664E+05
  8.250E+01 1.000E+06 2.713E+05 1.950E+05
  8.350E+01 1.000E+06 3.179E+05 2.285E+05
  8.450E+01 1.000E+06 3.725E+05 2.678E+05
  8.550E+01 1.000E+06 4.364E+05 3.137E+05
  8.650E+01 1.000E+06 5.113E+05 3.675E+05
  8.750E+01 1.000E+06 5.990E+05 4.306E+05
  8.850E+01 1.000E+06 7.016E+05 5.044E+05
  8.950E+01 1.000E+06 8.219E+05 5.908E+05
  9.050E+01 1.000E+06 9.627E+05 6.920E+05
  9.150E+01 1.000E+06 1.127E+06 8.105E+05
  9.250E+01 1.000E+06 1.320E+06 9.492E+05
  9.350E+01 1.000E+06 1.546E+06 1.112E+06
  9.450E+01 1.000E+06 1.811E+06 1.302E+06
  9.550E+01 1.000E+06 2.120E+06 1.524E+06
  9.650E+01 1.000E+06 2.482E+06 1.784E+06
  9.750E+01 1.000E+06 2.906E+06 2.089E+06
  9.850E+01 1.000E+06 3.401E+06 2.445E+06
  9.950E+01 1.000E+06 3.981E+06 2.862E+06
