     zkm      totH2O    totH      totH2    totCH4    tothyd
  5.000E-01 1.127E-02 3.224E-20 5.500E-07 3.200E-06 1.127E-02
  1.500E+00 6.976E-03 4.354E-21 5.503E-07 3.192E-06 6.979E-03
  2.500E+00 4.142E-03 3.866E-21 5.507E-07 3.185E-06 4.145E-03
  3.500E+00 2.249E-03 4.039E-21 5.511E-07 3.180E-06 2.253E-03
  4.500E+00 1.404E-03 4.691E-21 5.515E-07 3.175E-06 1.408E-03
  5.500E+00 7.721E-04 5.131E-21 5.518E-07 3.171E-06 7.758E-04
  6.500E+00 3.658E-04 5.096E-21 5.521E-07 3.168E-06 3.695E-04
  7.500E+00 1.604E-04 4.839E-21 5.523E-07 3.166E-06 1.641E-04
  8.500E+00 6.300E-05 4.737E-21 5.524E-07 3.164E-06 6.671E-05
  9.500E+00 1.164E-05 4.765E-21 5.525E-07 3.162E-06 1.536E-05
  1.050E+01 6.687E-07 5.018E-21 5.526E-07 3.160E-06 4.381E-06
  1.150E+01 3.692E-06 5.459E-21 5.527E-07 3.155E-06 7.399E-06
  1.250E+01 4.178E-06 5.105E-21 5.526E-07 3.144E-06 7.875E-06
  1.350E+01 4.321E-06 4.494E-21 5.523E-07 3.123E-06 7.997E-06
  1.450E+01 4.358E-06 4.283E-21 5.513E-07 3.088E-06 7.998E-06
  1.550E+01 4.408E-06 4.553E-21 5.496E-07 3.039E-06 7.997E-06
  1.650E+01 4.474E-06 5.751E-21 5.470E-07 2.975E-06 7.995E-06
  1.750E+01 4.553E-06 7.063E-21 5.433E-07 2.898E-06 7.994E-06
  1.850E+01 4.642E-06 9.887E-21 5.388E-07 2.811E-06 7.992E-06
  1.950E+01 4.740E-06 1.372E-20 5.334E-07 2.717E-06 7.990E-06
  2.050E+01 4.842E-06 2.022E-20 5.272E-07 2.619E-06 7.988E-06
  2.150E+01 4.946E-06 3.236E-20 5.205E-07 2.519E-06 7.985E-06
  2.250E+01 5.053E-06 5.407E-20 5.131E-07 2.417E-06 7.983E-06
  2.350E+01 5.161E-06 9.336E-20 5.051E-07 2.315E-06 7.981E-06
  2.450E+01 5.269E-06 1.651E-19 4.966E-07 2.212E-06 7.978E-06
  2.550E+01 5.379E-06 2.983E-19 4.874E-07 2.109E-06 7.976E-06
  2.650E+01 5.491E-06 5.512E-19 4.775E-07 2.005E-06 7.973E-06
  2.750E+01 5.604E-06 1.047E-18 4.670E-07 1.899E-06 7.971E-06
  2.850E+01 5.719E-06 2.059E-18 4.557E-07 1.794E-06 7.968E-06
  2.950E+01 5.836E-06 4.210E-18 4.437E-07 1.686E-06 7.966E-06
  3.050E+01 5.955E-06 8.956E-18 4.309E-07 1.577E-06 7.963E-06
  3.150E+01 6.074E-06 1.969E-17 4.177E-07 1.469E-06 7.960E-06
  3.250E+01 6.192E-06 4.425E-17 4.040E-07 1.361E-06 7.958E-06
  3.350E+01 6.311E-06 1.030E-16 3.900E-07 1.254E-06 7.955E-06
  3.450E+01 6.427E-06 2.381E-16 3.761E-07 1.149E-06 7.952E-06
  3.550E+01 6.539E-06 5.393E-16 3.628E-07 1.047E-06 7.949E-06
  3.650E+01 6.644E-06 1.196E-15 3.506E-07 9.511E-07 7.946E-06
  3.750E+01 6.741E-06 2.364E-15 3.400E-07 8.615E-07 7.942E-06
  3.850E+01 6.829E-06 4.730E-15 3.313E-07 7.786E-07 7.939E-06
  3.950E+01 6.907E-06 9.513E-15 3.251E-07 7.032E-07 7.935E-06
  4.050E+01 6.973E-06 1.879E-14 3.218E-07 6.354E-07 7.931E-06
  4.150E+01 7.029E-06 3.695E-14 3.220E-07 5.751E-07 7.926E-06
  4.250E+01 7.073E-06 7.146E-14 3.261E-07 5.224E-07 7.921E-06
  4.350E+01 7.104E-06 1.370E-13 3.342E-07 4.774E-07 7.916E-06
  4.450E+01 7.125E-06 2.527E-13 3.468E-07 4.389E-07 7.911E-06
  4.550E+01 7.135E-06 4.471E-13 3.641E-07 4.061E-07 7.905E-06
  4.650E+01 7.135E-06 7.599E-13 3.861E-07 3.784E-07 7.899E-06
  4.750E+01 7.125E-06 1.247E-12 4.128E-07 3.550E-07 7.893E-06
  4.850E+01 7.107E-06 1.986E-12 4.445E-07 3.352E-07 7.887E-06
  4.950E+01 7.081E-06 3.080E-12 4.809E-07 3.185E-07 7.880E-06
  5.050E+01 7.048E-06 4.753E-12 5.218E-07 3.042E-07 7.874E-06
  5.150E+01 7.008E-06 7.180E-12 5.666E-07 2.921E-07 7.867E-06
  5.250E+01 6.964E-06 1.070E-11 6.147E-07 2.817E-07 7.860E-06
  5.350E+01 6.915E-06 1.581E-11 6.654E-07 2.728E-07 7.854E-06
  5.450E+01 6.863E-06 2.327E-11 7.188E-07 2.649E-07 7.847E-06
  5.550E+01 6.807E-06 3.424E-11 7.751E-07 2.578E-07 7.840E-06
  5.650E+01 6.748E-06 5.058E-11 8.338E-07 2.512E-07 7.833E-06
  5.750E+01 6.686E-06 7.511E-11 8.943E-07 2.452E-07 7.826E-06
  5.850E+01 6.622E-06 1.122E-10 9.570E-07 2.394E-07 7.819E-06
  5.950E+01 6.556E-06 1.686E-10 1.022E-06 2.339E-07 7.812E-06
  6.050E+01 6.487E-06 2.597E-10 1.089E-06 2.285E-07 7.804E-06
  6.150E+01 6.416E-06 4.023E-10 1.158E-06 2.231E-07 7.797E-06
  6.250E+01 6.342E-06 6.288E-10 1.228E-06 2.178E-07 7.789E-06
  6.350E+01 6.267E-06 9.932E-10 1.301E-06 2.124E-07 7.781E-06
  6.450E+01 6.189E-06 1.585E-09 1.376E-06 2.070E-07 7.773E-06
  6.550E+01 6.107E-06 2.553E-09 1.454E-06 2.012E-07 7.765E-06
  6.650E+01 6.019E-06 4.139E-09 1.537E-06 1.952E-07 7.756E-06
  6.750E+01 5.926E-06 6.733E-09 1.625E-06 1.889E-07 7.746E-06
  6.850E+01 5.825E-06 1.096E-08 1.718E-06 1.824E-07 7.736E-06
  6.950E+01 5.716E-06 1.779E-08 1.816E-06 1.757E-07 7.726E-06
  7.050E+01 5.598E-06 2.881E-08 1.919E-06 1.689E-07 7.715E-06
  7.150E+01 5.469E-06 4.744E-08 2.026E-06 1.620E-07 7.704E-06
  7.250E+01 5.320E-06 8.270E-08 2.135E-06 1.550E-07 7.693E-06
  7.350E+01 5.147E-06 1.443E-07 2.246E-06 1.476E-07 7.684E-06
  7.450E+01 4.963E-06 2.130E-07 2.360E-06 1.399E-07 7.676E-06
