
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.558E+05 2.433E+19 8.859E+05 3.295E+05 7.496E+06 0.000E+00 8.252E-12 1.254E-12 1.543E-04 5.661E-06 1.996E-09 1.080E-02 5.177E+15 6.411E+06 1.024E-02 6.158E-09 3.217E-11 2.634E-13 1.867E-11 5.703E-12 1.281E-11 1.248E-17 1.394E-09 7.828E-15 7.741E-17 1.030E-10 9.158E-15 1.517E-17 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.471E+05 2.181E+19 7.011E+05 4.614E+05 7.466E+06 0.000E+00 1.293E-11 2.529E-12 1.749E-04 6.451E-06 1.957E-09 8.363E-03 4.739E+15 6.171E+06 1.164E-02 1.054E-08 7.389E-11 2.829E-13 2.016E-11 2.621E-12 5.693E-12 1.517E-17 1.488E-09 7.131E-15 4.038E-17 9.191E-11 1.120E-14 1.900E-17 4.949E-07 7.943E-07 2.643E-07
   2.500E+05 7.493E+05 1.970E+19 6.651E+05 5.039E+05 1.079E+07 0.000E+00 1.787E-11 4.809E-12 1.930E-04 7.193E-06 2.838E-09 5.318E-03 4.369E+15 7.085E+06 1.913E-02 1.611E-08 1.521E-10 3.596E-13 2.192E-11 2.404E-12 5.096E-12 1.900E-17 1.537E-09 8.463E-15 6.758E-17 8.825E-11 1.966E-14 2.524E-17 4.903E-07 7.815E-07 2.549E-07
   3.500E+05 6.612E+05 1.771E+19 7.081E+05 5.441E+05 1.775E+07 0.000E+00 2.324E-11 9.100E-12 2.089E-04 7.907E-06 4.796E-09 3.375E-03 4.004E+15 8.748E+06 3.554E-02 2.330E-08 2.897E-10 4.938E-13 2.437E-11 2.553E-12 5.467E-12 2.524E-17 1.517E-09 1.184E-14 1.599E-16 8.945E-11 4.041E-14 3.237E-17 4.862E-07 7.696E-07 2.449E-07
   4.500E+05 5.821E+05 1.591E+19 7.042E+05 5.560E+05 2.971E+07 0.000E+00 2.925E-11 1.766E-11 2.231E-04 8.609E-06 8.367E-09 1.979E-03 3.663E+15 1.056E+07 6.680E-02 3.265E-08 5.229E-10 6.636E-13 2.635E-11 2.861E-12 6.138E-12 3.237E-17 1.427E-09 1.740E-14 4.492E-16 9.211E-11 8.507E-14 3.854E-17 4.826E-07 7.590E-07 2.344E-07
   5.500E+05 5.110E+05 1.430E+19 6.044E+05 5.251E+05 4.785E+07 0.000E+00 3.628E-11 3.508E-11 2.369E-04 9.321E-06 1.413E-08 1.047E-03 3.346E+15 1.199E+07 1.199E-01 4.481E-08 9.017E-10 8.386E-13 2.703E-11 3.315E-12 6.929E-12 3.854E-17 1.269E-09 2.511E-14 1.376E-15 9.302E-11 1.715E-13 4.205E-17 4.796E-07 7.499E-07 2.235E-07
   6.500E+05 4.472E+05 1.284E+19 4.324E+05 4.487E+05 7.212E+07 0.000E+00 4.490E-11 7.045E-11 2.514E-04 1.007E-05 2.233E-08 4.958E-04 3.050E+15 1.264E+07 2.003E-01 6.016E-08 1.482E-09 9.838E-13 2.595E-11 3.970E-12 7.779E-12 4.205E-17 1.052E-09 3.457E-14 4.413E-15 9.087E-11 3.220E-13 4.234E-17 4.774E-07 7.423E-07 2.124E-07
   7.500E+05 3.899E+05 1.153E+19 2.537E+05 3.428E+05 1.012E+08 0.000E+00 5.595E-11 1.432E-10 2.685E-04 1.088E-05 3.271E-08 2.077E-04 2.770E+15 1.252E+07 3.104E-01 7.886E-08 2.329E-09 1.086E-12 2.325E-11 5.214E-12 9.175E-12 4.234E-17 8.029E-10 4.666E-14 1.568E-14 8.828E-11 5.610E-13 3.998E-17 4.758E-07 7.361E-07 2.014E-07
   8.500E+05 3.386E+05 1.032E+19 1.214E+05 2.302E+05 1.329E+08 1.853E-78 7.003E-11 2.936E-10 2.904E-04 1.179E-05 4.435E-08 7.600E-05 2.502E+15 1.195E+07 4.496E-01 1.006E-07 3.493E-09 1.158E-12 1.940E-11 7.688E-12 1.159E-11 3.998E-17 5.538E-10 6.264E-14 5.563E-14 8.760E-11 9.152E-13 3.485E-17 4.746E-07 7.310E-07 1.909E-07
   9.500E+05 2.927E+05 9.205E+18 4.567E+04 1.253E+05 1.665E+08 1.480E-38 8.770E-11 5.930E-10 3.205E-04 1.285E-05 5.641E-08 2.295E-05 2.244E+15 1.096E+07 6.223E-01 1.250E-07 4.981E-09 1.191E-12 1.464E-11 1.239E-11 1.515E-11 3.485E-17 3.337E-10 8.122E-14 1.469E-13 8.772E-11 1.430E-12 2.534E-17 4.737E-07 7.264E-07 1.805E-07
   1.050E+06 2.519E+05 8.173E+18 1.137E+04 3.847E+04 2.096E+08 6.263E-28 1.092E-10 1.031E-09 3.647E-04 1.412E-05 7.033E-08 4.564E-06 1.992E+15 8.891E+06 8.697E-01 1.512E-07 6.675E-09 1.088E-12 8.815E-12 2.214E-11 2.072E-11 2.534E-17 1.518E-10 1.006E-13 2.691E-13 8.647E-11 2.271E-12 3.872E-17 4.727E-07 7.206E-07 1.675E-07
   1.150E+06 2.158E+05 7.209E+18 1.378E+04 4.975E+04 2.662E+08 1.851E-24 1.354E-10 1.576E-09 4.347E-04 1.572E-05 8.496E-08 4.380E-06 1.758E+15 1.167E+07 1.234E+00 1.788E-07 8.517E-09 1.619E-12 9.102E-12 2.618E-11 2.315E-11 3.872E-17 9.862E-11 1.470E-13 3.576E-13 1.017E-10 3.685E-12 6.090E-17 4.708E-07 7.096E-07 1.464E-07
   1.250E+06 1.841E+05 6.308E+18 1.482E+04 5.810E+04 3.202E+08 1.527E-21 1.683E-10 2.339E-09 5.501E-04 1.781E-05 9.228E-08 3.938E-06 1.540E+15 1.532E+07 1.674E+00 2.083E-07 1.061E-08 2.429E-12 9.467E-12 3.144E-11 2.601E-11 6.090E-17 7.880E-11 2.142E-13 4.586E-13 1.233E-10 5.790E-12 9.231E-17 4.675E-07 6.884E-07 1.144E-07
   1.350E+06 1.564E+05 5.476E+18 1.200E+04 5.610E+04 3.423E+08 2.662E-19 2.085E-10 3.419E-09 7.284E-04 2.044E-05 8.583E-08 2.997E-06 1.340E+15 1.831E+07 2.039E+00 2.388E-07 1.297E-08 3.344E-12 9.021E-12 4.096E-11 2.937E-11 9.231E-17 5.728E-11 2.636E-13 4.907E-13 1.389E-10 8.361E-12 1.355E-16 4.627E-07 6.530E-07 7.635E-08
   1.450E+06 1.325E+05 4.726E+18 7.842E+03 4.703E+04 3.312E+08 9.407E-18 2.545E-10 4.898E-09 9.638E-04 2.348E-05 7.271E-08 2.032E-06 1.161E+15 1.973E+07 2.263E+00 2.689E-07 1.552E-08 4.175E-12 8.249E-12 5.172E-11 3.077E-11 1.355E-16 4.047E-11 2.650E-13 3.953E-13 1.345E-10 1.132E-11 2.003E-16 4.576E-07 6.050E-07 4.333E-08
