
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.558E+05 2.433E+19 8.964E+05 3.453E+05 7.585E+06 0.000E+00 8.817E-12 1.315E-12 1.623E-04 5.792E-06 1.920E-09 1.080E-02 5.177E+15 6.485E+06 1.036E-02 6.491E-09 3.360E-11 2.665E-13 1.888E-11 5.604E-12 1.280E-11 1.272E-17 1.409E-09 8.104E-15 8.007E-17 1.032E-10 8.894E-15 1.558E-17 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.471E+05 2.181E+19 7.111E+05 4.829E+05 7.573E+06 0.000E+00 1.378E-11 2.647E-12 1.832E-04 6.587E-06 1.895E-09 8.363E-03 4.739E+15 6.277E+06 1.181E-02 1.110E-08 7.713E-11 2.878E-13 2.045E-11 2.586E-12 5.746E-12 1.558E-17 1.506E-09 7.479E-15 4.274E-17 9.211E-11 1.094E-14 1.955E-17 4.948E-07 7.941E-07 2.641E-07
   2.500E+05 7.493E+05 1.970E+19 6.794E+05 5.266E+05 1.102E+07 0.000E+00 1.900E-11 5.026E-12 2.013E-04 7.329E-06 2.779E-09 5.318E-03 4.368E+15 7.232E+06 1.955E-02 1.692E-08 1.587E-10 3.670E-13 2.226E-11 2.375E-12 5.175E-12 1.955E-17 1.556E-09 8.948E-15 7.256E-17 8.856E-11 1.941E-14 2.599E-17 4.900E-07 7.810E-07 2.545E-07
   3.500E+05 6.612E+05 1.771E+19 7.262E+05 5.678E+05 1.820E+07 0.000E+00 2.464E-11 9.497E-12 2.171E-04 8.038E-06 4.732E-09 3.375E-03 4.004E+15 8.937E+06 3.645E-02 2.441E-08 3.019E-10 5.045E-13 2.475E-11 2.517E-12 5.557E-12 2.599E-17 1.536E-09 1.259E-14 1.727E-16 8.988E-11 4.014E-14 3.332E-17 4.858E-07 7.690E-07 2.442E-07
   4.500E+05 5.821E+05 1.591E+19 7.242E+05 5.796E+05 3.055E+07 0.000E+00 3.093E-11 1.841E-11 2.310E-04 8.733E-06 8.312E-09 1.979E-03 3.663E+15 1.079E+07 6.869E-02 3.415E-08 5.445E-10 6.781E-13 2.677E-11 2.812E-12 6.236E-12 3.332E-17 1.446E-09 1.857E-14 4.870E-16 9.263E-11 8.491E-14 3.967E-17 4.821E-07 7.582E-07 2.335E-07
   5.500E+05 5.110E+05 1.430E+19 6.226E+05 5.470E+05 4.929E+07 0.000E+00 3.823E-11 3.655E-11 2.442E-04 9.435E-06 1.411E-08 1.047E-03 3.346E+15 1.225E+07 1.235E-01 4.675E-08 9.381E-10 8.566E-13 2.746E-11 3.248E-12 7.034E-12 3.967E-17 1.286E-09 2.690E-14 1.496E-15 9.355E-11 1.718E-13 4.327E-17 4.791E-07 7.489E-07 2.224E-07
   6.500E+05 4.472E+05 1.284E+19 4.455E+05 4.674E+05 7.432E+07 0.000E+00 4.717E-11 7.340E-11 2.582E-04 1.017E-05 2.241E-08 4.958E-04 3.050E+15 1.289E+07 2.064E-01 6.262E-08 1.540E-09 1.004E-12 2.637E-11 3.880E-12 7.901E-12 4.327E-17 1.068E-09 3.714E-14 4.809E-15 9.138E-11 3.233E-13 4.354E-17 4.768E-07 7.412E-07 2.111E-07
   7.500E+05 3.899E+05 1.153E+19 2.613E+05 3.574E+05 1.042E+08 0.000E+00 5.859E-11 1.493E-10 2.746E-04 1.097E-05 3.293E-08 2.077E-04 2.770E+15 1.275E+07 3.196E-01 8.189E-08 2.419E-09 1.107E-12 2.362E-11 5.088E-12 9.330E-12 4.354E-17 8.169E-10 5.026E-14 1.712E-14 8.878E-11 5.641E-13 4.109E-17 4.751E-07 7.350E-07 2.000E-07
   8.500E+05 3.386E+05 1.032E+19 1.248E+05 2.405E+05 1.366E+08 9.044E-75 7.312E-11 3.068E-10 2.960E-04 1.187E-05 4.474E-08 7.600E-05 2.501E+15 1.214E+07 4.623E-01 1.043E-07 3.624E-09 1.177E-12 1.973E-11 7.487E-12 1.179E-11 4.109E-17 5.653E-10 6.763E-14 6.070E-14 8.808E-11 9.206E-13 3.575E-17 4.739E-07 7.298E-07 1.893E-07
   9.500E+05 2.927E+05 9.205E+18 4.687E+04 1.313E+05 1.708E+08 3.501E-37 9.132E-11 6.218E-10 3.258E-04 1.291E-05 5.696E-08 2.295E-05 2.243E+15 1.110E+07 6.387E-01 1.292E-07 5.163E-09 1.206E-12 1.492E-11 1.204E-11 1.542E-11 3.575E-17 3.419E-10 8.795E-14 1.602E-13 8.816E-11 1.438E-12 2.581E-17 4.730E-07 7.252E-07 1.788E-07
