
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.550E+05 2.401E+19 3.139E+05 2.226E-17 2.369E+06 0.000E+00 4.425E-34 6.766E-35 5.569E-06 2.287E-06 1.772E-08 1.371E-02 5.107E+18 2.829E+06 2.906E-03 3.731E-31 1.239E-33 1.178E-13 9.771E-12 7.864E-12 2.479E-11 5.214E-21 6.270E-10 1.877E-14 2.812E-16 1.536E-10 4.177E-17 4.432E-21 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.471E+05 2.179E+19 2.211E+05 3.191E-15 2.540E+06 0.000E+00 6.646E-32 1.707E-32 5.959E-06 2.465E-06 1.957E-08 8.579E-03 4.635E+18 2.308E+06 3.585E-03 6.997E-29 4.555E-31 1.059E-13 8.898E-12 4.623E-12 1.266E-11 4.432E-21 6.151E-10 1.263E-14 1.550E-16 1.746E-10 5.304E-17 4.339E-21 4.994E-07 8.051E-07 2.729E-07
   2.500E+05 7.493E+05 1.973E+19 1.498E+05 3.347E-13 2.747E+06 0.000E+00 7.779E-30 3.261E-30 6.244E-06 2.621E-06 2.230E-08 5.204E-03 4.197E+18 2.151E+06 4.398E-03 1.000E-26 1.042E-28 1.090E-13 8.290E-12 4.803E-12 1.141E-11 4.339E-21 5.746E-10 1.198E-14 2.193E-16 2.072E-10 7.029E-17 4.400E-21 4.990E-07 8.028E-07 2.729E-07
   3.500E+05 6.610E+05 1.782E+19 9.196E+04 2.196E-11 2.942E+06 0.000E+00 6.294E-28 4.220E-28 6.387E-06 2.757E-06 2.585E-08 2.920E-03 3.791E+18 2.057E+06 5.296E-03 9.706E-25 1.418E-26 1.154E-13 7.587E-12 6.260E-12 1.290E-11 4.400E-21 4.971E-10 1.256E-14 4.655E-16 2.436E-10 9.491E-17 4.525E-21 4.988E-07 8.009E-07 2.728E-07
   4.500E+05 5.812E+05 1.606E+19 5.147E+04 9.136E-10 3.081E+06 0.000E+00 3.519E-26 3.689E-26 6.409E-06 2.876E-06 2.994E-08 1.542E-03 3.416E+18 1.984E+06 6.192E-03 6.374E-23 1.194E-24 1.235E-13 6.700E-12 8.556E-12 1.518E-11 4.525E-21 3.994E-10 1.316E-14 1.090E-15 2.781E-10 1.282E-16 4.621E-21 4.987E-07 7.995E-07 2.728E-07
   5.500E+05 5.095E+05 1.443E+19 2.651E+04 4.615E-08 3.138E+06 0.000E+00 1.382E-24 4.120E-24 6.338E-06 2.979E-06 3.430E-08 7.761E-04 3.071E+18 1.890E+06 7.006E-03 2.978E-21 7.699E-23 1.309E-13 5.656E-12 1.141E-11 1.717E-11 4.621E-21 2.997E-10 1.321E-14 2.464E-15 3.055E-10 1.714E-16 4.487E-21 4.986E-07 7.984E-07 2.727E-07
   6.500E+05 4.451E+05 1.294E+19 1.246E+04 2.692E-06 3.105E+06 0.000E+00 4.021E-23 5.652E-22 6.196E-06 3.068E-06 3.873E-08 3.681E-04 2.753E+18 1.695E+06 7.691E-03 1.196E-19 5.439E-21 1.310E-13 4.521E-12 1.402E-11 1.760E-11 4.487E-21 2.121E-10 1.232E-14 4.960E-15 3.221E-10 2.264E-16 4.142E-21 4.986E-07 7.976E-07 2.726E-07
   7.500E+05 3.875E+05 1.157E+19 5.264E+03 4.710E-05 2.990E+06 0.000E+00 8.541E-22 2.518E-20 5.981E-06 3.145E-06 4.322E-08 1.617E-04 2.461E+18 1.427E+06 8.216E-03 3.421E-18 2.060E-19 1.234E-13 3.413E-12 1.652E-11 1.702E-11 4.142E-21 1.430E-10 1.078E-14 9.511E-15 3.300E-10 2.961E-16 3.822E-21 4.986E-07 7.970E-07 2.725E-07
   8.500E+05 3.361E+05 1.031E+19 1.947E+03 2.937E-04 2.814E+06 0.000E+00 1.255E-20 4.471E-19 5.708E-06 3.211E-06 4.782E-08 6.373E-05 2.193E+18 1.187E+06 8.590E-03 5.663E-17 3.603E-18 1.152E-13 2.444E-12 2.042E-11 1.703E-11 3.822E-21 9.351E-11 9.217E-15 1.998E-14 3.343E-10 3.853E-16 3.595E-21 4.985E-07 7.965E-07 2.724E-07
   9.500E+05 2.904E+05 9.156E+18 5.913E+02 8.145E-04 2.614E+06 0.000E+00 1.316E-19 4.254E-18 5.397E-06 3.268E-06 5.290E-08 2.091E-05 1.948E+18 9.950E+05 8.882E-03 5.899E-16 3.585E-17 1.087E-13 1.702E-12 2.617E-11 1.761E-11 3.595E-21 6.044E-11 7.886E-15 4.281E-14 3.382E-10 5.033E-16 3.245E-21 4.985E-07 7.960E-07 2.723E-07
   1.050E+06 2.498E+05 8.106E+18 1.142E+02 9.113E-04 2.473E+06 0.000E+00 1.046E-18 2.623E-17 5.037E-06 3.317E-06 6.057E-08 4.287E-06 1.725E+18 7.949E+05 9.376E-03 4.401E-15 2.424E-16 9.806E-14 1.155E-12 3.215E-11 1.797E-11 3.245E-21 3.581E-11 6.682E-15 7.573E-14 3.455E-10 6.831E-16 2.657E-21 4.984E-07 7.954E-07 2.721E-07
   1.150E+06 2.140E+05 7.152E+18 1.178E+02 3.654E-03 2.560E+06 0.000E+00 6.568E-18 1.191E-16 4.645E-06 3.359E-06 7.707E-08 4.289E-06 1.522E+18 5.770E+05 1.086E-02 2.578E-14 1.264E-15 8.068E-14 6.695E-13 4.283E-11 2.171E-11 2.657E-21 1.641E-11 5.547E-15 8.125E-14 3.694E-10 1.035E-15 2.190E-21 4.982E-07 7.943E-07 2.716E-07
   1.250E+06 1.829E+05 6.116E+18 1.534E+02 1.163E-02 3.331E+06 0.000E+00 3.306E-17 4.428E-16 4.739E-06 3.395E-06 1.150E-07 4.294E-06 1.301E+18 3.736E+05 1.652E-02 1.233E-13 5.483E-15 6.108E-14 4.499E-13 5.240E-11 3.281E-11 2.190E-21 5.578E-12 5.295E-15 1.056E-13 4.274E-10 2.113E-15 2.023E-21 4.977E-07 7.919E-07 2.706E-07
