
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.562E+05 2.410E+19 3.704E+05 4.179E+01 2.685E+06 0.000E+00 2.901E-16 1.332E-16 9.730E-06 2.418E-06 1.145E-08 1.302E-02 5.127E+17 3.067E+06 3.593E-03 4.181E-13 4.751E-15 1.272E-13 1.065E-11 7.883E-12 1.998E-11 5.551E-20 7.415E-10 1.033E-14 1.314E-16 1.061E-10 3.044E-16 5.043E-20 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.485E+05 2.163E+19 3.100E+05 1.114E+02 2.802E+06 0.000E+00 8.273E-16 5.082E-16 1.056E-05 2.614E-06 1.226E-08 1.014E-02 4.602E+17 2.524E+06 4.292E-03 1.342E-12 1.926E-14 1.167E-13 1.028E-11 3.251E-12 7.467E-12 5.043E-20 7.516E-10 6.265E-15 3.820E-17 1.032E-10 3.973E-16 4.907E-20 4.991E-07 8.043E-07 2.728E-07
   2.500E+05 7.515E+05 1.954E+19 2.317E+05 2.380E+02 3.101E+06 0.000E+00 2.175E-15 1.845E-15 1.115E-05 2.789E-06 1.423E-08 6.602E-03 4.159E+17 2.302E+06 5.428E-03 3.991E-12 7.027E-14 1.178E-13 9.707E-12 2.399E-12 4.905E-12 4.907E-20 7.309E-10 5.169E-15 3.186E-17 1.049E-10 5.474E-16 5.343E-20 4.985E-07 8.013E-07 2.725E-07
   3.500E+05 6.641E+05 1.758E+19 1.835E+05 4.743E+02 3.594E+06 0.000E+00 5.194E-15 6.117E-15 1.163E-05 2.946E-06 1.758E-08 4.411E-03 3.742E+17 2.300E+06 7.123E-03 1.067E-11 2.226E-13 1.309E-13 9.627E-12 2.464E-12 4.682E-12 5.343E-20 6.828E-10 5.329E-15 4.697E-17 1.099E-10 8.151E-16 5.677E-20 4.981E-07 7.989E-07 2.722E-07
   4.500E+05 5.856E+05 1.581E+19 1.313E+05 7.846E+02 4.214E+06 0.000E+00 1.133E-14 1.876E-14 1.189E-05 3.088E-06 2.242E-08 2.645E-03 3.365E+17 2.240E+06 9.407E-03 2.583E-11 6.257E-13 1.417E-13 9.317E-12 2.941E-12 5.195E-12 5.677E-20 6.102E-10 5.804E-15 9.478E-17 1.163E-10 1.244E-15 5.837E-20 4.979E-07 7.969E-07 2.719E-07
   5.500E+05 5.149E+05 1.421E+19 8.434E+04 1.069E+03 4.891E+06 0.000E+00 2.265E-14 5.192E-14 1.197E-05 3.217E-06 2.874E-08 1.448E-03 3.027E+17 2.117E+06 1.221E-02 5.665E-11 1.555E-12 1.489E-13 8.699E-12 3.670E-12 5.969E-12 5.837E-20 5.203E-10 6.275E-15 2.155E-16 1.219E-10 1.891E-15 5.735E-20 4.977E-07 7.953E-07 2.715E-07
   6.500E+05 4.515E+05 1.277E+19 4.778E+04 1.178E+03 5.541E+06 0.000E+00 4.164E-14 1.279E-13 1.190E-05 3.336E-06 3.644E-08 7.209E-04 2.720E+17 1.914E+06 1.537E-02 1.125E-10 3.411E-12 1.499E-13 7.759E-12 4.410E-12 6.498E-12 5.735E-20 4.226E-10 6.437E-15 4.842E-16 1.251E-10 2.823E-15 5.327E-20 4.977E-07 7.940E-07 2.711E-07
   7.500E+05 3.945E+05 1.147E+19 2.326E+04 1.046E+03 6.095E+06 0.000E+00 7.093E-14 2.859E-13 1.171E-05 3.447E-06 4.540E-08 3.190E-04 2.443E+17 1.638E+06 1.870E-02 2.039E-10 6.701E-12 1.428E-13 6.587E-12 4.918E-12 6.427E-12 5.327E-20 3.282E-10 6.166E-15 1.036E-15 1.252E-10 4.112E-15 4.803E-20 4.977E-07 7.931E-07 2.706E-07
   8.500E+05 3.434E+05 1.028E+19 9.628E+03 7.275E+02 6.501E+06 7.546-168 1.129E-13 5.703E-13 1.140E-05 3.553E-06 5.552E-08 1.241E-04 2.189E+17 1.356E+06 2.202E-02 3.405E-10 1.191E-11 1.320E-13 5.406E-12 5.313E-12 6.039E-12 4.803E-20 2.476E-10 5.715E-15 2.315E-15 1.239E-10 5.867E-15 4.447E-20 4.977E-07 7.922E-07 2.701E-07
   9.500E+05 2.977E+05 9.179E+18 3.278E+03 3.764E+02 6.803E+06 4.391-113 1.694E-13 1.011E-12 1.101E-05 3.653E-06 6.730E-08 4.058E-05 1.956E+17 1.149E+06 2.547E-02 5.298E-10 1.939E-11 1.252E-13 4.407E-12 6.129E-12 6.009E-12 4.447E-20 1.842E-10 5.497E-15 6.173E-15 1.232E-10 8.317E-15 4.253E-20 4.977E-07 7.915E-07 2.696E-07
