
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   5.000E+04 9.562E+05 2.410E+19 3.870E+05 1.590E+01 2.806E+06 0.000E+00 9.445E-17 5.068E-17 1.074E-05 2.728E-06 1.084E-08 1.302E-02 5.127E+17 3.265E+06 3.755E-03 1.494E-13 1.915E-15
   1.500E+05 8.485E+05 2.163E+19 3.205E+05 4.802E+01 2.897E+06 0.000E+00 3.063E-16 2.190E-16 1.173E-05 2.945E-06 1.142E-08 1.014E-02 4.602E+17 2.661E+06 4.438E-03 5.461E-13 8.664E-15
   2.500E+05 7.515E+05 1.954E+19 2.373E+05 1.138E+02 3.175E+06 0.000E+00 9.046E-16 8.817E-16 1.243E-05 3.133E-06 1.307E-08 6.602E-03 4.159E+17 2.419E+06 5.557E-03 1.818E-12 3.463E-14
   3.500E+05 6.641E+05 1.758E+19 1.868E+05 2.472E+02 3.657E+06 0.000E+00 2.395E-15 3.188E-15 1.301E-05 3.297E-06 1.599E-08 4.411E-03 3.742E+17 2.414E+06 7.249E-03 5.355E-12 1.188E-13
   4.500E+05 5.856E+05 1.581E+19 1.332E+05 4.404E+02 4.273E+06 0.000E+00 5.723E-15 1.053E-14 1.333E-05 3.439E-06 2.028E-08 2.645E-03 3.365E+17 2.351E+06 9.540E-03 1.411E-11 3.584E-13
   5.500E+05 5.149E+05 1.421E+19 8.530E+04 6.378E+02 4.947E+06 0.000E+00 1.239E-14 3.098E-14 1.344E-05 3.563E-06 2.589E-08 1.448E-03 3.027E+17 2.221E+06 1.235E-02 3.329E-11 9.476E-13
   6.500E+05 4.515E+05 1.277E+19 4.819E+04 7.362E+02 5.589E+06 0.000E+00 2.442E-14 7.996E-14 1.338E-05 3.672E-06 3.272E-08 7.209E-04 2.720E+17 2.008E+06 1.550E-02 7.040E-11 2.192E-12
   7.500E+05 3.945E+05 1.147E+19 2.340E+04 6.786E+02 6.131E+06 0.000E+00 4.424E-14 1.855E-13 1.315E-05 3.766E-06 4.066E-08 3.190E-04 2.443E+17 1.715E+06 1.881E-02 1.348E-10 4.508E-12
   8.500E+05 3.434E+05 1.028E+19 9.661E+03 4.878E+02 6.524E+06 0.000E+00 7.440E-14 3.824E-13 1.279E-05 3.850E-06 4.964E-08 1.241E-04 2.189E+17 1.417E+06 2.210E-02 2.366E-10 8.361E-12
   9.500E+05 2.977E+05 9.179E+18 3.284E+03 2.602E+02 6.816E+06 9.873-151 1.175E-13 6.985E-13 1.234E-05 3.924E-06 6.016E-08 4.058E-05 1.956E+17 1.199E+06 2.552E-02 3.856E-10 1.417E-11
