
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   5.000E+04 9.562E+05 2.414E+19 5.922E+05 2.419E+04 4.359E+06 0.000E+00 2.290E-13 7.915E-14 3.033E-05 3.308E-06 5.954E-09 1.266E-02 5.135E+16 4.179E+06 5.897E-03 2.859E-10 2.537E-12 1.731E-13 1.342E-11 7.238E-12 1.540E-11 7.307E-19 9.609E-10 7.111E-15 7.177E-17 9.692E-11 1.717E-15 7.002E-19 5.000E-07 8.080E-07 2.730E-07
   1.500E+05 8.484E+05 2.166E+19 4.903E+05 3.965E+04 4.505E+06 0.000E+00 4.163E-13 1.858E-13 3.364E-05 3.612E-06 6.183E-09 9.852E-03 4.619E+16 3.518E+06 6.974E-03 5.724E-10 6.516E-12 1.624E-13 1.304E-11 2.570E-12 5.067E-12 7.002E-19 9.737E-10 4.996E-15 2.129E-17 8.661E-11 2.167E-15 7.620E-19 4.982E-07 8.018E-07 2.711E-07
   2.500E+05 7.513E+05 1.957E+19 4.087E+05 5.163E+04 5.586E+06 0.000E+00 6.754E-13 4.129E-13 3.634E-05 3.884E-06 7.854E-09 6.389E-03 4.184E+16 3.494E+06 9.875E-03 1.038E-09 1.502E-11 1.785E-13 1.298E-11 1.663E-12 3.108E-12 7.620E-19 9.700E-10 4.674E-15 1.888E-17 8.063E-11 3.276E-15 9.533E-19 4.968E-07 7.965E-07 2.690E-07
   3.500E+05 6.638E+05 1.760E+19 3.840E+05 6.642E+04 7.730E+06 0.000E+00 1.031E-12 8.892E-13 3.872E-05 4.132E-06 1.134E-08 4.243E-03 3.772E+16 3.920E+06 1.547E-02 1.769E-09 3.155E-11 2.227E-13 1.380E-11 1.513E-12 2.869E-12 9.533E-19 9.481E-10 5.508E-15 3.095E-17 7.839E-11 5.706E-15 1.151E-18 4.956E-07 7.918E-07 2.667E-07
   4.500E+05 5.851E+05 1.583E+19 3.288E+05 7.576E+04 1.094E+07 0.000E+00 1.508E-12 1.898E-12 4.050E-05 4.361E-06 1.707E-08 2.522E-03 3.400E+16 4.251E+06 2.466E-02 2.880E-09 6.194E-11 2.686E-13 1.435E-11 1.645E-12 3.159E-12 1.151E-18 8.990E-10 6.926E-15 7.217E-17 7.817E-11 1.027E-14 1.311E-18 4.947E-07 7.878E-07 2.642E-07
   5.500E+05 5.144E+05 1.423E+19 2.492E+05 7.698E+04 1.507E+07 0.000E+00 2.129E-12 3.938E-12 4.193E-05 4.576E-06 2.527E-08 1.374E-03 3.063E+16 4.375E+06 3.795E-02 4.485E-09 1.135E-10 3.075E-13 1.438E-11 1.959E-12 3.735E-12 1.311E-18 8.195E-10 8.762E-15 1.986E-16 7.823E-11 1.801E-14 1.375E-18 4.941E-07 7.846E-07 2.616E-07
   6.500E+05 4.509E+05 1.279E+19 1.619E+05 6.718E+04 1.976E+07 0.000E+00 2.907E-12 7.743E-12 4.306E-05 4.780E-06 3.589E-08 6.785E-04 2.758E+16 4.201E+06 5.523E-02 6.654E-09 1.925E-10 3.286E-13 1.363E-11 2.392E-12 4.388E-12 1.375E-18 7.086E-10 1.063E-14 5.738E-16 7.676E-11 3.006E-14 1.315E-18 4.938E-07 7.820E-07 2.587E-07
   7.500E+05 3.938E+05 1.148E+19 8.820E+04 4.967E+04 2.452E+07 0.000E+00 3.844E-12 1.453E-11 4.397E-05 4.978E-06 4.859E-08 2.978E-04 2.481E+16 3.746E+06 7.581E-02 9.387E-09 3.038E-10 3.263E-13 1.211E-11 2.886E-12 4.903E-12 1.315E-18 5.754E-10 1.217E-14 1.672E-15 7.299E-11 4.752E-14 1.165E-18 4.936E-07 7.801E-07 2.557E-07
   8.500E+05 3.427E+05 1.028E+19 3.983E+04 3.053E+04 2.889E+07 1.520-126 4.942E-12 2.592E-11 4.474E-05 5.171E-06 6.279E-08 1.145E-04 2.227E+16 3.165E+06 9.861E-02 1.264E-08 4.494E-10 3.077E-13 1.013E-11 3.679E-12 5.575E-12 1.165E-18 4.394E-10 1.368E-14 5.504E-15 6.838E-11 7.154E-14 9.819E-19 4.935E-07 7.785E-07 2.525E-07
   9.500E+05 2.969E+05 9.188E+18 1.442E+04 1.466E+04 3.282E+07 6.015E-65 6.194E-12 4.351E-11 4.547E-05 5.362E-06 7.854E-08 3.669E-05 1.992E+16 2.620E+06 1.237E-01 1.634E-08 6.264E-10 2.852E-13 8.025E-12 5.280E-12 6.935E-12 9.819E-19 3.177E-10 1.592E-14 2.029E-14 6.495E-11 1.045E-13 7.979E-19 4.935E-07 7.771E-07 2.492E-07
