 4 Gauss points for correlated-k in the O2 SR bands
 ---------------------------------------------------
 Temp = 150 K
 
 ---------------------------------------------------
 L  N    A1             A2             A3             A4

 ====================================================
 1  4  8.5280000E-21  3.1840000E-20  9.3270000E-20  6.7890000E-19
 

 2  4  1.1290000E-21  3.9230000E-21  2.4630000E-20  3.6130000E-19
 

 3  4  7.0590000E-22  1.8010000E-21  1.1670000E-20  2.1710000E-19
 

 4  4  5.4740000E-22  2.1670000E-21  1.7100000E-20  2.1460000E-19
 

 5  4  1.8490000E-22  8.6120000E-22  6.2250000E-21  1.0930000E-19
 

 6  4  1.0690000E-22  3.7600000E-22  2.8220000E-21  5.2270000E-20
 

 7  4  7.6250000E-23  2.0727391E-22  1.4880000E-21  2.5060000E-20
 

 8  4  2.5860000E-23  6.3020000E-23  5.2090000E-22  9.4960000E-21
 

 9  4  1.1320000E-23  2.2370000E-23  1.5560000E-22  4.3470779E-21
 

10  4  5.7260000E-24  1.1110000E-23  5.5020000E-23  9.6600779E-22
 

11  4  1.7880000E-24  7.4510000E-24  1.4770000E-22  2.2350000E-21
 

12  4  8.1800000E-25  2.6660000E-24  2.4910000E-23  6.6180779E-22
 

13  4  1.7550000E-25  2.8880000E-25  2.1900000E-24  1.1280000E-22
 

14  4  2.1420000E-26  3.4070000E-26  1.4480000E-25  1.2860000E-23
 

15  4  1.8540000E-27  6.8490000E-27  1.1740000E-25  4.4960779E-24
 

16  4  1.6790000E-28  6.8900000E-28  6.5830000E-27  4.0810779E-25
 

17  4  3.3220000E-31  1.1130000E-30  1.8430000E-29  1.3380000E-28
 


 ---------------------------------------------------
 Temp = 200 K
 
 ---------------------------------------------------
 L  N    A1             A2             A3             A4

 ====================================================
 1  4  1.3620000E-20  4.2930000E-20  1.0300000E-19  6.6770000E-19
 

 2  4  1.6130000E-21  5.2660000E-21  3.1750000E-20  4.1690000E-19
 

 3  4  9.8160000E-22  2.5010000E-21  1.6280000E-20  2.4610000E-19
 

 4  4  9.3639221E-22  3.2810000E-21  2.2380000E-20  1.9880000E-19
 

 5  4  2.8150000E-22  1.4180000E-21  8.2210000E-21  1.1430000E-19
 

 6  4  1.5480000E-22  5.9510000E-22  3.9020000E-21  5.6690000E-20
 

 7  4  1.0490000E-22  3.5920000E-22  2.0870000E-21  2.7960000E-20
 

 8  4  3.8940000E-23  1.0640000E-22  7.8820000E-22  1.1070000E-20
 

 9  4  1.6070000E-23  4.2040000E-23  2.4770000E-22  4.7580000E-21
 

10  4  7.3050000E-24  1.7320000E-23  1.0140000E-22  1.5220000E-21
 

11  4  3.3350000E-24  1.9340000E-23  1.9320000E-22  2.2490000E-21
 

12  4  1.9840000E-24  5.1050000E-24  3.6840000E-23  6.7090779E-22
 

13  4  2.4160000E-25  8.2060000E-25  4.1640000E-24  1.1490000E-22
 

14  4  3.1710000E-26  1.2840000E-25  6.7320000E-25  1.5290000E-23
 

15  4  3.7780000E-27  4.1390000E-26  3.5270000E-25  6.3650779E-24
 

16  4  1.1470000E-27  2.8260000E-27  2.0670000E-26  4.6290000E-25
 

