 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35662E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 4.55E-11 2.07E-15 1.13E-02 1.37E-13 1.54E-11 1.25E-09 4.83E-10 8.05E-18 4.86E-08 2.81E-07 3.03E-08 4.39E-10
  1.50E+05 5.10E-11 4.79E-15 6.98E-03 2.22E-13 1.72E-11 1.28E-09 9.31E-10 1.06E-17 4.86E-08 2.76E-07 2.29E-08 4.78E-10
  2.50E+05 5.50E-11 1.19E-14 4.15E-03 3.46E-13 1.85E-11 1.20E-09 1.95E-09 1.31E-17 4.86E-08 2.72E-07 1.70E-08 4.85E-10
  3.50E+05 5.52E-11 2.82E-14 2.26E-03 4.94E-13 1.89E-11 1.04E-09 3.91E-09 1.47E-17 4.86E-08 2.68E-07 1.25E-08 4.42E-10
  7.50E+05 3.34E-11 4.36E-13 1.66E-04 1.20E-12 1.80E-11 4.91E-10 2.96E-08 2.18E-17 4.87E-08 2.57E-07 4.91E-09 1.71E-10
  1.15E+06 7.83E-12 3.09E-12 9.37E-07 6.81E-13 4.51E-12 4.79E-11 9.92E-08 1.01E-17 4.92E-08 2.51E-07 6.52E-09 1.51E-11
  1.55E+06 9.09E-12 2.23E-11 1.05E-06 3.52E-12 7.09E-12 2.47E-11 8.06E-08 1.73E-16 5.17E-08 1.93E-07 9.09E-09 8.95E-12
  1.95E+06 6.03E-12 5.18E-11 1.23E-06 1.10E-11 1.16E-11 2.42E-11 2.97E-08 1.60E-15 6.00E-08 9.83E-08 1.05E-08 3.96E-12
  2.35E+06 3.38E-12 1.03E-10 1.31E-06 2.68E-11 2.12E-11 3.44E-11 1.40E-08 1.23E-14 8.34E-08 4.71E-08 1.32E-08 1.85E-12
  2.75E+06 1.90E-12 1.81E-10 1.30E-06 5.81E-11 4.03E-11 5.50E-11 6.61E-09 8.26E-14 1.30E-07 2.59E-08 1.78E-08 9.32E-13
  3.15E+06 1.07E-12 2.95E-10 1.24E-06 1.11E-10 7.32E-11 8.68E-11 3.00E-09 4.77E-13 2.14E-07 1.59E-08 2.57E-08 4.86E-13
  3.55E+06 7.27E-13 5.10E-10 1.11E-06 1.92E-10 1.22E-10 1.25E-10 1.47E-09 2.57E-12 3.50E-07 9.37E-09 4.11E-08 2.39E-13
  3.95E+06 2.00E-12 8.92E-10 9.25E-07 3.45E-10 2.31E-10 2.34E-10 7.33E-10 1.62E-11 5.44E-07 4.04E-09 9.93E-08 9.34E-14
  4.35E+06 2.34E-12 1.70E-09 6.76E-07 6.19E-10 4.47E-10 4.62E-10 3.94E-10 1.14E-10 7.96E-07 1.05E-09 3.02E-07 2.38E-14
  4.75E+06 1.21E-12 4.74E-09 3.91E-07 8.36E-10 5.92E-10 4.94E-10 2.99E-10 7.51E-10 1.08E-06 2.06E-10 1.10E-06 4.05E-15
  5.15E+06 5.60E-13 2.44E-08 1.54E-07 6.69E-10 4.21E-10 1.78E-10 3.78E-10 4.72E-09 1.31E-06 4.03E-11 4.83E-06 4.13E-16
  5.55E+06 2.02E-13 3.27E-07 4.75E-08 2.49E-10 1.13E-10 1.19E-11 1.02E-09 2.75E-08 1.41E-06 9.69E-12 1.35E-05 1.18E-17
  5.95E+06 1.16E-14 1.05E-05 1.34E-08 3.29E-11 6.07E-12 1.29E-13 7.37E-09 8.16E-08 1.41E-06 2.96E-12 2.41E-05 2.09E-19
  6.35E+06 1.90E-15 5.04E-05 4.24E-09 1.07E-11 8.44E-13 1.89E-15 1.16E-08 1.07E-07 1.41E-06 1.13E-12 3.43E-05 7.83E-21
  6.75E+06 7.21E-16 1.21E-04 1.62E-09 3.51E-12 1.83E-13 5.00E-17 8.70E-09 1.19E-07 1.41E-06 5.31E-13 4.39E-05 6.29E-22
  7.15E+06 4.54E-16 2.01E-04 7.43E-10 1.04E-12 5.09E-14 2.44E-18 4.13E-09 1.24E-07 1.40E-06 2.94E-13 5.26E-05 8.60E-23
  7.55E+06 3.69E-16 2.80E-04 3.77E-10 2.83E-13 1.60E-14 1.79E-19 1.49E-09 1.27E-07 1.40E-06 1.79E-13 6.09E-05 1.51E-23
