alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00856E+000  2.56764E+019  2.84501E+002  1.00000E+005  5.74276E-004  1.00000E-040  1.00000E-040  4.12212E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.29999E-020  1.00000E-040  1.00000E-040  2.23476E-018  4.95756E-007  5.35833E-003  8.76513E-014  1.56085E-014  2.10925E-004  3.05466E-008  2.81590E-004  2.49152E-019  1.87014E-010  1.00000E-040  1.04176E-040  7.93713E-027  6.42242E-017  8.01142E-007  1.08797E-021  5.26403E-021  1.60642E-032  9.35605E-032  1.00000E-040  4.62060E-012  9.35890E-017  1.38677E-015  2.74174E-011  3.70945E-034  3.15439E-038  3.34140E-010  1.61704E-031  4.74218E-011  2.76803E-024  9.94148E-001  5.81282E-020  1.28648E-013  4.41362E-010  1.00000E-040  8.96082E-038  7.40583E-024  2.16640E-019  1.74495E-012  1.08372E-013  1.64351E-011  1.27935E-014  2.70683E-007  1.77310E-009  5.91365E-009  7.38672E-012  2.02601E-014  3.58157E-019  2.71778E-012  1.62404E-011  3.29962E-011  7.60865E-030  1.79811E-034  3.24124E-034  3.53941E-030  9.93453E-013  9.64659E-025  1.23701E-017  1.46664E-014  1.66420E-021  8.06701E-020  1.25993E-031  3.67370E-031  2.78706E-033  8.61541E-039  4.00358E-029  2.83632E-034  1.98316E-031  1.83086E-020  3.42666E-016  1.87082E-031  4.49616E-031  2.32179E-022  2.59074E-014  1.37241E-015  2.36797E-015  5.93488E-022  1.34179E-010  1.00000E-040  9.00673E-019  1.28812E-036  1.94864E-022  6.74918E-022  1.14427E-014  2.82493E-020  3.28551E-011  3.39697E-020  3.18716E-022  4.32104E-013  5.03620E-014  8.84459E-036  5.71279E-038  6.95032E-020  1.00000E-040  1.47247E-020  3.25269E-011  3.07621E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.95574E-001  2.33258E+019  2.78088E+002  1.00000E+005  7.49976E-004  1.00000E-040  1.00000E-040  4.79161E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.92295E-021  1.00000E-040  1.00000E-040  2.40095E-018  4.96244E-007  4.03632E-003  8.97199E-014  1.65784E-014  2.11196E-004  2.91904E-008  2.81970E-004  1.78372E-019  1.20570E-010  1.00000E-040  1.00000E-040  6.87249E-027  5.71070E-017  7.97395E-007  2.32822E-021  5.66591E-021  2.09401E-032  9.36043E-032  1.00000E-040  1.79056E-012  4.66117E-017  2.81722E-015  5.76637E-011  6.47773E-034  2.36156E-038  3.12023E-010  9.69659E-032  4.70876E-011  6.39564E-024  9.95469E-001  9.70972E-020  2.31552E-013  3.23106E-010  2.04965E-040  1.71637E-037  6.90150E-024  2.13439E-019  9.49482E-014  1.41402E-013  1.61391E-011  1.07167E-014  2.68466E-007  1.77714E-009  5.27946E-009  1.15238E-012  1.32790E-014  2.63200E-019  1.09232E-012  2.14624E-011  4.01134E-011  4.94342E-030  2.16279E-034  3.86165E-036  2.61733E-030  2.14597E-012  9.65950E-025  1.23463E-017  1.41020E-014  1.64327E-021  7.27084E-020  1.26227E-031  2.49422E-031  2.79077E-033  6.29610E-039  3.45546E-029  4.61699E-034  1.88028E-031  1.28972E-020  2.01543E-015  1.50942E-031  4.65618E-031  3.00266E-022  2.20885E-014  9.95305E-016  2.55244E-015  4.11545E-022  1.35781E-010  1.00000E-040  1.48583E-018  1.36168E-036  2.30326E-022  6.02695E-022  1.14579E-014  2.85107E-020  1.78914E-010  7.59422E-020  3.68649E-022  8.60797E-013  5.06263E-014  7.14439E-036  5.83801E-038  4.88332E-020  1.00000E-040  1.17688E-020  3.18462E-011  3.07076E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.93570E-001  2.10650E+019  2.72860E+002  1.00000E+005  5.39606E-004  1.00000E-040  1.00000E-040  4.98128E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.85970E-021  1.00000E-040  1.00000E-040  3.16211E-018  4.96570E-007  3.10708E-003  1.12213E-013  2.09113E-014  2.11385E-004  2.76473E-008  2.82239E-004  1.94681E-019  1.06327E-010  1.00000E-040  1.62602E-040  9.29764E-027  6.47839E-017  7.93717E-007  3.45800E-021  5.45931E-021  2.06065E-032  7.42062E-032  1.00000E-040  6.48418E-013  2.32598E-017  3.65899E-015  3.83569E-011  1.14295E-033  1.45029E-038  2.89212E-010  7.66861E-032  4.67577E-011  1.38642E-023  9.96398E-001  1.33355E-019  2.51666E-013  2.24570E-010  7.21259E-040  2.64915E-037  6.07573E-024  1.94341E-019  4.77633E-014  1.71910E-013  1.71384E-011  9.73001E-015  2.65895E-007  1.81501E-009  5.44431E-009  5.91057E-013  1.35822E-014  1.88179E-019  4.60953E-013  2.40279E-011  4.26812E-011  4.23342E-030  2.43793E-034  1.00000E-040  2.57735E-030  2.09578E-012  9.66851E-025  1.23711E-017  1.38795E-014  1.71201E-021  6.77903E-020  1.26473E-031  1.49593E-031  2.79342E-033  3.96625E-039  3.50605E-029  7.29651E-034  2.03561E-031  1.28656E-020  4.05362E-015  1.92339E-031  5.37261E-031  4.44742E-022  2.42391E-014  1.22751E-015  2.64773E-015  3.51216E-022  1.32982E-010  1.00000E-040  2.72887E-018  1.63586E-036  3.22243E-022  5.46421E-022  1.14686E-014  2.65333E-020  2.17520E-010  6.50787E-020  4.80034E-022  8.83803E-013  5.08211E-014  6.22993E-036  5.98963E-038  4.96141E-020  1.00000E-040  9.22302E-021  3.11944E-011  3.04702E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.01689E-001  1.89694E+019  2.67922E+002  1.00000E+005  4.83444E-004  1.00000E-040  1.00000E-040  3.49415E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.38959E-021  1.00000E-040  1.00000E-040  4.28078E-018  4.96871E-007  2.30888E-003  1.44943E-013  3.16385E-014  2.11544E-004  2.59760E-008  2.82470E-004  2.38249E-019  1.03881E-010  1.00000E-040  3.12860E-040  1.35691E-026  7.65865E-017  7.90328E-007  4.69283E-021  4.53702E-021  1.64020E-032  4.35956E-032  1.00000E-040  2.16204E-013  1.06153E-017  4.44644E-015  2.56454E-011  1.71241E-033  7.23245E-039  2.66161E-010  6.32649E-032  4.64438E-011  3.25675E-023  9.97196E-001  1.80237E-019  2.48059E-013  1.47373E-010  2.15526E-039  3.62332E-037  5.05124E-024  1.64911E-019  7.17241E-014  2.13054E-013  1.84873E-011  8.96936E-015  2.63026E-007  1.79998E-009  6.69724E-009  6.46230E-013  1.73984E-014  1.34362E-019  2.96418E-013  2.70058E-011  4.16746E-011  4.35706E-030  2.93584E-034  7.16418E-037  3.18637E-030  1.57149E-012  9.67617E-025  1.24063E-017  1.39597E-014  1.88525E-021  6.29201E-020  1.26770E-031  7.48159E-032  2.79579E-033  2.35764E-039  4.27274E-029  1.09589E-033  2.12648E-031  1.31165E-020  4.26538E-015  2.64733E-031  7.00522E-031  6.46625E-022  3.23256E-014  1.62176E-015  2.90674E-015  2.96549E-022  1.24120E-010  1.00000E-040  5.10587E-018  1.91333E-036  4.63466E-022  4.62393E-022  1.14778E-014  2.13558E-020  1.76360E-010  5.77983E-020  7.31403E-022  6.74226E-013  5.09478E-014  4.64635E-036  6.01340E-038  5.50650E-020  1.00000E-040  6.42340E-021  3.05786E-011  3.00013E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.18958E-001  1.71054E+019  2.62087E+002  1.00000E+005  4.51358E-004  1.00000E-040  1.00000E-040  1.70653E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.83399E-021  1.00000E-040  1.00000E-040  5.53588E-018  4.97163E-007  1.58553E-003  1.85897E-013  5.25571E-014  2.11687E-004  2.41783E-008  2.82681E-004  2.75579E-019  9.68792E-011  1.00000E-040  5.38858E-040  1.85453E-026  8.62040E-017  7.87330E-007  6.03180E-021  3.22254E-021  1.09875E-032  1.88473E-032  1.00000E-040  6.64904E-014  5.90386E-018  5.25436E-015  1.76803E-011  2.13522E-033  3.27969E-039  2.43335E-010  4.69386E-032  4.61543E-011  8.40140E-023  9.97919E-001  2.40452E-019  2.25340E-013  9.08801E-011  5.85054E-039  4.50419E-037  3.96083E-024  1.27791E-019  1.41151E-013  2.51092E-013  1.92333E-011  8.36983E-015  2.59873E-007  1.69578E-009  9.17553E-009  7.99383E-013  2.30979E-014  8.76289E-020  3.74030E-013  3.03323E-011  3.71771E-011  4.89615E-030  3.62628E-034  3.97792E-035  4.46457E-030  9.90223E-013  9.68301E-025  1.23619E-017  1.40932E-014  2.24394E-021  5.61757E-020  1.27144E-031  2.86364E-032  2.79812E-033  1.28519E-039  5.82054E-029  1.49215E-033  1.99635E-031  1.24632E-020  3.70114E-015  3.36709E-031  9.52118E-031  9.28781E-022  5.00567E-014  2.01398E-015  3.34221E-015  2.16109E-022  1.10238E-010  1.00000E-040  1.05696E-017  2.13776E-036  6.89721E-022  3.44941E-022  1.14861E-014  1.47392E-020  1.14974E-010  5.30231E-020  1.21826E-021  4.20881E-013  5.10264E-014  2.72865E-036  5.79732E-038  5.74068E-020  1.00000E-040  3.74103E-021  3.00106E-011  2.92869E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.44466E-001  1.54214E+019  2.55720E+002  1.00000E+005  3.69953E-004  1.00000E-040  1.00000E-040  8.92514E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.16925E-021  1.00000E-040  1.00000E-040  6.78382E-018  4.97403E-007  1.01260E-003  2.32128E-013  8.91718E-014  2.11798E-004  2.22952E-008  2.82848E-004  2.93506E-019  8.47776E-011  1.00000E-040  8.05823E-040  2.31527E-026  9.17235E-017  7.84705E-007  7.53257E-021  1.99368E-021  6.51727E-033  6.20464E-033  1.00000E-040  1.93471E-014  5.47226E-018  6.02636E-015  1.29734E-011  2.30897E-033  1.74290E-039  2.21181E-010  3.14680E-032  4.58921E-011  2.18322E-022  9.98491E-001  3.04323E-019  1.84641E-013  5.24338E-011  1.40558E-038  5.23285E-037  2.97788E-024  8.94928E-020  2.92407E-013  2.58255E-013  1.91809E-011  7.72615E-015  2.56435E-007  1.51982E-009  1.29464E-008  1.00960E-012  3.01080E-014  6.36276E-020  6.55531E-013  3.40314E-011  3.08643E-011  5.91485E-030  4.42486E-034  1.00000E-040  6.37435E-030  5.20474E-013  9.68830E-025  1.21676E-017  1.40440E-014  2.98304E-021  4.76664E-020  1.27612E-031  8.31023E-033  2.80037E-033  6.53683E-040  8.18526E-029  1.85512E-033  1.63997E-031  1.07355E-020  2.89569E-015  3.87229E-031  1.27444E-030  1.28815E-021  7.94578E-014  2.33483E-015  3.87699E-015  1.34429E-022  9.37604E-011  1.00000E-040  2.30864E-017  2.26373E-036  1.03676E-021  2.32287E-022  1.14927E-014  8.75867E-021  6.64084E-011  5.07317E-020  2.06375E-021  2.14519E-013  5.10726E-014  1.29817E-036  5.31967E-038  5.42864E-020  1.00000E-040  1.89828E-021  2.94988E-011  2.83708E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.77402E-001  1.39037E+019  2.48697E+002  1.00000E+005  2.78040E-004  1.00000E-040  1.00000E-040  3.85121E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.06220E-021  1.00000E-040  1.00000E-040  7.69877E-018  4.97586E-007  5.94098E-004  2.76808E-013  1.47485E-013  2.11875E-004  2.04097E-008  2.82971E-004  2.85329E-019  6.97815E-011  1.00000E-040  9.81985E-040  2.51351E-026  8.97238E-017  7.82451E-007  9.29429E-021  1.12160E-021  3.63616E-033  1.69723E-033  1.00000E-040  5.80089E-015  7.43496E-018  6.89141E-015  1.03833E-011  2.20342E-033  1.21171E-039  2.00136E-010  1.82862E-032  4.56606E-011  5.26663E-022  9.98909E-001  3.44054E-019  1.30600E-013  2.81973E-011  3.43211E-038  5.95656E-037  2.24910E-024  5.67547E-020  5.81132E-013  2.16362E-013  1.81200E-011  6.82657E-015  2.52743E-007  1.28379E-009  1.79818E-008  1.27566E-012  3.67188E-014  6.25701E-020  1.19682E-012  3.75051E-011  2.22229E-011  7.79586E-030  5.23308E-034  1.04301E-035  8.69834E-030  2.15935E-013  9.69199E-025  1.17986E-017  1.36296E-014  4.39919E-021  3.83901E-020  1.28207E-031  1.85650E-033  2.80275E-033  3.11079E-040  1.13495E-028  2.08926E-033  1.15717E-031  8.28078E-021  2.08389E-015  3.82168E-031  1.68316E-030  1.73374E-021  1.23452E-013  2.53059E-015  4.45237E-015  7.05815E-023  7.74152E-011  1.00000E-040  5.34535E-017  2.34535E-036  1.56872E-021  1.41718E-022  1.14976E-014  4.54559E-021  3.59160E-011  5.09884E-020  3.40764E-021  8.49224E-014  5.10997E-014  5.39696E-037  4.62895E-038  4.43681E-020  1.00000E-040  8.60420E-022  2.90495E-011  2.73649E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.17074E-001  1.25125E+019  2.41427E+002  1.00000E+005  1.82367E-004  1.00000E-040  1.00000E-040  1.31284E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.57882E-022  1.00000E-040  1.00000E-040  8.15202E-018  4.97710E-007  3.26263E-004  3.15857E-013  2.35088E-013  2.11919E-004  1.86197E-008  2.83050E-004  2.57811E-019  5.48595E-011  1.00000E-040  1.03529E-039  2.42767E-026  8.21546E-017  7.80518E-007  1.14702E-020  6.09268E-022  2.01655E-033  4.32912E-034  1.00000E-040  2.21449E-015  1.11651E-017  7.99903E-015  9.09588E-012  1.93302E-033  9.58242E-040  1.80606E-010  9.52272E-033  4.54597E-011  1.72276E-021  9.99177E-001  3.29142E-019  7.58799E-014  1.41176E-011  2.22898E-037  7.13515E-037  1.83404E-024  3.35171E-020  1.07634E-012  1.41202E-013  1.62414E-011  5.73974E-015  2.48851E-007  1.01908E-009  2.41217E-008  1.60977E-012  4.10762E-014  9.12192E-020  2.09507E-012  4.02947E-011  1.00449E-011  1.12698E-029  5.93767E-034  5.63742E-035  1.10606E-029  6.54126E-014  9.69414E-025  1.13081E-017  1.28516E-014  6.72899E-021  2.98634E-020  1.28965E-031  3.44819E-034  2.80563E-033  1.41032E-040  1.52207E-028  2.18800E-033  7.25455E-032  5.82389E-021  1.41697E-015  3.32520E-031  2.31983E-030  2.28264E-021  1.78294E-013  2.60321E-015  5.00205E-015  3.27650E-023  6.32307E-011  1.00000E-040  1.26908E-016  2.54470E-036  2.31000E-021  8.01756E-023  1.15007E-014  2.13571E-021  1.89408E-011  5.39525E-020  5.40680E-021  2.42241E-014  5.11151E-014  2.13020E-037  3.83354E-038  3.18447E-020  1.00000E-040  3.62253E-022  2.86622E-011  2.64174E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.62903E-001  1.12332E+019  2.33993E+002  1.00000E+005  1.08484E-004  1.00000E-040  1.00000E-040  1.53324E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.04238E-021  1.00000E-040  1.00000E-040  8.13396E-018  4.97786E-007  1.69004E-004  3.47430E-013  3.60082E-013  2.11939E-004  1.70096E-008  2.83098E-004  2.19911E-019  4.15918E-011  1.00000E-040  1.04751E-039  2.12183E-026  7.10852E-017  7.78852E-007  1.42430E-020  3.36962E-022  1.16273E-033  1.14331E-034  1.00000E-040  1.31057E-015  1.61929E-017  9.60453E-015  8.56581E-012  1.60995E-033  7.60383E-040  1.62978E-010  4.48237E-033  4.52872E-011  5.33510E-020  9.99334E-001  2.66016E-019  3.61181E-014  6.62426E-012  4.35635E-036  9.41820E-037  1.69164E-024  1.93417E-020  1.87567E-012  7.26672E-014  1.37991E-011  4.61478E-015  2.44837E-007  7.60114E-010  3.10912E-008  2.01406E-012  4.21327E-014  1.69783E-019  3.45823E-012  4.20496E-011  4.70068E-012  1.65386E-029  6.49448E-034  2.86755E-035  1.30956E-029  1.43986E-014  9.69514E-025  1.07805E-017  1.18511E-014  9.32378E-021  2.28794E-020  1.29929E-031  5.96496E-035  2.80954E-033  1.00000E-040  1.96376E-028  2.16995E-033  4.27507E-032  3.84410E-021  9.30504E-016  2.59466E-031  3.46868E-030  3.01728E-021  2.34070E-013  2.57281E-015  5.47850E-015  2.16361E-023  5.20392E-011  1.00000E-040  3.10993E-016  3.05099E-036  2.94618E-021  4.27104E-023  1.15026E-014  9.63622E-022  9.87170E-012  5.94480E-020  8.22214E-021  4.94708E-015  5.11236E-014  8.52348E-038  3.05320E-038  2.03863E-020  1.00000E-040  1.44429E-022  2.83317E-011  2.56571E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.14398E-001  1.00462E+019  2.26671E+002  9.61769E+004  5.70613E-005  1.00000E-040  1.00000E-040  8.96034E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.53615E-020  1.00000E-040  1.00000E-040  7.99016E-018  4.97824E-007  8.50763E-005  3.77413E-013  5.34966E-013  2.11944E-004  1.56133E-008  2.83125E-004  1.83750E-019  3.10575E-011  1.00000E-040  1.25326E-039  1.78850E-026  6.03144E-017  7.77353E-007  1.78054E-020  1.94493E-022  7.06359E-034  3.27293E-035  1.00000E-040  1.02283E-015  2.15738E-017  1.19030E-014  8.41197E-012  1.34338E-033  5.91653E-040  1.47343E-010  2.00552E-033  4.51356E-011  8.62134E-019  9.99418E-001  1.96276E-019  1.51841E-014  2.95974E-012  1.10496E-034  1.34428E-036  1.72485E-024  1.14303E-020  3.07254E-012  3.25496E-014  1.12886E-011  3.62887E-015  2.40719E-007  5.41351E-010  3.86466E-008  2.45528E-012  4.08775E-014  3.39718E-019  5.31975E-012  4.28579E-011  3.10941E-012  2.24719E-029  7.02180E-034  1.00000E-040  1.47475E-029  2.51920E-015  9.69539E-025  1.02851E-017  1.08470E-014  9.91088E-021  1.76423E-020  1.31164E-031  1.12779E-035  2.81527E-033  1.00000E-040  2.44643E-028  2.11448E-033  2.54964E-032  2.48753E-021  6.14062E-016  1.94176E-031  5.48832E-030  4.09546E-021  2.74380E-013  2.50919E-015  5.83101E-015  7.24921E-023  4.35714E-011  1.00000E-040  7.81610E-016  4.02641E-036  2.64999E-021  2.23926E-023  1.15036E-014  4.45082E-022  5.23695E-012  6.76045E-020  1.20658E-020  7.85171E-016  5.11280E-014  3.84292E-038  2.38649E-038  1.23613E-020  1.00000E-040  5.71739E-023  2.80432E-011  2.51259E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
