alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00869E+000  2.56797E+019  2.84501E+002  1.00000E+005  5.69550E-004  1.00000E-040  1.00000E-040  7.08118E-031  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.99108E-024  1.00000E-040  1.00000E-040  7.15959E-022  4.95692E-007  5.35764E-003  4.27172E-014  6.03809E-017  3.16252E-001  3.70756E-008  2.81553E-004  7.99314E-023  1.74597E-010  1.00000E-040  1.00000E-040  8.39669E-034  2.09155E-020  8.01039E-007  4.50056E-029  7.51639E-027  1.79166E-037  1.65640E-036  1.00000E-040  8.22038E-012  1.01092E-017  6.26644E-019  3.49686E-011  1.00000E-040  1.00000E-040  3.34097E-010  5.49412E-035  4.96922E-011  5.84144E-032  6.78107E-001  6.13443E-024  3.22870E-014  5.52287E-010  1.00000E-040  1.00000E-040  2.79409E-027  8.02897E-023  1.57575E-012  4.29048E-016  1.23981E-011  9.39062E-015  2.70648E-007  1.47109E-009  4.53427E-008  1.37191E-011  2.24171E-013  2.87000E-019  2.06206E-012  1.78555E-011  2.65487E-011  1.27627E-027  1.00224E-032  1.00000E-040  1.84867E-027  2.52617E-013  2.03104E-019  3.28435E-021  9.98399E-018  1.37817E-025  1.96507E-023  2.82699E-038  2.77269E-036  8.66150E-028  4.31888E-036  3.39684E-026  1.00000E-040  2.38900E-038  9.34920E-024  1.10851E-016  4.33296E-035  6.53766E-037  5.47437E-023  1.28311E-017  5.70065E-019  3.86723E-015  3.48420E-025  6.49201E-011  1.00000E-040  4.60015E-019  2.36847E-040  7.60531E-026  1.38698E-028  3.96743E-023  1.63444E-023  2.42562E-011  1.40832E-023  1.93978E-022  1.46995E-013  2.22179E-014  1.00000E-040  1.35853E-035  1.12631E-023  1.00000E-040  4.44959E-022  3.64691E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.90964E-001  2.32057E+019  2.78088E+002  1.00000E+005  7.47827E-004  1.00000E-040  1.00000E-040  8.25991E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.62267E-024  1.00000E-040  1.00066E-040  6.68084E-022  4.96430E-007  4.04873E-003  4.09766E-014  7.10829E-017  3.16668E-001  3.60421E-008  2.81926E-004  5.53979E-023  1.12005E-010  1.00000E-040  1.00000E-040  6.45535E-034  1.76075E-020  8.00672E-007  3.16966E-029  7.45502E-027  1.00000E-040  1.00000E-040  1.00000E-040  4.52041E-012  5.52086E-018  4.47242E-019  7.23537E-011  1.00000E-040  1.00000E-040  3.34290E-010  3.10940E-035  4.96378E-011  9.39743E-032  6.79000E-001  8.09144E-024  8.72558E-014  5.28162E-010  1.00000E-040  1.00000E-040  2.70491E-027  8.04677E-023  9.72955E-014  7.48151E-016  1.19399E-011  7.58697E-015  2.70985E-007  1.42165E-009  4.51555E-008  2.12578E-012  7.86306E-014  1.83009E-019  1.10195E-012  2.30544E-011  2.81596E-011  7.14698E-028  1.01977E-032  1.00000E-040  1.40496E-027  6.61730E-013  2.03371E-019  3.37001E-021  9.31688E-018  1.55297E-025  1.91596E-023  2.83071E-038  2.70513E-036  8.67290E-028  3.48834E-036  3.22944E-026  1.00000E-040  2.15922E-038  5.46124E-024  6.52442E-016  3.10686E-035  7.75008E-037  6.65793E-023  9.92690E-018  4.33270E-019  4.71323E-015  2.29311E-025  6.59254E-011  1.00000E-040  7.12014E-019  2.43734E-040  8.56106E-026  1.33021E-028  3.97265E-023  1.78605E-023  2.66237E-010  2.90099E-023  2.47926E-022  3.08626E-013  2.23596E-014  1.00000E-040  1.39497E-035  7.04565E-024  1.00000E-040  4.32401E-022  3.62752E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.85229E-001  2.08436E+019  2.72860E+002  1.00000E+005  5.34239E-004  1.00000E-040  1.00000E-040  8.59434E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.06168E-024  1.00000E-040  1.00157E-040  7.13431E-022  4.96887E-007  3.13459E-003  4.73316E-014  8.60086E-017  3.16959E-001  3.48253E-008  2.82187E-004  2.56868E-023  4.36599E-011  1.00000E-040  1.00000E-040  7.51754E-034  1.86310E-020  8.00236E-007  2.60099E-029  7.35072E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.48114E-012  3.60519E-018  3.69588E-019  5.55398E-011  1.00000E-040  1.00000E-040  3.34372E-010  2.28773E-035  4.95844E-011  1.69609E-031  6.79623E-001  1.02324E-023  1.09344E-013  5.07568E-010  1.00000E-040  1.00000E-040  2.56478E-027  7.83099E-023  1.33301E-014  1.02384E-015  1.02683E-011  6.75050E-015  2.71210E-007  1.28185E-009  4.51976E-008  4.97917E-013  2.63457E-014  1.24186E-019  5.73880E-013  2.20749E-011  2.83450E-011  4.68041E-028  1.06004E-032  1.00000E-040  1.20596E-027  8.90666E-013  2.03558E-019  3.53033E-021  8.36918E-018  1.92135E-025  1.90093E-023  2.83332E-038  2.60419E-036  8.68085E-028  2.46862E-036  3.12173E-026  1.00000E-040  2.30741E-038  4.84517E-024  2.78128E-015  3.40991E-035  9.22693E-037  9.44535E-023  8.78528E-018  1.59864E-019  5.31255E-015  1.69719E-025  6.69617E-011  1.00000E-040  1.20893E-018  2.91254E-040  1.12489E-025  1.24736E-028  3.97630E-023  1.87256E-023  6.26428E-010  2.64779E-023  3.12370E-022  4.23247E-013  2.24704E-014  1.00000E-040  1.42657E-035  6.05669E-024  1.00000E-040  4.12327E-022  3.61060E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.90492E-001  1.86667E+019  2.67922E+002  1.00000E+005  4.82672E-004  1.00000E-040  1.00000E-040  5.89095E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.61476E-024  1.00000E-040  1.00237E-040  7.72768E-022  4.97329E-007  2.34229E-003  5.16273E-014  1.06040E-016  3.17211E-001  3.37025E-008  2.82413E-004  1.62762E-023  2.39968E-011  1.00000E-040  1.00000E-040  7.90482E-034  1.87812E-020  7.99938E-007  1.99750E-029  7.21792E-027  1.00000E-040  3.26026E-040  1.00000E-040  1.38196E-012  2.24719E-018  2.94050E-019  4.27217E-011  1.00000E-040  1.00000E-040  3.34436E-010  1.60433E-035  4.95423E-011  2.50218E-031  6.80163E-001  1.11739E-023  1.12255E-013  4.90433E-010  1.00000E-040  1.00000E-040  2.39762E-027  7.67538E-023  7.10578E-015  1.28579E-015  9.70075E-012  5.51429E-015  2.71399E-007  1.13565E-009  4.58093E-008  2.86904E-013  1.77645E-014  8.49278E-020  3.26898E-013  2.09731E-011  2.66268E-011  3.68026E-028  1.06896E-032  1.00000E-040  1.02162E-027  8.88861E-013  2.03720E-019  3.77653E-021  7.46258E-018  2.42245E-025  1.83064E-023  2.83558E-038  2.48342E-036  8.68775E-028  1.75445E-036  3.07709E-026  1.00000E-040  2.35098E-038  5.00369E-024  4.74503E-015  3.38322E-035  1.09500E-036  1.25144E-022  7.47518E-018  1.28007E-019  6.14844E-015  1.33894E-025  6.74442E-011  1.00000E-040  1.91169E-018  3.23448E-040  1.39781E-025  1.15039E-028  3.97946E-023  1.91387E-023  8.11023E-010  2.28295E-023  3.92217E-022  4.43739E-013  2.25435E-014  1.00000E-040  1.43362E-035  4.84590E-024  1.00000E-040  3.87202E-022  3.59658E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.05654E-001  1.67377E+019  2.62087E+002  1.00000E+005  4.55203E-004  1.00000E-040  1.00000E-040  2.76565E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.93316E-024  1.00000E-040  1.00310E-040  8.13925E-022  4.97812E-007  1.61608E-003  5.34795E-014  1.30749E-016  3.17441E-001  3.27514E-008  2.82620E-004  1.64875E-023  2.16471E-011  1.00000E-040  1.00000E-040  7.12173E-034  1.72424E-020  7.99797E-007  1.47725E-029  7.06688E-027  3.79571E-037  3.87052E-036  1.00000E-040  7.90978E-013  1.36887E-018  2.44265E-019  3.31461E-011  1.00000E-040  1.00000E-040  3.34496E-010  9.67160E-036  4.95129E-011  3.37321E-031  6.80658E-001  1.11419E-023  1.08765E-013  4.76499E-010  1.00000E-040  1.00000E-040  2.21874E-027  7.58266E-023  8.29403E-015  1.56890E-015  9.33971E-012  4.11590E-015  2.71566E-007  1.00533E-009  4.70255E-008  2.87278E-013  1.67147E-014  5.21277E-020  2.42433E-013  2.05074E-011  2.29647E-011  3.06012E-028  1.05107E-032  1.00000E-040  8.54036E-028  7.98322E-013  2.03868E-019  4.11744E-021  6.64985E-018  3.13592E-025  1.71454E-023  2.83766E-038  2.35226E-036  8.69407E-028  1.23593E-036  3.08670E-026  1.00000E-040  2.27250E-038  5.26161E-024  4.74184E-015  2.83783E-035  8.38257E-037  1.62896E-022  6.74430E-018  1.65671E-019  7.38859E-015  1.02746E-025  6.72121E-011  1.00000E-040  3.19745E-018  3.44447E-040  1.72926E-025  1.04655E-028  3.98235E-023  1.94304E-023  8.00917E-010  1.90209E-023  4.90315E-022  4.15956E-013  2.25893E-014  1.00000E-040  1.43388E-035  3.33835E-024  1.00000E-040  3.58840E-022  3.58544E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.29692E-001  1.50029E+019  2.55720E+002  1.00000E+005  3.75425E-004  1.00000E-040  1.00000E-040  1.41434E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.31244E-024  1.00000E-040  1.00368E-040  8.52310E-022  4.98278E-007  1.03703E-003  5.41263E-014  1.61874E-016  3.17625E-001  3.19587E-008  2.82785E-004  2.10471E-023  2.48226E-011  1.00000E-040  1.00000E-040  5.90209E-034  1.50212E-020  7.99707E-007  1.09656E-029  6.90424E-027  5.12296E-037  5.41622E-036  1.00000E-040  4.67535E-013  8.44909E-019  2.16458E-019  2.60248E-011  1.00000E-040  1.00000E-040  3.34522E-010  5.28304E-036  4.94905E-011  4.51196E-031  6.81053E-001  1.08387E-023  1.02721E-013  4.65275E-010  1.00000E-040  1.00000E-040  2.04058E-027  7.52544E-023  1.41228E-014  1.88951E-015  9.09949E-012  3.01675E-015  2.71689E-007  9.06948E-010  4.87910E-008  3.50944E-013  1.73362E-014  3.37548E-020  2.76884E-013  2.11709E-011  1.87202E-011  2.57199E-028  1.02228E-032  1.00000E-040  7.15388E-028  6.81537E-013  2.03986E-019  4.55924E-021  5.94003E-018  4.26942E-025  1.57972E-023  2.83933E-038  2.21827E-036  8.69911E-028  8.52668E-037  3.14078E-026  1.00000E-040  2.14421E-038  5.56960E-024  3.67613E-015  2.16732E-035  1.70954E-036  2.12491E-022  6.56876E-018  2.50821E-019  9.04911E-015  7.67215E-026  6.63349E-011  1.00000E-040  5.65904E-018  3.61623E-040  2.18165E-025  9.42925E-029  3.98466E-023  1.96694E-023  6.45154E-010  1.57697E-023  6.11670E-022  3.68591E-013  2.26165E-014  1.00000E-040  1.43336E-035  2.09162E-024  1.00000E-040  3.29049E-022  3.57653E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.61698E-001  1.34463E+019  2.48697E+002  1.00000E+005  2.83960E-004  5.47976E-039  1.00000E-040  5.94050E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.89680E-025  1.00000E-040  1.00411E-040  8.98991E-022  4.98688E-007  6.11141E-004  5.43282E-014  2.00311E-016  3.17761E-001  3.12805E-008  2.82907E-004  2.89203E-023  3.06770E-011  1.00000E-040  1.00000E-040  4.58642E-034  1.24960E-020  7.99622E-007  8.32955E-030  6.73480E-027  1.00000E-040  8.22109E-040  1.00000E-040  2.85447E-013  5.37775E-019  2.10167E-019  2.07058E-011  1.00000E-040  1.00000E-040  3.34507E-010  2.59558E-036  4.94723E-011  6.27599E-031  6.81343E-001  1.05025E-023  9.46765E-014  4.56256E-010  1.00000E-040  1.00000E-040  1.87172E-027  7.47985E-023  3.22294E-014  2.24461E-015  8.98813E-012  2.21693E-015  2.71767E-007  8.30854E-010  5.10275E-008  4.71250E-013  1.83857E-014  2.67364E-020  4.44562E-013  2.29952E-011  1.39325E-011  2.18323E-028  9.98685E-033  1.00000E-040  6.07704E-028  5.53491E-013  2.04073E-019  5.10852E-021  5.32774E-018  6.24749E-025  1.44604E-023  2.84057E-038  2.08653E-036  8.70282E-028  5.64200E-037  3.22940E-026  1.00000E-040  1.99578E-038  5.95282E-024  2.44668E-015  1.53160E-035  1.00000E-040  2.85515E-022  7.11978E-018  4.10029E-019  1.10935E-014  5.59448E-026  6.49611E-011  1.00000E-040  1.10160E-017  3.82974E-040  2.90129E-025  8.44307E-029  3.98636E-023  1.98897E-023  4.12243E-010  1.32496E-023  7.60539E-022  3.10712E-013  2.26321E-014  1.00000E-040  1.43315E-035  1.21476E-024  1.00000E-040  2.99362E-022  3.56935E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.00897E-001  1.20272E+019  2.41427E+002  1.00000E+005  1.87100E-004  1.81719E-036  1.00000E-040  1.96883E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.25290E-025  1.00000E-040  1.00439E-040  9.72817E-022  4.98999E-007  3.37225E-004  5.52769E-014  2.48845E-016  3.17848E-001  3.06553E-008  2.82986E-004  3.81156E-023  3.60953E-011  1.00000E-040  1.00000E-040  3.55751E-034  1.03087E-020  7.99506E-007  6.62506E-030  6.56164E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.79550E-013  3.60160E-019  2.23731E-019  1.67058E-011  1.00000E-040  1.00000E-040  3.34445E-010  1.20973E-036  4.94559E-011  9.22103E-031  6.81530E-001  1.02307E-023  8.44841E-014  4.48981E-010  1.00000E-040  1.00000E-040  1.71843E-027  7.44228E-023  1.00790E-013  2.61806E-015  8.94840E-012  1.65134E-015  2.71798E-007  7.57567E-010  5.36427E-008  6.57597E-013  1.86563E-014  2.97129E-020  8.11234E-013  2.59902E-011  8.33179E-012  1.93250E-028  9.94680E-033  1.00000E-040  5.29246E-028  4.15631E-013  2.04129E-019  5.77316E-021  4.80377E-018  9.84657E-025  1.33259E-023  2.84138E-038  1.96024E-036  8.70520E-028  3.54922E-037  3.34384E-026  1.00000E-040  1.87955E-038  6.55240E-024  1.49195E-015  1.07052E-035  2.73859E-036  3.99603E-022  8.55550E-018  6.60140E-019  1.33638E-014  4.05096E-026  6.32542E-011  1.00000E-040  2.32739E-017  4.17132E-040  4.18032E-025  7.54419E-029  3.98744E-023  2.01193E-023  1.84570E-010  1.15024E-023  9.43448E-022  2.43378E-013  2.26406E-014  1.00000E-040  1.43071E-035  6.91086E-025  1.00000E-040  2.70982E-022  3.56345E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.46637E-001  1.07297E+019  2.33993E+002  1.00000E+005  1.11854E-004  3.86965E-034  1.00000E-040  8.62448E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.54350E-025  1.00000E-040  1.00455E-040  1.04882E-021  4.99187E-007  1.75517E-004  5.82603E-014  3.10163E-016  3.17899E-001  3.00242E-008  2.83032E-004  3.73196E-023  3.11639E-011  1.00000E-040  1.00000E-040  2.88220E-034  8.63442E-021  7.99364E-007  5.63863E-030  6.38800E-027  1.05931E-036  1.14314E-035  1.00000E-040  1.16375E-013  2.59084E-019  2.65633E-019  1.36959E-011  1.00000E-040  1.00000E-040  3.34345E-010  5.47307E-037  4.94413E-011  1.44723E-030  6.81640E-001  9.92558E-024  6.90055E-014  4.43098E-010  1.00000E-040  1.00000E-040  1.58487E-027  7.40995E-023  3.84329E-013  2.96751E-015  8.25971E-012  1.26180E-015  2.71793E-007  6.55040E-010  5.65512E-008  8.53442E-013  1.56818E-014  4.39523E-020  1.48985E-012  3.00382E-011  3.09415E-012  1.88972E-028  1.02739E-032  1.00000E-040  4.79422E-028  2.69119E-013  2.04162E-019  6.56442E-021  4.35795E-018  1.64234E-024  1.25437E-023  2.84188E-038  1.84159E-036  8.70660E-028  2.09657E-037  3.47615E-026  1.00000E-040  1.83101E-038  7.65695E-024  8.86025E-016  7.74498E-036  4.20644E-036  5.96833E-022  1.15990E-017  7.52037E-019  1.56046E-014  2.89765E-026  6.13879E-011  1.00000E-040  5.45000E-017  4.79143E-040  6.93491E-025  6.75651E-029  3.98808E-023  2.04032E-023  4.65934E-011  1.05612E-023  1.16709E-021  1.69145E-013  2.26450E-014  1.00000E-040  1.42314E-035  4.02217E-025  1.00000E-040  2.44804E-022  3.55857E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.98360E-001  9.53371E+018  2.26671E+002  9.61769E+004  5.91347E-005  4.76113E-032  1.00000E-040  2.26749E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.25101E-024  1.00000E-040  1.00464E-040  1.11241E-021  4.99266E-007  8.87288E-005  6.34989E-014  3.90076E-016  3.17927E-001  2.93793E-008  2.83058E-004  2.30918E-023  1.68227E-011  1.00000E-040  1.00000E-040  2.46860E-034  7.42387E-021  7.99200E-007  5.13170E-030  6.21244E-027  2.09753E-040  2.04271E-039  1.00000E-040  7.81627E-014  1.99695E-019  3.45836E-019  1.14362E-011  1.00000E-040  1.00000E-040  3.34213E-010  2.46372E-037  4.94283E-011  2.33688E-030  6.81700E-001  9.37599E-024  4.89418E-014  4.38283E-010  1.00000E-040  1.00000E-040  1.47265E-027  7.41925E-023  1.04980E-012  3.23627E-015  6.73588E-012  9.87251E-016  2.71761E-007  5.26736E-010  5.98024E-008  1.04119E-012  1.11904E-014  7.43972E-020  2.60388E-012  3.53255E-011  1.23794E-012  2.09768E-028  1.09346E-032  1.00000E-040  4.48954E-028  1.44195E-013  2.04179E-019  7.51658E-021  3.98734E-018  2.80838E-024  1.21426E-023  2.84218E-038  1.73028E-036  8.70735E-028  1.18208E-037  3.62795E-026  1.00000E-040  1.85620E-038  9.45752E-024  5.30151E-016  5.89095E-036  5.17922E-036  9.41101E-022  1.73846E-017  4.74013E-019  1.77332E-014  2.06981E-026  5.95119E-011  1.00000E-040  1.36837E-016  5.78122E-040  1.37281E-024  6.09039E-029  3.98843E-023  2.08505E-023  8.93110E-012  1.02344E-023  1.44413E-021  1.01894E-013  2.26472E-014  1.00000E-040  1.41105E-035  2.43048E-025  1.00000E-040  2.21096E-022  3.55449E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
