alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00871E+000  2.56418E+019  2.84929E+002  1.00000E+005  6.18652E-004  1.00000E-040  1.00000E-040  5.19711E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.06353E-021  1.00000E-040  1.00000E-040  3.64783E-019  4.95681E-007  5.50936E-003  7.44717E-014  4.22765E-015  1.05446E-003  3.23797E-008  2.81547E-004  4.54144E-020  1.95662E-010  1.00000E-040  1.00000E-040  2.34120E-028  1.11102E-017  8.01021E-007  2.91955E-023  6.21874E-022  1.74884E-034  1.52444E-033  1.00000E-040  5.41198E-012  5.14410E-017  2.13811E-016  2.78327E-011  2.00095E-037  1.00000E-040  3.34089E-010  2.89798E-032  4.83988E-011  2.88052E-026  9.93153E-001  4.93069E-021  6.94416E-014  4.89920E-010  1.00000E-040  1.20912E-040  2.95069E-025  8.59269E-021  1.95600E-012  3.44104E-014  1.51304E-011  1.18025E-014  2.70642E-007  1.41820E-009  1.02613E-008  9.17642E-012  3.13351E-014  3.51348E-019  2.87649E-012  1.71016E-011  3.13678E-011  3.42345E-030  4.76877E-035  5.50563E-035  1.73459E-030  4.20366E-013  1.88126E-024  4.06362E-019  2.36796E-015  9.36218E-023  2.67377E-021  7.46951E-032  7.34623E-033  1.25754E-033  1.04530E-039  2.18255E-029  2.93250E-037  1.34220E-033  9.30205E-022  2.52352E-016  2.76641E-032  4.83251E-033  1.43240E-022  4.44115E-015  2.67253E-016  2.96474E-015  1.37513E-022  9.88486E-011  1.00000E-040  7.51509E-019  4.33123E-038  3.41901E-023  1.80852E-023  1.09585E-015  1.54104E-021  3.02576E-011  5.84143E-021  2.96972E-022  2.13766E-013  3.38469E-014  3.36825E-038  5.61322E-039  1.11742E-020  1.00000E-040  8.05326E-021  3.40174E-011  4.29805E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.95809E-001  2.33047E+019  2.78412E+002  1.00000E+005  8.08478E-004  1.00000E-040  1.00000E-040  6.08240E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.73395E-021  1.00000E-040  1.00000E-040  3.53655E-019  4.96314E-007  4.14939E-003  7.54136E-014  5.10987E-015  1.05590E-003  3.10454E-008  2.81936E-004  2.79101E-020  1.09588E-010  1.00000E-040  1.00000E-040  1.98021E-028  9.75672E-018  7.98661E-007  7.89376E-023  6.45334E-022  1.90179E-034  1.44841E-033  1.00000E-040  2.34214E-012  2.33248E-017  2.07891E-016  5.86118E-011  3.65428E-037  1.00000E-040  3.27010E-010  1.71169E-032  4.81861E-011  6.52874E-026  9.94511E-001  8.19527E-021  1.52613E-013  4.07384E-010  1.00000E-040  2.51892E-040  2.76949E-025  8.32934E-021  6.41025E-014  5.11208E-014  1.42596E-011  1.01230E-014  2.69941E-007  1.51525E-009  1.05764E-008  1.35762E-012  1.81304E-014  2.49134E-019  1.18049E-012  2.15755E-011  3.74772E-011  2.04864E-030  5.61256E-035  1.00000E-040  1.47357E-030  1.11955E-012  1.88383E-024  4.04542E-019  2.22846E-015  1.01384E-022  2.49474E-021  7.48081E-032  5.50213E-033  1.25926E-033  7.76505E-040  2.18322E-029  5.49856E-037  1.23742E-033  5.86199E-022  1.67074E-015  2.17984E-032  5.72579E-033  1.86310E-022  2.98853E-015  1.57519E-016  3.55032E-015  8.82442E-023  1.01397E-010  1.00000E-040  1.23995E-018  4.56849E-038  3.99821E-023  1.49033E-023  1.09735E-015  1.53135E-021  3.06704E-010  1.29440E-020  3.87163E-022  4.90357E-013  3.40612E-014  2.45534E-038  5.64650E-039  7.84164E-021  1.00000E-040  6.26411E-021  3.35294E-011  4.30343E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.94054E-001  2.10045E+019  2.73813E+002  1.00000E+005  5.15907E-004  1.00000E-040  1.00000E-040  6.38466E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.79210E-021  1.00000E-040  1.00000E-040  4.45834E-019  4.96722E-007  3.30243E-003  9.39713E-014  6.86309E-015  1.05679E-003  2.95839E-008  2.82180E-004  2.66985E-020  8.54946E-011  1.00000E-040  1.00000E-040  2.74600E-028  1.13362E-017  7.96277E-007  1.28429E-022  6.45843E-022  1.85402E-034  1.26213E-033  1.00000E-040  9.67670E-013  1.17076E-017  2.17117E-016  3.88946E-011  6.85310E-037  1.00000E-040  3.19297E-010  1.43107E-032  4.79760E-011  1.48393E-025  9.95357E-001  1.20937E-020  1.79743E-013  3.30705E-010  1.00000E-040  4.27899E-040  2.48446E-025  7.64043E-021  1.51155E-014  6.93284E-014  1.47464E-011  9.85073E-015  2.68991E-007  1.59960E-009  1.16685E-008  4.09110E-013  1.32504E-014  1.92012E-019  4.60188E-013  2.20821E-011  4.06571E-011  1.57455E-030  6.23172E-035  1.00000E-040  1.55970E-030  1.29607E-012  1.88543E-024  4.03118E-019  2.11750E-015  1.22243E-022  2.36766E-021  7.48938E-032  3.67483E-033  1.26033E-033  5.03544E-040  2.37460E-029  9.51135E-037  1.35280E-033  5.51570E-022  5.54549E-015  2.86967E-032  7.12279E-033  2.80013E-022  2.22187E-015  1.68512E-016  3.91476E-015  7.32293E-023  1.03573E-010  1.00000E-040  2.13858E-018  5.51134E-038  5.44782E-023  1.29018E-023  1.09828E-015  1.43082E-021  4.66181E-010  1.09667E-020  5.29124E-022  5.91260E-013  3.42261E-014  2.12930E-038  5.66325E-039  8.15798E-021  1.00000E-040  4.64839E-021  3.30738E-011  4.30567E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.02335E-001  1.89383E+019  2.68608E+002  1.00000E+005  5.26970E-004  1.00000E-040  1.00000E-040  2.00696E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.60791E-021  1.00000E-040  1.00000E-040  5.59533E-019  4.97209E-007  2.44993E-003  1.13411E-013  9.97595E-015  1.05768E-003  2.81464E-008  2.82426E-004  3.23050E-020  8.65330E-011  1.00000E-040  1.00000E-040  3.46312E-028  1.24141E-017  7.94315E-007  1.90526E-022  6.08530E-022  1.63791E-034  9.46190E-034  1.00000E-040  3.84787E-013  5.32067E-018  2.55993E-016  2.56260E-011  1.03556E-036  1.00000E-040  3.11152E-010  1.08393E-032  4.77924E-011  3.27051E-025  9.96208E-001  1.67111E-020  1.92881E-013  2.61205E-010  3.14246E-040  6.68050E-040  2.13497E-025  6.76106E-021  1.44954E-014  9.31400E-014  1.56793E-011  8.68916E-015  2.67925E-007  1.60698E-009  1.40485E-008  3.28030E-013  1.37479E-014  1.23594E-019  1.94996E-013  2.19215E-011  3.75921E-011  1.38581E-030  7.09651E-035  1.00000E-040  1.81057E-030  1.22870E-012  1.88704E-024  4.00125E-019  2.03096E-015  1.55324E-022  2.18342E-021  7.49933E-032  2.12001E-033  1.26143E-033  3.14270E-040  2.83561E-029  1.45084E-036  1.37340E-033  5.29999E-022  7.49520E-015  3.40505E-032  9.23973E-033  4.13624E-022  1.79754E-015  2.30895E-016  4.56824E-015  6.08144E-023  1.04200E-010  1.00000E-040  3.84040E-018  6.25113E-038  7.37609E-023  1.09954E-023  1.09922E-015  1.23859E-021  4.40004E-010  8.98550E-021  7.72276E-022  5.75763E-013  3.43437E-014  1.70838E-038  5.60526E-039  7.99705E-021  1.00000E-040  3.16207E-021  3.26671E-011  4.30691E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.19704E-001  1.70789E+019  2.62809E+002  1.00000E+005  4.83279E-004  1.00000E-040  1.00000E-040  9.58499E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.11650E-022  1.00000E-040  1.00000E-040  6.77153E-019  4.97697E-007  1.69053E-003  1.33603E-013  1.52322E-014  1.05848E-003  2.67149E-008  2.82644E-004  3.69882E-020  8.44760E-011  1.00000E-040  1.00000E-040  4.01365E-028  1.28907E-017  7.92705E-007  2.67604E-022  5.33965E-022  1.35437E-034  6.27956E-034  1.00000E-040  1.48563E-013  2.40479E-018  3.31730E-016  1.71422E-011  1.30775E-036  1.00000E-040  3.02630E-010  7.45635E-033  4.76339E-011  7.48526E-025  9.96967E-001  2.28717E-020  2.00855E-013  2.00117E-010  2.80871E-039  9.42932E-040  1.76340E-025  5.74139E-021  2.37324E-014  1.24353E-013  1.61733E-011  7.42254E-015  2.66712E-007  1.55531E-009  1.79268E-008  3.65866E-013  1.56494E-014  7.41736E-020  1.25161E-013  2.22168E-011  3.21800E-011  1.25526E-030  8.07444E-035  1.00000E-040  2.21445E-030  1.09503E-012  1.88847E-024  3.94089E-019  1.93841E-015  2.04304E-022  1.93879E-021  7.51019E-032  1.03326E-033  1.26243E-033  1.88795E-040  3.60131E-029  1.98951E-036  1.29822E-033  4.89403E-022  7.14637E-015  3.67681E-032  1.21777E-032  6.05486E-022  1.76139E-015  2.89596E-016  5.57454E-015  4.65667E-023  1.02978E-010  1.00000E-040  7.27744E-018  6.74926E-038  1.00246E-022  8.82479E-024  1.10006E-015  9.91129E-022  3.25942E-010  7.34202E-021  1.17494E-021  5.18920E-013  3.44196E-014  1.27089E-038  5.44817E-039  7.18003E-021  1.00000E-040  1.92077E-021  3.23118E-011  4.30716E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.45318E-001  1.53929E+019  2.56594E+002  1.00000E+005  3.91225E-004  1.00000E-040  1.00000E-040  4.73604E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.03205E-022  1.00000E-040  1.00000E-040  7.80228E-019  4.98114E-007  1.09549E-003  1.52504E-013  2.36265E-014  1.05910E-003  2.52807E-008  2.82816E-004  3.79508E-020  7.54692E-011  1.00000E-040  1.00000E-040  4.23804E-028  1.26664E-017  7.91371E-007  3.64847E-022  4.36305E-022  1.05792E-034  3.62416E-034  1.00000E-040  5.64280E-014  1.18505E-018  4.53428E-016  1.20241E-011  1.43232E-036  1.00000E-040  2.93815E-010  4.66738E-033  4.74985E-011  1.75867E-024  9.97561E-001  3.08782E-020  2.02682E-013  1.48316E-010  9.17491E-038  1.25640E-039  1.40915E-025  4.64802E-021  4.88586E-014  1.60390E-013  1.60388E-011  6.29410E-015  2.65335E-007  1.44738E-009  2.33782E-008  4.52195E-013  1.85568E-014  4.66488E-020  1.60693E-013  2.31471E-011  2.60215E-011  1.13250E-030  8.99350E-035  1.00000E-040  2.71643E-030  9.38659E-013  1.88958E-024  3.84632E-019  1.82083E-015  2.75100E-022  1.65159E-021  7.52181E-032  4.19538E-034  1.26326E-033  1.09798E-040  4.68436E-029  2.49025E-036  1.12867E-033  4.29028E-022  5.70173E-015  3.58624E-032  1.58732E-032  8.69342E-022  2.22185E-015  3.27895E-016  6.93481E-015  3.21762E-023  1.00003E-010  1.00000E-040  1.42871E-017  6.91899E-038  1.35328E-022  6.58536E-024  1.10071E-015  7.28983E-022  2.02597E-010  6.12777E-021  1.80445E-021  4.44613E-013  3.44651E-014  8.30082E-039  5.17415E-039  5.82595E-021  1.00000E-040  1.03844E-021  3.20078E-011  4.30824E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.78371E-001  1.38731E+019  2.49752E+002  1.00000E+005  2.96485E-004  1.00000E-040  1.00000E-040  1.84472E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.47010E-022  1.00000E-040  1.00000E-040  8.35365E-019  4.98445E-007  6.55579E-004  1.65665E-013  3.61297E-014  1.05955E-003  2.38752E-008  2.82944E-004  3.45304E-020  6.15543E-011  1.00000E-040  1.00000E-040  3.87559E-028  1.14288E-017  7.90277E-007  4.91377E-022  3.34876E-022  8.05067E-035  1.83348E-034  1.00000E-040  2.14994E-014  6.65458E-019  6.46223E-016  9.18390E-012  1.36422E-036  1.00000E-040  2.84843E-010  2.53586E-033  4.73856E-011  4.17392E-024  9.98000E-001  4.02860E-020  1.95872E-013  1.06182E-010  2.68957E-036  1.57241E-039  1.10214E-025  3.56159E-021  1.12598E-013  1.93887E-013  1.51375E-011  5.15184E-015  2.63802E-007  1.28385E-009  3.03336E-008  5.83113E-013  2.18190E-014  3.56049E-020  3.00792E-013  2.44041E-011  1.89129E-011  1.00514E-030  9.66018E-035  1.00000E-040  3.20308E-030  7.71293E-013  1.89040E-024  3.72489E-019  1.67253E-015  3.75811E-022  1.34300E-021  7.53470E-032  1.40361E-034  1.26398E-033  1.00000E-040  6.06940E-029  2.82642E-036  8.78143E-034  3.52058E-022  3.98106E-015  2.99161E-032  2.01565E-032  1.22084E-021  3.57600E-015  3.36733E-016  8.66208E-015  1.94898E-023  9.55920E-011  1.00000E-040  2.94560E-017  6.73088E-038  1.80415E-022  4.48668E-024  1.10120E-015  4.88314E-022  1.07801E-010  5.34230E-021  2.72837E-021  3.60506E-013  3.44911E-014  4.41080E-039  4.78559E-039  4.07387E-021  1.00000E-040  4.98550E-022  3.17538E-011  4.31431E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.18157E-001  1.24859E+019  2.42570E+002  1.00000E+005  1.99193E-004  1.00000E-040  1.00000E-040  5.61409E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.05137E-022  1.00000E-040  1.00000E-040  8.37681E-019  4.98678E-007  3.65757E-004  1.71824E-013  5.39248E-014  1.05984E-003  2.25497E-008  2.83028E-004  2.83135E-020  4.63192E-011  1.00000E-040  1.00000E-040  3.12598E-028  9.59744E-018  7.89357E-007  6.61421E-022  2.45583E-022  6.16352E-035  8.59108E-035  1.00000E-040  8.36527E-015  4.40840E-019  9.42491E-016  7.82739E-012  1.17119E-036  1.00000E-040  2.75874E-010  1.22239E-033  4.72920E-011  9.85646E-024  9.98290E-001  5.02277E-020  1.79083E-013  7.34788E-011  5.33059E-035  1.87298E-039  8.59155E-026  2.57896E-021  2.59742E-013  2.15154E-013  1.36481E-011  4.02396E-015  2.62127E-007  1.08633E-009  3.85662E-008  7.59467E-013  2.41428E-014  4.02090E-020  5.91697E-013  2.57302E-011  1.03378E-011  8.89320E-031  9.98257E-035  1.00000E-040  3.56349E-030  5.93426E-013  1.89093E-024  3.59526E-019  1.50689E-015  5.12404E-022  1.04795E-021  7.54935E-032  3.88147E-035  1.26464E-033  1.00000E-040  7.71002E-029  2.97030E-036  6.14111E-034  2.71828E-022  2.52872E-015  2.17896E-032  2.50928E-032  1.67499E-021  6.71113E-015  3.17930E-016  1.06565E-014  1.04219E-023  9.01974E-011  1.00000E-040  6.26270E-017  6.32519E-038  2.35614E-022  2.80530E-024  1.10152E-015  2.96957E-022  5.05568E-011  4.99188E-021  4.01510E-021  2.69224E-013  3.45053E-014  3.77876E-040  4.31834E-039  2.48224E-021  1.00000E-040  2.16868E-022  3.15436E-011  4.33259E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.64081E-001  1.12130E+019  2.35175E+002  1.00000E+005  1.20646E-004  1.00000E-040  1.00000E-040  1.21535E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.47170E-022  1.00000E-040  1.00000E-040  8.00374E-019  4.98828E-007  1.91859E-004  1.72214E-013  7.82933E-014  1.06001E-003  2.13540E-008  2.83079E-004  2.15347E-020  3.27695E-011  1.00000E-040  1.00000E-040  2.28773E-028  7.62117E-018  7.88554E-007  8.93363E-022  1.75949E-022  4.81014E-035  3.93254E-035  1.00000E-040  3.37999E-015  3.78477E-019  1.39486E-015  7.39692E-012  9.43828E-037  1.00000E-040  2.67093E-010  5.31734E-034  4.72140E-011  2.35722E-023  9.98463E-001  5.94671E-020  1.52752E-013  4.94520E-011  7.39295E-034  2.14786E-039  6.81682E-026  1.77229E-021  5.43907E-013  2.15683E-013  1.18336E-011  3.01410E-015  2.60337E-007  8.82887E-010  4.77565E-008  9.86313E-013  2.42077E-014  6.45291E-020  1.08378E-012  2.69741E-011  4.09986E-012  8.06418E-031  1.00208E-034  1.00000E-040  3.74802E-030  4.13300E-013  1.89124E-024  3.47513E-019  1.34551E-015  6.70761E-022  7.94616E-022  7.56646E-032  8.99367E-036  1.26535E-033  1.00000E-040  9.54022E-029  2.95864E-036  3.92850E-034  1.99391E-022  1.51874E-015  1.42635E-032  3.11077E-032  2.27927E-021  1.36521E-014  2.82723E-016  1.27079E-014  4.99676E-024  8.43823E-011  1.00000E-040  1.38206E-016  5.92938E-038  2.94508E-022  1.63111E-024  1.10171E-015  1.65504E-022  2.22687E-011  5.02407E-021  5.73060E-021  1.78851E-013  3.45127E-014  1.00000E-040  3.82761E-039  1.35168E-021  1.00000E-040  8.80524E-023  3.13690E-011  4.37379E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.15647E-001  1.00309E+019  2.27919E+002  9.61769E+004  6.39625E-005  1.00000E-040  1.00000E-040  4.99077E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.43690E-021  1.00000E-040  1.00000E-040  7.60610E-019  4.98916E-007  9.80676E-005  1.71624E-013  1.11631E-013  1.06009E-003  2.03014E-008  2.83108E-004  1.61136E-020  2.27383E-011  1.00000E-040  1.00000E-040  1.64060E-028  5.98700E-018  7.87804E-007  1.20869E-021  1.25665E-022  3.82865E-035  1.74438E-035  1.00000E-040  1.44374E-015  4.72965E-019  2.05602E-015  7.48953E-012  7.62690E-037  1.00000E-040  2.58546E-010  2.22312E-034  4.71464E-011  8.88596E-023  9.98557E-001  6.68650E-020  1.20412E-013  3.27445E-011  8.10121E-033  2.06832E-039  5.58433E-026  1.17222E-021  1.01096E-012  1.93579E-013  1.00642E-011  2.22192E-015  2.58429E-007  7.01318E-010  5.77439E-008  1.27988E-012  2.24301E-014  1.19780E-019  1.79906E-012  2.83300E-011  1.95872E-012  7.86464E-031  9.98862E-035  1.00000E-040  3.81473E-030  2.51600E-013  1.89139E-024  3.37295E-019  1.20601E-015  7.76675E-022  5.99018E-022  7.58711E-032  1.77909E-036  1.26625E-033  1.00000E-040  1.15276E-028  2.91125E-036  2.40732E-034  1.41697E-022  9.06729E-016  9.10399E-033  3.89230E-032  3.13217E-021  2.73883E-014  2.48716E-016  1.45013E-014  2.24737E-024  7.86177E-011  1.00000E-040  3.12962E-016  5.74789E-038  3.15779E-022  9.17208E-025  1.10181E-015  8.69016E-023  1.00186E-011  5.39645E-021  7.98110E-021  1.02377E-013  3.45162E-014  1.00000E-040  3.36368E-039  7.06768E-022  1.00000E-040  3.51668E-023  3.12179E-011  4.45392E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
