alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00871E+000  2.56418E+019  2.84929E+002  1.00000E+005  6.18652E-004  1.00000E-040  1.00000E-040  4.66855E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.86523E-021  1.00000E-040  1.00000E-040  3.36120E-019  4.95681E-007  5.50936E-003  6.99612E-014  5.22823E-015  1.05446E-003  3.25602E-008  2.81547E-004  3.91822E-020  1.81449E-010  1.00000E-040  1.00000E-040  2.06571E-028  1.04370E-017  8.01021E-007  2.24534E-023  4.17299E-022  7.43533E-035  5.88655E-034  1.00000E-040  5.70484E-012  4.70471E-017  2.06605E-016  2.88732E-011  1.24019E-037  1.00000E-040  3.34089E-010  2.73265E-032  4.85972E-011  2.54814E-026  9.93153E-001  4.38437E-021  5.82758E-014  4.96260E-010  1.00000E-040  1.00000E-040  2.51331E-025  7.37764E-021  2.47571E-012  3.76565E-014  1.37784E-011  1.17573E-014  2.70642E-007  1.28285E-009  1.10886E-008  9.71048E-012  3.13640E-014  3.43867E-019  3.62179E-012  1.70453E-011  3.07017E-011  6.82630E-031  8.32314E-036  1.00000E-040  3.39848E-031  3.51711E-013  3.20821E-025  3.69338E-019  2.21561E-015  8.36864E-023  2.38570E-021  2.45248E-032  4.96800E-033  9.01086E-034  7.75519E-040  4.45949E-030  2.13744E-037  1.08261E-033  8.41605E-022  2.19792E-016  2.44089E-032  5.08189E-033  1.27186E-022  4.38002E-015  2.32707E-016  2.65724E-015  1.28087E-022  9.34287E-011  1.00000E-040  7.08887E-019  3.46578E-038  3.22875E-023  1.35904E-023  8.97949E-016  1.24152E-021  2.08241E-011  5.69279E-021  2.57239E-022  1.79147E-013  3.06485E-014  1.30382E-038  3.90465E-039  8.98049E-021  1.00000E-040  6.20577E-021  3.43576E-011  1.97173E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.95809E-001  2.33047E+019  2.78412E+002  1.00000E+005  8.08478E-004  1.00000E-040  1.00000E-040  5.46381E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.60535E-021  1.00000E-040  1.00000E-040  3.18417E-019  4.96414E-007  4.14939E-003  6.73334E-014  6.32124E-015  1.05590E-003  3.13287E-008  2.81936E-004  2.62630E-020  1.13077E-010  1.00000E-040  1.00000E-040  1.58029E-028  8.71584E-018  7.98980E-007  6.25617E-023  4.39996E-022  8.32346E-035  5.65707E-034  1.00000E-040  2.58445E-012  2.11622E-017  1.86426E-016  6.06625E-011  2.17317E-037  1.00000E-040  3.28117E-010  1.53540E-032  4.84086E-011  5.58508E-026  9.94511E-001  7.23211E-021  1.37070E-013  4.19060E-010  1.00000E-040  1.68345E-040  2.36424E-025  7.20231E-021  1.15616E-013  5.81432E-014  1.36927E-011  9.51714E-015  2.70072E-007  1.42694E-009  1.14141E-008  1.58160E-012  1.99053E-014  2.39451E-019  1.58496E-012  2.18534E-011  3.60979E-011  3.92826E-031  9.45537E-036  1.00000E-040  2.68687E-031  1.00646E-012  3.21260E-025  3.67243E-019  2.09782E-015  9.05875E-023  2.18192E-021  2.45627E-032  3.59630E-033  9.02319E-034  6.01508E-040  4.39015E-030  3.95142E-037  9.55338E-034  5.09632E-022  1.27886E-015  1.73961E-032  6.03243E-033  1.57329E-022  2.91576E-015  1.59566E-016  3.29993E-015  8.13255E-023  9.58999E-011  1.00000E-040  1.11221E-018  3.48213E-038  3.60217E-023  1.12144E-023  8.99177E-016  1.21572E-021  1.95719E-010  1.19614E-020  3.40581E-022  4.30247E-013  3.08491E-014  9.58112E-039  3.92870E-039  5.67558E-021  1.00000E-040  4.70260E-021  3.39107E-011  1.97311E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.94054E-001  2.10045E+019  2.73813E+002  1.00000E+005  5.15906E-004  1.00000E-040  1.00000E-040  5.73533E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.47673E-021  1.00000E-040  1.00000E-040  4.00158E-019  4.96889E-007  3.30243E-003  8.42682E-014  8.30715E-015  1.05679E-003  2.99265E-008  2.82180E-004  2.42483E-020  8.42801E-011  1.00000E-040  1.00000E-040  2.21028E-028  1.01749E-017  7.96870E-007  1.03202E-022  4.49226E-022  8.34502E-035  5.00661E-034  1.00000E-040  1.11937E-012  1.13458E-017  1.92838E-016  4.11432E-011  4.22032E-037  1.00000E-040  3.21572E-010  1.29002E-032  4.82196E-011  1.29054E-025  9.95357E-001  1.08221E-020  1.66373E-013  3.46415E-010  1.00000E-040  2.92501E-040  2.12963E-025  6.62410E-021  2.57744E-014  7.83527E-014  1.40209E-011  9.02291E-015  2.69265E-007  1.51460E-009  1.23081E-008  4.79439E-013  1.35899E-014  1.84651E-019  6.54009E-013  2.22707E-011  3.91365E-011  2.85807E-031  1.03081E-035  1.00000E-040  2.69368E-031  1.22718E-012  3.21533E-025  3.65553E-019  1.98874E-015  1.10402E-022  2.04992E-021  2.45926E-032  2.35263E-033  9.03090E-034  3.92809E-040  4.60000E-030  6.88694E-037  1.05174E-033  4.70625E-022  4.33091E-015  2.30983E-032  7.36536E-033  2.38293E-022  2.24658E-015  1.58288E-016  3.62700E-015  6.68006E-023  9.82907E-011  1.00000E-040  1.92750E-018  4.23641E-038  4.94206E-023  9.67767E-024  8.99942E-016  1.13998E-021  3.31450E-010  1.04028E-020  4.62818E-022  5.44595E-013  3.10054E-014  8.03301E-039  3.95145E-039  5.84304E-021  1.00000E-040  3.48517E-021  3.34911E-011  1.97081E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.02335E-001  1.89383E+019  2.68608E+002  1.00000E+005  5.26970E-004  1.00000E-040  1.00000E-040  1.80285E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.46374E-021  1.00000E-040  1.00000E-040  4.99875E-019  4.97420E-007  2.44993E-003  1.01782E-013  1.16696E-014  1.05768E-003  2.85160E-008  2.82425E-004  2.82103E-020  8.13216E-011  1.00000E-040  1.00000E-040  2.79281E-028  1.11545E-017  7.95134E-007  1.54812E-022  4.32350E-022  7.76264E-035  3.95612E-034  1.00000E-040  4.67642E-013  5.51012E-018  2.24758E-016  2.76314E-011  6.65579E-037  1.00000E-040  3.14644E-010  9.78263E-033  4.80542E-011  2.88513E-025  9.96208E-001  1.51409E-020  1.80151E-013  2.79521E-010  1.66759E-040  4.56255E-040  1.83968E-025  5.85875E-021  2.30217E-014  1.02260E-013  1.47883E-011  7.89886E-015  2.68355E-007  1.50815E-009  1.42965E-008  3.63323E-013  1.35442E-014  1.19372E-019  2.91683E-013  2.17900E-011  3.62974E-011  2.43238E-031  1.15498E-035  1.00000E-040  2.93371E-031  1.19161E-012  3.21808E-025  3.62655E-019  1.89751E-015  1.41978E-022  1.87899E-021  2.46279E-032  1.33868E-033  9.03871E-034  2.45221E-040  5.23050E-030  1.05959E-036  1.06808E-033  4.48780E-022  6.09656E-015  2.74598E-032  9.27261E-033  3.54312E-022  1.83917E-015  2.09698E-016  4.15711E-015  5.50605E-023  9.94559E-011  1.00000E-040  3.46550E-018  4.83421E-038  6.70596E-023  8.21135E-024  9.00711E-016  9.87302E-022  3.22839E-010  8.69519E-021  6.63258E-022  5.43755E-013  3.11167E-014  6.81566E-039  3.90730E-039  5.67126E-021  1.00000E-040  2.40518E-021  3.31150E-011  1.96431E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.19704E-001  1.70789E+019  2.62809E+002  1.00000E+005  4.83279E-004  1.00000E-040  1.00000E-040  8.61019E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.24978E-022  1.00000E-040  1.00000E-040  6.02781E-019  4.97935E-007  1.69053E-003  1.19880E-013  1.71904E-014  1.05848E-003  2.70979E-008  2.82643E-004  3.15774E-020  7.69727E-011  1.00000E-040  1.00000E-040  3.23623E-028  1.15830E-017  7.93701E-007  2.19014E-022  3.87651E-022  6.67025E-035  2.72479E-034  1.00000E-040  1.90102E-013  2.61577E-018  2.89801E-016  1.87174E-011  8.75976E-037  1.00000E-040  3.07366E-010  6.73021E-033  4.79106E-011  6.71344E-025  9.96967E-001  2.10147E-020  1.89150E-013  2.19567E-010  4.86898E-040  6.54976E-040  1.52912E-025  4.96949E-021  3.58567E-014  1.32172E-013  1.51562E-011  6.68360E-015  2.67311E-007  1.43974E-009  1.75592E-008  3.88269E-013  1.49909E-014  7.20515E-020  1.87869E-013  2.16501E-011  3.11871E-011  2.15362E-031  1.29798E-035  1.00000E-040  3.36282E-031  1.08191E-012  3.22051E-025  3.57337E-019  1.80177E-015  1.88858E-022  1.65990E-021  2.46672E-032  6.46789E-034  9.04582E-034  1.47076E-040  6.31891E-030  1.46190E-036  1.00826E-033  4.11635E-022  5.98373E-015  2.96464E-032  1.18579E-032  5.22409E-022  1.75833E-015  2.58313E-016  4.96398E-015  4.18963E-023  9.90193E-011  1.00000E-040  6.56786E-018  5.25141E-038  9.11834E-023  6.56333E-024  9.01397E-016  7.88599E-022  2.43105E-010  7.19319E-021  9.88835E-022  4.98696E-013  3.11887E-014  5.26694E-039  3.78667E-039  5.03600E-021  1.00000E-040  1.49626E-021  3.27844E-011  1.95176E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.45318E-001  1.53929E+019  2.56594E+002  1.00000E+005  3.91225E-004  1.00000E-040  1.00000E-040  4.25439E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.43703E-022  1.00000E-040  1.00000E-040  6.94461E-019  4.98369E-007  1.09549E-003  1.37174E-013  2.58528E-014  1.05910E-003  2.56747E-008  2.82815E-004  3.21019E-020  6.74365E-011  1.00000E-040  1.00000E-040  3.43440E-028  1.14112E-017  7.92498E-007  2.99436E-022  3.23745E-022  5.38515E-035  1.63230E-034  1.00000E-040  7.60727E-014  1.31677E-018  3.96356E-016  1.31287E-011  9.97553E-037  1.00000E-040  2.99795E-010  4.22412E-033  4.77867E-011  1.61429E-024  9.97561E-001  2.88838E-020  1.92875E-013  1.67513E-010  1.32188E-039  8.74495E-040  1.23068E-025  4.02177E-021  7.01825E-014  1.66017E-013  1.49708E-011  5.60513E-015  2.66115E-007  1.32068E-009  2.21380E-008  4.61549E-013  1.72289E-014  4.55534E-020  2.24707E-013  2.20533E-011  2.53115E-011  1.90776E-031  1.43470E-035  1.00000E-040  3.89968E-031  9.45068E-013  3.22242E-025  3.49292E-019  1.68765E-015  2.57223E-022  1.40899E-021  2.47100E-032  2.61693E-034  9.05171E-034  1.00000E-040  7.86278E-030  1.83879E-036  8.78417E-034  3.59145E-022  4.91208E-015  2.90622E-032  1.50852E-032  7.58306E-022  2.10381E-015  2.90725E-016  6.04826E-015  2.88274E-023  9.69796E-011  1.00000E-040  1.29289E-017  5.43522E-038  1.23425E-022  4.88155E-024  9.01935E-016  5.79161E-022  1.53320E-010  6.01807E-021  1.49513E-021  4.34246E-013  3.12316E-014  3.60706E-039  3.58385E-039  4.06374E-021  1.00000E-040  8.33332E-022  3.24991E-011  1.93161E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.78371E-001  1.38731E+019  2.49752E+002  1.00000E+005  2.96485E-004  1.00000E-040  1.00000E-040  1.65712E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.12529E-022  1.00000E-040  1.00000E-040  7.47017E-019  4.98708E-007  6.55579E-004  1.50033E-013  3.86061E-014  1.05956E-003  2.42801E-008  2.82942E-004  2.92662E-020  5.43536E-011  1.00000E-040  1.00000E-040  3.18402E-028  1.03681E-017  7.91494E-007  4.02851E-022  2.53968E-022  4.21293E-035  8.66707E-035  1.00000E-040  3.04844E-014  7.39222E-019  5.66398E-016  9.85016E-012  9.87345E-037  1.00000E-040  2.92040E-010  2.31113E-033  4.76820E-011  3.95011E-024  9.98000E-001  3.85397E-020  1.88846E-013  1.23984E-010  3.83886E-039  1.09634E-039  9.69316E-026  3.08675E-021  1.51720E-013  1.97347E-013  1.41076E-011  4.54765E-015  2.64773E-007  1.15529E-009  2.79563E-008  5.69651E-013  1.94731E-014  3.46612E-020  3.88032E-013  2.27118E-011  1.84876E-011  1.66723E-031  1.53768E-035  1.00000E-040  4.40095E-031  7.92162E-013  3.22382E-025  3.39092E-019  1.55116E-015  3.55557E-022  1.14396E-021  2.47580E-032  8.75979E-035  9.05666E-034  1.00000E-040  9.82230E-030  2.09961E-036  6.89247E-034  2.94338E-022  3.54350E-015  2.45780E-032  1.88191E-032  1.08191E-021  3.21723E-015  2.99784E-016  7.41775E-015  1.74440E-023  9.35404E-011  1.00000E-040  2.68438E-017  5.36110E-038  1.65589E-022  3.32056E-024  9.02332E-016  3.88521E-022  8.30424E-011  5.18916E-021  2.24090E-021  3.57974E-013  3.12562E-014  2.21564E-039  3.30471E-039  2.84880E-021  1.00000E-040  4.12917E-022  3.22580E-011  1.90309E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.18157E-001  1.24859E+019  2.42570E+002  1.00000E+005  1.99193E-004  1.00000E-040  1.00000E-040  5.04341E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.85291E-022  1.00000E-040  1.00000E-040  7.56166E-019  4.98945E-007  3.65757E-004  1.57312E-013  5.66559E-014  1.05985E-003  2.29630E-008  2.83027E-004  2.42385E-020  4.06090E-011  1.00000E-040  1.00000E-040  2.62454E-028  8.80264E-018  7.90630E-007  5.40402E-022  1.90228E-022  3.27739E-035  4.20074E-035  1.00000E-040  1.24319E-014  4.84181E-019  8.28475E-016  8.11366E-012  8.80741E-037  1.00000E-040  2.84225E-010  1.12636E-033  4.75939E-011  9.67071E-024  9.98290E-001  4.93787E-020  1.75717E-013  8.91119E-011  1.97245E-038  1.31433E-039  7.59320E-026  2.24497E-021  3.23722E-013  2.17857E-013  1.27203E-011  3.53310E-015  2.63295E-007  9.64348E-010  3.48193E-008  7.06284E-013  2.05784E-014  3.83062E-020  7.12451E-013  2.34070E-011  1.02609E-011  1.45205E-031  1.59307E-035  1.00000E-040  4.74108E-031  6.24912E-013  3.22473E-025  3.28205E-019  1.40275E-015  4.89757E-022  8.92651E-022  2.48128E-032  2.43237E-035  9.06100E-034  1.00000E-040  1.21212E-029  2.22384E-036  4.89426E-034  2.27737E-022  2.33796E-015  1.82944E-032  2.31201E-032  1.51407E-021  5.84987E-015  2.86134E-016  8.99447E-015  9.35372E-024  8.90531E-011  1.00000E-040  5.77063E-017  5.11805E-038  2.18151E-022  2.07937E-024  9.02594E-016  2.37820E-022  4.01585E-011  4.73738E-021  3.29017E-021  2.73118E-013  3.12695E-014  1.26820E-039  2.97561E-039  1.75405E-021  1.00000E-040  1.85351E-022  3.20559E-011  1.86636E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.64081E-001  1.12130E+019  2.35175E+002  1.00000E+005  1.20646E-004  1.00000E-040  1.00000E-040  1.18014E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.33927E-022  1.00000E-040  1.00000E-040  7.32442E-019  4.99096E-007  1.91859E-004  1.59772E-013  8.13442E-014  1.06002E-003  2.17702E-008  2.83078E-004  1.87427E-020  2.86544E-011  1.00000E-040  1.00000E-040  1.97209E-028  7.08323E-018  7.89863E-007  7.27220E-022  1.38957E-022  2.58427E-035  1.93532E-035  1.00000E-040  5.24113E-015  4.04702E-019  1.23013E-015  7.36605E-012  7.37049E-037  1.00000E-040  2.76501E-010  4.96527E-034  4.75194E-011  2.37500E-023  9.98463E-001  6.04836E-020  1.53912E-013  6.25660E-011  1.92260E-037  1.54256E-039  6.02815E-026  1.55513E-021  6.30352E-013  2.20379E-013  1.10464E-011  2.63897E-015  2.61704E-007  7.73331E-010  4.24702E-008  8.72089E-013  1.98102E-014  5.96686E-020  1.23514E-012  2.40347E-011  4.03499E-012  1.28781E-031  1.60812E-035  2.79539E-039  4.87225E-031  4.52536E-013  3.22526E-025  3.18063E-019  1.25946E-015  6.44887E-022  6.77374E-022  2.48768E-032  5.67667E-036  9.06544E-034  1.00000E-040  1.46645E-029  2.23727E-036  3.19806E-034  1.67814E-022  1.46323E-015  1.22956E-032  2.83408E-032  2.10487E-021  1.17352E-014  2.58832E-016  1.06255E-014  4.51572E-024  8.39942E-011  1.00000E-040  1.29067E-016  4.86455E-038  2.74748E-022  1.21637E-024  9.02751E-016  1.34256E-022  1.85085E-011  4.64158E-021  4.71002E-021  1.87882E-013  3.12763E-014  7.12909E-040  2.63455E-039  9.69965E-022  1.00000E-040  7.75425E-023  3.18858E-011  1.82262E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.15647E-001  1.00309E+019  2.27919E+002  9.61769E+004  6.39625E-005  1.00000E-040  1.00000E-040  4.68148E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.13388E-021  1.00000E-040  1.00000E-040  7.07372E-019  4.99182E-007  9.80676E-005  1.61367E-013  1.15179E-013  1.06011E-003  2.07137E-008  2.83106E-004  1.42927E-020  1.98794E-011  1.00000E-040  1.00000E-040  1.45228E-028  5.63858E-018  7.89135E-007  9.82226E-022  1.00947E-022  2.07562E-035  8.77424E-036  1.00000E-040  2.32067E-015  4.86333E-019  1.82221E-015  7.20347E-012  6.16937E-037  1.00000E-040  2.68891E-010  2.10396E-034  4.74540E-011  6.94876E-023  9.98557E-001  7.10307E-020  1.26312E-013  4.33567E-011  2.01789E-036  1.80996E-039  4.91482E-026  1.04034E-021  1.11146E-012  2.03055E-013  9.41624E-012  1.94118E-015  2.59993E-007  6.06064E-010  5.07904E-008  1.07760E-012  1.78531E-014  1.08351E-019  1.97331E-012  2.47845E-011  1.87199E-012  1.21235E-031  1.61331E-035  4.06433E-037  4.87201E-031  2.92969E-013  3.22553E-025  3.09389E-019  1.13548E-015  7.47196E-022  5.11039E-022  2.49537E-032  1.13625E-036  9.07089E-034  1.00000E-040  1.74113E-029  2.22658E-036  2.00877E-034  1.20051E-022  9.08363E-016  8.05900E-033  3.52114E-032  2.95118E-021  2.34847E-014  2.32137E-016  1.20794E-014  2.05217E-024  7.87833E-011  1.00000E-040  2.96243E-016  4.75644E-038  2.94805E-022  6.91018E-025  9.02836E-016  7.17882E-023  8.72212E-012  4.88007E-021  6.60415E-021  1.13779E-013  3.12796E-014  4.15012E-040  2.31457E-039  5.15778E-022  1.00000E-040  3.18396E-023  3.17368E-011  1.77284E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
