alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.43806E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.39267E-023  1.00000E-040  1.00000E-040  1.22241E-021  4.95541E-007  5.79049E-003  4.77591E-014  4.58425E-017  2.10833E-001  3.70459E-008  2.81467E-004  1.31772E-022  1.69575E-010  1.00000E-040  1.00000E-040  2.49444E-033  3.67158E-020  8.00794E-007  1.61651E-028  2.37040E-026  1.50639E-037  1.50266E-036  1.00000E-040  7.74165E-012  1.88449E-017  9.39069E-019  3.44935E-011  1.00000E-040  1.00000E-040  3.33995E-010  1.01480E-034  4.97175E-011  1.55245E-031  7.83094E-001  1.02389E-023  3.19911E-014  5.51206E-010  1.00000E-040  1.00000E-040  1.00302E-029  2.83518E-025  2.49450E-012  3.40606E-016  1.18921E-011  9.48862E-015  2.70565E-007  1.31119E-009  2.54428E-008  1.37673E-011  9.75886E-014  3.31617E-019  3.34881E-012  1.77510E-011  2.79394E-011  1.02928E-027  7.84662E-033  1.00000E-040  7.92723E-028  2.21670E-013  1.11870E-019  1.14633E-023  1.26828E-017  2.12003E-025  1.38056E-025  1.00000E-040  1.86427E-038  1.00000E-040  1.00000E-040  1.39894E-026  1.00000E-040  1.43051E-040  3.49336E-026  1.18596E-016  7.52746E-035  1.76815E-039  5.53784E-023  1.89451E-017  8.78705E-019  2.91274E-015  6.05192E-025  6.11484E-011  1.00000E-040  4.62075E-019  1.00000E-040  1.22494E-025  5.05400E-031  4.14129E-023  1.22088E-025  1.60678E-011  2.30821E-023  1.59578E-022  1.28737E-013  1.95396E-014  1.00000E-040  1.00000E-040  2.34397E-023  1.00000E-040  8.36103E-022  3.62398E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34985E-004  1.00000E-040  1.00000E-040  7.55990E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.82047E-024  1.00000E-040  1.00000E-040  1.06526E-021  4.96319E-007  4.40214E-003  4.15371E-014  5.61191E-017  2.11127E-001  3.60215E-008  2.81863E-004  9.73864E-023  1.22731E-010  1.00000E-040  1.00000E-040  1.57796E-033  2.79697E-020  8.00234E-007  9.51981E-029  2.34578E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.22314E-012  8.84694E-018  6.02604E-019  7.15738E-011  1.00000E-040  1.00000E-040  3.34148E-010  5.21807E-035  4.96522E-011  2.06857E-031  7.84187E-001  1.23035E-023  8.38986E-014  5.24810E-010  1.00000E-040  1.00000E-040  9.65428E-030  2.81005E-025  1.49374E-013  6.00361E-016  1.21769E-011  7.26882E-015  2.70908E-007  1.33244E-009  2.66305E-008  2.50627E-012  5.39100E-014  2.17299E-019  1.76441E-012  2.44269E-011  3.08733E-011  5.83333E-028  7.77993E-033  1.00000E-040  5.96736E-028  6.17660E-013  1.12026E-019  1.15823E-023  1.19375E-017  2.28958E-025  1.05747E-025  1.00000E-040  1.81605E-038  1.00000E-040  1.00000E-040  1.41112E-026  1.00000E-040  1.15924E-040  1.98332E-026  5.57970E-016  4.44259E-035  2.16673E-039  6.11536E-023  1.31735E-017  7.68645E-019  3.85583E-015  3.85442E-025  6.22687E-011  1.00000E-040  6.48125E-019  1.00000E-040  1.24442E-025  4.81576E-031  4.14708E-023  9.96962E-026  2.09956E-010  4.32298E-023  2.09300E-022  2.88273E-013  1.96892E-014  1.00000E-040  1.00000E-040  1.27100E-023  1.00000E-040  8.11773E-022  3.60141E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21241E-004  1.00000E-040  1.00000E-040  7.95927E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.83686E-023  1.00000E-040  1.00000E-040  1.16386E-021  4.96712E-007  3.55681E-003  4.95039E-014  7.14443E-017  2.11307E-001  3.47379E-008  2.82104E-004  4.71278E-023  4.95895E-011  1.00000E-040  1.00000E-040  2.02376E-033  3.14484E-020  7.99475E-007  7.41493E-029  2.30605E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.27751E-012  5.59326E-018  4.86978E-019  5.43378E-011  1.00000E-040  1.00000E-040  3.34137E-010  4.24539E-035  4.95803E-011  3.84508E-031  7.84853E-001  1.60782E-023  1.11135E-013  5.01783E-010  1.00000E-040  1.00000E-040  9.07949E-030  2.68271E-025  1.77435E-014  8.61224E-016  1.04507E-011  6.73035E-015  2.71097E-007  1.24371E-009  2.79446E-008  6.30286E-013  2.39310E-014  1.68591E-019  8.88374E-013  2.55349E-011  3.33150E-011  3.78010E-028  8.18772E-033  1.00000E-040  5.59155E-028  8.78428E-013  1.12122E-019  1.18279E-023  1.07850E-017  2.77987E-025  8.27998E-026  1.00000E-040  1.74512E-038  1.00000E-040  1.00000E-040  1.44660E-026  1.00000E-040  1.26318E-040  1.70046E-026  2.34359E-015  5.41944E-035  1.00000E-040  8.71695E-023  1.12809E-017  2.89907E-019  4.39837E-015  2.91085E-025  6.34494E-011  1.00000E-040  1.05327E-018  1.00000E-040  1.63411E-025  4.48067E-031  4.15060E-023  7.90496E-026  5.99680E-010  4.00081E-023  2.70529E-022  4.12962E-013  1.98086E-014  1.00000E-040  1.00000E-040  1.18600E-023  1.00000E-040  7.73233E-022  3.58068E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.12525E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.34381E-024  1.00000E-040  1.00000E-040  1.26407E-021  4.97154E-007  2.69095E-003  5.49851E-014  9.17864E-017  2.11490E-001  3.35258E-008  2.82352E-004  2.97371E-023  2.72170E-011  1.00000E-040  1.00000E-040  2.18267E-033  3.19685E-020  7.98975E-007  5.27411E-029  2.25662E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.23778E-012  3.30338E-018  3.89422E-019  4.12212E-011  1.00000E-040  1.00000E-040  3.34149E-010  2.99098E-035  4.95260E-011  5.94535E-031  7.85535E-001  1.79715E-023  1.15463E-013  4.82329E-010  1.00000E-040  1.00000E-040  8.38677E-030  2.55068E-025  8.63678E-015  1.13224E-015  9.84514E-012  5.71087E-015  2.71286E-007  1.11114E-009  2.98492E-008  3.58848E-013  1.85621E-014  1.08679E-019  4.68857E-013  2.55976E-011  3.11493E-011  2.97956E-028  8.45373E-033  1.00000E-040  5.25009E-028  8.86636E-013  1.12219E-019  1.22143E-023  9.68027E-018  3.45364E-025  6.89001E-026  1.00000E-040  1.65876E-038  1.00000E-040  1.00000E-040  1.51924E-026  1.00000E-040  1.26884E-040  1.69756E-026  4.13684E-015  5.50576E-035  1.00000E-040  1.18477E-022  9.66724E-018  2.21628E-019  5.14622E-015  2.29876E-025  6.40542E-011  1.00000E-040  1.72533E-018  1.00000E-040  2.05795E-025  4.08487E-031  4.15420E-023  6.96986E-026  8.18723E-010  3.46946E-023  3.48934E-022  4.38653E-013  1.98900E-014  1.00000E-040  1.00000E-040  9.93031E-024  1.00000E-040  7.24228E-022  3.56319E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.67601E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.68757E-024  1.00000E-040  1.00000E-040  1.34506E-021  4.97644E-007  1.88520E-003  5.78802E-014  1.19058E-016  2.11661E-001  3.24821E-008  2.82582E-004  2.97012E-023  2.43214E-011  1.00000E-040  1.00000E-040  2.04341E-033  2.99606E-020  7.98645E-007  3.58708E-029  2.20068E-026  1.00000E-040  4.69847E-040  1.00000E-040  6.88146E-013  1.89154E-018  3.18698E-019  3.14910E-011  1.00000E-040  1.00000E-040  3.34157E-010  1.86452E-035  4.94852E-011  8.21562E-031  7.86170E-001  1.82444E-023  1.12726E-013  4.66225E-010  1.00000E-040  1.00000E-040  7.65179E-030  2.43088E-025  9.44403E-015  1.45270E-015  9.57757E-012  4.42159E-015  2.71453E-007  9.99441E-010  3.24283E-008  3.51613E-013  1.87445E-014  6.49657E-020  2.96069E-013  2.63795E-011  2.69120E-011  2.52100E-028  8.51528E-033  1.00000E-040  4.85525E-028  7.97460E-013  1.12310E-019  1.27565E-023  8.69980E-018  4.30158E-025  5.98600E-026  1.00000E-040  1.56358E-038  1.00000E-040  1.00000E-040  1.62951E-026  1.00000E-040  1.20379E-040  1.72287E-026  4.27798E-015  4.81052E-035  1.00000E-040  1.55500E-022  8.56990E-018  2.76924E-019  6.29052E-015  1.78672E-025  6.38627E-011  1.00000E-040  2.88257E-018  1.00000E-040  2.53389E-025  3.66716E-031  4.15756E-023  6.54799E-026  8.29406E-010  2.88822E-023  4.50815E-022  4.11761E-013  1.99408E-014  1.00000E-040  1.00000E-040  7.22676E-024  1.00000E-040  6.68146E-022  3.54862E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.19043E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.66436E-024  1.00000E-040  1.00000E-040  1.42700E-021  4.98112E-007  1.24262E-003  5.95358E-014  1.55665E-016  2.11797E-001  3.15990E-008  2.82765E-004  3.77098E-023  2.79231E-011  1.00000E-040  1.00000E-040  1.77484E-033  2.68280E-020  7.98362E-007  2.44954E-029  2.14027E-026  4.45042E-037  4.84347E-036  1.00000E-040  3.93776E-013  1.09751E-018  2.76444E-019  2.43248E-011  1.00000E-040  1.00000E-040  3.34120E-010  1.06989E-035  4.94511E-011  1.11677E-030  7.86676E-001  1.80505E-023  1.07214E-013  4.52981E-010  1.00000E-040  1.00000E-040  6.93082E-030  2.32142E-025  1.54917E-014  1.84366E-015  9.47704E-012  3.36257E-015  2.71570E-007  9.22904E-010  3.56718E-008  4.25677E-013  2.05351E-014  3.98126E-020  2.75052E-013  2.86463E-011  2.23041E-011  2.16925E-028  8.47317E-033  1.00000E-040  4.49199E-028  6.80086E-013  1.12382E-019  1.34764E-023  7.84285E-018  5.41961E-025  5.28445E-026  1.00000E-040  1.46468E-038  1.00000E-040  1.00000E-040  1.77489E-026  1.00000E-040  1.11366E-040  1.75702E-026  3.40789E-015  3.86778E-035  7.31157E-037  2.02729E-022  8.12898E-018  4.11577E-019  7.87235E-015  1.36165E-025  6.29342E-011  1.00000E-040  5.01058E-018  1.00000E-040  3.13723E-025  3.25793E-031  4.16023E-023  6.27347E-026  6.77955E-010  2.38736E-023  5.82725E-022  3.63947E-013  1.99704E-014  1.00000E-040  1.00000E-040  4.82223E-024  1.00000E-040  6.08313E-022  3.53625E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.60836E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.86093E-024  1.00000E-040  1.00000E-040  1.51404E-021  4.98524E-007  7.58509E-004  6.02627E-014  2.03491E-016  2.11900E-001  3.08332E-008  2.82904E-004  5.16520E-023  3.47973E-011  1.00000E-040  1.00000E-040  1.42951E-033  2.28397E-020  7.98085E-007  1.70866E-029  2.07690E-026  5.64759E-036  6.22036E-035  1.00000E-040  2.32629E-013  6.55390E-019  2.60849E-019  1.90461E-011  1.00000E-040  1.00000E-040  3.34036E-010  5.52894E-036  4.94215E-011  1.54562E-030  7.87057E-001  1.76296E-023  9.90318E-014  4.42103E-010  1.00000E-040  1.00000E-040  6.26066E-030  2.21908E-025  3.47388E-014  2.30488E-015  9.48910E-012  2.55096E-015  2.71636E-007  8.66349E-010  3.95405E-008  5.70705E-013  2.28657E-014  2.75715E-020  3.92071E-013  3.24959E-011  1.72597E-011  1.88727E-028  8.40103E-033  1.00000E-040  4.17613E-028  5.50451E-013  1.12436E-019  1.43991E-023  7.09505E-018  6.96927E-025  4.67436E-026  1.00000E-040  1.36576E-038  1.00000E-040  1.00000E-040  1.95171E-026  1.00000E-040  1.00848E-040  1.80546E-026  2.30673E-015  2.84926E-035  1.00000E-040  2.68475E-022  8.50765E-018  6.63345E-019  9.93514E-015  1.01267E-025  6.14262E-011  1.00000E-040  9.41392E-018  1.00000E-040  3.97372E-025  2.87637E-031  4.16225E-023  6.03779E-026  4.35711E-010  1.98352E-023  7.50871E-022  3.05119E-013  1.99870E-014  1.00000E-040  1.00000E-040  2.95637E-024  1.00000E-040  5.47742E-022  3.52563E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.86897E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.46730E-024  1.00000E-040  1.00000E-040  1.62457E-021  4.98833E-007  4.32073E-004  6.10032E-014  2.65955E-016  2.11969E-001  3.01183E-008  2.82998E-004  6.77513E-023  4.14568E-011  1.00000E-040  1.00000E-040  1.11329E-033  1.89437E-020  7.97776E-007  1.24280E-029  2.01165E-026  5.24623E-040  5.47001E-039  1.00000E-040  1.41875E-013  4.10179E-019  2.69292E-019  1.51422E-011  1.00000E-040  1.00000E-040  3.33897E-010  2.65385E-036  4.93939E-011  2.20287E-030  7.87314E-001  1.70346E-023  8.76057E-014  4.33106E-010  1.00000E-040  1.00000E-040  5.66514E-030  2.12500E-025  1.09345E-013  2.81653E-015  9.51528E-012  1.94035E-015  2.71651E-007  8.06229E-010  4.39694E-008  8.00133E-013  2.42483E-014  2.56912E-020  6.93491E-013  3.80423E-011  1.15567E-011  1.71098E-028  8.39868E-033  1.00000E-040  3.92684E-028  4.09336E-013  1.12473E-019  1.55495E-023  6.44219E-018  9.15219E-025  4.15616E-026  1.00000E-040  1.26946E-038  1.00000E-040  1.00000E-040  2.15555E-026  1.00000E-040  1.00000E-040  1.90707E-026  1.40833E-015  2.00903E-035  7.52338E-039  3.65881E-022  9.86318E-018  1.05907E-018  1.24123E-014  7.42163E-026  5.95217E-011  1.00000E-040  1.91008E-017  1.00000E-040  5.19530E-025  2.53694E-031  4.16361E-023  5.82272E-026  1.93300E-010  1.68354E-023  9.63198E-022  2.36378E-013  1.99958E-014  1.00000E-040  1.00000E-040  1.72596E-024  1.00000E-040  4.89043E-022  3.51627E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  9.95981E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.29435E-024  1.00000E-040  1.00000E-040  1.72678E-021  4.99006E-007  2.32844E-004  6.37749E-014  3.47680E-016  2.12011E-001  2.93856E-008  2.83056E-004  6.58097E-023  3.61361E-011  1.00000E-040  1.00000E-040  9.01463E-034  1.59230E-020  7.97421E-007  9.74485E-030  1.94565E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.93520E-014  2.77513E-019  3.10323E-019  1.22510E-011  1.00000E-040  1.00000E-040  3.33707E-010  1.23800E-036  4.93675E-011  3.31236E-030  7.87471E-001  1.62678E-023  7.02557E-014  4.25577E-010  1.00000E-040  1.00000E-040  5.15772E-030  2.04044E-025  4.27548E-013  3.32744E-015  8.78472E-012  1.50756E-015  2.71623E-007  7.07649E-010  4.88901E-008  1.04680E-012  2.13064E-014  3.33212E-020  1.26705E-012  4.52985E-011  4.66207E-012  1.71279E-028  8.66485E-033  1.00000E-040  3.81213E-028  2.59619E-013  1.12495E-019  1.69536E-023  5.87193E-018  1.21622E-024  3.77542E-026  1.00000E-040  1.17784E-038  1.00000E-040  1.00000E-040  2.38183E-026  1.00000E-040  1.00000E-040  2.14553E-026  8.36868E-016  1.46049E-035  1.00000E-040  5.28662E-022  1.29068E-017  1.18940E-018  1.50413E-014  5.35492E-026  5.74176E-011  1.00000E-040  4.25895E-017  1.00000E-040  7.17070E-025  2.25207E-031  4.16444E-023  5.63977E-026  4.73074E-011  1.50855E-023  1.22925E-021  1.60978E-013  1.99999E-014  1.00000E-040  1.00000E-040  1.02463E-024  1.00000E-040  4.34352E-022  3.50780E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.22611E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.03313E-024  1.00000E-040  1.00000E-040  1.80450E-021  4.99055E-007  1.23338E-004  6.90300E-014  4.58350E-016  2.12034E-001  2.86227E-008  2.83088E-004  4.10943E-023  2.00019E-011  1.00000E-040  1.00000E-040  7.79116E-034  1.38344E-020  7.97016E-007  8.29702E-030  1.87853E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.84513E-014  2.02874E-019  3.91292E-019  1.01110E-011  1.00000E-040  1.00000E-040  3.33469E-010  5.83907E-037  4.93415E-011  5.12218E-030  7.87557E-001  1.52090E-023  4.93324E-014  4.19103E-010  1.00000E-040  1.00000E-040  4.74075E-030  1.97726E-025  1.13669E-012  3.76993E-015  7.16640E-012  1.20002E-015  2.71557E-007  5.77223E-010  5.44222E-008  1.29311E-012  1.62694E-014  5.23373E-020  2.16589E-012  5.47131E-011  1.80848E-012  1.92038E-028  9.19138E-033  1.00000E-040  3.81050E-028  1.36661E-013  1.12508E-019  1.86769E-023  5.38744E-018  1.59148E-024  3.54182E-026  1.00000E-040  1.09102E-038  1.00000E-040  1.00000E-040  2.63579E-026  1.00000E-040  1.00000E-040  2.54514E-026  5.09574E-016  1.12926E-035  5.45301E-036  8.00991E-022  1.85981E-017  7.48996E-019  1.77343E-014  3.85321E-026  5.52782E-011  1.00000E-040  1.00184E-016  1.00000E-040  1.01865E-024  2.03992E-031  4.16489E-023  5.53230E-026  9.41663E-012  1.42880E-023  1.56806E-021  9.48878E-014  2.00014E-014  1.00000E-040  1.00000E-040  6.37480E-025  1.00000E-040  3.84506E-022  3.49983E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
