alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69246E-004  1.00000E-040  1.00000E-040  2.22686E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.98488E-023  1.00000E-040  1.00000E-040  1.64373E-021  4.95285E-007  6.30457E-003  3.79016E-014  1.17832E-016  2.10724E-001  5.51536E-008  2.81322E-004  3.25482E-022  4.92847E-010  1.00000E-040  1.00000E-040  3.34779E-033  6.12949E-020  1.60076E-006  5.60024E-029  6.43994E-027  1.00000E-040  1.00000E-040  1.00000E-040  8.70907E-012  7.85214E-018  7.89297E-019  3.49358E-011  1.00000E-040  1.00000E-040  3.33822E-010  9.00449E-035  4.99112E-011  1.08022E-031  7.82688E-001  8.86981E-024  3.89921E-014  5.53728E-010  1.00000E-040  1.00000E-040  3.15439E-029  8.99784E-025  4.80264E-013  9.09653E-016  2.00845E-011  8.68741E-015  2.70426E-007  3.04983E-009  5.46035E-008  1.20944E-011  3.28200E-013  3.55029E-019  5.70787E-013  1.85933E-011  2.70505E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.59791E-013  1.00000E-040  3.59803E-023  4.75780E-017  5.47962E-025  5.43808E-025  1.00000E-040  7.17949E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.65032E-040  9.13069E-026  1.21227E-016  1.02442E-034  1.42267E-038  5.01953E-023  1.56851E-017  2.55624E-018  1.14267E-014  8.47706E-025  7.29860E-011  1.00000E-040  3.27147E-019  1.00000E-040  2.78970E-025  1.58649E-030  1.44860E-022  5.25582E-025  2.47631E-010  1.83736E-023  2.66753E-022  2.00642E-013  2.83335E-014  1.00000E-040  1.00000E-040  2.91841E-023  1.00000E-040  7.10253E-022  3.63507E-011  1.17980E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94103E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78347E-004  1.00000E-040  1.00000E-040  2.61082E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.11781E-023  1.00000E-040  1.00000E-040  1.51595E-021  4.96621E-007  4.80718E-003  4.41407E-014  1.36042E-016  2.11042E-001  5.35308E-008  2.81750E-004  1.29777E-022  1.63972E-010  1.00000E-040  1.00000E-040  3.78388E-033  6.26700E-020  1.59955E-006  4.77240E-029  6.36127E-027  2.01575E-039  1.92073E-038  1.00000E-040  4.67313E-012  5.15771E-018  6.63753E-019  7.19062E-011  1.00000E-040  1.00000E-040  3.34000E-010  6.24177E-035  4.98408E-011  2.40425E-031  7.83867E-001  1.39688E-023  1.00529E-013  5.25674E-010  1.00000E-040  1.00000E-040  3.04497E-029  8.84250E-025  1.54190E-014  1.49052E-015  1.44480E-011  8.30108E-015  2.70800E-007  2.47451E-009  5.35011E-008  1.58158E-012  7.06307E-014  2.34104E-019  2.90624E-013  2.26967E-011  2.97568E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.09763E-013  1.00000E-040  3.62389E-023  4.20857E-017  6.55269E-025  3.80156E-025  1.00000E-040  6.93706E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.92816E-040  5.70083E-026  9.68521E-016  1.08132E-034  1.64324E-038  7.34807E-023  1.42779E-017  6.46396E-019  1.21846E-014  5.42403E-025  7.38373E-011  1.00000E-040  6.09798E-019  1.00000E-040  3.77560E-025  1.51591E-030  1.45078E-022  3.28283E-025  1.64325E-009  4.56732E-023  3.36660E-022  3.70534E-013  2.85904E-014  1.00000E-040  1.00000E-040  2.57700E-023  1.00000E-040  6.81225E-022  3.61065E-011  1.18158E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90345E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87897E-004  1.00000E-040  1.00000E-040  2.74458E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.16892E-023  1.00000E-040  1.00000E-040  1.61715E-021  4.97555E-007  3.82590E-003  5.11987E-014  1.63053E-016  2.11250E-001  5.16435E-008  2.82032E-004  5.28193E-023  5.60070E-011  1.00000E-040  1.00000E-040  4.53304E-033  6.75293E-020  1.59805E-006  3.86345E-029  6.21911E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.49517E-012  3.32461E-018  5.24926E-019  5.44826E-011  1.00000E-040  1.00000E-040  3.34024E-010  4.78895E-035  4.97668E-011  4.35510E-031  7.84640E-001  1.81034E-023  1.17472E-013  5.01334E-010  1.00000E-040  1.00000E-040  2.86008E-029  8.37878E-025  2.57329E-015  1.96811E-015  1.26207E-011  7.96890E-015  2.71028E-007  2.07613E-009  5.29885E-008  3.70925E-013  2.18866E-014  1.69298E-019  1.46350E-013  2.23889E-011  3.11236E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.81393E-013  1.00000E-040  3.67231E-023  3.65544E-017  8.17535E-025  2.71789E-025  1.00000E-040  6.55433E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.11882E-040  5.21836E-026  3.84769E-015  1.22721E-034  2.12087E-038  1.02294E-022  1.20214E-017  2.75210E-019  1.32489E-014  4.09780E-025  7.45531E-011  1.00000E-040  9.98544E-019  1.00000E-040  4.87778E-025  1.40805E-030  1.45221E-022  2.40889E-025  2.77413E-009  4.11743E-023  4.21316E-022  4.63467E-013  2.87878E-014  1.00000E-040  1.00000E-040  2.35453E-023  1.00000E-040  6.36580E-022  3.58853E-011  1.18274E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97162E-001  1.86468E+019  2.70798E+002  1.00000E+005  5.44514E-004  1.00000E-040  1.00000E-040  1.64282E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.47188E-023  1.00000E-040  1.00000E-040  1.78600E-021  4.98521E-007  2.94983E-003  5.62500E-014  1.98985E-016  2.11435E-001  4.99691E-008  2.82283E-004  3.90728E-023  3.58846E-011  1.00000E-040  1.00000E-040  4.83466E-033  6.84892E-020  1.59688E-006  2.91733E-029  6.03623E-027  1.03388E-038  1.03399E-037  1.00000E-040  1.34678E-012  2.03845E-018  4.07094E-019  4.12363E-011  1.00000E-040  1.00000E-040  3.34032E-010  3.40496E-035  4.97055E-011  6.38110E-031  7.85330E-001  1.95967E-023  1.19108E-013  4.80663E-010  1.00000E-040  1.00000E-040  2.63184E-029  7.89528E-025  1.70188E-015  2.43213E-015  1.22278E-011  6.46836E-015  2.71223E-007  1.79401E-009  5.34367E-008  2.54620E-013  1.64661E-014  1.14116E-019  8.07948E-014  2.25464E-011  3.01546E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.40151E-013  1.00000E-040  3.74457E-023  3.18078E-017  1.01846E-024  2.17411E-025  1.00000E-040  6.09042E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.06361E-040  5.22929E-026  5.77035E-015  1.23624E-034  2.13035E-038  1.35107E-022  9.95946E-018  3.04681E-019  1.50929E-014  3.32061E-025  7.46051E-011  1.00000E-040  1.58253E-018  1.00000E-040  6.04477E-025  1.27878E-030  1.45349E-022  2.11315E-025  3.35839E-009  3.51688E-023  5.27257E-022  4.65260E-013  2.89191E-014  1.00000E-040  1.00000E-040  1.92945E-023  1.00000E-040  5.82081E-022  3.56944E-011  1.18380E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48663E-004  1.00000E-040  1.00000E-040  4.92293E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.29866E-024  1.00000E-040  1.00000E-040  1.92155E-021  4.99600E-007  2.07914E-003  5.87648E-014  2.44749E-016  2.11620E-001  4.85984E-008  2.82533E-004  4.41443E-023  3.60547E-011  1.00000E-040  1.00000E-040  4.46179E-033  6.37365E-020  1.59616E-006  2.11165E-029  5.82938E-027  1.00000E-040  1.00000E-040  1.00000E-040  7.44209E-013  1.21523E-018  3.27335E-019  3.13836E-011  1.00000E-040  1.00000E-040  3.34056E-010  2.11320E-035  4.96603E-011  8.45616E-031  7.86016E-001  1.92560E-023  1.15295E-013  4.63394E-010  1.00000E-040  1.00000E-040  2.38555E-029  7.41813E-025  2.14654E-015  2.95670E-015  1.19707E-011  4.71329E-015  2.71411E-007  1.57465E-009  5.48888E-008  2.86538E-013  1.68498E-014  6.74330E-020  5.92801E-014  2.33020E-011  2.60753E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.31094E-013  1.00000E-040  3.84383E-023  2.78340E-017  1.27438E-024  1.84302E-025  1.00000E-040  5.59110E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.77185E-040  5.22509E-026  5.42348E-015  1.06527E-034  2.93702E-038  1.74527E-022  8.66965E-018  4.28050E-019  1.79711E-014  2.62569E-025  7.38988E-011  1.00000E-040  2.61585E-018  1.00000E-040  7.40197E-025  1.14006E-030  1.45476E-022  1.97107E-025  3.43293E-009  2.89370E-023  6.61247E-022  4.27747E-013  2.90028E-014  1.00000E-040  1.00000E-040  1.37163E-023  1.00000E-040  5.21814E-022  3.55344E-011  1.18484E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58187E-004  1.00000E-040  1.00000E-040  2.47645E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.80962E-024  1.00000E-040  1.00000E-040  2.07113E-021  5.00684E-007  1.37615E-003  6.06242E-014  3.04477E-016  2.11769E-001  4.74933E-008  2.82735E-004  5.60578E-023  4.09257E-011  1.00000E-040  1.00000E-040  3.90308E-033  5.72935E-020  1.59553E-006  1.54187E-029  5.60925E-027  1.00000E-040  1.00000E-040  1.00000E-040  4.21976E-013  7.37407E-019  2.80994E-019  2.40724E-011  1.00000E-040  1.00000E-040  3.34034E-010  1.22123E-035  4.96215E-011  1.14032E-030  7.86570E-001  1.88770E-023  1.09851E-013  4.48959E-010  1.00000E-040  1.00000E-040  2.14070E-029  6.95231E-025  3.46211E-015  3.58092E-015  1.18432E-011  3.45120E-015  2.71547E-007  1.43786E-009  5.72741E-008  3.69462E-013  1.87388E-014  4.05231E-020  6.97972E-014  2.55288E-011  2.16541E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.08429E-013  1.00000E-040  3.97677E-023  2.45159E-017  1.63009E-024  1.58946E-025  1.00000E-040  5.09043E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.43460E-040  5.22159E-026  4.15576E-015  8.63155E-035  4.27878E-038  2.26768E-022  8.13241E-018  6.26066E-019  2.17483E-014  2.03435E-025  7.25325E-011  1.00000E-040  4.54128E-018  1.00000E-040  9.21402E-025  1.00272E-030  1.45578E-022  1.85596E-025  3.10944E-009  2.38126E-023  8.32075E-022  3.77571E-013  2.90522E-014  1.00000E-040  1.00000E-040  9.12942E-024  1.00000E-040  4.59818E-022  3.53962E-011  1.18565E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57572E-004  1.00000E-040  1.00000E-040  1.01250E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.64746E-024  1.00000E-040  1.00000E-040  2.25548E-021  5.01729E-007  8.42269E-004  6.25687E-014  3.80306E-016  2.11882E-001  4.65941E-008  2.82889E-004  7.37978E-023  4.81427E-011  1.00000E-040  1.00000E-040  3.26815E-033  4.97278E-020  1.59490E-006  1.15719E-029  5.38364E-027  1.35493E-037  1.40101E-036  1.00000E-040  2.45070E-013  4.63466E-019  2.65531E-019  1.86221E-011  1.00000E-040  1.00000E-040  3.33962E-010  6.44868E-036  4.95866E-011  1.64506E-030  7.86990E-001  1.88584E-023  1.03292E-013  4.36845E-010  1.00000E-040  1.00000E-040  1.91008E-029  6.49920E-025  6.53296E-015  4.31172E-015  1.18448E-011  2.59620E-015  2.71631E-007  1.36271E-009  6.04992E-008  5.02887E-013  2.14548E-014  2.71475E-020  1.18229E-013  2.93383E-011  1.69123E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.85173E-013  1.00000E-040  4.15116E-023  2.17406E-017  2.15789E-024  1.37900E-025  1.00000E-040  4.60996E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.10043E-040  5.23765E-026  2.87005E-015  6.61266E-035  6.46578E-038  3.05166E-022  8.52109E-018  9.46752E-019  2.62510E-014  1.54148E-025  7.06610E-011  1.00000E-040  8.68278E-018  1.00000E-040  1.19477E-024  8.73590E-031  1.45656E-022  1.74600E-025  2.51096E-009  1.99274E-023  1.04783E-021  3.23487E-013  2.90804E-014  1.00000E-040  1.00000E-040  5.76161E-024  1.00000E-040  3.99485E-022  3.52748E-011  1.18619E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46532E-004  1.00000E-040  1.00000E-040  3.34793E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.15303E-024  1.00000E-040  1.00000E-040  2.54961E-021  5.02680E-007  4.82799E-004  6.60917E-014  4.77779E-016  2.11958E-001  4.58273E-008  2.82994E-004  1.00324E-022  5.79655E-011  1.00000E-040  1.00000E-040  2.77937E-033  4.31395E-020  1.59419E-006  9.16314E-030  5.15813E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.45181E-013  3.08909E-019  2.78314E-019  1.45385E-011  1.00000E-040  1.00000E-040  3.33831E-010  3.25539E-036  4.95529E-011  2.60471E-030  7.87273E-001  1.94706E-023  9.67575E-014  4.26598E-010  1.00000E-040  1.00000E-040  1.70235E-029  6.07513E-025  1.42768E-014  5.14204E-015  1.20939E-011  2.01393E-015  2.71660E-007  1.33540E-009  6.44452E-008  6.98551E-013  2.47640E-014  2.47449E-020  2.29439E-013  3.49101E-011  1.16663E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.66981E-013  1.00000E-040  4.37482E-023  1.94264E-017  2.95054E-024  1.21397E-025  1.00000E-040  4.16288E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.85426E-040  5.32901E-026  1.92268E-015  5.09729E-035  6.82030E-038  4.31970E-022  1.00205E-017  1.48484E-018  3.10308E-014  1.16296E-025  6.84338E-011  1.00000E-040  1.82325E-017  1.00000E-040  1.63528E-024  7.57677E-031  1.45708E-022  1.64461E-025  1.76756E-009  1.73198E-023  1.31982E-021  2.68215E-013  2.90956E-014  1.00000E-040  1.00000E-040  3.63109E-024  1.00000E-040  3.43487E-022  3.51653E-011  1.18643E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53689E-004  1.00000E-040  1.00000E-040  7.49557E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.96134E-024  1.00000E-040  1.00000E-040  3.01498E-021  5.03493E-007  2.61868E-004  7.20471E-014  6.03207E-016  2.12005E-001  4.51097E-008  2.83059E-004  1.39531E-022  7.06622E-011  1.00000E-040  1.00000E-040  2.45373E-033  3.78849E-020  1.59338E-006  7.75118E-030  4.93733E-027  2.30021E-038  2.67775E-037  1.00000E-040  8.78319E-014  2.20776E-019  3.24536E-019  1.14933E-011  1.00000E-040  1.00000E-040  3.33649E-010  1.59539E-036  4.95201E-011  4.54632E-030  7.87447E-001  2.07758E-023  8.99876E-014  4.17888E-010  1.00000E-040  1.00000E-040  1.52328E-029  5.70352E-025  3.78166E-014  6.02796E-015  1.26021E-011  1.60509E-015  2.71643E-007  1.32998E-009  6.89833E-008  9.75747E-013  2.82673E-014  3.17849E-020  4.57864E-013  4.22735E-011  5.33270E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.54976E-013  1.00000E-040  4.65569E-023  1.75121E-017  4.09481E-024  1.09510E-025  1.00000E-040  3.75768E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.71762E-040  5.53950E-026  1.29100E-015  4.04438E-035  8.32868E-038  6.48009E-022  1.32640E-017  2.41112E-018  3.56457E-014  8.81284E-026  6.59914E-011  1.00000E-040  4.20614E-017  1.00000E-040  2.36597E-024  6.58065E-031  1.45741E-022  1.55939E-025  1.01530E-009  1.58032E-023  1.66060E-021  2.12287E-013  2.91030E-014  1.00000E-040  1.00000E-040  2.33603E-024  1.00000E-040  2.93710E-022  3.50652E-011  1.18663E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44428E-005  1.00000E-040  1.00000E-040  2.15854E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.41741E-024  1.00000E-040  1.00000E-040  3.66913E-021  5.04121E-007  1.38971E-004  8.04275E-014  7.68638E-016  2.12031E-001  4.43278E-008  2.83096E-004  1.87688E-022  8.26561E-011  1.00000E-040  1.00000E-040  2.25457E-033  3.39177E-020  1.59247E-006  6.98836E-030  4.72122E-027  1.00000E-040  1.00000E-040  1.00000E-040  5.46935E-014  1.68422E-019  4.11070E-019  9.23887E-012  1.00000E-040  1.00000E-040  3.33417E-010  7.77000E-037  4.94880E-011  8.31644E-030  7.87544E-001  2.22926E-023  8.03043E-014  4.10343E-010  1.00000E-040  1.00000E-040  1.37456E-029  5.41645E-025  1.40532E-013  6.87416E-015  1.31860E-011  1.30519E-015  2.71588E-007  1.29999E-009  7.40697E-008  1.37080E-012  3.04769E-014  4.96516E-020  9.18751E-013  5.15773E-011  2.09206E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.45836E-013  1.00000E-040  5.00954E-023  1.59255E-017  5.59133E-024  1.01775E-025  1.00000E-040  3.39400E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.68306E-040  5.98501E-026  8.55428E-016  3.32528E-035  4.52148E-038  1.00968E-021  1.92253E-017  3.92302E-018  3.99376E-014  6.74883E-026  6.34277E-011  1.00000E-040  1.02086E-016  1.00000E-040  3.49589E-024  5.75635E-031  1.45758E-022  1.49766E-025  3.97592E-010  1.50357E-023  2.08969E-021  1.54478E-013  2.91058E-014  1.00000E-040  1.00000E-040  1.54384E-024  1.00000E-040  2.50676E-022  3.49708E-011  1.18663E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
