alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.16289E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.51034E-023  1.00000E-040  1.00000E-040  1.27348E-021  4.95285E-007  6.30456E-003  4.66890E-014  8.62183E-017  2.10724E-001  3.76019E-008  2.81322E-004  1.61978E-022  2.18981E-010  1.00000E-040  1.00000E-040  2.53700E-033  3.77510E-020  8.00380E-007  8.38594E-029  1.06888E-026  1.00870E-039  9.33236E-039  1.00000E-040  7.76764E-012  1.17933E-017  8.68915E-019  3.40614E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.10692E-034  4.98502E-011  1.49986E-031  7.82689E-001  1.04992E-023  3.77407E-014  5.51868E-010  1.00000E-040  1.00000E-040  1.14945E-029  3.16448E-025  1.50893E-012  6.38817E-016  1.41275E-011  1.02990E-014  1.35213E-007  1.66881E-009  3.99248E-008  1.30396E-011  1.98453E-013  3.63701E-019  1.94615E-012  1.77469E-011  2.76701E-011  6.08412E-030  5.02806E-035  6.07832E-036  7.87448E-030  2.85415E-013  6.42659E-022  1.25511E-023  1.47326E-017  2.10025E-025  1.71533E-025  1.00000E-040  1.79047E-038  1.00000E-040  1.00000E-040  1.42368E-028  1.00000E-040  1.58144E-040  3.59102E-026  1.30259E-016  7.76318E-035  3.78866E-039  5.95950E-023  1.72581E-017  1.12593E-018  3.46566E-015  6.45822E-025  7.03444E-011  1.00000E-040  4.02502E-019  1.00000E-040  1.17137E-025  5.76580E-031  2.71090E-023  1.48769E-025  3.47676E-011  2.20670E-023  1.92456E-022  1.61384E-013  1.90185E-014  1.00000E-040  1.00000E-040  2.17595E-023  1.00000E-040  6.75531E-022  3.62378E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94104E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.53582E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.62905E-024  1.00000E-040  1.00000E-040  1.17066E-021  4.96042E-007  4.80718E-003  4.56908E-014  1.00402E-016  2.11041E-001  3.63930E-008  2.81748E-004  9.77533E-023  1.21590E-010  1.00000E-040  1.00000E-040  2.03132E-033  3.24331E-020  7.99752E-007  5.83940E-029  1.05662E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.11705E-012  6.38360E-018  6.07443E-019  7.05545E-011  1.00000E-040  1.00000E-040  3.34004E-010  6.45000E-035  4.97788E-011  2.52218E-031  7.83868E-001  1.43405E-023  9.74640E-014  5.23548E-010  1.00000E-040  1.00000E-040  1.10685E-029  3.12592E-025  6.04160E-014  1.08043E-015  1.28372E-011  8.65892E-015  1.35403E-007  1.55244E-009  3.95204E-008  1.95276E-012  6.75458E-014  2.38656E-019  9.78819E-013  2.20108E-011  3.03397E-011  3.45399E-030  5.22643E-035  1.00000E-040  6.06260E-030  7.41326E-013  6.43628E-022  1.26883E-023  1.35727E-017  2.36427E-025  1.28068E-025  1.00000E-040  1.73494E-038  1.00000E-040  1.00000E-040  1.34425E-028  1.00000E-040  1.43741E-040  2.10770E-026  8.07769E-016  5.80493E-035  4.41328E-039  7.36884E-023  1.30586E-017  6.87393E-019  4.15139E-015  4.19236E-025  7.15341E-011  1.00000E-040  6.30428E-019  1.00000E-040  1.32840E-025  5.49876E-031  2.71498E-023  1.11366E-025  4.70465E-010  4.63884E-023  2.44083E-022  3.40012E-013  1.91923E-014  1.00000E-040  1.00000E-040  1.41889E-023  1.00000E-040  6.51931E-022  3.59928E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87895E-004  1.00000E-040  1.00000E-040  2.66574E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.01276E-024  1.00000E-040  1.00000E-040  1.26139E-021  4.96448E-007  3.82590E-003  5.36548E-014  1.20990E-016  2.11249E-001  3.49584E-008  2.82028E-004  4.22903E-023  4.39335E-011  1.00000E-040  1.00000E-040  2.48911E-033  3.53812E-020  7.98989E-007  4.68804E-029  1.03613E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.16375E-012  4.08905E-018  4.80178E-019  5.29512E-011  1.00000E-040  1.00000E-040  3.34035E-010  5.01142E-035  4.97048E-011  4.68054E-031  7.84641E-001  1.87288E-023  1.19069E-013  4.99132E-010  1.00000E-040  1.00000E-040  1.03976E-029  2.97904E-025  8.06435E-015  1.45468E-015  1.10022E-011  8.17886E-015  1.35520E-007  1.37699E-009  3.93800E-008  4.41022E-013  2.24798E-014  1.72283E-019  4.74835E-013  2.06296E-011  3.16711E-011  2.36144E-030  5.49444E-035  1.00000E-040  5.26747E-030  9.55313E-013  6.44262E-022  1.29666E-023  1.20846E-017  2.89906E-025  9.67387E-026  1.00000E-040  1.65232E-038  1.00000E-040  1.00000E-040  1.29292E-028  1.00000E-040  1.53468E-040  1.89260E-026  3.50231E-015  6.73863E-035  7.73737E-039  1.04588E-022  1.09891E-017  2.37458E-019  4.57557E-015  3.16359E-025  7.27359E-011  1.00000E-040  1.04514E-018  1.00000E-040  1.72997E-025  5.11101E-031  2.71766E-023  8.57786E-026  1.01661E-009  4.19367E-023  3.05736E-022  4.50404E-013  1.93283E-014  1.00000E-040  1.00000E-040  1.29161E-023  1.00000E-040  6.14936E-022  3.57728E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86468E+019  2.70798E+002  1.00000E+005  5.44512E-004  1.00000E-040  1.00000E-040  1.59563E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.11674E-023  1.00000E-040  1.00000E-040  1.37463E-021  4.96869E-007  2.94983E-003  5.93201E-014  1.48273E-016  2.11435E-001  3.36412E-008  2.82279E-004  2.63830E-023  2.37178E-011  1.00000E-040  1.00000E-040  2.68794E-033  3.61102E-020  7.98414E-007  3.49592E-029  1.01031E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.14880E-012  2.48353E-018  3.70615E-019  3.97581E-011  1.00000E-040  1.00000E-040  3.34053E-010  3.58596E-035  4.96450E-011  7.08008E-031  7.85331E-001  2.07816E-023  1.22181E-013  4.78659E-010  1.00000E-040  1.00000E-040  9.59385E-030  2.83796E-025  4.04389E-015  1.81545E-015  1.04498E-011  6.83355E-015  1.35619E-007  1.21139E-009  3.98993E-008  2.45645E-013  1.52902E-014  1.15862E-019  2.37494E-013  1.90990E-011  3.06121E-011  1.90835E-030  5.62009E-035  1.00000E-040  4.53703E-030  9.35211E-013  6.44829E-022  1.34019E-023  1.07326E-017  3.57384E-025  7.94292E-026  1.00000E-040  1.55327E-038  1.00000E-040  1.00000E-040  1.27327E-028  1.00000E-040  1.54026E-040  1.91139E-026  6.24362E-015  6.87318E-035  6.01680E-039  1.40038E-022  9.06009E-018  1.95324E-019  5.21158E-015  2.52253E-025  7.33259E-011  1.00000E-040  1.66687E-018  1.00000E-040  2.14563E-025  4.65560E-031  2.72005E-023  7.59634E-026  1.33316E-009  3.57589E-023  3.82481E-022  4.62716E-013  1.94185E-014  1.00000E-040  1.00000E-040  1.06962E-023  1.00000E-040  5.68885E-022  3.55859E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.78151E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.91809E-024  1.00000E-040  1.00000E-040  1.43987E-021  4.97387E-007  2.07914E-003  6.16434E-014  1.82952E-016  2.11620E-001  3.25333E-008  2.82527E-004  2.57422E-023  2.06869E-011  1.00000E-040  1.00000E-040  2.45454E-033  3.34263E-020  7.98083E-007  2.48815E-029  9.81276E-027  1.00000E-040  3.41759E-040  1.00000E-040  6.26771E-013  1.46077E-018  2.95122E-019  3.01249E-011  1.00000E-040  1.00000E-040  3.34089E-010  2.21400E-035  4.96029E-011  9.37974E-031  7.86017E-001  2.05190E-023  1.18648E-013  4.61903E-010  1.00000E-040  1.00000E-040  8.74401E-030  2.71009E-025  4.13464E-015  2.22307E-015  1.00228E-011  5.03150E-015  1.35716E-007  1.05683E-009  4.11326E-008  2.29601E-013  1.39233E-014  6.81687E-020  1.34164E-013  1.77671E-011  2.63781E-011  1.60725E-030  5.54795E-035  1.00000E-040  3.83384E-030  8.37963E-013  6.45391E-022  1.40129E-023  9.55767E-018  4.39244E-025  6.83867E-026  1.00000E-040  1.44625E-038  1.00000E-040  1.00000E-040  1.28216E-028  1.00000E-040  1.44549E-040  1.93355E-026  6.85142E-015  5.86029E-035  8.32583E-038  1.81250E-022  7.80942E-018  2.42892E-019  6.24823E-015  1.94391E-025  7.31618E-011  1.00000E-040  2.74081E-018  1.00000E-040  2.59866E-025  4.17431E-031  2.72242E-023  7.17713E-026  1.40128E-009  2.91370E-023  4.79074E-022  4.31599E-013  1.94755E-014  1.00000E-040  1.00000E-040  7.53042E-024  1.00000E-040  5.17201E-022  3.54334E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.40530E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.72323E-024  1.00000E-040  1.00000E-040  1.49343E-021  4.97900E-007  1.37615E-003  6.25547E-014  2.28092E-016  2.11769E-001  3.16209E-008  2.82728E-004  3.03568E-023  2.20101E-011  1.00000E-040  1.00000E-040  2.07777E-033  2.95567E-020  7.97816E-007  1.78597E-029  9.50289E-027  4.13055E-037  4.29255E-036  1.00000E-040  3.53518E-013  8.74372E-019  2.50612E-019  2.31253E-011  1.00000E-040  1.00000E-040  3.34085E-010  1.25877E-035  4.95687E-011  1.22223E-030  7.86571E-001  1.97615E-023  1.12976E-013  4.48262E-010  1.00000E-040  1.00000E-040  7.91357E-030  2.59259E-025  5.75691E-015  2.71190E-015  9.67115E-012  3.62326E-015  1.35786E-007  9.41651E-010  4.30338E-008  2.56266E-013  1.38574E-014  4.06228E-020  1.01885E-013  1.73148E-011  2.18051E-011  1.35514E-030  5.39712E-035  1.00000E-040  3.24907E-030  7.25365E-013  6.45846E-022  1.48255E-023  8.54681E-018  5.46251E-025  5.97256E-026  1.00000E-040  1.33774E-038  1.00000E-040  1.00000E-040  1.31523E-028  1.00000E-040  1.32158E-040  1.95562E-026  5.97411E-015  4.59492E-035  2.14096E-039  2.33354E-022  7.24495E-018  3.35804E-019  7.69212E-015  1.45586E-025  7.23355E-011  1.00000E-040  4.68086E-018  1.00000E-040  3.16473E-025  3.70356E-031  2.72434E-023  6.89513E-026  1.27251E-009  2.36041E-023  6.01550E-022  3.86985E-013  1.95089E-014  1.00000E-040  1.00000E-040  4.85625E-024  1.00000E-040  4.63320E-022  3.53056E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  9.83415E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.81400E-024  1.00000E-040  1.00000E-040  1.54376E-021  4.98377E-007  8.42269E-004  6.26695E-014  2.85288E-016  2.11882E-001  3.08677E-008  2.82881E-004  3.82215E-023  2.50815E-011  1.00000E-040  1.00000E-040  1.63949E-033  2.49024E-020  7.97563E-007  1.31588E-029  9.18288E-027  2.15396E-037  1.83861E-036  1.00000E-040  2.06463E-013  5.41325E-019  2.33799E-019  1.80205E-011  1.00000E-040  1.00000E-040  3.34032E-010  6.45321E-036  4.95395E-011  1.65304E-030  7.86991E-001  1.90705E-023  1.05828E-013  4.37157E-010  1.00000E-040  1.00000E-040  7.14406E-030  2.48196E-025  9.84125E-015  3.29292E-015  9.38195E-012  2.63469E-015  1.35831E-007  8.58229E-010  4.55420E-008  3.11948E-013  1.43594E-014  2.67204E-020  1.20513E-013  1.77180E-011  1.69415E-011  1.13568E-030  5.24839E-035  1.00000E-040  2.79067E-030  6.11902E-013  6.46191E-022  1.58691E-023  7.68125E-018  6.96381E-025  5.22736E-026  1.00000E-040  1.23207E-038  1.00000E-040  1.00000E-040  1.36837E-028  1.00000E-040  1.18592E-040  1.97970E-026  4.51793E-015  3.31727E-035  1.00000E-040  3.07149E-022  7.49118E-018  4.91475E-019  9.55323E-015  1.05732E-025  7.10059E-011  1.00000E-040  8.68817E-018  1.00000E-040  3.96369E-025  3.26519E-031  2.72580E-023  6.65100E-026  1.01112E-009  1.93147E-023  7.55388E-022  3.38489E-013  1.95279E-014  1.00000E-040  1.00000E-040  2.89332E-024  1.00000E-040  4.10178E-022  3.51970E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.25175E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.40512E-024  1.00000E-040  1.00000E-040  1.63716E-021  4.98776E-007  4.82799E-004  6.34118E-014  3.58763E-016  2.11958E-001  3.02258E-008  2.82984E-004  4.99944E-023  2.94987E-011  1.00000E-040  1.00000E-040  1.27951E-033  2.06940E-020  7.97274E-007  1.01979E-029  8.85955E-027  1.00000E-040  3.76354E-040  1.00000E-040  1.24636E-013  3.54273E-019  2.41146E-019  1.42722E-011  1.00000E-040  1.00000E-040  3.33923E-010  3.12106E-036  4.95122E-011  2.39114E-030  7.87274E-001  1.87781E-023  9.84854E-014  4.28043E-010  1.00000E-040  1.00000E-040  6.46264E-030  2.38152E-025  2.03787E-014  3.96936E-015  9.25539E-012  1.95497E-015  1.35848E-007  8.00457E-010  4.85853E-008  3.99663E-013  1.51873E-014  2.35560E-020  1.96718E-013  1.89851E-011  1.16287E-011  9.55381E-031  5.18542E-035  1.00000E-040  2.45798E-030  5.02179E-013  6.46423E-022  1.71726E-023  6.94854E-018  9.11352E-025  4.61719E-026  1.00000E-040  1.13201E-038  1.00000E-040  1.00000E-040  1.43796E-028  1.00000E-040  1.07353E-040  2.02582E-026  3.15422E-015  2.34658E-035  1.90637E-037  4.19837E-022  8.66214E-018  7.52076E-019  1.17359E-014  7.59768E-026  6.93227E-011  1.00000E-040  1.74766E-017  1.00000E-040  5.17454E-025  2.87451E-031  2.72678E-023  6.44067E-026  6.86834E-010  1.63131E-023  9.48521E-022  2.88383E-013  1.95380E-014  1.00000E-040  1.00000E-040  1.67657E-024  1.00000E-040  3.60114E-022  3.51018E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.28039E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.21254E-024  1.00000E-040  1.00000E-040  1.80267E-021  4.99078E-007  2.61868E-004  6.56872E-014  4.53498E-016  2.12005E-001  2.96426E-008  2.83048E-004  6.56649E-023  3.44928E-011  1.00000E-040  1.00000E-040  1.02009E-033  1.72697E-020  7.96941E-007  8.42280E-030  8.53828E-027  1.00000E-040  1.00000E-040  1.00000E-040  7.78986E-014  2.47981E-019  2.76215E-019  1.15192E-011  1.00000E-040  1.00000E-040  3.33764E-010  1.45368E-036  4.94861E-011  3.75837E-030  7.87448E-001  1.89779E-023  9.09166E-014  4.20494E-010  1.00000E-040  1.00000E-040  5.88528E-030  2.29837E-025  5.26040E-014  4.72204E-015  9.27808E-012  1.48200E-015  1.35843E-007  7.53895E-010  5.20973E-008  5.24304E-013  1.58984E-014  2.91288E-020  3.60751E-013  2.10457E-011  5.30966E-012  8.22683E-031  5.26357E-035  1.00000E-040  2.23503E-030  3.95480E-013  6.46566E-022  1.87661E-023  6.33708E-018  1.20923E-024  4.16305E-026  1.00000E-040  1.03948E-038  1.00000E-040  1.00000E-040  1.52086E-028  1.00000E-040  1.00000E-040  2.11540E-026  2.11543E-015  1.68136E-035  4.62972E-038  6.03582E-022  1.12478E-017  1.17488E-018  1.40855E-014  5.46941E-026  6.74183E-011  1.00000E-040  3.83105E-017  1.00000E-040  7.09383E-025  2.54028E-031  2.72738E-023  6.28477E-026  3.71629E-010  1.44408E-023  1.19012E-021  2.36359E-013  1.95429E-014  1.00000E-040  1.00000E-040  9.75541E-025  1.00000E-040  3.14826E-022  3.50164E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44419E-005  1.00000E-040  1.00000E-040  2.06581E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.45556E-024  1.00000E-040  1.00000E-040  2.03576E-021  4.99261E-007  1.38971E-004  7.01224E-014  5.79212E-016  2.12031E-001  2.90530E-008  2.83084E-004  7.77399E-023  3.59536E-011  1.00000E-040  1.00000E-040  8.57066E-034  1.47856E-020  7.96556E-007  7.45795E-030  8.21836E-027  1.00000E-040  1.00000E-040  1.00000E-040  5.06883E-014  1.86347E-019  3.46264E-019  9.49655E-012  1.00000E-040  1.00000E-040  3.33557E-010  6.77114E-037  4.94605E-011  6.29096E-030  7.87545E-001  1.94697E-023  8.11736E-014  4.14074E-010  1.00000E-040  1.00000E-040  5.41393E-030  2.24502E-025  1.76893E-013  5.50542E-015  9.16784E-012  1.15086E-015  1.35818E-007  6.94953E-010  5.60991E-008  6.71140E-013  1.53908E-014  4.45137E-020  6.74048E-013  2.38966E-011  2.05465E-012  7.54518E-031  5.49861E-035  1.00000E-040  2.09789E-030  2.88288E-013  6.46645E-022  2.07236E-023  5.82839E-018  1.58542E-024  3.87289E-026  1.00000E-040  9.54409E-039  1.00000E-040  1.00000E-040  1.61704E-028  1.00000E-040  1.00000E-040  2.30004E-026  1.39124E-015  1.26409E-035  1.00000E-040  9.07371E-022  1.61007E-017  1.66937E-018  1.64739E-014  3.98086E-026  6.53774E-011  1.00000E-040  8.88711E-017  1.00000E-040  1.00313E-024  2.26430E-031  2.72771E-023  6.21279E-026  1.36214E-010  1.34748E-023  1.49533E-021  1.81181E-013  1.95448E-014  1.00000E-040  1.00000E-040  5.88578E-025  1.00000E-040  2.74809E-022  3.49368E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
