alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.21159E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.06187E-023  1.00000E-040  1.00000E-040  2.10775E-021  4.95284E-007  6.30455E-003  7.73351E-014  3.72464E-017  2.10723E-001  3.41442E-008  2.81321E-004  3.59729E-022  3.06457E-010  1.00000E-040  1.00000E-040  6.96867E-033  6.25316E-020  8.00378E-007  5.76937E-028  9.65623E-026  5.64417E-039  4.96923E-038  1.00000E-040  5.28944E-012  3.52190E-017  9.86590E-019  2.65488E-011  1.00000E-040  1.00000E-040  3.33821E-010  1.78965E-034  4.86204E-011  4.72664E-031  7.82687E-001  2.06449E-023  7.81441E-014  5.26353E-010  1.00000E-040  1.00000E-040  2.21209E-028  5.49327E-024  6.77186E-013  3.59271E-016  1.98891E-011  1.34058E-014  2.70425E-006  2.25066E-009  1.50844E-008  9.23523E-012  6.66916E-014  4.12844E-019  9.78842E-013  2.22263E-011  3.13652E-011  1.14424E-028  1.62543E-033  1.40002E-034  8.53149E-029  4.27926E-013  1.05107E-020  2.09526E-022  1.74591E-017  3.18004E-025  1.68854E-024  3.35947E-040  8.88170E-037  1.00000E-040  1.00000E-040  1.04110E-027  1.00000E-040  4.54720E-039  5.56933E-025  2.94673E-016  2.13241E-034  3.15291E-038  8.31840E-023  1.95762E-017  2.13269E-018  4.00212E-015  9.03959E-025  5.92786E-011  1.00000E-040  6.50254E-019  1.00000E-040  1.76230E-025  1.12089E-029  1.85020E-022  1.30003E-024  1.46743E-010  2.84898E-023  3.83747E-022  2.17564E-013  2.55977E-014  1.00000E-040  1.00000E-040  6.38509E-023  1.00000E-040  1.71451E-021  3.40322E-011  3.16578E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94106E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.59291E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.16396E-023  1.00000E-040  1.00000E-040  2.00289E-021  4.95694E-007  4.80716E-003  9.02968E-014  4.25427E-017  2.11041E-001  3.22869E-008  2.81750E-004  1.25208E-022  8.93290E-011  1.00000E-040  1.00000E-040  7.89873E-033  6.39421E-020  7.97829E-007  3.86624E-028  9.56725E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.16137E-012  1.84758E-017  6.45315E-019  5.60049E-011  1.00000E-040  1.00000E-040  3.33650E-010  1.23748E-034  4.84030E-011  1.09163E-030  7.83866E-001  3.21158E-023  1.46605E-013  4.76349E-010  1.00000E-040  1.00000E-040  2.13399E-028  5.46623E-024  1.78613E-014  5.03835E-016  1.46982E-011  1.27530E-014  2.70781E-006  1.78583E-009  1.44785E-008  1.25268E-012  3.31896E-014  2.97439E-019  3.90091E-013  4.42922E-011  3.74459E-011  7.79456E-029  1.99936E-033  1.64925E-036  7.43132E-029  8.77329E-013  1.05266E-020  2.18824E-022  1.55693E-017  3.90780E-025  1.65595E-024  3.36433E-040  8.71288E-037  1.00000E-040  1.00000E-040  9.63387E-028  1.00000E-040  4.96747E-039  4.23455E-025  2.20098E-015  2.25723E-034  4.63856E-038  1.22191E-022  1.38565E-017  4.87113E-019  4.22407E-015  5.81546E-025  6.00218E-011  1.00000E-040  1.21146E-018  1.00000E-040  2.32437E-025  1.07045E-029  1.85299E-022  1.31576E-024  1.12146E-009  7.27706E-023  4.75523E-022  4.04317E-013  2.57919E-014  1.00000E-040  1.00000E-040  5.66405E-023  1.00000E-040  1.67310E-021  3.35246E-011  3.17055E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90347E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87896E-004  1.00000E-040  1.00000E-040  2.72576E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.27294E-023  1.00000E-040  1.00000E-040  2.24672E-021  4.95992E-007  3.82589E-003  1.06568E-013  5.33523E-017  2.11249E-001  3.05072E-008  2.82032E-004  7.24564E-023  4.31623E-011  1.00000E-040  1.00000E-040  9.77585E-033  6.99582E-020  7.95401E-007  2.39877E-028  9.41321E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.65710E-013  9.20478E-018  4.07836E-019  3.59163E-011  1.00000E-040  1.00000E-040  3.33345E-010  9.63204E-035  4.81979E-011  1.89533E-030  7.84639E-001  3.87573E-023  1.55114E-013  4.33571E-010  1.00000E-040  1.00000E-040  2.02389E-028  5.51062E-024  8.20352E-015  6.52419E-016  1.37801E-011  1.12518E-014  2.70991E-006  1.54284E-009  1.48276E-008  7.12067E-013  4.60734E-014  2.13088E-019  2.02593E-013  7.00337E-011  3.89785E-011  6.56280E-029  2.16148E-033  1.77544E-038  6.83750E-029  8.67577E-013  1.05369E-020  2.38230E-022  1.40585E-017  4.96515E-025  1.67144E-024  3.36732E-040  8.42708E-037  1.00000E-040  1.00000E-040  9.63667E-028  1.00000E-040  5.63847E-039  4.56401E-025  4.12912E-015  2.64656E-034  4.20763E-038  1.69551E-022  9.32135E-018  3.67319E-019  4.64452E-015  4.60726E-025  5.93675E-011  1.00000E-040  2.01292E-018  1.00000E-040  2.98683E-025  1.00275E-029  1.85481E-022  1.36919E-024  1.64125E-009  5.64975E-023  6.15203E-022  4.20046E-013  2.59320E-014  1.00000E-040  1.00000E-040  5.34507E-023  1.00000E-040  1.60304E-021  3.30689E-011  3.17171E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97164E-001  1.86469E+019  2.70798E+002  1.00000E+005  5.44513E-004  1.00000E-040  1.00000E-040  1.63156E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.67482E-023  1.00000E-040  1.00000E-040  2.62885E-021  4.96481E-007  2.94983E-003  1.22229E-013  7.18202E-017  2.11435E-001  2.91028E-008  2.82284E-004  9.96247E-023  5.06390E-011  1.00000E-040  1.00000E-040  1.13400E-032  7.39403E-020  7.93412E-007  1.40917E-028  9.22219E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.44158E-013  4.41608E-018  2.70123E-019  2.27954E-011  1.00000E-040  1.00000E-040  3.33044E-010  7.13395E-035  4.80220E-011  2.93751E-030  7.85329E-001  4.23929E-023  1.51332E-013  3.97584E-010  1.00000E-040  1.00000E-040  1.90414E-028  5.74490E-024  1.39598E-014  8.49016E-016  1.44210E-011  9.10032E-015  2.71166E-006  1.44933E-009  1.63113E-008  1.00715E-012  7.06743E-014  1.38629E-019  2.54848E-013  1.02799E-010  3.66680E-011  6.10483E-029  2.31930E-033  1.79292E-040  6.66621E-029  7.13716E-013  1.05462E-020  2.69834E-022  1.29765E-017  6.32844E-025  1.72265E-024  3.36985E-040  8.05665E-037  1.00000E-040  1.00000E-040  1.04189E-027  1.00000E-040  6.42511E-039  5.30981E-025  3.32664E-015  2.89969E-034  5.69784E-038  2.23634E-022  6.59387E-018  6.49439E-019  5.51771E-015  3.91062E-025  5.68297E-011  1.00000E-040  3.32233E-018  1.00000E-040  3.80419E-025  9.29124E-030  1.85645E-022  1.46447E-024  1.57563E-009  4.22455E-023  8.38801E-022  3.58501E-013  2.60227E-014  1.00000E-040  1.00000E-040  4.74538E-023  1.00000E-040  1.51041E-021  3.26734E-011  3.17437E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13446E-001  1.67621E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.88913E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.36979E-024  1.00000E-040  1.00000E-040  3.03370E-021  4.97166E-007  2.07913E-003  1.33914E-013  1.00668E-016  2.11619E-001  2.80326E-008  2.82534E-004  1.69973E-022  7.59598E-011  1.00000E-040  1.00000E-040  1.14913E-032  7.20573E-020  7.91918E-007  8.39889E-029  9.00907E-026  3.49435E-038  3.40006E-037  1.00000E-040  1.38391E-013  2.17954E-018  2.02959E-019  1.44624E-011  1.00000E-040  1.00000E-040  3.32779E-010  4.63494E-035  4.78797E-011  4.31101E-030  7.86015E-001  4.39850E-023  1.39316E-013  3.67889E-010  1.00000E-040  1.00000E-040  1.78088E-028  6.13533E-024  3.71823E-014  1.10374E-015  1.55401E-011  7.24004E-015  2.71333E-006  1.42173E-009  1.88941E-008  1.59935E-012  9.72250E-014  7.77457E-020  6.42240E-013  1.42139E-010  3.05301E-011  5.95279E-029  2.44367E-033  1.00000E-040  6.69596E-029  5.33372E-013  1.05554E-020  3.16045E-022  1.21184E-017  8.10477E-025  1.78368E-024  3.37230E-040  7.62740E-037  1.00000E-040  1.00000E-040  1.19129E-027  1.00000E-040  7.10896E-039  6.33116E-025  2.13459E-015  2.74359E-034  7.97035E-038  2.83677E-022  5.36182E-018  1.27170E-018  7.06883E-015  3.27351E-025  5.27099E-011  1.00000E-040  5.74729E-018  1.00000E-040  4.83411E-025  8.52838E-030  1.85807E-022  1.59485E-024  1.05888E-009  3.03879E-023  1.18478E-021  2.76117E-013  2.60791E-014  1.00000E-040  1.00000E-040  3.69384E-023  1.00000E-040  1.40025E-021  3.23409E-011  3.17781E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38326E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.45943E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.92119E-024  1.00000E-040  1.00000E-040  3.50507E-021  4.97831E-007  1.37615E-003  1.41846E-013  1.43487E-016  2.11768E-001  2.70775E-008  2.82736E-004  2.79116E-022  1.11760E-010  1.00000E-040  1.00000E-040  1.05910E-032  6.64326E-020  7.90722E-007  5.50582E-029  8.78063E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.67923E-014  1.19438E-018  1.78720E-019  9.20101E-012  1.00000E-040  1.00000E-040  3.32488E-010  2.74622E-035  4.77616E-011  5.92399E-030  7.86569E-001  4.28443E-023  1.15852E-013  3.43588E-010  1.00000E-040  1.00000E-040  1.65603E-028  6.64937E-024  1.82756E-013  1.37292E-015  1.70220E-011  5.75094E-015  2.71445E-006  1.38998E-009  2.23639E-008  2.71121E-012  1.16811E-013  4.28635E-020  1.88886E-012  1.93376E-010  2.43273E-011  6.50649E-029  2.54803E-033  1.00000E-040  6.78622E-029  3.36273E-013  1.05628E-020  3.79354E-022  1.13253E-017  1.05842E-024  1.84860E-024  3.37410E-040  7.16441E-037  1.00000E-040  1.00000E-040  1.39654E-027  1.00000E-040  7.68601E-039  7.89634E-025  1.17487E-015  2.34217E-034  1.10468E-037  3.47898E-022  5.15712E-018  2.53613E-018  9.32491E-015  2.73004E-025  4.75587E-011  1.00000E-040  1.02278E-017  1.00000E-040  6.10687E-025  7.76113E-030  1.85937E-022  1.75279E-024  3.86100E-010  2.12959E-023  1.68995E-021  1.80068E-013  2.61106E-014  1.00000E-040  1.00000E-040  2.61123E-023  1.00000E-040  1.27871E-021  3.20625E-011  3.17839E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70947E-001  1.35248E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  1.00553E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.57808E-024  1.00000E-040  1.00000E-040  3.92833E-021  4.98276E-007  8.42267E-004  1.63314E-013  2.01156E-016  2.11882E-001  2.58870E-008  2.82890E-004  2.75796E-022  9.51207E-011  1.00000E-040  1.00000E-040  1.10196E-032  6.42664E-020  7.89741E-007  4.49999E-029  8.54286E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.30350E-014  8.21562E-019  2.05789E-019  5.80887E-012  1.00000E-040  1.00000E-040  3.32162E-010  1.61569E-035  4.76634E-011  8.91967E-030  7.86989E-001  4.01669E-023  7.20318E-014  3.23708E-010  1.00000E-040  1.00000E-040  1.52903E-028  7.18311E-024  1.66614E-012  1.53815E-015  1.52941E-011  4.89445E-015  2.71502E-006  1.13625E-009  2.62648E-008  4.20444E-012  9.11221E-014  2.54608E-020  5.38729E-012  2.57432E-010  1.82923E-011  8.96804E-029  2.84371E-033  1.00000E-040  7.45552E-029  1.28744E-013  1.05685E-020  4.62445E-022  1.04557E-017  1.48931E-024  1.96993E-024  3.37527E-040  6.69086E-037  1.00000E-040  1.00000E-040  1.62798E-027  1.00000E-040  8.94421E-039  1.09519E-024  6.30097E-016  2.22967E-034  1.19720E-037  4.74403E-022  6.58164E-018  2.72219E-018  1.13348E-014  2.16760E-025  4.20847E-011  1.00000E-040  2.17869E-017  1.00000E-040  8.61954E-025  6.99568E-030  1.86037E-022  1.92082E-024  3.96846E-011  1.62248E-023  2.36644E-021  7.65665E-014  2.61279E-014  1.00000E-040  1.00000E-040  2.02536E-023  1.00000E-040  1.15259E-021  3.18305E-011  3.17720E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10558E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.32477E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.79493E-024  1.00000E-040  1.00000E-040  4.24349E-021  4.98489E-007  4.82798E-004  1.94892E-013  2.75824E-016  2.11958E-001  2.45308E-008  2.82995E-004  1.81119E-022  5.29922E-011  1.00000E-040  1.00000E-040  1.19495E-032  6.29425E-020  7.88927E-007  4.28960E-029  8.30093E-026  1.00000E-040  1.00000E-040  1.00000E-040  9.15304E-015  6.61460E-019  2.82273E-019  3.65677E-012  1.00000E-040  1.00000E-040  3.31794E-010  9.20813E-036  4.75840E-011  1.46394E-029  7.87272E-001  3.82243E-023  3.75845E-014  3.07945E-010  1.00000E-040  1.00000E-040  1.40599E-028  7.76702E-024  5.09893E-012  1.54271E-015  1.11559E-011  4.29316E-015  2.71502E-006  7.53998E-010  3.02619E-008  6.15830E-012  6.48664E-014  1.97251E-020  1.27211E-011  3.36687E-010  1.21754E-011  1.31440E-028  3.28368E-033  1.00000E-040  8.38757E-029  3.44373E-014  1.05723E-020  5.69569E-022  9.58643E-018  2.18168E-024  2.13407E-024  3.37578E-040  6.22532E-037  1.00000E-040  1.00000E-040  1.86479E-027  1.00000E-040  1.07607E-038  1.46026E-024  3.64169E-016  2.19151E-034  1.92240E-037  6.91855E-022  1.01228E-017  1.82105E-018  1.30378E-014  1.57270E-025  3.71694E-011  1.00000E-040  5.16334E-017  1.11073E-040  1.28841E-024  6.26671E-030  1.86104E-022  2.10970E-024  7.42815E-012  1.28461E-023  3.22751E-021  2.31775E-014  2.61373E-014  1.00000E-040  1.00000E-040  1.61707E-023  1.00000E-040  1.02878E-021  3.16433E-011  3.17721E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56523E-001  1.08544E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.44137E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.33069E-024  1.00000E-040  1.00000E-040  4.71148E-021  4.98591E-007  2.61868E-004  2.25275E-013  3.70690E-016  2.12005E-001  2.33401E-008  2.83059E-004  1.48980E-022  3.76089E-011  1.00000E-040  1.00000E-040  1.18600E-032  5.85878E-020  7.88280E-007  4.30797E-029  8.06029E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.65163E-015  5.60262E-019  4.12734E-019  2.35759E-012  1.00000E-040  1.00000E-040  3.31391E-010  4.78401E-036  4.75249E-011  2.45536E-029  7.87446E-001  3.71596E-023  1.92977E-014  2.96253E-010  1.00000E-040  1.00000E-040  1.29667E-028  8.43662E-024  1.11613E-011  1.45033E-015  7.90435E-012  3.64337E-015  2.71453E-006  4.46859E-010  3.41740E-008  9.28346E-012  4.68918E-014  2.07552E-020  2.68406E-011  4.28792E-010  5.33036E-012  1.77194E-028  3.72241E-033  1.00000E-040  9.02634E-029  8.09999E-015  1.05746E-020  7.06538E-022  8.81388E-018  3.15778E-024  2.29772E-024  3.37575E-040  5.78335E-037  1.00000E-040  1.00000E-040  2.09632E-027  1.00000E-040  1.25693E-038  1.78090E-024  2.10153E-016  1.95485E-034  1.61056E-037  1.02348E-021  1.67798E-017  1.79514E-018  1.50541E-014  1.08699E-025  3.33339E-011  1.00000E-040  1.26211E-016  1.38598E-040  1.92210E-024  5.61934E-030  1.86145E-022  2.33066E-024  2.82480E-012  1.01361E-023  4.29234E-021  5.97887E-015  2.61423E-014  1.00000E-040  1.00000E-040  1.17586E-023  1.00000E-040  9.13439E-022  3.15027E-011  3.17704E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67494E+018  2.30808E+002  9.61769E+004  8.44419E-005  1.00000E-040  1.00000E-040  1.70684E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.81893E-024  1.00000E-040  1.00000E-040  5.27356E-021  4.98621E-007  1.38971E-004  2.54582E-013  4.89272E-016  2.12031E-001  2.24381E-008  2.83095E-004  1.29016E-022  2.84049E-011  1.00000E-040  1.00000E-040  1.11638E-032  5.30913E-020  7.87780E-007  4.65199E-029  7.82205E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.53090E-015  4.91195E-019  6.19569E-019  1.62645E-012  1.00000E-040  1.00000E-040  3.30951E-010  2.35898E-036  4.74856E-011  4.05013E-029  7.87543E-001  3.57634E-023  9.15125E-015  2.88303E-010  1.00000E-040  1.00000E-040  1.21111E-028  9.21810E-024  2.47335E-011  1.32854E-015  4.64867E-012  2.94796E-015  2.71362E-006  2.36527E-010  3.76639E-008  1.41713E-011  2.96832E-014  2.77401E-020  5.57883E-011  5.23721E-010  1.94963E-012  2.17117E-028  4.08922E-033  4.80720E-039  9.15698E-029  1.69546E-015  1.05759E-020  8.83409E-022  8.15012E-018  4.27756E-024  2.44078E-024  3.37528E-040  5.37061E-037  1.00000E-040  1.00000E-040  2.30280E-027  1.00000E-040  1.44538E-038  2.08046E-024  1.13346E-016  1.64657E-034  4.10174E-037  1.54638E-021  2.87511E-017  1.83189E-018  1.80849E-014  7.28838E-026  3.06893E-011  1.00000E-040  3.07989E-016  1.72343E-040  2.81043E-024  5.09666E-030  1.86168E-022  2.58914E-024  1.09072E-012  8.37859E-024  5.55860E-021  1.37480E-015  2.61444E-014  1.00000E-040  1.00000E-040  7.91236E-024  1.00000E-040  8.09486E-022  3.14062E-011  3.17875E-039  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
