alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.16705E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.61705E-023  1.00000E-040  1.00000E-040  1.40770E-021  4.95285E-007  6.30456E-003  5.17590E-014  8.57172E-017  2.10724E-001  3.69184E-008  2.81322E-004  1.87507E-022  2.29807E-010  1.00000E-040  1.00000E-040  3.11843E-033  4.18505E-020  8.00380E-007  1.05621E-028  1.27801E-026  1.62797E-039  1.51125E-038  1.00000E-040  7.20458E-012  1.28227E-017  8.94540E-019  3.27597E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.22362E-034  4.97000E-011  1.88816E-031  7.82689E-001  1.20153E-023  4.39891E-014  5.48357E-010  1.00000E-040  1.00000E-040  9.26516E-030  2.56064E-025  1.41037E-012  6.78891E-016  1.51456E-011  1.06085E-014  2.70425E-007  1.76248E-009  3.78059E-008  1.19987E-011  1.74821E-013  3.72302E-019  1.86212E-012  1.78887E-011  2.83125E-011  2.48812E-030  2.29708E-035  1.00000E-040  3.18446E-030  3.06120E-013  2.64237E-022  1.01483E-023  1.49731E-017  2.27234E-025  1.67049E-025  1.00000E-040  1.58954E-038  4.68310E-029  3.48436E-037  5.52648E-029  1.00000E-040  1.41863E-040  2.85745E-026  1.55443E-016  9.54237E-035  3.03649E-039  6.46895E-023  1.77656E-017  1.28829E-018  3.53485E-015  6.93546E-025  6.88783E-011  1.00000E-040  4.44865E-019  1.00000E-040  1.27497E-025  4.66464E-031  3.12744E-023  1.44869E-025  4.25598E-011  2.35284E-023  2.19633E-022  1.69738E-013  2.02464E-014  1.00000E-040  1.17838E-036  2.56024E-023  1.00000E-040  7.34244E-022  3.59527E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94104E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.54070E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.10982E-024  1.00000E-040  1.00000E-040  1.28224E-021  4.96015E-007  4.80718E-003  5.15038E-014  9.95453E-017  2.11041E-001  3.56044E-008  2.81748E-004  1.00928E-022  1.13457E-010  1.00000E-040  1.00000E-040  2.57940E-033  3.65494E-020  7.99533E-007  7.12603E-029  1.26228E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.67041E-012  6.80815E-018  6.12441E-019  6.80867E-011  1.00000E-040  1.00000E-040  3.33968E-010  7.24474E-035  4.96120E-011  3.28157E-031  7.83868E-001  1.66369E-023  1.06493E-013  5.17251E-010  1.00000E-040  1.00000E-040  8.87629E-030  2.50478E-025  4.82452E-014  1.09722E-015  1.31760E-011  9.10316E-015  2.70800E-007  1.59467E-009  3.73590E-008  1.73134E-012  5.75765E-014  2.48172E-019  8.95347E-013  2.24414E-011  3.14949E-011  1.43202E-030  2.41463E-035  1.00000E-040  2.50327E-030  7.84016E-013  2.64636E-022  1.01934E-023  1.36772E-017  2.56982E-025  1.16469E-025  1.00000E-040  1.53939E-038  4.69015E-029  2.71482E-037  5.23683E-029  1.00000E-040  1.29832E-040  1.71871E-026  1.01145E-015  7.37118E-035  3.50920E-039  8.13702E-023  1.31646E-017  6.59435E-019  4.17302E-015  4.44083E-025  7.00758E-011  1.00000E-040  7.08252E-019  1.00000E-040  1.46455E-025  4.42503E-031  3.13215E-023  9.81814E-026  5.63451E-010  5.04612E-023  2.74991E-022  3.58554E-013  2.04254E-014  1.00000E-040  1.19683E-036  1.72014E-023  1.00000E-040  7.08150E-022  3.56760E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87896E-004  1.00000E-040  1.00000E-040  2.67087E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.50862E-024  1.00000E-040  1.00000E-040  1.37613E-021  4.96424E-007  3.82590E-003  5.99630E-014  1.20075E-016  2.11249E-001  3.41015E-008  2.82029E-004  4.28992E-023  4.06216E-011  1.00000E-040  1.00000E-040  3.10735E-033  3.95211E-020  7.98588E-007  5.42269E-029  1.23632E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.85684E-012  4.17189E-018  4.64047E-019  5.00143E-011  1.00000E-040  1.00000E-040  3.33967E-010  5.57829E-035  4.95236E-011  5.94840E-031  7.84641E-001  2.13608E-023  1.25437E-013  4.90553E-010  1.00000E-040  1.00000E-040  8.26741E-030  2.35955E-025  7.20516E-015  1.45236E-015  1.13822E-011  8.60589E-015  2.71028E-007  1.40112E-009  3.72964E-008  4.13686E-013  2.14482E-014  1.78900E-019  4.20809E-013  2.21333E-011  3.28573E-011  1.01486E-030  2.53530E-035  1.00000E-040  2.18990E-030  9.62466E-013  2.64896E-022  1.03024E-023  1.21411E-017  3.14624E-025  8.24750E-026  1.00000E-040  1.46439E-038  4.69478E-029  1.89238E-037  5.06719E-029  1.00000E-040  1.35846E-040  1.56336E-026  4.05360E-015  8.41233E-035  4.33118E-039  1.14284E-022  1.06186E-017  2.36633E-019  4.58704E-015  3.34984E-025  7.11178E-011  1.00000E-040  1.16376E-018  1.00000E-040  1.88500E-025  4.07787E-031  3.13524E-023  7.08567E-026  1.12112E-009  4.42678E-023  3.42410E-022  4.56288E-013  2.05630E-014  1.00000E-040  1.20249E-036  1.55276E-023  1.00000E-040  6.67351E-022  3.54286E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86469E+019  2.70798E+002  1.00000E+005  5.44512E-004  1.00000E-040  1.00000E-040  1.59870E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17950E-023  1.00000E-040  1.00000E-040  1.49936E-021  4.96874E-007  2.94983E-003  6.59952E-014  1.47816E-016  2.11435E-001  3.27566E-008  2.82279E-004  2.92519E-023  2.41137E-011  1.00000E-040  1.00000E-040  3.32476E-033  4.01458E-020  7.97863E-007  3.86754E-029  1.20404E-026  1.00000E-040  1.00000E-040  1.00000E-040  9.50021E-013  2.43852E-018  3.46541E-019  3.67650E-011  1.00000E-040  1.00000E-040  3.33956E-010  3.97274E-035  4.94515E-011  8.80004E-031  7.85331E-001  2.32684E-023  1.27323E-013  4.68208E-010  1.00000E-040  1.00000E-040  7.54363E-030  2.21469E-025  4.36776E-015  1.80798E-015  1.08951E-011  7.06998E-015  2.71222E-007  1.23652E-009  3.79885E-008  2.67148E-013  1.70026E-014  1.19565E-019  2.13068E-013  2.20575E-011  3.15991E-011  8.37712E-031  2.59395E-035  1.00000E-040  1.90317E-030  9.19041E-013  2.65129E-022  1.04762E-023  1.07818E-017  3.86607E-025  6.51972E-026  1.00000E-040  1.37451E-038  4.69890E-029  1.32411E-037  5.03307E-029  1.00000E-040  1.33735E-040  1.56138E-026  6.38211E-015  8.50154E-035  4.71326E-039  1.51613E-022  8.47006E-018  2.17467E-019  5.23659E-015  2.67471E-025  7.13574E-011  1.00000E-040  1.84721E-018  1.00000E-040  2.32265E-025  3.67391E-031  3.13799E-023  6.07994E-026  1.39739E-009  3.67877E-023  4.28202E-022  4.56388E-013  2.06542E-014  1.00000E-040  1.19304E-036  1.27813E-023  1.00000E-040  6.16628E-022  3.52181E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.79071E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.15454E-024  1.00000E-040  1.00000E-040  1.57729E-021  4.97439E-007  2.07914E-003  6.86200E-014  1.83728E-016  2.11620E-001  3.16484E-008  2.82528E-004  3.17155E-023  2.34545E-011  1.00000E-040  1.00000E-040  3.03901E-033  3.71781E-020  7.97409E-007  2.66138E-029  1.16802E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.99747E-013  1.39311E-018  2.70200E-019  2.72770E-011  1.00000E-040  1.00000E-040  3.33966E-010  2.45383E-035  4.93989E-011  1.16113E-030  7.86017E-001  2.28637E-023  1.22935E-013  4.49904E-010  1.00000E-040  1.00000E-040  6.78405E-030  2.07480E-025  5.33153E-015  2.21979E-015  1.05514E-011  5.18991E-015  2.71410E-007  1.09333E-009  3.94764E-008  2.83756E-013  1.72914E-014  6.97610E-020  1.41286E-013  2.24656E-011  2.70647E-011  7.14776E-031  2.56922E-035  1.00000E-040  1.63177E-030  8.09606E-013  2.65361E-022  1.07230E-023  9.61317E-018  4.74614E-025  5.48466E-026  1.00000E-040  1.27752E-038  4.70300E-029  9.29964E-038  5.12243E-029  1.00000E-040  1.23189E-040  1.55167E-026  6.23298E-015  7.25571E-035  2.37776E-038  1.94966E-022  7.14814E-018  2.93674E-019  6.29842E-015  2.06971E-025  7.06969E-011  1.00000E-040  3.03846E-018  1.00000E-040  2.81161E-025  3.25142E-031  3.14073E-023  5.61358E-026  1.38902E-009  2.93685E-023  5.38380E-022  4.17621E-013  2.07120E-014  1.00000E-040  1.18162E-036  9.02261E-024  1.00000E-040  5.59723E-022  3.50452E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.40993E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.91522E-024  1.00000E-040  1.00000E-040  1.65400E-021  4.98009E-007  1.37615E-003  6.99255E-014  2.31148E-016  2.11769E-001  3.07494E-008  2.82729E-004  4.11976E-023  2.75446E-011  1.00000E-040  1.00000E-040  2.59363E-033  3.30074E-020  7.97040E-007  1.86770E-029  1.12976E-026  2.03956E-038  2.10880E-037  1.00000E-040  2.71771E-013  8.18191E-019  2.27340E-019  2.05022E-011  1.00000E-040  1.00000E-040  3.33936E-010  1.40075E-035  4.93557E-011  1.52695E-030  7.86571E-001  2.21308E-023  1.16374E-013  4.34973E-010  1.00000E-040  1.00000E-040  6.04748E-030  1.94053E-025  9.00048E-015  2.71594E-015  1.03486E-011  3.78075E-015  2.71546E-007  9.95989E-010  4.17002E-008  3.56495E-013  1.89833E-014  4.10932E-020  1.57080E-013  2.42269E-011  2.22348E-011  6.11022E-031  2.51511E-035  1.00000E-040  1.40899E-030  6.87741E-013  2.65548E-022  1.10650E-023  8.61072E-018  5.90992E-025  4.69697E-026  1.00000E-040  1.17925E-038  4.70632E-029  6.45830E-038  5.31706E-029  1.00000E-040  1.10575E-040  1.53933E-026  4.82458E-015  5.73574E-035  3.84830E-038  2.49790E-022  6.56980E-018  4.42616E-019  7.77563E-015  1.56518E-025  6.92686E-011  1.00000E-040  5.20993E-018  1.00000E-040  3.43653E-025  2.84278E-031  3.14295E-023  5.26612E-026  1.16294E-009  2.33925E-023  6.80422E-022  3.66833E-013  2.07459E-014  1.00000E-040  1.17336E-036  5.87459E-024  1.00000E-040  5.00381E-022  3.48998E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  9.85305E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.97514E-024  1.00000E-040  1.00000E-040  1.74260E-021  4.98539E-007  8.42269E-004  7.04650E-014  2.91901E-016  2.11882E-001  3.00051E-008  2.82882E-004  5.72526E-023  3.47007E-011  1.00000E-040  1.00000E-040  2.07035E-033  2.79701E-020  7.96703E-007  1.35958E-029  1.09036E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.53020E-013  5.01910E-019  2.12308E-019  1.56406E-011  1.00000E-040  1.00000E-040  3.33860E-010  7.22230E-036  4.93189E-011  2.08656E-030  7.86991E-001  2.14562E-023  1.07833E-013  4.22786E-010  1.00000E-040  1.00000E-040  5.37035E-030  1.81204E-025  1.96233E-014  3.29493E-015  1.02964E-011  2.79024E-015  2.71629E-007  9.31048E-010  4.45765E-008  4.87619E-013  2.13602E-014  2.65511E-020  2.68608E-013  2.74228E-011  1.71726E-011  5.23470E-031  2.46482E-035  1.00000E-040  1.23458E-030  5.62358E-013  2.65690E-022  1.15274E-023  7.74818E-018  7.55501E-025  4.02652E-026  1.00000E-040  1.08356E-038  4.70883E-029  4.33432E-038  5.59820E-029  1.00000E-040  1.00000E-040  1.53130E-026  3.22394E-015  4.18906E-035  1.00000E-040  3.27153E-022  6.79931E-018  7.16523E-019  9.68517E-015  1.15634E-025  6.72634E-011  1.00000E-040  9.72540E-018  1.00000E-040  4.32673E-025  2.46666E-031  3.14463E-023  4.94711E-026  8.04766E-010  1.88491E-023  8.61059E-022  3.10402E-013  2.07651E-014  1.00000E-040  1.16859E-036  3.54476E-024  1.00000E-040  4.41804E-022  3.47760E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.25798E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.56420E-024  1.00000E-040  1.00000E-040  1.88846E-021  4.98970E-007  4.82799E-004  7.14883E-014  3.70349E-016  2.11958E-001  2.93379E-008  2.82985E-004  8.05948E-023  4.40395E-011  1.00000E-040  1.00000E-040  1.62425E-033  2.33029E-020  7.96342E-007  1.04713E-029  1.05060E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.90572E-014  3.27248E-019  2.20220E-019  1.21244E-011  1.00000E-040  1.00000E-040  3.33728E-010  3.50186E-036  4.92850E-011  2.99900E-030  7.87274E-001  2.09421E-023  9.74974E-014  4.12761E-010  1.00000E-040  1.00000E-040  4.77472E-030  1.69369E-025  5.76455E-014  3.93386E-015  1.04539E-011  2.09020E-015  2.71657E-007  8.79215E-010  4.79958E-008  7.00026E-013  2.35981E-014  2.27860E-020  5.34361E-013  3.21635E-011  1.17174E-011  4.61180E-031  2.44873E-035  1.00000E-040  1.10483E-030  4.32548E-013  2.65785E-022  1.21340E-023  7.00655E-018  9.91964E-025  3.47037E-026  1.00000E-040  9.92968E-039  4.71052E-029  2.78287E-038  5.94686E-029  1.00000E-040  1.00000E-040  1.55327E-026  1.96962E-015  2.97882E-035  1.00000E-040  4.42903E-022  7.90592E-018  1.20859E-018  1.19419E-014  8.49637E-026  6.48691E-011  1.00000E-040  1.96123E-017  1.00000E-040  5.65303E-025  2.13523E-031  3.14576E-023  4.65229E-026  4.18219E-010  1.56233E-023  1.08936E-021  2.47506E-013  2.07753E-014  1.00000E-040  1.16437E-036  2.06900E-024  1.00000E-040  3.86566E-022  3.46677E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.29396E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.36891E-024  1.00000E-040  1.00000E-040  2.07401E-021  4.99253E-007  2.61868E-004  7.42586E-014  4.71365E-016  2.12005E-001  2.86545E-008  2.83049E-004  9.75392E-023  4.75515E-011  1.00000E-040  1.00000E-040  1.30211E-033  1.94995E-020  7.95946E-007  8.65679E-030  1.01118E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.35808E-014  2.29782E-019  2.54883E-019  9.57344E-012  1.00000E-040  1.00000E-040  3.33547E-010  1.63536E-036  4.92532E-011  4.54517E-030  7.87448E-001  2.03594E-023  8.24501E-014  4.04431E-010  1.00000E-040  1.00000E-040  4.27148E-030  1.58886E-025  2.45389E-013  4.56564E-015  1.03328E-011  1.59746E-015  2.71639E-007  7.99306E-010  5.18335E-008  9.80187E-013  2.29085E-014  2.74298E-020  1.07074E-012  3.83878E-011  5.31155E-012  4.42307E-031  2.50165E-035  1.00000E-040  1.01926E-030  2.92534E-013  2.65844E-022  1.29061E-023  6.36612E-018  1.32363E-024  3.04588E-026  1.00000E-040  9.09253E-039  4.71156E-029  1.68908E-038  6.34345E-029  1.00000E-040  1.00000E-040  1.65523E-026  1.14981E-015  2.14620E-035  6.46968E-038  6.30294E-022  1.03727E-017  1.78231E-018  1.43251E-014  6.20249E-026  6.22757E-011  1.00000E-040  4.31165E-017  1.00000E-040  7.73374E-025  1.85430E-031  3.14645E-023  4.39178E-026  1.26027E-010  1.35675E-023  1.37492E-021  1.76443E-013  2.07802E-014  1.00000E-040  1.15611E-036  1.21374E-024  1.00000E-040  3.36569E-022  3.45707E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44419E-005  1.00000E-040  1.00000E-040  2.01681E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.94407E-024  1.00000E-040  1.00000E-040  2.19076E-021  4.99365E-007  1.38971E-004  8.16672E-014  6.04696E-016  2.12031E-001  2.78804E-008  2.83085E-004  6.83317E-023  2.91460E-011  1.00000E-040  1.00000E-040  1.16070E-033  1.71970E-020  7.95503E-007  7.91409E-030  9.71990E-027  1.00000E-040  1.00000E-040  1.00000E-040  3.34064E-014  1.78551E-019  3.31878E-019  7.71449E-012  1.00000E-040  1.00000E-040  3.33317E-010  7.84649E-037  4.92224E-011  7.27048E-030  7.87545E-001  1.94069E-023  5.96385E-014  3.97318E-010  1.00000E-040  1.00000E-040  3.85906E-030  1.50177E-025  9.42673E-013  5.08494E-015  8.58647E-012  1.27227E-015  2.71583E-007  6.55195E-010  5.60769E-008  1.17121E-012  1.71793E-014  4.21227E-020  2.02755E-012  4.62845E-011  2.03957E-012  4.90056E-031  2.67994E-035  1.00000E-040  9.89420E-031  1.57294E-013  2.65876E-022  1.38844E-023  5.81113E-018  1.75321E-024  2.77809E-026  1.00000E-040  8.32405E-039  4.71214E-029  9.65091E-039  6.78399E-029  1.00000E-040  1.00000E-040  1.90823E-026  6.91878E-016  1.71193E-035  3.27651E-038  9.64052E-022  1.54230E-017  1.30049E-018  1.65216E-014  4.45931E-026  5.96421E-011  1.00000E-040  1.02977E-016  1.00000E-040  1.11341E-024  1.62384E-031  3.14684E-023  4.19011E-026  2.02380E-011  1.27484E-023  1.73413E-021  1.05464E-013  2.07820E-014  1.00000E-040  1.14061E-036  7.73526E-025  1.00000E-040  2.92438E-022  3.44804E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
