alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69246E-004  1.00000E-040  1.00000E-040  2.14107E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.81739E-023  1.00000E-040  1.00000E-040  1.67137E-021  4.95285E-007  6.30456E-003  6.04276E-014  8.55401E-017  2.10724E-001  3.63887E-008  2.81322E-004  2.41452E-022  2.49766E-010  1.00000E-040  1.00000E-040  4.25200E-033  4.88598E-020  8.00380E-007  1.41909E-028  1.59726E-026  7.61263E-039  7.44821E-038  1.00000E-040  6.41470E-012  1.39240E-017  9.31695E-019  3.06593E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.42174E-034  4.94492E-011  2.70467E-031  7.82689E-001  1.48498E-023  5.56934E-014  5.42603E-010  1.00000E-040  1.00000E-040  9.68257E-030  2.65543E-025  1.21759E-012  7.44510E-016  1.71502E-011  1.04383E-014  2.70425E-007  1.93467E-009  3.62786E-008  1.04710E-011  1.49524E-013  3.86547E-019  1.65906E-012  1.79122E-011  2.93796E-011  8.21646E-030  9.06356E-035  3.60855E-033  1.01525E-029  3.50643E-013  9.58106E-022  1.04725E-023  1.57429E-017  2.60466E-025  1.82536E-025  1.00000E-040  1.90885E-038  2.06997E-028  1.33310E-036  1.75630E-028  1.00000E-040  1.71753E-040  2.86510E-026  2.05448E-016  1.30111E-034  3.16749E-039  7.75865E-023  1.85023E-017  1.66063E-018  3.59270E-015  7.83433E-025  7.07596E-011  1.00000E-040  5.16750E-019  1.00000E-040  1.46715E-025  4.87776E-031  2.59660E-023  1.60016E-025  6.35414E-011  2.57078E-023  2.63860E-022  1.88252E-013  2.27344E-014  1.00000E-040  5.26129E-036  3.19621E-023  1.00000E-040  8.43333E-022  3.54868E-011  1.62144E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94104E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.51024E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00542E-023  1.00000E-040  1.00000E-040  1.51047E-021  4.95936E-007  4.80718E-003  6.26617E-014  9.88280E-017  2.11041E-001  3.48361E-008  2.81749E-004  1.06708E-022  9.90676E-011  1.00000E-040  1.00000E-040  3.81357E-033  4.44465E-020  7.99158E-007  9.35208E-029  1.57562E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.04804E-012  7.24346E-018  6.22493E-019  6.40849E-011  1.00000E-040  1.00000E-040  3.33911E-010  8.76149E-035  4.93336E-011  5.08673E-031  7.83868E-001  2.13149E-023  1.22033E-013  5.06971E-010  1.00000E-040  1.00000E-040  9.22179E-030  2.57081E-025  3.14477E-014  1.12550E-015  1.39005E-011  9.32299E-015  2.70795E-007  1.64976E-009  3.56923E-008  1.39080E-012  4.52365E-014  2.64519E-019  7.34208E-013  2.19779E-011  3.34714E-011  4.86041E-030  9.67763E-035  3.53375E-035  8.25361E-030  8.53099E-013  9.59550E-022  1.04795E-023  1.41434E-017  2.98754E-025  1.19212E-025  1.00000E-040  1.84785E-038  2.07309E-028  9.91867E-037  1.66520E-028  1.00000E-040  1.62124E-040  1.82197E-026  1.49199E-015  1.08981E-034  3.62016E-039  1.01806E-022  1.33796E-017  6.30421E-019  4.13005E-015  4.92889E-025  7.20630E-011  1.00000E-040  8.56853E-019  1.00000E-040  1.74254E-025  4.60087E-031  2.60052E-023  9.88160E-026  8.19620E-010  5.77849E-023  3.28195E-022  3.90227E-013  2.29248E-014  1.00000E-040  5.28084E-036  2.31064E-023  1.00000E-040  8.12380E-022  3.51587E-011  1.62388E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87896E-004  1.00000E-040  1.00000E-040  2.63885E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.04519E-023  1.00000E-040  1.00000E-040  1.60562E-021  4.96301E-007  3.82590E-003  7.20474E-014  1.19282E-016  2.11249E-001  3.31513E-008  2.82030E-004  4.29516E-023  3.39053E-011  1.00000E-040  1.00000E-040  4.48226E-033  4.74455E-020  7.97912E-007  6.57915E-029  1.54028E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.44236E-012  4.13063E-018  4.39710E-019  4.53813E-011  1.00000E-040  1.00000E-040  3.33859E-010  6.65827E-035  4.92224E-011  8.95737E-031  7.84641E-001  2.68639E-023  1.36853E-013  4.76778E-010  1.00000E-040  1.00000E-040  8.50737E-030  2.40199E-025  5.19742E-015  1.45453E-015  1.20941E-011  8.88154E-015  2.71018E-007  1.40236E-009  3.56900E-008  3.48945E-013  1.93336E-014  1.90027E-019  3.20431E-013  2.20191E-011  3.48490E-011  3.63154E-030  1.01582E-034  3.26769E-037  7.26591E-030  9.74107E-013  9.60496E-022  1.05183E-023  1.24671E-017  3.64243E-025  8.21766E-026  1.00000E-040  1.75513E-038  2.07513E-028  6.82285E-037  1.62269E-028  1.00000E-040  1.66159E-040  1.69951E-026  5.48827E-015  1.21346E-034  3.39330E-039  1.40941E-022  1.00605E-017  2.37839E-019  4.53694E-015  3.70474E-025  7.29954E-011  1.00000E-040  1.38979E-018  1.00000E-040  2.19986E-025  4.20003E-031  2.60308E-023  7.05152E-026  1.49838E-009  4.82620E-023  4.06915E-022  4.65976E-013  2.30677E-014  1.00000E-040  5.22038E-036  2.06600E-023  1.00000E-040  7.63987E-022  3.48689E-011  1.62548E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86469E+019  2.70798E+002  1.00000E+005  5.44513E-004  1.00000E-040  1.00000E-040  1.57953E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.29009E-023  1.00000E-040  1.00000E-040  1.73677E-021  4.96752E-007  2.94983E-003  7.85029E-014  1.47723E-016  2.11435E-001  3.17007E-008  2.82280E-004  3.19157E-023  2.21268E-011  1.00000E-040  1.00000E-040  4.69933E-033  4.76999E-020  7.96955E-007  4.37674E-029  1.49690E-026  1.00000E-040  1.00000E-040  1.00000E-040  6.92830E-013  2.26929E-018  3.10922E-019  3.22193E-011  1.00000E-040  1.00000E-040  3.33805E-010  4.69313E-035  4.91318E-011  1.28058E-030  7.85331E-001  2.85427E-023  1.36853E-013  4.51794E-010  1.00000E-040  1.00000E-040  7.67047E-030  2.23299E-025  3.61326E-015  1.80722E-015  1.16159E-011  7.15039E-015  2.71208E-007  1.21976E-009  3.66189E-008  2.53526E-013  1.72583E-014  1.25547E-019  1.53631E-013  2.25657E-011  3.32009E-011  3.07755E-030  1.03714E-034  2.87017E-039  6.37766E-030  9.00985E-013  9.61340E-022  1.05819E-023  1.10456E-017  4.42760E-025  6.50139E-026  1.00000E-040  1.64362E-038  2.07695E-028  4.76634E-037  1.63262E-028  1.00000E-040  1.60396E-040  1.68566E-026  7.82681E-015  1.20164E-034  7.18258E-038  1.84306E-022  7.59807E-018  2.42768E-019  5.21522E-015  2.94456E-025  7.29234E-011  1.00000E-040  2.18309E-018  1.00000E-040  2.67066E-025  3.73938E-031  2.60537E-023  6.09017E-026  1.80960E-009  3.83493E-023  5.08364E-022  4.49869E-013  2.31624E-014  1.00000E-040  5.12890E-036  1.67709E-023  1.00000E-040  7.03868E-022  3.46241E-011  1.62691E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.73326E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.51926E-024  1.00000E-040  1.00000E-040  1.81638E-021  4.97348E-007  2.07914E-003  8.11288E-014  1.85532E-016  2.11620E-001  3.05449E-008  2.82529E-004  3.69182E-023  2.31344E-011  1.00000E-040  1.00000E-040  4.24218E-033  4.38954E-020  7.96323E-007  2.85429E-029  1.44893E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.43550E-013  1.23957E-018  2.34607E-019  2.31425E-011  1.00000E-040  1.00000E-040  3.33778E-010  2.88057E-035  4.90645E-011  1.65550E-030  7.86017E-001  2.76405E-023  1.31143E-013  4.31532E-010  1.00000E-040  1.00000E-040  6.80404E-030  2.06500E-025  4.70699E-015  2.23569E-015  1.12660E-011  5.19474E-015  2.71389E-007  1.07648E-009  3.85097E-008  2.85616E-013  1.84789E-014  7.21209E-020  1.03908E-013  2.37402E-011  2.81219E-011  2.65693E-030  1.02668E-034  1.00000E-040  5.56876E-030  7.81733E-013  9.62179E-022  1.06770E-023  9.84196E-018  5.37901E-025  5.46029E-026  1.00000E-040  1.52308E-038  2.07877E-028  3.35132E-037  1.69085E-028  1.00000E-040  1.44957E-040  1.65054E-026  7.23437E-015  1.01283E-034  1.00000E-040  2.34263E-022  6.20464E-018  3.40336E-019  6.32744E-015  2.26675E-025  7.18491E-011  1.00000E-040  3.56803E-018  1.00000E-040  3.20370E-025  3.26468E-031  2.60764E-023  5.59413E-026  1.77199E-009  2.94591E-023  6.40468E-022  4.04320E-013  2.32229E-014  1.00000E-040  5.05517E-036  1.17485E-023  1.00000E-040  6.36468E-022  3.44240E-011  1.62829E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.38103E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.15743E-024  1.00000E-040  1.00000E-040  1.89695E-021  4.97971E-007  1.37615E-003  8.22848E-014  2.36544E-016  2.11769E-001  2.96408E-008  2.82731E-004  4.92745E-023  2.81264E-011  1.00000E-040  1.00000E-040  3.58594E-033  3.87822E-020  7.95821E-007  1.93293E-029  1.39820E-026  1.05591E-038  1.13582E-037  1.00000E-040  1.76834E-013  7.09486E-019  1.95307E-019  1.68820E-011  1.00000E-040  1.00000E-040  3.33715E-010  1.63638E-035  4.90099E-011  2.15122E-030  7.86571E-001  2.65602E-023  1.23440E-013  4.15165E-010  1.00000E-040  1.00000E-040  5.97526E-030  1.90110E-025  8.24156E-015  2.76713E-015  1.10798E-011  3.78946E-015  2.71519E-007  9.87851E-010  4.12934E-008  3.71664E-013  2.10147E-014  4.15502E-020  1.30508E-013  2.64517E-011  2.28425E-011  2.28816E-030  1.00563E-034  1.00000E-040  4.92205E-030  6.58156E-013  9.62857E-022  1.08306E-023  8.81327E-018  6.63904E-025  4.63619E-026  1.00000E-040  1.40075E-038  2.08023E-028  2.33363E-037  1.79120E-028  1.00000E-040  1.27475E-040  1.60792E-026  5.38160E-015  7.93020E-035  5.24567E-038  2.96927E-022  5.64148E-018  5.22060E-019  7.88543E-015  1.70719E-025  6.99723E-011  1.00000E-040  6.08783E-018  1.00000E-040  3.89179E-025  2.81261E-031  2.60948E-023  5.18063E-026  1.47120E-009  2.26665E-023  8.12731E-022  3.51543E-013  2.32587E-014  1.00000E-040  5.01108E-036  7.61455E-024  1.00000E-040  5.66215E-022  3.42574E-011  1.62962E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  9.73485E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.13377E-024  1.00000E-040  1.00000E-040  1.99483E-021  4.98563E-007  8.42269E-004  8.25451E-014  3.03133E-016  2.11882E-001  2.89195E-008  2.82884E-004  6.96627E-023  3.63381E-011  1.00000E-040  1.00000E-040  2.83627E-033  3.27112E-020  7.95382E-007  1.38079E-029  1.34602E-026  1.00000E-040  1.00000E-040  1.00000E-040  9.46339E-014  4.31629E-019  1.83923E-019  1.25299E-011  1.00000E-040  1.00000E-040  3.33609E-010  8.39817E-036  4.89643E-011  2.90868E-030  7.86991E-001  2.55963E-023  1.13763E-013  4.01938E-010  1.00000E-040  1.00000E-040  5.22378E-030  1.74365E-025  1.84696E-014  3.39827E-015  1.10759E-011  2.81135E-015  2.71594E-007  9.36530E-010  4.48755E-008  5.22011E-013  2.43296E-014  2.59116E-020  2.50896E-013  3.08282E-011  1.74554E-011  1.97287E-030  9.86106E-035  1.00000E-040  4.42266E-030  5.34276E-013  9.63371E-022  1.10722E-023  7.92637E-018  8.42603E-025  3.92285E-026  1.00000E-040  1.28142E-038  2.08134E-028  1.57162E-037  1.92717E-028  1.00000E-040  1.09738E-040  1.56706E-026  3.48171E-015  5.73879E-035  2.75944E-038  3.84700E-022  5.88661E-018  8.56183E-019  9.92442E-015  1.25826E-025  6.75199E-011  1.00000E-040  1.13107E-017  1.00000E-040  4.87590E-025  2.40296E-031  2.61087E-023  4.78643E-026  1.01193E-009  1.76890E-023  1.03355E-021  2.95156E-013  2.32792E-014  1.00000E-040  4.99141E-036  4.57494E-024  1.00000E-040  4.96905E-022  3.41172E-011  1.63070E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.21887E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.68956E-024  1.00000E-040  1.00000E-040  2.16427E-021  4.99055E-007  4.82799E-004  8.32962E-014  3.90317E-016  2.11958E-001  2.82855E-008  2.82987E-004  1.00087E-022  4.74812E-011  1.00000E-040  1.00000E-040  2.20123E-033  2.71051E-020  7.94944E-007  1.05621E-029  1.29336E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.25559E-014  2.82580E-019  1.94788E-019  9.47231E-012  1.00000E-040  1.00000E-040  3.33450E-010  4.04989E-036  4.89236E-011  4.12559E-030  7.87274E-001  2.47879E-023  1.02181E-013  3.91172E-010  1.00000E-040  1.00000E-040  4.57177E-030  1.59866E-025  5.61331E-014  4.09911E-015  1.13292E-011  2.11598E-015  2.71614E-007  8.99622E-010  4.91283E-008  7.67888E-013  2.75422E-014  2.11830E-020  5.39678E-013  3.70262E-011  1.17978E-011  1.75220E-030  9.79305E-035  1.00000E-040  4.05519E-030  4.07190E-013  9.63717E-022  1.14282E-023  7.16127E-018  1.09978E-024  3.32752E-026  1.00000E-040  1.16828E-038  2.08209E-028  1.01347E-037  2.09172E-028  1.00000E-040  1.00000E-040  1.55478E-026  2.06590E-015  4.03700E-035  1.25353E-037  5.14725E-022  6.98826E-018  1.46916E-018  1.23729E-014  9.24505E-026  6.47015E-011  1.00000E-040  2.26837E-017  1.00000E-040  6.33564E-025  2.04722E-031  2.61181E-023  4.41752E-026  5.20317E-010  1.42219E-023  1.31377E-021  2.33013E-013  2.32901E-014  1.00000E-040  4.97811E-036  2.65450E-024  1.00000E-040  4.31603E-022  3.39962E-011  1.63151E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.20607E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.47881E-024  1.00000E-040  1.00000E-040  2.37885E-021  4.99382E-007  2.61868E-004  8.58490E-014  5.03721E-016  2.12005E-001  2.76199E-008  2.83051E-004  1.24134E-022  5.30466E-011  1.00000E-040  1.00000E-040  1.73720E-033  2.25030E-020  7.94485E-007  8.71027E-030  1.24114E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.02788E-014  2.00113E-019  2.30962E-019  7.31191E-012  1.00000E-040  1.00000E-040  3.33242E-010  1.87639E-036  4.88865E-011  6.11197E-030  7.87448E-001  2.37398E-023  8.51173E-014  3.82321E-010  1.00000E-040  1.00000E-040  4.02804E-030  1.46984E-025  2.60321E-013  4.78393E-015  1.12966E-011  1.62110E-015  2.71587E-007  8.26879E-010  5.39014E-008  1.10633E-012  2.72034E-014  2.43384E-020  1.14645E-012  4.49812E-011  5.30274E-012  1.70892E-030  9.97853E-035  1.00000E-040  3.82042E-030  2.68987E-013  9.63930E-022  1.19193E-023  6.49665E-018  1.46035E-024  2.86590E-026  1.00000E-040  1.06363E-038  2.08255E-028  6.17847E-038  2.27713E-028  1.00000E-040  1.00000E-040  1.62147E-026  1.16519E-015  2.86335E-035  3.86580E-038  7.22236E-022  9.39471E-018  2.23134E-018  1.50084E-014  6.74697E-026  6.17257E-011  1.00000E-040  4.94744E-017  1.00000E-040  8.58851E-025  1.74833E-031  2.61239E-023  4.08430E-026  1.48715E-010  1.19799E-023  1.66449E-021  1.62186E-013  2.32953E-014  1.00000E-040  4.94368E-036  1.54097E-024  1.00000E-040  3.72595E-022  3.38893E-011  1.63211E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44420E-005  1.00000E-040  1.00000E-040  1.91374E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.36896E-024  1.00000E-040  1.00000E-040  2.46692E-021  4.99504E-007  1.38971E-004  9.41239E-014  6.54440E-016  2.12031E-001  2.68237E-008  2.83088E-004  8.31928E-023  3.13496E-011  1.00000E-040  1.00000E-040  1.53896E-033  1.97844E-020  7.93988E-007  8.00537E-030  1.18921E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.81191E-014  1.57770E-019  3.09447E-019  5.77478E-012  1.00000E-040  1.00000E-040  3.32986E-010  8.97474E-037  4.88514E-011  9.51194E-030  7.87545E-001  2.20818E-023  5.89018E-014  3.74842E-010  4.17678E-040  1.00000E-040  3.58743E-030  1.35994E-025  1.09926E-012  5.31938E-015  9.18650E-012  1.29803E-015  2.71521E-007  6.67862E-010  5.91716E-008  1.33463E-012  2.00931E-014  3.63635E-020  2.26801E-012  5.48967E-011  2.00284E-012  1.95414E-030  1.06931E-034  1.00000E-040  3.79555E-030  1.35363E-013  9.64048E-022  1.25765E-023  5.91478E-018  1.92642E-024  2.56487E-026  1.00000E-040  9.67616E-039  2.08280E-028  3.52437E-038  2.48153E-028  1.00000E-040  1.00000E-040  1.83798E-026  6.79924E-016  2.26982E-035  1.39692E-037  1.09485E-021  1.43810E-017  1.55339E-018  1.74410E-014  4.79584E-026  5.87699E-011  1.00000E-040  1.17764E-016  1.00000E-040  1.22582E-024  1.49881E-031  2.61271E-023  3.80840E-026  2.07360E-011  1.09986E-023  2.10518E-021  9.14602E-014  2.32971E-014  1.00000E-040  4.86756E-036  9.79457E-025  1.00000E-040  3.20660E-022  3.37911E-011  1.63259E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
