alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00966E+000  2.54480E+019  2.87368E+002  1.00000E+005  6.86946E-004  1.00000E-040  1.00000E-040  1.07092E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.82481E-020  1.00000E-040  1.00000E-040  2.97209E-018  4.95216E-007  6.44336E-003  9.52342E-014  8.91327E-015  2.10694E-004  3.16506E-008  2.81282E-004  3.35197E-019  2.28778E-010  1.00000E-040  1.86846E-040  1.07154E-026  7.78860E-017  8.00268E-007  4.16073E-021  2.23671E-020  2.86190E-031  1.71730E-030  2.21169E-039  4.13322E-012  1.99427E-016  2.49738E-015  3.04916E-011  4.41380E-033  6.42464E-037  3.33775E-010  2.17301E-031  4.64414E-011  3.00009E-024  9.93063E-001  8.03367E-020  2.08157E-013  4.07833E-010  1.00000E-040  4.86227E-037  1.63480E-023  4.35304E-019  9.04589E-013  8.37602E-014  1.99793E-011  1.36352E-014  2.70388E-007  2.15207E-009  2.81510E-009  6.93683E-012  1.42854E-014  5.22104E-019  1.38788E-012  1.53380E-011  3.85751E-011  2.14338E-030  7.14962E-035  1.00000E-040  6.50919E-031  2.07828E-012  3.03749E-025  1.94876E-017  1.91419E-014  3.96336E-022  1.36685E-019  5.56820E-034  1.86729E-030  1.00000E-040  1.00000E-040  7.22969E-030  1.28731E-033  4.45218E-031  2.81225E-020  4.17589E-016  2.60424E-031  5.66251E-031  3.15981E-022  2.56607E-014  1.74422E-015  2.53715E-015  8.35026E-022  1.84912E-010  1.00000E-040  7.42078E-019  2.95417E-036  2.03666E-022  1.60991E-024  1.03873E-017  6.90169E-020  8.37393E-011  4.01920E-020  3.06034E-022  9.41263E-013  5.14119E-014  1.52474E-034  1.00000E-040  9.84474E-020  1.00000E-040  3.76664E-020  3.08645E-011  5.50878E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97461E-001  2.31359E+019  2.80961E+002  1.00000E+005  8.98497E-004  1.00000E-040  1.00000E-040  1.25356E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.20697E-020  1.00000E-040  1.00000E-040  3.40390E-018  4.94990E-007  4.90836E-003  1.04865E-013  8.01661E-015  2.11006E-004  3.00739E-008  2.81726E-004  2.11456E-019  1.24742E-010  1.00000E-040  2.06738E-040  1.07154E-026  7.43559E-017  7.94001E-007  7.17785E-021  2.20586E-020  2.89786E-031  1.44354E-030  2.21510E-039  1.41658E-012  1.19505E-016  6.96395E-015  6.21587E-011  7.68388E-033  4.74621E-037  2.91074E-010  1.40862E-031  4.59291E-011  5.96062E-024  9.94597E-001  1.16984E-019  3.06095E-013  2.67629E-010  1.00000E-040  8.89246E-037  1.52769E-023  4.25240E-019  3.35900E-014  8.94826E-014  1.85010E-011  1.25186E-014  2.67278E-007  2.02941E-009  2.10391E-009  9.56656E-013  9.33946E-015  4.17312E-019  5.05170E-013  1.83798E-011  5.14239E-011  1.73189E-030  9.56967E-035  1.00000E-040  4.45060E-031  3.22909E-012  3.04221E-025  1.96470E-017  1.83694E-014  4.83153E-022  1.28991E-019  5.55471E-034  1.48696E-030  1.00000E-040  1.00000E-040  5.29351E-030  1.89068E-033  4.50304E-031  2.26490E-020  2.78425E-015  2.42990E-031  5.07581E-031  4.28025E-022  3.08920E-014  1.02844E-015  2.36832E-015  6.31351E-022  1.83180E-010  1.00000E-040  1.29805E-018  3.36140E-036  2.56106E-022  1.54138E-024  1.04033E-017  7.52241E-020  4.47884E-010  9.35918E-020  2.98412E-022  1.44055E-012  5.17648E-014  1.18252E-034  1.00000E-040  7.92962E-020  1.00000E-040  3.49714E-020  2.99288E-011  5.47403E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.96259E-001  2.08865E+019  2.76124E+002  1.00000E+005  6.02268E-004  1.00000E-040  1.00000E-040  1.31900E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.53009E-020  1.00000E-040  1.00000E-040  4.68211E-018  4.94541E-007  3.90165E-003  1.34961E-013  9.69351E-015  2.11206E-004  2.83383E-008  2.82019E-004  2.40144E-019  1.12553E-010  1.00000E-040  4.04071E-040  1.56387E-026  8.79987E-017  7.87624E-007  9.73569E-021  1.92850E-020  2.29268E-031  9.39789E-031  2.21733E-039  4.41696E-013  5.92318E-017  9.67477E-015  4.32809E-011  1.27971E-032  2.70264E-037  2.49689E-010  1.18913E-031  4.54064E-011  1.14203E-023  9.95604E-001  1.44583E-019  3.08375E-013  1.63310E-010  1.00000E-040  1.31563E-036  1.35467E-023  3.97683E-019  1.77033E-014  1.05951E-013  2.01092E-011  1.17563E-014  2.63692E-007  2.06708E-009  2.03607E-009  5.39650E-013  1.06858E-014  3.35292E-019  1.90760E-013  2.01488E-011  5.96824E-011  1.75677E-030  1.14678E-034  1.00000E-040  4.32465E-031  2.62270E-012  3.04528E-025  2.00316E-017  1.85252E-014  6.73661E-022  1.25839E-019  5.52615E-034  1.03998E-030  1.00000E-040  1.00000E-040  5.12914E-030  2.85580E-033  5.17244E-031  2.54301E-020  5.46686E-015  3.35895E-031  5.73693E-031  6.13673E-022  4.42817E-014  1.35169E-015  2.31006E-015  5.99132E-022  1.71943E-010  1.00000E-040  2.33395E-018  4.15069E-036  3.61278E-022  1.43104E-024  1.04138E-017  7.41313E-020  5.64686E-010  8.60443E-020  3.66490E-022  1.24286E-012  5.20152E-014  9.44887E-035  1.00000E-040  8.79736E-020  1.00000E-040  2.99048E-020  2.90081E-011  5.36310E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.05056E-001  1.88304E+019  2.71195E+002  1.00000E+005  5.51198E-004  1.00000E-040  1.00000E-040  8.16196E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.52407E-020  1.00000E-040  1.00000E-040  6.65103E-018  4.94085E-007  3.01467E-003  1.84018E-013  1.63632E-014  2.11379E-004  2.65151E-008  2.82279E-004  3.34395E-019  1.21144E-010  1.00000E-040  9.10532E-040  2.54429E-026  1.09753E-016  7.81496E-007  1.20521E-020  1.43662E-020  1.44905E-031  4.44143E-031  2.21930E-039  1.22764E-013  2.61908E-017  1.23509E-014  3.02022E-011  1.74517E-032  1.19143E-037  2.10836E-010  1.04101E-031  4.48915E-011  2.49526E-023  9.96490E-001  1.77491E-019  2.82034E-013  9.22899E-011  1.00000E-040  1.72035E-036  1.13454E-023  3.53163E-019  2.78165E-014  1.46775E-013  2.25512E-011  1.10540E-014  2.59724E-007  2.10623E-009  2.75813E-009  6.24245E-013  1.46002E-014  2.47394E-019  1.15225E-013  2.31532E-011  6.29440E-011  2.09632E-030  1.47336E-034  1.47049E-035  6.30990E-031  1.61069E-012  3.04797E-025  2.05788E-017  1.95573E-014  1.02871E-021  1.22841E-019  5.48720E-034  5.83715E-031  1.00000E-040  1.00000E-040  6.98879E-030  4.14953E-033  5.97066E-031  2.97147E-020  6.00370E-015  5.16106E-031  8.39758E-031  8.81925E-022  7.49359E-014  2.02387E-015  2.63738E-015  5.58098E-022  1.51096E-010  1.00000E-040  4.54253E-018  5.15106E-036  5.47178E-022  1.19470E-024  1.04229E-017  6.39403E-020  4.72814E-010  8.41107E-020  6.15459E-022  7.86699E-013  5.21739E-014  6.19668E-035  1.00000E-040  1.09245E-019  1.00000E-040  2.07483E-020  2.81131E-011  5.15934E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.22804E-001  1.69926E+019  2.65466E+002  1.00000E+005  5.59761E-004  1.00000E-040  1.00000E-040  2.21074E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.91386E-021  1.00000E-040  1.00000E-040  8.94732E-018  4.93667E-007  2.12357E-003  2.49663E-013  3.28380E-014  2.11553E-004  2.45526E-008  2.82540E-004  4.40599E-019  1.24130E-010  1.00000E-040  1.83488E-039  3.91921E-026  1.31339E-016  7.75837E-007  1.40686E-020  8.85665E-021  7.41519E-032  1.44670E-031  2.22128E-039  3.13508E-014  1.79561E-017  1.47968E-014  2.13201E-011  1.93282E-032  5.11609E-038  1.75398E-010  8.31100E-032  4.43996E-011  6.15766E-023  9.97381E-001  2.19752E-019  2.35423E-013  4.81514E-011  1.00000E-040  2.03095E-036  8.87863E-024  2.87694E-019  6.08552E-014  1.98372E-013  2.43396E-011  1.06475E-014  2.55412E-007  2.02999E-009  4.50316E-009  7.89882E-013  2.09198E-014  1.59561E-019  1.61075E-013  2.68346E-011  5.78736E-011  2.75726E-030  1.94462E-034  1.00000E-040  1.12624E-030  8.12610E-013  3.05064E-025  2.11085E-017  2.10564E-014  1.66846E-021  1.15254E-019  5.44020E-034  2.38814E-031  1.00000E-040  1.00000E-040  1.15068E-029  5.48597E-033  6.24037E-031  3.18185E-020  5.49903E-015  7.42023E-031  1.36013E-030  1.23070E-021  1.29657E-013  2.83451E-015  3.35510E-015  4.37236E-022  1.24572E-010  1.00000E-040  9.67703E-018  6.04878E-036  8.61034E-022  8.64032E-025  1.04320E-017  4.68920E-020  2.97713E-010  8.34034E-020  1.22285E-021  3.97834E-013  5.22738E-014  2.99146E-035  1.00000E-040  1.29027E-019  1.00000E-040  1.10354E-020  2.72634E-011  4.86215E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.48726E-001  1.53208E+019  2.59412E+002  1.00000E+005  4.64532E-004  1.00000E-040  1.00000E-040  1.13955E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.82401E-021  1.00000E-040  1.00000E-040  1.15024E-017  4.93180E-007  1.40927E-003  3.33048E-013  6.72694E-014  2.11690E-004  2.24209E-008  2.82750E-004  5.17650E-019  1.14649E-010  1.00000E-040  3.33061E-039  5.69265E-026  1.51544E-016  7.70616E-007  1.58025E-020  4.45946E-021  3.13577E-032  3.14862E-032  2.22286E-039  8.56181E-015  2.03788E-017  1.61382E-014  1.54045E-011  1.85816E-032  2.76103E-038  1.43878E-010  6.19660E-032  4.39345E-011  1.57715E-022  9.98095E-001  2.64004E-019  1.73396E-013  2.30977E-011  1.00000E-040  2.20039E-036  6.50236E-024  2.10292E-019  1.49133E-013  2.16865E-013  2.51013E-011  1.03873E-014  2.50736E-007  1.85393E-009  7.54983E-009  1.01301E-012  3.05935E-014  1.08914E-019  3.30592E-013  3.15759E-011  4.97764E-011  4.00142E-030  2.54246E-034  1.00000E-040  2.04970E-030  3.25403E-013  3.05272E-025  2.14161E-017  2.24766E-014  2.81436E-021  1.02417E-019  5.38624E-034  6.98263E-032  1.00000E-040  1.00000E-040  1.94847E-029  6.68184E-033  5.73467E-031  2.98563E-020  4.51848E-015  9.98851E-031  2.11394E-030  1.63970E-021  2.00468E-013  3.54622E-015  4.29098E-015  2.83763E-022  9.72846E-011  1.00000E-040  2.14192E-017  6.60547E-036  1.37552E-021  5.59304E-025  1.04391E-017  2.91315E-020  1.58565E-010  8.35933E-020  2.46644E-021  1.56548E-013  5.23330E-014  1.07571E-035  1.00000E-040  1.42370E-019  1.00000E-040  4.90893E-021  2.64730E-011  4.49349E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.82033E-001  1.38161E+019  2.52702E+002  1.00000E+005  3.63713E-004  1.00000E-040  1.00000E-040  4.70675E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.30971E-021  1.00000E-040  1.00000E-040  1.37197E-017  4.92640E-007  8.65043E-004  4.23473E-013  1.30150E-013  2.11789E-004  2.02026E-008  2.82912E-004  5.42833E-019  9.75878E-011  1.00000E-040  4.87034E-039  7.17880E-026  1.60691E-016  7.65918E-007  1.73319E-020  1.86788E-021  1.14252E-032  4.76565E-033  2.22407E-039  3.57556E-015  2.65243E-017  1.64730E-014  1.15788E-011  1.58535E-032  1.72688E-038  1.16546E-010  4.02197E-032  4.35067E-011  3.68519E-022  9.98639E-001  2.77795E-019  1.03822E-013  1.01341E-011  6.58866E-040  2.27050E-036  4.61019E-024  1.37735E-019  3.49467E-013  1.69345E-013  2.44395E-011  9.76318E-015  2.45749E-007  1.58436E-009  1.20786E-008  1.29156E-012  4.24604E-014  8.89888E-020  6.99302E-013  3.65501E-011  3.74496E-011  6.39833E-030  3.18889E-034  2.07153E-035  3.45113E-030  9.25220E-014  3.05422E-025  2.12984E-017  2.32305E-014  4.91017E-021  8.55261E-020  5.32740E-034  1.50101E-032  1.00000E-040  1.00000E-040  3.15243E-029  7.28432E-033  4.47064E-031  2.39803E-020  3.35834E-015  1.15302E-030  3.03609E-030  2.09536E-021  2.75287E-013  4.05415E-015  5.31395E-015  1.50082E-022  7.32705E-011  1.00000E-040  4.98474E-017  6.77996E-036  2.22824E-021  3.30627E-025  1.04444E-017  1.55572E-020  7.93892E-011  8.37467E-020  4.70542E-021  4.33678E-014  5.23693E-014  3.14038E-036  1.00000E-040  1.35882E-019  1.00000E-040  1.98650E-021  2.57585E-011  4.10124E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.22024E-001  1.24418E+019  2.45680E+002  1.00000E+005  2.51612E-004  1.00000E-040  1.00000E-040  1.58962E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.12119E-021  1.00000E-040  1.00000E-040  1.52112E-017  4.92052E-007  4.97531E-004  5.09838E-013  2.34463E-013  2.11850E-004  1.80431E-008  2.83022E-004  5.23483E-019  7.92578E-011  1.00000E-040  5.81922E-039  7.87481E-026  1.57581E-016  7.61734E-007  1.88481E-020  6.96599E-022  3.82281E-033  5.72382E-034  2.22488E-039  2.46711E-015  3.34792E-017  1.63240E-014  9.17622E-012  1.24005E-032  1.06377E-038  9.34791E-011  2.31332E-032  4.31210E-011  7.15775E-022  9.99006E-001  2.33975E-019  4.57677E-014  4.05749E-012  1.92608E-038  2.44010E-036  3.45890E-024  8.39802E-020  7.37221E-013  8.83197E-014  2.25434E-011  8.67369E-015  2.40532E-007  1.26859E-009  1.80477E-008  1.64955E-012  5.37478E-014  1.03833E-019  1.38523E-012  4.11354E-011  1.94370E-011  1.04852E-029  3.76137E-034  1.00000E-040  5.19800E-030  1.61596E-014  3.05513E-025  2.07398E-017  2.30571E-014  8.64997E-021  6.82653E-020  5.26547E-034  2.65340E-033  1.00000E-040  1.00000E-040  4.77230E-029  7.23934E-033  3.06147E-031  1.69234E-020  2.30355E-015  1.14720E-030  4.32090E-030  2.58750E-021  3.32566E-013  4.36636E-015  6.31128E-015  6.79634E-023  5.45042E-011  1.00000E-040  1.17864E-016  7.06894E-036  3.59364E-021  1.86304E-025  1.04478E-017  7.48638E-021  3.97249E-011  8.42192E-020  8.35503E-021  7.38918E-015  5.23915E-014  8.27076E-037  1.00000E-040  1.11730E-019  1.00000E-040  7.75475E-022  2.51282E-011  3.74664E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.68108E-001  1.11809E+019  2.38460E+002  1.00000E+005  1.57778E-004  1.00000E-040  1.00000E-040  2.24445E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.50332E-021  1.00000E-040  1.00000E-040  1.56878E-017  4.91420E-007  2.70436E-004  5.83483E-013  3.94428E-013  2.11881E-004  1.60797E-008  2.83093E-004  4.71478E-019  6.22076E-011  1.00000E-040  5.94572E-039  7.60347E-026  1.43993E-016  7.58007E-007  2.05980E-020  2.57231E-022  1.29676E-033  6.73511E-035  2.22537E-039  2.00075E-015  3.97659E-017  1.64820E-014  7.69246E-012  9.17568E-033  6.21129E-039  7.46390E-011  1.18875E-032  4.27777E-011  8.57773E-021  9.99233E-001  1.67874E-019  1.52804E-014  1.49272E-012  5.07979E-037  2.99886E-036  3.02151E-024  5.01746E-020  1.42783E-012  3.32686E-014  1.96493E-011  7.27455E-015  2.35203E-007  9.50617E-010  2.51670E-008  2.12556E-012  6.13123E-014  1.64015E-019  2.54305E-012  4.49491E-011  8.71265E-012  1.51757E-029  4.28379E-034  2.96889E-037  7.00660E-030  1.82814E-015  3.05556E-025  1.99026E-017  2.20762E-014  1.42517E-020  5.32590E-020  5.20199E-034  4.53334E-034  1.00000E-040  1.00000E-040  6.76015E-029  6.70628E-033  1.94809E-031  1.09973E-020  1.48996E-015  9.96003E-031  6.68445E-030  3.16515E-021  3.60198E-013  4.48086E-015  7.20014E-015  3.01221E-023  4.09377E-011  1.00000E-040  2.82839E-016  8.26300E-036  5.37677E-021  1.03843E-025  1.04497E-017  3.45246E-021  1.99977E-011  8.55739E-020  1.38490E-020  8.06136E-016  5.24045E-014  1.78076E-037  1.00000E-040  7.99590E-020  1.00000E-040  2.94520E-022  2.45809E-011  3.48101E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.19787E-001  1.00120E+019  2.31343E+002  9.61769E+004  8.72564E-005  1.00000E-040  1.00000E-040  6.87809E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.31983E-019  1.00000E-040  1.00000E-040  1.56127E-017  4.90724E-007  1.43348E-004  6.50829E-013  6.29016E-013  2.11891E-004  1.43808E-008  2.83134E-004  4.11002E-019  4.80237E-011  1.00000E-040  6.23519E-039  6.90571E-026  1.27448E-016  7.54556E-007  2.28047E-020  1.02713E-022  4.83375E-034  9.22412E-036  2.22564E-039  1.56756E-015  4.41936E-017  1.72888E-014  6.72885E-012  6.82104E-033  3.57211E-039  5.96739E-011  5.75487E-033  4.24651E-011  2.82124E-019  9.99360E-001  1.22132E-019  4.47073E-015  5.12057E-013  1.47776E-035  4.20958E-036  3.06725E-024  3.04176E-020  2.55825E-012  1.16179E-014  1.63763E-011  5.89536E-015  2.29805E-007  6.74215E-010  3.30214E-008  2.71177E-012  6.42561E-014  2.84252E-019  4.28872E-012  4.80066E-011  4.96551E-012  1.85996E-029  4.85883E-034  2.16760E-034  8.68347E-030  1.59574E-016  3.05566E-025  1.90189E-017  2.07890E-014  1.85464E-020  4.16144E-020  5.13676E-034  8.89874E-035  1.00000E-040  1.00000E-040  9.04180E-029  6.07086E-033  1.22667E-031  6.98457E-021  9.53651E-016  8.09401E-031  1.12515E-029  3.93119E-021  3.53018E-013  4.49109E-015  7.88929E-015  5.15632E-023  3.14155E-011  1.00000E-040  6.83529E-016  1.10200E-035  6.09829E-021  6.03613E-026  1.04505E-017  1.60848E-021  1.03247E-011  8.85962E-020  2.16982E-020  6.52530E-017  5.24115E-014  1.00000E-040  1.00000E-040  5.30445E-020  1.00000E-040  1.12286E-022  2.40979E-011  3.32125E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
