alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00969E+000  2.54487E+019  2.87368E+002  1.00000E+005  6.86650E-004  1.00000E-040  1.00000E-040  1.88830E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.13468E-022  1.00000E-040  1.00000E-040  2.16254E-020  4.95202E-007  6.44319E-003  7.83987E-014  6.12260E-016  2.10956E-002  3.55828E-008  2.81275E-004  3.22059E-021  2.58507E-010  1.00000E-040  1.00000E-040  7.25416E-031  6.41286E-019  8.00247E-007  3.76495E-027  8.82419E-025  1.00000E-040  1.00000E-040  1.00000E-040  5.30040E-012  2.28551E-017  9.78735E-018  2.73858E-011  1.00000E-040  1.00000E-040  3.33766E-010  1.87371E-033  4.89317E-011  4.99373E-029  9.72178E-001  2.11123E-022  7.55730E-014  5.29730E-010  1.00000E-040  1.00000E-040  1.10760E-027  2.98386E-023  1.13963E-012  5.66174E-015  1.93949E-011  1.11310E-014  2.70380E-007  2.07189E-009  2.37182E-008  8.76225E-012  8.14851E-014  4.20308E-019  1.64235E-012  1.75172E-011  3.10869E-011  2.33982E-032  3.25641E-037  1.00000E-040  2.06059E-032  4.09983E-013  2.75340E-025  1.18954E-021  1.43204E-016  3.23947E-024  9.21842E-024  2.12696E-039  7.32487E-036  1.32460E-032  6.76731E-040  3.22806E-031  1.00000E-040  2.50918E-037  3.16891E-024  3.07499E-016  1.79607E-033  2.58898E-036  1.01801E-022  1.95175E-016  2.07295E-017  3.46471E-015  9.27216E-024  7.23726E-011  1.00000E-040  6.43666E-019  1.64767E-040  1.84152E-024  1.12439E-028  4.88691E-020  7.23094E-024  8.50035E-011  2.96812E-022  3.38856E-022  2.08665E-013  2.56898E-014  1.00000E-040  3.39561E-039  5.03519E-022  1.00000E-040  2.56989E-021  3.45143E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97174E-001  2.31285E+019  2.80961E+002  1.00000E+005  8.98425E-004  1.00000E-040  1.00000E-040  2.21083E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17116E-022  1.00000E-040  1.00000E-040  1.93275E-020  4.95807E-007  4.90918E-003  8.27552E-014  6.91327E-016  2.11282E-002  3.38194E-008  2.81713E-004  1.26841E-021  9.09424E-011  1.00000E-040  1.00000E-040  6.71091E-031  5.91423E-019  7.98186E-007  3.77741E-027  8.92190E-025  1.97502E-040  2.00804E-039  1.00000E-040  2.24925E-012  1.11007E-017  5.99417E-018  5.78762E-011  1.00000E-040  1.00000E-040  3.33386E-010  1.17403E-033  4.87542E-011  9.77255E-029  9.73679E-001  3.07530E-022  1.42474E-013  4.83088E-010  1.00000E-040  1.00000E-040  1.04216E-027  2.84954E-023  2.32118E-014  7.89764E-015  1.50574E-011  1.03379E-014  2.70653E-007  1.69825E-009  2.29512E-008  1.08113E-012  2.58031E-014  2.96425E-019  6.39127E-013  1.98442E-011  3.64703E-011  1.49304E-032  3.60490E-037  1.00000E-040  1.69449E-032  9.01252E-013  2.75765E-025  1.18080E-021  1.27780E-016  3.74757E-024  8.17601E-024  2.12946E-039  6.59461E-036  1.32665E-032  4.84689E-040  3.02620E-031  1.00000E-040  2.37816E-037  2.17786E-024  2.39999E-015  1.55193E-033  2.84994E-036  1.36229E-022  1.29337E-016  6.70538E-018  3.87955E-015  5.77492E-024  7.38837E-011  1.00000E-040  1.08706E-018  1.80960E-040  2.20690E-024  9.59843E-029  4.89445E-020  6.72124E-024  9.89227E-010  6.86796E-022  4.10898E-022  4.11123E-013  2.58995E-014  1.00000E-040  3.34308E-039  3.76939E-022  1.00000E-040  2.30294E-021  3.40751E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.95724E-001  2.08725E+019  2.76124E+002  1.00000E+005  6.01778E-004  1.00000E-040  1.00000E-040  2.32642E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.20561E-022  1.00000E-040  1.00000E-040  2.06869E-020  4.96193E-007  3.90385E-003  9.37476E-014  8.35151E-016  2.11495E-002  3.20212E-008  2.82002E-004  7.24739E-022  4.47450E-011  1.00000E-040  1.00000E-040  7.64195E-031  6.20307E-019  7.96228E-007  6.26641E-027  9.13045E-025  1.75159E-040  1.80434E-039  1.00000E-040  9.51645E-013  5.66291E-018  3.80810E-018  3.83850E-011  1.00000E-040  1.00000E-040  3.32841E-010  8.81079E-034  4.85888E-011  1.66888E-028  9.74663E-001  3.80330E-022  1.51836E-013  4.43336E-010  1.00000E-040  1.00000E-040  9.42527E-028  2.62125E-023  4.21107E-015  9.98456E-015  1.37170E-011  9.99298E-015  2.70765E-007  1.45484E-009  2.30948E-008  2.78830E-013  1.37505E-014  2.11708E-019  2.44146E-013  1.86410E-011  3.77368E-011  1.19292E-032  3.76708E-037  1.00000E-040  1.51006E-032  9.43779E-013  2.76044E-025  1.16801E-021  1.14651E-016  4.55257E-024  7.35586E-024  2.13044E-039  5.60042E-036  1.32799E-032  3.30640E-040  2.98464E-031  1.00000E-040  2.36496E-037  2.06319E-024  8.18266E-015  1.67497E-033  3.09526E-036  1.85273E-022  8.73342E-017  4.49883E-018  4.26600E-015  4.40769E-024  7.47383E-011  1.00000E-040  1.73378E-018  2.00601E-040  2.72498E-024  8.25922E-029  4.89939E-020  6.28155E-024  1.64681E-009  5.29318E-022  5.07491E-022  4.51804E-013  2.60558E-014  1.00000E-040  3.25112E-039  3.32289E-022  1.00000E-040  1.94944E-021  3.36889E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.04329E-001  1.88109E+019  2.71195E+002  1.00000E+005  5.51071E-004  1.00000E-040  1.00000E-040  1.43653E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.74684E-022  1.00000E-040  1.00000E-040  2.28361E-020  4.96685E-007  3.01753E-003  1.03196E-013  1.06421E-015  2.11683E-002  3.04899E-008  2.82256E-004  7.59459E-022  4.12033E-011  1.00000E-040  1.00000E-040  8.15663E-031  6.28320E-019  7.94662E-007  1.36774E-026  9.46646E-025  1.61927E-040  1.66377E-039  1.00000E-040  4.06221E-013  2.83295E-018  2.54449E-018  2.54489E-011  1.00000E-040  1.00000E-040  3.32262E-010  6.29030E-034  4.84505E-011  2.44213E-028  9.75530E-001  4.07577E-022  1.50343E-013  4.09758E-010  1.00000E-040  1.00000E-040  8.27373E-028  2.37844E-023  2.99882E-015  1.25982E-014  1.36429E-011  8.13649E-015  2.70826E-007  1.30509E-009  2.45246E-008  1.99430E-013  1.25662E-014  1.38164E-019  9.75018E-014  1.78120E-011  3.56733E-011  1.05083E-032  3.90949E-037  1.00000E-040  1.40648E-032  8.36921E-013  2.76289E-025  1.14922E-021  1.04360E-016  5.56157E-024  6.54690E-024  2.13088E-039  4.52177E-036  1.32917E-032  2.27075E-040  3.12442E-031  1.00000E-040  2.25173E-037  2.01587E-024  1.19926E-014  1.68937E-033  3.71463E-036  2.43652E-022  6.20239E-017  5.83667E-018  4.94959E-015  3.55872E-024  7.44437E-011  1.00000E-040  2.74675E-018  2.10657E-040  3.32088E-024  7.11563E-029  4.90375E-020  5.80428E-024  1.88608E-009  3.96834E-022  6.48981E-022  4.15726E-013  2.61609E-014  1.00000E-040  3.16301E-039  2.77059E-022  1.00000E-040  1.56304E-021  3.33605E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.21932E-001  1.69688E+019  2.65466E+002  1.00000E+005  5.60089E-004  1.00000E-040  1.00000E-040  3.86348E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.43518E-023  1.00000E-040  1.00000E-040  2.44250E-020  4.97319E-007  2.12620E-003  1.09201E-013  1.40859E-015  2.11872E-002  2.92311E-008  2.82512E-004  8.92098E-022  4.35754E-011  1.00000E-040  1.00000E-040  7.69013E-031  5.89803E-019  7.93543E-007  3.06373E-026  9.92300E-025  1.57504E-040  1.57694E-039  1.00000E-040  1.77613E-013  1.44332E-018  1.92587E-018  1.70344E-011  1.00000E-040  1.00000E-040  3.31681E-010  3.95461E-034  4.83433E-011  3.36584E-028  9.76402E-001  4.06906E-022  1.44501E-013  3.81628E-010  1.00000E-040  1.00000E-040  7.09546E-028  2.12099E-023  3.58864E-015  1.61821E-014  1.35243E-011  6.01585E-015  2.70868E-007  1.18211E-009  2.73626E-008  2.02024E-013  1.26432E-014  7.73147E-020  4.72197E-014  1.72364E-011  2.97359E-011  9.32595E-033  3.98696E-037  1.00000E-040  1.35382E-032  7.10443E-013  2.76536E-025  1.12379E-021  9.53301E-017  6.83702E-024  5.65702E-024  2.13112E-039  3.48290E-036  1.33036E-032  1.54784E-040  3.44980E-031  1.00000E-040  2.00926E-037  1.91716E-024  1.25271E-014  1.48739E-033  4.41902E-036  3.16278E-022  5.00952E-017  7.81091E-018  6.12784E-015  2.75955E-024  7.31982E-011  1.00000E-040  4.60258E-018  2.11431E-040  4.05414E-024  6.00023E-029  4.90814E-020  5.22957E-024  1.78848E-009  2.90982E-022  8.57498E-022  3.63918E-013  2.62299E-014  1.00000E-040  3.08628E-039  2.04419E-022  1.00000E-040  1.18010E-021  3.30903E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.47752E-001  1.52936E+019  2.59412E+002  1.00000E+005  4.64950E-004  1.00000E-040  1.00000E-040  1.98872E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.84679E-023  1.00000E-040  1.00000E-040  2.58288E-020  4.97944E-007  1.41147E-003  1.13629E-013  1.92505E-015  2.12024E-002  2.81795E-008  2.82717E-004  1.01724E-021  4.51457E-011  1.00000E-040  1.00000E-040  6.84047E-031  5.34153E-019  7.92650E-007  6.52493E-026  1.04668E-024  1.60633E-040  1.51488E-039  1.00000E-040  8.01860E-014  7.95455E-019  1.71955E-018  1.15917E-011  1.00000E-040  1.00000E-040  3.31028E-010  2.32056E-034  4.82558E-011  4.75211E-028  9.77102E-001  4.08944E-022  1.37511E-013  3.57952E-010  1.00000E-040  1.00000E-040  5.98873E-028  1.85970E-023  5.49796E-015  2.10430E-014  1.33301E-011  4.47693E-015  2.70840E-007  1.09021E-009  3.16411E-008  2.30790E-013  1.35366E-014  4.32396E-020  3.87448E-014  1.75792E-011  2.38384E-011  8.17807E-033  4.02669E-037  1.00000E-040  1.34249E-032  5.96082E-013  2.76734E-025  1.09465E-021  8.68328E-017  8.50575E-024  4.76227E-024  2.13080E-039  2.56856E-036  1.33131E-032  1.04133E-040  3.95877E-031  1.00000E-040  1.72753E-037  1.78411E-024  1.08684E-014  1.22671E-033  5.22722E-036  4.10103E-022  4.70808E-017  1.00566E-017  7.89399E-015  2.06117E-024  7.13220E-011  1.00000E-040  8.01290E-018  2.07560E-040  5.00268E-024  4.95156E-029  4.91165E-020  4.58663E-024  1.47668E-009  2.14225E-022  1.16001E-021  3.14117E-013  2.62718E-014  1.00000E-040  3.01669E-039  1.40669E-022  1.00000E-040  8.36189E-022  3.28669E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.80990E-001  1.37862E+019  2.52702E+002  1.00000E+005  3.64196E-004  1.00000E-040  1.00000E-040  8.19897E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.47613E-023  1.00000E-040  1.00000E-040  2.65783E-020  4.98505E-007  8.66647E-004  1.15183E-013  2.66237E-015  2.12140E-002  2.72756E-008  2.82873E-004  1.09812E-021  4.48080E-011  1.00000E-040  1.00000E-040  5.52042E-031  4.54621E-019  7.91913E-007  1.31090E-025  1.10423E-024  1.72385E-040  1.46206E-039  1.00000E-040  3.77456E-014  4.73795E-019  1.85373E-018  8.07983E-012  1.00000E-040  1.00000E-040  3.30291E-010  1.21063E-034  4.81843E-011  6.97585E-028  9.77635E-001  4.14262E-022  1.28873E-013  3.37856E-010  2.93537E-040  1.00000E-040  5.01278E-028  1.60226E-023  1.02914E-014  2.72599E-014  1.29048E-011  3.35818E-015  2.70742E-007  1.00575E-009  3.73587E-008  2.85540E-013  1.51725E-014  2.52856E-020  6.07515E-014  1.87979E-011  1.80180E-011  7.01241E-033  4.01262E-037  1.00000E-040  1.34399E-032  4.96851E-013  2.76885E-025  1.06528E-021  7.86125E-017  1.07330E-023  3.90377E-024  2.12995E-039  1.81783E-036  1.33204E-032  1.00000E-040  4.64648E-031  1.00000E-040  1.41222E-037  1.61655E-024  8.13201E-015  9.06556E-034  6.46072E-036  5.37493E-022  5.20751E-017  1.24473E-017  1.04674E-014  1.45388E-024  6.91053E-011  1.00000E-040  1.49838E-017  2.00513E-040  6.26411E-024  3.98127E-029  4.91433E-020  3.91890E-024  1.06439E-009  1.58645E-022  1.58403E-021  2.69826E-013  2.62967E-014  1.00000E-040  2.94903E-039  8.72304E-023  1.00000E-040  5.53923E-022  3.26831E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.20944E-001  1.24100E+019  2.45680E+002  1.00000E+005  2.52025E-004  1.00000E-040  1.00000E-040  2.76593E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.79037E-023  1.00000E-040  1.00000E-040  2.69519E-020  4.98944E-007  4.98607E-004  1.14608E-013  3.69983E-015  2.12218E-002  2.64656E-008  2.82980E-004  1.13670E-021  4.28645E-011  1.00000E-040  1.00000E-040  4.16505E-031  3.71072E-019  7.91247E-007  2.50414E-025  1.15754E-024  1.93724E-040  1.39391E-039  1.00000E-040  1.86690E-014  3.02130E-019  2.38571E-018  5.81386E-012  1.00000E-040  1.00000E-040  3.29455E-010  5.79743E-035  4.81240E-011  1.07497E-027  9.77995E-001  4.27263E-022  1.20012E-013  3.20516E-010  1.11408E-039  1.00000E-040  4.19876E-028  1.36093E-023  2.36232E-014  3.47765E-014  1.23117E-011  2.51172E-015  2.70568E-007  9.20392E-010  4.44516E-008  3.74887E-013  1.75254E-014  1.85496E-020  1.27643E-013  2.09069E-011  1.21391E-011  5.87501E-033  3.95005E-037  1.00000E-040  1.34051E-032  4.15153E-013  2.76987E-025  1.03928E-021  7.09170E-017  1.36770E-023  3.13757E-024  2.12854E-039  1.23834E-036  1.33253E-032  1.00000E-040  5.50183E-031  1.00000E-040  1.11332E-037  1.43234E-024  5.43031E-015  6.20579E-034  7.99906E-036  7.12411E-022  6.52429E-017  1.49678E-017  1.40237E-014  9.76257E-025  6.67609E-011  1.00000E-040  2.94897E-017  1.92891E-040  7.93141E-024  3.13405E-029  4.91614E-020  3.26844E-024  6.51042E-010  1.19700E-022  2.16309E-021  2.32172E-013  2.63107E-014  1.00000E-040  2.88063E-039  4.98715E-023  1.00000E-040  3.43009E-022  3.25302E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.67016E-001  1.11477E+019  2.38460E+002  1.00000E+005  1.58088E-004  1.00000E-040  1.00000E-040  6.37298E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.51589E-023  1.00000E-040  1.00000E-040  2.71680E-020  4.99240E-007  2.71105E-004  1.12885E-013  5.13008E-015  2.12266E-002  2.57059E-008  2.83046E-004  1.13937E-021  3.96973E-011  1.00000E-040  1.00000E-040  2.99891E-031  2.93888E-019  7.90610E-007  4.57850E-025  1.19820E-024  3.22289E-040  2.36748E-039  1.00000E-040  9.78745E-015  2.02697E-019  3.63592E-018  4.35692E-012  1.00000E-040  1.00000E-040  3.28519E-010  2.58102E-035  4.80720E-011  1.79172E-027  9.78218E-001  4.57450E-022  1.11881E-013  3.05265E-010  3.89550E-039  1.00000E-040  3.55174E-028  1.14496E-023  6.77060E-014  4.32721E-014  1.15915E-011  1.85885E-015  2.70327E-007  8.27212E-010  5.28066E-008  5.05643E-013  1.99903E-014  1.88276E-020  2.79755E-013  2.38225E-011  5.64391E-012  4.83281E-033  3.86611E-037  1.00000E-040  1.32619E-032  3.49244E-013  2.77050E-025  1.01896E-021  6.40928E-017  1.74316E-023  2.49907E-024  2.12663E-039  8.17321E-037  1.33283E-032  1.00000E-040  6.50731E-031  1.00000E-040  8.58489E-038  1.24498E-024  3.34002E-015  4.01892E-034  1.00617E-035  9.63611E-022  9.00421E-017  1.77455E-017  1.86282E-014  6.27510E-025  6.44237E-011  1.00000E-040  6.12827E-017  1.87911E-040  1.01678E-023  2.42595E-029  4.91725E-020  2.67043E-024  3.13262E-010  9.35616E-023  2.93344E-021  2.00496E-013  2.63183E-014  1.00000E-040  2.80962E-039  2.67962E-023  1.00000E-040  1.99703E-022  3.24006E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.18703E-001  9.97808E+018  2.31343E+002  9.61769E+004  8.74546E-005  1.00000E-040  1.00000E-040  1.93929E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.46240E-022  1.00000E-040  1.00000E-040  2.74088E-020  4.99384E-007  1.43742E-004  1.12307E-013  7.11900E-015  2.12293E-002  2.49483E-008  2.83084E-004  1.03195E-021  3.29388E-011  1.00000E-040  1.00000E-040  2.18093E-031  2.33629E-019  7.89959E-007  8.04841E-025  1.21816E-024  4.89089E-040  3.60523E-039  1.00000E-040  5.48395E-015  1.42894E-019  6.39189E-018  3.42126E-012  1.00000E-040  1.00000E-040  3.27462E-010  1.12128E-035  4.80247E-011  3.35341E-027  9.78342E-001  5.22859E-022  1.04365E-013  2.91392E-010  1.13761E-038  1.00000E-040  3.05224E-028  9.60032E-024  2.32010E-013  5.22125E-014  1.05934E-011  1.37857E-015  2.70017E-007  7.18294E-010  6.24624E-008  6.48650E-013  2.06068E-014  2.49513E-020  5.86226E-013  2.75693E-011  2.11820E-012  3.99514E-033  3.81561E-037  1.00000E-040  1.31522E-032  2.91269E-013  2.77085E-025  1.00499E-021  5.83202E-017  2.17314E-023  2.00639E-024  2.12421E-039  5.27464E-037  1.33301E-032  1.00000E-040  7.66495E-031  1.00000E-040  6.66812E-038  1.07569E-024  1.98187E-015  2.61577E-034  1.29343E-035  1.34136E-021  1.34101E-016  1.90181E-017  2.40957E-014  3.90812E-025  6.21219E-011  1.00000E-040  1.32772E-016  1.89224E-040  1.30659E-023  1.85445E-029  4.91788E-020  2.14882E-024  1.02820E-010  7.75474E-023  3.95278E-021  1.71123E-013  2.63220E-014  1.00000E-040  2.73218E-039  1.42794E-023  1.00000E-040  1.10614E-022  3.22856E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
