alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00911E+000  2.55860E+019  2.85664E+002  1.00000E+005  6.28958E-004  1.00000E-040  1.00000E-040  6.99171E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.00438E-024  1.00000E-040  1.00000E-040  7.76892E-022  4.95484E-007  5.77670E-003  4.58839E-014  2.55466E-017  3.16119E-001  3.74175E-008  2.81435E-004  7.51964E-023  1.46911E-010  1.00000E-040  1.00000E-040  1.02190E-033  2.34887E-020  8.00702E-007  1.29287E-028  5.53159E-026  4.38431E-035  4.44383E-034  2.90108E-039  8.03508E-012  2.17820E-017  6.25465E-019  3.53774E-011  1.00000E-040  1.00000E-040  3.33956E-010  6.49157E-035  4.97866E-011  6.20640E-032  6.77822E-001  6.39405E-024  2.76343E-014  5.53005E-010  1.00000E-040  1.00000E-040  6.73816E-030  1.58263E-025  3.16700E-012  1.85049E-016  1.04344E-011  8.90386E-015  2.70534E-007  9.39058E-010  2.18907E-008  1.45012E-011  7.57865E-014  3.26760E-019  4.29115E-012  1.76683E-011  2.76056E-011  4.45996E-026  3.06503E-031  1.00000E-040  2.62355E-026  1.88338E-013  6.91584E-018  6.38668E-024  9.39155E-018  1.36118E-025  7.60861E-026  1.00000E-040  9.48026E-039  7.04567E-024  3.71214E-032  4.85189E-025  1.00000E-040  1.00000E-040  2.02451E-026  1.05818E-016  5.33862E-035  6.60706E-040  4.94349E-023  1.26177E-017  4.95911E-019  2.67103E-015  3.90844E-025  5.67500E-011  1.00000E-040  4.45993E-019  1.00000E-040  7.93442E-026  3.31850E-031  2.66371E-023  6.91638E-026  1.07040E-011  1.51733E-023  1.37873E-022  1.11151E-013  1.79387E-014  1.22506E-040  1.17013E-031  1.46170E-023  1.00000E-040  7.68259E-022  3.63821E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.91752E-001  2.31285E+019  2.79263E+002  1.00000E+005  8.27064E-004  1.00000E-040  1.00000E-040  8.21926E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.06762E-024  1.00000E-040  1.00035E-040  6.65841E-022  4.96293E-007  4.40485E-003  3.80935E-014  3.20302E-017  3.16555E-001  3.64933E-008  2.81825E-004  6.09164E-023  1.18663E-010  1.00000E-040  1.00000E-040  5.91910E-034  1.71369E-020  8.00253E-007  7.26304E-029  5.51787E-026  1.55671E-038  1.01832E-037  2.90508E-039  4.50824E-012  9.82270E-018  3.93063E-019  7.33638E-011  1.00000E-040  1.00000E-040  3.34134E-010  3.19594E-035  4.97300E-011  7.42442E-032  6.78757E-001  7.22331E-024  7.29500E-014  5.28291E-010  1.00000E-040  1.00000E-040  6.41187E-030  1.57663E-025  2.96718E-013  3.36792E-016  1.15543E-011  6.57001E-015  2.70879E-007  1.09895E-009  2.34324E-008  2.92218E-012  4.98342E-014  2.12358E-019  2.38437E-012  2.49939E-011  3.01825E-011  2.57141E-026  2.98227E-031  1.00000E-040  1.94450E-026  5.31254E-013  6.92538E-018  6.47810E-024  8.93803E-018  1.44767E-025  5.84760E-026  1.00000E-040  9.30521E-039  7.05539E-024  3.29618E-032  5.01524E-025  1.00000E-040  1.00000E-040  1.15467E-026  4.28481E-016  2.88607E-035  7.90489E-040  5.20609E-023  8.58805E-018  5.00703E-019  3.67103E-015  2.49820E-025  5.78043E-011  1.00000E-040  5.94388E-019  1.00000E-040  7.71122E-026  2.89951E-031  2.66739E-023  5.80795E-026  1.03449E-010  2.70984E-023  1.83825E-022  2.52137E-013  1.80777E-014  1.00000E-040  1.18223E-031  7.36664E-024  1.00000E-040  7.52023E-022  3.61737E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.86555E-001  2.07306E+019  2.74811E+002  1.00000E+005  5.14945E-004  1.00000E-040  1.00000E-040  8.65502E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.24301E-023  1.00000E-040  1.00119E-040  7.32099E-022  4.96717E-007  3.57193E-003  4.51869E-014  4.16106E-017  3.16820E-001  3.53124E-008  2.82063E-004  3.33543E-023  5.44474E-011  1.00000E-040  1.00000E-040  7.53515E-034  1.92271E-020  7.99585E-007  5.66474E-029  5.49279E-026  1.00000E-040  6.96687E-040  2.90750E-039  2.50362E-012  6.24101E-018  3.24595E-019  5.65459E-011  1.00000E-040  1.00000E-040  3.34146E-010  2.59325E-035  4.96655E-011  1.37266E-031  6.79325E-001  9.44622E-024  1.04201E-013  5.06590E-010  1.00000E-040  1.00000E-040  5.74727E-030  1.51682E-025  3.15134E-014  5.00625E-016  1.01864E-011  5.98525E-015  2.71072E-007  1.10378E-009  2.50298E-008  7.82095E-013  2.52573E-014  1.64974E-019  1.24521E-012  2.66736E-011  3.26034E-011  1.58486E-026  3.11296E-031  1.00000E-040  1.84836E-026  8.27619E-013  6.93117E-018  6.65342E-024  8.14932E-018  1.74781E-025  4.61251E-026  1.00000E-040  9.04348E-039  7.06129E-024  2.40670E-032  5.24841E-025  1.00000E-040  1.00000E-040  9.45155E-027  1.75373E-015  3.49524E-035  6.61422E-040  7.39361E-023  7.51317E-018  2.25649E-019  4.26742E-015  1.88126E-025  5.89952E-011  1.00000E-040  9.58525E-019  1.00000E-040  1.01090E-025  2.76352E-031  2.66962E-023  4.65191E-026  4.02184E-010  2.53335E-023  2.40603E-022  3.86584E-013  1.81927E-014  1.00000E-040  1.21544E-031  6.76167E-024  1.00000E-040  7.25680E-022  3.59808E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.92232E-001  1.85910E+019  2.69691E+002  1.00000E+005  5.35383E-004  1.00000E-040  1.00000E-040  2.20188E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.91030E-024  1.00000E-040  1.00205E-040  8.06845E-022  4.97169E-007  2.71378E-003  5.10554E-014  5.44168E-017  3.17092E-001  3.41577E-008  2.82308E-004  2.14440E-023  3.02257E-011  1.00000E-040  1.00000E-040  8.43638E-034  1.99461E-020  7.99151E-007  4.11156E-029  5.46309E-026  1.00000E-040  1.00000E-040  2.91000E-039  1.39521E-012  3.77291E-018  2.69232E-019  4.34791E-011  1.00000E-040  1.00000E-040  3.34183E-010  1.86399E-035  4.96169E-011  2.20577E-031  6.79910E-001  1.08124E-023  1.10834E-013  4.88067E-010  1.00000E-040  1.00000E-040  5.22830E-030  1.45264E-025  1.39350E-014  6.73693E-016  9.59152E-012  5.17976E-015  2.71266E-007  1.02463E-009  2.71325E-008  4.28418E-013  1.94609E-014  1.07243E-019  6.76014E-013  2.70458E-011  3.06468E-011  1.20559E-026  3.22263E-031  1.00000E-040  1.79275E-026  8.67044E-013  6.93714E-018  6.92500E-024  7.33526E-018  2.18910E-025  3.85152E-026  1.00000E-040  8.72099E-039  7.06737E-024  1.67929E-032  5.60928E-025  1.00000E-040  1.00000E-040  9.43377E-027  3.27445E-015  3.68756E-035  1.00000E-040  1.02360E-022  6.67473E-018  1.63157E-019  4.98932E-015  1.49484E-025  5.97097E-011  1.00000E-040  1.58976E-018  1.00000E-040  1.29678E-025  2.49722E-031  2.67191E-023  4.07251E-026  5.87873E-010  2.26400E-023  3.13525E-022  4.26317E-013  1.82714E-014  1.00000E-040  1.23060E-031  5.84709E-024  1.00000E-040  6.91598E-022  3.58167E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.07687E-001  1.66725E+019  2.63996E+002  1.00000E+005  5.14219E-004  1.00000E-040  1.00000E-040  8.69536E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.41428E-024  1.00000E-040  1.00286E-040  8.70629E-022  4.97654E-007  1.90804E-003  5.44512E-014  7.16907E-017  3.17349E-001  3.31361E-008  2.82538E-004  2.08897E-023  2.61884E-011  1.00000E-040  1.00000E-040  8.13215E-034  1.89930E-020  7.98873E-007  2.83047E-029  5.43163E-026  1.00000E-040  1.00000E-040  2.91234E-039  7.92389E-013  2.19336E-018  2.26296E-019  3.36117E-011  1.00000E-040  1.00000E-040  3.34215E-010  1.17973E-035  4.95806E-011  3.14565E-031  6.80459E-001  1.12025E-023  1.09259E-013  4.72604E-010  1.00000E-040  1.00000E-040  4.76059E-030  1.39702E-025  1.45715E-014  8.78891E-016  9.37710E-012  4.10722E-015  2.71442E-007  9.43181E-010  2.98488E-008  4.04931E-013  1.95141E-014  6.46282E-020  4.31663E-013  2.80872E-011  2.66132E-011  1.00842E-026  3.26943E-031  1.00000E-040  1.70548E-026  7.90044E-013  6.94274E-018  7.30328E-024  6.58846E-018  2.75535E-025  3.36484E-026  1.00000E-040  8.35894E-039  7.07308E-024  1.16502E-032  6.10772E-025  1.00000E-040  1.00000E-040  9.69456E-027  3.51377E-015  3.31827E-035  1.00000E-040  1.36318E-022  6.07451E-018  1.95414E-019  6.07767E-015  1.17273E-025  5.96731E-011  1.00000E-040  2.68064E-018  1.00000E-040  1.61862E-025  2.15644E-031  2.67407E-023  3.82434E-026  6.00260E-010  1.93141E-023  4.08547E-022  4.06415E-013  1.83203E-014  1.00000E-040  1.23361E-031  4.37682E-024  1.00000E-040  6.51767E-022  3.56789E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.31999E-001  1.49402E+019  2.57912E+002  1.00000E+005  4.25220E-004  1.00000E-040  1.00000E-040  4.17506E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.76041E-024  1.00000E-040  1.00351E-040  9.35861E-022  4.98105E-007  1.26281E-003  5.65748E-014  9.50275E-017  3.17554E-001  3.22481E-008  2.82723E-004  2.61717E-023  2.95416E-011  1.00000E-040  1.00000E-040  7.23157E-034  1.72330E-020  7.98630E-007  1.94291E-029  5.40428E-026  6.83662E-034  7.50268E-033  2.91421E-039  4.61850E-013  1.28292E-018  1.99718E-019  2.62356E-011  1.00000E-040  1.00000E-040  3.34204E-010  6.85673E-036  4.95500E-011  4.36635E-031  6.80899E-001  1.12320E-023  1.04317E-013  4.59793E-010  1.00000E-040  1.00000E-040  4.30309E-030  1.34863E-025  2.41375E-014  1.12955E-015  9.34267E-012  3.18013E-015  2.71568E-007  8.82380E-010  3.31821E-008  4.83337E-013  2.12957E-014  4.00330E-020  3.91862E-013  3.06987E-011  2.21869E-011  8.68942E-027  3.27602E-031  1.00000E-040  1.61420E-026  6.73589E-013  6.94723E-018  7.80058E-024  5.92547E-018  3.50190E-025  2.99976E-026  1.00000E-040  7.97439E-039  7.07765E-024  7.98260E-033  6.73834E-025  1.00000E-040  1.00000E-040  1.00517E-026  2.84629E-015  2.73253E-035  4.69260E-035  1.79596E-022  5.85901E-018  2.87338E-019  7.58583E-015  9.03007E-026  5.89024E-011  1.00000E-040  4.68462E-018  1.00000E-040  2.02311E-025  1.55613E-031  2.67580E-023  3.68808E-026  4.75572E-010  1.62867E-023  5.31837E-022  3.59594E-013  1.83486E-014  1.00000E-040  1.23254E-031  2.98716E-024  1.00000E-040  6.08230E-022  3.55611E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.64272E-001  1.33858E+019  2.51214E+002  1.00000E+005  3.30266E-004  1.00000E-040  1.00000E-040  1.58998E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.23077E-024  1.00000E-040  1.00401E-040  1.00156E-021  4.98491E-007  7.73901E-004  5.76467E-014  1.25712E-016  3.17709E-001  3.14544E-008  2.82862E-004  3.51468E-023  3.59998E-011  1.00000E-040  1.00000E-040  5.92202E-034  1.48135E-020  7.98386E-007  1.35317E-029  5.36904E-026  1.00000E-040  1.00000E-040  2.91563E-039  2.77294E-013  7.66998E-019  1.90123E-019  2.07339E-011  1.00000E-040  1.00000E-040  3.34146E-010  3.57598E-036  4.95232E-011  6.09538E-031  6.81232E-001  1.10214E-023  9.59275E-014  4.49203E-010  1.01374E-039  1.00000E-040  3.87296E-030  1.30481E-025  5.72928E-014  1.42504E-015  9.38552E-012  2.44078E-015  2.71646E-007  8.29009E-010  3.71020E-008  6.45540E-013  2.33884E-014  2.80544E-020  5.34147E-013  3.50133E-011  1.72721E-011  7.65331E-027  3.26470E-031  1.00000E-040  1.52695E-026  5.37274E-013  6.95063E-018  8.43095E-024  5.34264E-018  4.53092E-025  2.68493E-026  1.00000E-040  7.58039E-039  7.08111E-024  5.30897E-033  7.48969E-025  1.00000E-040  1.00000E-040  1.05491E-026  1.92729E-015  2.04734E-035  1.00000E-040  2.39349E-022  6.18183E-018  4.58489E-019  9.55759E-015  6.77533E-026  5.75388E-011  1.00000E-040  8.81984E-018  1.00000E-040  2.57623E-025  7.65919E-033  2.67711E-023  3.58398E-026  2.81271E-010  1.37414E-023  6.89211E-022  2.97474E-013  1.83642E-014  1.00000E-040  1.22965E-031  1.86092E-024  1.00000E-040  5.62954E-022  3.54593E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.03715E-001  1.19762E+019  2.44158E+002  1.00000E+005  2.28144E-004  1.00000E-040  1.00000E-040  4.79787E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.70729E-025  1.00000E-040  1.00434E-040  1.07211E-021  4.98766E-007  4.42890E-004  5.88248E-014  1.66042E-016  3.17814E-001  3.06921E-008  2.82958E-004  4.24198E-023  3.93605E-011  1.00000E-040  1.00000E-040  4.70409E-034  1.24276E-020  7.98101E-007  9.81287E-030  5.33847E-026  1.00000E-040  2.69027E-040  2.91658E-039  1.71492E-013  4.79782E-019  1.97345E-019  1.66188E-011  1.00000E-040  1.00000E-040  3.34035E-010  1.73605E-036  4.94978E-011  8.69426E-031  6.81458E-001  1.06106E-023  8.29159E-014  4.40385E-010  1.87413E-038  1.00000E-040  3.49056E-030  1.26500E-025  1.91917E-013  1.75095E-015  9.23636E-012  1.87596E-015  2.71673E-007  7.58667E-010  4.15523E-008  8.87989E-013  2.35651E-014  2.65078E-020  9.05406E-013  4.11884E-011  1.16534E-011  7.14758E-027  3.28387E-031  1.00000E-040  1.45927E-026  3.84042E-013  6.95293E-018  9.20892E-024  4.83206E-018  5.97745E-025  2.42022E-026  1.00000E-040  7.18661E-039  7.08345E-024  3.38140E-033  8.34633E-025  1.00000E-040  1.00000E-040  1.15066E-026  1.17169E-015  1.47308E-035  1.00000E-040  3.28397E-022  7.19720E-018  6.69100E-019  1.19078E-014  4.98810E-026  5.57700E-011  1.00000E-040  1.79392E-017  1.00000E-040  3.38765E-025  1.00000E-040  2.67800E-023  3.49336E-026  1.05740E-010  1.18457E-023  8.88154E-022  2.23033E-013  1.83723E-014  1.00000E-040  1.22334E-031  1.10641E-024  1.00000E-040  5.17742E-022  3.53687E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.49660E-001  1.06884E+019  2.36946E+002  1.00000E+005  1.41396E-004  1.00000E-040  1.00000E-040  9.79611E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.49571E-025  1.00000E-040  1.00455E-040  1.12510E-021  4.98908E-007  2.40051E-004  6.21772E-014  2.19214E-016  3.17879E-001  2.99123E-008  2.83016E-004  3.47738E-023  2.88699E-011  1.00000E-040  1.00000E-040  3.91048E-034  1.06027E-020  7.97767E-007  7.67666E-030  5.31544E-026  1.00000E-040  3.11154E-040  2.91716E-039  1.09328E-013  3.24684E-019  2.28594E-019  1.35415E-011  1.00000E-040  1.00000E-040  3.33874E-010  8.22532E-037  4.94729E-011  1.30289E-030  6.81596E-001  1.00336E-023  6.35152E-014  4.32959E-010  2.12570E-037  1.00000E-040  3.15918E-030  1.22952E-025  6.41433E-013  2.07335E-015  8.10679E-012  1.47323E-015  2.71658E-007  6.47198E-010  4.64882E-008  1.13083E-012  1.94072E-014  3.48719E-020  1.57892E-012  4.93300E-011  4.78998E-012  7.44701E-027  3.41149E-031  1.00000E-040  1.43994E-026  2.29140E-013  6.95434E-018  1.01509E-023  4.38948E-018  7.96816E-025  2.23354E-026  1.00000E-040  6.80087E-039  7.08489E-024  2.03135E-033  9.29495E-025  1.00000E-040  1.00000E-040  1.34354E-026  6.99912E-016  1.10007E-035  1.00000E-040  4.78802E-022  9.44807E-018  5.99258E-019  1.43939E-014  3.60619E-026  5.38060E-011  1.00000E-040  4.01512E-017  1.00000E-040  4.71482E-025  1.00000E-040  2.67854E-023  3.42526E-026  2.39915E-011  1.08000E-023  1.13811E-021  1.45015E-013  1.83761E-014  1.00000E-040  1.21210E-031  6.72178E-025  1.00000E-040  4.74181E-022  3.52861E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.01560E-001  9.49833E+018  2.29955E+002  9.61769E+004  7.68361E-005  1.00000E-040  1.00000E-040  2.26378E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.78724E-024  1.00000E-040  1.00466E-040  1.18891E-021  4.98946E-007  1.28190E-004  6.69796E-014  2.92037E-016  3.17914E-001  2.91338E-008  2.83049E-004  2.21800E-023  1.63525E-011  1.00000E-040  1.00000E-040  3.36800E-034  9.21546E-021  7.97379E-007  6.37971E-030  5.30310E-026  1.00000E-040  2.75626E-040  2.91747E-039  7.23943E-014  2.33514E-019  2.84851E-019  1.12483E-011  1.00000E-040  1.00000E-040  3.33667E-010  3.89001E-037  4.94482E-011  1.97606E-030  6.81673E-001  9.29915E-024  4.34414E-014  4.26540E-010  1.52861E-036  1.00000E-040  2.87676E-030  1.20845E-025  1.41950E-012  2.35385E-015  6.69075E-012  1.17254E-015  2.71608E-007  5.24734E-010  5.20728E-008  1.46051E-012  1.51401E-014  5.44706E-020  2.56809E-012  6.00500E-011  1.85789E-012  8.51408E-027  3.60041E-031  1.00000E-040  1.44347E-026  1.16263E-013  6.95511E-018  1.13008E-023  4.02187E-018  1.04336E-024  2.12254E-026  1.00000E-040  6.42289E-039  7.08596E-024  1.18473E-033  1.03666E-024  1.00000E-040  1.00000E-040  1.61846E-026  4.25049E-016  8.48473E-036  1.00000E-040  7.19721E-022  1.34088E-017  3.99579E-019  1.70445E-014  2.62758E-026  5.18182E-011  1.00000E-040  9.30413E-017  1.00000E-040  6.66155E-025  1.00000E-040  2.67884E-023  3.41215E-026  6.07367E-012  1.02351E-023  1.45853E-021  8.27873E-014  1.83774E-014  1.00000E-040  1.19832E-031  4.17491E-025  1.00000E-040  4.32892E-022  3.52079E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
