alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00950E+000  2.54786E+019  2.86978E+002  1.00000E+005  6.63824E-004  1.00000E-040  1.00000E-040  2.55595E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.74679E-021  1.00000E-040  1.00000E-040  1.87276E-019  4.95294E-007  6.28529E-003  7.32590E-014  3.36634E-015  2.10728E-003  3.36713E-008  2.81327E-004  2.55465E-020  2.37731E-010  1.00000E-040  1.00000E-040  6.23213E-029  5.90956E-018  8.00396E-007  6.18151E-024  2.10086E-022  1.71248E-035  1.40892E-034  1.00000E-040  5.52784E-012  3.49311E-017  9.60820E-017  2.79201E-011  7.95289E-039  1.00000E-040  3.33828E-010  1.68787E-032  4.86039E-011  5.64207E-027  9.91324E-001  2.19204E-021  6.96757E-014  5.04494E-010  1.00000E-040  1.00000E-040  9.50832E-026  2.62028E-021  1.28850E-012  2.65756E-014  1.68907E-011  1.41672E-014  2.70431E-007  1.97308E-009  1.51083E-008  9.56073E-012  5.87622E-014  4.05040E-019  1.84776E-012  1.75140E-011  3.08813E-011  1.00000E-040  1.00000E-040  1.37592E-034  1.00000E-040  4.03773E-013  1.00000E-040  1.16526E-019  1.29714E-015  3.06342E-023  8.30168E-022  6.49492E-037  1.69026E-033  1.00000E-040  1.00000E-040  1.00000E-040  1.74652E-038  2.05372E-034  2.79507E-022  2.57806E-016  1.50600E-032  1.22588E-033  1.16400E-022  1.96485E-015  1.46514E-016  3.29244E-015  7.65905E-023  8.74246E-011  1.00000E-040  6.18393E-019  1.32974E-038  1.64942E-023  3.94283E-027  4.79154E-021  4.75207E-022  5.18860E-011  2.83919E-021  3.23330E-022  2.02080E-013  2.63337E-014  1.66696E-039  1.00000E-040  5.96875E-021  1.00000E-040  5.63860E-021  3.40675E-011  3.71508E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97189E-001  2.31572E+019  2.80618E+002  1.00000E+005  8.68376E-004  1.00000E-040  1.00000E-040  2.99036E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.02161E-021  1.00000E-040  1.00000E-040  1.83999E-019  4.95845E-007  4.79437E-003  7.78015E-014  3.86803E-015  2.11043E-003  3.22705E-008  2.81754E-004  1.46115E-020  1.20668E-010  1.00000E-040  1.00000E-040  5.84603E-029  5.48538E-018  7.97822E-007  1.72423E-023  2.19033E-022  1.95856E-035  1.49985E-034  1.00000E-040  2.38410E-012  1.73290E-017  7.63548E-017  5.87090E-011  1.70091E-038  1.00000E-040  3.28819E-010  1.06623E-032  4.83817E-011  1.25103E-026  9.92812E-001  3.53776E-021  1.43156E-013  4.31797E-010  1.00000E-040  1.00000E-040  8.95658E-026  2.54041E-021  3.94373E-014  3.92166E-014  1.49264E-011  1.28069E-014  2.70065E-007  1.84011E-009  1.47235E-008  1.25658E-012  2.13290E-014  2.87326E-019  7.49515E-013  2.09189E-011  3.63244E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.66396E-013  1.00000E-040  1.16145E-019  1.20962E-015  3.63243E-023  7.89953E-022  6.49721E-037  1.34062E-033  1.00000E-040  1.00000E-040  1.00000E-040  3.44394E-038  1.98907E-034  1.88602E-022  1.90132E-015  1.31981E-032  1.38046E-033  1.57104E-022  1.33695E-015  7.48151E-017  3.74669E-015  5.08229E-023  8.95554E-011  1.00000E-040  1.04690E-018  1.47027E-038  2.00376E-023  3.62837E-027  4.79871E-021  4.87425E-022  4.50731E-010  6.57526E-021  4.06576E-022  4.25902E-013  2.65515E-014  1.27000E-039  1.00000E-040  4.51695E-021  1.00000E-040  4.60270E-021  3.35592E-011  3.72156E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.95884E-001  2.09038E+019  2.75766E+002  1.00000E+005  5.87908E-004  1.00000E-040  1.00000E-040  3.14090E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.12108E-021  1.00000E-040  1.00000E-040  2.19838E-019  4.96193E-007  3.80623E-003  9.32757E-014  4.89334E-015  2.11252E-003  3.07705E-008  2.82038E-004  1.32549E-020  9.06327E-011  1.00000E-040  1.00000E-040  7.43478E-029  6.07644E-018  7.95263E-007  2.96953E-023  2.25257E-022  1.82068E-035  1.26467E-034  1.00000E-040  9.97017E-013  8.93233E-018  6.88420E-017  3.88987E-011  3.39103E-038  1.00000E-040  3.23276E-010  8.44055E-033  4.81643E-011  2.57636E-026  9.93798E-001  4.92730E-021  1.62889E-013  3.63965E-010  1.00000E-040  1.00000E-040  8.07632E-026  2.34455E-021  8.59924E-015  5.14190E-014  1.50318E-011  1.23177E-014  2.69483E-007  1.79861E-009  1.53501E-008  3.37570E-013  1.26850E-014  2.08607E-019  2.91648E-013  2.05261E-011  3.82178E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08550E-012  1.00000E-040  1.15744E-019  1.14026E-015  4.69315E-023  7.46520E-022  6.49252E-037  9.53254E-034  1.00000E-040  1.00000E-040  1.00000E-040  6.09803E-038  2.09993E-034  1.77928E-022  6.55781E-015  1.59027E-032  1.62645E-033  2.28649E-022  9.53846E-016  7.97415E-017  4.12311E-015  4.14412E-023  9.15088E-011  1.00000E-040  1.76975E-018  1.72056E-038  2.63906E-023  3.19374E-027  4.80344E-021  4.66569E-022  6.67564E-010  5.35922E-021  5.34802E-022  4.99871E-013  2.67228E-014  9.96169E-040  1.00000E-040  4.34588E-021  1.00000E-040  3.53812E-021  3.30889E-011  3.72804E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.04596E-001  1.88426E+019  2.70842E+002  1.00000E+005  5.40882E-004  1.00000E-040  1.00000E-040  1.93779E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.48815E-021  1.00000E-040  1.00000E-040  2.71162E-019  4.96571E-007  2.93080E-003  1.11352E-013  6.74421E-015  2.11437E-003  2.93196E-008  2.82291E-004  1.58544E-020  9.05294E-011  1.00000E-040  1.00000E-040  9.31814E-029  6.66655E-018  7.93028E-007  4.66217E-023  2.23172E-022  1.93823E-035  1.27392E-034  1.00000E-040  4.04518E-013  4.32163E-018  7.36329E-017  2.55089E-011  5.64404E-038  1.00000E-040  3.17325E-010  6.52272E-033  4.79681E-011  5.13267E-026  9.94671E-001  6.45979E-021  1.73354E-013  3.01220E-010  1.00000E-040  1.00000E-040  7.00783E-026  2.10794E-021  7.63732E-015  6.73261E-014  1.58749E-011  1.05419E-014  2.68781E-007  1.76470E-009  1.74336E-008  2.56629E-013  1.26818E-014  1.39798E-019  1.21051E-013  2.03898E-011  3.68085E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.02520E-012  1.00000E-040  1.14960E-019  1.08741E-015  6.23216E-023  6.87752E-022  6.48451E-037  6.03455E-034  1.00000E-040  1.00000E-040  1.00000E-040  9.78707E-038  2.14862E-034  1.73358E-022  9.42143E-015  1.88316E-032  2.01359E-033  3.31022E-022  7.16428E-016  1.09008E-016  4.76577E-015  3.49890E-023  9.24892E-011  1.00000E-040  3.03930E-018  1.93715E-038  3.49209E-023  2.65639E-027  4.80759E-021  4.19787E-022  6.59723E-010  4.31040E-021  7.51676E-022  4.87029E-013  2.68422E-014  9.14113E-040  1.00000E-040  4.17740E-021  1.00000E-040  2.52887E-021  3.26648E-011  3.73751E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.22291E-001  1.69998E+019  2.65135E+002  1.00000E+005  5.43607E-004  1.00000E-040  1.00000E-040  5.93594E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.33891E-022  1.00000E-040  1.00000E-040  3.22163E-019  4.96999E-007  2.06353E-003  1.29263E-013  9.83919E-015  2.11620E-003  2.79051E-008  2.82540E-004  1.82773E-020  8.90808E-011  1.00000E-040  1.00000E-040  1.05650E-028  6.86059E-018  7.91205E-007  6.90135E-023  2.09973E-022  1.59190E-035  8.56185E-035  1.00000E-040  1.60815E-013  2.06162E-018  9.37198E-017  1.68579E-011  7.70580E-038  1.00000E-040  3.11029E-010  4.49590E-033  4.77994E-011  1.06386E-025  9.95536E-001  8.44246E-021  1.81412E-013  2.44195E-010  1.00000E-040  1.00000E-040  5.86646E-026  1.83457E-021  1.17031E-014  8.92449E-014  1.63170E-011  8.50416E-015  2.67984E-007  1.67409E-009  2.11943E-008  2.78637E-013  1.40430E-014  8.16294E-020  7.18279E-014  2.04284E-011  3.15359E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.36300E-013  1.00000E-040  1.13355E-019  1.03411E-015  8.39414E-023  6.11375E-022  6.47459E-037  3.32795E-034  1.00000E-040  1.00000E-040  1.00000E-040  1.40319E-037  2.05311E-034  1.61873E-022  9.49244E-015  1.99398E-032  2.56590E-033  4.78824E-022  6.22356E-016  1.38626E-016  5.85153E-015  2.73970E-023  9.23975E-011  1.00000E-040  5.57569E-018  2.08174E-038  4.64578E-023  2.07414E-027  4.81169E-021  3.54266E-022  5.23298E-010  3.42318E-021  1.11247E-021  4.53026E-013  2.69211E-014  8.23087E-040  1.00000E-040  3.64805E-021  1.00000E-040  1.62584E-021  3.22933E-011  3.75261E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.48171E-001  1.53271E+019  2.59044E+002  1.00000E+005  4.53439E-004  1.00000E-040  1.00000E-040  3.04579E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.55379E-022  1.00000E-040  1.00000E-040  3.68985E-019  4.97353E-007  1.36450E-003  1.46562E-013  1.48133E-014  2.11767E-003  2.65009E-008  2.82742E-004  1.92119E-020  8.12557E-011  1.00000E-040  1.00000E-040  1.11161E-028  6.74832E-018  7.89638E-007  9.86134E-023  1.86634E-022  1.35120E-035  5.80759E-035  1.00000E-040  6.33104E-014  1.05930E-018  1.33027E-016  1.15210E-011  9.09303E-038  1.00000E-040  3.04390E-010  2.85681E-033  4.76518E-011  2.32671E-025  9.96233E-001  1.12198E-020  1.87641E-013  1.93476E-010  1.00000E-040  1.10067E-040  4.76221E-026  1.53856E-021  2.29478E-014  1.17431E-013  1.62669E-011  6.89416E-015  2.67046E-007  1.55004E-009  2.67180E-008  3.38938E-013  1.64727E-014  4.83658E-020  8.53744E-014  2.12440E-011  2.59247E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.48700E-013  1.00000E-040  1.10858E-019  9.71158E-016  1.13907E-022  5.24107E-022  6.46222E-037  1.58078E-034  1.00000E-040  1.00000E-040  1.00000E-040  1.84192E-037  1.83908E-034  1.44344E-022  7.92553E-015  1.94384E-032  3.29233E-033  6.87597E-022  6.64411E-016  1.61336E-016  7.42656E-015  1.96733E-023  9.12960E-011  1.00000E-040  1.06230E-017  2.14384E-038  6.17502E-023  1.52261E-027  4.81494E-021  2.79365E-022  3.51444E-010  2.75940E-021  1.68760E-021  4.14748E-013  2.69685E-014  6.29030E-040  1.00000E-040  2.92979E-021  1.00000E-040  9.32384E-022  3.19708E-011  3.77601E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.81442E-001  1.38205E+019  2.52312E+002  1.00000E+005  3.53527E-004  1.00000E-040  1.00000E-040  1.27754E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.08190E-022  1.00000E-040  1.00000E-040  3.96789E-019  4.97600E-007  8.34476E-004  1.59146E-013  2.22938E-014  2.11877E-003  2.51187E-008  2.82895E-004  1.80588E-020  6.80081E-011  1.00000E-040  1.00000E-040  1.02629E-028  6.13582E-018  7.88280E-007  1.38347E-022  1.57027E-022  1.12320E-035  3.58188E-035  1.00000E-040  2.51137E-014  6.01726E-019  2.03788E-016  8.43189E-012  9.28445E-038  1.00000E-040  2.97479E-010  1.58815E-033  4.75239E-011  5.27500E-025  9.96762E-001  1.48116E-020  1.89772E-013  1.49622E-010  1.00000E-040  1.40261E-040  3.77865E-026  1.23666E-021  5.29558E-014  1.49273E-013  1.55327E-011  5.50289E-015  2.65967E-007  1.38393E-009  3.39655E-008  4.38090E-013  1.97137E-014  3.19425E-020  1.60663E-013  2.26545E-011  2.00164E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.63899E-013  1.00000E-040  1.07662E-019  8.95194E-016  1.54938E-022  4.31227E-022  6.44768E-037  6.39862E-035  1.00000E-040  1.00000E-040  1.00000E-040  2.19647E-037  1.50211E-034  1.21395E-022  5.71004E-015  1.64245E-032  4.16404E-033  9.76203E-022  9.06858E-016  1.71354E-016  9.59646E-015  1.25794E-023  8.92796E-011  1.00000E-040  2.13515E-017  2.10478E-038  8.14403E-023  1.05150E-027  4.81736E-021  2.04319E-022  2.01282E-010  2.29937E-021  2.55574E-021  3.73887E-013  2.69951E-014  4.25702E-040  1.00000E-040  2.05659E-021  1.00000E-040  4.73533E-022  3.16952E-011  3.81228E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.21406E-001  1.24445E+019  2.45267E+002  1.00000E+005  2.43628E-004  1.00000E-040  1.00000E-040  4.36056E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.28393E-022  1.00000E-040  1.00000E-040  4.03539E-019  4.97716E-007  4.78047E-004  1.65752E-013  3.31016E-014  2.11951E-003  2.37944E-008  2.82999E-004  1.53220E-020  5.24583E-011  1.00000E-040  1.00000E-040  8.45742E-029  5.22734E-018  7.87053E-007  1.93039E-022  1.26206E-022  9.23743E-036  1.96050E-035  1.00000E-040  1.02044E-014  3.76135E-019  3.24479E-016  6.81973E-012  8.52902E-038  1.00000E-040  2.90390E-010  7.91504E-034  4.74120E-011  1.22088E-024  9.97118E-001  1.91946E-020  1.86327E-013  1.12991E-010  1.00000E-040  1.77099E-040  2.96776E-026  9.52669E-022  1.32485E-013  1.80003E-013  1.42506E-011  4.24908E-015  2.64750E-007  1.18958E-009  4.27278E-008  5.80881E-013  2.30059E-014  2.93572E-020  3.34299E-013  2.44858E-011  1.35523E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.73115E-013  1.00000E-040  1.04261E-019  8.12090E-016  2.09550E-022  3.41901E-022  6.43102E-037  2.20618E-035  1.00000E-040  1.00000E-040  1.00000E-040  2.43250E-037  1.12393E-034  9.68361E-023  3.68749E-015  1.22723E-032  5.18324E-033  1.36029E-021  1.51772E-015  1.67249E-016  1.23546E-014  7.21055E-024  8.64350E-011  1.00000E-040  4.41683E-017  1.98917E-038  1.05705E-022  6.88517E-028  4.81891E-021  1.38059E-022  9.84475E-011  2.04219E-021  3.80650E-021  3.25839E-013  2.70086E-014  2.52912E-040  1.00000E-040  1.27441E-021  1.00000E-040  2.16299E-022  3.14601E-011  3.86777E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.67473E-001  1.11807E+019  2.38053E+002  1.00000E+005  1.51761E-004  1.00000E-040  1.00000E-040  1.01516E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.15311E-022  1.00000E-040  1.00000E-040  3.94033E-019  4.97709E-007  2.59360E-004  1.67348E-013  4.81565E-014  2.11996E-003  2.25724E-008  2.83063E-004  1.19350E-020  3.75778E-011  1.00000E-040  1.00000E-040  6.38947E-029  4.23775E-018  7.85902E-007  2.69567E-022  9.83458E-023  7.76875E-036  1.03300E-035  1.00000E-040  4.30957E-015  2.57646E-019  5.25746E-016  6.14877E-012  7.36574E-038  1.00000E-040  2.83248E-010  3.60139E-034  4.73127E-011  2.89064E-024  9.97336E-001  2.43251E-020  1.75853E-013  8.37090E-011  1.00000E-040  2.14431E-040  2.34303E-026  7.06018E-022  3.15948E-013  2.03120E-013  1.26247E-011  3.16941E-015  2.63411E-007  9.88152E-010  5.26720E-008  7.65094E-013  2.46906E-014  3.97717E-020  6.58945E-013  2.65440E-011  5.76100E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.65007E-013  1.00000E-040  1.01141E-019  7.31847E-016  2.77097E-022  2.63994E-022  6.41244E-037  6.53319E-036  1.00000E-040  1.00000E-040  1.00000E-040  2.56450E-037  7.82593E-035  7.40411E-023  2.22715E-015  8.33664E-033  6.40147E-033  1.87631E-021  2.95207E-015  1.51566E-016  1.55231E-014  3.75683E-024  8.28914E-011  1.00000E-040  9.41958E-017  1.85464E-038  1.34256E-022  4.34700E-028  4.81977E-021  8.66307E-023  4.25717E-011  1.96895E-021  5.53599E-021  2.66562E-013  2.70144E-014  1.11430E-040  1.00000E-040  7.14171E-022  1.00000E-040  9.15965E-023  3.12575E-011  3.95125E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.19152E-001  1.00069E+019  2.31001E+002  9.61769E+004  8.32805E-005  1.00000E-040  1.00000E-040  3.80704E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.26768E-021  1.00000E-040  1.00000E-040  3.83617E-019  4.97595E-007  1.37993E-004  1.68141E-013  6.90789E-014  2.12020E-003  2.14700E-008  2.83100E-004  8.97560E-021  2.58890E-011  1.00000E-040  1.00000E-040  4.75156E-029  3.40872E-018  7.84753E-007  3.77114E-022  7.54954E-023  6.68524E-036  5.51822E-036  1.00000E-040  1.91344E-015  2.05923E-019  8.44515E-016  6.03859E-012  6.38758E-038  1.00000E-040  2.76069E-010  1.58648E-034  4.72202E-011  6.99257E-024  9.97457E-001  3.02287E-020  1.58447E-013  6.13119E-011  1.00000E-040  2.55523E-040  1.88243E-026  5.07928E-022  6.50998E-013  2.12696E-013  1.10002E-011  2.33459E-015  2.61941E-007  8.05677E-010  6.36218E-008  1.00109E-012  2.40968E-014  6.84036E-020  1.16716E-012  2.89785E-011  2.44005E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.36723E-013  1.00000E-040  9.85557E-020  6.63049E-016  3.42456E-022  2.02540E-022  6.39163E-037  1.68207E-036  1.00000E-040  1.00000E-040  1.00000E-040  2.68007E-037  5.27051E-035  5.53007E-023  1.32721E-015  5.55199E-033  7.95820E-033  2.59478E-021  6.17372E-015  1.32692E-016  1.86955E-014  1.84841E-024  7.87916E-011  1.00000E-040  2.04769E-016  1.76158E-038  1.59262E-022  2.71202E-028  4.82013E-021  5.14046E-023  1.81495E-011  2.06027E-021  7.88753E-021  1.97977E-013  2.70156E-014  1.00000E-040  1.00000E-040  3.87135E-022  1.18176E-040  3.78804E-023  3.10749E-011  4.07688E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
