alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00317E+000  3.30751E+019  2.19679E+002  1.00000E+005  1.09858E-010  1.00000E-040  1.00000E-040  6.38056E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.71419E-026  1.00000E-040  1.00000E-040  2.54670E-023  4.98422E-007  1.01241E-005  3.97937E-018  1.56154E-017  2.12059E-003  5.00966E-008  2.83104E-004  6.27750E-024  3.87094E-010  1.00000E-040  1.00000E-040  3.59338E-034  1.42644E-023  8.05450E-007  1.16401E-024  2.69308E-021  1.70339E-030  3.34661E-030  9.58648E-033  1.48471E-010  2.95241E-019  3.00953E-018  4.70227E-011  1.00000E-040  1.00000E-040  3.35936E-010  7.55057E-040  3.94814E-011  2.78922E-029  9.97585E-001  5.32574E-023  9.99260E-018  4.44125E-010  3.81694E-031  1.57931E-038  1.22274E-021  1.02600E-018  7.28214E-012  1.35496E-020  2.96137E-015  3.21238E-015  2.72138E-007  4.41317E-013  5.94230E-009  8.75774E-010  4.45907E-014  3.64767E-022  1.10063E-011  1.78261E-012  5.26815E-012  7.21534E-030  4.32209E-037  1.00000E-040  1.05516E-029  3.31393E-015  1.93127E-024  6.55483E-016  3.41538E-016  1.20181E-019  9.10823E-019  2.79831E-025  8.75377E-035  4.11162E-024  3.05964E-031  1.16122E-028  1.01074E-036  2.28318E-036  9.17369E-020  5.00907E-023  2.37709E-038  1.43287E-031  1.36910E-027  4.04874E-015  2.55102E-021  2.00629E-015  4.46825E-027  9.16243E-013  1.00000E-040  5.83739E-020  3.61902E-038  2.16338E-023  4.68507E-024  2.65362E-016  2.66723E-020  3.82386E-017  4.72298E-025  1.26623E-025  1.52497E-015  7.95616E-015  1.00000E-040  4.16998E-032  1.12980E-023  1.00000E-040  2.33667E-023  3.01564E-011  1.02184E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.66744E-001  2.65878E+019  2.36116E+002  1.00000E+005  1.62629E-010  1.00000E-040  1.00000E-040  1.49483E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.53038E-025  1.00000E-040  1.00000E-040  7.53469E-023  4.98474E-007  1.00585E-005  9.52525E-018  3.20414E-017  2.12059E-003  5.00926E-008  2.83104E-004  9.89474E-024  3.72252E-010  1.00000E-040  1.00000E-040  6.59990E-034  9.53949E-023  8.05424E-007  5.03925E-024  2.69440E-021  1.15739E-030  2.32177E-030  9.58647E-033  1.44285E-010  7.61198E-019  9.49127E-018  9.96784E-011  1.00000E-040  1.00000E-040  3.35515E-010  1.37177E-038  3.94744E-011  5.23918E-029  9.97585E-001  1.09767E-022  2.79940E-017  4.33839E-010  3.16513E-031  4.13042E-038  1.22276E-021  1.02598E-018  4.51676E-012  2.24139E-020  1.05176E-014  3.21815E-015  2.72083E-007  5.66501E-013  6.68210E-009  8.48243E-010  1.76127E-013  1.18541E-020  1.10057E-011  9.08452E-012  1.94220E-012  7.16937E-030  4.92674E-037  1.00000E-040  1.06760E-029  3.31703E-015  1.93126E-024  6.55484E-016  3.41624E-016  1.20206E-019  9.11106E-019  2.79831E-025  8.76106E-035  4.11162E-024  3.05141E-031  1.29757E-028  1.01104E-036  6.31228E-036  9.24207E-020  1.71435E-022  5.48932E-038  2.51655E-031  1.30380E-027  2.31856E-015  7.55793E-021  2.00396E-015  1.12014E-026  9.16241E-013  1.00000E-040  1.31827E-020  5.78529E-038  2.93930E-024  4.69878E-024  2.65362E-016  2.67702E-020  2.81467E-016  2.01006E-024  2.28194E-025  1.52738E-015  7.95616E-015  1.00000E-040  4.32186E-032  1.16076E-023  1.00000E-040  2.34567E-023  3.01468E-011  1.02188E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.54674E-001  2.24814E+019  2.43138E+002  1.00000E+005  4.93126E-010  1.00000E-040  1.00000E-040  2.70163E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.00917E-025  1.00000E-040  1.00000E-040  1.61372E-022  4.98535E-007  9.97875E-006  1.80910E-017  5.40683E-017  2.12058E-003  5.00866E-008  2.83104E-004  1.41815E-023  3.57025E-010  1.00000E-040  1.00000E-040  1.07449E-033  2.95072E-022  8.05392E-007  9.95896E-024  2.69614E-021  8.58358E-031  1.75260E-030  9.58645E-033  1.39414E-010  1.39695E-018  1.73501E-017  1.04492E-010  1.63475E-040  1.00000E-040  3.35017E-010  5.71949E-038  3.94672E-011  9.85098E-029  9.97585E-001  1.90861E-022  5.53676E-017  4.21837E-010  3.77527E-031  7.56968E-038  1.22282E-021  1.02585E-018  3.90961E-012  4.45615E-020  2.10664E-014  3.22966E-015  2.72017E-007  7.51329E-013  7.57101E-009  8.13861E-010  3.02907E-013  5.45023E-020  1.10054E-011  1.73024E-011  1.36570E-012  7.06711E-030  5.71569E-037  1.00000E-040  1.09520E-029  3.32632E-015  1.93125E-024  6.55486E-016  3.41820E-016  1.20284E-019  9.11468E-019  2.79832E-025  8.74686E-035  4.11163E-024  3.00878E-031  1.44202E-028  1.01196E-036  1.30035E-035  9.37701E-020  3.84761E-022  9.77801E-038  2.57132E-031  1.74294E-027  2.34278E-015  1.56508E-020  1.99984E-015  2.33510E-026  9.16233E-013  1.00000E-040  8.99485E-021  9.39762E-038  1.62572E-024  4.73120E-024  2.65362E-016  2.70442E-020  7.95652E-016  3.70267E-024  3.63381E-025  1.53373E-015  7.95616E-015  1.00000E-040  4.93169E-032  1.21713E-023  1.00000E-040  2.36079E-023  3.01371E-011  1.02202E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.58821E-001  1.95057E+019  2.44637E+002  1.00000E+005  1.41732E-009  1.00000E-040  1.00000E-040  1.94506E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.26841E-025  1.00000E-040  1.00000E-040  2.96514E-022  4.98606E-007  9.88473E-006  3.10021E-017  8.22217E-017  2.12058E-003  5.00786E-008  2.83103E-004  1.94315E-023  3.41999E-010  1.00000E-040  1.00000E-040  1.66022E-033  6.22533E-022  8.05355E-007  1.75893E-023  2.69660E-021  6.75460E-031  1.39358E-030  9.58642E-033  1.34023E-010  2.23929E-018  2.96063E-017  1.09804E-010  2.45827E-040  1.00000E-040  3.34454E-010  1.15270E-037  3.94601E-011  1.96327E-028  9.97585E-001  3.17255E-022  9.55439E-017  4.08495E-010  6.03269E-031  1.36254E-037  1.22296E-021  1.02549E-018  3.80639E-012  9.26656E-020  3.37195E-014  3.24598E-015  2.71940E-007  1.00927E-012  8.59408E-009  7.75538E-010  3.59160E-013  1.19425E-019  1.10061E-011  2.64026E-011  9.61671E-013  6.90341E-030  6.79337E-037  1.00000E-040  1.13999E-029  3.34528E-015  1.93123E-024  6.55493E-016  3.42143E-016  1.20449E-019  9.11621E-019  2.79832E-025  8.65282E-035  4.11164E-024  2.90901E-031  1.59566E-028  1.01391E-036  2.24531E-035  9.55120E-020  7.09233E-022  1.55849E-037  3.83260E-031  2.77921E-027  3.33675E-015  2.72312E-020  1.99473E-015  3.73411E-026  9.16220E-013  1.00000E-040  1.12995E-020  1.55865E-037  2.02998E-024  4.78470E-024  2.65362E-016  2.75925E-020  1.47156E-015  6.49822E-024  5.42517E-025  1.54564E-015  7.95616E-015  1.00000E-040  6.24661E-032  1.29400E-023  1.00000E-040  2.36643E-023  3.01276E-011  1.02231E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  5.74986E-001  1.72285E+019  2.41727E+002  1.00000E+005  3.93405E-009  1.00000E-040  1.00000E-040  1.26295E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.67487E-025  1.00000E-040  1.00000E-040  4.90344E-022  4.98686E-007  9.77454E-006  4.97464E-017  1.15569E-016  2.12058E-003  5.00686E-008  2.83103E-004  2.58636E-023  3.27542E-010  1.00000E-040  1.00000E-040  2.49658E-033  9.92396E-022  8.05313E-007  2.90955E-023  2.69355E-021  5.56999E-031  1.15345E-030  9.58640E-033  1.28269E-010  3.31069E-018  4.94940E-017  1.15450E-010  3.49737E-040  1.00000E-040  3.33837E-010  1.34704E-037  3.94532E-011  4.27676E-028  9.97585E-001  5.20100E-022  1.51613E-016  3.94163E-010  1.22704E-030  1.87267E-037  1.22322E-021  1.02475E-018  4.06911E-012  1.97508E-019  4.58599E-014  3.26550E-015  2.71854E-007  1.35717E-012  9.74146E-009  7.34543E-010  3.18362E-013  1.60016E-019  1.10084E-011  3.64340E-011  6.82260E-013  6.67766E-030  8.28768E-037  1.00000E-040  1.20367E-029  3.37792E-015  1.93121E-024  6.55507E-016  3.42611E-016  1.20746E-019  9.11233E-019  2.79832E-025  8.42374E-035  4.11167E-024  2.74083E-031  1.76153E-028  1.01745E-036  3.50966E-035  9.72326E-020  1.13945E-021  2.31714E-037  5.66172E-031  5.13311E-027  6.27410E-015  4.20907E-020  1.98935E-015  4.84189E-026  9.16198E-013  1.00000E-040  2.26704E-020  2.66153E-037  4.64189E-024  4.85871E-024  2.65362E-016  2.84695E-020  1.98938E-015  1.11396E-023  7.74059E-025  1.56455E-015  7.95617E-015  1.00000E-040  8.38347E-032  1.38635E-023  1.00000E-040  2.34183E-023  3.01186E-011  1.02284E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.00742E-001  1.53122E+019  2.36860E+002  1.00000E+005  1.08337E-008  1.00000E-040  1.00000E-040  7.42786E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.39253E-025  1.00000E-040  1.00000E-040  7.69266E-022  4.98776E-007  9.64216E-006  7.70895E-017  1.56959E-016  2.12058E-003  5.00563E-008  2.83103E-004  3.41226E-023  3.13889E-010  1.00000E-040  1.00000E-040  3.70108E-033  1.38379E-021  8.05266E-007  4.61670E-023  2.68483E-021  4.69197E-031  9.67919E-031  9.58637E-033  1.22301E-010  4.67014E-018  8.11083E-017  1.21276E-010  4.83040E-040  1.00000E-040  3.33174E-010  1.20837E-037  3.94467E-011  9.44453E-028  9.97585E-001  8.38347E-022  2.29439E-016  3.79179E-010  2.87993E-030  3.30798E-037  1.22364E-021  1.02341E-018  4.52277E-012  4.26293E-019  5.76904E-014  3.28653E-015  2.71758E-007  1.81779E-012  1.10069E-008  6.92054E-010  2.45559E-013  1.72897E-019  1.10129E-011  4.74814E-011  4.87932E-013  6.39367E-030  1.02675E-036  1.00000E-040  1.28769E-029  3.42878E-015  1.93119E-024  6.55528E-016  3.43248E-016  1.21233E-019  9.10017E-019  2.79833E-025  8.06730E-035  4.11171E-024  2.51202E-031  1.94243E-028  1.02329E-036  5.16479E-035  9.85343E-020  1.71216E-021  3.31051E-037  1.67229E-030  1.01532E-026  1.34165E-014  6.11765E-020  1.98392E-015  5.52772E-026  9.16168E-013  1.00000E-040  5.66203E-020  4.59460E-037  1.43041E-023  4.94944E-024  2.65362E-016  2.96471E-020  2.31635E-015  1.87942E-023  1.07685E-024  1.59139E-015  7.95618E-015  1.00000E-040  1.12716E-031  1.48876E-023  1.00000E-040  2.27638E-023  3.01104E-011  1.02368E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.34707E-001  1.36391E+019  2.30849E+002  1.00000E+005  2.98843E-008  1.00000E-040  1.00000E-040  3.94574E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.70218E-025  1.00000E-040  1.00000E-040  1.16691E-021  4.98876E-007  9.47044E-006  1.16722E-016  2.08988E-016  2.12058E-003  5.00417E-008  2.83103E-004  4.49443E-023  3.01179E-010  1.00000E-040  1.00000E-040  5.45682E-033  1.76773E-021  8.05212E-007  7.08960E-023  2.66864E-021  4.00140E-031  8.15190E-031  9.58633E-033  1.16256E-010  6.37117E-018  1.30382E-016  1.27129E-010  6.56695E-040  1.00000E-040  3.32472E-010  9.03794E-038  3.94405E-011  2.05702E-027  9.97585E-001  1.33199E-021  3.35654E-016  3.63858E-010  7.57442E-030  4.62102E-037  1.22430E-021  1.02120E-018  5.14590E-012  9.30242E-019  6.90267E-014  3.30736E-015  2.71652E-007  2.42278E-012  1.23891E-008  6.49080E-010  1.72314E-013  1.60038E-019  1.10198E-011  5.96648E-011  3.45217E-013  6.05866E-030  1.28587E-036  1.00000E-040  1.39350E-029  3.50276E-015  1.93117E-024  6.55562E-016  3.44083E-016  1.21988E-019  9.07730E-019  2.79834E-025  7.62507E-035  4.11179E-024  2.24188E-031  2.13859E-028  1.03240E-036  7.34236E-035  9.90712E-020  2.46099E-021  4.59819E-037  1.47251E-030  2.11184E-026  3.15990E-014  8.53717E-020  1.97840E-015  5.77629E-026  9.16127E-013  1.00000E-040  1.65168E-019  8.00131E-037  5.64444E-023  5.05024E-024  2.65362E-016  3.10642E-020  2.44512E-015  3.13318E-023  1.47177E-024  1.62664E-015  7.95619E-015  1.00000E-040  1.47231E-031  1.59617E-023  1.00000E-040  2.17000E-023  3.01029E-011  1.02495E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  3.75918E-001  1.21428E+019  2.24228E+002  1.00000E+005  8.29832E-008  1.00000E-040  1.00000E-040  1.88512E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.87639E-025  1.00000E-040  1.00000E-040  1.73402E-021  4.98988E-007  9.21168E-006  1.74336E-016  2.75474E-016  2.12058E-003  5.00246E-008  2.83103E-004  5.94664E-023  2.89537E-010  1.00000E-040  1.00000E-040  8.01655E-033  2.13622E-021  8.05153E-007  1.05855E-022  2.64372E-021  3.43615E-031  6.84163E-031  9.58630E-033  1.10282E-010  8.47913E-018  2.06836E-016  1.32836E-010  8.86758E-040  1.00000E-040  3.31736E-010  5.95568E-038  3.94348E-011  4.38612E-027  9.97585E-001  2.08877E-021  4.78361E-016  3.48547E-010  2.03413E-029  6.76947E-037  1.22526E-021  1.01782E-018  5.94873E-012  2.04909E-018  8.00275E-014  3.32620E-015  2.71537E-007  3.21510E-012  1.38885E-008  6.06732E-010  1.13050E-013  1.33757E-019  1.10285E-011  7.31042E-011  2.23280E-013  5.68408E-030  1.62147E-036  1.00000E-040  1.52233E-029  3.60456E-015  1.93115E-024  6.55611E-016  3.45155E-016  1.23113E-019  9.04223E-019  2.79835E-025  7.14386E-035  4.11189E-024  1.95622E-031  2.34966E-028  1.04610E-036  1.02338E-034  9.85709E-020  3.43738E-021  6.25540E-037  3.68178E-030  4.57573E-026  8.14238E-014  1.16123E-019  1.97261E-015  5.65746E-026  9.16074E-013  2.65096E-040  5.54710E-019  1.40671E-036  3.08552E-022  5.15100E-024  2.65362E-016  3.26249E-020  2.41609E-015  5.18255E-023  1.98574E-024  1.67009E-015  7.95619E-015  1.00000E-040  1.84787E-031  1.70409E-023  1.00000E-040  2.03097E-023  3.00964E-011  1.02679E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.23647E-001  1.07876E+019  2.17301E+002  1.00000E+005  2.31737E-007  1.00000E-040  1.00000E-040  8.04383E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.13039E-025  1.00000E-040  1.00000E-040  2.54019E-021  4.99112E-007  8.73020E-006  2.57133E-016  3.61584E-016  2.12057E-003  5.00049E-008  2.83103E-004  7.90709E-023  2.79107E-010  1.00000E-040  1.00000E-040  1.17868E-032  2.47554E-021  8.05087E-007  1.54006E-022  2.60948E-021  2.96371E-031  5.69665E-031  9.58625E-033  1.04538E-010  1.10723E-017  3.22831E-016  1.38171E-010  1.18719E-039  1.00000E-040  3.30973E-010  3.54755E-038  3.94295E-011  1.02085E-026  9.97586E-001  3.23824E-021  6.66657E-016  3.33635E-010  4.89094E-029  9.95488E-037  1.22663E-021  1.01297E-018  6.97677E-012  4.50753E-018  9.03266E-014  3.34065E-015  2.71411E-007  4.25291E-012  1.55066E-008  5.66283E-010  7.03716E-014  1.06347E-019  1.10377E-011  8.79028E-011  8.79629E-014  5.28633E-030  2.05249E-036  1.29354E-040  1.67488E-029  3.73764E-015  1.93113E-024  6.55679E-016  3.46511E-016  1.24744E-019  8.99517E-019  2.79837E-025  6.66051E-035  4.11205E-024  1.68118E-031  2.57503E-028  1.06615E-036  1.39948E-034  9.68028E-020  4.68078E-021  8.37622E-037  4.68328E-030  1.02359E-025  2.25431E-013  1.54608E-019  1.96654E-015  5.27203E-026  9.16007E-013  9.97353E-037  2.22302E-018  2.48774E-036  2.01728E-021  5.23688E-024  2.65362E-016  3.41714E-020  2.25900E-015  8.48237E-023  2.65248E-024  1.72045E-015  7.95619E-015  1.00000E-040  2.22647E-031  1.80929E-023  1.00000E-040  1.87216E-023  3.00907E-011  1.02937E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.77292E-001  9.55357E+018  2.10227E+002  9.61769E+004  6.40519E-007  1.00000E-040  1.00000E-040  6.37375E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.19122E-039  1.50036E-024  1.00000E-040  1.00000E-040  3.63967E-021  4.99255E-007  7.62783E-006  3.65473E-016  4.75091E-016  2.12057E-003  4.99820E-008  2.83104E-004  1.03487E-022  2.69898E-010  1.00000E-040  1.00000E-040  1.73843E-032  2.70120E-021  8.05011E-007  2.18587E-022  2.56531E-021  2.56448E-031  4.69180E-031  9.58621E-033  9.90995E-011  1.42046E-017  4.73659E-016  1.42916E-010  1.54038E-039  1.00000E-040  3.30173E-010  1.88421E-038  3.94247E-011  4.96306E-026  9.97587E-001  4.97072E-021  9.09993E-016  3.19293E-010  9.81126E-029  1.35336E-036  1.22858E-021  1.00626E-018  8.29060E-012  9.66167E-018  9.69982E-014  3.34594E-015  2.71272E-007  5.64207E-012  1.72787E-008  5.28531E-010  4.20782E-014  8.83724E-020  1.10439E-011  1.04476E-010  5.03511E-014  4.87978E-030  2.60094E-036  2.17943E-040  1.85462E-029  3.90595E-015  1.93110E-024  6.55772E-016  3.48247E-016  1.27086E-019  8.93797E-019  2.79839E-025  6.19195E-035  4.11229E-024  1.43477E-031  2.81908E-028  1.09552E-036  1.83897E-034  9.35154E-020  6.07152E-021  1.10816E-036  6.85419E-030  2.29803E-025  5.96612E-013  1.97124E-019  1.96052E-015  4.72382E-026  9.15922E-013  3.33116E-032  9.06608E-018  4.31065E-036  8.54117E-021  5.28821E-024  2.65362E-016  3.54773E-020  1.96200E-015  1.33762E-022  3.51990E-024  1.77581E-015  7.95620E-015  1.00000E-040  2.59010E-031  1.91236E-023  1.00000E-040  1.70499E-023  3.00860E-011  1.03297E-027  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
