alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00812E+000  2.57816E+019  2.83217E+002  1.00000E+005  5.65152E-004  1.00000E-040  1.00000E-040  4.67960E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.30279E-020  1.00000E-040  1.00000E-040  2.35646E-018  4.95971E-007  4.92684E-003  9.31473E-014  1.26216E-014  2.11016E-004  2.98785E-008  2.81712E-004  2.59007E-019  1.73513E-010  1.00000E-040  1.14878E-040  8.44326E-027  6.49757E-017  8.01490E-007  1.34357E-021  6.97192E-021  2.70659E-032  1.77298E-031  1.00000E-040  4.35930E-012  1.14136E-016  1.62922E-015  2.65826E-011  5.74315E-034  5.13548E-038  3.34285E-010  1.53922E-031  4.71471E-011  3.11390E-024  9.94579E-001  6.49698E-020  1.46311E-013  4.31622E-010  2.99135E-040  1.11448E-037  7.38146E-024  2.23762E-019  1.70677E-012  1.01937E-013  1.65660E-011  1.11870E-014  2.70800E-007  1.47822E-009  4.90183E-009  6.75987E-012  1.58318E-014  3.32899E-019  2.70691E-012  1.59513E-011  3.38668E-011  1.15317E-029  3.14940E-034  3.79846E-034  4.42135E-030  1.13844E-012  1.68872E-024  1.20420E-017  1.45943E-014  1.89115E-021  7.55678E-020  2.93485E-031  4.17198E-031  1.24778E-032  3.43480E-038  5.29412E-029  3.42321E-034  2.14979E-031  1.83038E-020  3.85687E-016  1.96266E-031  3.65911E-031  2.68810E-022  2.86346E-014  1.46636E-015  2.59054E-015  6.07149E-022  1.39958E-010  1.00000E-040  1.06886E-018  1.39243E-036  2.10417E-022  8.19691E-022  1.28889E-014  3.28950E-020  3.55456E-011  3.53368E-020  3.45523E-022  5.10646E-013  6.12084E-014  1.60195E-035  2.58044E-037  7.27085E-020  1.00000E-040  1.75616E-020  3.22744E-011  3.17774E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94693E-001  2.34301E+019  2.76577E+002  1.00000E+005  7.37369E-004  1.00000E-040  1.00000E-040  5.45202E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.71472E-021  1.00000E-040  1.00000E-040  2.49820E-018  4.96394E-007  3.65695E-003  9.64422E-014  1.40707E-014  2.11276E-004  2.84760E-008  2.82077E-004  1.78873E-019  1.08531E-010  1.00000E-040  1.03467E-040  7.38325E-027  5.78215E-017  7.97653E-007  2.69929E-021  7.14490E-021  3.22038E-032  1.63000E-031  1.00000E-040  1.62639E-012  5.23475E-017  3.38589E-015  5.59607E-011  9.10711E-034  3.54486E-038  3.10998E-010  9.10832E-032  4.68048E-011  7.09420E-024  9.95848E-001  1.03492E-019  2.45489E-013  3.09986E-010  1.27510E-039  1.98527E-037  6.82267E-024  2.15351E-019  7.96126E-014  1.29813E-013  1.61526E-011  9.63401E-015  2.68373E-007  1.59989E-009  4.65515E-009  1.05807E-012  1.28566E-014  2.45051E-019  1.03819E-012  2.14877E-011  4.19885E-011  7.85598E-030  3.83298E-034  3.62914E-036  3.65972E-030  2.24720E-012  1.69088E-024  1.20125E-017  1.40005E-014  1.83290E-021  6.88581E-020  2.93982E-031  2.77349E-031  1.24938E-032  2.43694E-038  4.95040E-029  5.35124E-034  2.00950E-031  1.30383E-020  2.32519E-015  1.59414E-031  3.95922E-031  3.53924E-022  2.56103E-014  1.01516E-015  2.79329E-015  4.10546E-022  1.41056E-010  1.00000E-040  1.83020E-018  1.48374E-036  2.53523E-022  7.05192E-022  1.29054E-014  3.20625E-020  2.11040E-010  8.01631E-020  4.06942E-022  9.39979E-013  6.14680E-014  1.23001E-035  2.61719E-037  5.26390E-020  1.00000E-040  1.34646E-020  3.15845E-011  3.17056E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.92395E-001  2.11204E+019  2.71742E+002  1.00000E+005  4.95003E-004  1.00000E-040  1.00000E-040  5.69813E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.90698E-021  1.00000E-040  1.00000E-040  3.34594E-018  4.96640E-007  2.82366E-003  1.22498E-013  1.92964E-014  2.11443E-004  2.69154E-008  2.82319E-004  2.04587E-019  1.00889E-010  1.00000E-040  1.91505E-040  1.04849E-026  6.76175E-017  7.93878E-007  3.87890E-021  6.49868E-021  2.88974E-032  1.15923E-031  1.00000E-040  5.63183E-013  2.35351E-017  4.16506E-015  3.65832E-011  1.47915E-033  1.92484E-038  2.87098E-010  7.53667E-032  4.64670E-011  1.57684E-023  9.96681E-001  1.42059E-019  2.60724E-013  2.10855E-010  4.25952E-039  2.97165E-037  5.94297E-024  1.92695E-019  4.26836E-014  1.64516E-013  1.74485E-011  9.15741E-015  2.65562E-007  1.71217E-009  5.22663E-009  5.79997E-013  1.44459E-014  1.87471E-019  4.21021E-013  2.46697E-011  4.53787E-011  7.15839E-030  4.44333E-034  2.93208E-035  4.16385E-030  2.06879E-012  1.69229E-024  1.20328E-017  1.38368E-014  1.88523E-021  6.50066E-020  2.94467E-031  1.60417E-031  1.25045E-032  1.52015E-038  5.56649E-029  8.38038E-034  2.17935E-031  1.31876E-020  4.48454E-015  2.14082E-031  4.90478E-031  5.21064E-022  2.79955E-014  1.30776E-015  2.94178E-015  3.53601E-022  1.36890E-010  1.00000E-040  3.29837E-018  1.78071E-036  3.55922E-022  6.25011E-022  1.29162E-014  2.84825E-020  2.48611E-010  6.83704E-020  5.57854E-022  9.02672E-013  6.16514E-014  9.94893E-036  2.66078E-037  5.68879E-020  1.00000E-040  9.99878E-021  3.09254E-011  3.14347E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.00271E-001  1.90286E+019  2.66549E+002  1.00000E+005  4.68933E-004  1.00000E-040  1.00000E-040  3.13098E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.77663E-021  1.00000E-040  1.00000E-040  4.48388E-018  4.96899E-007  2.06023E-003  1.58139E-013  3.13171E-014  2.11595E-004  2.52454E-008  2.82541E-004  2.55333E-019  1.01940E-010  1.00000E-040  3.59743E-040  1.50719E-026  7.89734E-017  7.90492E-007  5.14775E-021  5.07671E-021  2.12272E-032  6.08886E-032  1.00000E-040  1.79072E-013  9.89067E-018  4.89292E-015  2.41393E-011  2.01621E-033  8.29710E-039  2.63094E-010  6.05042E-032  4.61515E-011  3.84569E-023  9.97444E-001  1.91863E-019  2.51736E-013  1.35075E-010  1.25597E-038  3.96566E-037  4.87112E-024  1.60081E-019  6.77178E-014  2.11396E-013  1.88288E-011  8.70368E-015  2.62453E-007  1.73006E-009  6.97601E-009  6.54114E-013  1.89623E-014  1.29354E-019  2.73912E-013  2.80094E-011  4.33870E-011  7.65509E-030  5.47452E-034  1.00000E-040  5.84182E-030  1.48382E-012  1.69356E-024  1.20403E-017  1.39597E-014  2.05254E-021  6.03637E-020  2.95072E-031  7.41579E-032  1.25148E-032  8.82116E-039  7.47212E-029  1.22096E-033  2.22205E-031  1.32915E-020  4.52652E-015  2.89197E-031  6.77335E-031  7.57005E-022  3.79902E-014  1.75633E-015  3.32457E-015  2.89458E-022  1.26243E-010  1.00000E-040  6.34952E-018  2.06313E-036  5.17539E-022  5.06862E-022  1.29261E-014  2.18657E-020  1.90839E-010  6.00469E-020  8.93055E-022  6.53844E-013  6.17738E-014  6.75529E-036  2.64111E-037  6.33793E-020  1.00000E-040  6.41164E-021  3.03104E-011  3.09285E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.17319E-001  1.71572E+019  2.60603E+002  1.00000E+005  4.22626E-004  1.00000E-040  1.00000E-040  1.59042E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.68712E-021  1.00000E-040  1.00000E-040  5.72176E-018  4.97143E-007  1.39308E-003  2.01234E-013  5.44335E-014  2.11726E-004  2.34567E-008  2.82735E-004  2.93291E-019  9.59081E-011  1.00000E-040  5.97800E-040  2.01211E-026  8.76512E-017  7.87535E-007  6.52184E-021  3.39022E-021  1.32827E-032  2.34889E-032  1.00000E-040  5.26487E-014  5.54431E-018  5.56118E-015  1.65832E-011  2.31635E-033  3.28979E-039  2.39463E-010  4.38434E-032  4.58642E-011  1.00680E-022  9.98111E-001  2.53958E-019  2.23533E-013  8.11127E-011  3.33757E-038  4.83789E-037  3.76856E-024  1.21020E-019  1.39163E-013  2.51387E-013  1.94854E-011  8.29662E-015  2.59042E-007  1.64860E-009  1.00944E-008  8.25345E-013  2.55759E-014  8.49438E-020  3.65666E-013  3.18487E-011  3.79739E-011  8.82862E-030  6.81174E-034  1.02713E-034  8.90321E-030  8.98363E-013  1.69465E-024  1.19445E-017  1.40652E-014  2.43694E-021  5.34981E-020  2.95834E-031  2.58791E-032  1.25249E-032  4.73484E-039  1.08876E-028  1.61477E-033  2.01693E-031  1.23524E-020  3.78179E-015  3.58519E-031  9.51081E-031  1.07324E-021  5.77292E-014  2.16088E-015  3.89711E-015  2.03470E-022  1.10726E-010  1.00000E-040  1.32631E-017  2.26373E-036  7.70659E-022  3.64986E-022  1.29348E-014  1.43868E-020  1.17713E-010  5.45428E-020  1.52663E-021  3.89420E-013  6.18504E-014  3.61034E-036  2.51409E-037  6.54361E-020  1.00000E-040  3.47066E-021  2.97504E-011  3.01895E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.42635E-001  1.54663E+019  2.54120E+002  1.00000E+005  3.38777E-004  1.00000E-040  1.00000E-040  7.93681E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.03844E-021  1.00000E-040  1.00000E-040  6.87679E-018  4.97338E-007  8.75209E-004  2.47256E-013  9.42427E-014  2.11823E-004  2.15939E-008  2.82887E-004  3.05187E-019  8.36015E-011  1.00000E-040  8.43134E-040  2.41095E-026  9.11291E-017  7.84998E-007  8.07603E-021  1.98335E-021  7.49377E-033  6.97398E-033  1.00000E-040  1.48053E-014  5.35424E-018  6.17339E-015  1.22836E-011  2.33049E-033  1.58791E-039  2.16663E-010  2.84039E-032  4.56088E-011  2.59557E-022  9.98629E-001  3.14881E-019  1.77797E-013  4.54511E-011  7.72673E-038  5.57487E-037  2.82151E-024  8.24302E-020  2.95199E-013  2.53567E-013  1.92358E-011  7.72255E-015  2.55338E-007  1.48339E-009  1.46756E-008  1.06045E-012  3.35058E-014  6.43025E-020  6.63059E-013  3.59842E-011  3.03220E-011  1.08950E-029  8.28050E-034  4.70761E-035  1.33244E-029  4.51855E-013  1.69547E-024  1.16817E-017  1.38903E-014  3.25058E-021  4.48250E-020  2.96802E-031  6.82225E-033  1.25349E-032  2.38685E-039  1.59429E-028  1.94453E-033  1.58381E-031  1.03150E-020  2.85112E-015  3.94749E-031  1.29533E-030  1.46168E-021  8.87159E-014  2.44943E-015  4.55324E-015  1.21524E-022  9.31768E-011  1.00000E-040  2.90688E-017  2.35759E-036  1.15225E-021  2.38458E-022  1.29415E-014  8.15237E-021  6.49868E-011  5.19237E-020  2.59406E-021  1.88758E-013  6.18963E-014  1.58614E-036  2.27820E-037  6.01612E-020  1.00000E-040  1.66367E-021  2.92540E-011  2.92903E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.75411E-001  1.39390E+019  2.47033E+002  1.00000E+005  2.47987E-004  1.00000E-040  1.00000E-040  3.20170E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00369E-021  1.00000E-040  1.00000E-040  7.63975E-018  4.97484E-007  5.05782E-004  2.88750E-013  1.56758E-013  2.11889E-004  1.97479E-008  2.82995E-004  2.88483E-019  6.83648E-011  1.00000E-040  9.64979E-040  2.49323E-026  8.68363E-017  7.82868E-007  9.92984E-021  1.06942E-021  4.05843E-033  1.76512E-033  1.00000E-040  4.41383E-015  7.25662E-018  6.90746E-015  1.00337E-011  2.08678E-033  1.02841E-039  1.95135E-010  1.59217E-032  4.53879E-011  6.10763E-022  9.98998E-001  3.43553E-019  1.20680E-013  2.36733E-011  1.59565E-037  6.44042E-037  2.17101E-024  5.08381E-020  5.89949E-013  2.03751E-013  1.79683E-011  6.82198E-015  2.51380E-007  1.25381E-009  2.06846E-008  1.36430E-012  4.07895E-014  6.87369E-020  1.22552E-012  3.97518E-011  1.97133E-011  1.46860E-029  9.67469E-034  1.00000E-040  1.86063E-029  1.76818E-013  1.69602E-024  1.12465E-017  1.32801E-014  4.79140E-021  3.56171E-020  2.98058E-031  1.39660E-033  1.25460E-032  1.13270E-039  2.26294E-028  2.12195E-033  1.06356E-031  7.69149E-021  1.98336E-015  3.70328E-031  1.75486E-030  1.92848E-021  1.33106E-013  2.58819E-015  5.22008E-015  6.14662E-023  7.64287E-011  1.00000E-040  6.69987E-017  2.44467E-036  1.72192E-021  1.41907E-022  1.29463E-014  4.04000E-021  3.40355E-011  5.22293E-020  4.23814E-021  7.00613E-014  6.19235E-014  6.25840E-037  1.95913E-037  4.73553E-020  1.00000E-040  7.24510E-022  2.88259E-011  2.83719E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.14948E-001  1.25422E+019  2.39628E+002  1.00000E+005  1.60143E-004  1.00000E-040  1.00000E-040  1.54753E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.27052E-022  1.00000E-040  1.00000E-040  7.86968E-018  4.97583E-007  2.71794E-004  3.21217E-013  2.48989E-013  2.11925E-004  1.80180E-008  2.83065E-004  2.52058E-019  5.32315E-011  1.00000E-040  9.56065E-040  2.26208E-026  7.67992E-017  7.81085E-007  1.22484E-020  5.66594E-022  2.22959E-033  4.31405E-034  1.00000E-040  1.76122E-015  1.06516E-017  7.95930E-015  9.00867E-012  1.71703E-033  7.57050E-040  1.75286E-010  7.88429E-033  4.52005E-011  3.72118E-021  9.99232E-001  3.13126E-019  6.64701E-014  1.14509E-011  5.56258E-037  8.04539E-037  1.85484E-024  2.92849E-020  1.09244E-012  1.25598E-013  1.58756E-011  5.69452E-015  2.47231E-007  9.93384E-010  2.79343E-008  1.75526E-012  4.54348E-014  1.08089E-019  2.15377E-012  4.26574E-011  8.36928E-012  2.15617E-029  1.07991E-033  1.00000E-040  2.38739E-029  4.97990E-014  1.69633E-024  1.07082E-017  1.22864E-014  7.19883E-021  2.73441E-020  2.99688E-031  2.39688E-034  1.25601E-032  5.11135E-040  3.07714E-028  2.14219E-033  6.33150E-032  5.22404E-021  1.30345E-015  3.01642E-031  2.52967E-030  2.50191E-021  1.87451E-013  2.58751E-015  5.82862E-015  2.80179E-023  6.23343E-011  1.00000E-040  1.59384E-016  2.72321E-036  2.46695E-021  7.80214E-023  1.29494E-014  1.81874E-021  1.74267E-011  5.53428E-020  6.60542E-021  1.84693E-014  6.19391E-014  2.44809E-037  1.60339E-037  3.22567E-020  1.00000E-040  2.93550E-022  2.84635E-011  2.75996E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.60662E-001  1.12576E+019  2.32044E+002  1.00000E+005  9.28920E-005  1.00000E-040  1.00000E-040  1.66471E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49085E-021  1.00000E-040  1.00000E-040  7.65341E-018  4.97642E-007  1.37147E-004  3.44784E-013  3.78426E-013  2.11939E-004  1.64830E-008  2.83106E-004  2.07987E-019  3.99461E-011  1.00000E-040  9.64862E-040  1.85688E-026  6.41472E-017  7.79576E-007  1.52188E-020  3.10117E-022  1.29113E-033  1.12342E-034  1.00000E-040  1.09857E-015  1.50676E-017  9.56684E-015  8.66753E-012  1.34852E-033  5.61536E-040  1.57497E-010  3.51510E-033  4.50427E-011  1.30040E-019  9.99366E-001  2.41449E-019  2.99903E-014  5.18091E-012  8.24601E-036  1.11789E-036  1.81029E-024  1.65870E-020  1.90040E-012  6.10822E-014  1.32992E-011  4.54177E-015  2.42979E-007  7.40060E-010  3.61024E-008  2.23909E-012  4.65699E-014  2.07553E-019  3.55427E-012  4.44435E-011  4.10814E-012  3.15447E-029  1.16250E-033  1.00000E-040  2.83651E-029  1.02168E-014  1.69645E-024  1.01597E-017  1.11142E-014  9.41411E-021  2.07323E-020  3.01785E-031  3.89141E-035  1.25800E-032  2.20537E-040  4.00355E-028  2.04884E-033  3.56786E-032  3.34859E-021  8.30889E-016  2.20146E-031  3.97671E-030  3.28312E-021  2.41544E-013  2.48769E-015  6.32103E-015  2.73103E-023  5.14334E-011  1.00000E-040  3.94098E-016  3.39201E-036  2.91106E-021  4.04586E-023  1.29512E-014  7.92964E-022  8.84105E-012  6.09516E-020  9.83547E-021  3.49030E-015  6.19476E-014  1.13909E-037  1.26381E-037  1.95500E-020  1.00000E-040  1.13052E-022  2.81589E-011  2.70927E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.12072E-001  1.00607E+019  2.24669E+002  9.61769E+004  4.70687E-005  1.00000E-040  1.00000E-040  1.09657E-009  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.34257E-020  1.00000E-040  1.00000E-040  7.41335E-018  4.97668E-007  6.76231E-005  3.67964E-013  5.57961E-013  2.11940E-004  1.51685E-008  2.83129E-004  1.69781E-019  2.96805E-011  1.00000E-040  1.25733E-039  1.49793E-026  5.31369E-017  7.78232E-007  1.90195E-020  1.78470E-022  7.90391E-034  3.21191E-035  1.00000E-040  8.69245E-016  1.96199E-017  1.18713E-014  8.63448E-012  1.07995E-033  4.16410E-040  1.41845E-010  1.51333E-033  4.49061E-011  1.63321E-018  9.99436E-001  1.72142E-019  1.20549E-014  2.22893E-012  2.07987E-034  1.65364E-036  1.92329E-024  9.68309E-021  3.09715E-012  2.62097E-014  1.07889E-011  3.56155E-015  2.38645E-007  5.28649E-010  4.49161E-008  2.77609E-012  4.55556E-014  4.23164E-019  5.44131E-012  4.52806E-011  2.90201E-012  4.22031E-029  1.24428E-033  7.80155E-034  3.20723E-029  1.68349E-015  1.69645E-024  9.66429E-018  1.00103E-014  9.23250E-021  1.59057E-020  3.04487E-031  7.12756E-036  1.26093E-032  1.00000E-040  5.01473E-028  1.94458E-033  2.06376E-032  2.12707E-021  5.38703E-016  1.57209E-031  6.49797E-030  4.44562E-021  2.78678E-013  2.37874E-015  6.63707E-015  1.09690E-022  4.32592E-011  1.00000E-040  9.96242E-016  4.60238E-036  2.34928E-021  2.09043E-023  1.29522E-014  3.57878E-022  4.61291E-012  6.91935E-020  1.41279E-020  5.17499E-016  6.19517E-014  1.06652E-037  9.81156E-038  1.13971E-020  1.00000E-040  4.39163E-023  2.78955E-011  2.68579E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
