alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00812E+000  2.57816E+019  2.83217E+002  1.00000E+005  5.65151E-004  1.00000E-040  1.00000E-040  2.55477E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07541E-020  1.00000E-040  1.00000E-040  1.76612E-018  4.95971E-007  4.92684E-003  7.29970E-014  1.44443E-014  2.11016E-004  2.98655E-008  2.81712E-004  1.97409E-019  1.79138E-010  1.00000E-040  1.00000E-040  5.18217E-027  5.09004E-017  8.01490E-007  7.60628E-022  4.02020E-021  1.05928E-032  6.24954E-032  2.58946E-035  5.25470E-012  8.06103E-017  1.22464E-015  2.85289E-011  1.70834E-034  1.41130E-038  3.34285E-010  1.21830E-031  4.76611E-011  1.89326E-024  9.94579E-001  4.34967E-020  9.54372E-014  4.49657E-010  3.21388E-040  4.63583E-038  5.17961E-024  1.60031E-019  2.24482E-012  9.36925E-014  1.38553E-011  1.25284E-014  2.70800E-007  1.36452E-009  6.45392E-009  8.63055E-012  2.10417E-014  3.11380E-019  3.38554E-012  1.63647E-011  3.17450E-011  7.94264E-031  1.50225E-035  1.00000E-040  3.94418E-031  7.79474E-013  9.68624E-026  9.84771E-018  1.25292E-014  1.83410E-021  6.19856E-020  1.98921E-031  2.07407E-031  1.92600E-032  6.18575E-038  4.41672E-030  1.69287E-034  1.20489E-031  1.44810E-020  2.42007E-016  1.20460E-031  2.92653E-031  1.92422E-022  2.56561E-014  1.11631E-015  2.25471E-015  4.95774E-022  1.27843E-010  1.00000E-040  8.46767E-019  7.65706E-037  1.64195E-022  7.83637E-022  1.52874E-014  1.99366E-020  2.07249E-011  2.97200E-020  2.62863E-022  3.47700E-013  4.96574E-014  5.87794E-036  3.63660E-037  5.22449E-020  1.00000E-040  1.18990E-020  3.30977E-011  2.39094E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94693E-001  2.34301E+019  2.76577E+002  1.00000E+005  7.37368E-004  1.00000E-040  1.00000E-040  2.97647E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.40285E-021  1.00000E-040  1.00000E-040  1.96648E-018  4.96489E-007  3.65695E-003  7.65641E-014  1.70452E-014  2.11277E-004  2.85737E-008  2.82077E-004  1.50969E-019  1.19906E-010  1.00000E-040  1.00000E-040  4.66032E-027  4.59465E-017  7.98399E-007  1.89346E-021  4.36321E-021  1.47002E-032  6.32705E-032  2.59276E-035  2.17626E-012  3.97044E-017  2.44624E-015  5.95976E-011  3.13586E-034  1.07176E-038  3.14808E-010  7.32277E-032  4.73746E-011  5.58374E-024  9.95848E-001  8.54879E-020  2.09484E-013  3.36461E-010  1.57473E-039  9.90864E-038  4.85311E-024  1.59159E-019  1.31658E-013  1.38059E-013  1.45778E-011  1.03545E-014  2.68712E-007  1.56669E-009  6.36771E-009  1.39294E-012  1.52017E-014  2.22620E-019  1.45164E-012  2.28750E-011  3.83511E-011  4.73193E-031  1.90170E-035  1.00000E-040  3.16744E-031  2.00750E-012  9.69867E-026  9.85025E-018  1.21456E-014  1.79410E-021  5.60752E-020  1.99270E-031  1.35362E-031  1.92847E-032  4.40595E-038  4.15632E-030  3.05640E-034  1.17904E-031  9.37676E-021  1.45854E-015  1.00623E-031  3.39124E-031  2.58564E-022  2.27549E-014  8.66048E-016  2.59820E-015  3.36631E-022  1.29805E-010  1.00000E-040  1.47066E-018  8.37877E-037  2.01001E-022  6.79345E-022  1.53069E-014  1.96034E-020  1.28837E-010  6.77761E-020  3.49750E-022  7.80483E-013  4.98972E-014  4.57249E-036  3.73199E-037  3.78740E-020  1.00000E-040  9.06901E-021  3.24950E-011  2.38937E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.92395E-001  2.11204E+019  2.71742E+002  1.00000E+005  4.95002E-004  1.00000E-040  1.00000E-040  3.11083E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.29990E-021  1.00000E-040  1.00000E-040  2.72814E-018  4.96806E-007  2.82366E-003  1.01054E-013  2.29930E-014  2.11446E-004  2.70914E-008  2.82318E-004  1.70869E-019  1.05150E-010  1.00000E-040  1.07941E-040  7.14626E-027  5.58754E-017  7.95259E-007  2.91560E-021  4.22759E-021  1.47579E-032  5.02376E-032  2.59492E-035  8.29607E-013  2.04543E-017  3.14022E-015  4.01036E-011  5.98614E-034  6.85136E-039  2.94471E-010  6.30357E-032  4.70858E-011  1.37887E-023  9.96681E-001  1.27536E-019  2.38468E-013  2.39207E-010  5.34178E-039  1.60204E-037  4.30727E-024  1.45052E-019  5.73956E-014  1.77544E-013  1.59406E-011  9.67143E-015  2.66268E-007  1.71172E-009  6.92800E-009  6.47090E-013  1.49451E-014  1.71838E-019  6.23542E-013  2.60662E-011  4.16513E-011  3.90975E-031  2.18675E-035  1.00000E-040  3.33139E-031  2.06683E-012  9.70676E-026  9.89603E-018  1.20073E-014  1.84420E-021  5.27858E-020  1.99627E-031  8.01269E-032  1.93011E-032  2.68973E-038  4.40599E-030  5.23365E-034  1.35332E-031  9.36188E-021  3.38528E-015  1.45914E-031  4.20460E-031  4.03127E-022  2.41046E-014  1.09137E-015  2.76936E-015  2.92344E-022  1.28381E-010  1.00000E-040  2.75721E-018  1.06468E-036  2.93598E-022  6.12585E-022  1.53198E-014  1.80646E-020  1.69393E-010  6.18285E-020  4.94726E-022  8.42585E-013  5.00707E-014  3.94511E-036  3.82728E-037  4.24382E-020  1.00000E-040  7.02655E-021  3.19109E-011  2.37743E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.00271E-001  1.90286E+019  2.66549E+002  1.00000E+005  4.68932E-004  1.00000E-040  1.00000E-040  1.70933E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.74491E-021  1.00000E-040  1.00000E-040  3.71120E-018  4.97124E-007  2.06023E-003  1.32243E-013  3.49540E-014  2.11599E-004  2.54883E-008  2.82539E-004  2.10071E-019  1.01642E-010  1.00000E-040  2.11022E-040  1.05625E-026  6.61891E-017  7.92415E-007  4.03277E-021  3.54424E-021  1.20612E-032  2.99541E-032  2.59690E-035  2.90419E-013  9.45430E-018  3.79548E-015  2.69043E-011  9.32542E-034  3.57276E-039  2.73711E-010  5.13447E-032  4.68139E-011  3.48231E-023  9.97444E-001  1.79559E-019  2.39642E-013  1.60835E-010  1.58206E-038  2.25645E-037  3.60954E-024  1.22364E-019  8.20927E-014  2.20911E-013  1.72640E-011  8.96823E-015  2.63554E-007  1.73013E-009  8.54235E-009  6.81018E-013  1.88384E-014  1.19959E-019  3.78069E-013  2.90568E-011  4.01880E-011  3.93667E-031  2.66068E-035  1.00000E-040  4.10284E-031  1.59886E-012  9.71409E-026  9.93371E-018  1.20596E-014  1.98879E-021  4.88701E-020  2.00084E-031  3.90800E-032  1.93168E-032  1.54552E-038  5.34221E-030  8.02147E-034  1.42035E-031  9.43030E-021  3.67947E-015  2.02675E-031  5.56283E-031  6.09319E-022  3.07432E-014  1.45924E-015  3.06498E-015  2.41912E-022  1.21512E-010  1.00000E-040  5.38598E-018  1.27845E-036  4.32540E-022  5.09507E-022  1.53315E-014  1.44078E-020  1.39442E-010  5.59648E-020  7.69790E-022  6.63183E-013  5.01854E-014  2.96005E-036  3.81834E-037  4.73377E-020  1.00000E-040  4.83788E-021  3.13611E-011  2.35236E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.17319E-001  1.71572E+019  2.60603E+002  1.00000E+005  4.22625E-004  1.00000E-040  1.00000E-040  8.68276E-017  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.19206E-021  1.00000E-040  1.00000E-040  4.78065E-018  4.97420E-007  1.39308E-003  1.69189E-013  5.66292E-014  2.11730E-004  2.37738E-008  2.82732E-004  2.40169E-019  9.32424E-011  1.00000E-040  3.57693E-040  1.42615E-026  7.38943E-017  7.89907E-007  5.26073E-021  2.56934E-021  8.39261E-033  1.34428E-032  2.59863E-035  9.39913E-014  5.05924E-018  4.43796E-015  1.85106E-011  1.19922E-033  1.67606E-039  2.52930E-010  3.74353E-032  4.65642E-011  9.21349E-023  9.98111E-001  2.44329E-019  2.21464E-013  1.01842E-010  4.22528E-038  2.88426E-037  2.86496E-024  9.43872E-020  1.57450E-013  2.57174E-013  1.79089E-011  8.28839E-015  2.60565E-007  1.63916E-009  1.13696E-008  8.37272E-013  2.46050E-014  7.95771E-020  4.36908E-013  3.23886E-011  3.55335E-011  4.30305E-031  3.26814E-035  1.00000E-040  5.48124E-031  1.04498E-012  9.72040E-026  9.89405E-018  1.20982E-014  2.31006E-021  4.32969E-020  2.00663E-031  1.47341E-032  1.93319E-032  8.28680E-039  7.02937E-030  1.09743E-033  1.32253E-031  8.84859E-021  3.19839E-015  2.54119E-031  7.47778E-031  8.94534E-022  4.55255E-014  1.79948E-015  3.49960E-015  1.73497E-022  1.09769E-010  1.00000E-040  1.13213E-017  1.44690E-036  6.46020E-022  3.77993E-022  1.53418E-014  9.90755E-021  9.21438E-011  5.11859E-020  1.26407E-021  4.28674E-013  5.02558E-014  1.78416E-036  3.65539E-037  4.83002E-020  1.00000E-040  2.83969E-021  3.08562E-011  2.31297E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.42635E-001  1.54663E+019  2.54120E+002  1.00000E+005  3.38776E-004  1.00000E-040  1.00000E-040  4.33308E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.81847E-021  1.00000E-040  1.00000E-040  5.79854E-018  4.97661E-007  8.75209E-004  2.09189E-013  9.29106E-014  2.11829E-004  2.19918E-008  2.82883E-004  2.51286E-019  8.02443E-011  1.00000E-040  5.15940E-040  1.73134E-026  7.73494E-017  7.87724E-007  6.66216E-021  1.64773E-021  5.24677E-033  4.74131E-033  2.59997E-035  2.86935E-014  4.35364E-018  5.08090E-015  1.35224E-011  1.32786E-033  8.99153E-040  2.32531E-010  2.44203E-032  4.63397E-011  2.40968E-022  9.98628E-001  3.12424E-019  1.85168E-013  6.04812E-011  9.86787E-038  3.46254E-037  2.20115E-024  6.60157E-020  3.17258E-013  2.63171E-013  1.77432E-011  7.50657E-015  2.57303E-007  1.46559E-009  1.54630E-008  1.05765E-012  3.13596E-014  6.04041E-020  7.30132E-013  3.59843E-011  2.88027E-011  5.01089E-031  3.94145E-035  1.00000E-040  7.37581E-031  5.76525E-013  9.72517E-026  9.72883E-018  1.19414E-014  2.99309E-021  3.64464E-020  2.01394E-031  4.26243E-033  1.93463E-032  4.17658E-039  9.48545E-030  1.35980E-033  1.07311E-031  7.55868E-021  2.49435E-015  2.83482E-031  9.91417E-031  1.26338E-021  7.10362E-014  2.06317E-015  4.01752E-015  1.06696E-022  9.51916E-011  1.00000E-040  2.49878E-017  1.55607E-036  9.67441E-022  2.54050E-022  1.53498E-014  5.90165E-021  5.40263E-011  4.83588E-020  2.08815E-021  2.28860E-013  5.02967E-014  8.90704E-037  3.33467E-037  4.40498E-020  1.00000E-040  1.46268E-021  3.04041E-011  2.26188E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.75411E-001  1.39390E+019  2.47033E+002  1.00000E+005  2.47986E-004  1.00000E-040  1.00000E-040  1.74803E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.25661E-022  1.00000E-040  1.00000E-040  6.50636E-018  4.97844E-007  5.05782E-004  2.46727E-013  1.49163E-013  2.11896E-004  2.02207E-008  2.82992E-004  2.40089E-019  6.50758E-011  1.00000E-040  6.09229E-040  1.82716E-026  7.44783E-017  7.85857E-007  8.34485E-021  9.74280E-022  3.12021E-033  1.42827E-033  2.60092E-035  8.70281E-015  5.75423E-018  5.86266E-015  1.07919E-011  1.29212E-033  6.29228E-040  2.12924E-010  1.38319E-032  4.61430E-011  5.86243E-022  9.98998E-001  3.57720E-019  1.34859E-013  3.35705E-011  1.99278E-037  4.10996E-037  1.72081E-024  4.19216E-020  6.16733E-013  2.23626E-013  1.66394E-011  6.49665E-015  2.53799E-007  1.23086E-009  2.07725E-008  1.34076E-012  3.73347E-014  6.38076E-020  1.30167E-012  3.92727E-011  1.94373E-011  6.31970E-031  4.59851E-035  1.00000E-040  9.52360E-031  2.55638E-013  9.72841E-026  9.43112E-018  1.14703E-014  4.29457E-021  2.91875E-020  2.02326E-031  9.58952E-034  1.93616E-032  1.97749E-039  1.26754E-029  1.52733E-033  7.49359E-032  5.82330E-021  1.79097E-015  2.71403E-031  1.31825E-030  1.73038E-021  1.10652E-013  2.21263E-015  4.57248E-015  5.57581E-023  8.02581E-011  1.00000E-040  5.82020E-017  1.65571E-036  1.44813E-021  1.54833E-022  1.53555E-014  3.07897E-021  2.95396E-011  4.79988E-020  3.36741E-021  9.65097E-014  5.03202E-014  3.95402E-037  2.88869E-037  3.47037E-020  1.00000E-040  6.72008E-022  3.00096E-011  2.20598E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.14948E-001  1.25422E+019  2.39628E+002  1.00000E+005  1.60143E-004  1.00000E-040  1.00000E-040  1.48205E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.95768E-022  1.00000E-040  1.00000E-040  6.77749E-018  4.97967E-007  2.71794E-004  2.78068E-013  2.31942E-013  2.11934E-004  1.85486E-008  2.83061E-004  2.12480E-019  5.02862E-011  1.00000E-040  6.25005E-040  1.70229E-026  6.67662E-017  7.84264E-007  1.04662E-020  5.59270E-022  1.85388E-033  4.06030E-034  2.60152E-035  2.98488E-015  8.75689E-018  6.95060E-015  9.47175E-012  1.14489E-033  5.07735E-040  1.94506E-010  6.94204E-033  4.59738E-011  2.89323E-021  9.99232E-001  3.49969E-019  8.18383E-014  1.74007E-011  4.90681E-037  5.14451E-037  1.46034E-024  2.47315E-020  1.13034E-012  1.51336E-013  1.47528E-011  5.34404E-015  2.50103E-007  9.68316E-010  2.71294E-008  1.69734E-012  4.07140E-014  9.85403E-020  2.25096E-012  4.17820E-011  8.18024E-012  8.77297E-031  5.16788E-035  4.87971E-035  1.15528E-030  8.49861E-014  9.73026E-026  9.04817E-018  1.07089E-014  6.33028E-021  2.25743E-020  2.03512E-031  1.78436E-034  1.93804E-032  8.88567E-040  1.65009E-029  1.58914E-033  4.62858E-032  4.10216E-021  1.21165E-015  2.27003E-031  1.84939E-030  2.32633E-021  1.62796E-013  2.24695E-015  5.10993E-015  2.59654E-023  6.69536E-011  1.00000E-040  1.40346E-016  1.85601E-036  2.08181E-021  8.68174E-023  1.53591E-014  1.44933E-021  1.55538E-011  5.03691E-020  5.24227E-021  3.00594E-014  5.03333E-014  1.67833E-037  2.38293E-037  2.38429E-020  1.00000E-040  2.82658E-022  2.96713E-011  2.15429E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.60662E-001  1.12576E+019  2.32044E+002  1.00000E+005  9.28918E-005  1.00000E-040  1.00000E-040  1.58151E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.20642E-021  1.00000E-040  1.00000E-040  6.67112E-018  4.98041E-007  1.37147E-004  3.02738E-013  3.48528E-013  2.11950E-004  1.70499E-008  2.83103E-004  1.77676E-019  3.74439E-011  1.00000E-040  6.41490E-040  1.43814E-026  5.65884E-017  7.82891E-007  1.32166E-020  3.25485E-022  1.14056E-033  1.18562E-034  2.60186E-035  1.41890E-015  1.29998E-017  8.57751E-015  8.97705E-012  9.60653E-034  4.15010E-040  1.77667E-010  3.14025E-033  4.58294E-011  8.96692E-020  9.99366E-001  2.91285E-019  4.11656E-014  8.47934E-012  4.77065E-036  7.00469E-037  1.38603E-024  1.41915E-020  1.96080E-012  8.19884E-014  1.23880E-011  4.21502E-015  2.46290E-007  7.15464E-010  3.42588E-008  2.12411E-012  4.07693E-014  1.88814E-019  3.68502E-012  4.32174E-011  3.91795E-012  1.26669E-030  5.60966E-035  2.12020E-036  1.31773E-030  2.09449E-014  9.73108E-026  8.64746E-018  9.79943E-015  8.22410E-021  1.71972E-020  2.05009E-031  3.05283E-035  1.94062E-032  3.81686E-040  2.08040E-029  1.56790E-033  2.68018E-032  2.71767E-021  7.92415E-016  1.70509E-031  2.79838E-030  3.15121E-021  2.18360E-013  2.19381E-015  5.57878E-015  2.13451E-023  5.62233E-011  1.00000E-040  3.52160E-016  2.28034E-036  2.48308E-021  4.57595E-023  1.53613E-014  6.51958E-022  8.03624E-012  5.54269E-020  7.86008E-021  6.83673E-015  5.03402E-014  7.06190E-038  1.89436E-037  1.46314E-020  1.00000E-040  1.11737E-022  2.93834E-011  2.11423E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.12072E-001  1.00607E+019  2.24669E+002  9.61769E+004  4.70686E-005  1.00000E-040  1.00000E-040  1.06661E-009  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.41376E-040  7.65726E-020  1.00000E-040  1.00000E-040  6.53576E-018  4.98076E-007  6.76231E-005  3.27212E-013  5.11404E-013  2.11952E-004  1.57516E-008  2.83125E-004  1.46699E-019  2.75858E-011  1.00000E-040  8.17314E-040  1.19028E-026  4.74894E-017  7.81649E-007  1.68037E-020  1.96078E-022  7.32503E-034  3.68769E-035  2.60203E-035  9.49940E-016  1.77008E-017  1.09279E-014  8.89578E-012  8.14287E-034  3.35698E-040  1.62517E-010  1.36954E-033  4.57030E-011  1.14955E-018  9.99436E-001  2.20314E-019  1.83324E-014  3.94697E-012  1.07807E-034  1.01091E-036  1.42548E-024  8.33044E-021  3.19748E-012  3.86268E-014  1.00537E-011  3.27061E-015  2.42372E-007  5.05944E-010  4.19391E-008  2.58108E-012  3.88996E-014  3.87750E-019  5.62130E-012  4.37037E-011  2.71689E-012  1.74386E-030  6.03273E-035  1.00000E-040  1.44335E-030  4.12450E-015  9.73123E-026  8.27831E-018  8.92733E-015  8.08211E-021  1.32198E-020  2.06909E-031  5.69520E-036  1.94439E-032  1.60677E-040  2.54693E-029  1.53374E-033  1.57875E-032  1.76898E-021  5.24092E-016  1.24928E-031  4.41262E-030  4.38172E-021  2.60417E-013  2.12582E-015  5.91961E-015  7.65862E-023  4.79476E-011  1.00000E-040  9.01910E-016  3.03335E-036  2.02252E-021  2.39414E-023  1.53624E-014  2.99962E-022  4.24102E-012  6.33887E-020  1.14265E-020  1.21735E-015  5.03436E-014  2.69787E-038  1.48298E-037  8.62583E-021  1.00000E-040  4.41753E-023  2.91319E-011  2.08735E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
