alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.45060E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.30077E-023  1.00000E-040  1.00000E-040  1.10873E-021  4.95541E-007  5.79049E-003  4.36352E-014  3.68610E-017  2.10833E-001  3.74479E-008  2.81467E-004  1.08788E-022  1.51124E-010  1.00000E-040  1.00000E-040  2.08147E-033  3.35453E-020  8.00794E-007  1.70619E-028  2.68857E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.30323E-012  2.09912E-017  9.19436E-019  3.57325E-011  1.00000E-040  1.00000E-040  3.33995E-010  9.28919E-035  4.98246E-011  1.25166E-031  7.83094E-001  9.02043E-024  2.60129E-014  5.53878E-010  1.00000E-040  1.00000E-040  1.09669E-029  3.11757E-025  3.07717E-012  2.56646E-016  1.02389E-011  9.12418E-015  2.70565E-007  9.44341E-010  2.23034E-008  1.51723E-011  8.29597E-014  3.23971E-019  4.10453E-012  1.77002E-011  2.73057E-011  1.66074E-027  1.09183E-032  1.01781E-033  1.05312E-027  1.86342E-013  1.76296E-019  1.26380E-023  1.22343E-017  1.95706E-025  1.32945E-025  1.00000E-040  2.04759E-038  1.00000E-040  1.00000E-040  1.90824E-026  1.00000E-040  1.43681E-040  4.00694E-026  9.74375E-017  6.28125E-035  1.55339E-039  4.74548E-023  1.85469E-017  7.14285E-019  2.73149E-015  5.64037E-025  5.73514E-011  1.00000E-040  4.23085E-019  1.00000E-040  1.13131E-025  5.52409E-031  4.47624E-023  1.18743E-025  1.05886E-011  2.18465E-023  1.33417E-022  1.10693E-013  1.74560E-014  1.00000E-040  1.00000E-040  2.11097E-023  1.00000E-040  8.50737E-022  3.64452E-011  2.98106E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.57463E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.40056E-024  1.00000E-040  1.00000E-040  9.59872E-022  4.96349E-007  4.40214E-003  3.66125E-014  4.62505E-017  2.11127E-001  3.65251E-008  2.81863E-004  8.96646E-023  1.23225E-010  1.00000E-040  1.00000E-040  1.22760E-033  2.46582E-020  8.00384E-007  9.87779E-029  2.66239E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.70279E-012  9.63092E-018  5.90077E-019  7.39294E-011  1.00000E-040  1.00000E-040  3.34168E-010  4.60902E-035  4.97707E-011  1.53516E-031  7.84187E-001  1.03325E-023  7.03427E-014  5.29552E-010  1.00000E-040  1.00000E-040  1.05834E-029  3.10521E-025  2.87382E-013  4.79172E-016  1.14184E-011  6.76668E-015  2.70908E-007  1.10840E-009  2.39358E-008  3.05467E-012  5.36945E-014  2.08502E-019  2.30098E-012  2.51729E-011  2.96853E-011  9.62548E-028  1.07599E-032  1.00000E-040  7.83863E-028  5.19746E-013  1.76543E-019  1.27970E-023  1.16430E-017  2.09873E-025  1.05610E-025  1.00000E-040  1.99825E-038  1.00000E-040  1.00000E-040  1.96560E-026  1.00000E-040  1.12913E-040  2.27814E-026  3.97536E-016  3.45619E-035  1.95840E-039  5.05354E-023  1.28982E-017  7.39294E-019  3.75140E-015  3.63876E-025  5.83782E-011  1.00000E-040  5.72647E-019  1.00000E-040  1.11243E-025  5.27892E-031  4.48249E-023  1.03480E-025  1.05137E-010  3.93585E-023  1.80703E-022  2.47707E-013  1.75938E-014  1.00000E-040  1.00000E-040  1.08460E-023  1.00000E-040  8.27892E-022  3.62414E-011  2.98522E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21240E-004  1.00000E-040  1.00000E-040  7.97479E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.74080E-023  1.00000E-040  1.00000E-040  1.06094E-021  4.96769E-007  3.55681E-003  4.38190E-014  6.01317E-017  2.11307E-001  3.53438E-008  2.82104E-004  4.90283E-023  5.60073E-011  1.00000E-040  1.00000E-040  1.58644E-033  2.78463E-020  7.99743E-007  7.87172E-029  2.61992E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.62978E-012  6.19577E-018  4.94949E-019  5.71754E-011  1.00000E-040  1.00000E-040  3.34172E-010  3.76847E-035  4.97080E-011  2.89816E-031  7.84853E-001  1.36745E-023  1.02531E-013  5.08116E-010  1.00000E-040  1.00000E-040  9.99642E-030  2.98161E-025  2.94699E-014  7.19991E-016  1.00591E-011  6.16242E-015  2.71097E-007  1.11586E-009  2.56333E-008  7.92029E-013  2.60549E-014  1.61660E-019  1.20816E-012  2.67045E-011  3.19981E-011  5.90677E-028  1.13649E-032  1.00000E-040  7.45702E-028  8.23037E-013  1.76692E-019  1.31055E-023  1.06140E-017  2.55034E-025  8.64767E-026  1.00000E-040  1.92569E-038  1.00000E-040  1.00000E-040  2.05271E-026  1.00000E-040  1.24270E-040  1.84282E-026  1.69165E-015  4.24834E-035  2.47935E-039  7.24360E-023  1.14644E-017  3.25936E-019  4.37537E-015  2.75149E-025  5.95654E-011  1.00000E-040  9.34715E-019  1.00000E-040  1.47219E-025  4.93252E-031  4.48629E-023  8.63489E-026  4.11966E-010  3.72631E-023  2.39265E-022  3.83858E-013  1.77088E-014  1.00000E-040  1.00000E-040  1.00676E-023  1.00000E-040  7.91419E-022  3.60519E-011  2.98776E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.12940E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.00907E-024  1.00000E-040  1.00000E-040  1.17041E-021  4.97213E-007  2.69095E-003  4.97571E-014  7.86390E-017  2.11490E-001  3.41853E-008  2.82351E-004  3.07864E-023  3.02207E-011  1.00000E-040  1.00000E-040  1.78787E-033  2.89417E-020  7.99326E-007  5.78482E-029  2.56670E-026  1.92022E-040  1.74189E-039  1.00000E-040  1.47311E-012  3.76970E-018  4.14691E-019  4.40777E-011  1.00000E-040  1.00000E-040  3.34196E-010  2.71458E-035  4.96607E-011  4.72770E-031  7.85535E-001  1.57881E-023  1.09652E-013  4.89789E-010  1.00000E-040  1.00000E-040  9.28052E-030  2.84388E-025  1.23961E-014  9.71881E-016  9.46609E-012  5.34410E-015  2.71285E-007  1.03664E-009  2.78509E-008  4.15707E-013  1.93952E-014  1.05010E-019  6.54268E-013  2.68641E-011  3.00935E-011  4.48489E-028  1.18566E-032  1.00000E-040  7.23877E-028  8.69136E-013  1.76846E-019  1.35854E-023  9.57108E-018  3.20902E-025  7.40062E-026  1.00000E-040  1.83701E-038  1.00000E-040  1.00000E-040  2.19087E-026  1.00000E-040  1.28018E-040  1.82876E-026  3.29284E-015  4.50988E-035  1.01843E-037  1.00953E-022  1.02939E-017  2.29535E-019  5.13490E-015  2.18800E-025  6.03149E-011  1.00000E-040  1.56554E-018  1.00000E-040  1.89978E-025  4.51952E-031  4.49019E-023  7.73057E-026  6.08787E-010  3.35715E-023  3.14438E-022  4.26733E-013  1.77875E-014  1.00000E-040  1.00000E-040  8.75923E-024  1.00000E-040  7.44661E-022  3.58905E-011  2.99035E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.69294E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.54824E-024  1.00000E-040  1.00000E-040  1.26075E-021  4.97685E-007  1.88520E-003  5.31742E-014  1.03567E-016  2.11661E-001  3.31597E-008  2.82581E-004  2.92664E-023  2.54901E-011  1.00000E-040  1.00000E-040  1.72534E-033  2.75388E-020  7.99056E-007  4.00651E-029  2.50589E-026  1.49480E-036  1.62836E-035  1.00000E-040  8.40084E-013  2.19554E-018  3.50239E-019  3.41461E-011  1.00000E-040  1.00000E-040  3.34212E-010  1.71805E-035  4.96252E-011  6.79359E-031  7.86170E-001  1.64246E-023  1.08332E-013  4.74484E-010  1.00000E-040  1.00000E-040  8.51283E-030  2.72029E-025  1.24846E-014  1.26874E-015  9.24114E-012  4.23534E-015  2.71452E-007  9.53894E-010  3.07024E-008  3.83804E-013  1.92028E-014  6.34937E-020  4.08791E-013  2.76779E-011  2.62004E-011  3.75171E-028  1.20853E-032  1.00000E-040  6.88573E-028  7.95612E-013  1.76989E-019  1.42549E-023  8.62548E-018  4.04922E-025  6.52576E-026  1.00000E-040  1.73851E-038  1.00000E-040  1.00000E-040  2.38342E-026  1.00000E-040  1.23766E-040  1.86857E-026  3.62022E-015  4.06172E-035  3.89689E-039  1.34982E-022  9.41812E-018  2.71214E-019  6.28188E-015  1.71434E-025  6.03427E-011  1.00000E-040  2.65569E-018  1.00000E-040  2.37772E-025  4.07739E-031  4.49382E-023  7.30191E-026  6.32661E-010  2.87711E-023  4.12362E-022  4.09002E-013  1.78363E-014  1.00000E-040  1.00000E-040  6.56867E-024  1.00000E-040  6.90630E-022  3.57549E-011  2.99276E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.19861E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.58039E-024  1.00000E-040  1.00000E-040  1.34868E-021  4.98125E-007  1.24262E-003  5.52220E-014  1.37166E-016  2.11797E-001  3.22718E-008  2.82765E-004  3.60798E-023  2.82725E-011  1.00000E-040  1.00000E-040  1.52775E-033  2.48983E-020  7.98816E-007  2.75317E-029  2.43958E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.91479E-013  1.28179E-018  3.09488E-019  2.67039E-011  1.00000E-040  1.00000E-040  3.34181E-010  9.95371E-036  4.95952E-011  9.45517E-031  7.86676E-001  1.64835E-023  1.03607E-013  4.61817E-010  1.00000E-040  1.00000E-040  7.75344E-030  2.60927E-025  1.98714E-014  1.63072E-015  9.17445E-012  3.26851E-015  2.71568E-007  8.91420E-010  3.41969E-008  4.51635E-013  2.08650E-014  3.95326E-020  3.53419E-013  3.00038E-011  2.18817E-011  3.22737E-028  1.21339E-032  1.00000E-040  6.50987E-028  6.82100E-013  1.77103E-019  1.51369E-023  7.79035E-018  5.14977E-025  5.81814E-026  1.00000E-040  1.63528E-038  1.00000E-040  1.00000E-040  2.62819E-026  1.00000E-040  1.16105E-040  1.92208E-026  2.98116E-015  3.32932E-035  1.00000E-040  1.78245E-022  9.10162E-018  3.93967E-019  7.88001E-015  1.31490E-025  5.96560E-011  1.00000E-040  4.66107E-018  1.00000E-040  2.97372E-025  3.63379E-031  4.49671E-023  7.02930E-026  5.16682E-010  2.43097E-023  5.39407E-022  3.64130E-013  1.78645E-014  1.00000E-040  1.00000E-040  4.46993E-024  1.00000E-040  6.32406E-022  3.56391E-011  2.99468E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.61150E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.80836E-024  1.00000E-040  1.00000E-040  1.43478E-021  4.98502E-007  7.58509E-004  5.61691E-014  1.81274E-016  2.11900E-001  3.14869E-008  2.82903E-004  4.82665E-023  3.43241E-011  1.00000E-040  1.00000E-040  1.24268E-033  2.13012E-020  7.98572E-007  1.91369E-029  2.36946E-026  3.82514E-040  3.42717E-039  1.00000E-040  2.96223E-013  7.63221E-019  2.94253E-019  2.11464E-011  1.00000E-040  1.00000E-040  3.34101E-010  5.16906E-036  4.95687E-011  1.32243E-030  7.87057E-001  1.61931E-023  9.57083E-014  4.51367E-010  1.00000E-040  1.00000E-040  7.04301E-030  2.50638E-025  4.45286E-014  2.05844E-015  9.18264E-012  2.49851E-015  2.71633E-007  8.38749E-010  3.83102E-008  5.96454E-013  2.30277E-014  2.79853E-020  4.59124E-013  3.39597E-011  1.70496E-011  2.82148E-028  1.20935E-032  1.00000E-040  6.14870E-028  5.50508E-013  1.77188E-019  1.62573E-023  7.05709E-018  6.65739E-025  5.18704E-026  1.00000E-040  1.53115E-038  1.00000E-040  1.00000E-040  2.92092E-026  1.00000E-040  1.06167E-040  1.99414E-026  2.05053E-015  2.47688E-035  1.06694E-036  2.37861E-022  9.59935E-018  6.24226E-019  9.98326E-015  9.81146E-026  5.83879E-011  1.00000E-040  8.80060E-018  1.00000E-040  3.78505E-025  3.19385E-031  4.49889E-023  6.80052E-026  3.23702E-010  2.05265E-023  7.01668E-022  3.04801E-013  1.78800E-014  1.00000E-040  1.00000E-040  2.77003E-024  1.00000E-040  5.72887E-022  3.55391E-011  2.99613E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.87854E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.42510E-024  1.00000E-040  1.00000E-040  1.53193E-021  4.98774E-007  4.32073E-004  5.70252E-014  2.39137E-016  2.11969E-001  3.07469E-008  2.82997E-004  6.03508E-023  3.89317E-011  1.00000E-040  1.00000E-040  9.73517E-034  1.77199E-020  7.98286E-007  1.37891E-029  2.29673E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.84065E-013  4.73703E-019  3.03982E-019  1.69896E-011  1.00000E-040  1.00000E-040  3.33964E-010  2.48839E-036  4.95436E-011  1.88943E-030  7.87314E-001  1.56420E-023  8.39925E-014  4.42691E-010  1.00000E-040  1.00000E-040  6.40840E-030  2.41159E-025  1.39886E-013  2.53391E-015  9.10641E-012  1.90881E-015  2.71647E-007  7.75344E-010  4.29931E-008  8.22114E-013  2.38974E-014  2.67228E-020  7.60261E-013  3.96767E-011  1.14853E-011  2.58314E-028  1.21288E-032  1.00000E-040  5.85565E-028  4.04543E-013  1.77246E-019  1.76425E-023  6.41421E-018  8.76184E-025  4.64512E-026  1.00000E-040  1.42894E-038  1.00000E-040  1.00000E-040  3.25606E-026  1.00000E-040  1.00000E-040  2.13359E-026  1.26267E-015  1.75680E-035  5.60146E-036  3.25896E-022  1.11379E-017  9.48899E-019  1.25256E-014  7.18638E-026  5.67153E-011  1.00000E-040  1.79095E-017  1.00000E-040  4.96243E-025  2.72175E-031  4.50036E-023  6.59333E-026  1.36024E-010  1.76576E-023  9.06957E-022  2.34112E-013  1.78881E-014  1.00000E-040  1.00000E-040  1.62782E-024  1.00000E-040  5.14652E-022  3.54503E-011  2.99705E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  9.98049E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.25915E-024  1.00000E-040  1.00000E-040  1.61392E-021  4.98919E-007  2.32844E-004  5.97579E-014  3.15230E-016  2.12011E-001  2.99978E-008  2.83055E-004  5.41607E-023  3.13351E-011  1.00000E-040  1.00000E-040  7.92049E-034  1.49302E-020  7.97950E-007  1.06823E-029  2.22246E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.18037E-013  3.16932E-019  3.49224E-019  1.38818E-011  1.00000E-040  1.00000E-040  3.33777E-010  1.16359E-036  4.95192E-011  2.83914E-030  7.87471E-001  1.48939E-023  6.64390E-014  4.35404E-010  1.00000E-040  1.00000E-040  5.86540E-030  2.32595E-025  4.90376E-013  3.01125E-015  8.22274E-012  1.48711E-015  2.71618E-007  6.74767E-010  4.82003E-008  1.05901E-012  2.05359E-014  3.53293E-020  1.32409E-012  4.72087E-011  4.66400E-012  2.60980E-028  1.25347E-032  1.00000E-040  5.74658E-028  2.53069E-013  1.77281E-019  1.93212E-023  5.85341E-018  1.16418E-024  4.24820E-026  1.00000E-040  1.33086E-038  1.00000E-040  1.00000E-040  3.62834E-026  1.00000E-040  1.00000E-040  2.43191E-026  7.58058E-016  1.28323E-035  1.00000E-040  4.73074E-022  1.45318E-017  9.59741E-019  1.52572E-014  5.17625E-026  5.48341E-011  1.00000E-040  4.00269E-017  1.00000E-040  6.86844E-025  2.07005E-031  4.50125E-023  6.42218E-026  3.33184E-011  1.60170E-023  1.16496E-021  1.58133E-013  1.78919E-014  1.00000E-040  1.00000E-040  9.70638E-025  1.00000E-040  4.59877E-022  3.53697E-011  2.99756E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.29715E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.39023E-024  1.00000E-040  1.00000E-040  1.69495E-021  4.98954E-007  1.23338E-004  6.42884E-014  4.18918E-016  2.12034E-001  2.92413E-008  2.83087E-004  3.45971E-023  1.77818E-011  1.00000E-040  1.00000E-040  6.76337E-034  1.28936E-020  7.97560E-007  8.94633E-030  2.14613E-026  1.00000E-040  1.00000E-040  1.00000E-040  7.86370E-014  2.26942E-019  4.34739E-019  1.15633E-011  1.00000E-040  1.00000E-040  3.33539E-010  5.45491E-037  4.94949E-011  4.35927E-030  7.87557E-001  1.39071E-023  4.67294E-014  4.29116E-010  1.00000E-040  1.00000E-040  5.41807E-030  2.26488E-025  1.16495E-012  3.43255E-015  6.80277E-012  1.18004E-015  2.71552E-007  5.54609E-010  5.40858E-008  1.34040E-012  1.60430E-014  5.57349E-020  2.17561E-012  5.70593E-011  1.82856E-012  2.91545E-028  1.32347E-032  1.00000E-040  5.76599E-028  1.34195E-013  1.77301E-019  2.13695E-023  5.38123E-018  1.52089E-024  4.00105E-026  1.00000E-040  1.23707E-038  1.00000E-040  1.00000E-040  4.04852E-026  1.00000E-040  1.00000E-040  2.89258E-026  4.63558E-016  9.80287E-036  1.53079E-035  7.13955E-022  2.06760E-017  6.28903E-019  1.81436E-014  3.74162E-026  5.29057E-011  1.00000E-040  9.35995E-017  1.00000E-040  9.72490E-025  7.36297E-032  4.50174E-023  6.33566E-026  7.71708E-012  1.52178E-023  1.49508E-021  9.38356E-014  1.78933E-014  1.00000E-040  1.00000E-040  5.97838E-025  1.00000E-040  4.09449E-022  3.52935E-011  2.99790E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
