alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.46294E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.29436E-023  1.00000E-040  1.00000E-040  1.10133E-021  4.95541E-007  5.79049E-003  4.35150E-014  3.76275E-017  2.10833E-001  3.74225E-008  2.81467E-004  1.06032E-022  1.47752E-010  1.00000E-040  1.00000E-040  2.07006E-033  3.34529E-020  8.00794E-007  1.71830E-028  2.76113E-026  5.09455E-037  5.05655E-036  1.00000E-040  8.32881E-012  2.13375E-017  9.19698E-019  3.58142E-011  1.00000E-040  1.00000E-040  3.33995E-010  9.26397E-035  4.98286E-011  1.23920E-031  7.83094E-001  8.95926E-024  2.54910E-014  5.53997E-010  1.00000E-040  1.00000E-040  1.02991E-029  2.92911E-025  3.21065E-012  2.59359E-016  1.00347E-011  9.10043E-015  2.70565E-007  9.18492E-010  2.19414E-008  1.52400E-011  7.95359E-014  3.23502E-019  4.29840E-012  1.76511E-011  2.72658E-011  2.62833E-027  1.70296E-032  1.00000E-040  1.61113E-027  1.80667E-013  2.70045E-019  1.18853E-023  1.21130E-017  1.94731E-025  1.27075E-025  1.00000E-040  1.89433E-038  1.00000E-040  1.00000E-040  2.94472E-026  1.00000E-040  1.35197E-040  3.79209E-026  9.62394E-017  6.24683E-035  1.48887E-039  4.65581E-023  1.85518E-017  6.96958E-019  2.66948E-015  5.61215E-025  5.64231E-011  1.00000E-040  4.21953E-019  1.00000E-040  1.12743E-025  5.18584E-031  4.21211E-023  1.13695E-025  9.90222E-012  2.18361E-023  1.29670E-022  1.07527E-013  1.71798E-014  1.00000E-040  1.00000E-040  2.05123E-023  1.00000E-040  8.36743E-022  3.64522E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.58911E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.36839E-024  1.00000E-040  1.00000E-040  9.50529E-022  4.96359E-007  4.40214E-003  3.63105E-014  4.71849E-017  2.11127E-001  3.65116E-008  2.81863E-004  8.79753E-023  1.21322E-010  1.00000E-040  1.00000E-040  1.20741E-033  2.44550E-020  8.00392E-007  9.97210E-029  2.73495E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.73022E-012  9.77592E-018  5.88555E-019  7.40936E-011  1.00000E-040  1.00000E-040  3.34170E-010  4.57098E-035  4.97751E-011  1.49987E-031  7.84187E-001  1.01781E-023  6.86075E-014  5.29776E-010  1.00000E-040  1.00000E-040  9.93244E-030  2.91555E-025  3.31310E-013  4.85488E-016  1.12907E-011  6.69267E-015  2.70909E-007  1.08558E-009  2.35173E-008  3.11270E-012  5.20900E-014  2.07845E-019  2.43300E-012  2.50619E-011  2.95950E-011  1.52961E-027  1.67148E-032  1.00000E-040  1.18546E-027  5.04220E-013  2.70422E-019  1.20241E-023  1.15431E-017  2.08382E-025  1.00335E-025  1.00000E-040  1.84815E-038  1.00000E-040  1.00000E-040  3.02178E-026  1.00000E-040  1.05142E-040  2.16338E-026  3.83549E-016  3.39936E-035  1.87448E-039  4.93122E-023  1.28646E-017  7.28371E-019  3.68716E-015  3.62262E-025  5.74388E-011  1.00000E-040  5.67974E-019  1.00000E-040  1.10285E-025  4.95401E-031  4.21799E-023  9.87203E-026  8.98625E-011  3.91206E-023  1.76160E-022  2.41217E-013  1.73156E-014  1.00000E-040  1.00000E-040  1.03901E-023  1.00000E-040  8.14105E-022  3.62492E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21240E-004  1.00000E-040  1.00000E-040  7.99004E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.73295E-023  1.00000E-040  1.00000E-040  1.05136E-021  4.96792E-007  3.55681E-003  4.32587E-014  6.12674E-017  2.11307E-001  3.53470E-008  2.82104E-004  4.98273E-023  5.71113E-011  1.00000E-040  1.00000E-040  1.54628E-033  2.74906E-020  7.99756E-007  7.98462E-029  2.69248E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.65447E-012  6.29370E-018  4.93050E-019  5.73871E-011  1.00000E-040  1.00000E-040  3.34176E-010  3.72067E-035  4.97127E-011  2.81083E-031  7.84853E-001  1.34307E-023  1.01361E-013  5.08412E-010  1.00000E-040  1.00000E-040  9.37654E-030  2.79751E-025  3.39202E-014  7.31126E-016  1.00493E-011  6.03738E-015  2.71098E-007  1.10089E-009  2.51358E-008  8.21262E-013  2.60245E-014  1.61003E-019  1.28477E-012  2.65247E-011  3.18771E-011  9.29856E-028  1.75763E-032  1.00000E-040  1.11469E-027  8.12071E-013  2.70652E-019  1.22966E-023  1.05431E-017  2.52807E-025  8.15332E-026  1.00000E-040  1.78045E-038  1.00000E-040  1.00000E-040  3.14224E-026  1.00000E-040  1.15106E-040  1.72934E-026  1.61106E-015  4.14079E-035  2.38869E-039  7.03792E-023  1.14200E-017  3.40965E-019  4.32127E-015  2.73882E-025  5.86238E-011  1.00000E-040  9.22850E-019  1.00000E-040  1.45352E-025  4.62563E-031  4.22157E-023  8.20558E-026  3.75078E-010  3.69229E-023  2.33738E-022  3.78369E-013  1.74297E-014  1.00000E-040  1.00000E-040  9.54885E-024  1.00000E-040  7.78067E-022  3.60601E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.13347E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.98658E-024  1.00000E-040  1.00000E-040  1.16315E-021  4.97243E-007  2.69095E-003  4.92886E-014  7.99750E-017  2.11490E-001  3.41954E-008  2.82351E-004  3.17312E-023  3.11362E-011  1.00000E-040  1.00000E-040  1.75440E-033  2.86697E-020  7.99341E-007  5.93860E-029  2.63929E-026  1.00000E-040  1.73785E-040  1.00000E-040  1.49068E-012  3.86058E-018  4.15410E-019  4.42852E-011  1.00000E-040  1.00000E-040  3.34202E-010  2.68931E-035  4.96654E-011  4.62041E-031  7.85535E-001  1.55735E-023  1.08913E-013  4.90098E-010  1.00000E-040  1.00000E-040  8.69851E-030  2.66332E-025  1.41109E-014  9.86563E-016  9.45389E-012  5.23019E-015  2.71287E-007  1.02474E-009  2.72406E-008  4.29485E-013  1.92564E-014  1.04641E-019  6.99224E-013  2.65540E-011  2.99914E-011  7.00240E-028  1.83207E-032  1.00000E-040  1.07663E-027  8.63488E-013  2.70887E-019  1.27214E-023  9.51710E-018  3.18620E-025  6.92673E-026  1.00000E-040  1.69794E-038  1.00000E-040  1.00000E-040  3.33825E-026  1.00000E-040  1.18761E-040  1.70947E-026  3.16236E-015  4.42546E-035  4.16615E-037  9.84593E-023  1.03113E-017  2.40165E-019  5.06766E-015  2.18077E-025  5.93839E-011  1.00000E-040  1.55094E-018  1.00000E-040  1.88248E-025  4.23432E-031  4.22524E-023  7.29552E-026  5.62279E-010  3.34119E-023  3.07579E-022  4.23477E-013  1.75079E-014  1.00000E-040  1.00000E-040  8.33761E-024  1.00000E-040  7.31937E-022  3.58986E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.70956E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.54361E-024  1.00000E-040  1.00000E-040  1.25671E-021  4.97719E-007  1.88520E-003  5.28551E-014  1.05114E-016  2.11661E-001  3.31680E-008  2.82581E-004  3.01132E-023  2.61169E-011  1.00000E-040  1.00000E-040  1.70468E-033  2.73739E-020  7.99069E-007  4.15753E-029  2.57856E-026  1.55290E-037  1.67484E-036  1.00000E-040  8.51307E-013  2.26444E-018  3.52379E-019  3.43222E-011  1.00000E-040  1.00000E-040  3.34219E-010  1.70790E-035  4.96296E-011  6.69553E-031  7.86170E-001  1.62826E-023  1.07852E-013  4.74761E-010  1.00000E-040  1.00000E-040  7.97069E-030  2.54145E-025  1.41121E-014  1.28587E-015  9.23330E-012  4.15054E-015  2.71454E-007  9.42544E-010  2.99476E-008  3.92530E-013  1.88890E-014  6.33483E-020  4.39288E-013  2.71934E-011  2.61328E-011  5.83703E-028  1.86895E-032  1.00000E-040  1.01984E-027  7.92330E-013  2.71106E-019  1.33143E-023  8.58179E-018  4.03128E-025  6.07051E-026  1.00000E-040  1.60642E-038  1.00000E-040  1.00000E-040  3.61497E-026  1.00000E-040  1.14952E-040  1.74333E-026  3.51423E-015  4.01308E-035  3.64150E-039  1.32136E-022  9.47498E-018  2.81484E-019  6.18589E-015  1.71195E-025  5.94267E-011  1.00000E-040  2.63999E-018  1.00000E-040  2.36406E-025  3.81305E-031  4.22865E-023  6.85280E-026  5.84289E-010  2.87459E-023  4.03772E-022  4.07003E-013  1.75564E-014  1.00000E-040  1.00000E-040  6.28039E-024  1.00000E-040  6.78669E-022  3.57624E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.20664E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.58227E-024  1.00000E-040  1.00000E-040  1.34846E-021  4.98158E-007  1.24262E-003  5.50744E-014  1.38935E-016  2.11797E-001  3.22710E-008  2.82765E-004  3.68893E-023  2.86761E-011  1.00000E-040  1.00000E-040  1.51955E-033  2.48319E-020  7.98825E-007  2.88379E-029  2.51246E-026  3.55658E-036  3.88842E-035  1.00000E-040  4.98220E-013  1.32971E-018  3.12346E-019  2.68390E-011  1.00000E-040  1.00000E-040  3.34190E-010  9.92789E-036  4.95992E-011  9.39127E-031  7.86676E-001  1.64135E-023  1.03301E-013  4.62036E-010  1.00000E-040  1.00000E-040  7.25034E-030  2.43107E-025  2.25144E-014  1.64928E-015  9.17406E-012  3.20651E-015  2.71571E-007  8.78867E-010  3.32651E-008  4.57979E-013  2.03413E-014  3.95195E-020  3.81935E-013  2.92947E-011  2.18455E-011  5.01787E-028  1.87919E-032  1.00000E-040  9.60425E-028  6.79264E-013  2.71280E-019  1.40964E-023  7.75267E-018  5.14124E-025  5.38525E-026  1.00000E-040  1.51064E-038  1.00000E-040  1.00000E-040  3.96865E-026  1.00000E-040  1.07887E-040  1.79027E-026  2.92065E-015  3.31144E-035  1.00000E-040  1.75073E-022  9.18469E-018  4.06154E-019  7.74028E-015  1.31574E-025  5.87516E-011  1.00000E-040  4.64899E-018  1.00000E-040  2.96569E-025  3.38144E-031  4.23137E-023  6.56816E-026  4.72475E-010  2.43673E-023  5.28639E-022  3.62399E-013  1.75843E-014  1.00000E-040  1.00000E-040  4.29331E-024  1.00000E-040  6.21296E-022  3.56456E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.61459E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.81242E-024  1.00000E-040  1.00000E-040  1.43783E-021  4.98532E-007  7.58509E-004  5.62000E-014  1.83255E-016  2.11900E-001  3.14706E-008  2.82903E-004  4.88544E-023  3.43386E-011  1.00000E-040  1.00000E-040  1.24398E-033  2.13128E-020  7.98577E-007  2.02074E-029  2.44265E-026  1.00000E-040  6.75789E-040  1.00000E-040  3.00094E-013  7.95453E-019  2.97579E-019  2.12408E-011  1.00000E-040  1.00000E-040  3.34111E-010  5.17224E-036  4.95723E-011  1.32231E-030  7.87057E-001  1.61807E-023  9.54466E-014  4.51511E-010  1.00000E-040  1.00000E-040  6.57592E-030  2.32832E-025  5.11101E-014  2.07692E-015  9.18089E-012  2.45257E-015  2.71637E-007  8.23107E-010  3.71670E-008  6.00591E-013  2.22061E-014  2.80592E-020  4.97457E-013  3.29680E-011  1.70365E-011  4.39447E-028  1.87619E-032  1.00000E-040  9.03887E-028  5.46683E-013  2.71412E-019  1.50918E-023  7.02208E-018  6.66341E-025  4.77969E-026  1.00000E-040  1.41412E-038  1.00000E-040  1.00000E-040  4.39224E-026  1.00000E-040  1.00000E-040  1.85538E-026  2.02196E-015  2.47946E-035  3.80895E-036  2.34325E-022  9.70632E-018  6.38029E-019  9.78166E-015  9.83279E-026  5.74884E-011  1.00000E-040  8.80610E-018  1.00000E-040  3.78510E-025  2.92254E-031  4.23342E-023  6.32887E-026  2.89195E-010  2.06295E-023  6.88232E-022  3.02541E-013  1.75997E-014  1.00000E-040  1.00000E-040  2.67247E-024  1.00000E-040  5.62673E-022  3.55445E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.88787E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.42835E-024  1.00000E-040  1.00000E-040  1.53448E-021  4.98799E-007  4.32073E-004  5.72790E-014  2.41292E-016  2.11969E-001  3.07100E-008  2.82997E-004  5.95509E-023  3.78279E-011  1.00000E-040  1.00000E-040  9.82111E-034  1.77983E-020  7.98286E-007  1.46744E-029  2.37050E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.86177E-013  4.95960E-019  3.08046E-019  1.70481E-011  1.00000E-040  1.00000E-040  3.33976E-010  2.49958E-036  4.95466E-011  1.90060E-030  7.87314E-001  1.56635E-023  8.34623E-014  4.42754E-010  1.00000E-040  1.00000E-040  5.97280E-030  2.23314E-025  1.62584E-013  2.54965E-015  9.05068E-012  1.87539E-015  2.71652E-007  7.54298E-010  4.16017E-008  8.18034E-013  2.25858E-014  2.69023E-020  8.22495E-013  3.83349E-011  1.14856E-011  4.04535E-028  1.88609E-032  1.00000E-040  8.58456E-028  3.98450E-013  2.71500E-019  1.63252E-023  6.37917E-018  8.78992E-025  4.26303E-026  1.00000E-040  1.31949E-038  1.00000E-040  1.00000E-040  4.87673E-026  1.00000E-040  1.00000E-040  1.98716E-026  1.25116E-015  1.77231E-035  1.15998E-036  3.22150E-022  1.12839E-017  9.41914E-019  1.22406E-014  7.20242E-026  5.58150E-011  1.00000E-040  1.79904E-017  1.00000E-040  4.97825E-025  2.33128E-031  4.23480E-023  6.11150E-026  1.16345E-010  1.77972E-023  8.90276E-022  2.30761E-013  1.76076E-014  1.00000E-040  1.00000E-040  1.57954E-024  1.00000E-040  5.05348E-022  3.54545E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  9.99959E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.25756E-024  1.00000E-040  1.00000E-040  1.61126E-021  4.98937E-007  2.32844E-004  6.02356E-014  3.17501E-016  2.12011E-001  2.99404E-008  2.83055E-004  5.11387E-023  2.90372E-011  1.00000E-040  1.00000E-040  8.04666E-034  1.50489E-020  7.97945E-007  1.14414E-029  2.29714E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.19131E-013  3.33090E-019  3.54418E-019  1.39119E-011  1.00000E-040  1.00000E-040  3.33790E-010  1.17293E-036  4.95216E-011  2.86499E-030  7.87471E-001  1.49109E-023  6.54575E-014  4.35388E-010  1.00000E-040  1.00000E-040  5.45590E-030  2.14671E-025  5.45961E-013  3.02035E-015  8.06647E-012  1.46183E-015  2.71624E-007  6.48785E-010  4.65250E-008  1.03810E-012  1.89801E-014  3.56811E-020  1.42412E-012  4.54599E-011  4.66639E-012  4.11919E-028  1.95283E-032  1.00000E-040  8.40124E-028  2.45935E-013  2.71554E-019  1.78229E-023  5.81784E-018  1.16986E-024  3.88367E-026  1.00000E-040  1.22877E-038  1.00000E-040  1.00000E-040  5.41413E-026  1.00000E-040  1.00000E-040  2.26861E-026  7.54017E-016  1.30367E-035  1.00000E-040  4.69008E-022  1.47418E-017  8.99371E-019  1.48820E-014  5.18230E-026  5.39317E-011  1.75330E-036  4.03482E-017  1.00000E-040  6.90868E-025  1.24567E-031  4.23564E-023  5.93066E-026  2.80548E-011  1.61801E-023  1.14440E-021  1.54192E-013  1.76113E-014  1.00000E-040  1.00000E-040  9.46925E-025  1.00000E-040  4.51469E-022  3.53726E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.30454E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.01275E-024  1.00000E-040  1.00000E-040  1.69543E-021  4.98972E-007  1.23338E-004  6.47407E-014  4.21266E-016  2.12034E-001  2.91711E-008  2.83087E-004  3.28586E-023  1.65439E-011  1.00000E-040  1.00000E-040  6.85826E-034  1.29835E-020  7.97551E-007  9.54261E-030  2.22222E-026  1.00000E-040  1.00000E-040  1.00000E-040  7.91935E-014  2.38369E-019  4.40072E-019  1.15732E-011  1.00000E-040  1.00000E-040  3.33555E-010  5.49346E-037  4.94968E-011  4.38621E-030  7.87557E-001  1.38961E-023  4.57682E-014  4.29028E-010  1.00000E-040  1.00000E-040  5.02892E-030  2.08421E-025  1.24330E-012  3.43165E-015  6.68618E-012  1.15708E-015  2.71559E-007  5.29349E-010  5.20883E-008  1.31826E-012  1.48005E-014  5.61745E-020  2.32290E-012  5.48588E-011  1.83169E-012  4.62328E-028  2.05876E-032  1.00000E-040  8.37960E-028  1.29049E-013  2.71584E-019  1.96542E-023  5.34704E-018  1.52925E-024  3.64063E-026  1.00000E-040  1.14213E-038  1.00000E-040  1.00000E-040  6.02079E-026  1.00000E-040  1.00000E-040  2.69051E-026  4.60022E-016  9.94041E-036  1.00000E-040  7.06725E-022  2.09151E-017  6.01308E-019  1.76968E-014  3.75001E-026  5.20040E-011  1.00000E-040  9.42680E-017  1.00000E-040  9.76656E-025  1.00000E-040  4.23611E-023  5.83295E-026  6.91437E-012  1.53381E-023  1.46992E-021  9.05972E-014  1.76127E-014  1.00000E-040  1.00000E-040  5.81974E-025  1.00000E-040  4.01916E-022  3.52951E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
