alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.42185E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.47520E-023  1.00000E-040  1.00000E-040  1.31538E-021  4.95541E-007  5.79049E-003  5.16834E-014  4.22188E-017  2.10833E-001  3.69431E-008  2.81467E-004  1.34418E-022  1.55440E-010  1.00000E-040  1.00000E-040  2.92128E-033  3.97326E-020  8.00794E-007  2.26968E-028  3.28064E-026  9.95569E-039  9.82755E-038  1.16475E-038  7.36678E-012  2.26284E-017  9.67840E-019  3.39931E-011  1.00000E-040  1.00000E-040  3.33995E-010  1.09706E-034  4.96709E-011  1.82490E-031  7.83094E-001  1.11745E-023  3.33953E-014  5.49983E-010  1.00000E-040  1.00000E-040  1.01322E-029  2.84769E-025  2.98396E-012  3.31343E-016  1.15727E-011  8.97962E-015  2.70565E-007  1.02580E-009  2.18128E-008  1.29598E-011  6.95370E-014  3.35591E-019  4.11425E-012  1.75719E-011  2.82554E-011  2.47183E-027  1.94933E-032  5.56062E-033  1.50531E-027  2.12206E-013  2.68287E-019  1.14906E-023  1.25598E-017  2.24614E-025  1.31898E-025  1.00000E-040  2.01736E-038  1.00000E-040  1.00000E-040  2.76948E-026  1.00000E-040  1.55197E-040  3.56497E-026  1.31461E-016  8.81554E-035  1.64394E-039  5.84086E-023  1.95224E-017  8.93399E-019  2.75190E-015  6.41665E-025  5.95973E-011  1.00000E-040  4.99573E-019  1.00000E-040  1.32191E-025  5.11307E-031  4.25247E-023  1.19082E-025  1.36573E-011  2.46163E-023  1.62589E-022  1.22645E-013  1.97943E-014  1.82287E-034  1.00000E-040  2.50375E-023  1.00000E-040  8.99629E-022  3.61509E-011  4.11835E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34985E-004  1.00000E-040  1.00000E-040  7.54087E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.12072E-024  1.00000E-040  1.00000E-040  1.10950E-021  4.96345E-007  4.40214E-003  4.29938E-014  5.23937E-017  2.11127E-001  3.59382E-008  2.81863E-004  1.01206E-022  1.17842E-010  1.00000E-040  1.00000E-040  1.69116E-033  2.89489E-020  8.00191E-007  1.20913E-028  3.24559E-026  5.82509E-039  6.09226E-038  1.16637E-038  3.97779E-012  9.88178E-018  5.88495E-019  7.07607E-011  1.00000E-040  1.00000E-040  3.34140E-010  5.39478E-035  4.96023E-011  2.21663E-031  7.84187E-001  1.27583E-023  8.45609E-014  5.23030E-010  1.00000E-040  1.00000E-040  9.73416E-030  2.81745E-025  1.96158E-013  5.69231E-016  1.22572E-011  6.71382E-015  2.70908E-007  1.16234E-009  2.32735E-008  2.48819E-012  4.51359E-014  2.20062E-019  2.15338E-012  2.41046E-011  3.12525E-011  1.40105E-027  1.88917E-032  2.37813E-035  1.13372E-027  6.07709E-013  2.68662E-019  1.15996E-023  1.18539E-017  2.37486E-025  1.00491E-025  1.00000E-040  1.96409E-038  1.00000E-040  1.00000E-040  2.87653E-026  1.00000E-040  1.20306E-040  2.02064E-026  5.71084E-016  4.76129E-035  2.04112E-039  6.17969E-023  1.28628E-017  8.15793E-019  3.74849E-015  4.00652E-025  6.07918E-011  1.00000E-040  6.70181E-019  1.00000E-040  1.28500E-025  4.86172E-031  4.25840E-023  9.85740E-026  1.69831E-010  4.42375E-023  2.11367E-022  2.83628E-013  1.99442E-014  4.00263E-034  1.00000E-040  1.26157E-023  1.00000E-040  8.72834E-022  3.59192E-011  4.12410E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21241E-004  1.00000E-040  1.00000E-040  7.93924E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.88660E-023  1.00000E-040  1.00000E-040  1.20081E-021  4.96752E-007  3.55681E-003  5.08305E-014  6.75317E-017  2.11307E-001  3.46597E-008  2.82104E-004  5.02942E-023  4.95616E-011  1.00000E-040  1.00000E-040  2.13369E-033  3.22880E-020  7.99399E-007  8.94040E-029  3.19080E-026  1.95023E-038  2.05925E-037  1.16736E-038  2.12687E-012  6.05327E-018  4.68461E-019  5.34334E-011  1.00000E-040  1.00000E-040  3.34122E-010  4.35406E-035  4.95279E-011  4.04269E-031  7.84853E-001  1.64789E-023  1.11923E-013  4.99589E-010  1.00000E-040  1.00000E-040  9.13701E-030  2.68591E-025  2.24571E-014  8.18659E-016  1.05358E-011  6.24138E-015  2.71096E-007  1.13029E-009  2.48324E-008  6.63043E-013  2.26583E-014  1.70311E-019  1.07338E-012  2.53153E-011  3.36559E-011  9.07951E-028  1.98233E-032  2.52427E-037  1.09781E-027  8.68980E-013  2.68890E-019  1.18345E-023  1.07271E-017  2.85486E-025  7.94689E-026  1.00000E-040  1.88657E-038  1.00000E-040  1.00000E-040  3.02465E-026  1.00000E-040  1.29857E-040  1.72501E-026  2.28108E-015  5.71380E-035  2.61015E-039  8.75231E-023  1.08499E-017  3.27665E-019  4.29975E-015  2.99283E-025  6.20442E-011  1.00000E-040  1.08035E-018  1.00000E-040  1.67395E-025  4.51380E-031  4.26202E-023  7.89653E-026  5.39576E-010  4.03966E-023  2.71864E-022  4.08762E-013  2.00640E-014  1.26812E-033  1.00000E-040  1.16496E-023  1.00000E-040  8.30778E-022  3.57072E-011  4.12760E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.11990E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.51252E-024  1.00000E-040  1.00000E-040  1.30098E-021  4.97203E-007  2.69095E-003  5.64019E-014  8.78900E-017  2.11490E-001  3.34446E-008  2.82352E-004  3.24724E-023  2.80495E-011  1.00000E-040  1.00000E-040  2.29632E-033  3.27880E-020  7.98873E-007  6.11435E-029  3.12392E-026  6.19407E-038  6.61701E-037  1.16837E-038  1.14628E-012  3.49248E-018  3.72105E-019  4.03309E-011  1.00000E-040  1.00000E-040  3.34128E-010  3.06442E-035  4.94716E-011  6.23123E-031  7.85535E-001  1.83762E-023  1.16289E-013  4.79813E-010  1.00000E-040  1.00000E-040  8.42399E-030  2.55044E-025  1.08287E-014  1.08717E-015  9.91604E-012  5.35419E-015  2.71284E-007  1.03348E-009  2.69706E-008  3.84834E-013  1.82959E-014  1.09514E-019  5.59144E-013  2.54439E-011  3.14013E-011  7.18016E-028  2.05394E-032  2.58379E-039  1.06816E-027  8.77338E-013  2.69124E-019  1.22086E-023  9.63796E-018  3.53414E-025  6.67837E-026  1.00000E-040  1.79260E-038  1.00000E-040  1.00000E-040  3.25346E-026  1.00000E-040  1.30141E-040  1.71853E-026  3.96828E-015  5.79245E-035  1.17837E-036  1.18957E-022  9.23542E-018  2.50251E-019  5.03879E-015  2.35416E-025  6.26983E-011  1.00000E-040  1.76785E-018  1.00000E-040  2.10558E-025  4.10674E-031  4.26572E-023  6.98161E-026  7.50337E-010  3.48199E-023  3.50453E-022  4.34259E-013  2.01458E-014  4.44185E-033  1.00000E-040  9.80027E-024  1.00000E-040  7.77547E-022  3.55286E-011  4.13118E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.65417E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.76746E-024  1.00000E-040  1.00000E-040  1.38393E-021  4.97698E-007  1.88520E-003  5.93848E-014  1.15491E-016  2.11661E-001  3.23934E-008  2.82582E-004  3.23918E-023  2.51780E-011  1.00000E-040  1.00000E-040  2.15061E-033  3.07347E-020  7.98524E-007  4.02284E-029  3.04905E-026  3.19755E-036  3.45505E-035  1.16931E-038  6.32077E-013  1.96013E-018  3.03394E-019  3.06656E-011  1.00000E-040  1.00000E-040  3.34129E-010  1.91071E-035  4.94291E-011  8.62768E-031  7.86170E-001  1.86867E-023  1.13545E-013  4.63465E-010  1.00000E-040  1.00000E-040  7.67222E-030  2.42787E-025  1.16106E-014  1.41100E-015  9.66153E-012  4.20529E-015  2.71450E-007  9.45390E-010  2.97822E-008  3.72700E-013  1.85706E-014  6.52839E-020  3.45935E-013  2.62649E-011  2.70752E-011  6.10721E-028  2.08059E-032  1.00000E-040  1.02141E-027  7.88506E-013  2.69341E-019  1.27368E-023  8.66779E-018  4.39437E-025  5.83908E-026  1.00000E-040  1.68906E-038  1.00000E-040  1.00000E-040  3.56852E-026  1.00000E-040  1.23048E-040  1.74186E-026  4.12954E-015  5.06288E-035  4.05318E-039  1.56215E-022  8.15633E-018  3.05786E-019  6.17241E-015  1.82750E-025  6.25311E-011  1.00000E-040  2.95415E-018  1.00000E-040  2.59223E-025  3.67845E-031  4.26917E-023  6.55389E-026  7.58403E-010  2.88563E-023  4.53694E-022  4.07200E-013  2.01969E-014  1.50937E-032  1.00000E-040  7.17959E-024  1.00000E-040  7.16733E-022  3.53799E-011  4.13453E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.17988E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.72068E-024  1.00000E-040  1.00000E-040  1.46838E-021  4.98166E-007  1.24262E-003  6.11011E-014  1.52853E-016  2.11797E-001  3.14988E-008  2.82766E-004  4.06337E-023  2.87088E-011  1.00000E-040  1.00000E-040  1.86896E-033  2.75286E-020  7.98226E-007  2.67171E-029  2.96872E-026  1.00000E-040  1.00000E-040  1.17006E-038  3.58875E-013  1.11857E-018  2.62815E-019  2.35857E-011  1.00000E-040  1.00000E-040  3.34087E-010  1.09670E-035  4.93938E-011  1.17509E-030  7.86676E-001  1.85182E-023  1.07931E-013  4.50045E-010  1.00000E-040  1.00000E-040  6.93966E-030  2.31610E-025  1.89318E-014  1.81001E-015  9.58006E-012  3.24039E-015  2.71566E-007  8.83731E-010  3.32631E-008  4.45693E-013  2.03251E-014  3.98631E-020  3.13292E-013  2.85618E-011  2.23970E-011  5.28762E-028  2.08159E-032  1.00000E-040  9.73845E-028  6.71042E-013  2.69514E-019  1.34413E-023  7.81686E-018  5.52730E-025  5.17617E-026  1.00000E-040  1.58132E-038  1.00000E-040  1.00000E-040  3.96673E-026  1.00000E-040  1.14032E-040  1.77497E-026  3.31554E-015  4.07288E-035  3.02139E-037  2.03666E-022  7.72584E-018  4.46383E-019  7.74886E-015  1.39205E-025  6.16056E-011  1.00000E-040  5.13636E-018  1.00000E-040  3.20888E-025  3.25516E-031  4.27191E-023  6.26950E-026  6.09652E-010  2.37569E-023  5.88263E-022  3.59034E-013  2.02266E-014  4.78692E-032  1.00000E-040  4.82115E-024  1.00000E-040  6.51855E-022  3.52539E-011  4.13720E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.60431E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.89791E-024  1.00000E-040  1.00000E-040  1.55541E-021  4.98574E-007  7.58509E-004  6.17793E-014  2.02010E-016  2.11900E-001  3.07162E-008  2.82904E-004  5.47561E-023  3.53862E-011  1.00000E-040  1.00000E-040  1.50200E-033  2.34101E-020  7.97940E-007  1.82005E-029  2.88505E-026  1.09405E-036  1.20138E-035  1.17063E-038  2.10530E-013  6.58768E-019  2.47955E-019  1.83991E-011  1.00000E-040  1.00000E-040  3.33996E-010  5.66121E-036  4.93634E-011  1.62217E-030  7.87057E-001  1.80589E-023  9.93848E-014  4.39050E-010  1.00000E-040  1.00000E-040  6.26133E-030  2.21179E-025  4.31597E-014  2.28272E-015  9.59776E-012  2.48180E-015  2.71630E-007  8.34758E-010  3.73774E-008  5.93224E-013  2.25248E-014  2.74455E-020  4.39719E-013  3.24415E-011  1.73013E-011  4.63686E-028  2.07145E-032  1.00000E-040  9.28581E-028  5.39986E-013  2.69645E-019  1.43477E-023  7.07095E-018  7.09027E-025  4.59021E-026  1.00000E-040  1.47330E-038  1.00000E-040  1.00000E-040  4.44125E-026  1.00000E-040  1.03046E-040  1.82412E-026  2.24767E-015  2.99373E-035  2.93166E-036  2.69224E-022  8.08398E-018  7.08260E-019  9.82199E-015  1.03403E-025  6.00854E-011  1.00000E-040  9.63946E-018  1.00000E-040  4.05734E-025  2.84159E-031  4.27398E-023  6.02401E-026  3.77387E-010  1.96435E-023  7.60413E-022  2.99188E-013  2.02433E-014  1.40034E-031  1.00000E-040  2.96502E-024  1.00000E-040  5.86133E-022  3.51462E-011  4.13915E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.85670E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49076E-024  1.00000E-040  1.00000E-040  1.65724E-021  4.98873E-007  4.32073E-004  6.24053E-014  2.66523E-016  2.11969E-001  2.99776E-008  2.82998E-004  6.91543E-023  4.08136E-011  1.00000E-040  1.00000E-040  1.16477E-033  1.93753E-020  7.97623E-007  1.29823E-029  2.79953E-026  2.27167E-036  2.51053E-035  1.17100E-038  1.27630E-013  4.07830E-019  2.56274E-019  1.45834E-011  1.00000E-040  1.00000E-040  3.33852E-010  2.71153E-036  4.93352E-011  2.29253E-030  7.87314E-001  1.73378E-023  8.69974E-014  4.29980E-010  1.00000E-040  1.00000E-040  5.66173E-030  2.11560E-025  1.40290E-013  2.80621E-015  9.54783E-012  1.90037E-015  2.71644E-007  7.74307E-010  4.20621E-008  8.22981E-013  2.34440E-014  2.53748E-020  7.73270E-013  3.80213E-011  1.15661E-011  4.25999E-028  2.07509E-032  1.00000E-040  8.91679E-028  3.95377E-013  2.69733E-019  1.54814E-023  6.41613E-018  9.28237E-025  4.08722E-026  1.00000E-040  1.36789E-038  1.00000E-040  1.00000E-040  4.98255E-026  1.00000E-040  1.00000E-040  1.93353E-026  1.36548E-015  2.10193E-035  1.00000E-040  3.65753E-022  9.38165E-018  1.08721E-018  1.23315E-014  7.54944E-026  5.81640E-011  1.00000E-040  1.95165E-017  1.00000E-040  5.28838E-025  2.40190E-031  4.27538E-023  5.79843E-026  1.55206E-010  1.65867E-023  9.78089E-022  2.28571E-013  2.02521E-014  3.75163E-031  1.00000E-040  1.73215E-024  1.00000E-040  5.22384E-022  3.50514E-011  4.14031E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  9.93455E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.30817E-024  1.00000E-040  1.00000E-040  1.73507E-021  4.99032E-007  2.32844E-004  6.51753E-014  3.51253E-016  2.12011E-001  2.92188E-008  2.83056E-004  6.15509E-023  3.27587E-011  1.00000E-040  1.00000E-040  9.41227E-034  1.62694E-020  7.97263E-007  1.00405E-029  2.71364E-026  4.11914E-036  4.57666E-035  1.17123E-038  7.99876E-014  2.74107E-019  2.96461E-019  1.17713E-011  1.00000E-040  1.00000E-040  3.33657E-010  1.26363E-036  4.93083E-011  3.40537E-030  7.87471E-001  1.63708E-023  6.81535E-014  4.22411E-010  1.00000E-040  1.00000E-040  5.15413E-030  2.02823E-025  5.22399E-013  3.32449E-015  8.57760E-012  1.48467E-015  2.71614E-007  6.70335E-010  4.72559E-008  1.05361E-012  1.99252E-014  3.27337E-020  1.40070E-012  4.53390E-011  4.65909E-012  4.34554E-028  2.14391E-032  1.00000E-040  8.81800E-028  2.43448E-013  2.69786E-019  1.68684E-023  5.84255E-018  1.22939E-024  3.71712E-026  1.00000E-040  1.26740E-038  1.00000E-040  1.00000E-040  5.58087E-026  1.00000E-040  1.00000E-040  2.19033E-026  8.07810E-016  1.52491E-035  1.00000E-040  5.27412E-022  1.23223E-017  1.09275E-018  1.50198E-014  5.40877E-026  5.60511E-011  1.00000E-040  4.34681E-017  1.00000E-040  7.28264E-025  1.78610E-031  4.27623E-023  5.60524E-026  3.56036E-011  1.48132E-023  1.25100E-021  1.52000E-013  2.02562E-014  9.16325E-031  1.00000E-040  1.02997E-024  1.00000E-040  4.62948E-022  3.49661E-011  4.14167E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.20024E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.36966E-024  1.00000E-040  1.00000E-040  1.79989E-021  4.99074E-007  1.23338E-004  6.98164E-014  4.66556E-016  2.12034E-001  2.84444E-008  2.83088E-004  3.77705E-023  1.79494E-011  1.00000E-040  1.00000E-040  7.96841E-034  1.39894E-020  7.96854E-007  8.43443E-030  2.62719E-026  6.70158E-036  7.47972E-035  1.17135E-038  5.21860E-014  1.97620E-019  3.72251E-019  9.70222E-012  1.00000E-040  1.00000E-040  3.33412E-010  5.89837E-037  4.92821E-011  5.13829E-030  7.87557E-001  1.50819E-023  4.69706E-014  4.15922E-010  1.00000E-040  1.00000E-040  4.74144E-030  1.96344E-025  1.26940E-012  3.76889E-015  6.97568E-012  1.17934E-015  2.71547E-007  5.42886E-010  5.31079E-008  1.32235E-012  1.53176E-014  5.07969E-020  2.35392E-012  5.49217E-011  1.79900E-012  4.92298E-028  2.25940E-032  1.00000E-040  8.89116E-028  1.25237E-013  2.69816E-019  1.85736E-023  5.35929E-018  1.60067E-024  3.48092E-026  1.00000E-040  1.17201E-038  1.00000E-040  1.00000E-040  6.25275E-026  1.00000E-040  1.00000E-040  2.59167E-026  4.85556E-016  1.15495E-035  1.00000E-040  7.90232E-022  1.76791E-017  6.85317E-019  1.78733E-014  3.87639E-026  5.39215E-011  1.00000E-040  1.01198E-016  1.00000E-040  1.02331E-024  4.66595E-032  4.27669E-023  5.49154E-026  7.71695E-012  1.38665E-023  1.59945E-021  8.77403E-014  2.02578E-014  2.05585E-030  1.00000E-040  6.31371E-025  1.00000E-040  4.08766E-022  3.48861E-011  4.14290E-035  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
