alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.45518E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.35034E-023  1.00000E-040  1.00000E-040  1.16539E-021  4.95541E-007  5.79049E-003  4.60487E-014  3.94024E-017  2.10833E-001  3.72529E-008  2.81467E-004  1.13495E-022  1.48797E-010  1.00000E-040  1.00000E-040  2.31845E-033  3.54007E-020  8.00794E-007  1.88796E-028  2.84795E-026  5.31576E-036  5.30276E-035  1.00000E-040  8.00648E-012  2.18667E-017  9.36087E-019  3.52536E-011  1.00000E-040  1.00000E-040  3.33995E-010  9.79455E-035  4.97807E-011  1.40456E-031  7.83094E-001  9.61699E-024  2.77188E-014  5.52775E-010  1.00000E-040  1.00000E-040  1.00248E-029  2.84150E-025  3.18381E-012  2.83416E-016  1.04466E-011  9.05908E-015  2.70565E-007  9.44610E-010  2.18044E-008  1.44605E-011  7.50335E-014  3.27242E-019  4.30888E-012  1.76106E-011  2.75712E-011  3.84541E-027  2.64748E-032  1.00000E-040  2.32818E-027  1.88795E-013  3.97683E-019  1.15109E-023  1.22035E-017  2.03733E-025  1.26732E-025  1.00000E-040  1.88341E-038  6.12871E-026  4.79594E-034  4.27382E-026  1.00000E-040  1.38828E-040  3.64674E-026  1.06350E-016  6.99638E-035  1.51762E-039  4.99441E-023  1.88821E-017  7.48248E-019  2.67674E-015  5.86054E-025  5.71963E-011  1.00000E-040  4.46093E-019  1.00000E-040  1.18766E-025  5.05011E-031  4.14405E-023  1.13742E-025  1.07205E-011  2.27458E-023  1.38595E-022  1.11359E-013  1.79296E-014  1.00000E-040  1.51493E-033  2.17252E-023  1.00000E-040  8.51728E-022  3.63602E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34985E-004  1.00000E-040  1.00000E-040  7.58001E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.60088E-024  1.00000E-040  1.00000E-040  9.96986E-022  4.96360E-007  4.40214E-003  3.82288E-014  4.92358E-017  2.11127E-001  3.63196E-008  2.81863E-004  9.20827E-023  1.20349E-010  1.00000E-040  1.00000E-040  1.33800E-033  2.57451E-020  8.00332E-007  1.06328E-028  2.81879E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.47968E-012  9.83916E-018  5.87561E-019  7.30723E-011  1.00000E-040  1.00000E-040  3.34162E-010  4.80778E-035  4.97227E-011  1.68863E-031  7.84187E-001  1.08989E-023  7.32283E-014  5.27734E-010  1.00000E-040  1.00000E-040  9.65145E-030  2.82288E-025  2.94517E-013  5.15564E-016  1.15881E-011  6.67099E-015  2.70909E-007  1.10565E-009  2.33297E-008  2.90650E-012  4.93422E-014  2.11517E-019  2.38545E-012  2.46977E-011  3.00944E-011  2.21625E-027  2.58153E-032  1.56028E-034  1.71815E-027  5.33267E-013  3.98238E-019  1.16351E-023  1.16034E-017  2.16877E-025  9.88022E-026  1.00000E-040  1.83603E-038  6.13727E-026  4.24968E-034  4.40045E-026  1.00000E-040  1.07179E-040  2.07155E-026  4.32168E-016  3.76702E-035  1.89952E-039  5.26653E-023  1.28426E-017  7.59048E-019  3.69134E-015  3.74090E-025  5.82663E-011  1.00000E-040  5.97352E-019  1.00000E-040  1.15492E-025  4.81460E-031  4.14983E-023  9.73184E-026  1.05326E-010  4.06197E-023  1.85631E-022  2.52942E-013  1.80695E-014  1.00000E-040  1.52951E-033  1.08962E-023  1.00000E-040  8.27860E-022  3.61486E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21240E-004  1.00000E-040  1.00000E-040  7.98045E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.77991E-023  1.00000E-040  1.00000E-040  1.09524E-021  4.96789E-007  3.55681E-003  4.54342E-014  6.37398E-017  2.11307E-001  3.51243E-008  2.82104E-004  5.03252E-023  5.49662E-011  1.00000E-040  1.00000E-040  1.70541E-033  2.88693E-020  7.99649E-007  8.31848E-029  2.77235E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.47812E-012  6.24500E-018  4.84719E-019  5.61676E-011  1.00000E-040  1.00000E-040  3.34160E-010  3.90294E-035  4.96567E-011  3.13761E-031  7.84853E-001  1.42848E-023  1.04497E-013  5.05735E-010  1.00000E-040  1.00000E-040  9.09326E-030  2.70207E-025  3.08737E-014  7.64308E-016  1.02030E-011  6.06626E-015  2.71098E-007  1.10780E-009  2.49040E-008  7.72362E-013  2.47841E-014  1.63808E-019  1.23866E-012  2.60470E-011  3.24139E-011  1.37117E-027  2.70921E-032  1.79846E-036  1.62791E-027  8.29269E-013  3.98576E-019  1.18861E-023  1.05720E-017  2.62246E-025  7.93950E-026  1.00000E-040  1.76687E-038  6.14248E-026  3.09096E-034  4.58730E-026  1.00000E-040  1.16770E-040  1.68927E-026  1.78434E-015  4.56693E-035  2.39788E-039  7.49955E-023  1.12268E-017  3.40827E-019  4.29863E-015  2.81623E-025  5.94779E-011  1.00000E-040  9.68167E-019  1.00000E-040  1.51679E-025  4.48837E-031  4.15336E-023  7.97339E-026  4.11126E-010  3.79556E-023  2.43850E-022  3.87400E-013  1.81853E-014  1.00000E-040  1.57030E-033  1.00224E-023  1.00000E-040  7.90087E-022  3.59525E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.13091E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.14860E-024  1.00000E-040  1.00000E-040  1.20415E-021  4.97242E-007  2.69095E-003  5.13634E-014  8.30549E-017  2.11490E-001  3.39542E-008  2.82351E-004  3.22295E-023  3.03419E-011  1.00000E-040  1.00000E-040  1.90497E-033  2.98712E-020  7.99200E-007  6.04013E-029  2.71461E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.37458E-012  3.76394E-018  4.01202E-019  4.30527E-011  1.00000E-040  1.00000E-040  3.34180E-010  2.79890E-035  4.96065E-011  5.06073E-031  7.85535E-001  1.63740E-023  1.11100E-013  4.86960E-010  1.00000E-040  1.00000E-040  8.41642E-030  2.56910E-025  1.34340E-014  1.02514E-015  9.59834E-012  5.23989E-015  2.71287E-007  1.02538E-009  2.69833E-008  4.17528E-013  1.88499E-014  1.06127E-019  6.65681E-013  2.60664E-011  3.04205E-011  1.04797E-027  2.81822E-032  1.97572E-038  1.57407E-027  8.67680E-013  3.98923E-019  1.22801E-023  9.53127E-018  3.28788E-025  6.70228E-026  1.00000E-040  1.68280E-038  6.14781E-026  2.14759E-034  4.88632E-026  1.00000E-040  1.19382E-040  1.67400E-026  3.37203E-015  4.80527E-035  2.17371E-037  1.04038E-022  9.95817E-018  2.46266E-019  5.03701E-015  2.23400E-025  6.02137E-011  1.00000E-040  1.61431E-018  1.00000E-040  1.94752E-025  4.10061E-031  4.15696E-023  7.05565E-026  6.03389E-010  3.38493E-023  3.18758E-022  4.26760E-013  1.82645E-014  1.00000E-040  1.58668E-033  8.65520E-024  1.00000E-040  7.41942E-022  3.57855E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.69910E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.61401E-024  1.00000E-040  1.00000E-040  1.29536E-021  4.97724E-007  1.88520E-003  5.47947E-014  1.09059E-016  2.11661E-001  3.29181E-008  2.82581E-004  3.10614E-023  2.59721E-011  1.00000E-040  1.00000E-040  1.83175E-033  2.83725E-020  7.98904E-007  4.15585E-029  2.64901E-026  4.75610E-036  5.11505E-035  1.00000E-040  7.76638E-013  2.18026E-018  3.36242E-019  3.31692E-011  1.00000E-040  1.00000E-040  3.34193E-010  1.76827E-035  4.95686E-011  7.23996E-031  7.86170E-001  1.69859E-023  1.09557E-013  4.71292E-010  1.00000E-040  1.00000E-040  7.69630E-030  2.44829E-025  1.37312E-014  1.33312E-015  9.36807E-012  4.14568E-015  2.71454E-007  9.41000E-010  2.96771E-008  3.88096E-013  1.86612E-014  6.39524E-020  4.16647E-013  2.67104E-011  2.64233E-011  8.79069E-028  2.86881E-032  2.08501E-040  1.49343E-027  7.90907E-013  3.99245E-019  1.28318E-023  8.58857E-018  4.13951E-025  5.85665E-026  1.00000E-040  1.58982E-038  6.15278E-026  1.48400E-034  5.30553E-026  1.00000E-040  1.14875E-040  1.70328E-026  3.67548E-015  4.31223E-035  3.92067E-039  1.38763E-022  9.04038E-018  2.92109E-019  6.15101E-015  1.74812E-025  6.01982E-011  1.00000E-040  2.73350E-018  1.00000E-040  2.43182E-025  3.68956E-031  4.16032E-023  6.61422E-026  6.21046E-010  2.87997E-023  4.16578E-022  4.06961E-013  1.83138E-014  1.00000E-040  1.58680E-033  6.46728E-024  1.00000E-040  6.86563E-022  3.56452E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.20159E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.62711E-024  1.00000E-040  1.00000E-040  1.38593E-021  4.98172E-007  1.24262E-003  5.69076E-014  1.44087E-016  2.11797E-001  3.20186E-008  2.82765E-004  3.82925E-023  2.87998E-011  1.00000E-040  1.00000E-040  1.62201E-033  2.56525E-020  7.98642E-007  2.84884E-029  2.57774E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.50227E-013  1.27005E-018  2.95900E-019  2.58007E-011  1.00000E-040  1.00000E-040  3.34161E-010  1.02449E-035  4.95365E-011  1.00775E-030  7.86676E-001  1.70464E-023  1.04711E-013  4.58327E-010  1.00000E-040  1.00000E-040  6.98573E-030  2.33841E-025  2.20913E-014  1.70836E-015  9.30337E-012  3.20052E-015  2.71570E-007  8.77264E-010  3.29896E-008  4.55429E-013  2.01517E-014  3.96430E-020  3.67174E-013  2.88042E-011  2.20189E-011  7.57467E-028  2.88066E-032  1.00000E-040  1.41005E-027  6.76259E-013  3.99502E-019  1.35620E-023  7.75502E-018  5.25934E-025  5.18626E-026  1.00000E-040  1.49274E-038  6.15674E-026  1.01307E-034  5.83955E-026  1.00000E-040  1.07229E-040  1.74413E-026  3.02754E-015  3.53473E-035  1.87785E-036  1.83047E-022  8.70002E-018  4.22379E-019  7.69909E-015  1.34029E-025  5.94488E-011  1.00000E-040  4.79767E-018  1.00000E-040  3.03967E-025  3.28446E-031  4.16300E-023  6.32776E-026  4.99565E-010  2.42043E-023  5.43731E-022  3.61106E-013  1.83422E-014  1.00000E-040  1.58156E-033  4.40029E-024  1.00000E-040  6.27121E-022  3.55253E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.61265E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.84084E-024  1.00000E-040  1.00000E-040  1.47542E-021  4.98555E-007  7.58509E-004  5.79444E-014  1.90015E-016  2.11900E-001  3.12186E-008  2.82904E-004  5.08666E-023  3.46853E-011  1.00000E-040  1.00000E-040  1.32204E-033  2.19689E-020  7.98380E-007  1.98164E-029  2.50272E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.68885E-013  7.56498E-019  2.80958E-019  2.03225E-011  1.00000E-040  1.00000E-040  3.34078E-010  5.32573E-036  4.95084E-011  1.41221E-030  7.87057E-001  1.67599E-023  9.66428E-014  4.47630E-010  1.77818E-040  1.00000E-040  6.32253E-030  2.23591E-025  5.04555E-014  2.15029E-015  9.31271E-012  2.44905E-015  2.71636E-007  8.22450E-010  3.68909E-008  5.98961E-013  2.20356E-014  2.78930E-020  4.89842E-013  3.24539E-011  1.71227E-011  6.64004E-028  2.87398E-032  1.00000E-040  1.33086E-027  5.43724E-013  3.99695E-019  1.44946E-023  7.02105E-018  6.79811E-025  4.59578E-026  1.00000E-040  1.39511E-038  6.15972E-026  6.71654E-035  6.47791E-026  1.00000E-040  1.00000E-040  1.80227E-026  2.08511E-015  2.63505E-035  1.00000E-040  2.44193E-022  9.16246E-018  6.64219E-019  9.73194E-015  9.99990E-026  5.81059E-011  1.00000E-040  9.06771E-018  1.00000E-040  3.87019E-025  2.90327E-031  4.16502E-023  6.08508E-026  3.04603E-010  2.03503E-023  7.06319E-022  3.00988E-013  1.83579E-014  1.00000E-040  1.57430E-033  2.73133E-024  1.00000E-040  5.66572E-022  3.54217E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.88197E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.44896E-024  1.00000E-040  1.00000E-040  1.57319E-021  4.98830E-007  4.32073E-004  5.89478E-014  2.50160E-016  2.11969E-001  3.04580E-008  2.82997E-004  6.22387E-023  3.84430E-011  1.00000E-040  1.00000E-040  1.03987E-033  1.83121E-020  7.98080E-007  1.43313E-029  2.42520E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.65528E-013  4.70898E-019  2.90614E-019  1.62416E-011  1.00000E-040  1.00000E-040  3.33941E-010  2.56898E-036  4.94818E-011  2.02176E-030  7.87314E-001  1.61884E-023  8.44352E-014  4.38749E-010  3.29449E-039  1.00000E-040  5.73106E-030  2.14093E-025  1.62493E-013  2.63819E-015  9.18977E-012  1.87379E-015  2.71651E-007  7.54353E-010  4.13250E-008  8.17653E-013  2.24388E-014  2.64651E-020  8.25733E-013  3.77763E-011  1.15142E-011  6.11886E-028  2.88750E-032  1.00000E-040  1.26711E-027  3.95826E-013  3.99826E-019  1.56539E-023  6.37492E-018  8.95108E-025  4.09204E-026  1.00000E-040  1.29958E-038  6.16173E-026  4.27178E-035  7.20684E-026  1.00000E-040  1.00000E-040  1.92472E-026  1.28403E-015  1.87654E-035  1.00000E-040  3.34732E-022  1.06425E-017  9.84549E-019  1.21817E-014  7.31601E-026  5.63531E-011  1.00000E-040  1.84903E-017  1.00000E-040  5.07935E-025  2.55667E-031  4.16637E-023  5.86356E-026  1.21635E-010  1.74493E-023  9.12112E-022  2.29163E-013  1.83661E-014  1.00000E-040  1.56331E-033  1.61075E-024  1.00000E-040  5.07536E-022  3.53299E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  9.98708E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.27275E-024  1.00000E-040  1.00000E-040  1.64814E-021  4.98972E-007  2.32844E-004  6.19174E-014  3.29098E-016  2.12011E-001  2.96851E-008  2.83055E-004  5.32686E-023  2.94648E-011  1.00000E-040  1.00000E-040  8.49965E-034  1.54649E-020  7.97732E-007  1.11598E-029  2.34635E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.05159E-013  3.16509E-019  3.34851E-019  1.32031E-011  1.00000E-040  1.00000E-040  3.33753E-010  1.20407E-036  4.94560E-011  3.03565E-030  7.87471E-001  1.53668E-023  6.60089E-014  4.31295E-010  3.73922E-038  1.00000E-040  5.22544E-030  2.05452E-025  5.56425E-013  3.12181E-015  8.17405E-012  1.46180E-015  2.71623E-007  6.47568E-010  4.62428E-008  1.03520E-012  1.87876E-014  3.48281E-020  1.44797E-012  4.48316E-011  4.66511E-012  6.24931E-028  2.98907E-032  1.00000E-040  1.24299E-027  2.43066E-013  3.99905E-019  1.70658E-023  5.81005E-018  1.18998E-024  3.72181E-026  1.00000E-040  1.20821E-038  6.16295E-026  2.56733E-035  8.01375E-026  1.00000E-040  1.00000E-040  2.19341E-026  7.69999E-016  1.37706E-035  2.22345E-035  4.86250E-022  1.39231E-017  9.37493E-019  1.48104E-014  5.25403E-026  5.43956E-011  1.00000E-040  4.14193E-017  1.00000E-040  7.03684E-025  2.24457E-031  4.16720E-023  5.67726E-026  2.86922E-011  1.57844E-023  1.17075E-021  1.52355E-013  1.83699E-014  1.00000E-040  1.54655E-033  9.64660E-025  1.00000E-040  4.52212E-022  3.52465E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.27225E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.00993E-024  1.00000E-040  1.00000E-040  1.72743E-021  4.99008E-007  1.23338E-004  6.64463E-014  4.36531E-016  2.12034E-001  2.89104E-008  2.83087E-004  3.37961E-023  1.66045E-011  1.00000E-040  1.00000E-040  7.22210E-034  1.33217E-020  7.97332E-007  9.30851E-030  2.26573E-026  1.00000E-040  1.00000E-040  1.00000E-040  6.94514E-014  2.26855E-019  4.16635E-019  1.09473E-011  1.00000E-040  1.00000E-040  3.33516E-010  5.63060E-037  4.94306E-011  4.62065E-030  7.87557E-001  1.42586E-023  4.58621E-014  4.24871E-010  2.67745E-037  1.00000E-040  4.80895E-030  1.99135E-025  1.27600E-012  3.54053E-015  6.73915E-012  1.15732E-015  2.71557E-007  5.25904E-010  5.17945E-008  1.31165E-012  1.45804E-014  5.45397E-020  2.37889E-012  5.41442E-011  1.82194E-012  7.04423E-028  3.14885E-032  1.00000E-040  1.24155E-027  1.26352E-013  3.99949E-019  1.87960E-023  5.33625E-018  1.55376E-024  3.48300E-026  1.00000E-040  1.12114E-038  6.16363E-026  1.49510E-035  8.92301E-026  1.00000E-040  1.00000E-040  2.59726E-026  4.67076E-016  1.04678E-035  2.69321E-035  7.30910E-022  1.97925E-017  6.18073E-019  1.76165E-014  3.79141E-026  5.24031E-011  1.00000E-040  9.66183E-017  1.00000E-040  9.92224E-025  1.94232E-031  4.16766E-023  5.57243E-026  6.92485E-012  1.48907E-023  1.50184E-021  8.87521E-014  1.83713E-014  1.00000E-040  1.52646E-033  5.91824E-025  1.00000E-040  4.01497E-022  3.51678E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
