alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.43423E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.46373E-023  1.00000E-040  1.00000E-040  1.30095E-021  4.95541E-007  5.79049E-003  5.13532E-014  4.29092E-017  2.10833E-001  3.69338E-008  2.81467E-004  1.29967E-022  1.51345E-010  1.00000E-040  1.00000E-040  2.88408E-033  3.94787E-020  8.00794E-007  2.26978E-028  3.11691E-026  2.63285E-036  2.65366E-035  1.00000E-040  7.40998E-012  2.29316E-017  9.67222E-019  3.41240E-011  1.00000E-040  1.00000E-040  3.33995E-010  1.09020E-034  4.96799E-011  1.79148E-031  7.83094E-001  1.10424E-023  3.25511E-014  5.50227E-010  1.00000E-040  1.00000E-040  9.67902E-030  2.72014E-025  3.11587E-012  3.33175E-016  1.13098E-011  8.95937E-015  2.70565E-007  9.97093E-010  2.15052E-008  1.30551E-011  6.71005E-014  3.34803E-019  4.30515E-012  1.75256E-011  2.81891E-011  6.11767E-027  4.73801E-032  7.94539E-033  3.60640E-027  2.05796E-013  6.42331E-019  1.09875E-023  1.24332E-017  2.22818E-025  1.27058E-025  1.00000E-040  1.89571E-038  8.09465E-026  5.73000E-034  6.68602E-026  1.00000E-040  1.47852E-040  3.43257E-026  1.28999E-016  8.70329E-035  1.59589E-039  5.71660E-023  1.95096E-017  8.62972E-019  2.69411E-015  6.36558E-025  5.87044E-011  1.00000E-040  4.96473E-019  1.00000E-040  1.31313E-025  4.88260E-031  4.01012E-023  1.14794E-025  1.26337E-011  2.45533E-023  1.57683E-022  1.19251E-013  1.94599E-014  1.00000E-040  2.01436E-033  2.42873E-023  1.00000E-040  8.84444E-022  3.61676E-011  1.20777E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34985E-004  1.00000E-040  1.00000E-040  7.55541E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.07180E-024  1.00000E-040  1.00000E-040  1.09553E-021  4.96359E-007  4.40214E-003  4.23986E-014  5.32433E-017  2.11127E-001  3.59489E-008  2.81863E-004  9.99542E-023  1.17349E-010  1.00000E-040  1.00000E-040  1.64479E-033  2.85487E-020  8.00205E-007  1.21138E-028  3.08145E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.01910E-012  9.99326E-018  5.86223E-019  7.10181E-011  1.00000E-040  1.00000E-040  3.34144E-010  5.32085E-035  4.96124E-011  2.14080E-031  7.84187E-001  1.24910E-023  8.25224E-014  5.23474E-010  1.00000E-040  1.00000E-040  9.29486E-030  2.69026E-025  2.29575E-013  5.74798E-016  1.21535E-011  6.63291E-015  2.70908E-007  1.14155E-009  2.29227E-008  2.54743E-012  4.43356E-014  2.19028E-019  2.27823E-012  2.40284E-011  3.11128E-011  3.47354E-027  4.56922E-032  2.04678E-035  2.68191E-027  5.90933E-013  6.43228E-019  1.10817E-023  1.17599E-017  2.35006E-025  9.65868E-026  1.00000E-040  1.84520E-038  8.10595E-026  5.07938E-034  6.92098E-026  1.00000E-040  1.13285E-040  1.94482E-026  5.46066E-016  4.63074E-035  1.97937E-039  6.00323E-023  1.28129E-017  8.13548E-019  3.69472E-015  3.98157E-025  5.98849E-011  1.00000E-040  6.61037E-019  1.00000E-040  1.26762E-025  4.64182E-031  4.01572E-023  9.52791E-026  1.44750E-010  4.37838E-023  2.05682E-022  2.76543E-013  1.96078E-014  1.00000E-040  2.02315E-033  1.20332E-023  1.00000E-040  8.58002E-022  3.59378E-011  1.20945E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21241E-004  1.00000E-040  1.00000E-040  7.95455E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.87545E-023  1.00000E-040  1.00000E-040  1.18738E-021  4.96779E-007  3.55681E-003  5.00419E-014  6.85435E-017  2.11307E-001  3.46903E-008  2.82104E-004  5.12326E-023  5.08334E-011  1.00000E-040  1.00000E-040  2.06817E-033  3.17881E-020  7.99425E-007  9.03637E-029  3.02615E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.15915E-012  6.15036E-018  4.67883E-019  5.37451E-011  1.00000E-040  1.00000E-040  3.34128E-010  4.28755E-035  4.95386E-011  3.89616E-031  7.84853E-001  1.61271E-023  1.10643E-013  5.00169E-010  1.00000E-040  1.00000E-040  8.71605E-030  2.56243E-025  2.57616E-014  8.28541E-016  1.05147E-011  6.11689E-015  2.71097E-007  1.11751E-009  2.44087E-008  6.88591E-013  2.26900E-014  1.69434E-019  1.14339E-012  2.51724E-011  3.34915E-011  2.22649E-027  4.77673E-032  2.15009E-037  2.57220E-027  8.59329E-013  6.43774E-019  1.12898E-023  1.06626E-017  2.82246E-025  7.60217E-026  1.00000E-040  1.77197E-038  8.11283E-026  3.68142E-034  7.24645E-026  1.00000E-040  1.21965E-040  1.64231E-026  2.16672E-015  5.53835E-035  2.44850E-039  8.49075E-023  1.08362E-017  3.41937E-019  4.25318E-015  2.97450E-025  6.11385E-011  1.00000E-040  1.06382E-018  1.00000E-040  1.64949E-025  4.30527E-031  4.01913E-023  7.61386E-026  4.92118E-010  4.00019E-023  2.65119E-022  4.03706E-013  1.97268E-014  1.00000E-040  2.06052E-033  1.10474E-023  1.00000E-040  8.16588E-022  3.57270E-011  1.21048E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.12399E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.47782E-024  1.00000E-040  1.00000E-040  1.28997E-021  4.97237E-007  2.69095E-003  5.57235E-014  8.90377E-017  2.11490E-001  3.34833E-008  2.82352E-004  3.33532E-023  2.88974E-011  1.00000E-040  1.00000E-040  2.24149E-033  3.23948E-020  7.98903E-007  6.26123E-029  2.95839E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.16787E-012  3.58104E-018  3.74039E-019  4.06328E-011  1.00000E-040  1.00000E-040  3.34136E-010  3.02830E-035  4.94826E-011  6.05592E-031  7.85535E-001  1.80728E-023  1.15440E-013  4.80453E-010  1.00000E-040  1.00000E-040  8.02768E-030  2.42845E-025  1.22320E-014  1.09969E-015  9.89097E-012  5.24719E-015  2.71286E-007  1.02341E-009  2.64388E-008  3.96651E-013  1.81554E-014  1.09050E-019  5.99151E-013  2.51713E-011  3.12695E-011  1.74710E-027  4.94592E-032  2.17156E-039  2.49060E-027  8.73167E-013  6.44333E-019  1.16229E-023  9.58989E-018  3.50127E-025  6.34981E-026  1.00000E-040  1.68340E-038  8.11988E-026  2.57235E-034  7.75776E-026  1.00000E-040  1.22425E-040  1.63088E-026  3.81155E-015  5.65414E-035  1.00000E-040  1.15862E-022  9.28304E-018  2.59834E-019  4.97836E-015  2.34276E-025  6.18107E-011  1.00000E-040  1.74697E-018  1.00000E-040  2.08274E-025  3.91292E-031  4.02262E-023  6.69035E-026  6.93774E-010  3.46586E-023  3.42199E-022  4.31721E-013  1.98080E-014  1.00000E-040  2.06930E-033  9.33145E-024  1.00000E-040  7.64223E-022  3.55489E-011  1.21153E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.67086E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.75699E-024  1.00000E-040  1.00000E-040  1.37618E-021  4.97733E-007  1.88520E-003  5.88640E-014  1.16750E-016  2.11661E-001  3.24307E-008  2.82582E-004  3.31085E-023  2.57147E-011  1.00000E-040  1.00000E-040  2.11309E-033  3.04662E-020  7.98555E-007  4.16650E-029  2.88222E-026  5.90232E-036  6.32124E-035  1.00000E-040  6.45554E-013  2.02512E-018  3.06392E-019  3.09276E-011  1.00000E-040  1.00000E-040  3.34140E-010  1.89440E-035  4.94402E-011  8.45444E-031  7.86170E-001  1.84702E-023  1.12961E-013  4.64111E-010  1.00000E-040  1.00000E-040  7.30307E-030  2.30604E-025  1.30106E-014  1.42475E-015  9.64075E-012  4.12721E-015  2.71453E-007  9.35497E-010  2.91093E-008  3.80005E-013  1.82572E-014  6.51089E-020  3.72798E-013  2.58206E-011  2.69897E-011  1.48123E-027  5.01319E-032  1.00000E-040  2.37076E-027  7.86483E-013  6.44853E-019  1.20943E-023  8.62965E-018  4.36576E-025  5.52068E-026  1.00000E-040  1.58594E-038  8.12643E-026  1.78903E-034  8.46836E-026  1.00000E-040  1.16302E-040  1.64991E-026  4.01089E-015  4.97454E-035  3.75463E-039  1.52704E-022  8.23644E-018  3.14774E-019  6.08462E-015  1.82201E-025  6.16663E-011  1.00000E-040  2.92890E-018  1.00000E-040  2.57254E-025  3.50064E-031  4.02587E-023  6.24865E-026  7.01321E-010  2.88476E-023  4.43419E-022  4.05882E-013  1.98587E-014  1.00000E-040  2.06303E-033  6.86524E-024  1.00000E-040  7.04426E-022  3.54000E-011  1.21251E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.18794E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.71839E-024  1.00000E-040  1.00000E-040  1.46442E-021  4.98200E-007  1.24262E-003  6.07573E-014  1.54187E-016  2.11797E-001  3.15269E-008  2.82766E-004  4.12727E-023  2.90287E-011  1.00000E-040  1.00000E-040  1.84799E-033  2.73746E-020  7.98256E-007  2.79397E-029  2.80000E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.67023E-013  1.16263E-018  2.66231E-019  2.37985E-011  1.00000E-040  1.00000E-040  3.34099E-010  1.09077E-035  4.94047E-011  1.16003E-030  7.86676E-001  1.83815E-023  1.07532E-013  4.50661E-010  1.00000E-040  1.00000E-040  6.59374E-030  2.19366E-025  2.12582E-014  1.82355E-015  9.56619E-012  3.18289E-015  2.71569E-007  8.72335E-010  3.24155E-008  4.50664E-013  1.98104E-014  3.98499E-020  3.38898E-013  2.78976E-011  2.23512E-011  1.28144E-027  5.02128E-032  1.00000E-040  2.25050E-027  6.69333E-013  6.45268E-019  1.27245E-023  7.78457E-018  5.50646E-025  4.87035E-026  1.00000E-040  1.48464E-038  8.13166E-026  1.22749E-034  9.36973E-026  1.00000E-040  1.07396E-040  1.67818E-026  3.24976E-015  4.02718E-035  1.00000E-040  1.99740E-022  7.82560E-018  4.56776E-019  7.62014E-015  1.39057E-025  6.07597E-011  1.00000E-040  5.10858E-018  1.00000E-040  3.19377E-025  3.09381E-031  4.02846E-023  5.95267E-026  5.58651E-010  2.38364E-023  5.75394E-022  3.57932E-013  1.98882E-014  1.00000E-040  2.05350E-033  4.62967E-024  1.00000E-040  6.40651E-022  3.52735E-011  1.21328E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.60740E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.89900E-024  1.00000E-040  1.00000E-040  1.55455E-021  4.98604E-007  7.58509E-004  6.16168E-014  2.03345E-016  2.11900E-001  3.07286E-008  2.82904E-004  5.51372E-023  3.53434E-011  1.00000E-040  1.00000E-040  1.49408E-033  2.33490E-020  7.97967E-007  1.91885E-029  2.71377E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.15384E-013  6.87879E-019  2.51624E-019  1.85643E-011  1.00000E-040  1.00000E-040  3.34011E-010  5.64751E-036  4.93739E-011  1.61143E-030  7.87057E-001  1.79843E-023  9.90458E-014  4.39615E-010  2.44333E-040  1.00000E-040  5.93612E-030  2.08842E-025  4.91033E-014  2.29404E-015  9.58262E-012  2.43842E-015  2.71634E-007  8.20029E-010  3.63199E-008  5.95953E-013  2.17292E-014  2.75335E-020  4.75414E-013  3.15009E-011  1.72837E-011  1.12532E-027  5.00367E-032  1.00000E-040  2.13707E-027  5.37236E-013  6.45581E-019  1.35376E-023  7.04133E-018  7.08089E-025  4.29956E-026  1.00000E-040  1.38317E-038  8.13560E-026  8.16612E-035  1.04443E-025  1.00000E-040  1.00000E-040  1.72225E-026  2.21651E-015  2.97795E-035  3.74268E-036  2.64787E-022  8.20249E-018  7.19734E-019  9.63563E-015  1.03440E-025  5.92510E-011  1.00000E-040  9.61618E-018  1.00000E-040  4.04838E-025  2.69839E-031  4.03041E-023  5.69695E-026  3.38298E-010  1.97678E-023  7.44326E-022  2.97530E-013  1.99047E-014  1.00000E-040  2.04308E-033  2.85883E-024  1.00000E-040  5.76064E-022  3.51649E-011  1.21387E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.86607E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49147E-024  1.00000E-040  1.00000E-040  1.65524E-021  4.98895E-007  4.32073E-004  6.24662E-014  2.67735E-016  2.11969E-001  2.99689E-008  2.82998E-004  6.80177E-023  3.96709E-011  1.00000E-040  1.00000E-040  1.16699E-033  1.93944E-020  7.97647E-007  1.37918E-029  2.62496E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.30492E-013  4.27685E-019  2.60474E-019  1.47071E-011  1.00000E-040  1.00000E-040  3.33868E-010  2.71470E-036  4.93453E-011  2.28977E-030  7.87314E-001  1.72990E-023  8.63993E-014  4.30485E-010  4.52632E-039  1.00000E-040  5.35241E-030  1.99093E-025  1.61987E-013  2.81213E-015  9.47824E-012  1.86818E-015  2.71649E-007  7.53905E-010  4.07576E-008  8.17419E-013  2.21824E-014  2.55761E-020  8.33005E-013  3.67373E-011  1.15647E-011  1.03914E-027  5.02235E-032  1.00000E-040  2.04540E-027  3.90257E-013  6.45791E-019  1.45574E-023  6.38653E-018  9.29016E-025  3.81220E-026  1.00000E-040  1.28426E-038  8.13825E-026  5.20651E-035  1.16681E-025  1.00000E-040  1.00000E-040  1.82670E-026  1.35218E-015  2.10594E-035  1.30876E-035  3.60890E-022  9.53335E-018  1.07607E-018  1.20671E-014  7.55161E-026  5.73349E-011  1.00000E-040  1.95397E-017  1.00000E-040  5.29196E-025  2.28650E-031  4.03172E-023  5.46133E-026  1.33258E-010  1.67437E-023  9.58057E-022  2.25771E-013  1.99133E-014  1.00000E-040  2.02820E-033  1.67888E-024  1.00000E-040  5.13438E-022  3.50693E-011  1.21426E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  9.95374E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.30421E-024  1.00000E-040  1.00000E-040  1.72644E-021  4.99047E-007  2.32844E-004  6.54646E-014  3.52168E-016  2.12011E-001  2.91896E-008  2.83056E-004  5.78823E-023  3.03420E-011  1.00000E-040  1.00000E-040  9.49533E-034  1.63414E-020  7.97284E-007  1.07346E-029  2.53488E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.16786E-014  2.88522E-019  3.01678E-019  1.18619E-011  1.00000E-040  1.00000E-040  3.33675E-010  1.26947E-036  4.93180E-011  3.41127E-030  7.87471E-001  1.63277E-023  6.71039E-014  4.22852E-010  5.13697E-038  1.00000E-040  4.85489E-030  1.90200E-025  5.77793E-013  3.32084E-015  8.39920E-012  1.46001E-015  2.71620E-007  6.44779E-010  4.56687E-008  1.03010E-012  1.84354E-014  3.31226E-020  1.49817E-012  4.36550E-011  4.66147E-012  1.06795E-027  5.19745E-032  1.00000E-040  2.01637E-027  2.37126E-013  6.45920E-019  1.58082E-023  5.81250E-018  1.23232E-024  3.45281E-026  1.00000E-040  1.19003E-038  8.13987E-026  3.13127E-035  1.30179E-025  1.00000E-040  1.00000E-040  2.07208E-026  8.02673E-016  1.53837E-035  1.55541E-035  5.21951E-022  1.25345E-017  1.02034E-018  1.46706E-014  5.40340E-026  5.52256E-011  1.00000E-040  4.36687E-017  1.00000E-040  7.30672E-025  1.73476E-031  4.03253E-023  5.25899E-026  3.00695E-011  1.49935E-023  1.22623E-021  1.48557E-013  1.99174E-014  1.00000E-040  2.00521E-033  1.00347E-024  1.00000E-040  4.55080E-022  3.49828E-011  1.21446E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.20905E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.00612E-024  1.00000E-040  1.00000E-040  1.79496E-021  4.99087E-007  1.23338E-004  7.00386E-014  4.66978E-016  2.12034E-001  2.84035E-008  2.83088E-004  3.57784E-023  1.67160E-011  1.00000E-040  1.00000E-040  8.01887E-034  1.40336E-020  7.96871E-007  8.97047E-030  2.44301E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.32235E-014  2.07815E-019  3.77639E-019  9.76868E-012  1.00000E-040  1.00000E-040  3.33434E-010  5.91822E-037  4.92913E-011  5.13102E-030  7.87557E-001  1.50141E-023  4.60057E-014  4.16305E-010  3.67809E-037  1.00000E-040  4.44542E-030  1.83547E-025  1.34486E-012  3.75275E-015  6.84797E-012  1.15644E-015  2.71555E-007  5.18585E-010  5.12013E-008  1.29871E-012  1.41617E-014  5.13064E-020  2.49716E-012  5.27964E-011  1.80251E-012  1.21461E-027  5.46709E-032  1.00000E-040  2.01994E-027  1.20860E-013  6.45990E-019  1.73497E-023  5.33092E-018  1.60520E-024  3.21712E-026  1.00000E-040  1.10067E-038  8.14076E-026  1.82455E-035  1.45335E-025  1.00000E-040  1.00000E-040  2.44350E-026  4.81147E-016  1.16226E-035  1.00000E-040  7.80699E-022  1.79237E-017  6.53624E-019  1.74606E-014  3.87737E-026  5.31019E-011  1.00000E-040  1.01547E-016  1.00000E-040  1.02494E-024  6.04335E-032  4.03297E-023  5.13596E-026  6.94801E-012  1.40059E-023  1.56903E-021  8.49996E-014  1.99188E-014  1.00000E-040  1.97762E-033  6.13379E-025  1.00000E-040  4.01915E-022  3.49017E-011  1.21454E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
