alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.53378E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17426E-023  1.00000E-040  1.00000E-040  9.69764E-022  4.95541E-007  5.79049E-003  3.88188E-014  3.96571E-017  2.10833E-001  3.75808E-008  2.81467E-004  8.65102E-023  1.37100E-010  1.00000E-040  1.00000E-040  1.64731E-033  2.98424E-020  8.00794E-007  1.47194E-028  2.09795E-025  1.50135E-033  1.36113E-032  4.30019E-037  9.04129E-012  2.17843E-017  8.89706E-019  3.70731E-011  1.00000E-040  1.00000E-040  3.33995E-010  8.27704E-035  4.99185E-011  9.49228E-032  7.83094E-001  7.67801E-024  2.01311E-014  5.56398E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.36968E-025  3.84040E-012  2.39551E-016  8.61980E-012  9.17613E-015  2.70565E-007  7.75169E-010  2.07407E-008  1.70468E-011  7.41160E-014  3.15341E-019  5.13450E-012  1.75029E-011  2.65947E-011  1.41632E-027  7.72355E-033  6.23249E-039  7.72133E-028  1.44560E-013  1.20107E-019  9.68577E-024  1.14986E-017  1.76158E-025  1.07181E-025  1.00000E-040  1.33204E-038  3.49232E-023  3.17454E-031  1.44918E-026  1.00000E-040  2.84253E-040  3.20935E-026  7.63977E-017  4.97110E-035  1.00000E-040  3.73204E-023  1.79461E-017  5.76673E-019  2.40497E-015  5.08217E-025  5.06996E-011  1.00000E-040  3.77094E-019  1.00000E-040  1.01000E-025  1.00000E-040  3.13000E-023  9.58558E-026  6.84980E-012  2.01643E-023  1.01686E-022  8.81008E-014  1.47418E-014  1.00000E-040  8.47057E-031  1.60591E-023  1.00000E-040  7.32111E-022  3.66240E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.67231E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.82570E-024  1.00000E-040  1.00000E-040  8.37229E-022  4.96388E-007  4.40214E-003  3.24017E-014  4.99065E-017  2.11127E-001  3.67311E-008  2.81862E-004  7.14149E-023  1.09917E-010  1.00000E-040  1.00000E-040  9.61341E-034  2.18255E-020  8.00511E-007  9.23843E-029  2.09842E-025  5.95862E-038  4.51055E-037  4.30618E-037  5.31322E-012  1.03670E-017  5.88529E-019  7.64395E-011  1.00000E-040  1.00000E-040  3.34191E-010  4.08412E-035  4.98735E-011  1.12700E-031  7.84187E-001  8.55090E-024  5.36697E-014  5.33837E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.35701E-025  6.62064E-013  4.78238E-016  1.00204E-011  6.55738E-015  2.70911E-007  9.47205E-010  2.21572E-008  3.78561E-012  4.86798E-014  1.99295E-019  3.14089E-012  2.51672E-011  2.84212E-011  8.62309E-028  7.57222E-033  1.00000E-040  5.41003E-028  3.91187E-013  1.20275E-019  9.77572E-024  1.10263E-017  1.89187E-025  8.37313E-026  1.00000E-040  1.29888E-038  3.49719E-023  2.82617E-031  1.44838E-026  1.00000E-040  1.00000E-040  1.90641E-026  2.70082E-016  2.70657E-035  1.00000E-040  3.95049E-023  1.28631E-017  5.85102E-019  3.38958E-015  3.34912E-025  5.15664E-011  1.00000E-040  5.07834E-019  1.00000E-040  9.90184E-026  1.00000E-040  3.13438E-023  8.24698E-026  3.61424E-011  3.60146E-023  1.43733E-022  1.94412E-013  1.48613E-014  1.00000E-040  8.62156E-031  7.93577E-024  1.00000E-040  7.12326E-022  3.64372E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21240E-004  1.00000E-040  1.00000E-040  8.07763E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.62043E-023  1.00000E-040  1.00000E-040  9.39702E-022  4.96882E-007  3.55681E-003  3.75603E-014  6.48347E-017  2.11307E-001  3.56840E-008  2.82104E-004  5.14116E-023  6.53074E-011  1.00000E-040  1.00000E-040  1.16664E-033  2.38756E-020  7.99967E-007  7.77148E-029  2.09650E-025  2.63507E-039  2.56481E-038  4.30983E-037  3.09785E-012  6.76998E-018  4.97015E-019  6.02983E-011  1.00000E-040  1.00000E-040  3.34216E-010  3.23785E-035  4.98178E-011  2.03266E-031  7.84853E-001  1.11556E-023  9.01147E-014  5.13750E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.26636E-025  7.87052E-014  7.51848E-016  9.73775E-012  5.55343E-015  2.71103E-007  1.02090E-009  2.35470E-008  1.07072E-012  2.79252E-014  1.53565E-019  1.75435E-012  2.64913E-011  3.04777E-011  4.91569E-028  7.81315E-033  1.00000E-040  4.70683E-028  7.20717E-013  1.20377E-019  9.95450E-024  1.02026E-017  2.29049E-025  6.70101E-026  1.00000E-040  1.25047E-038  3.50016E-023  2.11910E-031  1.46828E-026  1.00000E-040  1.00000E-040  1.39251E-026  1.07577E-015  3.12415E-035  1.12444E-040  5.48930E-023  1.15107E-017  4.04995E-019  4.12475E-015  2.55553E-025  5.26612E-011  1.00000E-040  8.02981E-019  1.00000E-040  1.27442E-025  1.00000E-040  3.13704E-023  6.96814E-026  1.93432E-010  3.36853E-023  1.96356E-022  3.33688E-013  1.49677E-014  1.00000E-040  8.95988E-031  6.84397E-024  1.00000E-040  6.81015E-022  3.62608E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.15686E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.62689E-024  1.00000E-040  1.00000E-040  1.06744E-021  4.97367E-007  2.69095E-003  4.40564E-014  8.42659E-017  2.11490E-001  3.45935E-008  2.82351E-004  3.53715E-023  3.73345E-011  1.00000E-040  1.00000E-040  1.40213E-033  2.56347E-020  7.99608E-007  6.36080E-029  2.09655E-025  2.18325E-039  2.18568E-038  4.31357E-037  1.79379E-012  4.43318E-018  4.42373E-019  4.72280E-011  1.00000E-040  1.00000E-040  3.34257E-010  2.40962E-035  4.97747E-011  3.57185E-031  7.85535E-001  1.34451E-023  1.01591E-013  4.96181E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.14613E-025  2.92935E-014  1.02696E-015  9.19970E-012  4.78274E-015  2.71295E-007  9.72902E-010  2.52558E-008  5.26924E-013  1.93911E-014  1.00510E-019  9.99492E-013  2.59356E-011  2.88289E-011  3.44713E-028  8.10844E-033  1.00000E-040  4.41153E-028  8.19569E-013  1.20482E-019  1.02336E-023  9.27493E-018  2.93238E-025  5.58124E-026  1.00000E-040  1.19194E-038  3.50320E-023  1.46016E-031  1.51795E-026  1.00000E-040  1.00000E-040  1.33754E-026  2.32618E-015  3.53685E-035  2.93807E-035  7.92410E-023  1.09791E-017  2.83990E-019  4.84242E-015  2.06392E-025  5.34687E-011  1.00000E-040  1.38936E-018  1.00000E-040  1.70281E-025  1.00000E-040  3.13976E-023  6.08415E-026  3.26799E-010  3.18497E-023  2.63542E-022  3.97541E-013  1.50416E-014  1.00000E-040  9.18669E-031  6.17274E-024  1.00000E-040  6.40986E-022  3.61068E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.80506E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.41353E-024  1.00000E-040  1.00000E-040  1.18020E-021  4.97849E-007  1.88520E-003  4.85400E-014  1.10005E-016  2.11661E-001  3.35706E-008  2.82581E-004  3.27441E-023  2.97033E-011  1.00000E-040  1.00000E-040  1.43802E-033  2.51482E-020  7.99366E-007  4.83350E-029  2.09951E-025  1.83625E-039  1.88239E-038  4.31704E-037  1.04781E-012  2.74730E-018  3.91497E-019  3.70049E-011  1.00000E-040  1.00000E-040  3.34287E-010  1.57220E-035  4.97410E-011  5.52509E-031  7.86170E-001  1.46107E-023  1.02689E-013  4.81188E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.03136E-025  2.73419E-014  1.33635E-015  9.01757E-012  3.83174E-015  2.71465E-007  8.98126E-010  2.74174E-008  4.46569E-013  1.78567E-014  6.16580E-020  6.50590E-013  2.57591E-011  2.53449E-011  2.77622E-028  8.32102E-033  1.00000E-040  4.07989E-028  7.71734E-013  1.20579E-019  1.06226E-023  8.39426E-018  3.79032E-025  4.78207E-026  1.00000E-040  1.12724E-038  3.50603E-023  9.87958E-032  1.59953E-026  1.00000E-040  1.40968E-040  1.35700E-026  2.81641E-015  3.38533E-035  4.16393E-037  1.09546E-022  1.05249E-017  3.15830E-019  5.85165E-015  1.64538E-025  5.36469E-011  1.00000E-040  2.42991E-018  1.00000E-040  2.19822E-025  1.00000E-040  3.14230E-023  5.58975E-026  3.46569E-010  2.84625E-023  3.51008E-022  3.93394E-013  1.50872E-014  1.00000E-040  9.25784E-031  4.82224E-024  1.00000E-040  5.94662E-022  3.59741E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.25277E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.52157E-024  1.00000E-040  1.00000E-040  1.29093E-021  4.98275E-007  1.24262E-003  5.17434E-014  1.44259E-016  2.11797E-001  3.26345E-008  2.82764E-004  3.82433E-023  3.03190E-011  1.00000E-040  1.00000E-040  1.34157E-033  2.33385E-020  7.99133E-007  3.58300E-029  2.10642E-025  1.56172E-039  1.63404E-038  4.31980E-037  6.22776E-013  1.68194E-018  3.56967E-019  2.91479E-011  1.00000E-040  1.00000E-040  3.34268E-010  9.34912E-036  4.97112E-011  8.16659E-031  7.86676E-001  1.51737E-023  9.94236E-014  4.68536E-010  6.82624E-040  1.00000E-040  1.00000E-040  1.92482E-025  4.33217E-014  1.70164E-015  8.98578E-012  2.97594E-015  2.71585E-007  8.28247E-010  3.00461E-008  4.93605E-013  1.82256E-014  3.92348E-020  5.71463E-013  2.68345E-011  2.13929E-011  2.36287E-028  8.43665E-033  1.00000E-040  3.74925E-028  6.64405E-013  1.20657E-019  1.11359E-023  7.59442E-018  4.93287E-025  4.15468E-026  1.00000E-040  1.05972E-038  3.50829E-023  6.58746E-032  1.71025E-026  1.00000E-040  1.00000E-040  1.39186E-026  2.48744E-015  2.92358E-035  3.53346E-033  1.48747E-022  1.04941E-017  4.36783E-019  7.23823E-015  1.28190E-025  5.31303E-011  1.00000E-040  4.37771E-018  1.00000E-040  2.81877E-025  1.68791E-031  3.14432E-023  5.26107E-026  2.69264E-010  2.48630E-023  4.64863E-022  3.52675E-013  1.51130E-014  1.00000E-040  9.24550E-031  3.39941E-024  1.00000E-040  5.44648E-022  3.58580E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.63230E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.78525E-024  1.00000E-040  1.00000E-040  1.39218E-021  4.98621E-007  7.58509E-004  5.38955E-014  1.88713E-016  2.11900E-001  3.17621E-008  2.82903E-004  4.70022E-023  3.29108E-011  1.00000E-040  1.00000E-040  1.14422E-033  2.04459E-020  7.98884E-007  2.65013E-029  2.11877E-025  1.34683E-039  1.43444E-038  4.32188E-037  3.78540E-013  1.03784E-018  3.46088E-019  2.31606E-011  1.00000E-040  1.00000E-040  3.34199E-010  4.97136E-036  4.96840E-011  1.19915E-030  7.87057E-001  1.52846E-023  9.19202E-014  4.57916E-010  2.03664E-038  1.00000E-040  1.00000E-040  1.82423E-025  1.01180E-013  2.12171E-015  8.92516E-012  2.27934E-015  2.71655E-007  7.55072E-010  3.31153E-008  6.15936E-013  1.85974E-014  2.86812E-020  7.26815E-013  2.92486E-011  1.68362E-011  2.08340E-028  8.49984E-033  1.00000E-040  3.44613E-028  5.26874E-013  1.20715E-019  1.17913E-023  6.87621E-018  6.50589E-025  3.61808E-026  1.00000E-040  9.91892E-039  3.50999E-023  4.26446E-032  1.84591E-026  1.00000E-040  1.00000E-040  1.44674E-026  1.79782E-015  2.28063E-035  4.58931E-033  2.03320E-022  1.12840E-017  6.40235E-019  9.04348E-015  9.66359E-026  5.20146E-011  1.00000E-040  8.46422E-018  1.00000E-040  3.66486E-025  7.24278E-031  3.14584E-023  4.98756E-026  1.48304E-010  2.15717E-023  6.11110E-022  2.90920E-013  1.51270E-014  1.07104E-040  9.18821E-031  2.17482E-024  1.00000E-040  4.93461E-022  3.57555E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.94153E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.40946E-024  1.00000E-040  1.00000E-040  1.48241E-021  4.98852E-007  4.32073E-004  5.62311E-014  2.46453E-016  2.11969E-001  3.09126E-008  2.82997E-004  4.91920E-023  3.04154E-011  1.00000E-040  1.00000E-040  9.46509E-034  1.74779E-020  7.98586E-007  2.01992E-029  2.13827E-025  1.17559E-039  1.27159E-038  4.32328E-037  2.35650E-013  6.64626E-019  3.63186E-019  1.86121E-011  1.00000E-040  1.00000E-040  3.34075E-010  2.45923E-036  4.96574E-011  1.78946E-030  7.87314E-001  1.50111E-023  7.89101E-014  4.48968E-010  3.77636E-037  1.00000E-040  1.47230E-031  1.72922E-025  3.03593E-013  2.57402E-015  8.46030E-012  1.74683E-015  2.71675E-007  6.61875E-010  3.65758E-008  7.78283E-013  1.70055E-014  2.85290E-020  1.15316E-012  3.31062E-011  1.14432E-011  1.96340E-028  8.64445E-033  1.00000E-040  3.21125E-028  3.69187E-013  1.20754E-019  1.26079E-023  6.23566E-018  8.70783E-025  3.17360E-026  1.00000E-040  9.25615E-039  3.51113E-023  2.64392E-032  2.00191E-026  1.00000E-040  1.00000E-040  1.56733E-026  1.15489E-015  1.70807E-035  1.00000E-040  2.85985E-022  1.32947E-017  7.83133E-019  1.11909E-014  7.09144E-026  5.04725E-011  1.00000E-040  1.77011E-017  1.00000E-040  4.92076E-025  2.48600E-030  3.14687E-023  4.74259E-026  5.20342E-011  1.90745E-023  7.97397E-022  2.15124E-013  1.51340E-014  2.74899E-040  9.09387E-031  1.32838E-024  1.00000E-040  4.43392E-022  3.56630E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38778E-004  1.00000E-040  1.00000E-040  1.01100E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.23673E-024  1.00000E-040  1.00000E-040  1.55486E-021  4.98967E-007  2.32844E-004  5.98071E-014  3.21911E-016  2.12011E-001  3.00720E-008  2.83055E-004  3.77361E-023  2.04824E-011  1.00000E-040  1.00000E-040  7.93289E-034  1.49454E-020  7.98235E-007  1.62357E-029  2.16708E-025  1.03728E-039  1.13727E-038  4.32412E-037  1.50851E-013  4.51029E-019  4.17286E-019  1.51809E-011  1.00000E-040  1.00000E-040  3.33901E-010  1.16711E-036  4.96311E-011  2.73431E-030  7.87471E-001  1.43254E-023  6.02893E-014  4.41378E-010  4.29267E-036  1.00000E-040  3.64311E-031  1.64276E-025  7.86285E-013  3.00966E-015  7.32101E-012  1.35369E-015  2.71652E-007  5.46246E-010  4.04052E-008  9.56034E-013  1.34649E-014  3.85938E-020  1.90079E-012  3.85478E-011  4.67978E-012  2.04726E-028  8.97262E-033  1.00000E-040  3.06244E-028  2.18071E-013  1.20778E-019  1.36060E-023  5.68009E-018  1.17012E-024  2.83895E-026  1.00000E-040  8.62315E-039  3.51183E-023  1.56207E-032  2.17562E-026  1.00000E-040  1.27646E-040  1.79495E-026  7.08288E-016  1.28524E-035  1.00000E-040  4.20618E-022  1.73354E-017  6.51540E-019  1.35460E-014  5.11952E-026  4.87138E-011  1.00000E-040  4.01512E-017  1.00000E-040  6.89066E-025  8.09487E-030  3.14750E-023  4.54331E-026  1.41277E-011  1.75304E-023  1.03373E-021  1.38630E-013  1.51372E-014  6.46661E-040  8.97207E-031  8.07352E-025  1.00000E-040  3.96392E-022  3.55779E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66845E+018  2.29733E+002  9.61769E+004  7.51344E-005  1.00000E-040  1.00000E-040  2.39639E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.93824E-024  1.00000E-040  1.00000E-040  1.67357E-021  4.98998E-007  1.23338E-004  6.46465E-014  4.24271E-016  2.12034E-001  2.92610E-008  2.83087E-004  2.69374E-023  1.27652E-011  1.00000E-040  1.00000E-040  6.83856E-034  1.29666E-020  7.97828E-007  1.37685E-029  2.20874E-025  9.23422E-040  1.02448E-038  4.32457E-037  1.00072E-013  3.23542E-019  5.14017E-019  1.26042E-011  1.00000E-040  1.00000E-040  3.33678E-010  5.49728E-037  4.96047E-011  4.23426E-030  7.87557E-001  1.34308E-023  4.16052E-014  4.34774E-010  3.08528E-035  1.00000E-040  3.79043E-031  1.57744E-025  1.56851E-012  3.37567E-015  6.21218E-012  1.06143E-015  2.71593E-007  4.36005E-010  4.47260E-008  1.23214E-012  1.04689E-014  6.10787E-020  2.99397E-012  4.60434E-011  1.86376E-012  2.32820E-028  9.44787E-033  1.00000E-040  2.97135E-028  1.10899E-013  1.20792E-019  1.48336E-023  5.21957E-018  1.54164E-024  2.61456E-026  1.00000E-040  8.02082E-039  3.51221E-023  8.99066E-033  2.37301E-026  1.00000E-040  1.00000E-040  2.10578E-026  4.34239E-016  9.91186E-036  1.95468E-034  6.36538E-022  2.43762E-017  5.19392E-019  1.60648E-014  3.75216E-026  4.69077E-011  1.00000E-040  9.43779E-017  1.00000E-040  9.78431E-025  2.60970E-029  3.14784E-023  4.42035E-026  4.73611E-012  1.66800E-023  1.33865E-021  7.90507E-014  1.51383E-014  1.40223E-039  8.84485E-031  4.97839E-025  1.00000E-040  3.53268E-022  3.54967E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
