alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.38151E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.18304E-023  1.00000E-040  1.00000E-040  1.06070E-021  4.95541E-007  5.79049E-003  5.43706E-014  3.11130E-017  2.10833E-001  2.78155E-008  2.81467E-004  6.55233E-023  7.78516E-011  1.00000E-040  1.00000E-040  1.61582E-033  2.08988E-020  4.00397E-007  2.60158E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.14411E-012  2.92949E-017  9.88012E-019  3.38063E-011  1.00000E-040  1.00000E-040  3.33995E-010  1.15364E-034  4.96605E-011  1.96086E-031  7.83094E-001  1.15472E-023  3.23561E-014  5.49632E-010  1.00000E-040  1.00000E-040  5.19668E-031  7.40698E-026  3.78264E-012  2.46651E-016  8.18593E-012  1.05741E-014  2.70566E-007  5.88929E-010  1.71536E-008  1.25174E-011  4.64714E-014  3.37728E-019  5.46302E-012  1.72089E-011  2.84206E-011  7.93226E-027  1.13306E-031  2.27747E-038  7.54824E-027  1.79306E-013  1.39078E-018  2.98187E-024  4.49782E-018  8.73122E-026  3.65349E-026  1.00000E-040  3.20430E-039  1.00000E-040  1.00000E-040  1.17971E-025  1.00000E-040  1.00000E-040  9.58942E-027  1.36490E-016  4.87607E-035  1.00000E-040  5.62597E-023  1.99253E-017  4.04347E-019  9.23957E-016  5.14696E-025  5.45674E-011  1.00000E-040  5.25439E-019  1.00000E-040  5.23512E-026  2.42196E-032  9.58990E-024  3.07447E-026  4.87631E-012  2.57539E-023  1.13009E-022  1.03495E-013  1.40342E-014  1.00000E-040  1.00000E-040  1.51136E-023  1.00000E-040  8.44354E-022  3.61321E-011  2.08187E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.49349E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.38026E-024  1.00000E-040  1.00000E-040  8.50658E-022  4.95940E-007  4.40214E-003  4.38472E-014  3.90619E-017  2.11127E-001  2.68104E-008  2.81862E-004  4.86745E-023  5.93911E-011  1.00000E-040  1.00000E-040  8.80120E-034  1.47615E-020  4.00100E-007  1.36165E-028  1.00000E-040  1.61110E-038  1.28474E-037  1.00000E-040  3.84634E-012  1.22922E-017  5.80928E-019  7.05425E-011  1.00000E-040  1.00000E-040  3.34145E-010  5.49719E-035  4.95928E-011  2.22399E-031  7.84187E-001  1.26443E-023  7.66454E-014  5.22822E-010  1.00000E-040  1.00000E-040  3.05765E-031  7.31341E-026  5.83002E-013  4.24947E-016  9.20321E-012  7.60357E-015  2.70908E-007  7.18723E-010  1.84556E-008  2.46405E-012  3.16063E-014  2.21020E-019  3.06569E-012  2.30747E-011  3.13726E-011  4.49302E-027  1.02098E-031  1.00000E-040  5.44762E-027  5.15992E-013  1.39272E-018  3.01047E-024  4.30213E-018  8.98627E-026  2.78281E-026  1.00000E-040  3.12998E-039  1.00000E-040  1.00000E-040  1.22044E-025  1.00000E-040  1.00000E-040  5.63322E-027  5.26781E-016  2.47790E-035  1.00000E-040  5.78265E-023  1.26944E-017  3.68564E-019  1.33325E-015  3.14838E-025  5.57788E-011  1.00000E-040  6.83352E-019  1.00000E-040  4.88816E-026  2.20955E-032  9.60329E-024  2.55967E-026  2.58558E-011  4.49765E-023  1.52014E-022  2.45402E-013  1.41393E-014  1.00000E-040  1.00000E-040  7.18617E-024  1.00000E-040  8.21990E-022  3.59023E-011  2.08478E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89245E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21240E-004  1.00000E-040  1.00000E-040  7.88936E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49353E-023  1.00000E-040  1.00000E-040  9.38179E-022  4.96083E-007  3.55681E-003  4.95348E-014  5.12060E-017  2.11307E-001  2.57495E-008  2.82103E-004  3.43756E-023  3.59291E-011  1.00000E-040  1.00000E-040  1.01383E-033  1.57326E-020  3.99713E-007  9.74642E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.07004E-012  7.15306E-018  4.44907E-019  5.33585E-011  1.00000E-040  1.00000E-040  3.34131E-010  4.24206E-035  4.95199E-011  3.76346E-031  7.84853E-001  1.58000E-023  1.07570E-013  4.99672E-010  1.00000E-040  1.00000E-040  6.59218E-031  6.99269E-026  8.61634E-014  6.21828E-016  9.06277E-012  6.62553E-015  2.71097E-007  7.81453E-010  1.99492E-008  7.17526E-013  2.11687E-014  1.69820E-019  1.58293E-012  2.42890E-011  3.36052E-011  2.72448E-027  1.03063E-031  1.00000E-040  4.99215E-027  8.12418E-013  1.39390E-018  3.07301E-024  4.00597E-018  1.05215E-025  2.21993E-026  1.00000E-040  3.02133E-039  1.00000E-040  1.00000E-040  1.28830E-025  1.00000E-040  1.00000E-040  4.54860E-027  1.96117E-015  2.71493E-035  1.40124E-040  7.85479E-023  1.03017E-017  2.57148E-019  1.62199E-015  2.36964E-025  5.71382E-011  1.00000E-040  1.05264E-018  1.00000E-040  6.05962E-026  3.46434E-032  9.61145E-024  2.14610E-026  1.12381E-010  3.93117E-023  2.01942E-022  3.80739E-013  1.42257E-014  1.00000E-040  1.00000E-040  6.00374E-024  1.00000E-040  7.87045E-022  3.56936E-011  2.08655E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39354E-004  1.00000E-040  1.00000E-040  2.10658E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.00338E-024  1.00000E-040  1.00000E-040  1.03756E-021  4.96284E-007  2.69095E-003  5.60709E-014  6.75708E-017  2.11490E-001  2.47328E-008  2.82350E-004  2.49874E-023  2.25276E-011  1.00000E-040  1.00000E-040  1.13466E-033  1.62979E-020  3.99455E-007  6.84644E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.11666E-012  4.17460E-018  3.61118E-019  4.02757E-011  1.00000E-040  1.00000E-040  3.34142E-010  3.04591E-035  4.94645E-011  6.07594E-031  7.85535E-001  1.80804E-023  1.14832E-013  4.80061E-010  1.00000E-040  1.00000E-040  8.53898E-031  6.64291E-026  3.83493E-014  8.38031E-016  8.70390E-012  5.68387E-015  2.71286E-007  7.54043E-010  2.18898E-008  3.93373E-013  1.77947E-014  1.09293E-019  8.50917E-013  2.42528E-011  3.13539E-011  2.06282E-027  1.07610E-031  1.00000E-040  4.87138E-027  8.51164E-013  1.39512E-018  3.17324E-024  3.68251E-018  1.29948E-025  1.86414E-026  1.00000E-040  2.88997E-039  1.00000E-040  1.00000E-040  1.38972E-025  1.00000E-040  1.00000E-040  4.49445E-027  3.69954E-015  2.86217E-035  2.58227E-040  1.09329E-022  8.96016E-018  1.97249E-019  1.93147E-015  1.88152E-025  5.79638E-011  1.00000E-040  1.75722E-018  1.00000E-040  7.73984E-026  3.76253E-032  9.61980E-024  1.88928E-026  1.74804E-010  3.45682E-023  2.66980E-022  4.19391E-013  1.42850E-014  1.00000E-040  1.00000E-040  5.15733E-024  1.00000E-040  7.42505E-022  3.55170E-011  2.08836E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.59979E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.99798E-024  1.00000E-040  1.00000E-040  1.10269E-021  4.96521E-007  1.88520E-003  5.98651E-014  8.98027E-017  2.11661E-001  2.38189E-008  2.82579E-004  2.40147E-023  1.92659E-011  1.00000E-040  1.00000E-040  1.09266E-033  1.54917E-020  3.99284E-007  4.58324E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.14404E-013  2.35513E-018  2.98362E-019  3.06109E-011  1.00000E-040  1.00000E-040  3.34148E-010  1.92585E-035  4.94229E-011  8.70437E-031  7.86170E-001  1.87598E-023  1.13220E-013  4.63867E-010  1.00000E-040  1.00000E-040  8.47302E-031  6.32941E-026  3.97485E-014  1.10002E-015  8.45130E-012  4.49287E-015  2.71452E-007  6.97861E-010  2.43675E-008  3.54912E-013  1.78354E-014  6.53339E-020  5.51196E-013  2.47338E-011  2.70661E-011  1.72368E-027  1.09732E-031  1.00000E-040  4.67709E-027  7.72312E-013  1.39624E-018  3.31514E-024  3.36888E-018  1.61399E-025  1.61509E-026  1.00000E-040  2.74433E-039  1.00000E-040  1.00000E-040  1.52727E-025  1.00000E-040  1.00000E-040  4.57144E-027  4.10834E-015  2.57228E-035  1.57237E-037  1.45965E-022  8.01844E-018  2.24518E-019  2.39164E-015  1.45447E-025  5.79594E-011  1.00000E-040  2.97767E-018  1.00000E-040  9.60728E-026  3.15738E-032  9.62757E-024  1.75188E-026  1.71613E-010  2.90379E-023  3.52680E-022  3.97526E-013  1.43217E-014  1.00000E-040  1.00000E-040  3.85489E-024  1.00000E-040  6.90979E-022  3.53703E-011  2.09005E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.15361E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.12623E-024  1.00000E-040  1.00000E-040  1.14529E-021  4.96728E-007  1.24262E-003  6.16429E-014  1.19992E-016  2.11797E-001  2.30076E-008  2.82762E-004  2.73143E-023  1.98277E-011  1.00000E-040  1.00000E-040  9.51116E-034  1.38862E-020  3.99141E-007  3.05871E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.48430E-013  1.33722E-018  2.58870E-019  2.35628E-011  1.00000E-040  1.00000E-040  3.34112E-010  1.10627E-035  4.93888E-011  1.18608E-030  7.86676E-001  1.85884E-023  1.07124E-013  4.50662E-010  1.00000E-040  1.00000E-040  7.50379E-031  6.04837E-026  6.77454E-014  1.42315E-015  8.21318E-012  3.43949E-015  2.71568E-007  6.35957E-010  2.73955E-008  4.06824E-013  1.88517E-014  3.99712E-020  5.20856E-013  2.65257E-011  2.24038E-011  1.48392E-027  1.09308E-031  1.00000E-040  4.42951E-027  6.51113E-013  1.39714E-018  3.50454E-024  3.07368E-018  2.01152E-025  1.41391E-026  1.00000E-040  2.59124E-039  1.00000E-040  1.00000E-040  1.70008E-025  1.00000E-040  1.00000E-040  4.68532E-027  3.35224E-015  2.07270E-035  1.55754E-033  1.90632E-022  7.60680E-018  3.02167E-019  3.05572E-015  1.08807E-025  5.71560E-011  1.00000E-040  5.18135E-018  1.00000E-040  1.18227E-025  5.45282E-033  9.63376E-024  1.66151E-026  1.20421E-010  2.39443E-023  4.64951E-022  3.47456E-013  1.43428E-014  1.00000E-040  1.00000E-040  2.58126E-024  1.00000E-040  6.35280E-022  3.52470E-011  2.09139E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69331E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.59423E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.43490E-024  1.00000E-040  1.00000E-040  1.15724E-021  4.96877E-007  7.58510E-004  6.17393E-014  1.59915E-016  2.11900E-001  2.22738E-008  2.82900E-004  3.00488E-023  1.99426E-011  1.00000E-040  1.00000E-040  7.50103E-034  1.16971E-020  3.99005E-007  2.07761E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.04913E-013  7.78786E-019  2.42940E-019  1.84374E-011  1.00000E-040  1.00000E-040  3.34028E-010  5.65680E-036  4.93598E-011  1.58735E-030  7.87057E-001  1.77479E-023  9.60299E-014  4.39949E-010  1.00000E-040  1.00000E-040  5.81125E-031  5.78723E-026  1.59936E-013  1.80462E-015  7.80204E-012  2.59137E-015  2.71634E-007  5.63860E-010  3.09612E-008  5.17397E-013  1.92066E-014  2.74697E-020  7.21075E-013  2.97607E-011  1.73037E-011  1.31191E-027  1.07280E-031  1.00000E-040  4.15884E-027  5.04996E-013  1.39782E-018  3.74813E-024  2.79946E-018  2.53747E-025  1.23498E-026  1.00000E-040  2.43593E-039  1.00000E-040  1.00000E-040  1.90592E-025  1.00000E-040  1.00000E-040  4.87952E-027  2.21512E-015  1.49508E-035  6.86695E-034  2.49558E-022  7.91595E-018  3.95197E-019  3.96887E-015  7.81909E-026  5.57324E-011  1.00000E-040  9.63242E-018  1.00000E-040  1.47004E-025  1.00000E-040  9.63843E-024  1.58640E-026  5.82561E-011  1.96717E-023  6.09615E-022  2.80163E-013  1.43544E-014  1.00000E-040  1.00000E-040  1.55298E-024  1.00000E-040  5.78121E-022  3.51424E-011  2.09191E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.82618E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07919E-024  1.00000E-040  1.00000E-040  1.14804E-021  4.96944E-007  4.32074E-004  6.16879E-014  2.12722E-016  2.11969E-001  2.15904E-008  2.82994E-004  2.62675E-023  1.59129E-011  1.00000E-040  1.00000E-040  5.69093E-034  9.57573E-021  3.98855E-007  1.47822E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.25139E-013  4.77506E-019  2.50200E-019  1.46952E-011  1.00000E-040  1.00000E-040  3.33891E-010  2.68001E-036  4.93333E-011  2.13633E-030  7.87315E-001  1.64146E-023  7.93895E-014  4.31198E-010  1.00000E-040  1.00000E-040  3.48588E-031  5.54323E-026  4.05043E-013  2.22240E-015  6.98941E-012  1.94520E-015  2.71649E-007  4.77605E-010  3.50460E-008  6.71573E-013  1.74288E-014  2.52895E-020  1.17586E-012  3.46501E-011  1.15611E-011  1.23488E-027  1.05622E-031  1.00000E-040  3.92579E-027  3.44779E-013  1.39827E-018  4.05239E-024  2.55156E-018  3.25441E-025  1.08306E-026  1.00000E-040  2.28234E-039  1.00000E-040  1.00000E-040  2.14247E-025  1.00000E-040  1.00000E-040  5.30075E-027  1.29722E-015  1.02698E-035  1.00000E-040  3.35194E-022  9.15095E-018  3.92722E-019  5.12691E-015  5.46624E-026  5.39242E-011  1.05588E-038  1.92893E-017  1.00000E-040  1.88222E-025  1.00000E-040  9.64157E-024  1.52206E-026  1.95955E-011  1.65218E-023  7.94468E-022  2.02262E-013  1.43605E-014  1.00000E-040  1.00000E-040  8.82968E-025  1.00000E-040  5.21949E-022  3.50513E-011  2.09199E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38777E-004  1.00000E-040  1.00000E-040  9.87218E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.14806E-025  1.00000E-040  1.00000E-040  1.14017E-021  4.96932E-007  2.32844E-004  6.23163E-014  2.83022E-016  2.12011E-001  2.09548E-008  2.83051E-004  1.86524E-023  1.02468E-011  1.00000E-040  1.00000E-040  4.30329E-034  7.77729E-021  3.98683E-007  1.11572E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.96062E-014  3.11417E-019  2.83086E-019  1.19610E-011  1.00000E-040  1.00000E-040  3.33703E-010  1.20812E-036  4.93081E-011  2.91553E-030  7.87471E-001  1.47235E-023  5.88287E-014  4.23962E-010  1.00000E-040  1.00000E-040  5.12755E-032  5.32729E-026  8.69057E-013  2.63051E-015  5.94099E-012  1.46559E-015  2.71620E-007  3.87340E-010  3.96634E-008  9.01799E-013  1.43228E-014  3.18236E-020  1.90861E-012  4.14472E-011  4.65133E-012  1.27550E-027  1.05384E-031  1.00000E-040  3.75404E-027  2.00671E-013  1.39855E-018  4.42387E-024  2.33854E-018  4.20802E-025  9.65836E-027  1.00000E-040  2.13366E-039  1.00000E-040  1.00000E-040  2.40941E-025  1.00000E-040  1.00000E-040  6.04632E-027  7.27174E-016  6.97186E-036  1.00000E-040  4.67605E-022  1.17480E-017  3.07336E-019  6.49424E-015  3.80195E-026  5.19751E-011  8.46552E-034  4.15517E-017  1.00000E-040  2.49748E-025  1.00000E-040  9.64349E-024  1.47513E-026  6.03265E-012  1.43917E-023  1.03009E-021  1.28289E-013  1.43633E-014  1.00000E-040  1.00000E-040  4.91401E-025  1.00000E-040  4.68831E-022  3.49696E-011  2.09212E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66844E+018  2.29733E+002  9.61769E+004  7.51341E-005  1.00000E-040  1.00000E-040  2.17503E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.19304E-024  1.00000E-040  1.00000E-040  1.18356E-021  4.96861E-007  1.23339E-004  6.47397E-014  3.79906E-016  2.12035E-001  2.03680E-008  2.83083E-004  1.33936E-023  6.59489E-012  1.00000E-040  1.00000E-040  3.42674E-034  6.48565E-021  3.98486E-007  9.09161E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.29318E-014  2.18156E-019  3.48702E-019  9.94910E-012  1.00000E-040  1.00000E-040  3.33467E-010  5.46946E-037  4.92833E-011  4.14694E-030  7.87558E-001  1.31828E-023  3.96397E-014  4.17767E-010  1.00000E-040  1.00000E-040  1.00000E-040  5.17609E-026  1.61352E-012  2.97985E-015  5.02291E-012  1.12561E-015  2.71555E-007  3.07967E-010  4.49581E-008  1.24298E-012  1.14620E-014  4.83077E-020  2.93660E-012  5.06375E-011  1.78472E-012  1.43399E-027  1.07696E-031  1.00000E-040  3.67871E-027  1.01457E-013  1.39870E-018  4.87896E-024  2.16340E-018  5.38269E-025  8.90084E-027  1.00000E-040  1.99012E-039  1.00000E-040  1.00000E-040  2.71493E-025  1.00000E-040  1.00000E-040  7.08375E-027  4.20867E-016  4.96670E-036  1.00000E-040  6.80130E-022  1.65193E-017  2.53322E-019  7.99619E-015  2.71619E-026  5.00479E-011  1.00000E-040  9.38675E-017  1.00000E-040  3.40715E-025  1.00000E-040  9.64454E-024  1.45223E-026  2.24599E-012  1.31854E-023  1.33566E-021  7.27057E-014  1.43643E-014  1.00000E-040  1.00000E-040  2.82653E-025  1.00000E-040  4.19567E-022  3.48929E-011  2.09162E-033  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
