alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.51499E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.95305E-023  1.00000E-040  1.00000E-040  1.57511E-021  4.95540E-007  5.79048E-003  3.04209E-014  6.16158E-017  2.10833E-001  6.88314E-008  2.81467E-004  2.89502E-022  4.73243E-010  1.00000E-040  1.00000E-040  3.03828E-033  7.01643E-020  2.40238E-006  9.48835E-029  1.34137E-026  6.67246E-036  6.66349E-035  1.00000E-040  1.03787E-011  1.18571E-017  7.98834E-019  3.83841E-011  1.00000E-040  1.00000E-040  3.33994E-010  6.50344E-035  5.00269E-011  6.57394E-032  7.83092E-001  6.26095E-024  1.94738E-014  5.59281E-010  1.00000E-040  1.00000E-040  7.91253E-029  2.34732E-024  1.73651E-012  3.61021E-016  1.74500E-011  6.25577E-015  2.70565E-007  2.24576E-009  3.44198E-008  1.81399E-011  1.93489E-013  3.05528E-019  2.00302E-012  1.82995E-011  2.58146E-011  5.52088E-028  1.01862E-033  7.01367E-032  1.54798E-028  2.16193E-013  2.50636E-020  9.68433E-023  8.06323E-017  8.33155E-025  8.21770E-025  3.17676E-040  2.58368E-037  1.00000E-040  1.00000E-040  4.21683E-027  1.00000E-040  7.54646E-040  2.90774E-025  6.20390E-017  9.16859E-035  1.87648E-038  3.45691E-023  1.61224E-017  2.34504E-018  1.69517E-014  8.43457E-025  5.99262E-011  1.00000E-040  2.96158E-019  1.00000E-040  4.34941E-025  4.01545E-030  4.89982E-022  8.91941E-025  6.15901E-011  1.63608E-023  1.98058E-022  1.31085E-013  2.85572E-014  1.00000E-040  1.00000E-040  2.87836E-023  1.00000E-040  9.03708E-022  3.68338E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93213E-001  2.31665E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.65025E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.10581E-023  1.00000E-040  1.00000E-040  1.38153E-021  4.97380E-007  4.40213E-003  2.96669E-014  7.55887E-017  2.11127E-001  6.77945E-008  2.81864E-004  1.64951E-022  2.43521E-010  1.00000E-040  1.00000E-040  2.41163E-033  5.99631E-020  2.40184E-006  6.89680E-029  1.32731E-026  1.00000E-040  1.00000E-040  1.00000E-040  6.23821E-012  6.83213E-018  6.30687E-019  7.86960E-011  1.00000E-040  1.00000E-040  3.34198E-010  3.75387E-035  4.99899E-011  1.00513E-031  7.84186E-001  8.04616E-024  6.42174E-014  5.38156E-010  1.00000E-040  1.00000E-040  7.68493E-029  2.35309E-024  4.76344E-014  7.37034E-016  1.47509E-011  5.13758E-015  2.70909E-007  2.17288E-009  3.61078E-008  3.36688E-012  8.69504E-014  1.92585E-019  1.13996E-012  2.69381E-011  2.74891E-011  3.42105E-028  1.26828E-033  1.00000E-040  1.28169E-028  5.30900E-013  2.50986E-020  9.79093E-023  7.41393E-017  9.46544E-025  6.53613E-025  3.18117E-040  2.51004E-037  1.00000E-040  1.00000E-040  4.26251E-027  1.00000E-040  6.93322E-040  1.62331E-025  3.14073E-016  6.78971E-035  2.31997E-038  4.25323E-023  1.37939E-017  1.24110E-018  2.03919E-014  5.41370E-025  6.06361E-011  1.00000E-040  4.66056E-019  1.00000E-040  5.02113E-025  3.85560E-030  4.90666E-022  7.23201E-025  1.05324E-009  3.39483E-023  2.60892E-022  2.53505E-013  2.87949E-014  1.00000E-040  1.00000E-040  1.89871E-023  1.00000E-040  8.72759E-022  3.66622E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89246E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21241E-004  1.00000E-040  1.00000E-040  8.05441E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.50775E-023  1.00000E-040  1.00000E-040  1.44393E-021  4.98592E-007  3.55680E-003  3.57216E-014  9.59046E-017  2.11306E-001  6.61446E-008  2.82107E-004  7.20340E-023  8.82611E-011  1.00000E-040  1.00000E-040  3.16356E-033  6.81426E-020  2.40046E-006  5.97271E-029  1.30320E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.70986E-012  4.78664E-018  5.62958E-019  6.30350E-011  1.00000E-040  1.00000E-040  3.34227E-010  3.08864E-035  4.99412E-011  1.90113E-031  7.84852E-001  1.07845E-023  9.31092E-014  5.19262E-010  1.00000E-040  1.00000E-040  7.30829E-029  2.26202E-024  6.63545E-015  1.12264E-015  1.18979E-011  4.82060E-015  2.71098E-007  1.94595E-009  3.77694E-008  8.23049E-013  3.05753E-014  1.49120E-019  6.34057E-013  2.82320E-011  2.95583E-011  2.20473E-028  1.36710E-033  1.00000E-040  1.22196E-028  8.18034E-013  2.51199E-020  9.99243E-023  6.58161E-017  1.17667E-024  5.40592E-025  3.18384E-040  2.39843E-037  1.00000E-040  1.00000E-040  4.35485E-027  1.00000E-040  7.68565E-040  1.30086E-025  1.36916E-015  8.47170E-035  2.87571E-038  6.09371E-023  1.30482E-017  4.30507E-019  2.28687E-014  3.94526E-025  6.14686E-011  1.00000E-040  7.65562E-019  1.00000E-040  6.74223E-025  3.61835E-030  4.91083E-022  6.08612E-025  2.21116E-009  3.34904E-023  3.36908E-022  3.79110E-013  2.89923E-014  1.00000E-040  1.00000E-040  1.84856E-023  1.00000E-040  8.24460E-022  3.64987E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95856E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.15067E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00340E-023  1.00000E-040  1.00000E-040  1.57294E-021  4.99794E-007  2.69094E-003  3.96525E-014  1.22529E-016  2.11490E-001  6.45332E-008  2.82356E-004  4.40914E-023  4.67183E-011  1.00000E-040  1.00000E-040  3.40977E-033  6.92484E-020  2.39963E-006  4.64100E-029  1.27204E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.21955E-012  3.07998E-018  4.87749E-019  5.03034E-011  1.00000E-040  1.00000E-040  3.34271E-010  2.17527E-035  4.99046E-011  2.94727E-031  7.85534E-001  1.21590E-023  9.85525E-014  5.02832E-010  1.00000E-040  1.00000E-040  6.82868E-029  2.15214E-024  3.18171E-015  1.49961E-015  1.11413E-011  4.12630E-015  2.71288E-007  1.70572E-009  4.01262E-008  4.51663E-013  1.99840E-014  9.71669E-020  3.62728E-013  2.82784E-011  2.78929E-011  1.68146E-028  1.38285E-033  1.00000E-040  1.14384E-028  8.69028E-013  2.51417E-020  1.03037E-022  5.80697E-017  1.49726E-024  4.67626E-025  3.18657E-040  2.26102E-037  1.00000E-040  1.00000E-040  4.54818E-027  1.00000E-040  7.72050E-040  1.27238E-025  2.49985E-015  8.60111E-035  3.87364E-037  8.26708E-023  1.21168E-017  3.45498E-019  2.65004E-014  3.11688E-025  6.19784E-011  1.00000E-040  1.25374E-018  1.00000E-040  8.58120E-025  3.33280E-030  4.91509E-022  5.58710E-025  2.90511E-009  3.05327E-023  4.33236E-022  4.23336E-013  2.91273E-014  1.00000E-040  1.00000E-040  1.55282E-023  1.00000E-040  7.64608E-022  3.63574E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11993E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.77980E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.18700E-024  1.00000E-040  1.00000E-040  1.72969E-021  5.01030E-007  1.88520E-003  4.22588E-014  1.57859E-016  2.11661E-001  6.31296E-008  2.82588E-004  4.44113E-023  4.15433E-011  1.00000E-040  1.00000E-040  3.27265E-033  6.57206E-020  2.39909E-006  3.43700E-029  1.23609E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.34687E-012  1.91509E-018  4.30440E-019  4.01698E-011  1.00000E-040  1.00000E-040  3.34301E-010  1.37293E-035  4.98762E-011  4.19348E-031  7.86168E-001  1.25802E-023  9.71365E-014  4.88700E-010  1.00000E-040  1.00000E-040  6.29681E-029  2.04612E-024  3.29944E-015  1.92474E-015  1.10096E-011  3.26367E-015  2.71455E-007  1.53741E-009  4.33013E-008  4.42252E-013  1.91057E-014  5.93494E-020  2.27985E-013  2.91652E-011  2.44892E-011  1.40427E-028  1.39634E-033  1.00000E-040  1.06401E-028  8.01173E-013  2.51620E-020  1.07348E-022  5.12884E-017  1.93595E-024  4.15278E-025  3.18910E-040  2.10989E-037  1.00000E-040  1.00000E-040  4.84517E-027  1.00000E-040  7.39785E-040  1.29162E-025  2.60520E-015  7.70433E-035  1.00000E-040  1.10115E-022  1.15860E-017  4.46431E-019  3.16516E-014  2.49336E-025  6.19408E-011  1.00000E-040  2.12123E-018  1.00000E-040  1.08035E-024  3.02138E-030  4.91906E-022  5.33064E-025  3.09877E-009  2.68987E-023  5.57339E-022  4.09787E-013  2.92115E-014  1.00000E-040  1.00000E-040  1.15777E-023  1.00000E-040  6.97534E-022  3.62347E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36772E-001  1.50797E+019  2.57819E+002  1.00000E+005  4.23292E-004  1.00000E-040  1.00000E-040  4.24058E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.91491E-024  1.00000E-040  1.00000E-040  1.93140E-021  5.02245E-007  1.24262E-003  4.47875E-014  2.04902E-016  2.11797E-001  6.19330E-008  2.82773E-004  5.59336E-023  4.64157E-011  1.00000E-040  1.00000E-040  3.01796E-033  6.06468E-020  2.39850E-006  2.53814E-029  1.19700E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.29267E-013  1.19828E-018  3.99573E-019  3.21483E-011  1.00000E-040  1.00000E-040  3.34278E-010  8.11690E-036  4.98498E-011  6.09622E-031  7.86674E-001  1.29306E-023  9.38443E-014  4.76526E-010  1.00000E-040  1.00000E-040  5.75319E-029  1.94530E-024  4.74335E-015  2.43299E-015  1.11402E-011  2.57271E-015  2.71572E-007  1.45241E-009  4.72890E-008  5.29079E-013  2.05434E-014  3.78086E-020  1.77613E-013  3.17509E-011  2.07133E-011  1.21522E-028  1.42634E-033  1.00000E-040  1.00692E-028  6.92849E-013  2.51782E-020  1.12983E-022  4.54439E-017  2.56897E-024  3.73577E-025  3.19112E-040  1.95418E-037  1.00000E-040  1.00000E-040  5.23913E-027  1.00000E-040  7.02045E-040  1.32742E-025  2.15847E-015  6.57683E-035  1.00000E-040  1.48658E-022  1.17662E-017  6.53615E-019  3.80259E-014  1.98456E-025  6.13454E-011  1.00000E-040  3.79984E-018  1.00000E-040  1.39025E-024  2.70548E-030  4.92223E-022  5.12480E-025  2.88309E-009  2.37360E-023  7.16988E-022  3.69527E-013  2.92607E-014  1.00000E-040  1.00000E-040  8.18683E-024  1.00000E-040  6.27133E-022  3.61247E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69332E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26922E-004  1.00000E-040  1.00000E-040  1.62763E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.88111E-024  1.00000E-040  1.00000E-040  2.19397E-021  5.03408E-007  7.58508E-004  4.78102E-014  2.65971E-016  2.11899E-001  6.09016E-008  2.82914E-004  7.49804E-023  5.52235E-011  1.00000E-040  1.00000E-040  2.70339E-033  5.44580E-020  2.39780E-006  1.90356E-029  1.15603E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.17008E-013  7.67176E-019  4.01099E-019  2.58083E-011  1.00000E-040  1.00000E-040  3.34201E-010  4.42331E-036  4.98241E-011  9.51019E-031  7.87056E-001  1.35040E-023  8.95158E-014  4.66010E-010  1.00000E-040  1.00000E-040  5.22689E-029  1.84826E-024  8.17177E-015  3.03558E-015  1.14282E-011  2.06046E-015  2.71639E-007  1.42881E-009  5.20482E-008  6.78748E-013  2.28966E-014  2.81873E-020  1.93776E-013  3.61647E-011  1.63987E-011  1.06902E-028  1.48825E-033  1.00000E-040  9.79753E-029  5.73408E-013  2.51904E-020  1.20098E-022  4.04404E-017  3.51738E-024  3.39502E-025  3.19263E-040  1.80028E-037  1.00000E-040  1.00000E-040  5.72041E-027  1.00000E-040  6.66391E-040  1.37732E-025  1.62157E-015  5.38832E-035  1.36934E-035  2.09007E-022  1.31095E-017  1.00062E-018  4.51937E-014  1.55491E-025  6.02751E-011  1.00000E-040  7.53013E-018  1.00000E-040  1.87214E-024  2.39967E-030  4.92461E-022  4.92612E-025  2.37432E-009  2.13237E-023  9.19638E-022  3.18503E-013  2.92884E-014  1.00000E-040  1.00000E-040  5.56306E-024  1.00000E-040  5.56865E-022  3.60247E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08910E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24883E-004  1.00000E-040  1.00000E-040  4.92750E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.41066E-024  1.00000E-040  1.00000E-040  2.57659E-021  5.04474E-007  4.32072E-004  5.22644E-014  3.45425E-016  2.11969E-001  5.99746E-008  2.83009E-004  1.02924E-022  6.69145E-011  1.00000E-040  1.00000E-040  2.45485E-033  4.87818E-020  2.39691E-006  1.48146E-029  1.11415E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.25719E-013  5.12263E-019  4.38511E-019  2.08147E-011  1.00000E-040  1.00000E-040  3.34065E-010  2.29262E-036  4.97977E-011  1.62673E-030  7.87313E-001  1.45088E-023  8.49208E-014  4.56888E-010  1.00000E-040  1.00000E-040  4.74088E-029  1.75742E-024  1.64549E-014  3.72940E-015  1.19044E-011  1.68602E-015  2.71655E-007  1.44828E-009  5.75113E-008  8.94284E-013  2.58484E-014  2.94289E-020  2.85349E-013  4.25864E-011  1.12506E-011  9.57889E-029  1.60107E-033  1.00000E-040  9.86223E-029  4.55453E-013  2.51986E-020  1.28872E-022  3.61919E-017  4.93472E-024  3.13852E-025  3.19364E-040  1.65265E-037  1.00000E-040  1.00000E-040  6.27789E-027  1.00000E-040  6.45680E-040  1.45057E-025  1.18391E-015  4.43001E-035  1.00000E-040  3.09860E-022  1.61126E-017  1.57295E-018  5.24730E-014  1.20898E-025  5.88367E-011  1.00000E-040  1.65016E-017  1.00000E-040  2.66584E-024  2.11605E-030  4.92622E-022  4.74095E-025  1.70071E-009  1.98270E-023  1.17512E-021  2.63640E-013  2.93031E-014  1.00000E-040  1.00000E-040  3.76726E-024  1.00000E-040  4.89717E-022  3.59319E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54864E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38779E-004  1.00000E-040  1.00000E-040  1.00843E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.30990E-024  1.00000E-040  1.00000E-040  3.13428E-021  5.05400E-007  2.32843E-004  5.86803E-014  4.49159E-016  2.12011E-001  5.90822E-008  2.83069E-004  1.42386E-022  8.11683E-011  1.00000E-040  1.00000E-040  2.29290E-033  4.40389E-020  2.39583E-006  1.21028E-029  1.07217E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.08175E-013  3.60149E-019  5.21472E-019  1.69349E-011  1.00000E-040  1.00000E-040  3.33876E-010  1.14859E-036  4.97709E-011  3.03018E-030  7.87470E-001  1.59900E-023  7.97253E-014  4.48967E-010  1.00000E-040  1.00000E-040  4.31296E-029  1.67898E-024  4.03172E-014  4.48475E-015  1.25491E-011  1.40566E-015  2.71628E-007  1.48185E-009  6.35999E-008  1.19264E-012  2.91215E-014  4.21649E-020  4.91047E-013  5.10649E-011  4.67473E-012  8.87884E-029  1.77519E-033  1.00000E-040  1.02161E-028  3.43784E-013  2.52037E-020  1.39529E-022  3.26332E-017  6.95671E-024  2.96790E-025  3.19424E-040  1.51462E-037  1.00000E-040  1.00000E-040  6.89969E-027  1.00000E-040  6.44267E-040  1.55819E-025  8.59938E-016  3.71482E-035  8.74256E-038  4.84112E-022  2.17947E-017  2.52367E-018  5.93650E-014  9.38393E-026  5.71439E-011  1.00000E-040  3.95236E-017  1.00000E-040  3.99188E-024  1.86145E-030  4.92720E-022  4.59015E-025  9.98479E-010  1.91873E-023  1.49523E-021  2.07791E-013  2.93101E-014  1.00000E-040  1.00000E-040  2.57910E-024  1.00000E-040  4.28110E-022  3.58449E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06665E-001  9.66847E+018  2.29733E+002  9.61769E+004  7.51356E-005  1.00000E-040  1.00000E-040  2.55537E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17367E-023  1.00000E-040  1.00000E-040  3.88241E-021  5.06148E-007  1.23338E-004  6.69115E-014  5.88558E-016  2.12034E-001  5.81233E-008  2.83103E-004  1.89360E-022  9.41939E-011  1.00000E-040  1.00000E-040  2.20000E-033  4.03107E-020  2.39458E-006  1.04022E-029  1.03003E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.36288E-013  2.65600E-019  6.57900E-019  1.39623E-011  1.00000E-040  1.00000E-040  3.33636E-010  5.70685E-037  4.97437E-011  5.79733E-030  7.87556E-001  1.75592E-023  7.15792E-014  4.41979E-010  1.00000E-040  1.00000E-040  3.95141E-029  1.62267E-024  1.37417E-013  5.23550E-015  1.31968E-011  1.18449E-015  2.71563E-007  1.48220E-009  7.03584E-008  1.61263E-012  3.14125E-014  7.00130E-020  9.00806E-013  6.17931E-011  1.91609E-012  8.86568E-029  1.99920E-033  1.00000E-040  1.07155E-028  2.37502E-013  2.52064E-020  1.52604E-022  2.96655E-017  9.57217E-024  2.87568E-025  3.19456E-040  1.38656E-037  1.00000E-040  1.00000E-040  7.58911E-027  1.00000E-040  6.61420E-040  1.73450E-025  6.10294E-016  3.18870E-035  1.38135E-037  7.76468E-022  3.15016E-017  4.02703E-018  6.59443E-014  7.32976E-026  5.52824E-011  1.00000E-040  9.80618E-017  1.00000E-040  6.03971E-024  1.63017E-030  4.92774E-022  4.49671E-025  4.08983E-010  1.91248E-023  1.90013E-021  1.51382E-013  2.93128E-014  1.00000E-040  1.00000E-040  1.79048E-024  1.00000E-040  3.72968E-022  3.57613E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
