alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00812E+000  2.57816E+019  2.83217E+002  1.00000E+005  5.65150E-004  1.00000E-040  1.00000E-040  3.85748E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.21575E-021  1.00000E-040  1.00000E-040  1.91868E-018  4.95972E-007  4.92684E-003  1.54731E-013  1.00054E-014  2.11016E-004  1.01533E-008  2.81712E-004  5.16764E-020  2.62683E-011  1.00000E-040  1.00000E-040  2.33008E-027  1.07959E-017  8.01491E-008  1.09062E-021  6.40383E-021  2.45228E-032  1.65318E-031  1.00000E-040  3.01862E-012  1.45546E-016  1.60997E-015  1.99813E-011  1.39175E-034  1.54772E-038  3.34285E-010  2.45370E-031  4.53187E-011  5.30193E-024  9.94580E-001  8.21402E-020  1.65849E-013  4.24734E-010  1.00000E-040  1.91390E-039  1.48516E-025  4.24664E-021  2.43923E-012  9.01421E-014  1.02287E-011  2.04872E-014  2.70801E-007  5.22999E-010  4.37778E-009  4.03191E-012  1.02487E-014  3.67457E-019  4.27202E-012  1.56081E-011  3.72792E-011  3.44124E-034  6.34750E-038  1.00000E-040  8.48293E-034  8.12390E-013  1.90483E-028  2.05604E-019  1.41525E-015  2.61178E-023  1.68706E-021  3.10177E-034  1.57235E-033  1.00000E-040  1.00000E-040  5.31073E-033  4.46234E-035  6.77736E-033  4.31227E-022  7.98869E-016  5.41631E-032  5.83384E-033  3.08409E-022  3.03354E-014  2.32176E-016  1.54409E-016  4.46822E-022  9.66692E-011  1.00000E-040  1.70667E-018  4.65381E-038  1.18006E-023  2.97668E-024  7.51774E-017  7.88489E-022  4.03798E-012  4.41224E-020  2.61269E-022  3.77384E-013  2.08064E-014  9.22503E-036  1.00000E-040  2.23836E-020  1.00000E-040  1.56849E-020  2.95889E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94692E-001  2.34301E+019  2.76577E+002  1.00000E+005  7.37367E-004  1.00000E-040  1.00000E-040  4.49420E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.31811E-021  1.00000E-040  1.00000E-040  2.02311E-018  4.93552E-007  3.65695E-003  1.60967E-013  1.33571E-014  2.11282E-004  8.75917E-009  2.82074E-004  3.66889E-020  1.71353E-011  1.00000E-040  1.00000E-040  2.05233E-027  9.62362E-018  7.94692E-008  2.28813E-021  6.32411E-021  2.73432E-032  1.40397E-031  1.00000E-040  8.88380E-013  4.51892E-017  2.57942E-015  4.39690E-011  2.03970E-034  9.38573E-039  3.11885E-010  1.45028E-031  4.47676E-011  1.23174E-023  9.95849E-001  1.29319E-019  2.54779E-013  3.01212E-010  1.00000E-040  3.54368E-039  1.33989E-025  3.93378E-021  2.15419E-013  1.23796E-013  1.15035E-011  1.77472E-014  2.68447E-007  6.30163E-010  4.90803E-009  5.96805E-013  1.89615E-014  2.82587E-019  1.42187E-012  2.11209E-011  4.78968E-011  2.21857E-034  6.87907E-038  1.00000E-040  8.13730E-034  1.51111E-012  1.90725E-028  2.05112E-019  1.42523E-015  2.80614E-023  1.54456E-021  3.10672E-034  9.76912E-034  1.00000E-040  1.00000E-040  5.87438E-033  7.46028E-035  6.12643E-033  3.19440E-022  4.91069E-015  4.43136E-032  7.41756E-033  4.09608E-022  1.93894E-014  1.85634E-016  1.86313E-016  2.95901E-022  9.78122E-011  1.00000E-040  2.92175E-018  4.86343E-038  1.28724E-023  2.44314E-024  7.52734E-017  7.15936E-022  2.28189E-011  1.05123E-019  3.72361E-022  6.71002E-013  2.08844E-014  6.97479E-036  1.00000E-040  1.63403E-020  1.00000E-040  1.07801E-020  2.85984E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.92395E-001  2.11204E+019  2.71742E+002  1.00000E+005  4.95001E-004  1.00000E-040  1.00000E-040  4.69707E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.55881E-021  1.00000E-040  1.00000E-040  2.72887E-018  4.91225E-007  2.82366E-003  2.14194E-013  2.05092E-014  2.11455E-004  7.49333E-009  2.82311E-004  4.19151E-020  1.52141E-011  1.00000E-040  1.00000E-040  3.18503E-027  1.17499E-017  7.88254E-008  3.24311E-021  5.49589E-021  2.25763E-032  9.10296E-032  1.00000E-040  2.35186E-013  1.61423E-017  2.73843E-015  2.41711E-011  3.24738E-034  4.43245E-039  2.88812E-010  1.25204E-031  4.42372E-011  2.97441E-023  9.96682E-001  1.82744E-019  2.65310E-013  2.02352E-010  1.00000E-040  5.27527E-039  1.13428E-025  3.48301E-021  1.19066E-013  1.65774E-013  1.25196E-011  1.70333E-014  2.65718E-007  6.80128E-010  6.12377E-009  3.48980E-013  2.70496E-014  2.09264E-019  5.43760E-013  2.48370E-011  5.04628E-011  2.10866E-034  8.58377E-038  1.00000E-040  1.05497E-033  1.25933E-012  1.90883E-028  2.06548E-019  1.51191E-015  3.48055E-023  1.44644E-021  3.11145E-034  5.25634E-034  1.00000E-040  1.00000E-040  7.32951E-033  1.21058E-034  6.88755E-033  3.28692E-022  9.01165E-015  6.50356E-032  1.00343E-032  6.21029E-022  1.62350E-014  2.31654E-016  2.08265E-016  2.45913E-022  9.33103E-011  1.00000E-040  5.49061E-018  5.94277E-038  1.70709E-023  2.06883E-024  7.53364E-017  6.20515E-022  3.03529E-011  7.89837E-020  5.77403E-022  5.80017E-013  2.09376E-014  5.16234E-036  1.00000E-040  1.89561E-020  1.00000E-040  7.13757E-021  2.76670E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.00270E-001  1.90285E+019  2.66549E+002  1.00000E+005  4.68931E-004  1.00000E-040  1.00000E-040  2.58091E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.27291E-021  1.00000E-040  1.00000E-040  3.58091E-018  4.89225E-007  2.06023E-003  2.81445E-013  3.37481E-014  2.11612E-004  6.37881E-009  2.82529E-004  5.19990E-020  1.48520E-011  1.00000E-040  1.00000E-040  4.72646E-027  1.39201E-017  7.82598E-008  4.24620E-021  4.16042E-021  1.56561E-032  4.47639E-032  1.00000E-040  5.61373E-014  6.67129E-018  2.93927E-015  1.35844E-011  4.47592E-034  1.72208E-039  2.65577E-010  1.01947E-031  4.37522E-011  7.09839E-023  9.97445E-001  2.44479E-019  2.51529E-013  1.28217E-010  1.00000E-040  6.89857E-039  9.01464E-026  2.93977E-021  1.61480E-013  2.12157E-013  1.32559E-011  1.60589E-014  2.62696E-007  6.65343E-010  8.24820E-009  3.91039E-013  3.60119E-014  1.36825E-019  4.10573E-013  2.84912E-011  4.63867E-011  2.28072E-034  1.08719E-037  1.00000E-040  1.50188E-033  8.45137E-013  1.91026E-028  2.07604E-019  1.63272E-015  4.54251E-023  1.32276E-021  3.11746E-034  2.35081E-034  1.00000E-040  1.00000E-040  9.90810E-033  1.77468E-034  7.26184E-033  3.32538E-022  8.97404E-015  9.06976E-032  1.36798E-032  8.85859E-022  1.81709E-014  3.08763E-016  2.40768E-016  1.92530E-022  8.30106E-011  1.00000E-040  1.07129E-017  6.79514E-038  2.28581E-023  1.65683E-024  7.53941E-017  4.94539E-022  2.44681E-011  6.01347E-020  9.45591E-022  3.94893E-013  2.09739E-014  3.13435E-036  1.00000E-040  2.16445E-020  1.00000E-040  4.28189E-021  2.68179E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.17318E-001  1.71572E+019  2.60603E+002  1.00000E+005  4.22623E-004  1.00000E-040  1.00000E-040  1.31100E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.24671E-021  1.00000E-040  1.00000E-040  4.41329E-018  4.87588E-007  1.39308E-003  3.54285E-013  5.65208E-014  2.11748E-004  5.42273E-009  2.82719E-004  5.79705E-020  1.34753E-011  1.00000E-040  1.38007E-040  6.15734E-027  1.52391E-017  7.77841E-008  5.35597E-021  2.76419E-021  9.65756E-033  1.70493E-032  1.00000E-040  1.24226E-014  3.97389E-018  3.26368E-015  8.39390E-012  5.19573E-034  6.26510E-040  2.42650E-010  7.28593E-032  4.33255E-011  1.66962E-022  9.98112E-001  3.09629E-019  2.19560E-013  7.63881E-011  1.00000E-040  8.16060E-039  6.72116E-026  2.30412E-021  2.59201E-013  2.44886E-013  1.34610E-011  1.48998E-014  2.59381E-007  6.12862E-010  1.14579E-008  4.95178E-013  4.59391E-014  8.37138E-020  5.46789E-013  3.24519E-011  3.91002E-011  2.54768E-034  1.33867E-037  1.00000E-040  2.15619E-033  4.95402E-013  1.91149E-028  2.05322E-019  1.72398E-015  6.13004E-023  1.14890E-021  3.12520E-034  8.34782E-035  1.00000E-040  1.00000E-040  1.38363E-032  2.31142E-034  6.75997E-033  3.08362E-022  7.23526E-015  1.09724E-031  1.79162E-032  1.18343E-021  2.51074E-014  3.70430E-016  2.85306E-016  1.31250E-022  6.93525E-011  1.00000E-040  2.20578E-017  7.10795E-038  3.07597E-023  1.22009E-024  7.54446E-017  3.52888E-022  1.61064E-011  4.86004E-020  1.56877E-021  2.31745E-013  2.09979E-014  1.53201E-036  1.00000E-040  2.17267E-020  1.00000E-040  2.26724E-021  2.60716E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.42634E-001  1.54663E+019  2.54120E+002  1.00000E+005  3.38775E-004  1.00000E-040  1.00000E-040  6.54235E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.22408E-021  1.00000E-040  1.00000E-040  5.09317E-018  4.86297E-007  8.75210E-004  4.22102E-013  9.36148E-014  2.11850E-004  4.62930E-009  2.82867E-004  5.78895E-020  1.14226E-011  1.00000E-040  1.72725E-040  6.92314E-027  1.53305E-017  7.73986E-008  6.65782E-021  1.65366E-021  5.78235E-033  7.45310E-033  1.00000E-040  2.71504E-015  3.36761E-018  3.73283E-015  6.09739E-012  5.17017E-034  2.61482E-040  2.20479E-010  4.56580E-032  4.29639E-011  3.72719E-022  9.98629E-001  3.61941E-019  1.72901E-013  4.26489E-011  1.00000E-040  9.03903E-039  4.79265E-026  1.64792E-021  4.21888E-013  2.41691E-013  1.31421E-011  1.33079E-014  2.55778E-007  5.42590E-010  1.58830E-008  6.52837E-013  5.53296E-014  5.85753E-020  8.44489E-013  3.66728E-011  3.03934E-011  2.93302E-034  1.57528E-037  1.00000E-040  2.96513E-033  2.49362E-013  1.91242E-028  1.98120E-019  1.73388E-015  8.52116E-023  9.38829E-022  3.13517E-034  2.32922E-035  1.00000E-040  1.00000E-040  1.92974E-032  2.70749E-034  5.40462E-033  2.56023E-022  5.19430E-015  1.13369E-031  2.23265E-032  1.47774E-021  3.71387E-014  4.07114E-016  3.40696E-016  7.74677E-023  5.51821E-011  1.00000E-040  4.67451E-017  6.83648E-038  4.13753E-023  8.29731E-025  7.54839E-017  2.20674E-022  9.58183E-012  4.39947E-020  2.56422E-021  1.15307E-013  2.10133E-014  7.38685E-037  1.00000E-040  1.87068E-020  1.00000E-040  1.07985E-021  2.54399E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.75410E-001  1.39390E+019  2.47033E+002  1.00000E+005  2.47985E-004  1.00000E-040  1.00000E-040  2.63917E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.97044E-022  1.00000E-040  1.00000E-040  5.39169E-018  4.85320E-007  5.05782E-004  4.70792E-013  1.50493E-013  2.11921E-004  3.99702E-009  2.82973E-004  5.18771E-020  9.13131E-012  1.00000E-040  1.65597E-040  6.52241E-027  1.39322E-017  7.70971E-008  8.25110E-021  9.28041E-022  2.94674E-033  2.62127E-034  1.00000E-040  6.94327E-016  3.65071E-018  4.41422E-015  5.27418E-012  4.42586E-034  1.37060E-040  1.99491E-010  2.43985E-032  4.26690E-011  7.64744E-022  9.98998E-001  3.75125E-019  1.17810E-013  2.22468E-011  1.00000E-040  9.90133E-039  3.47693E-026  1.06713E-021  6.81135E-013  1.94122E-013  1.22202E-011  1.11509E-014  2.51926E-007  4.60838E-010  2.15692E-008  8.77254E-013  6.14660E-014  6.00809E-020  1.33168E-012  4.06231E-011  1.96070E-011  3.55081E-034  1.75542E-037  1.00000E-040  3.79164E-033  1.01083E-013  1.91305E-028  1.86526E-019  1.63963E-015  1.21871E-022  7.22158E-022  3.14812E-034  5.12401E-036  1.00000E-040  1.00000E-040  2.63751E-032  2.83931E-034  3.63942E-033  1.88300E-022  3.40825E-015  9.68957E-032  2.76493E-032  1.75633E-021  5.47513E-014  4.13001E-016  4.06322E-016  3.88967E-023  4.26928E-011  1.00000E-040  1.02683E-016  6.38352E-038  5.57796E-023  5.11261E-025  7.55120E-017  1.19334E-022  5.27798E-012  4.47558E-020  4.06568E-021  4.55275E-014  2.10229E-014  1.08165E-038  1.00000E-040  1.34128E-020  1.00000E-040  4.62247E-022  2.49242E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.14948E-001  1.25422E+019  2.39628E+002  1.00000E+005  1.60141E-004  1.00000E-040  1.00000E-040  1.48868E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.96192E-022  1.00000E-040  1.00000E-040  5.24179E-018  4.84588E-007  2.71794E-004  4.95417E-013  2.33924E-013  2.11961E-004  3.51563E-009  2.83040E-004  4.24690E-020  6.94964E-012  1.00000E-040  1.25969E-040  5.29094E-027  1.16447E-017  7.68643E-008  1.02686E-020  5.12885E-022  1.00000E-040  1.00000E-040  1.00000E-040  2.91067E-016  4.61981E-018  5.39669E-015  5.19590E-012  3.37742E-034  1.00000E-040  1.80082E-010  1.14140E-032  4.24346E-011  3.80884E-021  9.99232E-001  3.32595E-019  6.61733E-014  1.08316E-011  1.00000E-040  1.02829E-038  2.84150E-026  6.36390E-022  1.09919E-012  1.21881E-013  1.07773E-011  8.76028E-015  2.47886E-007  3.72099E-010  2.84261E-008  1.18936E-012  6.22978E-014  9.61574E-020  2.10711E-012  4.38330E-011  8.19908E-012  4.57692E-034  1.85796E-037  1.00000E-040  4.47287E-033  3.02262E-014  1.91340E-028  1.73049E-019  1.46771E-015  1.71824E-022  5.32979E-022  3.16488E-034  9.35785E-037  1.00000E-040  1.00000E-040  3.49878E-032  2.73138E-034  2.12170E-033  1.24683E-022  2.09200E-015  7.05678E-032  3.73342E-032  2.03912E-021  7.67915E-014  3.92077E-016  4.77326E-016  1.69391E-023  3.29411E-011  1.00000E-040  2.30699E-016  6.43420E-038  7.26272E-023  2.85013E-025  7.55300E-017  5.66660E-023  2.73374E-012  4.92221E-020  6.21995E-021  1.30314E-014  2.10285E-014  1.00000E-040  1.00000E-040  8.17402E-021  1.00000E-040  1.80335E-022  2.45133E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.60662E-001  1.12576E+019  2.32044E+002  1.00000E+005  9.28904E-005  1.00000E-040  1.00000E-040  1.58969E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.75963E-022  1.00000E-040  1.00000E-040  4.74986E-018  4.84033E-007  1.37148E-004  5.00795E-013  3.51343E-013  2.11979E-004  3.16781E-009  2.83078E-004  3.25934E-020  5.08466E-012  1.00000E-040  1.00000E-040  3.84941E-027  9.15325E-018  7.66824E-008  1.28729E-020  2.90199E-022  1.32179E-033  1.00000E-040  1.00000E-040  2.13429E-016  6.17275E-018  6.83959E-015  5.48795E-012  2.41130E-034  1.00000E-040  1.62627E-010  4.78834E-033  4.22500E-011  1.19747E-019  9.99367E-001  2.54754E-019  3.05688E-014  4.95446E-012  1.00000E-040  1.72299E-038  2.75589E-026  3.63585E-022  1.78095E-012  6.03004E-014  8.99424E-012  6.55203E-015  2.43742E-007  2.83618E-010  3.62163E-008  1.60254E-012  5.78896E-014  1.90561E-019  3.30805E-012  4.59724E-011  3.94031E-012  5.94117E-034  1.89728E-037  1.00000E-040  4.91750E-033  6.58715E-015  1.91355E-028  1.60229E-019  1.26917E-015  2.09485E-022  3.87133E-022  3.18631E-034  1.56075E-037  1.00000E-040  1.00000E-040  4.48653E-032  2.47761E-034  1.13574E-033  7.68969E-023  1.23468E-015  4.56506E-032  5.79532E-032  2.40390E-021  1.00259E-013  3.55519E-016  5.44722E-016  8.63891E-024  2.59282E-011  1.00000E-040  5.36405E-016  7.50037E-038  7.90069E-023  1.45366E-025  7.55404E-017  2.48368E-023  1.35563E-012  5.60444E-020  9.17253E-021  2.66185E-015  2.10315E-014  1.00000E-040  1.00000E-040  4.39381E-021  1.00000E-040  6.53942E-023  2.41884E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.12072E-001  1.00607E+019  2.24669E+002  9.61769E+004  4.70673E-005  1.00000E-040  1.00000E-040  1.05240E-009  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.54894E-021  1.00000E-040  1.00000E-040  4.25828E-018  4.83584E-007  6.76231E-005  5.04633E-013  5.15289E-013  2.11982E-004  2.92818E-009  2.83098E-004  2.47813E-020  3.67468E-012  1.00000E-040  1.00000E-040  2.76609E-027  7.15406E-018  7.65315E-008  1.62291E-020  1.70797E-022  1.06004E-033  3.42914E-033  1.00000E-040  1.90660E-016  8.04568E-018  8.85921E-015  5.90689E-012  1.75016E-034  1.00000E-040  1.47201E-010  1.94539E-033  4.20999E-011  1.49479E-018  9.99436E-001  1.82352E-019  1.24945E-014  2.16262E-012  1.00000E-040  2.43731E-038  2.98134E-026  2.08916E-022  2.82696E-012  2.55491E-014  7.24865E-012  4.83015E-015  2.39514E-007  2.07010E-010  4.47247E-008  2.09228E-012  5.16887E-014  3.96348E-019  4.99160E-012  4.71328E-011  2.75357E-012  7.25204E-034  1.92593E-037  1.00000E-040  5.19682E-033  1.14345E-015  1.91357E-028  1.49359E-019  1.09096E-015  1.91715E-022  2.84790E-022  3.21377E-034  2.78495E-038  1.00000E-040  1.00000E-040  5.57723E-032  2.23713E-034  6.10514E-034  4.65862E-023  7.40089E-016  2.90415E-032  9.62936E-032  2.96259E-021  1.19191E-013  3.20889E-016  5.96332E-016  1.60181E-023  2.10212E-011  1.00000E-040  1.27821E-015  9.78408E-038  5.99089E-023  7.20450E-026  7.55460E-017  1.08115E-023  6.77758E-013  6.49039E-020  1.31256E-020  4.20931E-016  2.10330E-014  1.00000E-040  1.00000E-040  2.27867E-021  1.00000E-040  2.35856E-023  2.39235E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
